Time,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.7,0.1729,0.5747,0.4345,0.6388,0.6053,0.6221,0.586,0.5218,0.5539,0.6374,0.5613,0.5993
8.8,0.1607,0.5719,0.4307,0.6283,0.6041,0.6162,0.5801,0.518,0.549,0.6285,0.5606,0.5945
8.9,0.1458,0.5695,0.428,0.6177,0.6046,0.6112,0.5745,0.5146,0.5446,0.6196,0.558,0.5888
9,0.1284,0.5675,0.4267,0.6078,0.6068,0.6073,0.5697,0.5119,0.5408,0.6111,0.5536,0.5824
9.1,0.1096,0.5664,0.4266,0.5991,0.6107,0.6049,0.5654,0.51,0.5377,0.603,0.548,0.5755
9.2,0.0902,0.5664,0.4279,0.5924,0.6165,0.6045,0.5617,0.5091,0.5354,0.5956,0.5418,0.5687
9.3,0.0708,0.5675,0.4306,0.5879,0.6242,0.6061,0.5588,0.5093,0.534,0.5889,0.5358,0.5624
9.4,0.052,0.5694,0.4349,0.5856,0.6333,0.6094,0.5564,0.5103,0.5334,0.5831,0.5303,0.5567
9.5,0.0348,0.5719,0.4407,0.5852,0.6427,0.614,0.5543,0.5122,0.5333,0.5783,0.5253,0.5518
9.6,0.0202,0.5748,0.4479,0.5862,0.6516,0.6189,0.5524,0.5146,0.5335,0.5743,0.521,0.5477
9.7,0.0093,0.5779,0.456,0.5879,0.6591,0.6235,0.5503,0.517,0.5336,0.5709,0.517,0.544
9.8,0.0027,0.5806,0.4644,0.5895,0.6646,0.6271,0.5477,0.5191,0.5334,0.5675,0.5133,0.5404
9.9,0.0005,0.5828,0.4727,0.5906,0.6681,0.6293,0.5446,0.5205,0.5326,0.564,0.5099,0.537
10,0.0021,0.5842,0.4807,0.5908,0.6695,0.6302,0.5407,0.5211,0.5309,0.5602,0.5068,0.5335
10.1,0.0072,0.5847,0.4882,0.5903,0.6689,0.6296,0.536,0.5208,0.5284,0.5559,0.5037,0.5298
10.2,0.0151,0.5843,0.4947,0.5889,0.6661,0.6275,0.5305,0.5194,0.5249,0.5509,0.5005,0.5257
10.3,0.0253,0.5827,0.4997,0.5868,0.6608,0.6238,0.5242,0.5166,0.5204,0.5452,0.4968,0.521
10.4,0.0377,0.5799,0.5027,0.5836,0.6529,0.6182,0.5171,0.5121,0.5146,0.5385,0.4924,0.5155
10.5,0.0517,0.5758,0.5032,0.5793,0.6424,0.6108,0.509,0.5058,0.5074,0.5311,0.4874,0.5092
10.6,0.0666,0.5703,0.5015,0.5739,0.6299,0.6019,0.5,0.4978,0.4989,0.5229,0.482,0.5025
10.7,0.0818,0.5641,0.4982,0.5678,0.6164,0.5921,0.4906,0.4889,0.4897,0.5144,0.477,0.4957
10.8,0.0967,0.5576,0.4936,0.5613,0.6029,0.5821,0.481,0.4795,0.4802,0.5058,0.4731,0.4894
10.9,0.1104,0.5511,0.4883,0.5547,0.5897,0.5722,0.4717,0.4701,0.4709,0.4977,0.4708,0.4842
11,0.1225,0.5447,0.4822,0.5483,0.5767,0.5625,0.463,0.4612,0.4621,0.4905,0.4704,0.4805
11.1,0.1327,0.5382,0.4753,0.5424,0.5639,0.5532,0.4551,0.4528,0.454,0.4845,0.4717,0.4781
11.2,0.1411,0.5319,0.4678,0.5371,0.5513,0.5442,0.4482,0.4452,0.4467,0.4799,0.4741,0.477
11.3,0.1481,0.5259,0.4598,0.5329,0.539,0.5359,0.4424,0.4386,0.4405,0.4771,0.4771,0.4771
11.4,0.1539,0.5205,0.4521,0.5301,0.5276,0.5288,0.4383,0.4331,0.4357,0.4763,0.4807,0.4785
11.5,0.1584,0.5158,0.445,0.5289,0.5173,0.5231,0.4362,0.4293,0.4328,0.4777,0.4849,0.4813
11.6,0.1611,0.5119,0.4383,0.529,0.5084,0.5187,0.4363,0.4274,0.4318,0.4814,0.4897,0.4855
11.7,0.1619,0.5087,0.4321,0.5303,0.501,0.5157,0.4383,0.4272,0.4327,0.4871,0.4947,0.4909
11.8,0.1606,0.5063,0.4262,0.533,0.4955,0.5142,0.4417,0.4289,0.4353,0.4947,0.5,0.4974
11.9,0.1573,0.5048,0.4211,0.5371,0.492,0.5145,0.4465,0.4327,0.4396,0.504,0.5055,0.5048
12,0.1518,0.5041,0.417,0.5426,0.4905,0.5165,0.4525,0.4386,0.4455,0.5146,0.511,0.5128
12.1,0.144,0.5041,0.4145,0.5489,0.4907,0.5198,0.4593,0.4462,0.4527,0.5262,0.5161,0.5212
12.2,0.1336,0.5046,0.4135,0.5553,0.492,0.5236,0.4664,0.455,0.4607,0.5383,0.5206,0.5294
12.3,0.1204,0.5053,0.4137,0.5615,0.4939,0.5277,0.4735,0.4643,0.4689,0.5502,0.5239,0.537
12.4,0.105,0.5061,0.4147,0.5671,0.4963,0.5317,0.4801,0.4736,0.4769,0.5613,0.5257,0.5435
12.5,0.0887,0.5067,0.4162,0.5724,0.4991,0.5357,0.4862,0.4826,0.4844,0.5714,0.526,0.5487
12.6,0.0729,0.5069,0.4185,0.5772,0.5021,0.5397,0.4921,0.491,0.4916,0.5802,0.5248,0.5525
12.7,0.0592,0.5068,0.4215,0.5814,0.5049,0.5432,0.4977,0.4985,0.4981,0.5875,0.5221,0.5548
12.8,0.0489,0.5065,0.425,0.5849,0.5069,0.5459,0.5028,0.5046,0.5037,0.593,0.5179,0.5555
12.9,0.0424,0.5057,0.4288,0.5873,0.5079,0.5476,0.5076,0.5093,0.5085,0.5967,0.5124,0.5546
13,0.0396,0.5046,0.4325,0.5885,0.508,0.5482,0.5121,0.5127,0.5124,0.5984,0.5058,0.5521
13.1,0.0406,0.503,0.4358,0.5884,0.5073,0.5479,0.5162,0.5148,0.5155,0.5984,0.4983,0.5483
13.2,0.0451,0.5011,0.4389,0.5874,0.506,0.5467,0.52,0.5155,0.5178,0.5967,0.49,0.5434
13.3,0.0532,0.4993,0.4418,0.5857,0.5042,0.545,0.5233,0.5149,0.5191,0.5936,0.4811,0.5374
13.4,0.0646,0.4976,0.4443,0.5836,0.5017,0.5426,0.526,0.5126,0.5193,0.5894,0.4721,0.5307
13.5,0.0791,0.4961,0.4469,0.5811,0.4986,0.5398,0.5281,0.5088,0.5185,0.5843,0.4634,0.5238
13.6,0.0961,0.495,0.4498,0.5785,0.4949,0.5367,0.5296,0.504,0.5168,0.5787,0.4555,0.5171
13.7,0.1152,0.4944,0.4534,0.5759,0.4908,0.5334,0.5306,0.4983,0.5145,0.5727,0.4488,0.5107
13.8,0.1361,0.4946,0.458,0.5738,0.4865,0.5301,0.5312,0.4922,0.5117,0.5667,0.4436,0.5051
13.9,0.1583,0.4957,0.4644,0.5722,0.4823,0.5273,0.5317,0.4861,0.5089,0.5608,0.4402,0.5005
14,0.1809,0.4977,0.4729,0.5714,0.4786,0.525,0.5324,0.4807,0.5065,0.5554,0.4389,0.4972
14.1,0.2032,0.5007,0.484,0.5712,0.4755,0.5234,0.5336,0.4766,0.5051,0.5506,0.4399,0.4952
14.2,0.2245,0.5045,0.4977,0.5716,0.4727,0.5221,0.5355,0.4743,0.5049,0.5466,0.4429,0.4948
14.3,0.2445,0.509,0.514,0.5723,0.4696,0.521,0.538,0.4738,0.5059,0.5436,0.4478,0.4957
14.4,0.2625,0.5142,0.533,0.5737,0.4661,0.5199,0.5411,0.4753,0.5082,0.5417,0.4543,0.498
14.5,0.2782,0.5201,0.5545,0.5759,0.4623,0.5191,0.5451,0.4789,0.512,0.5409,0.462,0.5014
14.6,0.2908,0.527,0.5783,0.579,0.459,0.519,0.5501,0.4847,0.5174,0.5412,0.4709,0.5061
14.7,0.2989,0.5346,0.6041,0.583,0.4569,0.52,0.5562,0.4929,0.5245,0.5427,0.4813,0.512
14.8,0.3013,0.5429,0.631,0.5879,0.4563,0.5221,0.5635,0.5032,0.5334,0.5457,0.4932,0.5195
14.9,0.297,0.5514,0.6582,0.5933,0.4576,0.5255,0.5717,0.5155,0.5436,0.5502,0.5068,0.5285
