Time,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp,Maybelline - MakeUp
1.7,0.0203,0.6896,0.7593,0.7109,0.7697,0.7403,0.7549,0.8315,0.7932,0.7555,0.8052,0.7804
1.8,0.013,0.6945,0.7729,0.7163,0.7749,0.7456,0.756,0.8382,0.7971,0.7597,0.815,0.7874
1.9,0.0051,0.6995,0.7847,0.7207,0.7792,0.7499,0.7557,0.8428,0.7992,0.7625,0.8224,0.7924
2,-0.0033,0.7046,0.7944,0.7241,0.7823,0.7532,0.7541,0.8452,0.7997,0.7638,0.8272,0.7955
2.1,-0.0118,0.7096,0.8016,0.7265,0.784,0.7552,0.7515,0.8452,0.7983,0.7637,0.8294,0.7965
2.2,-0.0198,0.7142,0.8062,0.7276,0.7837,0.7556,0.7477,0.8428,0.7953,0.7622,0.8291,0.7956
2.3,-0.0266,0.7179,0.8083,0.7275,0.7813,0.7544,0.743,0.8382,0.7906,0.7595,0.8268,0.7932
2.4,-0.0316,0.7204,0.8082,0.7261,0.7769,0.7515,0.7375,0.8318,0.7847,0.7559,0.8228,0.7893
2.5,-0.0346,0.7216,0.8065,0.7232,0.7707,0.747,0.7316,0.8239,0.7778,0.7513,0.8173,0.7843
2.6,-0.0358,0.7215,0.8037,0.7186,0.7628,0.7407,0.7255,0.815,0.7702,0.7461,0.8105,0.7783
2.7,-0.0355,0.7199,0.7999,0.7121,0.7533,0.7327,0.7193,0.8051,0.7622,0.7404,0.8026,0.7715
2.8,-0.0342,0.7164,0.7948,0.7034,0.742,0.7227,0.7131,0.794,0.7535,0.7345,0.7939,0.7642
2.9,-0.0317,0.7109,0.7885,0.693,0.7289,0.7109,0.7069,0.7819,0.7444,0.7285,0.7846,0.7566
3,-0.0276,0.7033,0.7814,0.6811,0.714,0.6975,0.7009,0.769,0.735,0.7222,0.7751,0.7487
3.1,-0.0215,0.6936,0.7735,0.6683,0.6976,0.6829,0.6952,0.7557,0.7254,0.7158,0.7656,0.7407
3.2,-0.0137,0.6824,0.7651,0.6553,0.6801,0.6677,0.6898,0.7422,0.716,0.7093,0.756,0.7327
3.3,-0.0049,0.6701,0.7559,0.6426,0.6621,0.6523,0.6847,0.7284,0.7066,0.7028,0.7465,0.7247
3.4,0.0041,0.6573,0.7456,0.6304,0.6439,0.6372,0.68,0.7144,0.6972,0.6963,0.7367,0.7165
3.5,0.0127,0.6439,0.7341,0.6193,0.6256,0.6224,0.6754,0.6999,0.6876,0.6896,0.7264,0.708
3.6,0.0207,0.6301,0.7219,0.6095,0.6079,0.6087,0.6709,0.6854,0.6782,0.6829,0.7157,0.6993
3.7,0.0277,0.6163,0.7099,0.6013,0.5911,0.5962,0.6667,0.6717,0.6692,0.6764,0.7049,0.6906
3.8,0.0343,0.603,0.6983,0.5946,0.5756,0.5851,0.6627,0.6589,0.6608,0.6703,0.6942,0.6822
3.9,0.041,0.5908,0.6871,0.5895,0.5619,0.5757,0.6588,0.6473,0.6531,0.6645,0.6835,0.674
4,0.0483,0.58,0.6764,0.5859,0.5502,0.568,0.6549,0.6366,0.6458,0.659,0.6725,0.6657
4.1,0.0563,0.5708,0.666,0.5834,0.5406,0.562,0.6511,0.6269,0.639,0.6536,0.6614,0.6575
4.2,0.065,0.5633,0.6563,0.5821,0.5333,0.5577,0.6474,0.6181,0.6327,0.6483,0.6503,0.6493
4.3,0.0739,0.5574,0.647,0.5817,0.5283,0.555,0.6438,0.6103,0.6271,0.6432,0.6397,0.6414
4.4,0.0829,0.5532,0.6379,0.5821,0.5256,0.5538,0.6404,0.6034,0.6219,0.6383,0.6295,0.6339
4.5,0.0918,0.5503,0.6287,0.5831,0.5248,0.5539,0.637,0.597,0.617,0.6335,0.6199,0.6267
4.6,0.1004,0.5488,0.6193,0.5845,0.5256,0.5551,0.6336,0.5913,0.6125,0.6289,0.6107,0.6198
4.7,0.109,0.5484,0.6098,0.586,0.5276,0.5568,0.63,0.5861,0.6081,0.6242,0.602,0.6131
4.8,0.1172,0.5487,0.6004,0.5873,0.5304,0.5588,0.6262,0.5816,0.6039,0.6198,0.5942,0.607
4.9,0.1244,0.5499,0.5916,0.5882,0.534,0.5611,0.6223,0.5782,0.6003,0.6158,0.5877,0.6017
5,0.1295,0.5522,0.5838,0.5889,0.5387,0.5638,0.6185,0.5763,0.5974,0.6125,0.5831,0.5978
5.1,0.1321,0.5561,0.5773,0.5898,0.5448,0.5673,0.6151,0.5762,0.5956,0.6099,0.5804,0.5952
5.2,0.1317,0.5615,0.5721,0.5907,0.5522,0.5714,0.6119,0.5779,0.5949,0.608,0.5792,0.5936
5.3,0.1278,0.5679,0.568,0.5914,0.5606,0.576,0.6091,0.581,0.595,0.6064,0.5792,0.5928
5.4,0.1208,0.5749,0.5649,0.5918,0.5699,0.5809,0.6065,0.5854,0.5959,0.605,0.5802,0.5926
5.5,0.1112,0.5823,0.5631,0.5919,0.5801,0.586,0.6043,0.5911,0.5977,0.6041,0.5821,0.5931
5.6,0.1001,0.5903,0.5628,0.5917,0.5912,0.5915,0.6024,0.5982,0.6003,0.6035,0.5848,0.5941
5.7,0.0887,0.5987,0.5641,0.5912,0.6029,0.597,0.6009,0.6065,0.6037,0.6031,0.5879,0.5955
5.8,0.0782,0.6071,0.5666,0.5901,0.6145,0.6023,0.5994,0.6151,0.6073,0.6026,0.5911,0.5969
5.9,0.0685,0.615,0.5699,0.5881,0.6252,0.6067,0.5978,0.6235,0.6107,0.6018,0.594,0.5979
6,0.0595,0.6223,0.5738,0.5853,0.6351,0.6102,0.5961,0.6312,0.6136,0.6004,0.5964,0.5984
6.1,0.0514,0.6294,0.5781,0.5825,0.6442,0.6134,0.5941,0.6385,0.6163,0.5987,0.5986,0.5986
6.2,0.0452,0.6366,0.5829,0.5803,0.6528,0.6166,0.5922,0.6454,0.6188,0.5965,0.6004,0.5984
6.3,0.0422,0.6441,0.5878,0.5792,0.6604,0.6198,0.5901,0.6518,0.621,0.5939,0.6016,0.5978
6.4,0.0429,0.6519,0.5927,0.5793,0.6665,0.6229,0.588,0.6573,0.6226,0.5907,0.6023,0.5965
6.5,0.0472,0.6595,0.5973,0.5804,0.6706,0.6255,0.5856,0.6614,0.6235,0.5869,0.6021,0.5945
6.6,0.0548,0.6671,0.6015,0.5826,0.673,0.6278,0.5831,0.6638,0.6234,0.5825,0.6011,0.5918
6.7,0.0657,0.6743,0.6053,0.5861,0.6738,0.6299,0.5804,0.6647,0.6225,0.5777,0.5992,0.5884
6.8,0.0797,0.6808,0.6086,0.5905,0.6732,0.6319,0.5777,0.6641,0.6209,0.5725,0.5966,0.5846
6.9,0.0963,0.6863,0.6117,0.5956,0.6715,0.6336,0.5753,0.6624,0.6189,0.5674,0.5935,0.5805
7,0.1142,0.6909,0.6147,0.6014,0.6692,0.6353,0.5736,0.6601,0.6169,0.5627,0.5904,0.5765
7.1,0.132,0.6946,0.6175,0.6079,0.6669,0.6374,0.5727,0.6574,0.6151,0.5584,0.5872,0.5728
7.2,0.1485,0.6976,0.6198,0.6148,0.6647,0.6397,0.5727,0.6544,0.6136,0.5548,0.5841,0.5695
7.3,0.1627,0.6997,0.6215,0.6218,0.6626,0.6422,0.5738,0.6511,0.6125,0.5518,0.5809,0.5664
7.4,0.1742,0.7007,0.6223,0.6284,0.6602,0.6443,0.5759,0.6475,0.6117,0.5494,0.5776,0.5635
7.5,0.1829,0.7003,0.6223,0.6341,0.657,0.6455,0.5785,0.6435,0.611,0.5474,0.5741,0.5607
7.6,0.1888,0.6979,0.6212,0.6384,0.6526,0.6455,0.5815,0.6392,0.6104,0.5458,0.5702,0.558
7.7,0.1916,0.6934,0.6193,0.6413,0.6472,0.6442,0.5847,0.6347,0.6097,0.5449,0.5662,0.5555
7.8,0.1913,0.687,0.617,0.6425,0.6408,0.6416,0.5881,0.6301,0.6091,0.5446,0.5621,0.5534
7.9,0.1881,0.679,0.6144,0.6423,0.6337,0.638,0.5916,0.6258,0.6087,0.5453,0.5584,0.5519
8,0.1824,0.6699,0.6119,0.6408,0.6262,0.6335,0.595,0.622,0.6085,0.5469,0.5553,0.5511
8.1,0.1748,0.6604,0.6095,0.6381,0.6188,0.6285,0.5982,0.6189,0.6085,0.5496,0.553,0.5513
8.2,0.1652,0.6512,0.6077,0.6347,0.6125,0.6236,0.6014,0.617,0.6092,0.5535,0.5519,0.5527
8.3,0.154,0.6431,0.6069,0.6309,0.6078,0.6194,0.605,0.6165,0.6107,0.5586,0.5521,0.5554
8.4,0.1416,0.6365,0.6072,0.6269,0.6051,0.616,0.6088,0.6175,0.6131,0.5646,0.5534,0.559
8.5,0.1285,0.6315,0.6082,0.6226,0.6042,0.6134,0.6125,0.6197,0.6161,0.5712,0.5555,0.5634
8.6,0.1155,0.6279,0.6098,0.6178,0.6045,0.6111,0.6158,0.6227,0.6193,0.578,0.558,0.568
8.7,0.1032,0.6254,0.6116,0.6125,0.6054,0.609,0.6188,0.6262,0.6225,0.5847,0.561,0.5729
8.8,0.0919,0.6241,0.6139,0.607,0.6068,0.6069,0.6215,0.63,0.6258,0.5915,0.5645,0.578
8.9,0.0821,0.6239,0.6165,0.6012,0.6086,0.6049,0.6239,0.6343,0.6291,0.5982,0.5686,0.5834
9,0.0738,0.6248,0.6195,0.5953,0.6105,0.6029,0.6257,0.6387,0.6322,0.6044,0.5731,0.5888
9.1,0.0668,0.6267,0.6228,0.5892,0.6125,0.6008,0.6268,0.6433,0.6351,0.61,0.578,0.594
9.2,0.0601,0.6296,0.6266,0.5831,0.6145,0.5988,0.6274,0.6482,0.6378,0.6152,0.5835,0.5993
9.3,0.0528,0.6336,0.6313,0.5772,0.6169,0.5971,0.6277,0.6533,0.6405,0.6201,0.5898,0.6049
9.4,0.0448,0.639,0.6367,0.5719,0.6199,0.5959,0.6278,0.6588,0.6433,0.6251,0.5968,0.6109
9.5,0.0364,0.6453,0.6428,0.5673,0.6232,0.5952,0.6278,0.6642,0.646,0.63,0.6042,0.6171
9.6,0.0284,0.6515,0.6489,0.5632,0.626,0.5946,0.6274,0.6692,0.6483,0.6346,0.6115,0.6231
9.7,0.0213,0.6567,0.6548,0.5594,0.6276,0.5935,0.6269,0.6732,0.65,0.6388,0.6185,0.6287
9.8,0.0152,0.6606,0.6604,0.5561,0.6282,0.5922,0.6264,0.676,0.6512,0.6427,0.6251,0.6339
9.9,0.0103,0.6631,0.6654,0.5532,0.628,0.5906,0.6262,0.6778,0.652,0.6464,0.6312,0.6388
10,0.0073,0.6645,0.6695,0.5509,0.6271,0.589,0.6262,0.6785,0.6524,0.6496,0.6364,0.643
10.1,0.0059,0.6648,0.672,0.5492,0.6254,0.5873,0.6264,0.6782,0.6523,0.6523,0.6406,0.6465
10.2,0.0054,0.6639,0.6729,0.5477,0.6229,0.5853,0.6268,0.6767,0.6517,0.6544,0.6435,0.6489
10.3,0.0051,0.6616,0.6719,0.5466,0.6194,0.583,0.6274,0.6741,0.6507,0.6555,0.645,0.6503
10.4,0.0051,0.658,0.6694,0.5459,0.6153,0.5806,0.6281,0.6708,0.6494,0.6558,0.6451,0.6505
10.5,0.0056,0.6532,0.6653,0.5455,0.6106,0.5781,0.6287,0.6669,0.6478,0.6551,0.6438,0.6494
10.6,0.0066,0.6475,0.6601,0.5454,0.6059,0.5756,0.6294,0.6628,0.6461,0.6535,0.6411,0.6473
10.7,0.0078,0.6411,0.654,0.5451,0.6012,0.5732,0.63,0.6587,0.6444,0.6513,0.6372,0.6443
10.8,0.0088,0.6341,0.6474,0.5445,0.5969,0.5707,0.6306,0.6548,0.6427,0.6485,0.6323,0.6404
10.9,0.0095,0.6271,0.6406,0.5437,0.5932,0.5685,0.6312,0.6512,0.6412,0.6454,0.6267,0.6361
11,0.0102,0.6203,0.6343,0.543,0.5907,0.5668,0.6321,0.648,0.6401,0.6425,0.6212,0.6319
11.1,0.0114,0.6145,0.6286,0.5427,0.5897,0.5662,0.6335,0.6455,0.6395,0.6402,0.6162,0.6282
11.2,0.0138,0.61,0.6236,0.5432,0.5903,0.5667,0.6354,0.6437,0.6396,0.6387,0.6119,0.6253
11.3,0.0173,0.6068,0.6189,0.5444,0.592,0.5682,0.6375,0.6425,0.64,0.6378,0.6083,0.623
11.4,0.0218,0.6045,0.6146,0.546,0.5944,0.5702,0.64,0.6417,0.6408,0.6375,0.6052,0.6213
11.5,0.027,0.603,0.6108,0.548,0.5973,0.5726,0.6429,0.6412,0.6421,0.6376,0.6028,0.6202
11.6,0.0331,0.602,0.6076,0.5503,0.6007,0.5755,0.6464,0.6414,0.6439,0.6383,0.6014,0.6198
11.7,0.0404,0.6014,0.605,0.5532,0.6045,0.5789,0.6505,0.6421,0.6463,0.6394,0.6011,0.6202
11.8,0.0493,0.6012,0.6026,0.5567,0.6081,0.5824,0.655,0.6432,0.6491,0.6408,0.6018,0.6213
11.9,0.0599,0.6011,0.6002,0.5606,0.6112,0.5859,0.6598,0.6443,0.652,0.6426,0.6036,0.6231
12,0.0721,0.6011,0.5977,0.565,0.6136,0.5893,0.6647,0.6453,0.655,0.6446,0.6064,0.6255
12.1,0.0858,0.6013,0.5951,0.5701,0.6155,0.5928,0.6699,0.6462,0.658,0.647,0.6102,0.6286
12.2,0.1006,0.6021,0.5924,0.576,0.6172,0.5966,0.6753,0.647,0.6611,0.6496,0.6146,0.6321
12.3,0.1157,0.6037,0.5896,0.5826,0.6188,0.6007,0.6807,0.6477,0.6642,0.6522,0.6191,0.6357
12.4,0.1305,0.6059,0.5867,0.5893,0.6201,0.6047,0.6862,0.6481,0.6671,0.6547,0.6236,0.6392
12.5,0.1444,0.6085,0.5839,0.5958,0.6208,0.6083,0.6915,0.648,0.6697,0.6569,0.6279,0.6424
12.6,0.1574,0.6112,0.5811,0.6015,0.6208,0.6111,0.6964,0.6472,0.6718,0.6589,0.6319,0.6454
12.7,0.1691,0.6133,0.5781,0.6063,0.6198,0.613,0.7006,0.6455,0.6731,0.6605,0.6352,0.6479
12.8,0.1789,0.6143,0.5747,0.6098,0.6177,0.6138,0.7039,0.6429,0.6734,0.6613,0.6377,0.6495
12.9,0.1857,0.6139,0.5707,0.612,0.6144,0.6132,0.7059,0.6394,0.6726,0.6611,0.6391,0.6501
13,0.189,0.6116,0.5661,0.6127,0.6099,0.6113,0.7063,0.6348,0.6706,0.6596,0.6393,0.6494
13.1,0.1886,0.6073,0.5609,0.6119,0.6041,0.608,0.7051,0.6292,0.6671,0.6567,0.6382,0.6475
13.2,0.1847,0.601,0.5551,0.6094,0.5975,0.6035,0.7019,0.6226,0.6622,0.6522,0.6359,0.644
13.3,0.1775,0.5926,0.5489,0.6053,0.5903,0.5978,0.6968,0.6149,0.6559,0.6461,0.6321,0.6391
13.4,0.1673,0.5827,0.5424,0.5999,0.5832,0.5916,0.6901,0.6067,0.6484,0.6385,0.627,0.6327
13.5,0.1549,0.5718,0.5361,0.5938,0.577,0.5854,0.6823,0.5984,0.6403,0.6299,0.621,0.6254
13.6,0.141,0.5606,0.5306,0.5876,0.5722,0.5799,0.6741,0.5907,0.6324,0.6206,0.6146,0.6176
13.7,0.1268,0.5499,0.5266,0.5819,0.5693,0.5756,0.6657,0.584,0.6249,0.6114,0.6083,0.6099
13.8,0.1131,0.5401,0.5241,0.5767,0.5685,0.5726,0.6576,0.5783,0.618,0.6027,0.6025,0.6026
13.9,0.1006,0.5317,0.5231,0.5719,0.5699,0.5709,0.6499,0.5737,0.6118,0.5949,0.5972,0.5961
14,0.0895,0.5246,0.5234,0.5674,0.5733,0.5704,0.6428,0.57,0.6064,0.5883,0.5926,0.5904
14.1,0.0805,0.5191,0.525,0.5633,0.5785,0.5709,0.6362,0.567,0.6016,0.5829,0.5887,0.5858
14.2,0.0744,0.5154,0.5275,0.5597,0.5852,0.5725,0.6302,0.5646,0.5974,0.5792,0.5857,0.5824
14.3,0.0716,0.5139,0.5309,0.5573,0.5932,0.5752,0.6252,0.5627,0.5939,0.5771,0.5836,0.5803
14.4,0.072,0.5147,0.5351,0.5564,0.6022,0.5793,0.621,0.5614,0.5912,0.5768,0.5824,0.5796
14.5,0.0748,0.5175,0.5399,0.5571,0.6122,0.5847,0.6178,0.5609,0.5894,0.5782,0.5819,0.5801
14.6,0.0786,0.5217,0.5454,0.5594,0.6227,0.591,0.6157,0.5613,0.5885,0.5813,0.5819,0.5816
14.7,0.0818,0.5273,0.5515,0.5628,0.6336,0.5982,0.6147,0.5624,0.5886,0.5858,0.5825,0.5842
14.8,0.0838,0.5345,0.5582,0.5673,0.6451,0.6062,0.6145,0.5643,0.5894,0.5916,0.5836,0.5876
14.9,0.0838,0.5437,0.5654,0.573,0.6575,0.6152,0.6152,0.5669,0.591,0.5984,0.5852,0.5918
