Time,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.6,-0.1593,0.6736,0.6353,0.6158,0.5298,0.5728,0.4991,0.4944,0.4968,0.4817,0.4086,0.4451
9.7,-0.1843,0.6676,0.6406,0.6171,0.5265,0.5718,0.4916,0.508,0.4998,0.4893,0.4239,0.4566
9.8,-0.2163,0.6579,0.6435,0.6159,0.5217,0.5688,0.4818,0.5202,0.501,0.4966,0.4433,0.47
9.9,-0.2548,0.6455,0.6442,0.6118,0.516,0.5639,0.4706,0.5305,0.5006,0.503,0.4655,0.4842
10,-0.2977,0.6314,0.6423,0.6047,0.5096,0.5571,0.4586,0.5388,0.4987,0.5078,0.4892,0.4985
10.1,-0.3429,0.616,0.6373,0.5939,0.5023,0.5481,0.4467,0.5451,0.4959,0.5104,0.5136,0.512
10.2,-0.388,0.6004,0.6282,0.5791,0.4939,0.5365,0.4358,0.5499,0.4929,0.5104,0.5382,0.5243
10.3,-0.4305,0.5857,0.614,0.5607,0.4849,0.5228,0.4267,0.5536,0.4902,0.5075,0.562,0.5348
10.4,-0.4684,0.573,0.5942,0.5398,0.4763,0.5081,0.4199,0.5562,0.488,0.502,0.5839,0.5429
10.5,-0.5011,0.5626,0.5692,0.517,0.469,0.493,0.4153,0.5574,0.4863,0.4942,0.6029,0.5486
10.6,-0.5289,0.5542,0.5406,0.4925,0.4637,0.4781,0.4125,0.5566,0.4846,0.4842,0.619,0.5516
10.7,-0.5522,0.5473,0.51,0.4663,0.4604,0.4633,0.4111,0.5532,0.4822,0.4716,0.6319,0.5518
