Time,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC,Telstra - Australia is Why - Security 15 TVC
2.4,-0.8373,0.3994,0.3892,0.0809,0.3573,0.2191,0.2172,0.344,0.2806,0.3393,0.2382,0.2887
2.5,-0.7969,0.4259,0.3911,0.1137,0.3728,0.2433,0.236,0.3488,0.2924,0.3507,0.2398,0.2953
2.6,-0.7475,0.4519,0.3972,0.1497,0.3908,0.2702,0.2571,0.3569,0.307,0.3662,0.2441,0.3052
2.7,-0.6904,0.4765,0.407,0.1885,0.4108,0.2997,0.2804,0.3682,0.3243,0.3857,0.2509,0.3183
2.8,-0.6282,0.4995,0.4204,0.2295,0.4323,0.3309,0.3051,0.3818,0.3434,0.4086,0.2605,0.3345
2.9,-0.5649,0.5205,0.4371,0.2711,0.4548,0.3629,0.3303,0.3968,0.3636,0.4346,0.2727,0.3536
3,-0.5048,0.5394,0.4569,0.3119,0.4777,0.3948,0.3551,0.4128,0.384,0.4634,0.2872,0.3753
3.1,-0.4517,0.5554,0.4787,0.3502,0.5004,0.4253,0.3789,0.4296,0.4042,0.4945,0.3036,0.399
3.2,-0.4078,0.5682,0.501,0.3849,0.5218,0.4533,0.4012,0.4468,0.424,0.5269,0.3212,0.424
3.3,-0.3729,0.5773,0.5232,0.4154,0.5408,0.4781,0.4222,0.4643,0.4433,0.5592,0.3392,0.4492
3.4,-0.3466,0.5829,0.5448,0.4415,0.5565,0.499,0.442,0.4814,0.4617,0.5899,0.3567,0.4733
3.5,-0.3283,0.5851,0.5657,0.4632,0.5683,0.5158,0.4603,0.497,0.4787,0.6173,0.3728,0.4951
3.6,-0.3181,0.5843,0.5853,0.4802,0.5767,0.5285,0.4762,0.5103,0.4933,0.6405,0.387,0.5138
3.7,-0.316,0.5803,0.6029,0.4916,0.5819,0.5367,0.4892,0.5205,0.5049,0.6589,0.3992,0.529
3.8,-0.3219,0.5727,0.6178,0.4965,0.5837,0.5401,0.4987,0.5274,0.5131,0.6725,0.4091,0.5408
3.9,-0.3352,0.5612,0.6301,0.4945,0.5821,0.5383,0.5048,0.5312,0.518,0.6817,0.417,0.5493
4,-0.3552,0.5464,0.6407,0.4861,0.5774,0.5318,0.5081,0.5328,0.5205,0.6869,0.4231,0.555
4.1,-0.38,0.5289,0.6498,0.4729,0.5704,0.5216,0.5091,0.5332,0.5212,0.6886,0.4281,0.5584
4.2,-0.408,0.5095,0.6575,0.4563,0.5617,0.509,0.5079,0.5327,0.5203,0.6867,0.4325,0.5596
4.3,-0.4376,0.4882,0.6634,0.4365,0.5513,0.4939,0.504,0.5309,0.5174,0.6814,0.4364,0.5589
4.4,-0.4671,0.4645,0.6667,0.4131,0.5385,0.4758,0.4968,0.5272,0.512,0.6726,0.4396,0.5561
4.5,-0.495,0.4385,0.667,0.3863,0.523,0.4546,0.4859,0.521,0.5035,0.6606,0.4419,0.5513
4.6,-0.5193,0.4113,0.664,0.3568,0.5048,0.4308,0.4709,0.512,0.4915,0.6457,0.4431,0.5444
4.7,-0.5377,0.3843,0.6576,0.3264,0.4847,0.4055,0.4513,0.4999,0.4756,0.6279,0.443,0.5354
4.8,-0.5482,0.359,0.6477,0.2971,0.4631,0.3801,0.4272,0.485,0.4561,0.6071,0.4416,0.5244
4.9,-0.5486,0.3362,0.6351,0.2704,0.4402,0.3553,0.399,0.4679,0.4334,0.5838,0.4392,0.5115
5,-0.5384,0.3162,0.6209,0.2473,0.4165,0.3319,0.3683,0.4495,0.4089,0.5585,0.4365,0.4975
5.1,-0.518,0.2989,0.6055,0.2283,0.3927,0.3105,0.3372,0.4305,0.3838,0.5321,0.4339,0.483
5.2,-0.4882,0.2839,0.5894,0.2134,0.3697,0.2916,0.3081,0.4115,0.3598,0.5052,0.4313,0.4682
5.3,-0.4501,0.2706,0.5726,0.2025,0.3487,0.2756,0.2829,0.3927,0.3378,0.4781,0.4288,0.4535
5.4,-0.4049,0.2582,0.5554,0.195,0.3305,0.2627,0.2623,0.3743,0.3183,0.4517,0.4268,0.4393
5.5,-0.3549,0.2466,0.5372,0.1906,0.3158,0.2532,0.2463,0.3565,0.3014,0.4271,0.4257,0.4264
5.6,-0.3043,0.2359,0.5185,0.1893,0.3055,0.2474,0.2344,0.3402,0.2873,0.4056,0.426,0.4158
5.7,-0.2573,0.2268,0.4997,0.1917,0.3003,0.246,0.2269,0.3264,0.2766,0.3888,0.4281,0.4084
5.8,-0.2168,0.2196,0.4818,0.1986,0.3007,0.2496,0.2243,0.3158,0.2701,0.3771,0.4322,0.4046
5.9,-0.1836,0.2144,0.4656,0.2108,0.3067,0.2588,0.2268,0.3084,0.2676,0.3708,0.4381,0.4044
6,-0.1575,0.2116,0.4519,0.2286,0.3186,0.2736,0.234,0.3038,0.2689,0.3694,0.4455,0.4074
6.1,-0.1387,0.2114,0.4414,0.2516,0.3366,0.2941,0.245,0.3024,0.2737,0.3727,0.4543,0.4135
6.2,-0.1277,0.2138,0.4355,0.2785,0.361,0.3197,0.2596,0.3049,0.2823,0.3805,0.4645,0.4225
6.3,-0.1239,0.2188,0.435,0.3077,0.3912,0.3495,0.2774,0.3124,0.2949,0.3924,0.476,0.4342
6.4,-0.125,0.2259,0.4406,0.3382,0.4252,0.3817,0.2979,0.3251,0.3115,0.4072,0.4883,0.4478
6.5,-0.1286,0.2345,0.4518,0.3688,0.4606,0.4147,0.3206,0.342,0.3313,0.424,0.501,0.4625
6.6,-0.1329,0.244,0.4677,0.3987,0.4952,0.4469,0.3443,0.3616,0.3529,0.4419,0.5134,0.4776
6.7,-0.1376,0.2542,0.4869,0.4275,0.528,0.4778,0.3681,0.3822,0.3752,0.4604,0.5254,0.4929
6.8,-0.1428,0.2653,0.5087,0.4545,0.5591,0.5068,0.3915,0.4029,0.3972,0.4795,0.5369,0.5082
6.9,-0.1487,0.2772,0.5323,0.4792,0.5886,0.5339,0.414,0.423,0.4185,0.499,0.5477,0.5233
7,-0.1552,0.2898,0.5568,0.5016,0.6169,0.5593,0.4355,0.4421,0.4388,0.5187,0.5574,0.538
7.1,-0.1628,0.3022,0.5815,0.5216,0.6439,0.5827,0.4554,0.4602,0.4578,0.5384,0.5657,0.552
7.2,-0.1728,0.3145,0.6057,0.5392,0.6694,0.6043,0.473,0.4775,0.4752,0.5578,0.5725,0.5651
7.3,-0.186,0.3272,0.6294,0.555,0.6933,0.6241,0.4873,0.4943,0.4908,0.5761,0.5777,0.5769
7.4,-0.2016,0.3409,0.6518,0.5694,0.7149,0.6422,0.4975,0.5103,0.5039,0.5921,0.5809,0.5865
7.5,-0.2178,0.3559,0.6717,0.583,0.7331,0.6581,0.5024,0.5244,0.5134,0.6045,0.5817,0.5931
7.6,-0.2331,0.3714,0.6877,0.5955,0.7468,0.6711,0.5016,0.5359,0.5188,0.6127,0.5795,0.5961
7.7,-0.2467,0.3866,0.6987,0.606,0.7554,0.6807,0.4949,0.5446,0.5198,0.6166,0.5742,0.5954
7.8,-0.2585,0.4011,0.7049,0.614,0.7589,0.6864,0.4827,0.5512,0.517,0.6163,0.5666,0.5914
7.9,-0.2681,0.4149,0.7076,0.6197,0.7578,0.6887,0.4657,0.5568,0.5113,0.6125,0.5575,0.585
8,-0.2748,0.428,0.7081,0.6238,0.7524,0.6881,0.4448,0.5617,0.5032,0.6056,0.5478,0.5767
8.1,-0.2778,0.4401,0.7066,0.6269,0.7429,0.6849,0.4211,0.5655,0.4933,0.5957,0.5382,0.5669
8.2,-0.2769,0.4508,0.7026,0.6293,0.7298,0.6795,0.3959,0.568,0.482,0.5831,0.529,0.556
8.3,-0.2732,0.4598,0.6955,0.631,0.7135,0.6723,0.3711,0.5693,0.4702,0.5687,0.5202,0.5445
8.4,-0.2681,0.4672,0.6852,0.6317,0.6948,0.6632,0.3479,0.5694,0.4586,0.5533,0.5118,0.5325
8.5,-0.2628,0.473,0.6715,0.6309,0.6742,0.6525,0.3267,0.5683,0.4475,0.5373,0.5036,0.5204
8.6,-0.2577,0.4773,0.6547,0.6286,0.6518,0.6402,0.3076,0.5657,0.4366,0.5213,0.4956,0.5084
8.7,-0.2533,0.4801,0.635,0.6247,0.6276,0.6262,0.2907,0.561,0.4259,0.5058,0.488,0.4969
8.8,-0.2512,0.4813,0.6129,0.6189,0.6019,0.6104,0.2766,0.5542,0.4154,0.4914,0.481,0.4862
8.9,-0.2532,0.4807,0.589,0.6104,0.5746,0.5925,0.2653,0.5454,0.4054,0.4784,0.4746,0.4765
9,-0.2604,0.4783,0.5648,0.5989,0.5461,0.5725,0.2572,0.5348,0.396,0.4672,0.4691,0.4681
9.1,-0.2726,0.4742,0.5414,0.5847,0.5168,0.5508,0.2518,0.5224,0.3871,0.4575,0.4646,0.461
9.2,-0.2878,0.4684,0.5195,0.5683,0.4873,0.5278,0.2485,0.5082,0.3783,0.4489,0.4608,0.4548
9.3,-0.3043,0.4604,0.4994,0.5499,0.4581,0.504,0.2465,0.4918,0.3692,0.4405,0.4573,0.4489
9.4,-0.3213,0.4497,0.4812,0.5296,0.4294,0.4795,0.2453,0.4732,0.3593,0.4321,0.4541,0.4431
9.5,-0.3389,0.4357,0.4659,0.5072,0.4016,0.4544,0.2445,0.4525,0.3485,0.4235,0.4511,0.4373
9.6,-0.3567,0.4186,0.4545,0.4827,0.3747,0.4287,0.2439,0.4296,0.3368,0.4144,0.4489,0.4317
9.7,-0.3737,0.3993,0.4477,0.4564,0.3491,0.4028,0.2434,0.4049,0.3242,0.405,0.4476,0.4263
9.8,-0.3897,0.379,0.4455,0.429,0.3255,0.3772,0.2433,0.379,0.3112,0.3953,0.4472,0.4213
9.9,-0.4059,0.3589,0.4475,0.401,0.3051,0.353,0.2434,0.3531,0.2982,0.3855,0.4477,0.4166
10,-0.4239,0.3401,0.4533,0.3732,0.289,0.3311,0.2436,0.3285,0.2861,0.3759,0.4495,0.4127
10.1,-0.4444,0.3236,0.4627,0.3458,0.2778,0.3118,0.2438,0.307,0.2754,0.367,0.4527,0.4098
10.2,-0.4669,0.31,0.4762,0.3191,0.2712,0.2952,0.244,0.2899,0.2669,0.3586,0.4571,0.4078
10.3,-0.49,0.2996,0.4935,0.2933,0.2687,0.281,0.2441,0.2782,0.2612,0.3503,0.4622,0.4062
10.4,-0.5127,0.2928,0.5139,0.2686,0.2695,0.269,0.244,0.2718,0.2579,0.3422,0.4678,0.405
10.5,-0.5345,0.2899,0.5366,0.2453,0.273,0.2591,0.2431,0.27,0.2565,0.3347,0.4735,0.4041
10.6,-0.5548,0.2911,0.5607,0.224,0.279,0.2515,0.2412,0.2719,0.2566,0.3283,0.4795,0.4039
10.7,-0.5715,0.2966,0.585,0.2052,0.2872,0.2462,0.2382,0.2777,0.2579,0.3227,0.4859,0.4043
10.8,-0.5828,0.3058,0.6081,0.189,0.2975,0.2432,0.2346,0.2873,0.2609,0.3179,0.4924,0.4051
10.9,-0.589,0.3177,0.6289,0.1753,0.3098,0.2425,0.231,0.3008,0.2659,0.314,0.4987,0.4063
11,-0.5926,0.3309,0.6469,0.1642,0.3246,0.2444,0.228,0.3182,0.2731,0.3116,0.5045,0.4081
11.1,-0.5958,0.3442,0.6622,0.1561,0.3423,0.2492,0.2264,0.3394,0.2829,0.3115,0.5098,0.4106
11.2,-0.5987,0.3569,0.6747,0.1516,0.363,0.2573,0.2269,0.3643,0.2956,0.3136,0.5144,0.414
11.3,-0.5997,0.3687,0.6836,0.1517,0.3857,0.2687,0.2299,0.3923,0.3111,0.3174,0.5181,0.4178
11.4,-0.5971,0.3795,0.6874,0.1569,0.4089,0.2829,0.2357,0.4223,0.329,0.3223,0.5203,0.4213
11.5,-0.5899,0.3889,0.685,0.1673,0.4301,0.2987,0.2441,0.4527,0.3484,0.3276,0.5206,0.4241
11.6,-0.5781,0.3967,0.6764,0.1823,0.4473,0.3148,0.2547,0.4818,0.3682,0.3334,0.5191,0.4262
11.7,-0.5621,0.4028,0.6623,0.2012,0.4589,0.3301,0.2666,0.5082,0.3874,0.3393,0.5163,0.4278
11.8,-0.5415,0.4073,0.6438,0.2231,0.4641,0.3436,0.279,0.5306,0.4048,0.3451,0.5127,0.4289
11.9,-0.516,0.4103,0.6214,0.2471,0.4629,0.355,0.2904,0.5471,0.4188,0.3506,0.5085,0.4296
12,-0.4858,0.4118,0.5957,0.272,0.4553,0.3636,0.2999,0.5558,0.4278,0.3556,0.5042,0.4299
12.1,-0.4516,0.4115,0.5675,0.2961,0.4418,0.369,0.3064,0.5555,0.431,0.3602,0.4998,0.43
12.2,-0.4146,0.4089,0.5382,0.3175,0.4228,0.3701,0.3096,0.5465,0.4281,0.3646,0.4956,0.4301
12.3,-0.3761,0.4039,0.5087,0.3344,0.3992,0.3668,0.3091,0.5294,0.4192,0.3687,0.4919,0.4303
12.4,-0.3373,0.3961,0.4798,0.3463,0.3721,0.3592,0.3049,0.5047,0.4048,0.3722,0.4886,0.4304
12.5,-0.2988,0.3859,0.4516,0.3537,0.3431,0.3484,0.2973,0.4735,0.3854,0.3749,0.4855,0.4302
12.6,-0.2605,0.3733,0.424,0.3574,0.3133,0.3354,0.2871,0.4369,0.362,0.3763,0.4826,0.4294
12.7,-0.223,0.3588,0.3974,0.3575,0.2837,0.3206,0.2752,0.3969,0.336,0.3758,0.4797,0.4278
12.8,-0.1875,0.3427,0.3718,0.3528,0.2552,0.304,0.2626,0.3555,0.309,0.3731,0.4766,0.4249
12.9,-0.1558,0.3255,0.3474,0.3425,0.2286,0.2855,0.2497,0.3142,0.282,0.3681,0.4729,0.4205
13,-0.1299,0.3074,0.3237,0.3268,0.2042,0.2655,0.2365,0.2745,0.2555,0.3614,0.4682,0.4148
13.1,-0.1117,0.2887,0.3007,0.3064,0.1827,0.2446,0.2233,0.2374,0.2303,0.3533,0.4623,0.4078
13.2,-0.1017,0.2696,0.2783,0.2822,0.1645,0.2234,0.2099,0.2038,0.2069,0.3443,0.4553,0.3998
13.3,-0.0999,0.2499,0.2562,0.2551,0.1499,0.2025,0.1962,0.1739,0.185,0.3347,0.4473,0.391
13.4,-0.1054,0.2299,0.2341,0.2258,0.1389,0.1823,0.1817,0.1472,0.1644,0.325,0.4383,0.3817
13.5,-0.1175,0.21,0.2118,0.1948,0.1313,0.163,0.1663,0.123,0.1447,0.3159,0.4285,0.3722
13.6,-0.1347,0.1909,0.1892,0.1623,0.1265,0.1444,0.1503,0.1008,0.1256,0.3079,0.4181,0.363
13.7,-0.1552,0.1735,0.1667,0.1289,0.1242,0.1266,0.1341,0.0802,0.1071,0.3014,0.4073,0.3543
13.8,-0.1775,0.1585,0.1441,0.0949,0.1242,0.1096,0.1179,0.0605,0.0892,0.2964,0.396,0.3462
13.9,-0.2004,0.1468,0.1215,0.0615,0.1265,0.094,0.1021,0.0414,0.0717,0.2932,0.3844,0.3388
14,-0.2241,0.1389,0.0992,0.0297,0.1315,0.0806,0.0872,0.0232,0.0552,0.2918,0.3729,0.3324
14.1,-0.2486,0.135,0.0778,0.0005,0.1392,0.0699,0.0741,0.0062,0.0401,0.2919,0.3617,0.3268
14.2,-0.2745,0.1354,0.0586,-0.0257,0.1496,0.062,0.0637,-0.0093,0.0272,0.2928,0.3509,0.3219
14.3,-0.3012,0.1399,0.0424,-0.0487,0.1624,0.0569,0.0565,-0.0231,0.0167,0.2942,0.3405,0.3174
14.4,-0.3275,0.1483,0.0296,-0.0672,0.1767,0.0548,0.0531,-0.0352,0.0089,0.2956,0.3311,0.3133
14.5,-0.3516,0.1608,0.0206,-0.0793,0.192,0.0563,0.0542,-0.0456,0.0043,0.2969,0.323,0.3099
14.6,-0.3719,0.178,0.0161,-0.0828,0.2079,0.0625,0.0605,-0.0539,0.0033,0.2979,0.3169,0.3074
14.7,-0.3873,0.2007,0.0172,-0.0761,0.2242,0.074,0.0723,-0.0601,0.0061,0.2983,0.3133,0.3058
14.8,-0.3974,0.2286,0.0253,-0.0596,0.2404,0.0904,0.0888,-0.0641,0.0123,0.2978,0.3124,0.3051
14.9,-0.4033,0.2609,0.0415,-0.0348,0.2555,0.1104,0.1081,-0.0667,0.0207,0.2963,0.3145,0.3054
