Time,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC,The Warehouse - Small Spenders Living Comfortably 15 TVC
3,-0.1148,0.6384,0.4344,0.6398,0.514,0.5769,0.3323,0.4921,0.4122,0.4885,0.5096,0.4991
3.1,-0.0973,0.6411,0.4249,0.667,0.517,0.592,0.3531,0.4771,0.4151,0.4914,0.5048,0.4981
3.2,-0.0854,0.645,0.4202,0.6947,0.522,0.6083,0.378,0.464,0.421,0.4951,0.5036,0.4993
3.3,-0.0796,0.6497,0.4214,0.7222,0.5299,0.626,0.407,0.4537,0.4304,0.4998,0.5066,0.5032
3.4,-0.0801,0.6546,0.429,0.7477,0.5406,0.6441,0.4388,0.447,0.4429,0.5054,0.5145,0.51
3.5,-0.0859,0.659,0.4425,0.7697,0.5539,0.6618,0.4725,0.4442,0.4584,0.5113,0.5276,0.5195
3.6,-0.0949,0.6627,0.4607,0.7876,0.5693,0.6785,0.5074,0.445,0.4762,0.5174,0.5453,0.5313
3.7,-0.1044,0.6661,0.4824,0.8017,0.5864,0.6941,0.5433,0.4483,0.4958,0.5232,0.5667,0.5449
3.8,-0.1117,0.6699,0.5066,0.8128,0.6048,0.7088,0.5807,0.4535,0.5171,0.5285,0.5905,0.5595
3.9,-0.1158,0.6749,0.5329,0.8213,0.6238,0.7226,0.6204,0.4606,0.5405,0.533,0.616,0.5745
4,-0.1167,0.6816,0.5615,0.8274,0.6425,0.7349,0.6627,0.4699,0.5663,0.5368,0.6428,0.5898
4.1,-0.1149,0.6908,0.5924,0.8312,0.6602,0.7457,0.7079,0.4823,0.5951,0.5404,0.6707,0.6056
4.2,-0.1106,0.7033,0.6253,0.8331,0.6771,0.7551,0.7554,0.4981,0.6267,0.5445,0.6996,0.622
4.3,-0.1035,0.7198,0.6592,0.8337,0.6937,0.7637,0.8044,0.5167,0.6605,0.5493,0.7286,0.6389
4.4,-0.0925,0.7407,0.6932,0.8331,0.7101,0.7716,0.8537,0.537,0.6953,0.5544,0.7568,0.6556
4.5,-0.0768,0.7657,0.7259,0.8313,0.7263,0.7788,0.9013,0.5575,0.7294,0.5597,0.7836,0.6716
4.6,-0.0568,0.7943,0.756,0.8285,0.7425,0.7855,0.945,0.5764,0.7607,0.5656,0.8084,0.687
4.7,-0.0329,0.8259,0.7828,0.8255,0.7584,0.792,0.9829,0.593,0.7879,0.5729,0.8313,0.7021
4.8,-0.0054,0.8594,0.8056,0.8226,0.7735,0.798,1.0132,0.6069,0.8101,0.5827,0.8523,0.7175
4.9,0.0261,0.893,0.824,0.8194,0.7863,0.8029,1.035,0.6181,0.8266,0.5958,0.8712,0.7335
5,0.0617,0.9243,0.8377,0.8152,0.7962,0.8057,1.0481,0.627,0.8376,0.6125,0.8873,0.7499
5.1,0.0995,0.951,0.8468,0.8093,0.8026,0.8059,1.0527,0.6341,0.8434,0.6323,0.8997,0.766
5.2,0.1366,0.9713,0.8514,0.8018,0.8047,0.8033,1.0489,0.6394,0.8442,0.6542,0.9078,0.781
5.3,0.1705,0.9844,0.8521,0.7924,0.8017,0.797,1.0362,0.6422,0.8392,0.677,0.9111,0.794
5.4,0.1995,0.9892,0.8493,0.7807,0.7926,0.7867,1.0138,0.6419,0.8278,0.6992,0.9099,0.8045
5.5,0.2235,0.9854,0.8436,0.7664,0.7768,0.7716,0.9821,0.6382,0.8102,0.7201,0.9047,0.8124
5.6,0.2427,0.9724,0.8358,0.7488,0.7544,0.7516,0.9423,0.6314,0.7869,0.7381,0.8962,0.8172
5.7,0.2565,0.9505,0.8265,0.7283,0.7262,0.7272,0.8962,0.6221,0.7591,0.752,0.885,0.8185
5.8,0.2639,0.921,0.8168,0.7058,0.693,0.6994,0.846,0.6112,0.7286,0.7613,0.8719,0.8166
5.9,0.2648,0.8864,0.8077,0.6822,0.6556,0.6689,0.7939,0.5991,0.6965,0.7667,0.8582,0.8124
6,0.2597,0.8492,0.7995,0.6584,0.6152,0.6368,0.7417,0.5862,0.664,0.7691,0.8448,0.8069
6.1,0.2499,0.8115,0.7922,0.6346,0.5734,0.604,0.6906,0.5729,0.6317,0.7689,0.8324,0.8007
6.2,0.2365,0.7745,0.7856,0.6107,0.5318,0.5712,0.6414,0.559,0.6002,0.7661,0.8209,0.7935
6.3,0.2207,0.7393,0.7796,0.5868,0.4924,0.5396,0.595,0.545,0.57,0.7605,0.8098,0.7851
6.4,0.2045,0.7064,0.7743,0.5633,0.4566,0.51,0.5521,0.5314,0.5418,0.7519,0.7983,0.7751
6.5,0.1902,0.6758,0.7695,0.5404,0.4249,0.4827,0.5131,0.5187,0.5159,0.7401,0.7857,0.7629
6.6,0.1796,0.6474,0.7647,0.5176,0.3974,0.4575,0.4785,0.5073,0.4929,0.7246,0.7714,0.748
6.7,0.1735,0.621,0.7595,0.4942,0.3733,0.4338,0.4486,0.4974,0.473,0.7055,0.7555,0.7305
6.8,0.1727,0.5965,0.7533,0.4699,0.3519,0.4109,0.4244,0.4895,0.457,0.6831,0.738,0.7106
6.9,0.1775,0.5746,0.746,0.4453,0.3327,0.389,0.407,0.4837,0.4454,0.6579,0.7192,0.6886
7,0.1875,0.556,0.7378,0.4216,0.3159,0.3687,0.3971,0.4802,0.4387,0.6304,0.6995,0.6649
7.1,0.2021,0.5407,0.7292,0.3996,0.3016,0.3506,0.3948,0.4788,0.4368,0.6009,0.6792,0.6401
7.2,0.2204,0.5283,0.7205,0.3793,0.2898,0.3346,0.3997,0.479,0.4394,0.5701,0.6586,0.6144
7.3,0.2412,0.5178,0.7121,0.3608,0.2801,0.3205,0.4116,0.4807,0.4462,0.5389,0.6383,0.5886
7.4,0.2628,0.5087,0.7039,0.3445,0.2724,0.3085,0.4303,0.4837,0.457,0.5087,0.6187,0.5637
7.5,0.2842,0.501,0.6957,0.3312,0.2668,0.299,0.455,0.4874,0.4712,0.4808,0.6004,0.5406
7.6,0.305,0.4947,0.6871,0.3216,0.2637,0.2926,0.484,0.4911,0.4875,0.456,0.5841,0.52
7.7,0.325,0.4899,0.6773,0.3161,0.2632,0.2896,0.5151,0.4943,0.5047,0.4345,0.57,0.5022
7.8,0.344,0.4864,0.6662,0.3143,0.2654,0.2898,0.5464,0.4971,0.5217,0.4168,0.5581,0.4875
7.9,0.361,0.4836,0.6534,0.3157,0.2699,0.2928,0.5761,0.4991,0.5376,0.4035,0.5485,0.476
8,0.3751,0.4815,0.639,0.3201,0.2764,0.2983,0.6025,0.5005,0.5515,0.395,0.5407,0.4679
8.1,0.3859,0.4806,0.6234,0.3282,0.2841,0.3061,0.6245,0.5015,0.563,0.3912,0.5341,0.4627
8.2,0.3937,0.4809,0.6079,0.3401,0.2927,0.3164,0.642,0.5026,0.5723,0.3918,0.5288,0.4603
8.3,0.398,0.4825,0.594,0.3557,0.3019,0.3288,0.6554,0.5047,0.58,0.3965,0.5248,0.4606
8.4,0.3989,0.4851,0.5824,0.3741,0.3121,0.3431,0.6652,0.5077,0.5864,0.4047,0.5221,0.4634
8.5,0.3963,0.4888,0.5731,0.3941,0.3232,0.3587,0.6714,0.5114,0.5914,0.4155,0.5203,0.4679
8.6,0.3904,0.4936,0.5656,0.4148,0.3349,0.3748,0.6738,0.5152,0.5945,0.4277,0.5192,0.4734
8.7,0.3805,0.4991,0.5596,0.4351,0.3467,0.3909,0.672,0.5185,0.5952,0.44,0.5181,0.4791
8.8,0.3661,0.5051,0.5551,0.4542,0.3587,0.4065,0.6663,0.5213,0.5938,0.4521,0.5169,0.4845
8.9,0.3471,0.5115,0.552,0.4717,0.371,0.4214,0.657,0.5239,0.5905,0.4642,0.5154,0.4898
9,0.324,0.5183,0.55,0.4877,0.3836,0.4356,0.6447,0.5262,0.5855,0.4765,0.5138,0.4951
9.1,0.2976,0.5258,0.5487,0.5024,0.3961,0.4493,0.6298,0.528,0.5789,0.489,0.5124,0.5007
9.2,0.2684,0.5338,0.5481,0.5164,0.4081,0.4622,0.613,0.5291,0.571,0.5019,0.5117,0.5068
9.3,0.2366,0.5421,0.5486,0.5293,0.4192,0.4743,0.5952,0.5294,0.5623,0.515,0.5121,0.5136
9.4,0.2029,0.5501,0.5502,0.5406,0.4298,0.4852,0.5772,0.5292,0.5532,0.528,0.5142,0.5211
9.5,0.1684,0.5575,0.553,0.5499,0.4405,0.4952,0.5598,0.5287,0.5443,0.5405,0.5178,0.5292
9.6,0.1344,0.5645,0.5569,0.5574,0.4524,0.5049,0.5439,0.5277,0.5358,0.5524,0.523,0.5377
9.7,0.1018,0.5712,0.5622,0.5634,0.4661,0.5147,0.5305,0.5261,0.5283,0.5634,0.5305,0.547
9.8,0.0707,0.578,0.5691,0.5684,0.4814,0.5249,0.5204,0.5238,0.5221,0.5736,0.5408,0.5572
9.9,0.0407,0.5852,0.5773,0.5724,0.4976,0.535,0.514,0.5206,0.5173,0.5827,0.5537,0.5682
10,0.0116,0.5927,0.5867,0.5755,0.5133,0.5444,0.5115,0.5157,0.5136,0.5905,0.5691,0.5798
10.1,-0.0166,0.6002,0.5967,0.5788,0.5275,0.5531,0.5129,0.509,0.5109,0.5973,0.5861,0.5917
10.2,-0.0436,0.6078,0.6067,0.583,0.5393,0.5612,0.5183,0.5004,0.5094,0.6026,0.6042,0.6034
10.3,-0.0695,0.6155,0.6161,0.5885,0.5484,0.5685,0.5271,0.4902,0.5086,0.6059,0.6228,0.6143
10.4,-0.0943,0.6232,0.6243,0.5945,0.5546,0.5746,0.5377,0.4789,0.5083,0.6065,0.6412,0.6238
10.5,-0.1178,0.6305,0.6309,0.5998,0.5577,0.5788,0.5485,0.4668,0.5076,0.6046,0.6586,0.6316
10.6,-0.1391,0.637,0.6359,0.6041,0.5575,0.5808,0.5585,0.454,0.5063,0.6012,0.6743,0.6377
10.7,-0.1572,0.6425,0.6389,0.608,0.5544,0.5812,0.5676,0.4414,0.5045,0.5972,0.6875,0.6423
10.8,-0.1716,0.6471,0.6392,0.6121,0.5492,0.5807,0.5753,0.4293,0.5023,0.5929,0.6979,0.6454
10.9,-0.1822,0.6508,0.6365,0.6162,0.5426,0.5794,0.5804,0.4181,0.4992,0.5882,0.705,0.6466
11,-0.189,0.6538,0.6305,0.6198,0.5351,0.5774,0.5812,0.4077,0.4945,0.5832,0.7085,0.6459
11.1,-0.1921,0.656,0.6217,0.6227,0.5267,0.5747,0.577,0.3985,0.4877,0.5785,0.7078,0.6432
11.2,-0.1919,0.6572,0.6113,0.6253,0.5176,0.5714,0.5676,0.3908,0.4792,0.5749,0.7029,0.6389
11.3,-0.1889,0.6571,0.5999,0.6281,0.5076,0.5679,0.553,0.3848,0.4689,0.5728,0.6939,0.6333
11.4,-0.1836,0.6553,0.5883,0.631,0.4968,0.5639,0.5332,0.3807,0.457,0.5721,0.6811,0.6266
11.5,-0.1766,0.6514,0.5772,0.6335,0.4854,0.5594,0.5084,0.3788,0.4436,0.5728,0.6651,0.6189
11.6,-0.1686,0.6448,0.5679,0.6347,0.4734,0.5541,0.4796,0.3792,0.4294,0.5751,0.6465,0.6108
11.7,-0.1603,0.6356,0.561,0.6344,0.4611,0.5478,0.4481,0.3818,0.415,0.5792,0.6254,0.6023
11.8,-0.1518,0.6243,0.5564,0.6328,0.4488,0.5408,0.415,0.3862,0.4006,0.5852,0.6023,0.5937
11.9,-0.1435,0.6117,0.5541,0.6306,0.4369,0.5338,0.3807,0.3919,0.3863,0.5932,0.5775,0.5853
12,-0.137,0.5982,0.5541,0.628,0.4257,0.5268,0.3455,0.399,0.3722,0.6034,0.5519,0.5776
12.1,-0.1342,0.5844,0.5564,0.6251,0.4154,0.5203,0.3101,0.4072,0.3586,0.6164,0.5265,0.5714
12.2,-0.136,0.5706,0.5611,0.622,0.4067,0.5144,0.276,0.4162,0.3461,0.633,0.5022,0.5676
12.3,-0.1423,0.5572,0.5678,0.6192,0.4005,0.5098,0.2449,0.4259,0.3354,0.6533,0.4802,0.5667
12.4,-0.1524,0.5451,0.5764,0.6173,0.3974,0.5073,0.2183,0.4359,0.3271,0.6763,0.4618,0.5691
12.5,-0.166,0.535,0.5869,0.6169,0.3984,0.5076,0.1976,0.4468,0.3222,0.7007,0.4486,0.5746
12.6,-0.1833,0.5278,0.6,0.6187,0.4047,0.5117,0.1838,0.4596,0.3217,0.725,0.4412,0.5831
12.7,-0.2045,0.5245,0.6158,0.6233,0.4176,0.5204,0.1774,0.4751,0.3263,0.7478,0.4402,0.594
12.8,-0.2288,0.5259,0.634,0.6308,0.4381,0.5345,0.1785,0.4934,0.336,0.7684,0.445,0.6067
12.9,-0.2547,0.5323,0.6536,0.6413,0.4668,0.5541,0.1869,0.5142,0.3505,0.7863,0.4542,0.6202
13,-0.2809,0.5436,0.6736,0.6548,0.5027,0.5787,0.2026,0.5366,0.3696,0.8009,0.4662,0.6336
13.1,-0.3062,0.5591,0.6937,0.6713,0.5434,0.6073,0.2259,0.5605,0.3932,0.8121,0.4798,0.646
13.2,-0.3301,0.578,0.7136,0.6908,0.5865,0.6387,0.2569,0.5857,0.4213,0.8197,0.4938,0.6567
13.3,-0.3521,0.5995,0.7335,0.7134,0.6296,0.6715,0.2955,0.6123,0.4539,0.8238,0.507,0.6654
13.4,-0.3709,0.6228,0.7531,0.7387,0.6705,0.7046,0.341,0.6401,0.4906,0.8247,0.5182,0.6715
13.5,-0.3856,0.6471,0.7718,0.7661,0.7072,0.7366,0.392,0.6689,0.5304,0.8228,0.5265,0.6747
13.6,-0.3953,0.6708,0.7889,0.794,0.7375,0.7657,0.4463,0.6978,0.572,0.8181,0.5317,0.6749
13.7,-0.3999,0.6924,0.8038,0.8206,0.7592,0.7899,0.5012,0.725,0.6131,0.8109,0.5338,0.6723
13.8,-0.3991,0.7101,0.8159,0.8445,0.771,0.8077,0.5537,0.7484,0.651,0.8017,0.5327,0.6672
13.9,-0.3925,0.7226,0.8251,0.8649,0.7719,0.8184,0.6016,0.7666,0.6841,0.7911,0.5287,0.6599
14,-0.3796,0.7291,0.8311,0.8819,0.7614,0.8216,0.6433,0.7797,0.7115,0.7795,0.5225,0.651
14.1,-0.3602,0.7285,0.834,0.8952,0.739,0.8171,0.6779,0.7881,0.733,0.7671,0.5153,0.6412
14.2,-0.3345,0.7209,0.8335,0.9048,0.7043,0.8046,0.7046,0.7923,0.7484,0.7543,0.5086,0.6315
14.3,-0.3024,0.7065,0.8295,0.9108,0.6578,0.7843,0.7228,0.7921,0.7574,0.7421,0.5036,0.6229
14.4,-0.2638,0.6859,0.8219,0.9137,0.601,0.7574,0.7323,0.7872,0.7597,0.7313,0.5012,0.6163
14.5,-0.219,0.6598,0.8114,0.9136,0.5366,0.7251,0.7336,0.7779,0.7557,0.7225,0.5024,0.6125
14.6,-0.1695,0.629,0.7979,0.9102,0.4676,0.6889,0.7279,0.7646,0.7462,0.7154,0.5081,0.6118
14.7,-0.1167,0.595,0.7813,0.9029,0.3969,0.6499,0.7168,0.7477,0.7323,0.7092,0.5181,0.6137
14.8,-0.0626,0.5598,0.762,0.8915,0.3275,0.6095,0.7022,0.7284,0.7153,0.7031,0.5314,0.6172
14.9,-0.0088,0.5256,0.7409,0.8763,0.2621,0.5692,0.6863,0.7081,0.6972,0.6976,0.5468,0.6222
