Time,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC,Bank of Queensland - My BOQ App 15 TVC
1.6,0.5011,0.4809,0.529,0.3441,0.3643,0.3542,0.3625,0.285,0.3238,0.3076,0.6591,0.4833
1.7,0.565,0.469,0.5209,0.3311,0.3784,0.3547,0.3737,0.2734,0.3236,0.2927,0.641,0.4669
1.8,0.6228,0.4572,0.5082,0.3195,0.3934,0.3564,0.387,0.264,0.3255,0.2809,0.6221,0.4515
1.9,0.6767,0.4458,0.4913,0.3099,0.4082,0.359,0.4019,0.2569,0.3294,0.272,0.6033,0.4377
2,0.7284,0.4355,0.4713,0.3023,0.4223,0.3623,0.4177,0.2517,0.3347,0.2658,0.5854,0.4256
2.1,0.7771,0.4272,0.4491,0.2964,0.4364,0.3664,0.4337,0.2481,0.3409,0.2627,0.5686,0.4157
2.2,0.8207,0.4217,0.4257,0.292,0.4514,0.3717,0.4497,0.2461,0.3479,0.2629,0.5532,0.408
2.3,0.8576,0.4192,0.4026,0.2897,0.4676,0.3787,0.4656,0.246,0.3558,0.2668,0.5393,0.4031
2.4,0.8878,0.4197,0.3818,0.2906,0.4853,0.388,0.4819,0.2479,0.3649,0.2748,0.5277,0.4012
2.5,0.9122,0.423,0.3645,0.2955,0.5048,0.4002,0.4984,0.2516,0.375,0.2866,0.5191,0.4029
2.6,0.9317,0.4297,0.3512,0.3045,0.5267,0.4156,0.5146,0.2565,0.3855,0.3018,0.5138,0.4078
2.7,0.946,0.4402,0.3415,0.317,0.5512,0.4341,0.5295,0.2618,0.3957,0.3203,0.5117,0.416
2.8,0.9546,0.4547,0.3347,0.3324,0.578,0.4552,0.5424,0.2668,0.4046,0.3415,0.512,0.4268
2.9,0.956,0.473,0.3301,0.3508,0.606,0.4784,0.5519,0.2706,0.4112,0.3644,0.5135,0.439
3,0.949,0.495,0.3268,0.3728,0.6345,0.5037,0.5573,0.2727,0.415,0.3874,0.5151,0.4512
3.1,0.9322,0.5208,0.3245,0.3986,0.6631,0.5308,0.5587,0.2731,0.4159,0.4094,0.5161,0.4627
3.2,0.9052,0.5502,0.3227,0.4271,0.6909,0.559,0.557,0.2723,0.4147,0.4298,0.5168,0.4733
3.3,0.8697,0.5829,0.3206,0.4569,0.7164,0.5866,0.5532,0.271,0.4121,0.4486,0.5178,0.4832
3.4,0.8292,0.6171,0.3175,0.487,0.7375,0.6122,0.5483,0.2696,0.409,0.466,0.5195,0.4927
3.5,0.7869,0.6502,0.3132,0.5164,0.7516,0.634,0.5422,0.2688,0.4055,0.4815,0.5217,0.5016
3.6,0.7447,0.6789,0.3081,0.5442,0.7578,0.651,0.5345,0.2686,0.4016,0.4948,0.5238,0.5093
3.7,0.7027,0.7012,0.3024,0.5694,0.757,0.6632,0.5258,0.269,0.3974,0.5056,0.5252,0.5154
3.8,0.6593,0.7157,0.2966,0.5917,0.7507,0.6712,0.5168,0.2701,0.3935,0.5137,0.5257,0.5197
3.9,0.6122,0.7219,0.2913,0.6116,0.7406,0.6761,0.5081,0.2725,0.3903,0.5188,0.5251,0.522
4,0.5616,0.7195,0.2868,0.6296,0.7275,0.6786,0.5002,0.2764,0.3883,0.5206,0.5236,0.5221
4.1,0.5096,0.7085,0.2836,0.6461,0.7123,0.6792,0.4937,0.2822,0.388,0.5188,0.5216,0.5202
4.2,0.4585,0.6897,0.2817,0.6603,0.696,0.6782,0.4889,0.2901,0.3895,0.5142,0.52,0.5171
4.3,0.4094,0.6642,0.281,0.671,0.6792,0.6751,0.4858,0.2997,0.3928,0.5077,0.5192,0.5134
4.4,0.3623,0.6335,0.2812,0.6772,0.6632,0.6702,0.4841,0.3103,0.3972,0.5,0.5194,0.5097
4.5,0.3161,0.5998,0.2818,0.6788,0.649,0.6639,0.4834,0.3216,0.4025,0.4916,0.5203,0.5059
4.6,0.271,0.5649,0.2828,0.6761,0.6376,0.6568,0.4836,0.3333,0.4084,0.4827,0.5217,0.5022
4.7,0.2276,0.5304,0.2844,0.6698,0.6292,0.6495,0.4848,0.3454,0.4151,0.474,0.5234,0.4987
4.8,0.1865,0.4977,0.2869,0.6607,0.6239,0.6423,0.4871,0.3577,0.4224,0.4668,0.5257,0.4962
4.9,0.148,0.4676,0.2908,0.6496,0.6208,0.6352,0.4907,0.37,0.4304,0.4624,0.529,0.4957
5,0.1125,0.4405,0.2963,0.6374,0.6192,0.6283,0.4958,0.3827,0.4392,0.4616,0.5336,0.4976
5.1,0.0808,0.4169,0.3034,0.6246,0.6187,0.6216,0.5028,0.3961,0.4494,0.4651,0.5396,0.5023
5.2,0.0537,0.397,0.3122,0.612,0.6192,0.6156,0.512,0.4103,0.4611,0.4732,0.5471,0.5102
5.3,0.0313,0.381,0.3225,0.6,0.6207,0.6103,0.5235,0.4252,0.4744,0.4863,0.5561,0.5212
5.4,0.0136,0.369,0.3334,0.5883,0.6229,0.6056,0.537,0.4406,0.4888,0.504,0.5658,0.5349
5.5,0.0004,0.3608,0.3434,0.577,0.6252,0.6011,0.5519,0.4558,0.5038,0.5254,0.5757,0.5506
5.6,-0.0077,0.3558,0.351,0.5662,0.6267,0.5964,0.5675,0.4698,0.5186,0.5494,0.5851,0.5672
5.7,-0.0101,0.3535,0.3558,0.5557,0.6268,0.5913,0.5829,0.4817,0.5323,0.574,0.5934,0.5837
5.8,-0.0064,0.3535,0.3577,0.5458,0.6251,0.5855,0.597,0.491,0.544,0.5979,0.6006,0.5992
5.9,0.0038,0.3556,0.3568,0.5359,0.6213,0.5786,0.6089,0.4972,0.5531,0.6197,0.6061,0.6129
6,0.0202,0.36,0.3533,0.5261,0.6148,0.5704,0.6183,0.5001,0.5592,0.6385,0.6098,0.6241
6.1,0.0423,0.3663,0.3474,0.5163,0.6054,0.5608,0.6248,0.5001,0.5624,0.6533,0.6111,0.6322
6.2,0.0686,0.3739,0.3391,0.5071,0.5931,0.5501,0.6287,0.4974,0.563,0.6638,0.61,0.6369
6.3,0.0975,0.3823,0.3291,0.4991,0.5791,0.5391,0.6301,0.4928,0.5614,0.6699,0.6067,0.6383
6.4,0.1276,0.3915,0.3184,0.4924,0.5645,0.5284,0.6292,0.4869,0.5581,0.672,0.6019,0.6369
6.5,0.1573,0.401,0.3084,0.4865,0.5501,0.5183,0.626,0.4804,0.5532,0.6708,0.5964,0.6336
6.6,0.1849,0.41,0.2997,0.4804,0.5359,0.5081,0.6201,0.4738,0.547,0.6665,0.5904,0.6285
6.7,0.2088,0.4175,0.2926,0.4737,0.5215,0.4976,0.6117,0.4672,0.5394,0.659,0.5839,0.6215
6.8,0.2274,0.423,0.2875,0.4664,0.5069,0.4867,0.6014,0.4605,0.531,0.6482,0.5767,0.6125
6.9,0.2397,0.4271,0.2846,0.4591,0.4924,0.4757,0.59,0.4541,0.5221,0.634,0.5688,0.6014
7,0.2448,0.4313,0.2845,0.4526,0.4791,0.4659,0.5779,0.4481,0.513,0.6165,0.5604,0.5885
7.1,0.2422,0.4375,0.2875,0.4475,0.469,0.4582,0.5654,0.4429,0.5041,0.5964,0.5519,0.5741
7.2,0.2321,0.4466,0.2937,0.4435,0.4628,0.4531,0.5527,0.4387,0.4957,0.5742,0.5439,0.559
7.3,0.2142,0.4587,0.3031,0.4396,0.4602,0.4499,0.54,0.4359,0.488,0.5509,0.5367,0.5438
7.4,0.1886,0.4736,0.3153,0.4348,0.4603,0.4476,0.5278,0.4352,0.4815,0.5274,0.5308,0.5291
7.5,0.1562,0.4906,0.3304,0.4283,0.4627,0.4455,0.5163,0.4367,0.4765,0.5046,0.5272,0.5159
7.6,0.1187,0.5088,0.3487,0.4203,0.4668,0.4435,0.5058,0.4407,0.4733,0.4835,0.5266,0.5051
7.7,0.0783,0.5267,0.3703,0.4115,0.4712,0.4414,0.4966,0.4468,0.4717,0.465,0.5298,0.4974
7.8,0.0362,0.543,0.3954,0.4028,0.4748,0.4388,0.4892,0.4547,0.472,0.4495,0.5366,0.493
7.9,-0.0067,0.5561,0.4235,0.3946,0.4767,0.4356,0.4837,0.4637,0.4737,0.4375,0.5468,0.4922
8,-0.0482,0.5643,0.4533,0.3864,0.476,0.4312,0.4797,0.473,0.4764,0.4296,0.5604,0.495
8.1,-0.0849,0.5659,0.4831,0.3774,0.4713,0.4244,0.4767,0.4815,0.4791,0.4264,0.5771,0.5017
8.2,-0.1147,0.5601,0.512,0.367,0.4615,0.4143,0.4741,0.4883,0.4812,0.4279,0.5961,0.512
8.3,-0.1369,0.5474,0.5387,0.3552,0.4466,0.4009,0.4715,0.4931,0.4823,0.4335,0.6164,0.5249
8.4,-0.1516,0.5288,0.5623,0.3421,0.4278,0.385,0.4689,0.496,0.4825,0.4415,0.6366,0.539
8.5,-0.1587,0.5056,0.5825,0.3278,0.4065,0.3672,0.4663,0.4975,0.4819,0.4503,0.6556,0.553
8.6,-0.1584,0.4785,0.5989,0.3122,0.3832,0.3477,0.4637,0.4977,0.4807,0.4592,0.6728,0.566
8.7,-0.1512,0.4484,0.6115,0.2954,0.3578,0.3266,0.4611,0.4965,0.4788,0.4676,0.6876,0.5776
8.8,-0.1383,0.4164,0.6206,0.2779,0.3308,0.3044,0.4582,0.4939,0.476,0.476,0.6994,0.5877
8.9,-0.1207,0.3836,0.6271,0.261,0.3032,0.2821,0.4547,0.49,0.4724,0.4848,0.7076,0.5962
9,-0.0997,0.3514,0.6315,0.2454,0.2763,0.2608,0.4509,0.4851,0.468,0.494,0.7121,0.6031
9.1,-0.0761,0.3204,0.6342,0.2316,0.2508,0.2412,0.4467,0.4789,0.4628,0.5037,0.7127,0.6082
9.2,-0.0507,0.2912,0.6351,0.2197,0.2273,0.2235,0.4426,0.4715,0.457,0.514,0.7095,0.6118
9.3,-0.025,0.2645,0.6336,0.2107,0.2063,0.2085,0.4387,0.4629,0.4508,0.5251,0.7029,0.614
9.4,0,0.241,0.6293,0.2054,0.1888,0.1971,0.4356,0.4539,0.4448,0.5368,0.6935,0.6151
9.5,0.0244,0.2213,0.6217,0.2044,0.175,0.1897,0.4336,0.4447,0.4391,0.5491,0.6819,0.6155
9.6,0.0491,0.205,0.611,0.2071,0.1647,0.1859,0.4324,0.4354,0.4339,0.5618,0.6686,0.6152
9.7,0.0738,0.192,0.5972,0.2125,0.1578,0.1852,0.4318,0.4258,0.4288,0.5747,0.6541,0.6144
9.8,0.0972,0.1822,0.581,0.2203,0.1545,0.1874,0.4315,0.4159,0.4237,0.5871,0.639,0.6131
9.9,0.117,0.1757,0.5627,0.2299,0.1548,0.1924,0.4314,0.406,0.4187,0.5988,0.6237,0.6113
10,0.1319,0.1729,0.5429,0.2409,0.1587,0.1998,0.4318,0.396,0.4139,0.6097,0.6087,0.6092
10.1,0.1418,0.1745,0.522,0.2532,0.1655,0.2094,0.4328,0.3861,0.4094,0.6204,0.5949,0.6077
10.2,0.1475,0.1812,0.5007,0.2663,0.1744,0.2203,0.4342,0.3768,0.4055,0.6314,0.5831,0.6072
10.3,0.1492,0.1929,0.4792,0.2795,0.1848,0.2321,0.4358,0.3688,0.4023,0.6428,0.5739,0.6084
10.4,0.1471,0.2084,0.4581,0.2918,0.1963,0.2441,0.4374,0.3629,0.4001,0.6548,0.5679,0.6114
10.5,0.1415,0.226,0.4381,0.302,0.2087,0.2554,0.4389,0.3595,0.3992,0.6671,0.5657,0.6164
10.6,0.1337,0.2436,0.4194,0.3099,0.2216,0.2658,0.4407,0.3589,0.3998,0.6797,0.5677,0.6237
10.7,0.125,0.2598,0.4028,0.317,0.2349,0.2759,0.4436,0.3615,0.4025,0.6927,0.574,0.6333
10.8,0.116,0.2742,0.3887,0.3246,0.2487,0.2866,0.4478,0.3672,0.4075,0.7057,0.5836,0.6446
10.9,0.1086,0.2863,0.3777,0.3333,0.2633,0.2983,0.4534,0.3751,0.4143,0.7183,0.5952,0.6568
11,0.1033,0.2954,0.3699,0.3428,0.2791,0.311,0.46,0.384,0.422,0.7306,0.6079,0.6692
11.1,0.0981,0.3013,0.3654,0.3526,0.2965,0.3245,0.4668,0.3931,0.4299,0.7432,0.6209,0.682
11.2,0.0901,0.305,0.3643,0.3629,0.3167,0.3398,0.4731,0.4028,0.438,0.7562,0.6345,0.6954
11.3,0.0775,0.3082,0.3663,0.3743,0.3414,0.3579,0.4788,0.4143,0.4466,0.7695,0.6487,0.7091
11.4,0.061,0.3124,0.3712,0.3877,0.3713,0.3795,0.4844,0.4282,0.4563,0.7821,0.6628,0.7224
11.5,0.0424,0.3192,0.3791,0.4035,0.4068,0.4052,0.4907,0.4443,0.4675,0.7926,0.6763,0.7344
11.6,0.0222,0.3301,0.3902,0.4235,0.448,0.4357,0.4979,0.4628,0.4803,0.7998,0.6887,0.7443
11.7,-0.0001,0.3467,0.4051,0.4491,0.4953,0.4722,0.5055,0.4841,0.4948,0.8031,0.7002,0.7516
11.8,-0.0242,0.3687,0.4234,0.4803,0.5472,0.5137,0.5125,0.5081,0.5103,0.8025,0.7106,0.7565
11.9,-0.0487,0.395,0.444,0.5154,0.6008,0.5581,0.5177,0.5333,0.5255,0.7984,0.7192,0.7588
12,-0.0742,0.4243,0.4646,0.552,0.6529,0.6025,0.5201,0.5575,0.5388,0.7917,0.7248,0.7583
12.1,-0.1025,0.4557,0.4834,0.5888,0.7014,0.6451,0.5192,0.5787,0.5489,0.7834,0.7272,0.7553
12.2,-0.1339,0.4886,0.5002,0.6239,0.7454,0.6847,0.5148,0.596,0.5554,0.7747,0.7269,0.7508
12.3,-0.167,0.522,0.5153,0.6555,0.7844,0.72,0.507,0.6093,0.5582,0.7657,0.7247,0.7452
12.4,-0.1995,0.5546,0.529,0.6814,0.8178,0.7496,0.4963,0.6183,0.5573,0.756,0.721,0.7385
12.5,-0.2287,0.5844,0.5409,0.6993,0.8443,0.7718,0.4825,0.6225,0.5525,0.7451,0.7159,0.7305
12.6,-0.253,0.6096,0.5505,0.7077,0.862,0.7849,0.4662,0.622,0.5441,0.7329,0.71,0.7214
12.7,-0.2725,0.6295,0.5571,0.7068,0.8703,0.7885,0.4481,0.6175,0.5328,0.7195,0.7036,0.7116
12.8,-0.2885,0.6442,0.5603,0.6975,0.8702,0.7839,0.4288,0.6095,0.5191,0.7049,0.697,0.7009
12.9,-0.3024,0.6541,0.5602,0.6813,0.8629,0.7721,0.4089,0.5979,0.5034,0.6889,0.6898,0.6894
13,-0.3155,0.6592,0.5573,0.6591,0.8491,0.7541,0.3889,0.5829,0.4859,0.6716,0.6822,0.6769
13.1,-0.3289,0.6598,0.5518,0.6328,0.8296,0.7312,0.3697,0.5649,0.4673,0.6533,0.6745,0.6639
13.2,-0.3421,0.6561,0.5442,0.6042,0.805,0.7046,0.3522,0.5447,0.4484,0.6343,0.6666,0.6505
13.3,-0.3529,0.6481,0.5348,0.5745,0.7752,0.6748,0.3364,0.5224,0.4294,0.615,0.6583,0.6366
13.4,-0.3593,0.6365,0.5233,0.544,0.7402,0.6421,0.3218,0.498,0.4099,0.5952,0.6491,0.6221
13.5,-0.3601,0.6219,0.5092,0.5131,0.7002,0.6066,0.3081,0.4713,0.3897,0.575,0.6386,0.6068
13.6,-0.3552,0.6042,0.4921,0.482,0.6559,0.5689,0.2951,0.4421,0.3686,0.5545,0.6265,0.5905
13.7,-0.3454,0.5835,0.4717,0.4511,0.6088,0.5299,0.2832,0.4107,0.3469,0.534,0.6127,0.5733
13.8,-0.3318,0.56,0.4479,0.4209,0.5607,0.4908,0.2725,0.3768,0.3247,0.5136,0.5967,0.5551
13.9,-0.3152,0.5346,0.4205,0.3919,0.5138,0.4528,0.2628,0.3404,0.3016,0.493,0.5778,0.5354
14,-0.2957,0.5082,0.3899,0.3647,0.4701,0.4174,0.2538,0.3015,0.2777,0.4721,0.5554,0.5137
14.1,-0.2732,0.4822,0.3567,0.3393,0.432,0.3857,0.2457,0.261,0.2533,0.4508,0.5291,0.49
14.2,-0.2483,0.4577,0.3218,0.3154,0.4006,0.358,0.2387,0.2198,0.2292,0.4293,0.4997,0.4645
14.3,-0.2222,0.4359,0.2864,0.2929,0.3764,0.3347,0.2323,0.179,0.2056,0.4079,0.4692,0.4385
14.4,-0.1972,0.4182,0.2534,0.2731,0.3602,0.3166,0.226,0.1402,0.1831,0.3868,0.4404,0.4136
14.5,-0.1755,0.4059,0.2259,0.2577,0.353,0.3053,0.2193,0.1054,0.1624,0.3663,0.4163,0.3913
14.6,-0.1583,0.3999,0.2059,0.2477,0.3551,0.3014,0.2124,0.0765,0.1444,0.3464,0.3992,0.3728
14.7,-0.1466,0.4002,0.1941,0.243,0.3656,0.3043,0.2057,0.0546,0.1302,0.328,0.3907,0.3594
14.8,-0.141,0.406,0.1901,0.2427,0.382,0.3123,0.1996,0.0398,0.1197,0.3122,0.3913,0.3518
14.9,-0.1427,0.4165,0.193,0.2461,0.4026,0.3244,0.1927,0.0315,0.1121,0.2993,0.4006,0.3499
