Time,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC,Qantas Frequent Flyer TVC
4.1,-0.1372,0.5712,0.5,0.4227,0.5764,0.4996,0.569,0.5897,0.5793,0.4795,0.4848,0.4821
4.2,-0.124,0.562,0.513,0.4272,0.5735,0.5003,0.5802,0.597,0.5886,0.5051,0.5002,0.5026
4.3,-0.1116,0.5552,0.5291,0.4344,0.5733,0.5038,0.5939,0.6079,0.6009,0.5349,0.5177,0.5263
4.4,-0.1008,0.551,0.5479,0.4441,0.5765,0.5103,0.6101,0.6224,0.6163,0.5686,0.5376,0.5531
4.5,-0.0921,0.5498,0.5687,0.4562,0.5836,0.5199,0.6284,0.6404,0.6344,0.6051,0.5595,0.5823
4.6,-0.0854,0.5521,0.5909,0.4707,0.5948,0.5327,0.6484,0.662,0.6552,0.6431,0.5828,0.613
4.7,-0.08,0.5584,0.6144,0.4883,0.61,0.5491,0.6702,0.6867,0.6785,0.6816,0.6071,0.6443
4.8,-0.0748,0.5691,0.6391,0.5094,0.6289,0.5691,0.6935,0.714,0.7037,0.7196,0.6317,0.6757
4.9,-0.069,0.584,0.6644,0.5337,0.6506,0.5922,0.7174,0.7426,0.73,0.7565,0.6563,0.7064
5,-0.0631,0.6023,0.6891,0.5601,0.6739,0.617,0.7411,0.7712,0.7562,0.7911,0.6802,0.7356
5.1,-0.0585,0.623,0.7122,0.5868,0.6975,0.6422,0.7638,0.7986,0.7812,0.8227,0.7027,0.7627
5.2,-0.0566,0.6447,0.7333,0.612,0.7203,0.6661,0.7852,0.8242,0.8047,0.8503,0.7234,0.7869
5.3,-0.0577,0.6663,0.7524,0.6343,0.7413,0.6878,0.8053,0.8474,0.8264,0.8734,0.7419,0.8077
5.4,-0.0611,0.6866,0.7694,0.6526,0.7598,0.7062,0.8238,0.868,0.8459,0.8917,0.7573,0.8245
5.5,-0.0663,0.7047,0.7838,0.666,0.7754,0.7207,0.8401,0.8853,0.8627,0.9047,0.7686,0.8367
5.6,-0.0731,0.7196,0.7948,0.6741,0.7876,0.7309,0.8532,0.8986,0.8759,0.9119,0.775,0.8435
5.7,-0.0813,0.7307,0.8021,0.6769,0.7961,0.7365,0.8627,0.9076,0.8852,0.9129,0.7759,0.8444
5.8,-0.0904,0.7379,0.8055,0.6747,0.8008,0.7378,0.8682,0.912,0.8901,0.9075,0.7713,0.8394
5.9,-0.0993,0.7412,0.8054,0.6684,0.8018,0.7351,0.8699,0.9118,0.8908,0.8956,0.7617,0.8287
6,-0.1066,0.7411,0.8017,0.659,0.7994,0.7292,0.8683,0.907,0.8877,0.8777,0.7478,0.8128
6.1,-0.1114,0.7377,0.7948,0.6475,0.7942,0.7208,0.8643,0.898,0.8811,0.8542,0.7299,0.792
6.2,-0.1138,0.7312,0.7847,0.6343,0.7862,0.7103,0.858,0.8854,0.8717,0.8256,0.7091,0.7674
6.3,-0.1148,0.7215,0.7719,0.6193,0.7757,0.6975,0.8496,0.8696,0.8596,0.7934,0.6865,0.7399
6.4,-0.1152,0.7088,0.7567,0.6026,0.7632,0.6829,0.8392,0.8512,0.8452,0.7589,0.663,0.711
6.5,-0.1156,0.6939,0.7399,0.5852,0.7494,0.6673,0.8274,0.8309,0.8291,0.7236,0.6395,0.6815
6.6,-0.1166,0.6779,0.7222,0.5678,0.7356,0.6517,0.8148,0.8095,0.8122,0.689,0.6165,0.6527
6.7,-0.1183,0.6621,0.7042,0.5514,0.7228,0.6371,0.8023,0.7881,0.7952,0.6566,0.5947,0.6256
6.8,-0.1208,0.6479,0.6865,0.5369,0.7119,0.6244,0.7901,0.7677,0.7789,0.628,0.5745,0.6012
6.9,-0.1247,0.636,0.6698,0.5246,0.7031,0.6139,0.7786,0.7491,0.7638,0.6044,0.5563,0.5804
7,-0.1303,0.6272,0.6546,0.5153,0.6966,0.606,0.768,0.733,0.7505,0.5866,0.5406,0.5636
7.1,-0.1379,0.6217,0.6415,0.5094,0.6926,0.601,0.7585,0.7198,0.7392,0.5745,0.5274,0.551
7.2,-0.1473,0.6199,0.6307,0.5076,0.6911,0.5993,0.7502,0.7097,0.73,0.5677,0.5171,0.5424
7.3,-0.1579,0.6216,0.6224,0.51,0.6921,0.601,0.7433,0.7028,0.7231,0.5655,0.5095,0.5375
7.4,-0.1692,0.6267,0.6162,0.5161,0.6954,0.6058,0.7377,0.6986,0.7182,0.5671,0.5048,0.536
7.5,-0.1803,0.6341,0.6114,0.5251,0.6998,0.6124,0.7327,0.6962,0.7144,0.5711,0.5028,0.537
7.6,-0.1909,0.6425,0.6073,0.5358,0.7036,0.6197,0.7272,0.6944,0.7108,0.5762,0.5031,0.5396
7.7,-0.2002,0.6505,0.6032,0.5467,0.705,0.6259,0.7202,0.6921,0.7062,0.5806,0.5051,0.5429
7.8,-0.2071,0.6571,0.5986,0.557,0.7027,0.6298,0.7104,0.6884,0.6994,0.583,0.5079,0.5455
7.9,-0.2104,0.6619,0.593,0.5658,0.6957,0.6308,0.6971,0.6825,0.6898,0.5822,0.5103,0.5463
8,-0.2093,0.6647,0.5863,0.5724,0.6838,0.6281,0.68,0.6738,0.6769,0.5776,0.5119,0.5447
8.1,-0.2036,0.6652,0.5782,0.5761,0.6666,0.6213,0.6591,0.6622,0.6606,0.5691,0.5122,0.5407
8.2,-0.1942,0.6632,0.5689,0.5762,0.6444,0.6103,0.6346,0.6476,0.6411,0.5573,0.5114,0.5343
8.3,-0.1826,0.6587,0.5587,0.5722,0.6176,0.5949,0.6069,0.6304,0.6186,0.5426,0.5094,0.526
8.4,-0.1705,0.6521,0.548,0.5643,0.5875,0.5759,0.5771,0.6112,0.5942,0.5258,0.5065,0.5161
8.5,-0.1591,0.6443,0.5375,0.5531,0.5559,0.5545,0.5463,0.5911,0.5687,0.5077,0.5029,0.5053
8.6,-0.1488,0.6356,0.5278,0.5391,0.5243,0.5317,0.5156,0.5711,0.5434,0.489,0.499,0.494
8.7,-0.1397,0.6262,0.5192,0.5229,0.4938,0.5083,0.4858,0.5521,0.5189,0.4705,0.4947,0.4826
8.8,-0.1317,0.6163,0.512,0.5048,0.4654,0.4851,0.4575,0.5349,0.4962,0.4528,0.49,0.4714
8.9,-0.1258,0.6054,0.5063,0.4854,0.4396,0.4625,0.4316,0.52,0.4758,0.4368,0.4851,0.461
9,-0.123,0.5934,0.5023,0.4649,0.417,0.4409,0.4087,0.5079,0.4583,0.4231,0.4805,0.4518
9.1,-0.1243,0.5802,0.5002,0.4437,0.3981,0.4209,0.3894,0.4991,0.4442,0.4125,0.4766,0.4445
9.2,-0.1298,0.5657,0.5004,0.4225,0.3839,0.4032,0.3747,0.4943,0.4345,0.4055,0.4735,0.4395
9.3,-0.1391,0.5502,0.5032,0.4021,0.3751,0.3886,0.3652,0.4945,0.4299,0.4026,0.4715,0.4371
9.4,-0.1519,0.5341,0.5093,0.3834,0.3723,0.3778,0.3618,0.5001,0.4309,0.4045,0.4711,0.4378
9.5,-0.1678,0.5175,0.5189,0.3674,0.3757,0.3715,0.3643,0.5114,0.4378,0.4112,0.4725,0.4419
9.6,-0.1858,0.5006,0.5317,0.3546,0.3849,0.3698,0.3722,0.5283,0.4503,0.4228,0.4756,0.4492
9.7,-0.2049,0.4837,0.5473,0.3458,0.3996,0.3727,0.3849,0.5503,0.4676,0.4387,0.4803,0.4595
9.8,-0.2234,0.4674,0.5651,0.3414,0.4187,0.3801,0.4014,0.5767,0.4891,0.4579,0.4864,0.4722
9.9,-0.2399,0.4525,0.5843,0.3417,0.441,0.3914,0.4215,0.6066,0.5141,0.4799,0.4937,0.4868
10,-0.2538,0.4399,0.6042,0.3462,0.4653,0.4058,0.4449,0.639,0.5419,0.5042,0.5024,0.5033
10.1,-0.2654,0.4298,0.624,0.354,0.49,0.422,0.4708,0.6727,0.5717,0.5303,0.5124,0.5213
10.2,-0.2746,0.4226,0.6429,0.3644,0.5133,0.4389,0.498,0.7062,0.6021,0.5571,0.5233,0.5402
10.3,-0.2806,0.418,0.66,0.3767,0.5336,0.4552,0.5251,0.738,0.6316,0.5832,0.5347,0.559
10.4,-0.2823,0.4157,0.6745,0.3908,0.5496,0.4702,0.5507,0.7662,0.6584,0.6076,0.5462,0.5769
10.5,-0.2789,0.4154,0.6857,0.4066,0.5604,0.4835,0.574,0.789,0.6815,0.6293,0.5576,0.5935
10.6,-0.2701,0.4168,0.6929,0.4236,0.5662,0.4949,0.5945,0.8052,0.6998,0.6481,0.5693,0.6087
10.7,-0.2564,0.4198,0.6956,0.4411,0.5672,0.5041,0.6116,0.8139,0.7128,0.6637,0.5808,0.6223
10.8,-0.2385,0.4246,0.6937,0.4584,0.564,0.5112,0.6246,0.8151,0.7198,0.6761,0.5916,0.6338
10.9,-0.2172,0.4312,0.688,0.4752,0.5573,0.5162,0.6329,0.809,0.721,0.685,0.601,0.643
11,-0.1936,0.4398,0.6799,0.4907,0.548,0.5194,0.6369,0.7966,0.7167,0.6903,0.6088,0.6496
11.1,-0.169,0.4502,0.6709,0.5045,0.5375,0.521,0.6366,0.7791,0.7079,0.6925,0.6148,0.6537
11.2,-0.1453,0.4622,0.6622,0.5157,0.5268,0.5212,0.6327,0.7582,0.6955,0.692,0.6191,0.6555
11.3,-0.1247,0.4753,0.6545,0.5241,0.5169,0.5205,0.6262,0.7357,0.6809,0.6895,0.6214,0.6554
11.4,-0.1094,0.4892,0.6484,0.5296,0.5087,0.5192,0.6183,0.7137,0.666,0.6859,0.6217,0.6538
11.5,-0.101,0.5035,0.6445,0.5328,0.5031,0.5179,0.6106,0.6938,0.6522,0.6823,0.6208,0.6515
11.6,-0.0998,0.5178,0.6432,0.5341,0.5005,0.5173,0.6042,0.6773,0.6407,0.6798,0.6197,0.6497
11.7,-0.1052,0.5318,0.6446,0.5338,0.5013,0.5175,0.5995,0.6647,0.6321,0.679,0.6193,0.6491
11.8,-0.116,0.5453,0.6485,0.5321,0.5055,0.5188,0.5969,0.6562,0.6265,0.68,0.6197,0.6499
11.9,-0.1305,0.5575,0.6544,0.5296,0.5127,0.5211,0.5964,0.6516,0.624,0.6825,0.6207,0.6516
12,-0.147,0.568,0.6616,0.5265,0.5222,0.5244,0.5977,0.6506,0.6242,0.6856,0.6218,0.6537
12.1,-0.1639,0.5766,0.6698,0.5233,0.5335,0.5284,0.6009,0.6525,0.6267,0.6892,0.6229,0.6561
12.2,-0.1798,0.5832,0.6787,0.5202,0.5459,0.533,0.6055,0.6569,0.6312,0.6933,0.6244,0.6589
12.3,-0.1938,0.5878,0.6886,0.5171,0.559,0.5381,0.6111,0.6633,0.6372,0.6978,0.6265,0.6621
12.4,-0.205,0.5906,0.6991,0.5143,0.5723,0.5433,0.6171,0.6711,0.6441,0.7026,0.629,0.6658
12.5,-0.2123,0.5915,0.71,0.5116,0.5852,0.5484,0.6233,0.6796,0.6514,0.7072,0.6317,0.6694
12.6,-0.2147,0.5906,0.7207,0.5093,0.5966,0.5529,0.629,0.6879,0.6585,0.7115,0.6343,0.6729
12.7,-0.2113,0.5878,0.7306,0.5069,0.6055,0.5562,0.6336,0.6952,0.6644,0.715,0.6367,0.6759
12.8,-0.2023,0.5829,0.7388,0.504,0.611,0.5575,0.6361,0.7008,0.6685,0.7173,0.6384,0.6778
12.9,-0.1882,0.5757,0.7444,0.4999,0.6123,0.5561,0.6363,0.7042,0.6703,0.7182,0.6388,0.6785
13,-0.1702,0.5663,0.747,0.4944,0.6096,0.552,0.6342,0.7052,0.6697,0.7176,0.6379,0.6777
13.1,-0.1494,0.5551,0.7468,0.4878,0.6032,0.5455,0.6302,0.704,0.6671,0.7156,0.636,0.6758
13.2,-0.1267,0.5433,0.7441,0.4802,0.5936,0.5369,0.6249,0.7007,0.6628,0.7125,0.6334,0.673
13.3,-0.1028,0.5313,0.7391,0.4719,0.5811,0.5265,0.6185,0.6955,0.657,0.7088,0.6305,0.6696
13.4,-0.078,0.5196,0.7321,0.4627,0.5661,0.5144,0.6113,0.6886,0.6499,0.7046,0.6271,0.6659
13.5,-0.0521,0.5083,0.7231,0.4529,0.5492,0.501,0.6038,0.6804,0.6421,0.6997,0.6234,0.6616
13.6,-0.025,0.4982,0.7129,0.4433,0.5315,0.4874,0.5967,0.6719,0.6343,0.6943,0.6196,0.6569
13.7,0.0026,0.4902,0.7024,0.4349,0.5143,0.4746,0.5908,0.664,0.6274,0.6884,0.6159,0.6521
13.8,0.0294,0.485,0.6925,0.4281,0.4987,0.4634,0.587,0.6576,0.6223,0.6823,0.6123,0.6473
13.9,0.054,0.4826,0.6835,0.4228,0.4855,0.4542,0.5853,0.6531,0.6192,0.6763,0.609,0.6427
14,0.0752,0.4831,0.6757,0.4188,0.4751,0.4469,0.5858,0.6509,0.6183,0.6707,0.6057,0.6382
14.1,0.0923,0.4862,0.6692,0.4159,0.4677,0.4418,0.5881,0.6511,0.6196,0.6652,0.6021,0.6336
14.2,0.1048,0.4914,0.6643,0.4142,0.4634,0.4388,0.5921,0.6538,0.623,0.6598,0.5976,0.6287
14.3,0.1117,0.4983,0.6612,0.4139,0.4622,0.438,0.5975,0.6587,0.6281,0.6544,0.5921,0.6232
14.4,0.1126,0.506,0.6601,0.4149,0.464,0.4395,0.6038,0.6653,0.6346,0.6489,0.5855,0.6172
14.5,0.1074,0.5141,0.6609,0.4174,0.4689,0.4432,0.6106,0.6734,0.642,0.6438,0.578,0.6109
14.6,0.0974,0.5225,0.6635,0.4215,0.477,0.4493,0.6176,0.6829,0.6502,0.6393,0.5703,0.6048
14.7,0.0847,0.5316,0.668,0.4278,0.488,0.4579,0.6247,0.6934,0.659,0.6356,0.5628,0.5992
14.8,0.0714,0.5412,0.6737,0.4364,0.5014,0.4689,0.6315,0.7041,0.6678,0.6326,0.5557,0.5942
14.9,0.0593,0.551,0.6798,0.4472,0.5162,0.4817,0.6374,0.714,0.6757,0.6302,0.5494,0.5898
15,0.049,0.5607,0.6855,0.4594,0.5317,0.4955,0.642,0.7223,0.6822,0.6281,0.5439,0.586
15.1,0.0406,0.5699,0.6909,0.4724,0.5468,0.5096,0.6448,0.7285,0.6867,0.6261,0.5391,0.5826
15.2,0.0343,0.5787,0.6962,0.4856,0.5613,0.5235,0.6457,0.7325,0.6891,0.6238,0.5348,0.5793
15.3,0.0301,0.587,0.7008,0.4989,0.5746,0.5368,0.6448,0.7338,0.6893,0.6211,0.531,0.576
15.4,0.0287,0.5944,0.7042,0.5122,0.5862,0.5492,0.6421,0.7323,0.6872,0.6178,0.5277,0.5728
15.5,0.0299,0.6004,0.7061,0.5251,0.5954,0.5603,0.638,0.7279,0.683,0.6144,0.525,0.5697
15.6,0.0336,0.6045,0.7068,0.5372,0.6016,0.5694,0.6331,0.721,0.6771,0.6112,0.5227,0.567
15.7,0.0396,0.6066,0.7062,0.5482,0.6042,0.5762,0.6281,0.7118,0.67,0.6086,0.521,0.5648
15.8,0.0473,0.6063,0.704,0.5577,0.6034,0.5806,0.6237,0.7006,0.6622,0.6068,0.5198,0.5633
15.9,0.0565,0.6038,0.6998,0.5658,0.5997,0.5828,0.6201,0.6877,0.6539,0.6056,0.5192,0.5624
16,0.0663,0.5994,0.6935,0.5724,0.5939,0.5831,0.6176,0.674,0.6458,0.6051,0.5191,0.5621
16.1,0.0755,0.5934,0.6856,0.5774,0.5868,0.5821,0.6163,0.6603,0.6383,0.605,0.5196,0.5623
16.2,0.083,0.5863,0.6765,0.5809,0.5791,0.58,0.6164,0.6473,0.6319,0.6055,0.5206,0.563
16.3,0.0877,0.5787,0.667,0.5825,0.5716,0.5771,0.6183,0.6357,0.627,0.6071,0.5224,0.5647
16.4,0.0889,0.571,0.6577,0.5825,0.565,0.5738,0.6218,0.6257,0.6238,0.6105,0.5251,0.5678
16.5,0.0864,0.5635,0.6489,0.5811,0.5598,0.5705,0.6269,0.6175,0.6222,0.6157,0.5288,0.5723
16.6,0.0804,0.5564,0.641,0.5782,0.5562,0.5672,0.6333,0.6112,0.6222,0.6225,0.533,0.5778
16.7,0.071,0.5494,0.6344,0.5737,0.5541,0.5639,0.6407,0.607,0.6239,0.6303,0.537,0.5836
16.8,0.0586,0.5422,0.6293,0.5675,0.5531,0.5603,0.6494,0.605,0.6272,0.6384,0.5404,0.5894
16.9,0.0434,0.5349,0.6257,0.5603,0.5533,0.5568,0.6594,0.6053,0.6323,0.6466,0.5432,0.5949
17,0.0255,0.5279,0.6237,0.5522,0.555,0.5536,0.6706,0.608,0.6393,0.655,0.5457,0.6004
17.1,0.0056,0.5214,0.6233,0.5438,0.5577,0.5507,0.6828,0.613,0.6479,0.6637,0.5476,0.6056
17.2,-0.0153,0.5153,0.6243,0.535,0.5611,0.5481,0.6952,0.6199,0.6576,0.6722,0.5486,0.6104
17.3,-0.0362,0.5098,0.6266,0.5261,0.5648,0.5455,0.7075,0.6283,0.6679,0.681,0.5487,0.6148
17.4,-0.056,0.5047,0.6299,0.5173,0.5685,0.5429,0.7193,0.6376,0.6785,0.6901,0.5478,0.6189
17.5,-0.074,0.5001,0.6339,0.5088,0.5719,0.5403,0.7305,0.6477,0.6891,0.6997,0.5466,0.6231
17.6,-0.089,0.4964,0.6386,0.501,0.5749,0.5379,0.741,0.6584,0.6997,0.7098,0.5451,0.6274
17.7,-0.0996,0.4939,0.6441,0.4943,0.5776,0.5359,0.7509,0.6695,0.7102,0.7202,0.5437,0.6319
17.8,-0.1042,0.4933,0.6501,0.4895,0.5803,0.5349,0.7601,0.6811,0.7206,0.7305,0.5426,0.6365
17.9,-0.1021,0.4947,0.6565,0.4869,0.5835,0.5352,0.7688,0.6927,0.7308,0.7403,0.5424,0.6413
18,-0.0939,0.4979,0.6628,0.4864,0.5872,0.5368,0.7767,0.7042,0.7404,0.7491,0.5437,0.6464
18.1,-0.0808,0.5025,0.6686,0.4878,0.5915,0.5397,0.7836,0.7146,0.7491,0.7567,0.5467,0.6517
18.2,-0.0643,0.5077,0.6738,0.4907,0.5963,0.5435,0.789,0.7236,0.7563,0.7629,0.5513,0.6571
18.3,-0.0458,0.5129,0.6784,0.4947,0.6014,0.5481,0.7927,0.7306,0.7616,0.7673,0.5573,0.6623
18.4,-0.0264,0.5179,0.6827,0.4998,0.6067,0.5533,0.7947,0.7357,0.7652,0.7699,0.5644,0.6672
18.5,-0.0066,0.5224,0.6869,0.506,0.6121,0.5591,0.795,0.739,0.767,0.7705,0.572,0.6712
18.6,0.0132,0.5261,0.6905,0.5132,0.6178,0.5655,0.794,0.7407,0.7673,0.7686,0.579,0.6738
18.7,0.0325,0.5289,0.6934,0.5207,0.6238,0.5723,0.7915,0.7406,0.766,0.7643,0.5846,0.6744
18.8,0.0504,0.5305,0.6957,0.5282,0.6303,0.5792,0.7876,0.739,0.7633,0.7578,0.5883,0.6731
18.9,0.0658,0.5312,0.6979,0.5354,0.6374,0.5864,0.7825,0.7364,0.7595,0.7495,0.5906,0.67
19,0.078,0.5315,0.7002,0.5419,0.6455,0.5937,0.7764,0.7331,0.7548,0.7395,0.5919,0.6657
19.1,0.0868,0.5317,0.702,0.5477,0.6549,0.6013,0.7691,0.7294,0.7493,0.7279,0.5927,0.6603
19.2,0.0925,0.5322,0.703,0.5526,0.6656,0.6091,0.7605,0.7252,0.7428,0.7146,0.5928,0.6537
19.3,0.096,0.5333,0.7031,0.5568,0.6772,0.617,0.7505,0.7208,0.7356,0.7001,0.5922,0.6462
19.4,0.0976,0.5352,0.7026,0.5601,0.6892,0.6246,0.7398,0.7164,0.7281,0.6851,0.5913,0.6382
19.5,0.097,0.5385,0.7021,0.5629,0.7009,0.6319,0.7293,0.7126,0.7209,0.6703,0.5905,0.6304
19.6,0.0943,0.5433,0.7024,0.5655,0.7124,0.6389,0.7201,0.7097,0.7149,0.6567,0.5905,0.6236
19.7,0.0895,0.5501,0.7041,0.5684,0.7234,0.6459,0.7128,0.7081,0.7105,0.6453,0.5918,0.6185
19.8,0.0831,0.5587,0.707,0.572,0.7336,0.6528,0.7078,0.7078,0.7078,0.6361,0.5944,0.6153
19.9,0.0758,0.5686,0.7108,0.5765,0.7423,0.6594,0.705,0.7084,0.7067,0.629,0.5981,0.6136
20,0.068,0.579,0.7147,0.5817,0.7488,0.6652,0.7043,0.7095,0.7069,0.6236,0.6022,0.6129
20.1,0.0596,0.5895,0.7182,0.5873,0.7529,0.6701,0.7058,0.7105,0.7081,0.6193,0.6065,0.6129
20.2,0.0508,0.5997,0.7208,0.5932,0.7546,0.6739,0.709,0.7111,0.71,0.6161,0.6106,0.6133
20.3,0.0423,0.6095,0.722,0.5993,0.7538,0.6765,0.7134,0.7109,0.7121,0.614,0.6145,0.6142
20.4,0.0353,0.6186,0.7215,0.6053,0.7503,0.6778,0.7183,0.7094,0.7138,0.6131,0.618,0.6156
20.5,0.0309,0.6264,0.7189,0.6109,0.7439,0.6774,0.7233,0.7061,0.7147,0.6134,0.6208,0.6171
20.6,0.0299,0.6323,0.7137,0.6157,0.7346,0.6752,0.7281,0.7007,0.7144,0.6142,0.6224,0.6183
20.7,0.0324,0.6359,0.7057,0.6196,0.7227,0.6711,0.7326,0.693,0.7128,0.615,0.6225,0.6187
20.8,0.0384,0.637,0.695,0.6222,0.7083,0.6653,0.7364,0.6829,0.7097,0.615,0.6213,0.6182
20.9,0.0479,0.6355,0.682,0.6237,0.6916,0.6577,0.7394,0.6707,0.7051,0.6138,0.6188,0.6163
21,0.0609,0.6316,0.6672,0.6243,0.6727,0.6485,0.7416,0.6568,0.6992,0.6108,0.6148,0.6128
21.1,0.0771,0.6252,0.651,0.6238,0.6517,0.6378,0.7427,0.6414,0.692,0.6056,0.6091,0.6074
21.2,0.0951,0.616,0.6332,0.6218,0.6291,0.6255,0.7423,0.6245,0.6834,0.5982,0.602,0.6001
