Time,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC,Commbank - Take charge with Commbank 15 TVC
1.6,0.2944,0.6972,0.6199,0.8783,0.6683,0.7733,0.9359,0.5276,0.7318,0.4653,0.5392,0.5023
1.7,0.2688,0.6805,0.5857,0.8593,0.6467,0.753,0.9214,0.5249,0.7231,0.4626,0.5422,0.5024
1.8,0.2448,0.6655,0.5481,0.8408,0.6268,0.7338,0.9031,0.5203,0.7117,0.4599,0.5459,0.5029
1.9,0.219,0.6523,0.5093,0.8226,0.609,0.7158,0.8809,0.5149,0.6979,0.4569,0.551,0.504
2,0.1897,0.6412,0.4727,0.8042,0.5937,0.6989,0.8543,0.5097,0.682,0.453,0.5583,0.5056
2.1,0.1554,0.6328,0.4417,0.7855,0.5819,0.6837,0.824,0.5062,0.6651,0.4481,0.5685,0.5083
2.2,0.1144,0.6281,0.4191,0.7671,0.5746,0.6708,0.7923,0.5054,0.6489,0.443,0.5823,0.5126
2.3,0.0658,0.6273,0.4066,0.7498,0.5723,0.661,0.7617,0.5083,0.635,0.4389,0.5995,0.5192
2.4,0.0112,0.6295,0.404,0.7339,0.5747,0.6543,0.7344,0.515,0.6247,0.4367,0.6197,0.5282
2.5,-0.0455,0.6329,0.4096,0.7191,0.5805,0.6498,0.7112,0.5244,0.6178,0.437,0.6426,0.5398
2.6,-0.1005,0.6358,0.4208,0.7047,0.5884,0.6465,0.6916,0.5349,0.6133,0.4394,0.6679,0.5537
2.7,-0.1519,0.6372,0.4356,0.6901,0.5971,0.6436,0.6741,0.5444,0.6093,0.4437,0.6944,0.569
2.8,-0.1985,0.6369,0.4526,0.6754,0.606,0.6407,0.6574,0.5515,0.6044,0.4497,0.7198,0.5848
2.9,-0.2395,0.6354,0.4709,0.6607,0.6146,0.6376,0.6404,0.5557,0.5981,0.4571,0.7417,0.5994
3,-0.2735,0.6327,0.4905,0.6463,0.6223,0.6343,0.6235,0.5577,0.5906,0.4646,0.7584,0.6115
3.1,-0.2989,0.6289,0.5113,0.6333,0.6287,0.631,0.6076,0.5587,0.5832,0.4709,0.7695,0.6202
3.2,-0.3153,0.6245,0.5332,0.6228,0.6335,0.6282,0.5935,0.5594,0.5765,0.4755,0.7749,0.6252
3.3,-0.3228,0.6194,0.5553,0.6161,0.6362,0.6261,0.5816,0.5595,0.5705,0.4778,0.7748,0.6263
3.4,-0.322,0.6136,0.5761,0.6136,0.6359,0.6248,0.5717,0.5582,0.565,0.4775,0.769,0.6232
3.5,-0.3138,0.6071,0.5948,0.615,0.6323,0.6237,0.5637,0.5559,0.5598,0.475,0.7577,0.6164
3.6,-0.2992,0.6002,0.6113,0.6195,0.6258,0.6227,0.5579,0.5534,0.5556,0.471,0.7417,0.6063
3.7,-0.2784,0.5936,0.6264,0.6265,0.6173,0.6219,0.5548,0.5514,0.5531,0.4656,0.7219,0.5938
3.8,-0.2518,0.5882,0.6404,0.6361,0.6074,0.6217,0.5548,0.5506,0.5527,0.4587,0.6992,0.5789
3.9,-0.2207,0.5837,0.6531,0.6482,0.5959,0.6221,0.5578,0.5507,0.5543,0.45,0.6743,0.5622
4,-0.1862,0.5796,0.6638,0.6625,0.5822,0.6223,0.5636,0.5512,0.5574,0.4397,0.6477,0.5437
4.1,-0.1491,0.5746,0.6712,0.6774,0.5656,0.6215,0.5716,0.5508,0.5612,0.4277,0.6197,0.5237
4.2,-0.1103,0.568,0.6746,0.6914,0.5461,0.6187,0.5811,0.5488,0.565,0.4143,0.5907,0.5025
4.3,-0.0714,0.5596,0.6739,0.7033,0.5245,0.6139,0.5912,0.5449,0.5681,0.4001,0.5613,0.4807
4.4,-0.0344,0.5498,0.6697,0.7128,0.5021,0.6075,0.6009,0.5393,0.5701,0.386,0.5323,0.4591
4.5,-0.0007,0.5389,0.6624,0.7201,0.4801,0.6001,0.6097,0.532,0.5708,0.3728,0.5045,0.4386
4.6,0.0285,0.5269,0.6525,0.7248,0.4592,0.592,0.6173,0.5231,0.5702,0.3616,0.4788,0.4202
4.7,0.0525,0.514,0.64,0.7263,0.44,0.5832,0.6235,0.5128,0.5681,0.3531,0.4559,0.4045
4.8,0.0711,0.5007,0.6257,0.7247,0.4234,0.5741,0.628,0.5023,0.5651,0.3478,0.4362,0.392
4.9,0.085,0.4878,0.6106,0.7207,0.4108,0.5657,0.6304,0.493,0.5617,0.3457,0.4199,0.3828
5,0.0948,0.4767,0.5964,0.7157,0.4034,0.5595,0.6309,0.4867,0.5588,0.3468,0.4074,0.3771
5.1,0.1021,0.4681,0.5847,0.7112,0.4018,0.5565,0.6296,0.4849,0.5572,0.3516,0.3995,0.3755
5.2,0.1075,0.463,0.5769,0.708,0.4065,0.5572,0.6271,0.4883,0.5577,0.3601,0.3967,0.3784
5.3,0.1109,0.4617,0.574,0.7061,0.4178,0.562,0.6243,0.4973,0.5608,0.3725,0.3995,0.386
5.4,0.1117,0.4645,0.5766,0.7051,0.4364,0.5708,0.6217,0.5111,0.5664,0.3888,0.4079,0.3984
5.5,0.1091,0.4716,0.5839,0.7044,0.4629,0.5836,0.6191,0.5288,0.5739,0.4085,0.4218,0.4152
5.6,0.1029,0.4827,0.5943,0.7038,0.497,0.6004,0.6163,0.549,0.5827,0.4304,0.4407,0.4356
5.7,0.0935,0.4971,0.6061,0.7033,0.5377,0.6205,0.6132,0.5707,0.592,0.4533,0.4641,0.4587
5.8,0.081,0.5143,0.6183,0.703,0.5829,0.643,0.6096,0.5931,0.6013,0.4759,0.491,0.4834
5.9,0.0657,0.5339,0.6308,0.703,0.6307,0.6669,0.6054,0.6156,0.6105,0.4973,0.5205,0.5089
6,0.0478,0.5561,0.6439,0.7034,0.6795,0.6914,0.6004,0.6377,0.619,0.5168,0.5514,0.5341
6.1,0.0275,0.5812,0.6578,0.7043,0.7277,0.716,0.5944,0.6586,0.6265,0.5338,0.582,0.5579
6.2,0.0043,0.6088,0.6723,0.7056,0.774,0.7398,0.5879,0.6779,0.6329,0.5477,0.6111,0.5794
6.3,-0.0228,0.638,0.6867,0.7076,0.8164,0.762,0.5814,0.6955,0.6384,0.5584,0.6381,0.5982
6.4,-0.0536,0.6669,0.7001,0.7099,0.8533,0.7816,0.5756,0.711,0.6433,0.566,0.6629,0.6145
6.5,-0.0866,0.6936,0.7111,0.7118,0.8835,0.7976,0.5711,0.7235,0.6473,0.5709,0.6855,0.6282
6.6,-0.119,0.7166,0.7182,0.7123,0.9059,0.8091,0.5678,0.7317,0.6497,0.5735,0.7057,0.6396
6.7,-0.1485,0.735,0.7205,0.7104,0.9202,0.8153,0.5655,0.7347,0.6501,0.5742,0.7234,0.6488
6.8,-0.174,0.7493,0.718,0.7061,0.9267,0.8164,0.5649,0.7321,0.6485,0.5734,0.738,0.6557
6.9,-0.1951,0.7603,0.7117,0.7001,0.9256,0.8129,0.5672,0.7237,0.6454,0.5718,0.7495,0.6607
7,-0.2106,0.7689,0.7021,0.6936,0.9173,0.8054,0.5736,0.7086,0.6411,0.5697,0.7572,0.6635
7.1,-0.2186,0.775,0.6889,0.6878,0.9012,0.7945,0.5843,0.6854,0.6348,0.5664,0.7602,0.6633
7.2,-0.2178,0.7782,0.6722,0.6832,0.8767,0.7799,0.5987,0.6526,0.6256,0.5603,0.7575,0.6589
7.3,-0.2093,0.7782,0.6527,0.6794,0.8438,0.7616,0.6154,0.6098,0.6126,0.5504,0.7483,0.6494
7.4,-0.1954,0.775,0.6317,0.6755,0.8035,0.7395,0.633,0.558,0.5955,0.5365,0.7329,0.6347
7.5,-0.1786,0.7693,0.6108,0.671,0.7578,0.7144,0.6503,0.4992,0.5747,0.5194,0.7119,0.6156
7.6,-0.1602,0.7624,0.591,0.666,0.7088,0.6874,0.6658,0.4359,0.5509,0.5003,0.6861,0.5932
7.7,-0.1408,0.7554,0.5735,0.6609,0.6586,0.6598,0.6783,0.3718,0.5251,0.48,0.6563,0.5681
7.8,-0.1215,0.7492,0.5592,0.6567,0.6088,0.6327,0.6868,0.3109,0.4988,0.4592,0.6234,0.5413
7.9,-0.1037,0.7444,0.5488,0.6543,0.5612,0.6078,0.6905,0.2571,0.4738,0.4388,0.5888,0.5138
8,-0.0889,0.7408,0.542,0.6546,0.5183,0.5864,0.6895,0.2142,0.4518,0.42,0.5539,0.487
8.1,-0.0782,0.7382,0.5386,0.6575,0.4819,0.5697,0.6845,0.1842,0.4344,0.4041,0.5204,0.4622
8.2,-0.0714,0.7362,0.5386,0.6627,0.453,0.5578,0.6767,0.1683,0.4225,0.3918,0.4897,0.4407
8.3,-0.068,0.7343,0.5426,0.6698,0.4321,0.5509,0.6672,0.1657,0.4164,0.3838,0.463,0.4234
8.4,-0.0675,0.7324,0.5511,0.6784,0.4194,0.5489,0.6566,0.1748,0.4157,0.3803,0.4416,0.4109
8.5,-0.0694,0.7305,0.564,0.6885,0.4149,0.5517,0.6455,0.1929,0.4192,0.3815,0.426,0.4037
8.6,-0.0736,0.7288,0.5808,0.7,0.4184,0.5592,0.634,0.2175,0.4258,0.387,0.4162,0.4016
8.7,-0.0796,0.7273,0.6003,0.7124,0.429,0.5707,0.6221,0.2467,0.4344,0.3958,0.4117,0.4038
8.8,-0.0867,0.7262,0.622,0.7252,0.4451,0.5851,0.6099,0.2797,0.4448,0.4066,0.4118,0.4092
8.9,-0.094,0.7254,0.6456,0.7377,0.4653,0.6015,0.5979,0.3167,0.4573,0.4184,0.4158,0.4171
9,-0.1005,0.7251,0.6709,0.7497,0.4881,0.6189,0.5866,0.3578,0.4722,0.4312,0.4235,0.4274
9.1,-0.1052,0.725,0.6976,0.7605,0.5122,0.6363,0.5764,0.402,0.4892,0.4454,0.4344,0.4399
9.2,-0.108,0.7245,0.725,0.7689,0.5368,0.6528,0.5671,0.448,0.5075,0.4609,0.448,0.4544
9.3,-0.1097,0.7228,0.7524,0.7737,0.5616,0.6676,0.5582,0.4945,0.5264,0.4779,0.4636,0.4707
9.4,-0.1117,0.7189,0.7788,0.7738,0.5863,0.6801,0.5494,0.54,0.5447,0.4962,0.4808,0.4885
9.5,-0.1155,0.7125,0.8034,0.7693,0.6107,0.69,0.5406,0.5832,0.5619,0.5158,0.4993,0.5076
9.6,-0.1219,0.7035,0.8254,0.7605,0.6344,0.6975,0.532,0.6228,0.5774,0.5366,0.5191,0.5278
9.7,-0.1307,0.6921,0.8448,0.7477,0.6574,0.7025,0.5236,0.658,0.5908,0.5585,0.5398,0.5491
9.8,-0.1406,0.6785,0.8621,0.7308,0.6797,0.7053,0.5151,0.6883,0.6017,0.5812,0.5611,0.5711
9.9,-0.1506,0.6631,0.8778,0.7099,0.7019,0.7059,0.5063,0.7133,0.6098,0.6044,0.5825,0.5934
10,-0.1598,0.6469,0.8918,0.6853,0.7241,0.7047,0.497,0.7329,0.615,0.6272,0.6036,0.6154
10.1,-0.1678,0.6307,0.9043,0.6584,0.7467,0.7026,0.4878,0.7475,0.6176,0.6489,0.6235,0.6362
10.2,-0.1742,0.6155,0.9157,0.6306,0.7698,0.7002,0.479,0.7576,0.6183,0.6686,0.6411,0.6548
10.3,-0.179,0.6018,0.9258,0.6032,0.7934,0.6983,0.4708,0.7637,0.6173,0.6855,0.6556,0.6705
10.4,-0.1824,0.5899,0.9342,0.5772,0.8173,0.6972,0.4632,0.7662,0.6147,0.6987,0.6665,0.6826
10.5,-0.1848,0.5798,0.9397,0.5525,0.8406,0.6966,0.4555,0.7654,0.6105,0.7073,0.6735,0.6904
10.6,-0.1867,0.5715,0.9416,0.5293,0.8626,0.6959,0.4475,0.7616,0.6046,0.7105,0.6763,0.6934
10.7,-0.1883,0.5651,0.94,0.5076,0.8819,0.6947,0.4391,0.7554,0.5973,0.708,0.6749,0.6915
10.8,-0.1888,0.5605,0.935,0.4878,0.8966,0.6922,0.4306,0.7478,0.5892,0.7004,0.67,0.6852
10.9,-0.1874,0.5573,0.927,0.4702,0.9049,0.6875,0.4223,0.739,0.5806,0.6882,0.6624,0.6753
11,-0.1835,0.5552,0.9159,0.4551,0.9058,0.6805,0.4142,0.7291,0.5717,0.6718,0.6527,0.6623
11.1,-0.177,0.5533,0.9014,0.4428,0.8993,0.671,0.4064,0.7182,0.5623,0.6516,0.6414,0.6465
11.2,-0.1681,0.5507,0.8837,0.4334,0.886,0.6597,0.3993,0.7067,0.553,0.6287,0.629,0.6288
11.3,-0.1569,0.5466,0.8638,0.4268,0.8672,0.647,0.3931,0.6955,0.5443,0.6048,0.6164,0.6106
11.4,-0.143,0.5406,0.8433,0.4229,0.8443,0.6336,0.3882,0.6855,0.5368,0.5814,0.6042,0.5928
11.5,-0.126,0.5329,0.8236,0.4213,0.8181,0.6197,0.3845,0.6768,0.5306,0.5594,0.5929,0.5761
11.6,-0.1058,0.5238,0.8057,0.4222,0.7896,0.6059,0.381,0.669,0.525,0.5384,0.5827,0.5606
11.7,-0.0821,0.5138,0.7901,0.4257,0.7591,0.5924,0.3769,0.6615,0.5192,0.5183,0.5736,0.546
11.8,-0.0555,0.5032,0.777,0.432,0.727,0.5795,0.372,0.6542,0.5131,0.4995,0.5658,0.5327
11.9,-0.027,0.4923,0.7668,0.4406,0.6937,0.5672,0.3666,0.6474,0.507,0.4825,0.5599,0.5212
12,0.0008,0.481,0.7593,0.4503,0.6602,0.5552,0.3615,0.6418,0.5016,0.4683,0.5558,0.512
12.1,0.0253,0.4694,0.7544,0.4594,0.6274,0.5434,0.3572,0.6374,0.4973,0.457,0.5528,0.5049
12.2,0.0447,0.4571,0.7512,0.4667,0.5964,0.5315,0.3541,0.6337,0.4939,0.4486,0.5503,0.4994
12.3,0.0587,0.444,0.7486,0.4718,0.5677,0.5197,0.3519,0.6296,0.4907,0.4435,0.5479,0.4957
12.4,0.0683,0.4304,0.7456,0.4748,0.5417,0.5082,0.3509,0.6242,0.4876,0.442,0.5463,0.4941
12.5,0.0738,0.4172,0.7423,0.4764,0.5185,0.4975,0.3514,0.6177,0.4846,0.4442,0.5459,0.4951
12.6,0.0744,0.405,0.7393,0.4771,0.4988,0.488,0.3539,0.6103,0.4821,0.4496,0.5469,0.4982
12.7,0.0689,0.3942,0.7374,0.4767,0.4831,0.4799,0.3583,0.6022,0.4803,0.4572,0.5487,0.5029
12.8,0.0573,0.3851,0.7366,0.475,0.4713,0.4732,0.3641,0.5933,0.4787,0.4658,0.5507,0.5082
12.9,0.0412,0.3781,0.7362,0.4724,0.4631,0.4678,0.3712,0.5829,0.477,0.4746,0.5527,0.5136
13,0.0232,0.3736,0.736,0.4694,0.4583,0.4638,0.38,0.5708,0.4754,0.4829,0.5549,0.5189
13.1,0.0047,0.3721,0.7355,0.4665,0.4565,0.4615,0.3907,0.5575,0.4741,0.4903,0.5572,0.5237
13.2,-0.0138,0.3735,0.7341,0.4642,0.4576,0.4609,0.4034,0.5433,0.4733,0.4964,0.5594,0.5279
13.3,-0.0324,0.3777,0.7309,0.4626,0.4617,0.4621,0.4176,0.5283,0.473,0.5019,0.5618,0.5318
13.4,-0.0506,0.3842,0.7251,0.4614,0.4685,0.4649,0.433,0.5124,0.4727,0.507,0.5646,0.5358
13.5,-0.0669,0.3921,0.7169,0.4602,0.4773,0.4687,0.4494,0.4955,0.4724,0.5121,0.5683,0.5402
13.6,-0.08,0.4008,0.7066,0.4589,0.4873,0.4731,0.4669,0.4776,0.4722,0.5169,0.5725,0.5447
13.7,-0.0899,0.4098,0.6947,0.4576,0.4982,0.4779,0.485,0.4587,0.4718,0.5209,0.5767,0.5488
13.8,-0.0968,0.4185,0.6819,0.4562,0.5096,0.4829,0.5028,0.4393,0.471,0.5228,0.5806,0.5517
13.9,-0.1003,0.4267,0.6685,0.4548,0.5213,0.4881,0.5199,0.4203,0.4701,0.5219,0.5841,0.553
14,-0.0992,0.4343,0.6554,0.4542,0.5327,0.4935,0.5369,0.4028,0.4699,0.5181,0.5875,0.5528
14.1,-0.0921,0.442,0.6435,0.4554,0.5433,0.4993,0.5546,0.3885,0.4715,0.5124,0.5911,0.5517
14.2,-0.0784,0.4501,0.6335,0.4597,0.5534,0.5066,0.5732,0.3782,0.4757,0.5062,0.5945,0.5503
14.3,-0.0582,0.4593,0.6254,0.4685,0.5642,0.5164,0.5925,0.3726,0.4825,0.5002,0.5972,0.5487
14.4,-0.0323,0.4702,0.6193,0.4829,0.5773,0.5301,0.6115,0.3712,0.4914,0.4941,0.5983,0.5462
14.5,-0.0016,0.4831,0.6148,0.5044,0.5932,0.5488,0.63,0.3737,0.5018,0.4867,0.5971,0.5419
14.6,0.0332,0.4991,0.6121,0.5348,0.6118,0.5733,0.6484,0.3795,0.5139,0.4775,0.5927,0.5351
14.7,0.0712,0.519,0.6115,0.5755,0.6327,0.6041,0.6668,0.3887,0.5277,0.4663,0.5851,0.5257
14.8,0.1113,0.5434,0.6132,0.6271,0.6556,0.6414,0.6845,0.4015,0.543,0.4537,0.5745,0.5141
14.9,0.1514,0.5727,0.6169,0.6894,0.68,0.6847,0.701,0.4177,0.5593,0.4406,0.5614,0.501
