Time,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC,Black Swan Dips - Guacamole 30 TVC
3.2,0.1581,0.6868,0.7445,0.5723,0.6507,0.6115,0.6064,0.647,0.6267,0.7859,0.7805,0.7832
3.3,0.1704,0.672,0.7402,0.5595,0.6396,0.5995,0.5909,0.6411,0.616,0.7658,0.7687,0.7672
3.4,0.1798,0.6515,0.7342,0.5423,0.6234,0.5828,0.5749,0.635,0.6049,0.7421,0.7523,0.7472
3.5,0.1847,0.6254,0.7264,0.5206,0.6024,0.5615,0.5585,0.6285,0.5935,0.7157,0.7323,0.724
3.6,0.1838,0.5942,0.7172,0.4945,0.5771,0.5358,0.5423,0.6219,0.5821,0.6876,0.7096,0.6986
3.7,0.1767,0.559,0.7071,0.4647,0.5481,0.5064,0.527,0.6157,0.5714,0.6588,0.6853,0.6721
3.8,0.1639,0.5214,0.696,0.4329,0.5172,0.475,0.5136,0.6102,0.5619,0.6308,0.6604,0.6456
3.9,0.1463,0.4835,0.6829,0.4014,0.4864,0.4439,0.5028,0.6052,0.554,0.6047,0.6361,0.6204
4,0.125,0.4476,0.6669,0.3723,0.4577,0.415,0.4952,0.6007,0.548,0.5813,0.6129,0.5971
4.1,0.1009,0.4151,0.6474,0.347,0.4324,0.3897,0.4906,0.5964,0.5435,0.5611,0.5917,0.5764
4.2,0.0754,0.387,0.6249,0.3262,0.411,0.3686,0.4887,0.5921,0.5404,0.5445,0.5729,0.5587
4.3,0.05,0.3637,0.6005,0.3104,0.3939,0.3522,0.4891,0.5877,0.5384,0.5319,0.557,0.5444
4.4,0.0256,0.3456,0.5753,0.2997,0.3816,0.3407,0.4921,0.5829,0.5375,0.5237,0.5443,0.534
4.5,0.0025,0.3332,0.5509,0.2944,0.3742,0.3343,0.4977,0.5781,0.5379,0.52,0.5349,0.5275
4.6,-0.0202,0.3267,0.5287,0.2942,0.3716,0.3329,0.5059,0.5737,0.5398,0.5209,0.5288,0.5249
4.7,-0.0433,0.3261,0.5108,0.2988,0.3737,0.3362,0.5161,0.5704,0.5433,0.526,0.526,0.526
4.8,-0.0673,0.331,0.4981,0.3079,0.3803,0.3441,0.528,0.5684,0.5482,0.5351,0.5265,0.5308
4.9,-0.0904,0.341,0.4904,0.3216,0.3907,0.3562,0.5409,0.5674,0.5541,0.5479,0.5301,0.539
5,-0.1097,0.3555,0.4872,0.34,0.4043,0.3721,0.5544,0.5671,0.5607,0.5644,0.5371,0.5507
5.1,-0.1224,0.3741,0.4884,0.3631,0.42,0.3915,0.5681,0.5674,0.5678,0.5841,0.5471,0.5656
5.2,-0.1276,0.396,0.4938,0.3903,0.4371,0.4137,0.5815,0.5686,0.575,0.6062,0.5601,0.5832
5.3,-0.1264,0.4202,0.5022,0.4208,0.455,0.4379,0.5939,0.5707,0.5823,0.6297,0.5756,0.6027
5.4,-0.12,0.4453,0.5125,0.4536,0.4732,0.4634,0.6047,0.5735,0.5891,0.6536,0.5929,0.6232
5.5,-0.1087,0.4704,0.5237,0.488,0.4912,0.4896,0.6136,0.5769,0.5952,0.6768,0.6116,0.6442
5.6,-0.0914,0.4943,0.5355,0.5235,0.5083,0.5159,0.6203,0.5808,0.6006,0.6987,0.6311,0.6649
5.7,-0.067,0.5162,0.5477,0.5598,0.5237,0.5417,0.625,0.5855,0.6052,0.7186,0.6511,0.6848
5.8,-0.035,0.5358,0.5599,0.5959,0.5372,0.5665,0.6278,0.591,0.6094,0.736,0.671,0.7035
5.9,0.0035,0.5527,0.5712,0.6311,0.5485,0.5898,0.6289,0.5974,0.6131,0.7502,0.6903,0.7203
6,0.0472,0.5666,0.581,0.6644,0.5579,0.6111,0.629,0.6048,0.6169,0.7611,0.708,0.7345
6.1,0.0945,0.5774,0.5895,0.6945,0.5653,0.6299,0.6287,0.6134,0.6211,0.7684,0.7236,0.746
6.2,0.1437,0.5844,0.5967,0.7195,0.5705,0.645,0.628,0.623,0.6255,0.772,0.7367,0.7544
6.3,0.1916,0.5868,0.6026,0.7377,0.5731,0.6554,0.6264,0.6329,0.6297,0.7718,0.747,0.7594
6.4,0.234,0.5841,0.6072,0.748,0.5728,0.6604,0.6231,0.6422,0.6326,0.7673,0.7541,0.7607
6.5,0.2679,0.5766,0.6102,0.7498,0.57,0.6599,0.6178,0.6502,0.634,0.7586,0.7574,0.758
6.6,0.2919,0.5653,0.6116,0.7444,0.5657,0.655,0.6106,0.6567,0.6336,0.7464,0.7574,0.7519
6.7,0.3066,0.5518,0.6119,0.7333,0.5613,0.6473,0.6024,0.6616,0.632,0.7319,0.7553,0.7436
6.8,0.3135,0.5375,0.6123,0.7186,0.5578,0.6382,0.5947,0.6657,0.6302,0.7166,0.7523,0.7344
6.9,0.3144,0.5236,0.6141,0.7019,0.556,0.629,0.5888,0.6697,0.6292,0.7023,0.7496,0.7259
7,0.3106,0.5111,0.618,0.685,0.5566,0.6208,0.5861,0.6742,0.6301,0.6903,0.748,0.7192
7.1,0.3033,0.5009,0.6239,0.6691,0.56,0.6145,0.5875,0.6797,0.6336,0.682,0.7482,0.7151
7.2,0.2932,0.4937,0.6315,0.655,0.5659,0.6105,0.5932,0.686,0.6396,0.678,0.7505,0.7142
7.3,0.2806,0.4892,0.6402,0.6426,0.5739,0.6082,0.6029,0.6928,0.6479,0.6781,0.7549,0.7165
7.4,0.2655,0.4864,0.6497,0.6305,0.5827,0.6066,0.6161,0.6999,0.658,0.6815,0.761,0.7212
7.5,0.2475,0.4843,0.66,0.6178,0.5918,0.6048,0.6319,0.7069,0.6694,0.6876,0.7685,0.728
7.6,0.2265,0.4823,0.6715,0.604,0.6009,0.6025,0.6504,0.7142,0.6823,0.6962,0.7773,0.7367
7.7,0.2027,0.4805,0.685,0.5894,0.6105,0.6,0.6716,0.7223,0.697,0.707,0.7871,0.7471
7.8,0.1759,0.4793,0.7013,0.5746,0.6208,0.5977,0.696,0.7319,0.714,0.7198,0.7978,0.7588
7.9,0.1457,0.4788,0.721,0.56,0.6319,0.5959,0.7226,0.7433,0.733,0.7335,0.8087,0.7711
8,0.112,0.4785,0.7439,0.5455,0.6434,0.5945,0.7497,0.7564,0.7531,0.7473,0.8191,0.7832
8.1,0.0758,0.4778,0.7693,0.5312,0.6548,0.593,0.7757,0.7707,0.7732,0.7604,0.8287,0.7946
8.2,0.0387,0.4764,0.7962,0.5174,0.6652,0.5913,0.7997,0.7856,0.7927,0.7725,0.8374,0.8049
8.3,0.0027,0.4741,0.8238,0.5047,0.6744,0.5895,0.8219,0.8011,0.8115,0.7834,0.8452,0.8143
8.4,-0.031,0.4712,0.8516,0.4939,0.682,0.5879,0.8424,0.8172,0.8298,0.7928,0.8517,0.8223
8.5,-0.0622,0.4683,0.8784,0.4855,0.6882,0.5868,0.8611,0.8338,0.8475,0.8003,0.8566,0.8285
8.6,-0.0911,0.4656,0.9028,0.4797,0.6931,0.5864,0.8774,0.8502,0.8638,0.8055,0.8594,0.8324
8.7,-0.1177,0.4631,0.9238,0.4761,0.6962,0.5861,0.8907,0.8652,0.8779,0.8078,0.86,0.8339
8.8,-0.1413,0.4604,0.9414,0.474,0.6971,0.5856,0.9005,0.8782,0.8894,0.8072,0.8585,0.8329
8.9,-0.161,0.4575,0.9562,0.4731,0.6955,0.5843,0.9064,0.889,0.8977,0.8036,0.8547,0.8292
9,-0.1764,0.4542,0.9683,0.473,0.6913,0.5822,0.9083,0.8978,0.903,0.7967,0.8483,0.8225
9.1,-0.188,0.4507,0.9767,0.4734,0.6849,0.5792,0.9061,0.9044,0.9053,0.786,0.8386,0.8123
9.2,-0.1959,0.4472,0.9799,0.4738,0.6761,0.5749,0.9002,0.9086,0.9044,0.7713,0.8255,0.7984
9.3,-0.1999,0.4436,0.9771,0.4738,0.6645,0.5691,0.8911,0.9102,0.9007,0.7531,0.8092,0.7812
9.4,-0.1998,0.4398,0.969,0.4733,0.6497,0.5615,0.8799,0.9093,0.8946,0.7319,0.7903,0.7611
9.5,-0.1959,0.4358,0.957,0.4726,0.632,0.5523,0.8673,0.9064,0.8869,0.709,0.7697,0.7393
9.6,-0.1893,0.4323,0.9422,0.4719,0.6127,0.5423,0.854,0.9021,0.878,0.6853,0.7485,0.7169
9.7,-0.1812,0.4306,0.9252,0.472,0.5936,0.5328,0.8402,0.897,0.8686,0.662,0.728,0.695
9.8,-0.1716,0.4323,0.9069,0.4738,0.5761,0.5249,0.8266,0.8917,0.8592,0.6403,0.7092,0.6747
9.9,-0.1597,0.4383,0.8881,0.4779,0.561,0.5195,0.814,0.8868,0.8504,0.6213,0.6929,0.6571
10,-0.1446,0.4482,0.8696,0.4847,0.5484,0.5165,0.8028,0.8828,0.8428,0.6064,0.6802,0.6433
10.1,-0.1262,0.4606,0.8518,0.4941,0.5377,0.5159,0.7931,0.8799,0.8365,0.5963,0.6711,0.6337
10.2,-0.1052,0.4742,0.8339,0.5054,0.5281,0.5167,0.7849,0.8775,0.8312,0.5908,0.6654,0.6281
10.3,-0.0826,0.4876,0.815,0.5178,0.5189,0.5184,0.7776,0.8747,0.8262,0.5894,0.6623,0.6258
10.4,-0.0594,0.5,0.795,0.5302,0.5096,0.5199,0.771,0.8708,0.8209,0.5911,0.6609,0.626
10.5,-0.0369,0.5105,0.7747,0.5419,0.5001,0.521,0.7654,0.8657,0.8155,0.5951,0.6608,0.6279
10.6,-0.017,0.5187,0.7557,0.5525,0.4904,0.5215,0.761,0.8596,0.8103,0.6012,0.6619,0.6315
10.7,-0.001,0.5242,0.7387,0.5618,0.4811,0.5214,0.7585,0.8527,0.8056,0.6093,0.6642,0.6367
10.8,0.0112,0.5272,0.7241,0.5702,0.4726,0.5214,0.7579,0.8448,0.8013,0.6195,0.6676,0.6435
10.9,0.0212,0.528,0.7117,0.5787,0.4653,0.522,0.7591,0.8356,0.7973,0.6317,0.6719,0.6518
11,0.0303,0.5272,0.7016,0.5881,0.4591,0.5236,0.7618,0.8251,0.7934,0.6459,0.6765,0.6612
11.1,0.0391,0.525,0.6939,0.5985,0.4542,0.5263,0.7656,0.8133,0.7895,0.6614,0.681,0.6712
11.2,0.0472,0.5218,0.6885,0.6099,0.4503,0.5301,0.77,0.8006,0.7853,0.6772,0.6853,0.6812
11.3,0.0538,0.5179,0.6849,0.622,0.4476,0.5348,0.7744,0.7869,0.7807,0.6923,0.6889,0.6906
11.4,0.0589,0.5139,0.6824,0.6344,0.4462,0.5403,0.7784,0.7724,0.7754,0.7058,0.6919,0.6989
11.5,0.063,0.5101,0.6804,0.6471,0.4462,0.5466,0.7816,0.7577,0.7696,0.7174,0.6941,0.7057
11.6,0.0664,0.507,0.6787,0.6597,0.4475,0.5536,0.7839,0.7432,0.7635,0.7266,0.6956,0.7111
11.7,0.0685,0.505,0.6772,0.6721,0.4502,0.5611,0.7848,0.7295,0.7571,0.7335,0.6963,0.7149
11.8,0.0686,0.504,0.6758,0.6837,0.4541,0.5689,0.7833,0.7168,0.7501,0.7372,0.696,0.7166
11.9,0.0662,0.5039,0.6742,0.694,0.459,0.5765,0.7789,0.7046,0.7417,0.7373,0.6947,0.716
12,0.061,0.5045,0.6725,0.7025,0.4648,0.5836,0.7712,0.6928,0.732,0.7337,0.6922,0.7129
12.1,0.0534,0.5061,0.6707,0.709,0.4716,0.5903,0.7606,0.6818,0.7212,0.7271,0.6889,0.708
12.2,0.0435,0.5089,0.6694,0.7139,0.4799,0.5969,0.748,0.6723,0.7102,0.7184,0.6853,0.7018
12.3,0.0318,0.5136,0.6687,0.7179,0.4903,0.6041,0.7342,0.6647,0.6995,0.7087,0.682,0.6953
12.4,0.019,0.5201,0.6687,0.7213,0.503,0.6121,0.7198,0.6593,0.6895,0.6985,0.6795,0.689
12.5,0.0058,0.5282,0.6688,0.7239,0.5178,0.6209,0.7055,0.6556,0.6805,0.6881,0.6781,0.6831
12.6,-0.007,0.5375,0.6687,0.7256,0.5345,0.63,0.6917,0.6529,0.6723,0.6779,0.6775,0.6777
12.7,-0.0193,0.5476,0.6685,0.7261,0.5527,0.6394,0.679,0.6512,0.6651,0.6683,0.6777,0.673
12.8,-0.0314,0.5583,0.669,0.7257,0.5727,0.6492,0.6678,0.6505,0.6592,0.6599,0.6787,0.6693
12.9,-0.0431,0.5693,0.6704,0.7242,0.5941,0.6592,0.6582,0.6512,0.6547,0.6531,0.6805,0.6668
13,-0.0541,0.5803,0.6723,0.7215,0.6163,0.6689,0.6501,0.6532,0.6516,0.6484,0.6835,0.6659
13.1,-0.0638,0.5906,0.6742,0.7173,0.6381,0.6777,0.6431,0.6563,0.6497,0.6456,0.6877,0.6667
13.2,-0.072,0.5998,0.6753,0.7118,0.658,0.6849,0.6375,0.66,0.6488,0.6447,0.6928,0.6688
13.3,-0.0787,0.6073,0.6753,0.7053,0.6751,0.6902,0.6335,0.6639,0.6487,0.6453,0.6985,0.6719
13.4,-0.0837,0.6131,0.6741,0.6982,0.689,0.6936,0.6313,0.6678,0.6496,0.6474,0.7043,0.6759
13.5,-0.0866,0.6172,0.6718,0.6906,0.6996,0.6951,0.6307,0.6715,0.6511,0.6507,0.71,0.6804
13.6,-0.0865,0.6198,0.6688,0.6824,0.7068,0.6946,0.6317,0.6749,0.6533,0.655,0.7152,0.6851
13.7,-0.0829,0.6212,0.6656,0.6739,0.7106,0.6922,0.6346,0.6783,0.6564,0.6599,0.7196,0.6898
13.8,-0.0763,0.6219,0.6628,0.6655,0.7113,0.6884,0.6397,0.6822,0.661,0.6654,0.7228,0.6941
13.9,-0.0678,0.6222,0.6599,0.6581,0.7096,0.6839,0.6474,0.6872,0.6673,0.6713,0.7244,0.6978
14,-0.058,0.6225,0.6563,0.6519,0.706,0.679,0.6576,0.6933,0.6754,0.6775,0.724,0.7008
14.1,-0.0468,0.6227,0.6514,0.6469,0.7004,0.6736,0.67,0.7004,0.6852,0.6837,0.7212,0.7025
14.2,-0.033,0.6224,0.6451,0.6425,0.692,0.6673,0.6842,0.7081,0.6961,0.6892,0.7154,0.7023
14.3,-0.0164,0.6211,0.6378,0.6384,0.6806,0.6595,0.6995,0.7164,0.7079,0.6932,0.7065,0.6998
14.4,0.0016,0.6188,0.63,0.634,0.6664,0.6502,0.7155,0.7253,0.7204,0.6952,0.6947,0.6949
14.5,0.0191,0.6157,0.6226,0.6294,0.6509,0.6402,0.7319,0.7349,0.7334,0.695,0.6807,0.6879
14.6,0.034,0.6125,0.6168,0.6247,0.6353,0.63,0.7483,0.7451,0.7467,0.6931,0.6655,0.6793
14.7,0.0456,0.6095,0.6135,0.62,0.6205,0.6203,0.764,0.7554,0.7597,0.6896,0.6498,0.6697
14.8,0.0542,0.6061,0.6128,0.6155,0.607,0.6112,0.778,0.7654,0.7717,0.685,0.6343,0.6596
14.9,0.0595,0.602,0.6147,0.6108,0.5949,0.6028,0.7893,0.7747,0.782,0.6794,0.6193,0.6494
15,0.061,0.5965,0.619,0.6058,0.5846,0.5952,0.7978,0.7831,0.7905,0.6731,0.6055,0.6393
15.1,0.0574,0.5901,0.6255,0.6001,0.577,0.5886,0.8041,0.7907,0.7974,0.6661,0.5934,0.6298
15.2,0.0484,0.5832,0.6343,0.5939,0.5725,0.5832,0.8091,0.7975,0.8033,0.6586,0.5835,0.621
15.3,0.0344,0.5766,0.6448,0.5876,0.5714,0.5795,0.8138,0.8036,0.8087,0.6511,0.5758,0.6134
15.4,0.0166,0.5708,0.6555,0.5817,0.5736,0.5776,0.8186,0.8092,0.8139,0.644,0.5703,0.6072
15.5,-0.0036,0.5656,0.665,0.5762,0.5789,0.5775,0.8232,0.8143,0.8188,0.6378,0.5668,0.6023
15.6,-0.0245,0.5607,0.6727,0.5711,0.5866,0.5788,0.8272,0.8191,0.8232,0.632,0.5651,0.5986
15.7,-0.0451,0.5554,0.6779,0.566,0.5958,0.5809,0.8303,0.8234,0.8269,0.6262,0.5648,0.5955
15.8,-0.0644,0.5494,0.6801,0.5607,0.6055,0.5831,0.8322,0.8268,0.8295,0.6199,0.5652,0.5926
15.9,-0.0821,0.5429,0.6792,0.5555,0.6154,0.5854,0.8325,0.8294,0.831,0.6132,0.5659,0.5895
16,-0.0983,0.536,0.6758,0.5506,0.6252,0.5879,0.8313,0.8313,0.8313,0.6062,0.5669,0.5865
16.1,-0.1128,0.5291,0.6714,0.5465,0.6347,0.5906,0.8284,0.8328,0.8306,0.5994,0.5684,0.5839
16.2,-0.1253,0.522,0.6666,0.5436,0.6435,0.5935,0.824,0.8343,0.8292,0.593,0.571,0.582
16.3,-0.135,0.5149,0.6613,0.5418,0.6509,0.5964,0.8182,0.836,0.8271,0.5872,0.5747,0.581
16.4,-0.1419,0.5078,0.6544,0.5416,0.6566,0.5991,0.8109,0.8374,0.8242,0.5819,0.5789,0.5804
16.5,-0.1461,0.5009,0.6454,0.5429,0.6607,0.6018,0.8024,0.8382,0.8203,0.577,0.5829,0.5799
16.6,-0.1475,0.4941,0.6343,0.546,0.663,0.6045,0.7927,0.8378,0.8153,0.5726,0.586,0.5793
16.7,-0.1457,0.4873,0.6222,0.5503,0.6635,0.6069,0.7824,0.8364,0.8094,0.569,0.5881,0.5786
16.8,-0.1398,0.48,0.6101,0.5554,0.6617,0.6085,0.7721,0.8341,0.8031,0.5667,0.5894,0.5781
16.9,-0.129,0.472,0.5989,0.5607,0.657,0.6088,0.7626,0.8314,0.797,0.566,0.5903,0.5781
17,-0.1133,0.4633,0.5891,0.5661,0.6495,0.6078,0.7547,0.8285,0.7916,0.567,0.5909,0.5789
17.1,-0.0932,0.4545,0.5811,0.5722,0.6394,0.6058,0.7491,0.8257,0.7874,0.5697,0.5915,0.5806
17.2,-0.0695,0.4462,0.5753,0.5792,0.6271,0.6031,0.7457,0.8228,0.7843,0.574,0.5922,0.5831
17.3,-0.0424,0.4386,0.5723,0.5866,0.6123,0.5995,0.7446,0.8196,0.7821,0.5802,0.5937,0.5869
17.4,-0.0118,0.4314,0.573,0.5942,0.5948,0.5945,0.7456,0.8161,0.7808,0.5888,0.5965,0.5927
17.5,0.0222,0.4246,0.579,0.6013,0.5744,0.5878,0.7486,0.8126,0.7806,0.6003,0.6014,0.6009
17.6,0.0587,0.4185,0.5906,0.6078,0.5516,0.5797,0.7536,0.8094,0.7815,0.6148,0.6091,0.6119
17.7,0.0962,0.4141,0.6072,0.6141,0.5275,0.5708,0.7605,0.8068,0.7836,0.6325,0.6197,0.6261
17.8,0.1328,0.4118,0.6276,0.6205,0.5033,0.5619,0.7688,0.8046,0.7867,0.6534,0.6334,0.6434
17.9,0.1672,0.412,0.6506,0.6271,0.4797,0.5534,0.7778,0.8027,0.7902,0.6769,0.6501,0.6635
18,0.1985,0.4146,0.675,0.6341,0.4572,0.5456,0.787,0.8009,0.7939,0.7023,0.669,0.6856
18.1,0.2264,0.4192,0.6986,0.6409,0.4363,0.5386,0.7959,0.7991,0.7975,0.7281,0.6893,0.7087
18.2,0.2509,0.4255,0.7187,0.647,0.4172,0.5321,0.8044,0.7973,0.8009,0.7532,0.7098,0.7315
18.3,0.2712,0.4334,0.7338,0.6519,0.4003,0.5261,0.8125,0.7957,0.8041,0.7764,0.7297,0.7531
18.4,0.2866,0.4426,0.7437,0.6554,0.3861,0.5208,0.8203,0.7946,0.8074,0.797,0.7485,0.7727
18.5,0.2965,0.4532,0.7493,0.6576,0.375,0.5163,0.8275,0.7943,0.8109,0.8145,0.7657,0.7901
18.6,0.3008,0.4651,0.7516,0.6587,0.3673,0.513,0.834,0.7951,0.8145,0.8286,0.7811,0.8049
18.7,0.3002,0.4781,0.7513,0.659,0.3633,0.5112,0.8393,0.7971,0.8182,0.8394,0.7945,0.817
18.8,0.2949,0.4917,0.7487,0.6586,0.3631,0.5108,0.8432,0.8006,0.8219,0.8468,0.8058,0.8263
18.9,0.2846,0.505,0.7448,0.657,0.3664,0.5117,0.8455,0.8054,0.8255,0.8508,0.815,0.8329
19,0.2688,0.5172,0.7408,0.6541,0.373,0.5135,0.8466,0.8117,0.8292,0.8514,0.8224,0.8369
19.1,0.2468,0.528,0.7381,0.6499,0.3824,0.5161,0.8466,0.8195,0.833,0.8487,0.8282,0.8384
19.2,0.2185,0.5372,0.7374,0.6445,0.3946,0.5195,0.8457,0.8284,0.837,0.8428,0.8323,0.8376
19.3,0.1844,0.5446,0.739,0.6387,0.4093,0.524,0.8441,0.8383,0.8412,0.8341,0.8345,0.8343
19.4,0.1463,0.5505,0.743,0.633,0.4265,0.5298,0.8422,0.8487,0.8455,0.8228,0.8349,0.8288
19.5,0.1067,0.5551,0.7492,0.6283,0.4462,0.5373,0.8404,0.8595,0.8499,0.8092,0.8333,0.8213
19.6,0.0675,0.5592,0.7577,0.6251,0.4679,0.5465,0.8388,0.8703,0.8546,0.7935,0.8297,0.8116
19.7,0.0303,0.5632,0.7681,0.6233,0.4912,0.5572,0.8375,0.8809,0.8592,0.7761,0.8237,0.7999
19.8,-0.0037,0.5672,0.78,0.6229,0.5154,0.5692,0.8363,0.8909,0.8636,0.7576,0.8154,0.7865
19.9,-0.0328,0.5714,0.7936,0.6238,0.54,0.5819,0.8352,0.9002,0.8677,0.7389,0.8054,0.7721
20,-0.0551,0.5758,0.8095,0.6259,0.5641,0.595,0.8342,0.9089,0.8715,0.7207,0.7944,0.7575
20.1,-0.0693,0.5809,0.8277,0.6293,0.5874,0.6083,0.8334,0.9166,0.875,0.7036,0.783,0.7433
20.2,-0.0753,0.5868,0.8478,0.6336,0.609,0.6213,0.8325,0.9228,0.8776,0.6878,0.7715,0.7296
20.3,-0.0743,0.5934,0.8684,0.6386,0.6283,0.6334,0.8309,0.9268,0.8789,0.673,0.7596,0.7163
20.4,-0.0678,0.6004,0.8881,0.6438,0.6448,0.6443,0.828,0.9284,0.8782,0.6589,0.747,0.7029
20.5,-0.0571,0.6074,0.9054,0.6494,0.6582,0.6538,0.8234,0.9274,0.8754,0.6451,0.7337,0.6894
20.6,-0.0432,0.6145,0.9197,0.6555,0.6686,0.6621,0.8173,0.9239,0.8706,0.6322,0.7202,0.6762
20.7,-0.0268,0.622,0.9308,0.6624,0.6765,0.6695,0.81,0.9181,0.864,0.6209,0.7075,0.6642
20.8,-0.0088,0.63,0.9387,0.6701,0.6826,0.6763,0.8017,0.9101,0.8559,0.6121,0.6964,0.6543
20.9,0.011,0.6382,0.9432,0.6782,0.6873,0.6828,0.7925,0.9,0.8463,0.6058,0.6871,0.6464
21,0.0327,0.6463,0.9433,0.6863,0.6906,0.6884,0.7828,0.8879,0.8354,0.6015,0.6795,0.6405
21.1,0.0564,0.6537,0.939,0.6941,0.6923,0.6932,0.7729,0.8742,0.8236,0.5989,0.6736,0.6363
