Time,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC,P and O Cruises - Have It All Sale 30 TVC
0.9,-0.8214,0.7056,0.8092,0.97,0.9154,0.9427,0.8929,0.9515,0.9222,0.9948,1.0328,1.0138
1,-0.6901,0.6714,0.7903,0.9451,0.8883,0.9167,0.8542,0.9749,0.9145,0.9582,1.0279,0.993
1.1,-0.5577,0.6356,0.7657,0.9105,0.8552,0.8829,0.8145,0.9884,0.9015,0.9205,1.0138,0.9671
1.2,-0.4367,0.6036,0.7371,0.8704,0.8176,0.844,0.7761,0.9911,0.8836,0.8829,0.991,0.9369
1.3,-0.3325,0.5772,0.7072,0.828,0.7778,0.8029,0.7408,0.9836,0.8622,0.8467,0.9608,0.9038
1.4,-0.2451,0.5555,0.6783,0.7866,0.737,0.7618,0.71,0.9677,0.8388,0.8132,0.926,0.8696
1.5,-0.1729,0.5377,0.6512,0.7496,0.6962,0.7229,0.6847,0.9452,0.815,0.7833,0.8901,0.8367
1.6,-0.1153,0.5239,0.6262,0.7197,0.6568,0.6883,0.6646,0.918,0.7913,0.7573,0.8555,0.8064
1.7,-0.0725,0.5149,0.6038,0.6975,0.6205,0.659,0.6483,0.8874,0.7678,0.7347,0.8226,0.7786
1.8,-0.0447,0.5097,0.5847,0.682,0.5883,0.6352,0.6347,0.854,0.7444,0.7142,0.7909,0.7525
1.9,-0.0299,0.5067,0.5695,0.6712,0.5605,0.6158,0.6232,0.8188,0.721,0.6949,0.7603,0.7276
2,-0.0256,0.5045,0.5582,0.6635,0.537,0.6002,0.6137,0.7836,0.6986,0.6767,0.7314,0.7041
2.1,-0.0301,0.5035,0.5509,0.6588,0.5184,0.5886,0.6065,0.7504,0.6784,0.6599,0.7052,0.6825
2.2,-0.0422,0.505,0.548,0.6569,0.5056,0.5813,0.6012,0.7205,0.6609,0.6447,0.682,0.6633
2.3,-0.0607,0.509,0.5494,0.6572,0.4986,0.5779,0.5976,0.6936,0.6456,0.6307,0.6611,0.6459
2.4,-0.0836,0.5144,0.5539,0.6588,0.4959,0.5774,0.5952,0.6685,0.6318,0.6177,0.6422,0.63
2.5,-0.1092,0.5203,0.5599,0.6609,0.4964,0.5787,0.5938,0.6446,0.6192,0.6059,0.6256,0.6158
2.6,-0.1363,0.5264,0.566,0.663,0.4993,0.5811,0.5935,0.622,0.6077,0.5957,0.6113,0.6035
2.7,-0.1645,0.5331,0.5712,0.6644,0.5041,0.5842,0.594,0.6008,0.5974,0.5869,0.5989,0.5929
2.8,-0.1934,0.5401,0.5746,0.6644,0.5096,0.587,0.5953,0.5805,0.5879,0.579,0.5878,0.5834
2.9,-0.2221,0.5463,0.5758,0.6629,0.5146,0.5888,0.5973,0.56,0.5786,0.5715,0.5778,0.5747
3,-0.2504,0.5512,0.5749,0.6601,0.5187,0.5894,0.5996,0.5385,0.569,0.5639,0.569,0.5664
3.1,-0.2785,0.5552,0.5723,0.6563,0.5225,0.5894,0.6018,0.5164,0.5591,0.5558,0.5608,0.5583
3.2,-0.3055,0.5591,0.5683,0.652,0.5268,0.5894,0.6039,0.4943,0.5491,0.5473,0.5531,0.5502
3.3,-0.33,0.5633,0.5618,0.6474,0.5318,0.5896,0.6055,0.472,0.5387,0.5386,0.5456,0.5421
3.4,-0.3514,0.5669,0.552,0.6421,0.5368,0.5894,0.6066,0.449,0.5278,0.5301,0.5384,0.5342
3.5,-0.3704,0.5692,0.539,0.6354,0.5409,0.5882,0.6069,0.4254,0.5162,0.5222,0.5317,0.527
3.6,-0.388,0.5696,0.5236,0.6265,0.544,0.5853,0.6071,0.4021,0.5046,0.5162,0.5258,0.521
3.7,-0.4044,0.5681,0.5071,0.6154,0.5461,0.5807,0.6082,0.3805,0.4943,0.5134,0.5214,0.5174
3.8,-0.4189,0.5649,0.4904,0.6026,0.5472,0.5749,0.6112,0.3617,0.4865,0.5152,0.5197,0.5175
3.9,-0.4306,0.56,0.4753,0.589,0.5473,0.5681,0.6167,0.3468,0.4817,0.5224,0.5217,0.522
4,-0.4393,0.5536,0.4631,0.5749,0.5467,0.5608,0.6243,0.3363,0.4803,0.535,0.5277,0.5313
4.1,-0.4462,0.5463,0.4549,0.5608,0.546,0.5534,0.633,0.3308,0.4819,0.5522,0.5372,0.5447
4.2,-0.4518,0.5388,0.4514,0.5466,0.5459,0.5462,0.6426,0.3305,0.4865,0.5734,0.5496,0.5615
4.3,-0.4556,0.5318,0.4524,0.5326,0.5465,0.5395,0.6531,0.3353,0.4942,0.5979,0.5649,0.5814
4.4,-0.4569,0.5255,0.4574,0.5196,0.5479,0.5338,0.665,0.3449,0.5049,0.6245,0.5823,0.6034
4.5,-0.4556,0.52,0.4659,0.508,0.5502,0.5291,0.6777,0.3585,0.5181,0.6514,0.6002,0.6258
4.6,-0.4525,0.5155,0.4775,0.4977,0.5535,0.5256,0.6902,0.3757,0.5329,0.6766,0.6176,0.6471
4.7,-0.448,0.5121,0.4914,0.4886,0.558,0.5233,0.7018,0.3955,0.5487,0.699,0.6336,0.6663
4.8,-0.4423,0.51,0.507,0.4806,0.5649,0.5228,0.7127,0.4172,0.565,0.718,0.6475,0.6828
4.9,-0.4359,0.5102,0.5239,0.4742,0.5751,0.5246,0.7233,0.4401,0.5817,0.7329,0.6582,0.6955
5,-0.4296,0.513,0.5413,0.4696,0.5887,0.5292,0.7331,0.4632,0.5981,0.7432,0.6643,0.7037
5.1,-0.4235,0.5188,0.5583,0.4664,0.6056,0.536,0.7414,0.4848,0.6131,0.7481,0.6647,0.7064
5.2,-0.4172,0.5274,0.5737,0.4646,0.6253,0.545,0.7477,0.5038,0.6257,0.747,0.6595,0.7033
5.3,-0.4102,0.5388,0.5867,0.4655,0.648,0.5567,0.7519,0.5195,0.6357,0.74,0.6494,0.6947
5.4,-0.4021,0.5535,0.5976,0.4707,0.6737,0.5722,0.7543,0.5324,0.6434,0.7278,0.6355,0.6816
5.5,-0.3923,0.571,0.6068,0.4807,0.7013,0.591,0.755,0.5429,0.649,0.7111,0.6189,0.665
5.6,-0.3797,0.5897,0.6143,0.494,0.7287,0.6113,0.7539,0.5506,0.6522,0.6912,0.6007,0.646
5.7,-0.3633,0.6073,0.619,0.508,0.7533,0.6307,0.7511,0.555,0.653,0.67,0.5824,0.6262
5.8,-0.3429,0.622,0.6206,0.5215,0.7736,0.6476,0.7469,0.556,0.6515,0.6496,0.5658,0.6077
5.9,-0.3194,0.6328,0.6195,0.5342,0.789,0.6616,0.7415,0.5544,0.648,0.6315,0.5527,0.5921
6,-0.2935,0.6395,0.6164,0.5464,0.7989,0.6727,0.7349,0.5508,0.6428,0.616,0.5436,0.5798
6.1,-0.265,0.6415,0.6111,0.5578,0.802,0.6799,0.7268,0.545,0.6359,0.603,0.5382,0.5706
6.2,-0.2326,0.638,0.6028,0.5682,0.7969,0.6825,0.7173,0.5365,0.6269,0.5923,0.5369,0.5646
6.3,-0.1961,0.629,0.5911,0.5775,0.7839,0.6807,0.7067,0.5252,0.6159,0.5842,0.5391,0.5617
6.4,-0.1562,0.6153,0.5764,0.5858,0.7644,0.6751,0.6956,0.5122,0.6039,0.5791,0.5439,0.5615
6.5,-0.1142,0.5981,0.56,0.5926,0.7401,0.6664,0.6847,0.499,0.5919,0.577,0.5503,0.5636
6.6,-0.071,0.5778,0.5428,0.5973,0.712,0.6546,0.6742,0.4863,0.5803,0.5777,0.558,0.5679
6.7,-0.028,0.5545,0.5246,0.5999,0.6807,0.6403,0.664,0.4746,0.5693,0.581,0.5664,0.5737
6.8,0.0118,0.5283,0.5055,0.601,0.648,0.6245,0.6536,0.464,0.5588,0.5859,0.5744,0.5801
6.9,0.0468,0.5009,0.4856,0.6014,0.6162,0.6088,0.6429,0.4547,0.5488,0.591,0.5811,0.5861
7,0.0768,0.474,0.4653,0.6018,0.5877,0.5948,0.6319,0.4465,0.5392,0.5951,0.5862,0.5907
7.1,0.103,0.4491,0.4452,0.6028,0.5637,0.5832,0.6211,0.4389,0.53,0.5971,0.5898,0.5934
7.2,0.1262,0.4269,0.4253,0.6042,0.5447,0.5744,0.6102,0.4314,0.5208,0.5964,0.5922,0.5943
7.3,0.1457,0.4074,0.4059,0.606,0.5307,0.5683,0.5983,0.4236,0.5109,0.5932,0.5934,0.5933
7.4,0.1602,0.3906,0.3873,0.6081,0.5213,0.5647,0.5847,0.4158,0.5002,0.5879,0.5932,0.5905
7.5,0.169,0.3762,0.3706,0.6104,0.516,0.5632,0.57,0.4085,0.4892,0.5804,0.5919,0.5861
7.6,0.1726,0.3644,0.3572,0.6129,0.5139,0.5634,0.5556,0.4019,0.4788,0.571,0.5897,0.5803
7.7,0.1719,0.3552,0.3478,0.6158,0.5141,0.565,0.543,0.3957,0.4693,0.56,0.5867,0.5734
7.8,0.1668,0.3489,0.3428,0.6193,0.516,0.5676,0.5318,0.3892,0.4605,0.5475,0.5825,0.565
7.9,0.1567,0.3458,0.342,0.6228,0.5192,0.571,0.5216,0.3819,0.4518,0.5334,0.5765,0.5549
8,0.1415,0.3464,0.3452,0.6256,0.5241,0.5748,0.5124,0.3739,0.4432,0.5182,0.5686,0.5434
8.1,0.1223,0.351,0.3521,0.6275,0.5307,0.5791,0.5051,0.3657,0.4354,0.5031,0.5592,0.5312
8.2,0.0984,0.3598,0.3624,0.6285,0.5391,0.5838,0.4997,0.3578,0.4288,0.4889,0.5489,0.5189
8.3,0.0684,0.3719,0.3757,0.6284,0.5485,0.5885,0.4955,0.3507,0.4231,0.4759,0.5378,0.5069
8.4,0.0326,0.3859,0.3909,0.6268,0.5571,0.592,0.4913,0.3441,0.4177,0.4646,0.5268,0.4957
8.5,-0.0067,0.4005,0.4077,0.623,0.5636,0.5933,0.4861,0.3379,0.412,0.455,0.5163,0.4857
8.6,-0.0479,0.4151,0.4258,0.6172,0.5676,0.5924,0.4802,0.3327,0.4065,0.448,0.5066,0.4773
8.7,-0.0904,0.429,0.4453,0.6091,0.5692,0.5891,0.4738,0.3294,0.4016,0.4441,0.4976,0.4708
8.8,-0.1329,0.4418,0.4657,0.598,0.5685,0.5833,0.4673,0.3276,0.3975,0.4442,0.4893,0.4668
8.9,-0.1729,0.4532,0.4859,0.5829,0.5652,0.5741,0.461,0.3265,0.3937,0.4487,0.482,0.4654
9,-0.2085,0.4638,0.505,0.5638,0.5599,0.5619,0.4545,0.3256,0.39,0.4568,0.4761,0.4664
9.1,-0.2408,0.4746,0.5229,0.5425,0.5538,0.5481,0.4476,0.3251,0.3864,0.4675,0.4721,0.4698
9.2,-0.2729,0.4863,0.5402,0.5213,0.5484,0.5349,0.44,0.3257,0.3828,0.4804,0.4702,0.4753
9.3,-0.3056,0.499,0.5568,0.5021,0.5444,0.5232,0.431,0.3267,0.3789,0.4944,0.471,0.4827
9.4,-0.3365,0.5123,0.5717,0.4851,0.5413,0.5132,0.4202,0.3275,0.3738,0.5073,0.4741,0.4907
9.5,-0.363,0.526,0.5841,0.4703,0.5388,0.5045,0.4072,0.3275,0.3673,0.5169,0.4788,0.4979
9.6,-0.3845,0.5398,0.5936,0.4582,0.5373,0.4977,0.3925,0.3275,0.36,0.5217,0.4844,0.503
9.7,-0.4023,0.5533,0.6006,0.4497,0.5378,0.4938,0.3775,0.3285,0.353,0.5216,0.4893,0.5054
9.8,-0.4178,0.5662,0.6054,0.4451,0.5412,0.4932,0.3635,0.3313,0.3474,0.5167,0.4926,0.5047
9.9,-0.4303,0.5778,0.6081,0.4437,0.5475,0.4956,0.3516,0.3357,0.3436,0.5071,0.4941,0.5006
10,-0.4381,0.5874,0.6082,0.4448,0.5559,0.5004,0.3416,0.3409,0.3412,0.4922,0.4933,0.4928
10.1,-0.4395,0.5944,0.6051,0.4483,0.566,0.5071,0.3331,0.3464,0.3397,0.4723,0.4897,0.481
10.2,-0.4342,0.5981,0.5989,0.4539,0.5773,0.5156,0.3259,0.3516,0.3388,0.4485,0.4837,0.4661
10.3,-0.4212,0.5978,0.5904,0.4607,0.5892,0.5249,0.3201,0.3564,0.3382,0.4231,0.4763,0.4497
10.4,-0.3992,0.5925,0.5804,0.4672,0.6003,0.5338,0.3157,0.3602,0.338,0.3988,0.4689,0.4338
10.5,-0.3681,0.5821,0.5702,0.472,0.6098,0.5409,0.3124,0.3635,0.3379,0.3773,0.4623,0.4198
10.6,-0.3296,0.5666,0.5607,0.4742,0.6171,0.5457,0.3098,0.3666,0.3382,0.359,0.4568,0.4079
10.7,-0.2872,0.547,0.553,0.4739,0.6225,0.5482,0.3075,0.3705,0.339,0.3434,0.4519,0.3977
10.8,-0.2436,0.5244,0.5476,0.4715,0.6257,0.5486,0.3056,0.3753,0.3404,0.3301,0.4475,0.3888
10.9,-0.2007,0.5003,0.5448,0.4671,0.6265,0.5468,0.3045,0.3807,0.3426,0.3186,0.4432,0.3809
11,-0.1591,0.4756,0.5442,0.4611,0.6247,0.5429,0.3042,0.3864,0.3453,0.3089,0.4389,0.3739
11.1,-0.1205,0.4512,0.5455,0.4532,0.6205,0.5368,0.304,0.3921,0.3481,0.3007,0.4342,0.3675
11.2,-0.0871,0.4274,0.5483,0.4432,0.6148,0.529,0.303,0.398,0.3505,0.2939,0.4289,0.3614
11.3,-0.0617,0.4045,0.5527,0.4312,0.6081,0.5197,0.3008,0.4041,0.3524,0.2889,0.4232,0.3561
11.4,-0.046,0.3832,0.559,0.4178,0.6012,0.5095,0.2976,0.4103,0.3539,0.2865,0.418,0.3522
11.5,-0.0407,0.3641,0.5673,0.4039,0.5941,0.499,0.2935,0.4162,0.3549,0.2868,0.4143,0.3506
11.6,-0.0448,0.3477,0.5775,0.3906,0.5869,0.4888,0.2884,0.4219,0.3551,0.2895,0.4136,0.3516
11.7,-0.0566,0.334,0.5892,0.3783,0.5795,0.4789,0.2823,0.4273,0.3548,0.294,0.417,0.3555
11.8,-0.0735,0.323,0.6016,0.367,0.5714,0.4692,0.2763,0.4326,0.3545,0.3005,0.4254,0.363
11.9,-0.0927,0.3145,0.6143,0.3573,0.5627,0.46,0.2715,0.4378,0.3546,0.3103,0.4397,0.375
12,-0.1133,0.3091,0.6267,0.3494,0.5536,0.4515,0.2687,0.4428,0.3557,0.325,0.4603,0.3927
12.1,-0.1343,0.3072,0.6386,0.3439,0.545,0.4444,0.2686,0.4476,0.3581,0.3459,0.4872,0.4166
12.2,-0.1541,0.3094,0.6495,0.3413,0.5373,0.4393,0.2716,0.452,0.3618,0.3739,0.5207,0.4473
12.3,-0.1706,0.3161,0.6591,0.3425,0.5312,0.4368,0.278,0.4562,0.3671,0.4092,0.5603,0.4847
12.4,-0.1821,0.3278,0.6675,0.3485,0.5274,0.4379,0.2887,0.46,0.3743,0.4513,0.6047,0.528
12.5,-0.1884,0.3441,0.6749,0.36,0.5261,0.4431,0.3043,0.4635,0.3839,0.4994,0.6514,0.5754
12.6,-0.1892,0.3642,0.6812,0.3773,0.5273,0.4523,0.3254,0.4661,0.3958,0.5513,0.6972,0.6243
12.7,-0.1834,0.3875,0.686,0.3996,0.5305,0.465,0.3514,0.4674,0.4094,0.603,0.7396,0.6713
12.8,-0.1709,0.4127,0.689,0.425,0.535,0.48,0.3813,0.467,0.4242,0.6504,0.7767,0.7136
12.9,-0.1539,0.4378,0.69,0.4515,0.54,0.4958,0.4142,0.4653,0.4398,0.6909,0.8079,0.7494
13,-0.1364,0.4607,0.6894,0.4771,0.5452,0.5111,0.4497,0.463,0.4563,0.7237,0.8325,0.7781
13.1,-0.1209,0.4806,0.6877,0.5007,0.5506,0.5257,0.4872,0.4611,0.4741,0.7485,0.8506,0.7995
13.2,-0.109,0.4975,0.6857,0.5216,0.5565,0.5391,0.5253,0.4606,0.493,0.7655,0.8628,0.8141
13.3,-0.1008,0.5117,0.6842,0.5387,0.5627,0.5507,0.562,0.462,0.512,0.7754,0.8702,0.8228
13.4,-0.0967,0.5227,0.6837,0.5507,0.5683,0.5595,0.5954,0.4655,0.5305,0.7796,0.8741,0.8268
13.5,-0.0976,0.5302,0.6845,0.5563,0.5719,0.5641,0.6254,0.4706,0.548,0.7798,0.8756,0.8277
13.6,-0.1046,0.5338,0.6866,0.5552,0.5728,0.564,0.6528,0.477,0.5649,0.7776,0.876,0.8268
13.7,-0.1177,0.5345,0.6901,0.547,0.5711,0.559,0.6783,0.4843,0.5813,0.7741,0.8757,0.8249
13.8,-0.1354,0.5337,0.6946,0.5322,0.5675,0.5498,0.7021,0.4925,0.5973,0.7697,0.8747,0.8222
13.9,-0.1563,0.5326,0.6996,0.5124,0.5626,0.5375,0.7239,0.5014,0.6126,0.7642,0.8723,0.8182
14,-0.1788,0.532,0.7044,0.4895,0.5571,0.5233,0.7432,0.5106,0.6269,0.7565,0.8677,0.8121
14.1,-0.2007,0.5321,0.7086,0.4656,0.551,0.5083,0.7597,0.5195,0.6396,0.746,0.8602,0.8031
14.2,-0.2205,0.5328,0.7114,0.4422,0.5439,0.4931,0.7725,0.5272,0.6498,0.7327,0.8497,0.7912
14.3,-0.2369,0.5336,0.7129,0.4199,0.5355,0.4777,0.78,0.5327,0.6563,0.7166,0.8361,0.7763
14.4,-0.249,0.5347,0.7134,0.3985,0.5258,0.4621,0.7803,0.5358,0.658,0.6979,0.8201,0.759
14.5,-0.2566,0.5356,0.7134,0.3781,0.5155,0.4468,0.7725,0.5363,0.6544,0.6768,0.8023,0.7396
14.6,-0.2602,0.5363,0.7133,0.3592,0.5053,0.4323,0.757,0.5345,0.6458,0.6538,0.7836,0.7187
14.7,-0.2591,0.5366,0.7136,0.3433,0.4955,0.4194,0.7356,0.5307,0.6331,0.6302,0.765,0.6976
14.8,-0.2523,0.5362,0.7149,0.331,0.4858,0.4084,0.71,0.5256,0.6178,0.6075,0.7476,0.6775
14.9,-0.2387,0.5343,0.717,0.3219,0.4755,0.3987,0.6823,0.5194,0.6008,0.587,0.732,0.6595
15,-0.2177,0.53,0.7197,0.3147,0.4636,0.3891,0.6541,0.5126,0.5833,0.5698,0.7186,0.6442
15.1,-0.1901,0.5226,0.7225,0.3082,0.4496,0.3789,0.6271,0.5054,0.5663,0.5564,0.7063,0.6314
15.2,-0.1579,0.5122,0.7249,0.3021,0.4333,0.3677,0.6028,0.498,0.5504,0.5469,0.6944,0.6206
15.3,-0.1244,0.4987,0.7263,0.2963,0.4148,0.3556,0.5816,0.4906,0.5361,0.5417,0.6822,0.612
15.4,-0.0926,0.4827,0.7264,0.2905,0.3944,0.3424,0.5633,0.4837,0.5235,0.541,0.6693,0.6052
15.5,-0.0646,0.4645,0.7254,0.2845,0.3724,0.3284,0.5474,0.4776,0.5125,0.5446,0.6554,0.6
15.6,-0.0409,0.4443,0.7233,0.2782,0.349,0.3136,0.5341,0.4723,0.5032,0.5513,0.6402,0.5958
15.7,-0.0229,0.4228,0.7206,0.2717,0.3246,0.2981,0.5237,0.4679,0.4958,0.5597,0.6237,0.5917
15.8,-0.0125,0.4003,0.7179,0.2647,0.299,0.2819,0.5163,0.4647,0.4905,0.5675,0.6056,0.5865
15.9,-0.0113,0.3771,0.7152,0.2566,0.2727,0.2646,0.5115,0.4626,0.4871,0.5729,0.5858,0.5793
16,-0.0202,0.3538,0.7123,0.2468,0.2466,0.2467,0.5088,0.4616,0.4852,0.5746,0.5641,0.5693
16.1,-0.0379,0.3313,0.709,0.2355,0.2222,0.2288,0.5076,0.4617,0.4847,0.5721,0.5408,0.5565
16.2,-0.0627,0.3106,0.7053,0.2233,0.2011,0.2122,0.5078,0.4637,0.4857,0.5661,0.5167,0.5414
16.3,-0.0926,0.2927,0.7015,0.2119,0.1842,0.1981,0.5098,0.4682,0.489,0.5572,0.4931,0.5251
16.4,-0.1245,0.2786,0.6983,0.2028,0.1718,0.1873,0.5141,0.4756,0.4949,0.5463,0.4718,0.509
16.5,-0.1549,0.2689,0.6964,0.1969,0.1639,0.1804,0.5204,0.4856,0.503,0.5343,0.454,0.4942
16.6,-0.181,0.2636,0.696,0.1939,0.1608,0.1774,0.5283,0.4966,0.5124,0.5218,0.4405,0.4811
16.7,-0.2014,0.2629,0.6968,0.1936,0.1623,0.1779,0.5371,0.5071,0.5221,0.509,0.4311,0.4701
16.8,-0.2161,0.2664,0.6982,0.1957,0.1677,0.1817,0.5465,0.5158,0.5312,0.4962,0.4257,0.461
16.9,-0.2259,0.2736,0.6994,0.2002,0.1766,0.1884,0.5558,0.5223,0.5391,0.4835,0.424,0.4538
17,-0.2313,0.284,0.6995,0.2069,0.1882,0.1975,0.5643,0.5265,0.5454,0.4714,0.426,0.4487
17.1,-0.2323,0.297,0.6989,0.2155,0.2024,0.209,0.5709,0.5289,0.5499,0.4607,0.4321,0.4464
17.2,-0.2291,0.3119,0.6979,0.226,0.2193,0.2226,0.5747,0.5296,0.5521,0.4521,0.4425,0.4473
17.3,-0.223,0.3279,0.697,0.2383,0.2388,0.2385,0.5753,0.5283,0.5518,0.4464,0.4577,0.4521
17.4,-0.216,0.3441,0.6969,0.2521,0.2604,0.2563,0.5729,0.525,0.5489,0.4443,0.478,0.4611
17.5,-0.2102,0.3589,0.698,0.266,0.2831,0.2745,0.5681,0.5199,0.544,0.446,0.5028,0.4744
17.6,-0.2082,0.3714,0.7003,0.2783,0.3056,0.292,0.5611,0.5138,0.5375,0.4516,0.5316,0.4916
17.7,-0.2112,0.3809,0.7034,0.2877,0.3274,0.3076,0.5519,0.5074,0.5297,0.4608,0.5634,0.5121
17.8,-0.2197,0.3874,0.7064,0.2943,0.3485,0.3214,0.5406,0.5014,0.521,0.4735,0.5971,0.5353
17.9,-0.234,0.3913,0.7081,0.2985,0.3689,0.3337,0.528,0.4959,0.512,0.4895,0.6315,0.5605
18,-0.2534,0.3927,0.7081,0.3012,0.388,0.3446,0.5151,0.4906,0.5029,0.5086,0.6652,0.5869
18.1,-0.2768,0.392,0.7069,0.3028,0.4047,0.3538,0.5027,0.4856,0.4941,0.5303,0.6971,0.6137
18.2,-0.3024,0.3896,0.7049,0.3037,0.4183,0.361,0.4909,0.4806,0.4858,0.5538,0.7263,0.64
18.3,-0.3292,0.3857,0.702,0.304,0.4279,0.366,0.4799,0.4754,0.4776,0.5781,0.752,0.6651
18.4,-0.3556,0.381,0.6974,0.3044,0.4337,0.3691,0.4698,0.4698,0.4698,0.6028,0.7737,0.6883
18.5,-0.3802,0.3763,0.6909,0.305,0.436,0.3705,0.461,0.4639,0.4624,0.6273,0.7909,0.7091
18.6,-0.4019,0.3723,0.6824,0.3061,0.4354,0.3707,0.4536,0.4579,0.4558,0.6513,0.803,0.7271
18.7,-0.4205,0.3694,0.6724,0.3078,0.4324,0.3701,0.4474,0.4522,0.4498,0.6748,0.8098,0.7423
18.8,-0.4351,0.368,0.6617,0.3107,0.4277,0.3692,0.4423,0.4469,0.4446,0.6975,0.8117,0.7546
18.9,-0.4438,0.369,0.6506,0.3154,0.4219,0.3686,0.4384,0.4422,0.4403,0.7186,0.8086,0.7636
19,-0.4449,0.3732,0.6395,0.3221,0.4158,0.369,0.4361,0.4383,0.4372,0.7373,0.8011,0.7692
19.1,-0.4378,0.3814,0.6287,0.3307,0.41,0.3703,0.4355,0.4352,0.4353,0.753,0.7897,0.7713
19.2,-0.4235,0.3932,0.6181,0.3405,0.4047,0.3726,0.4362,0.4328,0.4345,0.7655,0.7749,0.7702
19.3,-0.4043,0.4076,0.6075,0.3509,0.4003,0.3756,0.4376,0.4306,0.4341,0.7754,0.7574,0.7664
19.4,-0.3818,0.4234,0.5969,0.3613,0.3964,0.3788,0.4393,0.4282,0.4337,0.7831,0.7382,0.7607
19.5,-0.3564,0.4396,0.5863,0.3717,0.3927,0.3822,0.4413,0.4253,0.4333,0.7889,0.7181,0.7535
19.6,-0.3277,0.4555,0.5759,0.3819,0.3889,0.3854,0.4437,0.4217,0.4327,0.7926,0.6982,0.7454
19.7,-0.2969,0.47,0.5659,0.3919,0.3847,0.3883,0.4463,0.4172,0.4317,0.7937,0.6793,0.7365
19.8,-0.2654,0.4823,0.5564,0.4018,0.3801,0.3909,0.4486,0.4115,0.4301,0.7917,0.6619,0.7268
19.9,-0.2337,0.4928,0.5475,0.4116,0.3759,0.3937,0.4505,0.4046,0.4276,0.7864,0.646,0.7162
20,-0.2018,0.5026,0.5391,0.4212,0.3728,0.397,0.452,0.3964,0.4242,0.7779,0.6317,0.7048
20.1,-0.1707,0.5123,0.5314,0.4308,0.3711,0.4009,0.4533,0.387,0.4202,0.7665,0.619,0.6928
20.2,-0.1419,0.5209,0.5236,0.4398,0.3705,0.4052,0.4547,0.3764,0.4156,0.7528,0.608,0.6804
20.3,-0.116,0.5264,0.515,0.4479,0.3704,0.4091,0.4563,0.3642,0.4103,0.7376,0.5989,0.6683
20.4,-0.0918,0.5278,0.5047,0.4544,0.3699,0.4122,0.458,0.3498,0.4039,0.7216,0.5921,0.6569
20.5,-0.0675,0.5254,0.4924,0.4597,0.369,0.4144,0.4595,0.3328,0.3961,0.7053,0.5873,0.6463
20.6,-0.0425,0.5204,0.4779,0.4639,0.3676,0.4158,0.4602,0.3129,0.3866,0.6893,0.5841,0.6367
20.7,-0.0172,0.5138,0.461,0.4673,0.3656,0.4164,0.4593,0.2901,0.3747,0.674,0.5815,0.6277
20.8,0.0073,0.5058,0.4419,0.4697,0.3625,0.4161,0.4565,0.2648,0.3606,0.66,0.579,0.6195
20.9,0.0306,0.4967,0.421,0.4708,0.3583,0.4145,0.4517,0.238,0.3449,0.6476,0.5758,0.6117
