Time,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC,Disney Plus with Star 30 TVC
5.5,0.1031,0.893,0.2046,0.6137,0.8237,0.7187,0.5879,0.5587,0.5733,0.8284,0.4599,0.6441
5.6,0.0642,0.8724,0.1969,0.5757,0.7978,0.6867,0.5977,0.5935,0.5956,0.8515,0.4707,0.6611
5.7,0.0242,0.8489,0.1897,0.5372,0.7691,0.6532,0.6089,0.6242,0.6165,0.8752,0.4826,0.6789
5.8,-0.015,0.8236,0.1841,0.5007,0.739,0.6198,0.6222,0.651,0.6366,0.8998,0.4966,0.6982
5.9,-0.0512,0.7975,0.1814,0.4678,0.7081,0.5879,0.6381,0.6747,0.6564,0.9249,0.5133,0.7191
6,-0.0821,0.7711,0.1828,0.4398,0.6766,0.5582,0.6572,0.6952,0.6762,0.9498,0.5322,0.741
6.1,-0.105,0.7448,0.1888,0.4175,0.6447,0.5311,0.6793,0.7127,0.696,0.9738,0.5528,0.7633
6.2,-0.1173,0.719,0.1992,0.4023,0.6128,0.5075,0.7032,0.728,0.7156,0.9964,0.575,0.7857
6.3,-0.1174,0.6945,0.2135,0.3957,0.582,0.4888,0.7274,0.7416,0.7345,1.017,0.5987,0.8079
6.4,-0.1054,0.6722,0.2309,0.3989,0.5534,0.4762,0.7509,0.7534,0.7521,1.0348,0.6234,0.8291
6.5,-0.0828,0.6531,0.2506,0.4122,0.5286,0.4704,0.7731,0.7624,0.7678,1.0484,0.6483,0.8484
6.6,-0.0519,0.6378,0.2714,0.4347,0.5088,0.4718,0.7942,0.7673,0.7808,1.057,0.6725,0.8648
6.7,-0.0159,0.6263,0.2925,0.4643,0.4948,0.4795,0.8143,0.7671,0.7907,1.0605,0.6955,0.878
6.8,0.0218,0.6184,0.3131,0.4983,0.4867,0.4925,0.8329,0.762,0.7975,1.0595,0.7175,0.8885
6.9,0.0587,0.6139,0.3336,0.5339,0.4842,0.509,0.8488,0.7523,0.8006,1.0541,0.7388,0.8964
7,0.0928,0.6125,0.3543,0.5686,0.4864,0.5275,0.861,0.7384,0.7997,1.0446,0.7593,0.9019
7.1,0.123,0.6141,0.3755,0.6008,0.4929,0.5468,0.8691,0.7209,0.795,1.0312,0.7792,0.9052
7.2,0.1478,0.6183,0.3969,0.6296,0.5039,0.5667,0.873,0.7004,0.7867,1.0146,0.7982,0.9064
7.3,0.1664,0.6248,0.4175,0.6547,0.5194,0.587,0.8735,0.6779,0.7757,0.9953,0.816,0.9056
7.4,0.1786,0.6331,0.4366,0.6759,0.5391,0.6075,0.8717,0.654,0.7629,0.9745,0.8324,0.9034
7.5,0.1857,0.6435,0.4535,0.6932,0.5622,0.6277,0.8681,0.629,0.7485,0.9541,0.8469,0.9005
7.6,0.1901,0.656,0.4679,0.7068,0.5872,0.647,0.8625,0.6028,0.7326,0.9354,0.8592,0.8973
7.7,0.1927,0.6708,0.4801,0.7171,0.6126,0.6649,0.8547,0.5757,0.7152,0.9191,0.8689,0.894
7.8,0.194,0.6876,0.4903,0.7243,0.6371,0.6807,0.8452,0.5484,0.6968,0.9053,0.8762,0.8908
7.9,0.194,0.7057,0.4989,0.7281,0.6598,0.6939,0.8347,0.5222,0.6784,0.8942,0.8818,0.888
8,0.1924,0.7244,0.5065,0.7279,0.6797,0.7038,0.8243,0.498,0.6612,0.8863,0.8868,0.8865
8.1,0.1887,0.7434,0.5137,0.7233,0.6963,0.7098,0.8147,0.4766,0.6457,0.8821,0.8918,0.8869
8.2,0.1829,0.7619,0.5212,0.7141,0.7088,0.7115,0.806,0.4583,0.6321,0.8815,0.8975,0.8895
8.3,0.1739,0.7794,0.5292,0.7006,0.7165,0.7086,0.7985,0.443,0.6207,0.8839,0.9041,0.894
8.4,0.16,0.7952,0.5372,0.6829,0.719,0.7009,0.7924,0.4308,0.6116,0.8883,0.9113,0.8998
8.5,0.1393,0.8086,0.5443,0.6606,0.7164,0.6885,0.7877,0.4219,0.6048,0.8935,0.9183,0.9059
8.6,0.1107,0.8192,0.5496,0.6339,0.7091,0.6715,0.7845,0.4165,0.6005,0.899,0.9244,0.9117
8.7,0.0748,0.8263,0.5527,0.6032,0.6984,0.6508,0.7826,0.4147,0.5986,0.905,0.9294,0.9172
8.8,0.0327,0.8295,0.5538,0.5703,0.6854,0.6279,0.7821,0.4167,0.5994,0.912,0.9337,0.9228
8.9,-0.0138,0.8284,0.5527,0.5375,0.6712,0.6044,0.7831,0.4229,0.603,0.9203,0.9373,0.9288
9,-0.0631,0.8227,0.549,0.5067,0.6568,0.5818,0.7855,0.4334,0.6095,0.9293,0.94,0.9347
9.1,-0.1126,0.8125,0.5417,0.4789,0.6431,0.561,0.7882,0.4488,0.6185,0.9374,0.9406,0.939
9.2,-0.159,0.7982,0.5302,0.4552,0.6308,0.543,0.7901,0.4689,0.6295,0.9428,0.9383,0.9406
9.3,-0.1984,0.7807,0.5142,0.4367,0.6204,0.5286,0.79,0.4934,0.6417,0.9441,0.9325,0.9383
9.4,-0.2282,0.7616,0.4934,0.4246,0.6127,0.5186,0.787,0.521,0.654,0.941,0.923,0.932
9.5,-0.248,0.7426,0.467,0.419,0.6081,0.5136,0.7805,0.5501,0.6653,0.9336,0.9098,0.9217
9.6,-0.2593,0.7256,0.434,0.419,0.6073,0.5131,0.7698,0.5791,0.6744,0.9219,0.8929,0.9074
9.7,-0.2641,0.7116,0.3938,0.4226,0.6105,0.5166,0.7544,0.6067,0.6806,0.9058,0.8729,0.8894
9.8,-0.2642,0.701,0.3476,0.4282,0.6178,0.523,0.7349,0.632,0.6835,0.8854,0.8508,0.8681
9.9,-0.2603,0.6934,0.2985,0.4346,0.6285,0.5316,0.7124,0.6546,0.6835,0.8618,0.8274,0.8446
10,-0.2525,0.6881,0.2501,0.4414,0.6416,0.5415,0.6881,0.6743,0.6812,0.8368,0.8035,0.8202
10.1,-0.2411,0.6848,0.2061,0.4484,0.656,0.5522,0.663,0.6915,0.6773,0.8119,0.7796,0.7958
10.2,-0.2266,0.6832,0.1695,0.4555,0.6709,0.5632,0.6374,0.7065,0.672,0.788,0.7564,0.7722
10.3,-0.2095,0.6831,0.1419,0.4626,0.6855,0.5741,0.6121,0.7189,0.6655,0.7653,0.7346,0.7499
10.4,-0.1904,0.6838,0.1235,0.4694,0.6991,0.5842,0.5884,0.728,0.6582,0.744,0.7141,0.7291
10.5,-0.1698,0.6847,0.113,0.4758,0.7106,0.5932,0.5673,0.7334,0.6503,0.7241,0.6947,0.7094
10.6,-0.148,0.6857,0.108,0.4817,0.7191,0.6004,0.5496,0.735,0.6423,0.7057,0.6754,0.6906
10.7,-0.1259,0.6866,0.107,0.4872,0.7243,0.6058,0.5352,0.7337,0.6345,0.6886,0.6558,0.6722
10.8,-0.1037,0.688,0.1096,0.4924,0.7263,0.6094,0.5241,0.7306,0.6273,0.6731,0.6358,0.6544
10.9,-0.0816,0.6899,0.1161,0.4977,0.7255,0.6116,0.5157,0.7269,0.6213,0.6596,0.6155,0.6375
11,-0.0596,0.6923,0.1276,0.5032,0.7225,0.6128,0.5098,0.7236,0.6167,0.6488,0.5953,0.6221
11.1,-0.0379,0.6944,0.1449,0.5087,0.7176,0.6132,0.5063,0.7218,0.6141,0.6409,0.5759,0.6084
11.2,-0.017,0.6953,0.1683,0.514,0.7108,0.6124,0.5055,0.722,0.6137,0.6354,0.558,0.5967
11.3,0.0028,0.6942,0.1974,0.5187,0.702,0.6103,0.5075,0.7234,0.6155,0.6321,0.5419,0.587
11.4,0.0205,0.6906,0.2316,0.5229,0.6912,0.607,0.5123,0.7244,0.6183,0.631,0.5278,0.5794
11.5,0.0352,0.6847,0.2695,0.5267,0.6787,0.6027,0.5191,0.7226,0.6209,0.6315,0.5157,0.5736
11.6,0.0463,0.6767,0.3092,0.5301,0.6645,0.5973,0.5271,0.7164,0.6218,0.6325,0.5056,0.5691
11.7,0.0537,0.6667,0.348,0.5318,0.6487,0.5903,0.5355,0.7053,0.6204,0.6324,0.4972,0.5648
11.8,0.0573,0.6549,0.3844,0.5309,0.6317,0.5813,0.5443,0.69,0.6172,0.6304,0.4903,0.5604
11.9,0.0576,0.6418,0.418,0.5265,0.6144,0.5704,0.5531,0.6717,0.6124,0.6267,0.4853,0.556
12,0.0553,0.6279,0.4498,0.5192,0.598,0.5586,0.5618,0.6515,0.6067,0.6223,0.4832,0.5527
12.1,0.0507,0.614,0.4803,0.5104,0.584,0.5472,0.5696,0.6301,0.5998,0.618,0.4847,0.5513
12.2,0.0443,0.6011,0.5092,0.5017,0.573,0.5374,0.5751,0.6076,0.5914,0.6135,0.4898,0.5516
12.3,0.0365,0.5897,0.5359,0.4941,0.565,0.5296,0.5774,0.584,0.5807,0.6081,0.4973,0.5527
12.4,0.0282,0.5802,0.56,0.4882,0.5599,0.524,0.5758,0.5593,0.5675,0.6012,0.5057,0.5535
12.5,0.02,0.5728,0.5815,0.4841,0.5576,0.5208,0.5702,0.5333,0.5518,0.5932,0.5141,0.5536
12.6,0.0123,0.5681,0.6002,0.482,0.5583,0.5202,0.5609,0.5062,0.5336,0.5847,0.5223,0.5535
12.7,0.0054,0.5667,0.616,0.4823,0.562,0.5222,0.5485,0.4782,0.5133,0.5767,0.5304,0.5535
12.8,-0.0005,0.5691,0.6289,0.4847,0.5683,0.5265,0.5337,0.4499,0.4918,0.5696,0.5386,0.5541
12.9,-0.0055,0.5755,0.6385,0.4887,0.5767,0.5327,0.5178,0.4225,0.4701,0.5639,0.5467,0.5553
13,-0.0094,0.5863,0.6451,0.4941,0.5869,0.5405,0.5016,0.3972,0.4494,0.5595,0.5551,0.5573
13.1,-0.012,0.6012,0.6491,0.5007,0.5989,0.5498,0.4865,0.3755,0.431,0.5565,0.5639,0.5602
13.2,-0.0133,0.6201,0.6506,0.5089,0.6127,0.5608,0.4735,0.3586,0.416,0.5549,0.573,0.564
13.3,-0.0131,0.6425,0.6502,0.5194,0.628,0.5737,0.4635,0.3473,0.4054,0.5547,0.582,0.5683
13.4,-0.0112,0.6682,0.6477,0.5326,0.6446,0.5886,0.457,0.342,0.3995,0.5558,0.5901,0.573
13.5,-0.0082,0.6964,0.6427,0.5486,0.6621,0.6054,0.4543,0.3424,0.3984,0.5581,0.597,0.5776
13.6,-0.0053,0.7262,0.6342,0.5666,0.6802,0.6234,0.4558,0.3482,0.402,0.5609,0.6025,0.5817
13.7,-0.0033,0.7556,0.6214,0.5856,0.6977,0.6417,0.4616,0.3586,0.4101,0.5639,0.6062,0.585
13.8,-0.0018,0.7825,0.6047,0.6045,0.7134,0.659,0.4721,0.3732,0.4227,0.5671,0.608,0.5875
13.9,0.0004,0.8056,0.5853,0.6227,0.7263,0.6745,0.4872,0.3914,0.4393,0.5711,0.6085,0.5898
14,0.0032,0.8249,0.5648,0.6402,0.7365,0.6884,0.5065,0.413,0.4598,0.5768,0.6086,0.5927
14.1,0.005,0.8408,0.545,0.6568,0.7451,0.701,0.5295,0.4375,0.4835,0.5848,0.6096,0.5972
14.2,0.0043,0.8536,0.5269,0.6723,0.7524,0.7124,0.5551,0.4639,0.5095,0.5956,0.6126,0.6041
14.3,0,0.8625,0.5112,0.6862,0.7582,0.7222,0.5823,0.4911,0.5367,0.6095,0.6182,0.6139
14.4,-0.0085,0.8664,0.4984,0.6977,0.7617,0.7297,0.6099,0.5178,0.5638,0.6261,0.627,0.6266
14.5,-0.0219,0.865,0.4883,0.7064,0.7625,0.7345,0.6371,0.5433,0.5902,0.6448,0.6389,0.6419
14.6,-0.0402,0.8592,0.48,0.7117,0.761,0.7364,0.6631,0.5665,0.6148,0.6644,0.6536,0.659
14.7,-0.0631,0.8501,0.473,0.7134,0.7577,0.7356,0.6871,0.5867,0.6369,0.6841,0.6697,0.6769
14.8,-0.089,0.839,0.467,0.7112,0.7532,0.7322,0.7082,0.6029,0.6555,0.7033,0.6861,0.6947
14.9,-0.1162,0.8264,0.4618,0.705,0.7475,0.7263,0.7253,0.6151,0.6702,0.7213,0.7022,0.7118
15,-0.1434,0.813,0.4573,0.6957,0.7406,0.7181,0.738,0.624,0.681,0.7375,0.718,0.7277
15.1,-0.1703,0.7995,0.4534,0.6841,0.7326,0.7084,0.7461,0.6304,0.6882,0.7513,0.7331,0.7422
15.2,-0.1964,0.7867,0.4502,0.6715,0.724,0.6978,0.749,0.6349,0.692,0.7627,0.7475,0.7551
15.3,-0.2205,0.7753,0.4481,0.659,0.7151,0.6871,0.7466,0.6373,0.6919,0.7717,0.7609,0.7663
15.4,-0.2409,0.7656,0.447,0.6479,0.706,0.677,0.7389,0.6371,0.688,0.7786,0.7725,0.7756
15.5,-0.2562,0.7578,0.4465,0.6392,0.6969,0.6681,0.7262,0.6342,0.6802,0.7831,0.782,0.7825
15.6,-0.2658,0.7522,0.4456,0.6338,0.6882,0.661,0.7093,0.6284,0.6689,0.7848,0.7886,0.7867
15.7,-0.2697,0.7486,0.4438,0.6317,0.6803,0.656,0.689,0.6203,0.6547,0.7838,0.7922,0.788
15.8,-0.2681,0.7471,0.4408,0.6327,0.6736,0.6531,0.6661,0.6105,0.6383,0.7798,0.793,0.7864
15.9,-0.2612,0.7474,0.4372,0.6362,0.6683,0.6522,0.6421,0.5995,0.6208,0.7729,0.7917,0.7823
16,-0.2496,0.7496,0.4334,0.6421,0.6645,0.6533,0.6185,0.5882,0.6033,0.7632,0.7886,0.7759
16.1,-0.2341,0.754,0.4307,0.6512,0.6628,0.657,0.5969,0.578,0.5875,0.7502,0.7842,0.7672
16.2,-0.2155,0.7608,0.4301,0.6638,0.6638,0.6638,0.5786,0.57,0.5743,0.7342,0.7785,0.7564
16.3,-0.1947,0.7698,0.4316,0.68,0.6678,0.6739,0.564,0.5651,0.5645,0.7156,0.7716,0.7436
16.4,-0.1714,0.7801,0.4351,0.6991,0.6747,0.6869,0.5534,0.5633,0.5584,0.6951,0.7634,0.7292
16.5,-0.1454,0.791,0.4399,0.7203,0.684,0.7022,0.5468,0.5647,0.5557,0.6735,0.7539,0.7137
16.6,-0.117,0.8016,0.4452,0.743,0.6951,0.719,0.5442,0.5688,0.5565,0.6519,0.7433,0.6976
16.7,-0.0866,0.8117,0.4508,0.7664,0.7072,0.7368,0.5455,0.5745,0.56,0.6311,0.7318,0.6815
16.8,-0.055,0.8208,0.4567,0.7894,0.7199,0.7547,0.5504,0.5809,0.5657,0.6118,0.7199,0.6658
16.9,-0.023,0.8286,0.4627,0.8105,0.7323,0.7714,0.5586,0.5875,0.573,0.5948,0.7082,0.6515
17,0.0084,0.8343,0.4689,0.8279,0.7437,0.7858,0.5697,0.5937,0.5817,0.581,0.6979,0.6394
17.1,0.0393,0.8374,0.4757,0.8406,0.7534,0.797,0.583,0.5992,0.5911,0.571,0.6899,0.6304
17.2,0.0695,0.8379,0.4832,0.8489,0.7613,0.8051,0.5975,0.6034,0.6004,0.5656,0.6851,0.6254
17.3,0.0986,0.8357,0.4907,0.8533,0.767,0.8101,0.6122,0.6057,0.609,0.5655,0.6837,0.6246
17.4,0.1256,0.8303,0.4962,0.8538,0.7701,0.8119,0.6259,0.605,0.6155,0.5698,0.6853,0.6275
17.5,0.1502,0.8207,0.4979,0.8503,0.7697,0.81,0.637,0.6006,0.6188,0.5771,0.6887,0.6329
17.6,0.1726,0.8058,0.4944,0.8424,0.7649,0.8036,0.6442,0.5917,0.618,0.5855,0.6926,0.639
17.7,0.193,0.7851,0.4853,0.8302,0.7548,0.7925,0.6469,0.5784,0.6127,0.5932,0.6958,0.6445
17.8,0.2115,0.7593,0.4709,0.8139,0.739,0.7764,0.6454,0.5611,0.6033,0.5992,0.6974,0.6483
17.9,0.2276,0.7291,0.4518,0.7937,0.7178,0.7558,0.6406,0.5403,0.5905,0.6028,0.6965,0.6496
18,0.2411,0.6957,0.4292,0.7696,0.6916,0.7306,0.6338,0.5169,0.5754,0.6037,0.6927,0.6482
18.1,0.2521,0.66,0.4049,0.7416,0.661,0.7013,0.6261,0.4917,0.5589,0.6022,0.6858,0.644
18.2,0.2608,0.6228,0.3808,0.7104,0.6268,0.6686,0.6181,0.4657,0.5419,0.598,0.6763,0.6372
18.3,0.2671,0.5856,0.3584,0.6769,0.5901,0.6335,0.6104,0.4399,0.5251,0.5916,0.6648,0.6282
18.4,0.2706,0.5495,0.3388,0.6421,0.5521,0.5971,0.6034,0.4154,0.5094,0.5832,0.6518,0.6175
18.5,0.2706,0.5154,0.3229,0.6067,0.5138,0.5602,0.5979,0.3935,0.4957,0.5734,0.6376,0.6055
18.6,0.267,0.4837,0.3114,0.5709,0.4765,0.5237,0.5943,0.3751,0.4847,0.5632,0.6232,0.5932
18.7,0.26,0.4544,0.3051,0.535,0.4411,0.488,0.5928,0.3606,0.4767,0.5532,0.609,0.5811
18.8,0.2499,0.4277,0.3042,0.4993,0.4086,0.4539,0.5932,0.3505,0.4718,0.5434,0.5957,0.5696
18.9,0.2369,0.4039,0.3083,0.4642,0.3796,0.4219,0.5949,0.3445,0.4697,0.5338,0.5832,0.5585
19,0.2209,0.3831,0.3172,0.4299,0.3542,0.3921,0.5972,0.3427,0.4699,0.5246,0.5717,0.5481
19.1,0.2017,0.3652,0.3311,0.3965,0.3324,0.3644,0.5995,0.3451,0.4723,0.5164,0.5617,0.5391
19.2,0.1789,0.35,0.3509,0.3638,0.3139,0.3388,0.6014,0.3519,0.4767,0.5099,0.5536,0.5317
19.3,0.1521,0.3376,0.3766,0.332,0.2987,0.3154,0.6029,0.3629,0.4829,0.5049,0.5474,0.5261
19.4,0.1212,0.3282,0.4073,0.302,0.287,0.2945,0.6037,0.3776,0.4906,0.5009,0.5425,0.5217
19.5,0.0869,0.3224,0.441,0.275,0.2791,0.277,0.6034,0.3951,0.4993,0.497,0.5382,0.5176
19.6,0.0496,0.32,0.4754,0.2521,0.2755,0.2638,0.6018,0.4141,0.508,0.4929,0.5339,0.5134
19.7,0.0094,0.3207,0.5081,0.2336,0.2766,0.2551,0.5987,0.4328,0.5157,0.4887,0.5295,0.5091
19.8,-0.0342,0.3242,0.5378,0.2195,0.283,0.2512,0.5941,0.4494,0.5217,0.4843,0.5247,0.5045
19.9,-0.0816,0.3305,0.5637,0.2093,0.2952,0.2522,0.5879,0.4625,0.5252,0.4795,0.519,0.4992
20,-0.1331,0.3397,0.5854,0.2024,0.3141,0.2582,0.5797,0.4713,0.5255,0.4741,0.5116,0.4929
20.1,-0.1885,0.3516,0.6027,0.1977,0.3401,0.2689,0.5691,0.4753,0.5222,0.4678,0.5022,0.485
20.2,-0.2471,0.3651,0.6149,0.1946,0.3732,0.2839,0.5562,0.4748,0.5155,0.4603,0.4905,0.4754
20.3,-0.3077,0.3793,0.6215,0.1927,0.4124,0.3025,0.5413,0.4707,0.506,0.4514,0.4769,0.4642
20.4,-0.367,0.3936,0.6216,0.1923,0.4561,0.3242,0.5251,0.4634,0.4943,0.4413,0.4617,0.4515
20.5,-0.4203,0.4079,0.6153,0.1945,0.5017,0.3481,0.5087,0.4537,0.4812,0.4306,0.4456,0.4381
20.6,-0.4627,0.4221,0.6035,0.1998,0.5453,0.3726,0.4931,0.4422,0.4676,0.4208,0.4298,0.4253
20.7,-0.49,0.4352,0.5879,0.2081,0.5828,0.3955,0.479,0.4301,0.4545,0.4126,0.4154,0.414
20.8,-0.5001,0.445,0.5703,0.2181,0.611,0.4146,0.4671,0.4187,0.4429,0.4062,0.4033,0.4047
20.9,-0.4927,0.4504,0.5525,0.2283,0.6291,0.4287,0.4581,0.4096,0.4339,0.4008,0.394,0.3974
21,-0.4695,0.4515,0.5365,0.2377,0.6377,0.4377,0.4527,0.4042,0.4285,0.3961,0.3879,0.392
21.1,-0.4331,0.4501,0.5239,0.2461,0.6384,0.4422,0.4519,0.4033,0.4276,0.3923,0.3859,0.3891
21.2,-0.386,0.4483,0.516,0.2534,0.6329,0.4432,0.4563,0.4076,0.432,0.3897,0.3892,0.3895
21.3,-0.3318,0.4478,0.5136,0.2601,0.6236,0.4419,0.4664,0.4176,0.442,0.3885,0.3987,0.3936
