Time,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC,Bevmarks - Trade in Mattress 15 TVC
2.5,0.709,0.4999,0.6072,0.3999,0.4548,0.4274,0.7383,0.5324,0.6353,1.107,0.8464,0.9767
2.6,0.7105,0.4987,0.6232,0.3748,0.4559,0.4154,0.7378,0.54,0.6389,1.1005,0.8427,0.9716
2.7,0.7064,0.499,0.6365,0.3526,0.4556,0.4041,0.7358,0.5442,0.64,1.0898,0.8363,0.963
2.8,0.6969,0.5002,0.6468,0.3332,0.4542,0.3937,0.7329,0.5452,0.639,1.0754,0.8268,0.9511
2.9,0.6823,0.5022,0.6539,0.3168,0.4519,0.3843,0.7298,0.5433,0.6365,1.0575,0.814,0.9358
3,0.6621,0.5045,0.6576,0.304,0.4489,0.3764,0.7273,0.5386,0.633,1.0363,0.7981,0.9172
3.1,0.6356,0.5065,0.6575,0.2949,0.4456,0.3702,0.7258,0.5316,0.6287,1.0124,0.78,0.8962
3.2,0.6022,0.5077,0.653,0.2896,0.4426,0.3661,0.7261,0.5232,0.6246,0.9867,0.761,0.8738
3.3,0.5627,0.5079,0.6441,0.2883,0.441,0.3646,0.7288,0.5144,0.6216,0.9606,0.7425,0.8516
3.4,0.5184,0.5071,0.6315,0.2912,0.4416,0.3664,0.7343,0.5064,0.6204,0.9355,0.726,0.8308
3.5,0.4702,0.5054,0.617,0.2978,0.4455,0.3717,0.7421,0.5005,0.6213,0.9129,0.7126,0.8128
3.6,0.4193,0.5033,0.6027,0.3074,0.4531,0.3803,0.7509,0.498,0.6244,0.8936,0.7032,0.7984
3.7,0.3674,0.5015,0.5907,0.3189,0.4642,0.3916,0.7592,0.4991,0.6292,0.8781,0.6982,0.7882
3.8,0.3159,0.5002,0.5826,0.3314,0.478,0.4047,0.7662,0.504,0.6351,0.8663,0.6976,0.782
3.9,0.2658,0.4996,0.5794,0.3443,0.4938,0.4191,0.7718,0.5126,0.6422,0.8578,0.7007,0.7792
4,0.2168,0.5001,0.5819,0.3582,0.5114,0.4348,0.7761,0.525,0.6505,0.8522,0.7069,0.7796
4.1,0.1682,0.5022,0.59,0.3734,0.5306,0.452,0.7794,0.541,0.6602,0.849,0.7158,0.7824
4.2,0.1197,0.506,0.6024,0.3902,0.5509,0.4705,0.7817,0.56,0.6709,0.8478,0.7267,0.7873
4.3,0.071,0.5112,0.6177,0.4083,0.5715,0.4899,0.783,0.5812,0.6821,0.8485,0.7395,0.794
4.4,0.0215,0.5171,0.6336,0.4264,0.5913,0.5089,0.7831,0.6035,0.6933,0.8505,0.754,0.8022
4.5,-0.029,0.5233,0.6486,0.4431,0.6098,0.5264,0.7814,0.6261,0.7037,0.8533,0.7696,0.8115
4.6,-0.0811,0.5296,0.6614,0.4576,0.6262,0.5419,0.7764,0.6476,0.712,0.8562,0.7854,0.8208
4.7,-0.135,0.5362,0.6715,0.4697,0.6402,0.555,0.7673,0.6671,0.7172,0.8585,0.8005,0.8295
4.8,-0.1898,0.5431,0.678,0.4802,0.6516,0.5659,0.7542,0.6839,0.7191,0.8593,0.814,0.8367
4.9,-0.2442,0.5505,0.6801,0.4893,0.66,0.5746,0.738,0.6978,0.7179,0.858,0.8251,0.8415
5,-0.2964,0.5581,0.6772,0.4973,0.6643,0.5808,0.7201,0.7093,0.7147,0.8535,0.8331,0.8433
5.1,-0.3444,0.5659,0.6694,0.5039,0.6635,0.5837,0.7014,0.7185,0.7099,0.8454,0.8375,0.8415
5.2,-0.3858,0.5733,0.6569,0.5094,0.6569,0.5832,0.6825,0.7253,0.7039,0.8336,0.838,0.8358
5.3,-0.4187,0.5803,0.64,0.5144,0.6444,0.5794,0.6637,0.7289,0.6963,0.8187,0.8346,0.8266
5.4,-0.4426,0.5864,0.6186,0.5193,0.6264,0.5728,0.6456,0.7288,0.6872,0.8012,0.8273,0.8142
5.5,-0.4588,0.5911,0.5918,0.5241,0.6039,0.564,0.6285,0.7246,0.6766,0.7817,0.8159,0.7988
5.6,-0.4696,0.5945,0.5594,0.5291,0.5783,0.5537,0.6128,0.7169,0.6648,0.7605,0.8005,0.7805
5.7,-0.4767,0.5966,0.522,0.5342,0.5515,0.5428,0.5984,0.7059,0.6521,0.7383,0.7812,0.7597
5.8,-0.4806,0.5979,0.4812,0.5398,0.5251,0.5325,0.5854,0.6919,0.6386,0.7158,0.7586,0.7372
5.9,-0.4815,0.5988,0.4388,0.5461,0.5008,0.5234,0.5738,0.6753,0.6245,0.6944,0.7337,0.714
6,-0.4793,0.5994,0.3965,0.5534,0.4792,0.5163,0.5639,0.6564,0.6102,0.675,0.7078,0.6914
6.1,-0.4733,0.6,0.3558,0.5622,0.4604,0.5113,0.5561,0.6356,0.5958,0.6583,0.6818,0.6701
6.2,-0.4639,0.6004,0.3183,0.5727,0.445,0.5088,0.5504,0.6132,0.5818,0.6446,0.6564,0.6505
6.3,-0.4513,0.6011,0.2856,0.5845,0.4341,0.5093,0.5464,0.59,0.5682,0.634,0.6324,0.6332
6.4,-0.4364,0.6026,0.2589,0.5974,0.4287,0.513,0.5441,0.5667,0.5554,0.6268,0.611,0.6189
6.5,-0.4195,0.6056,0.2387,0.6114,0.4295,0.5205,0.5436,0.5451,0.5443,0.6229,0.5933,0.6081
6.6,-0.4005,0.6109,0.2251,0.6273,0.4363,0.5318,0.5458,0.5264,0.5361,0.6226,0.5797,0.6011
6.7,-0.3791,0.6194,0.2181,0.6454,0.4487,0.547,0.5513,0.5114,0.5313,0.6252,0.57,0.5976
6.8,-0.3555,0.6317,0.2173,0.6655,0.4659,0.5657,0.5594,0.5002,0.5298,0.63,0.5633,0.5966
6.9,-0.331,0.6473,0.2219,0.6861,0.4873,0.5867,0.5693,0.4926,0.531,0.6358,0.5584,0.5971
7,-0.306,0.6655,0.231,0.7068,0.5117,0.6093,0.5803,0.4887,0.5345,0.642,0.5548,0.5984
7.1,-0.2803,0.6857,0.2439,0.7277,0.5382,0.633,0.5924,0.4882,0.5403,0.6482,0.5522,0.6002
7.2,-0.2541,0.7072,0.2597,0.7491,0.5658,0.6574,0.6058,0.4911,0.5484,0.6542,0.5505,0.6024
7.3,-0.2285,0.7292,0.2773,0.7702,0.5935,0.6818,0.6207,0.4976,0.5592,0.6603,0.5501,0.6052
7.4,-0.2051,0.7505,0.2958,0.7894,0.6202,0.7048,0.6373,0.5069,0.5721,0.667,0.551,0.609
7.5,-0.1852,0.7697,0.3145,0.8056,0.6451,0.7254,0.6549,0.5182,0.5866,0.6748,0.5532,0.614
7.6,-0.1696,0.7857,0.3331,0.8179,0.6674,0.7426,0.6723,0.531,0.6016,0.6837,0.5564,0.62
7.7,-0.1587,0.7977,0.3511,0.8255,0.687,0.7562,0.688,0.545,0.6165,0.6933,0.5604,0.6268
7.8,-0.1529,0.8052,0.3676,0.8279,0.7035,0.7657,0.7014,0.5598,0.6306,0.7026,0.5649,0.6338
7.9,-0.1517,0.8081,0.3821,0.8255,0.7163,0.7709,0.7127,0.5743,0.6435,0.7111,0.5696,0.6403
8,-0.1541,0.8062,0.3943,0.819,0.7249,0.7719,0.722,0.5879,0.655,0.7184,0.574,0.6462
8.1,-0.1584,0.7997,0.4047,0.81,0.7294,0.7697,0.7296,0.6004,0.665,0.7245,0.578,0.6512
8.2,-0.1629,0.7895,0.4138,0.7998,0.7304,0.7651,0.7355,0.6119,0.6737,0.7296,0.5817,0.6556
8.3,-0.1671,0.7763,0.4218,0.7891,0.7286,0.7589,0.7395,0.6227,0.6811,0.7337,0.5852,0.6595
8.4,-0.1716,0.7608,0.4288,0.7777,0.7244,0.751,0.7419,0.6325,0.6872,0.7368,0.5888,0.6628
8.5,-0.1775,0.7433,0.4354,0.765,0.7184,0.7417,0.7429,0.6407,0.6918,0.7391,0.592,0.6656
8.6,-0.1861,0.7239,0.4421,0.7506,0.7113,0.731,0.7424,0.6467,0.6945,0.7408,0.595,0.6679
8.7,-0.1978,0.7034,0.4491,0.7347,0.7041,0.7194,0.7401,0.6504,0.6952,0.7418,0.5973,0.6695
8.8,-0.2125,0.683,0.4557,0.7181,0.6979,0.708,0.7359,0.6525,0.6942,0.742,0.5987,0.6704
8.9,-0.2292,0.6641,0.4611,0.702,0.6931,0.6976,0.7301,0.6534,0.6917,0.7413,0.5986,0.67
9,-0.2465,0.6476,0.4651,0.6875,0.6899,0.6887,0.7232,0.6536,0.6884,0.7396,0.5968,0.6682
9.1,-0.2628,0.634,0.4686,0.6752,0.6882,0.6817,0.7158,0.6531,0.6844,0.7371,0.5933,0.6652
9.2,-0.2768,0.6231,0.472,0.6653,0.6876,0.6765,0.7083,0.6521,0.6802,0.7343,0.5886,0.6615
9.3,-0.2871,0.6148,0.476,0.6581,0.6878,0.6729,0.7006,0.6509,0.6758,0.7313,0.5831,0.6572
9.4,-0.2923,0.6094,0.4801,0.6537,0.6882,0.6709,0.6927,0.6499,0.6713,0.7277,0.5768,0.6522
9.5,-0.2913,0.607,0.4836,0.6525,0.6888,0.6707,0.6844,0.6488,0.6666,0.7232,0.5697,0.6464
9.6,-0.2839,0.608,0.4852,0.6547,0.6898,0.6722,0.6758,0.6472,0.6615,0.7173,0.5619,0.6396
9.7,-0.2702,0.6124,0.484,0.6601,0.6909,0.6755,0.6666,0.6451,0.6559,0.7102,0.5538,0.632
9.8,-0.2507,0.6198,0.48,0.6684,0.6913,0.6799,0.6571,0.6428,0.65,0.7021,0.5455,0.6238
9.9,-0.2254,0.6298,0.474,0.6795,0.6901,0.6848,0.6472,0.6406,0.6439,0.6935,0.5369,0.6152
10,-0.1941,0.6423,0.467,0.6935,0.6865,0.69,0.6367,0.6384,0.6376,0.6849,0.5279,0.6064
10.1,-0.1568,0.6573,0.46,0.7107,0.6802,0.6955,0.6248,0.6358,0.6303,0.6768,0.5182,0.5975
10.2,-0.1139,0.6745,0.4538,0.7313,0.672,0.7017,0.6108,0.6325,0.6217,0.6693,0.5083,0.5888
10.3,-0.0674,0.693,0.4495,0.7552,0.6624,0.7088,0.595,0.6285,0.6117,0.6628,0.4989,0.5809
10.4,-0.02,0.7117,0.4471,0.7818,0.6515,0.7167,0.578,0.6241,0.601,0.6582,0.4916,0.5749
10.5,0.025,0.7292,0.4466,0.8096,0.6394,0.7245,0.5607,0.6197,0.5902,0.656,0.4875,0.5717
10.6,0.065,0.7445,0.4479,0.8361,0.6259,0.731,0.5443,0.6155,0.5799,0.656,0.487,0.5715
10.7,0.0987,0.7571,0.4509,0.8595,0.6116,0.7355,0.5289,0.6117,0.5703,0.6575,0.4904,0.574
10.8,0.1258,0.7671,0.4556,0.8789,0.5975,0.7382,0.5144,0.6078,0.5611,0.6599,0.4971,0.5785
10.9,0.1468,0.7746,0.4617,0.8941,0.585,0.7396,0.5004,0.6039,0.5522,0.6627,0.5065,0.5846
11,0.1614,0.7803,0.4689,0.9048,0.5746,0.7397,0.4872,0.6002,0.5437,0.6658,0.518,0.5919
11.1,0.1693,0.7843,0.4765,0.9105,0.5659,0.7382,0.475,0.5968,0.5359,0.6688,0.5314,0.6001
11.2,0.17,0.7864,0.484,0.9103,0.5587,0.7345,0.4643,0.5935,0.5289,0.6719,0.5462,0.609
11.3,0.1634,0.7865,0.4911,0.9043,0.5529,0.7286,0.4552,0.5898,0.5225,0.675,0.5622,0.6186
11.4,0.1498,0.7842,0.4978,0.8926,0.5491,0.7208,0.4475,0.5856,0.5165,0.6788,0.5792,0.629
11.5,0.1298,0.7796,0.5036,0.8755,0.548,0.7117,0.4411,0.5807,0.5109,0.6837,0.5971,0.6404
11.6,0.1042,0.7727,0.5085,0.8527,0.549,0.7009,0.4364,0.5753,0.5058,0.69,0.6158,0.6529
11.7,0.0748,0.7635,0.5123,0.8237,0.5513,0.6875,0.4338,0.5695,0.5017,0.6979,0.635,0.6665
11.8,0.0434,0.7523,0.5151,0.7883,0.5543,0.6713,0.4336,0.5636,0.4986,0.7072,0.6546,0.6809
11.9,0.0114,0.74,0.5166,0.7476,0.5583,0.6529,0.4353,0.5577,0.4965,0.718,0.6742,0.6961
12,-0.0203,0.7281,0.516,0.7036,0.5641,0.6339,0.4376,0.552,0.4948,0.7305,0.6933,0.7119
12.1,-0.0519,0.7182,0.5128,0.6586,0.5726,0.6156,0.4394,0.5467,0.4931,0.7445,0.7112,0.7278
12.2,-0.0839,0.7115,0.507,0.6143,0.5838,0.599,0.4401,0.5416,0.4909,0.7596,0.7272,0.7434
12.3,-0.1166,0.7083,0.499,0.5714,0.5972,0.5843,0.4397,0.537,0.4884,0.7756,0.7409,0.7582
12.4,-0.1499,0.7076,0.4899,0.5302,0.6125,0.5714,0.4387,0.5332,0.486,0.7922,0.7525,0.7724
12.5,-0.1838,0.7087,0.4799,0.4908,0.6295,0.5602,0.4372,0.5306,0.4839,0.8096,0.7623,0.7859
12.6,-0.218,0.711,0.4684,0.4533,0.6483,0.5508,0.4347,0.5292,0.482,0.8274,0.7702,0.7988
12.7,-0.2522,0.7148,0.4551,0.4187,0.6689,0.5438,0.4304,0.529,0.4797,0.845,0.776,0.8105
12.8,-0.2863,0.7205,0.4402,0.3889,0.691,0.54,0.4239,0.5293,0.4766,0.8618,0.7796,0.8207
12.9,-0.3206,0.7278,0.424,0.3655,0.714,0.5398,0.4156,0.5301,0.4729,0.8778,0.7808,0.8293
13,-0.356,0.736,0.4073,0.3489,0.7372,0.543,0.4064,0.5317,0.469,0.893,0.7795,0.8362
13.1,-0.3928,0.7443,0.3906,0.3386,0.7596,0.5491,0.3973,0.5344,0.4658,0.9068,0.7756,0.8412
13.2,-0.4309,0.7524,0.3744,0.3341,0.7805,0.5573,0.3888,0.5382,0.4635,0.9184,0.7687,0.8435
13.3,-0.4693,0.7603,0.3592,0.3355,0.7992,0.5674,0.381,0.5426,0.4618,0.9265,0.7589,0.8427
13.4,-0.5069,0.768,0.3456,0.3435,0.8153,0.5794,0.3739,0.5464,0.4601,0.9307,0.747,0.8389
13.5,-0.5442,0.775,0.334,0.3573,0.8286,0.5929,0.3679,0.5489,0.4584,0.9315,0.7337,0.8326
13.6,-0.5823,0.7796,0.3244,0.3744,0.8391,0.6067,0.3639,0.5499,0.4569,0.9291,0.7198,0.8245
13.7,-0.6214,0.7809,0.316,0.3912,0.8461,0.6187,0.3629,0.55,0.4565,0.9243,0.7063,0.8153
13.8,-0.6603,0.7782,0.3084,0.4042,0.8494,0.6268,0.3652,0.5496,0.4574,0.9181,0.6935,0.8058
13.9,-0.6953,0.7712,0.3018,0.4122,0.8487,0.6304,0.3712,0.5491,0.4602,0.9108,0.6817,0.7962
14,-0.7221,0.7597,0.2964,0.4153,0.8445,0.6299,0.3807,0.5488,0.4647,0.9027,0.6712,0.7869
14.1,-0.7375,0.7425,0.2921,0.4143,0.8368,0.6256,0.3935,0.5482,0.4709,0.8941,0.6621,0.7781
14.2,-0.7387,0.7178,0.2878,0.4088,0.8253,0.6171,0.4094,0.5471,0.4783,0.8853,0.6548,0.7701
14.3,-0.7234,0.6839,0.282,0.3978,0.8091,0.6034,0.4278,0.5451,0.4865,0.8765,0.6498,0.7632
14.4,-0.6901,0.6409,0.274,0.3808,0.7877,0.5842,0.448,0.5423,0.4951,0.8681,0.6479,0.758
14.5,-0.639,0.5911,0.2639,0.3585,0.7617,0.5601,0.4694,0.539,0.5042,0.8604,0.65,0.7552
14.6,-0.5731,0.5389,0.2524,0.333,0.7323,0.5327,0.4916,0.5359,0.5138,0.854,0.6573,0.7556
14.7,-0.4974,0.4884,0.2407,0.3064,0.7006,0.5035,0.5147,0.5336,0.5241,0.8496,0.6698,0.7597
14.8,-0.4171,0.4425,0.2292,0.2797,0.6671,0.4734,0.5383,0.5328,0.5355,0.8474,0.6869,0.7672
14.9,-0.3369,0.4028,0.2181,0.2536,0.6318,0.4427,0.5621,0.5336,0.5478,0.8473,0.7069,0.7771
