Time,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
5.4,-0.2867,0.5121,0.9013,0.3243,0.5022,0.4132,0.5472,0.9769,0.762,0.5561,0.7057,0.6309
5.5,-0.2954,0.498,0.9008,0.3149,0.4977,0.4063,0.5519,0.9632,0.7576,0.5813,0.7021,0.6417
5.6,-0.305,0.487,0.8958,0.309,0.4969,0.4029,0.5566,0.9472,0.7519,0.6063,0.6956,0.6509
5.7,-0.316,0.4792,0.8863,0.3067,0.4999,0.4033,0.5614,0.9296,0.7455,0.6294,0.6856,0.6575
5.8,-0.3287,0.4748,0.8727,0.3087,0.5068,0.4077,0.5661,0.9111,0.7386,0.6496,0.6721,0.6609
5.9,-0.3434,0.4739,0.8548,0.3151,0.5178,0.4164,0.5701,0.8926,0.7313,0.6658,0.6552,0.6605
6,-0.3595,0.4764,0.833,0.3257,0.533,0.4294,0.573,0.8747,0.7238,0.6773,0.6355,0.6564
6.1,-0.3761,0.4815,0.8086,0.3397,0.552,0.4459,0.5753,0.8579,0.7166,0.6835,0.6138,0.6487
6.2,-0.3923,0.4887,0.7834,0.3559,0.5738,0.4649,0.5774,0.8432,0.7103,0.6846,0.5914,0.638
6.3,-0.4079,0.4973,0.7588,0.3732,0.5973,0.4853,0.5799,0.8309,0.7054,0.6812,0.5695,0.6253
6.4,-0.4225,0.5077,0.7352,0.3908,0.6217,0.5063,0.5829,0.8209,0.7019,0.6742,0.549,0.6116
6.5,-0.4364,0.5201,0.7122,0.4083,0.6464,0.5274,0.586,0.8126,0.6993,0.6642,0.5302,0.5972
6.6,-0.4502,0.5347,0.6894,0.4253,0.6713,0.5483,0.5889,0.8051,0.697,0.6518,0.5134,0.5826
6.7,-0.4643,0.551,0.6675,0.4417,0.6962,0.5689,0.5916,0.7983,0.695,0.6377,0.4986,0.5682
6.8,-0.4786,0.5683,0.6473,0.4573,0.7208,0.589,0.5944,0.7922,0.6933,0.6227,0.4858,0.5542
6.9,-0.4929,0.5859,0.6298,0.4719,0.7446,0.6082,0.5971,0.786,0.6915,0.6073,0.4742,0.5407
7,-0.5071,0.6032,0.6143,0.485,0.7674,0.6262,0.5993,0.7788,0.689,0.592,0.4634,0.5277
7.1,-0.5209,0.6202,0.6006,0.4964,0.7891,0.6428,0.6011,0.7702,0.6856,0.5773,0.4537,0.5155
7.2,-0.5347,0.6367,0.5892,0.5061,0.8097,0.6579,0.6031,0.7605,0.6818,0.5641,0.4459,0.505
7.3,-0.5485,0.6524,0.5814,0.5143,0.8291,0.6717,0.6061,0.7507,0.6784,0.5528,0.4407,0.4967
7.4,-0.5619,0.6668,0.5779,0.5212,0.8472,0.6842,0.6104,0.7413,0.6759,0.5436,0.4381,0.4908
7.5,-0.5733,0.6795,0.5789,0.5276,0.8635,0.6956,0.6164,0.7325,0.6744,0.5366,0.4381,0.4874
7.6,-0.5809,0.6904,0.584,0.5338,0.8779,0.7059,0.6243,0.7242,0.6743,0.532,0.441,0.4865
7.7,-0.5824,0.6994,0.5932,0.5406,0.8898,0.7152,0.6351,0.7167,0.6759,0.5295,0.447,0.4883
