Time,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC,Target - Toy Sale Starts Tomorrow 15 TVC
12.3,0.0841,0.6592,0.6079,0.6425,0.4647,0.5536,1.0643,0.6729,0.8686,1.0804,0.716,0.8982
12.4,0.1108,0.6857,0.6027,0.6829,0.4481,0.5655,1.0601,0.6631,0.8616,1.0899,0.7185,0.9042
12.5,0.1336,0.7099,0.5994,0.7238,0.4362,0.58,1.0544,0.6558,0.8551,1.0973,0.7252,0.9112
12.6,0.1538,0.7306,0.5986,0.7647,0.4289,0.5968,1.0481,0.651,0.8496,1.1026,0.7367,0.9196
12.7,0.1753,0.7473,0.6004,0.8053,0.4256,0.6155,1.0413,0.6486,0.845,1.1054,0.7525,0.929
12.8,0.2013,0.7596,0.604,0.8447,0.4255,0.6351,1.0338,0.6476,0.8407,1.1051,0.7715,0.9383
12.9,0.232,0.7675,0.6082,0.8809,0.428,0.6545,1.0255,0.6469,0.8362,1.1012,0.7921,0.9466
13,0.266,0.7713,0.6127,0.9126,0.4324,0.6725,1.017,0.6459,0.8314,1.0935,0.8135,0.9535
13.1,0.3023,0.771,0.6179,0.9392,0.4377,0.6884,1.0083,0.644,0.8262,1.0824,0.8356,0.959
13.2,0.3411,0.7662,0.6255,0.9613,0.4424,0.7019,0.9995,0.642,0.8207,1.0686,0.8581,0.9634
13.3,0.383,0.7567,0.636,0.979,0.4454,0.7122,0.9903,0.6408,0.8155,1.0523,0.8796,0.9659
13.4,0.4276,0.7417,0.6492,0.9915,0.446,0.7188,0.9807,0.6414,0.8111,1.034,0.8979,0.9659
13.5,0.4746,0.7205,0.664,0.9981,0.4439,0.721,0.971,0.6443,0.8076,1.0143,0.9121,0.9632
13.6,0.5245,0.6928,0.6796,0.9988,0.439,0.7189,0.9613,0.6494,0.8054,0.9947,0.9221,0.9584
13.7,0.5783,0.6577,0.6955,0.9942,0.4312,0.7127,0.9516,0.6559,0.8038,0.976,0.9282,0.9521
13.8,0.6383,0.6145,0.7117,0.9852,0.4204,0.7028,0.9418,0.663,0.8024,0.9585,0.9308,0.9446
13.9,0.7054,0.5621,0.7276,0.9721,0.4065,0.6893,0.932,0.6699,0.801,0.9422,0.9293,0.9358
14,0.7781,0.5013,0.7424,0.9545,0.3896,0.6721,0.9226,0.6765,0.7996,0.9275,0.9238,0.9256
14.1,0.853,0.4342,0.7555,0.9321,0.3696,0.6508,0.9138,0.6826,0.7982,0.9151,0.9148,0.9149
14.2,0.926,0.3644,0.7674,0.9045,0.3467,0.6256,0.9053,0.6882,0.7968,0.9059,0.9039,0.9049
14.3,0.9918,0.2963,0.7793,0.8719,0.3216,0.5968,0.8965,0.6936,0.795,0.9007,0.8926,0.8966
14.4,1.0435,0.2338,0.7928,0.8338,0.2972,0.5655,0.8867,0.6993,0.793,0.8997,0.8817,0.8907
14.5,1.075,0.1803,0.8084,0.7895,0.2779,0.5337,0.8756,0.7056,0.7906,0.9024,0.8716,0.887
14.6,1.0838,0.1391,0.8266,0.7386,0.2687,0.5037,0.8631,0.7123,0.7877,0.9086,0.8621,0.8853
14.7,1.0716,0.1127,0.8469,0.6812,0.2731,0.4772,0.849,0.7181,0.7836,0.9176,0.8532,0.8854
14.8,1.0404,0.1016,0.8674,0.6175,0.2921,0.4548,0.8327,0.7218,0.7772,0.9288,0.845,0.8869
14.9,0.9905,0.1038,0.8854,0.5482,0.324,0.4361,0.8135,0.7226,0.768,0.9413,0.8378,0.8895
