Time,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC,ISF Host Plus TVC
2,0.0359,0.6851,0.6318,0.6106,0.6003,0.6054,0.7036,0.6052,0.6544,0.6749,0.7961,0.7355
2.1,0.0322,0.6719,0.6024,0.58,0.5625,0.5712,0.6744,0.5726,0.6235,0.6447,0.7624,0.7035
2.2,0.0286,0.6579,0.5689,0.5439,0.522,0.5329,0.6439,0.538,0.591,0.6137,0.7264,0.67
2.3,0.0255,0.6428,0.5327,0.5032,0.48,0.4916,0.6133,0.5029,0.5581,0.5825,0.6892,0.6359
2.4,0.0237,0.6261,0.4951,0.4591,0.4379,0.4485,0.5836,0.4688,0.5262,0.5517,0.652,0.6018
2.5,0.0243,0.6079,0.4576,0.4132,0.3969,0.405,0.5556,0.4365,0.496,0.5222,0.6154,0.5688
2.6,0.0279,0.5886,0.422,0.3677,0.3583,0.363,0.5299,0.4068,0.4684,0.4949,0.5803,0.5376
2.7,0.0345,0.5689,0.3896,0.3248,0.3236,0.3242,0.5076,0.3804,0.444,0.4706,0.548,0.5093
2.8,0.0426,0.5494,0.3617,0.2863,0.2941,0.2902,0.4895,0.3581,0.4238,0.4503,0.5194,0.4849
2.9,0.0506,0.5303,0.3388,0.2533,0.271,0.2621,0.4761,0.3406,0.4084,0.4346,0.4954,0.465
3,0.0575,0.5122,0.321,0.2267,0.2548,0.2407,0.4675,0.3284,0.3979,0.4233,0.476,0.4497
3.1,0.0636,0.4958,0.3082,0.2071,0.2455,0.2263,0.4636,0.3215,0.3925,0.4165,0.461,0.4387
3.2,0.0696,0.4822,0.3003,0.1954,0.2436,0.2195,0.4645,0.32,0.3922,0.4139,0.4502,0.4321
3.3,0.0759,0.4723,0.2978,0.1923,0.2494,0.2209,0.4703,0.324,0.3972,0.4159,0.4442,0.43
3.4,0.0821,0.4667,0.3012,0.1984,0.2641,0.2313,0.4812,0.3337,0.4075,0.4225,0.4432,0.4328
3.5,0.0868,0.4655,0.3106,0.2134,0.2883,0.2508,0.4967,0.3487,0.4227,0.4333,0.4472,0.4403
3.6,0.0888,0.4685,0.3259,0.2367,0.3218,0.2792,0.5158,0.3686,0.4422,0.4474,0.4557,0.4515
3.7,0.0876,0.4754,0.3472,0.2671,0.3638,0.3155,0.5376,0.3928,0.4652,0.4636,0.4677,0.4656
3.8,0.0827,0.4861,0.3743,0.304,0.4133,0.3587,0.5611,0.4208,0.491,0.4811,0.4828,0.4819
3.9,0.0734,0.5005,0.407,0.3467,0.4695,0.4081,0.5858,0.4524,0.5191,0.4996,0.5004,0.5
4,0.0588,0.5188,0.4451,0.3945,0.5313,0.4629,0.6115,0.4868,0.5491,0.5188,0.5201,0.5195
4.1,0.0383,0.541,0.4878,0.4461,0.5972,0.5216,0.6377,0.5233,0.5805,0.5381,0.541,0.5395
4.2,0.0119,0.5672,0.5346,0.5001,0.6648,0.5824,0.6641,0.561,0.6125,0.5566,0.5622,0.5594
4.3,-0.0191,0.5975,0.5843,0.5547,0.732,0.6433,0.6902,0.5995,0.6449,0.5739,0.5833,0.5786
4.4,-0.0527,0.6316,0.6356,0.6086,0.7963,0.7024,0.7153,0.6385,0.6769,0.5897,0.6042,0.5969
4.5,-0.0866,0.6686,0.6863,0.6602,0.8553,0.7577,0.7383,0.6772,0.7078,0.6039,0.6249,0.6144
4.6,-0.1187,0.7071,0.7339,0.708,0.9066,0.8073,0.7583,0.7145,0.7364,0.6159,0.6448,0.6304
4.7,-0.1473,0.7458,0.7765,0.7503,0.9485,0.8494,0.7746,0.7486,0.7616,0.6249,0.6631,0.644
4.8,-0.1707,0.7832,0.813,0.786,0.98,0.883,0.7874,0.7783,0.7829,0.6304,0.6788,0.6546
4.9,-0.1879,0.8181,0.8431,0.8148,1.0011,0.908,0.797,0.8029,0.8,0.6327,0.6918,0.6623
5,-0.1982,0.8491,0.8668,0.8364,1.0125,0.9244,0.8039,0.8222,0.8131,0.6327,0.7025,0.6676
5.1,-0.2018,0.8748,0.8839,0.8507,1.0148,0.9328,0.8082,0.8365,0.8224,0.6314,0.7113,0.6713
5.2,-0.1991,0.8945,0.8942,0.858,1.0088,0.9334,0.8101,0.8462,0.8282,0.6296,0.7183,0.674
5.3,-0.1909,0.9084,0.8982,0.8588,0.996,0.9274,0.81,0.8519,0.8309,0.6278,0.7239,0.6758
5.4,-0.1776,0.9169,0.897,0.8538,0.9779,0.9159,0.8084,0.8542,0.8313,0.6264,0.7282,0.6773
5.5,-0.1596,0.9204,0.8918,0.8443,0.9564,0.9004,0.806,0.854,0.83,0.626,0.7319,0.6789
5.6,-0.1374,0.9193,0.8841,0.8313,0.9332,0.8822,0.8035,0.8519,0.8277,0.6275,0.7354,0.6814
5.7,-0.1123,0.9138,0.8747,0.8155,0.9093,0.8624,0.801,0.8486,0.8248,0.6315,0.7386,0.6851
5.8,-0.086,0.9043,0.8641,0.7973,0.8856,0.8414,0.7984,0.8441,0.8212,0.6381,0.7416,0.6898
5.9,-0.0603,0.8919,0.8523,0.7775,0.8625,0.82,0.7959,0.8385,0.8172,0.647,0.744,0.6955
6,-0.0365,0.8776,0.8395,0.7572,0.8408,0.799,0.7939,0.8324,0.8131,0.6577,0.746,0.7019
6.1,-0.0154,0.862,0.8259,0.7377,0.8209,0.7793,0.7927,0.8261,0.8094,0.6698,0.7477,0.7088
6.2,0.0031,0.8456,0.8113,0.72,0.8029,0.7615,0.7925,0.8197,0.8061,0.6822,0.749,0.7156
6.3,0.0193,0.8286,0.7958,0.7045,0.7867,0.7456,0.7927,0.8127,0.8027,0.6942,0.7493,0.7218
6.4,0.0331,0.8111,0.7794,0.6912,0.7721,0.7317,0.7929,0.8046,0.7987,0.7048,0.7483,0.7266
6.5,0.0441,0.7931,0.7626,0.6802,0.7592,0.7197,0.7929,0.7952,0.794,0.7138,0.7456,0.7297
6.6,0.0518,0.7744,0.7461,0.6715,0.7478,0.7096,0.7926,0.7847,0.7886,0.721,0.7415,0.7312
6.7,0.0549,0.7541,0.7296,0.6641,0.7379,0.701,0.7917,0.7731,0.7824,0.7251,0.7357,0.7304
6.8,0.0532,0.7317,0.7125,0.6568,0.7288,0.6928,0.7897,0.76,0.7748,0.7243,0.7277,0.726
6.9,0.0481,0.7079,0.6949,0.6488,0.7198,0.6843,0.7862,0.7453,0.7658,0.7184,0.7176,0.718
7,0.0407,0.6839,0.6774,0.6398,0.7106,0.6752,0.7811,0.7297,0.7554,0.7079,0.7061,0.707
7.1,0.0324,0.6612,0.6611,0.6301,0.7012,0.6656,0.7746,0.714,0.7443,0.6935,0.694,0.6938
7.2,0.0243,0.6406,0.6469,0.6196,0.6917,0.6557,0.7673,0.6993,0.7333,0.6763,0.6819,0.6791
7.3,0.0171,0.6226,0.635,0.6086,0.6819,0.6452,0.7596,0.6859,0.7228,0.6568,0.6704,0.6636
7.4,0.0111,0.6069,0.6253,0.5967,0.6714,0.6341,0.7516,0.6738,0.7127,0.6357,0.6596,0.6476
7.5,0.0069,0.5935,0.6174,0.5841,0.6605,0.6223,0.7434,0.6629,0.7032,0.6137,0.6495,0.6316
7.6,0.005,0.5822,0.6111,0.5713,0.6492,0.6103,0.7353,0.6535,0.6944,0.5919,0.6405,0.6162
7.7,0.0055,0.5727,0.6062,0.5587,0.6381,0.5984,0.7275,0.6459,0.6867,0.5712,0.633,0.6021
7.8,0.008,0.5644,0.6027,0.5467,0.6273,0.587,0.7203,0.6402,0.6802,0.5526,0.6272,0.5899
7.9,0.0114,0.5569,0.6003,0.5352,0.6166,0.5759,0.7141,0.6362,0.6751,0.5366,0.6229,0.5797
8,0.0147,0.5499,0.5989,0.5242,0.6058,0.565,0.7089,0.6338,0.6714,0.5234,0.6197,0.5715
8.1,0.0171,0.5434,0.5983,0.5138,0.5951,0.5545,0.7052,0.6328,0.669,0.5135,0.6176,0.5656
8.2,0.018,0.5372,0.5988,0.5041,0.5846,0.5444,0.7033,0.6334,0.6684,0.5072,0.617,0.5621
8.3,0.0174,0.5315,0.6005,0.4953,0.5745,0.5349,0.7035,0.6359,0.6697,0.505,0.618,0.5615
8.4,0.0151,0.5263,0.6036,0.4874,0.5653,0.5264,0.7057,0.6402,0.6729,0.5068,0.6209,0.5638
8.5,0.0108,0.5217,0.6083,0.4808,0.557,0.5189,0.7097,0.6465,0.6781,0.5124,0.6255,0.5689
8.6,0.0046,0.5175,0.6144,0.4753,0.5496,0.5125,0.7154,0.6545,0.6849,0.5212,0.6318,0.5765
8.7,-0.0035,0.5136,0.6224,0.471,0.5433,0.5072,0.7229,0.6642,0.6936,0.5329,0.6396,0.5862
8.8,-0.0131,0.51,0.6322,0.4679,0.5381,0.503,0.7321,0.6756,0.7038,0.5474,0.6492,0.5983
8.9,-0.0235,0.5068,0.644,0.4662,0.534,0.5001,0.7428,0.6883,0.7156,0.5648,0.6608,0.6128
9,-0.0346,0.5049,0.6577,0.4663,0.5312,0.4987,0.7548,0.7021,0.7284,0.5851,0.6743,0.6297
9.1,-0.0461,0.505,0.673,0.4688,0.5298,0.4993,0.7675,0.7168,0.7422,0.608,0.6898,0.6489
9.2,-0.0581,0.5079,0.6897,0.4741,0.5303,0.5022,0.7809,0.7323,0.7566,0.6331,0.7073,0.6702
9.3,-0.0705,0.5142,0.7078,0.4826,0.5332,0.5079,0.795,0.7485,0.7718,0.6595,0.727,0.6932
9.4,-0.0831,0.5239,0.7273,0.4941,0.5389,0.5165,0.8094,0.7654,0.7874,0.6862,0.7487,0.7175
9.5,-0.0956,0.5372,0.7479,0.5082,0.5479,0.5281,0.8234,0.7823,0.8029,0.712,0.772,0.742
9.6,-0.1078,0.5538,0.7687,0.524,0.5603,0.5422,0.8358,0.7984,0.8171,0.735,0.795,0.765
9.7,-0.1197,0.5733,0.7882,0.5406,0.5757,0.5581,0.8452,0.8126,0.8289,0.7535,0.8156,0.7845
9.8,-0.1309,0.5951,0.8044,0.557,0.593,0.575,0.8506,0.8242,0.8374,0.7656,0.8311,0.7984
9.9,-0.1407,0.6183,0.8157,0.5723,0.611,0.5917,0.8514,0.8322,0.8418,0.7696,0.8399,0.8047
10,-0.1478,0.6422,0.8209,0.586,0.6285,0.6072,0.8478,0.8359,0.8418,0.7641,0.8408,0.8025
10.1,-0.151,0.6659,0.8191,0.5976,0.6442,0.6209,0.8394,0.8346,0.837,0.7487,0.8334,0.791
10.2,-0.1493,0.6884,0.8105,0.6064,0.6569,0.6317,0.8264,0.8277,0.8271,0.724,0.8183,0.7712
10.3,-0.1429,0.7084,0.7962,0.6121,0.6649,0.6385,0.809,0.8157,0.8123,0.6933,0.7974,0.7453
10.4,-0.1332,0.7251,0.7772,0.6144,0.6675,0.6409,0.7872,0.7988,0.793,0.6579,0.7718,0.7148
10.5,-0.1202,0.738,0.7543,0.6134,0.6644,0.6389,0.7618,0.7777,0.7697,0.619,0.7425,0.6807
10.6,-0.104,0.7472,0.7284,0.6101,0.6567,0.6334,0.7339,0.753,0.7435,0.5786,0.7106,0.6446
10.7,-0.0845,0.753,0.701,0.6057,0.6461,0.6259,0.7052,0.7262,0.7157,0.539,0.6776,0.6083
10.8,-0.0619,0.7558,0.6732,0.6012,0.6342,0.6177,0.6773,0.6986,0.6879,0.5023,0.6448,0.5735
10.9,-0.0363,0.7554,0.646,0.5974,0.6215,0.6094,0.6512,0.6713,0.6613,0.4699,0.6129,0.5414
11,-0.0077,0.7512,0.6198,0.594,0.6076,0.6008,0.6278,0.6453,0.6366,0.4423,0.5826,0.5125
11.1,0.024,0.7431,0.5948,0.5913,0.5918,0.5916,0.6075,0.6207,0.6141,0.4196,0.554,0.4868
11.2,0.0584,0.7316,0.5711,0.5894,0.5741,0.5818,0.5904,0.5974,0.5939,0.4015,0.5275,0.4645
11.3,0.0947,0.7174,0.5488,0.5887,0.5553,0.572,0.5765,0.5753,0.5759,0.3878,0.5035,0.4456
11.4,0.1316,0.7016,0.5283,0.5896,0.5366,0.5631,0.566,0.5549,0.5605,0.378,0.4823,0.4301
11.5,0.1683,0.6851,0.5105,0.5918,0.5191,0.5554,0.559,0.5372,0.5481,0.372,0.4644,0.4182
11.6,0.2041,0.6686,0.4961,0.5949,0.5036,0.5492,0.5556,0.5231,0.5394,0.3694,0.4501,0.4098
11.7,0.2387,0.6525,0.4854,0.5986,0.4904,0.5445,0.5556,0.5133,0.5344,0.3699,0.4392,0.4046
11.8,0.2712,0.6375,0.4787,0.6029,0.4799,0.5414,0.5586,0.508,0.5333,0.3732,0.4317,0.4024
11.9,0.3008,0.6241,0.4758,0.6078,0.4723,0.54,0.5645,0.5067,0.5356,0.3789,0.427,0.403
12,0.3265,0.6128,0.4765,0.6132,0.4677,0.5404,0.5732,0.5092,0.5412,0.3866,0.4249,0.4058
12.1,0.3475,0.604,0.4802,0.6189,0.4663,0.5426,0.5844,0.5149,0.5496,0.3962,0.4249,0.4106
12.2,0.3628,0.5978,0.4865,0.625,0.4682,0.5466,0.5976,0.5234,0.5605,0.4076,0.4268,0.4172
12.3,0.3715,0.5943,0.4954,0.6315,0.4735,0.5525,0.6121,0.5347,0.5734,0.421,0.4307,0.4259
12.4,0.3729,0.5929,0.507,0.6385,0.4822,0.5603,0.6278,0.5487,0.5883,0.437,0.4373,0.4372
12.5,0.3667,0.5924,0.5217,0.6457,0.4938,0.5698,0.6444,0.5653,0.6049,0.4555,0.4471,0.4513
12.6,0.3536,0.5913,0.5393,0.6524,0.507,0.5797,0.6613,0.584,0.6226,0.4762,0.46,0.4681
12.7,0.3345,0.5878,0.5589,0.6574,0.5203,0.5889,0.6775,0.6037,0.6406,0.4981,0.4754,0.4867
12.8,0.3106,0.5816,0.579,0.6596,0.5324,0.596,0.6919,0.6232,0.6576,0.5203,0.4921,0.5062
12.9,0.2831,0.5725,0.5981,0.6585,0.5425,0.6005,0.7036,0.6417,0.6727,0.542,0.5091,0.5256
13,0.2526,0.5612,0.6152,0.6545,0.5502,0.6023,0.7127,0.6588,0.6858,0.5626,0.5255,0.544
13.1,0.2198,0.5484,0.6303,0.6481,0.556,0.602,0.7198,0.6745,0.6971,0.5817,0.5411,0.5614
13.2,0.1854,0.535,0.6436,0.6403,0.5608,0.6006,0.7253,0.6889,0.7071,0.5991,0.5561,0.5776
13.3,0.1499,0.5218,0.6556,0.6317,0.5655,0.5986,0.7295,0.7018,0.7156,0.6141,0.5706,0.5923
13.4,0.1134,0.5096,0.6661,0.6225,0.5705,0.5965,0.7319,0.7123,0.7221,0.6264,0.584,0.6052
13.5,0.0765,0.4989,0.6749,0.6128,0.5755,0.5942,0.7323,0.72,0.7262,0.6354,0.5958,0.6156
13.6,0.0396,0.4902,0.6815,0.6027,0.5804,0.5916,0.7309,0.7246,0.7278,0.6411,0.6054,0.6233
13.7,0.0041,0.4836,0.6861,0.5927,0.585,0.5888,0.728,0.7262,0.7271,0.6439,0.6127,0.6283
13.8,-0.0281,0.4791,0.6887,0.5832,0.5895,0.5864,0.7238,0.725,0.7244,0.6442,0.6175,0.6309
13.9,-0.055,0.4768,0.6896,0.5748,0.5942,0.5845,0.7186,0.7211,0.7198,0.6428,0.6201,0.6315
14,-0.0752,0.4764,0.6883,0.5671,0.5991,0.5831,0.7124,0.7146,0.7135,0.6403,0.6203,0.6303
14.1,-0.0882,0.4777,0.684,0.5595,0.6034,0.5815,0.7055,0.7059,0.7057,0.6369,0.6182,0.6275
14.2,-0.0943,0.4802,0.6761,0.5514,0.6063,0.5788,0.6979,0.6952,0.6966,0.6326,0.6139,0.6233
14.3,-0.0941,0.4836,0.6647,0.5427,0.6073,0.575,0.6899,0.6831,0.6865,0.6272,0.6079,0.6176
14.4,-0.088,0.4883,0.6508,0.5339,0.6065,0.5702,0.6817,0.6702,0.6759,0.621,0.601,0.611
14.5,-0.0764,0.4945,0.6361,0.5255,0.6047,0.5651,0.6739,0.657,0.6654,0.6143,0.594,0.6041
14.6,-0.0603,0.5025,0.6216,0.5179,0.6027,0.5603,0.6668,0.6443,0.6555,0.6075,0.5873,0.5974
14.7,-0.041,0.5122,0.6078,0.511,0.601,0.556,0.6606,0.6326,0.6466,0.6006,0.581,0.5908
14.8,-0.0194,0.5234,0.5952,0.5047,0.5996,0.5522,0.6556,0.6224,0.639,0.5937,0.5748,0.5843
14.9,0.004,0.5361,0.5844,0.4998,0.5984,0.5491,0.6522,0.6144,0.6333,0.5872,0.569,0.5781
15,0.0293,0.5502,0.576,0.4971,0.5974,0.5473,0.6509,0.6087,0.6298,0.5816,0.564,0.5728
15.1,0.0564,0.5656,0.571,0.4977,0.597,0.5474,0.6519,0.6055,0.6287,0.5777,0.5604,0.569
15.2,0.0844,0.5822,0.5697,0.5024,0.5975,0.5499,0.6553,0.6046,0.6299,0.5756,0.5587,0.5671
15.3,0.1117,0.5991,0.5717,0.5108,0.5991,0.5549,0.6606,0.6057,0.6331,0.5753,0.5589,0.5671
15.4,0.1369,0.6154,0.5767,0.5221,0.6018,0.562,0.667,0.6084,0.6377,0.5767,0.561,0.5689
15.5,0.1589,0.6302,0.5844,0.5355,0.6053,0.5704,0.6743,0.6125,0.6434,0.5799,0.5655,0.5727
15.6,0.1772,0.6431,0.5952,0.5504,0.6095,0.5799,0.6827,0.6184,0.6505,0.5854,0.5728,0.5791
15.7,0.192,0.6543,0.6097,0.5665,0.6142,0.5903,0.6924,0.6262,0.6593,0.5937,0.5836,0.5887
15.8,0.2032,0.6644,0.6281,0.5838,0.6198,0.6018,0.7036,0.636,0.6698,0.6047,0.5978,0.6013
15.9,0.2112,0.6735,0.6494,0.6021,0.6265,0.6143,0.7156,0.6471,0.6814,0.6174,0.6149,0.6161
16,0.2164,0.6821,0.6723,0.6208,0.6345,0.6276,0.7275,0.6587,0.6931,0.6309,0.6338,0.6323
16.1,0.2191,0.6905,0.6955,0.6396,0.6439,0.6417,0.7387,0.6701,0.7044,0.6448,0.6538,0.6493
16.2,0.2192,0.6995,0.7183,0.6582,0.6551,0.6567,0.7495,0.6812,0.7153,0.6594,0.6745,0.6669
16.3,0.2165,0.7089,0.7402,0.677,0.6681,0.6726,0.7599,0.6921,0.726,0.6745,0.6957,0.6851
16.4,0.2108,0.7181,0.7609,0.6959,0.6827,0.6893,0.7702,0.7027,0.7364,0.69,0.7172,0.7036
16.5,0.2024,0.726,0.7799,0.714,0.6982,0.7061,0.7799,0.7125,0.7462,0.7051,0.7385,0.7218
16.6,0.192,0.7311,0.7958,0.7299,0.7134,0.7216,0.788,0.7205,0.7543,0.7192,0.7588,0.739
16.7,0.1803,0.7324,0.8074,0.7421,0.7268,0.7345,0.7938,0.7261,0.7599,0.7317,0.7772,0.7544
16.8,0.1677,0.7302,0.814,0.7504,0.7374,0.7439,0.7971,0.7289,0.763,0.7426,0.7934,0.768
16.9,0.1547,0.7251,0.8162,0.7554,0.7452,0.7503,0.7989,0.7298,0.7643,0.7521,0.8077,0.7799
17,0.1424,0.7182,0.815,0.7581,0.7508,0.7544,0.8006,0.7298,0.7652,0.7609,0.8207,0.7908
17.1,0.1316,0.7107,0.8118,0.7593,0.7546,0.757,0.8033,0.7301,0.7667,0.7695,0.8325,0.801
17.2,0.1233,0.7035,0.8074,0.7596,0.757,0.7583,0.8079,0.7314,0.7696,0.7781,0.8432,0.8106
17.3,0.1171,0.6973,0.802,0.7593,0.7579,0.7586,0.8144,0.7341,0.7743,0.7866,0.8526,0.8196
17.4,0.1125,0.6931,0.796,0.7588,0.7577,0.7582,0.823,0.7386,0.7808,0.7947,0.8606,0.8277
17.5,0.109,0.6911,0.79,0.7591,0.7565,0.7578,0.8338,0.7448,0.7893,0.8023,0.8669,0.8346
17.6,0.1062,0.6913,0.7851,0.7604,0.7548,0.7576,0.8467,0.7526,0.7997,0.8092,0.8716,0.8404
17.7,0.1047,0.6929,0.782,0.7626,0.7524,0.7575,0.8609,0.7613,0.8111,0.8154,0.8745,0.845
17.8,0.1044,0.6951,0.7808,0.7647,0.749,0.7568,0.8748,0.7701,0.8225,0.8208,0.875,0.8479
17.9,0.1052,0.6976,0.7801,0.7661,0.7441,0.7551,0.887,0.7779,0.8324,0.8248,0.8726,0.8487
18,0.1068,0.7004,0.7788,0.7663,0.7375,0.7519,0.8964,0.7842,0.8403,0.827,0.8665,0.8467
18.1,0.1088,0.7036,0.776,0.7655,0.7292,0.7473,0.903,0.7887,0.8458,0.827,0.8566,0.8418
18.2,0.1111,0.7074,0.7719,0.7634,0.7194,0.7414,0.9068,0.7916,0.8492,0.825,0.8434,0.8342
18.3,0.1136,0.7116,0.767,0.7598,0.7079,0.7339,0.908,0.7929,0.8504,0.8216,0.8278,0.8247
18.4,0.1159,0.7156,0.7614,0.7542,0.6951,0.7246,0.9064,0.7924,0.8494,0.8167,0.8103,0.8135
18.5,0.1171,0.7188,0.7545,0.7462,0.6813,0.7137,0.9017,0.7897,0.8457,0.8102,0.7909,0.8006
18.6,0.117,0.7205,0.7457,0.7358,0.6666,0.7012,0.8935,0.7843,0.8389,0.8015,0.7694,0.7854
18.7,0.1155,0.7202,0.7344,0.7234,0.6509,0.6872,0.8819,0.7758,0.8288,0.7906,0.7459,0.7682
18.8,0.1133,0.7176,0.7205,0.7092,0.6339,0.6716,0.8669,0.764,0.8154,0.7778,0.721,0.7494
18.9,0.1108,0.7123,0.7044,0.6936,0.6151,0.6544,0.8485,0.749,0.7987,0.7634,0.695,0.7292
19,0.1078,0.7042,0.686,0.6769,0.5946,0.6357,0.8265,0.7306,0.7785,0.747,0.668,0.7075
19.1,0.1035,0.6929,0.6654,0.6592,0.5728,0.616,0.8004,0.7085,0.7545,0.7277,0.6398,0.6837
19.2,0.0969,0.6783,0.6426,0.6411,0.5505,0.5958,0.7701,0.6829,0.7265,0.7052,0.6106,0.6579
19.3,0.0875,0.6606,0.6178,0.623,0.5282,0.5756,0.7356,0.6539,0.6947,0.6801,0.5811,0.6306
19.4,0.0753,0.6401,0.5914,0.6057,0.5063,0.556,0.6974,0.6223,0.6599,0.6532,0.5523,0.6027
19.5,0.0606,0.6178,0.5637,0.5898,0.4852,0.5375,0.6564,0.5892,0.6228,0.6254,0.5248,0.5751
19.6,0.0435,0.5946,0.5349,0.5758,0.4653,0.5206,0.6135,0.5555,0.5845,0.5973,0.499,0.5481
19.7,0.0243,0.5714,0.5053,0.5635,0.4471,0.5053,0.5695,0.522,0.5457,0.569,0.4752,0.5221
19.8,0.0032,0.5491,0.4748,0.5532,0.431,0.4921,0.5259,0.4895,0.5077,0.5412,0.454,0.4976
19.9,-0.0194,0.5292,0.4448,0.5452,0.4177,0.4815,0.4856,0.4592,0.4724,0.515,0.4369,0.476
20,-0.0417,0.513,0.4172,0.5399,0.4079,0.4739,0.4507,0.4321,0.4414,0.492,0.425,0.4585
20.1,-0.0623,0.502,0.3932,0.5377,0.4019,0.4698,0.423,0.4095,0.4163,0.4733,0.4187,0.446
20.2,-0.0811,0.4968,0.374,0.5386,0.4,0.4693,0.4038,0.3921,0.398,0.4594,0.4179,0.4387
20.3,-0.0982,0.4972,0.3603,0.5421,0.4022,0.4722,0.3932,0.3804,0.3868,0.4504,0.4221,0.4362
20.4,-0.1145,0.5023,0.3523,0.5474,0.4078,0.4776,0.3907,0.3743,0.3825,0.4458,0.4303,0.4381
20.5,-0.1299,0.511,0.3497,0.5536,0.4161,0.4848,0.395,0.3736,0.3843,0.4453,0.4418,0.4436
20.6,-0.1444,0.5221,0.3516,0.5604,0.4264,0.4934,0.4046,0.3775,0.391,0.4484,0.4556,0.452
20.7,-0.158,0.5347,0.3566,0.5675,0.4379,0.5027,0.418,0.3849,0.4015,0.4545,0.4707,0.4626
20.8,-0.1709,0.5479,0.3641,0.5744,0.45,0.5122,0.4339,0.3951,0.4145,0.4632,0.4866,0.4749
20.9,-0.1832,0.561,0.3733,0.5807,0.4618,0.5212,0.4515,0.4074,0.4294,0.4741,0.5027,0.4884
21,-0.195,0.5735,0.3841,0.586,0.473,0.5295,0.4706,0.4215,0.446,0.487,0.519,0.503
21.1,-0.2058,0.5855,0.3961,0.5902,0.4837,0.5369,0.491,0.4371,0.464,0.5015,0.5352,0.5184
21.2,-0.2148,0.5973,0.4094,0.5936,0.4943,0.544,0.5125,0.4542,0.4833,0.5174,0.5511,0.5343
21.3,-0.2214,0.6091,0.4238,0.5965,0.5053,0.5509,0.5349,0.4726,0.5038,0.5342,0.5666,0.5504
21.4,-0.2257,0.6212,0.4394,0.599,0.517,0.558,0.558,0.4924,0.5252,0.5516,0.5816,0.5666
21.5,-0.2278,0.6334,0.4562,0.6011,0.5294,0.5653,0.5815,0.5133,0.5474,0.5695,0.5963,0.5829
