Time,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC,KFC - Hot and Spicy Popcorn Chicken 15 TVC
5.5,0.3674,0.4731,0.7022,0.935,0.1947,0.5649,0.8209,0.8581,0.8395,0.7971,0.9349,0.866
5.6,0.3938,0.4603,0.669,0.9298,0.1726,0.5512,0.8229,0.8476,0.8352,0.7818,0.9401,0.8609
5.7,0.4169,0.4485,0.6359,0.9234,0.1556,0.5395,0.8222,0.8342,0.8282,0.7662,0.9451,0.8557
5.8,0.436,0.4377,0.6036,0.9163,0.1439,0.5301,0.8188,0.819,0.8189,0.7507,0.9487,0.8497
5.9,0.4514,0.4278,0.5735,0.9092,0.1376,0.5234,0.8132,0.8032,0.8082,0.7361,0.9498,0.8429
6,0.4638,0.4191,0.5468,0.902,0.1366,0.5193,0.8051,0.7873,0.7962,0.7228,0.948,0.8354
6.1,0.4741,0.4121,0.524,0.8947,0.1398,0.5172,0.7945,0.7716,0.783,0.7112,0.9428,0.827
6.2,0.4824,0.4069,0.5049,0.8866,0.1455,0.516,0.7812,0.7559,0.7685,0.701,0.9333,0.8172
6.3,0.4878,0.4038,0.4884,0.8773,0.1522,0.5148,0.765,0.7406,0.7528,0.6917,0.9189,0.8053
6.4,0.4891,0.4029,0.4737,0.8673,0.1588,0.513,0.746,0.726,0.736,0.6826,0.8992,0.7909
6.5,0.4863,0.4038,0.4612,0.8568,0.1642,0.5105,0.7245,0.7122,0.7183,0.673,0.8745,0.7738
6.6,0.4798,0.4063,0.4513,0.8462,0.1681,0.5072,0.7011,0.6995,0.7003,0.6625,0.8457,0.7541
6.7,0.4702,0.4102,0.4446,0.8359,0.1704,0.5032,0.6772,0.6881,0.6827,0.6506,0.8138,0.7322
6.8,0.4575,0.416,0.4415,0.8266,0.1716,0.4991,0.6548,0.6794,0.6671,0.6377,0.7797,0.7087
6.9,0.4421,0.4245,0.4422,0.8192,0.1725,0.4959,0.6357,0.6745,0.6551,0.6246,0.7447,0.6846
7,0.4263,0.4354,0.4467,0.8141,0.1734,0.4937,0.6215,0.6743,0.6479,0.6124,0.7103,0.6613
7.1,0.4124,0.4477,0.4544,0.8108,0.1741,0.4924,0.6126,0.6779,0.6453,0.602,0.6779,0.6399
7.2,0.4014,0.4593,0.4636,0.8078,0.1741,0.4909,0.6082,0.6841,0.6462,0.594,0.6485,0.6212
7.3,0.393,0.4686,0.473,0.8038,0.1729,0.4884,0.6067,0.6917,0.6492,0.5887,0.6228,0.6057
7.4,0.3866,0.4751,0.482,0.7985,0.1707,0.4846,0.607,0.7005,0.6538,0.586,0.6014,0.5937
7.5,0.3805,0.4792,0.4905,0.7919,0.1686,0.4802,0.6088,0.7105,0.6597,0.586,0.5849,0.5855
7.6,0.3728,0.4819,0.4983,0.7842,0.1683,0.4763,0.6122,0.7213,0.6667,0.5887,0.5739,0.5813
7.7,0.3601,0.4836,0.5051,0.7752,0.171,0.4731,0.6168,0.7318,0.6743,0.5938,0.5687,0.5812
7.8,0.3393,0.4843,0.5098,0.7648,0.1768,0.4708,0.6221,0.741,0.6815,0.6005,0.569,0.5848
7.9,0.3092,0.484,0.5113,0.7529,0.1857,0.4693,0.6272,0.7483,0.6878,0.6079,0.5747,0.5913
8,0.2707,0.4827,0.509,0.7397,0.197,0.4683,0.6312,0.7533,0.6922,0.6146,0.5845,0.5995
8.1,0.2252,0.4806,0.5031,0.7252,0.2098,0.4675,0.633,0.7557,0.6943,0.6195,0.5973,0.6084
8.2,0.174,0.4784,0.4944,0.7097,0.2236,0.4666,0.6317,0.7555,0.6936,0.6226,0.6121,0.6173
8.3,0.1182,0.4768,0.4834,0.6932,0.2382,0.4657,0.6269,0.7529,0.6899,0.624,0.6281,0.626
8.4,0.0581,0.4761,0.4706,0.6761,0.2539,0.465,0.6187,0.7482,0.6834,0.6241,0.6445,0.6343
8.5,-0.0059,0.4764,0.4561,0.6589,0.2707,0.4648,0.6078,0.7417,0.6747,0.6234,0.6597,0.6416
8.6,-0.0732,0.4774,0.4405,0.6423,0.2881,0.4652,0.5952,0.7339,0.6646,0.6218,0.6717,0.6467
8.7,-0.143,0.4789,0.4242,0.627,0.3058,0.4664,0.5816,0.725,0.6533,0.6191,0.6786,0.6488
8.8,-0.214,0.4806,0.4077,0.6136,0.3237,0.4686,0.5671,0.7151,0.6411,0.615,0.6795,0.6472
8.9,-0.2847,0.4828,0.3909,0.602,0.3417,0.4719,0.5518,0.704,0.6279,0.6094,0.6743,0.6419
9,-0.3538,0.4855,0.3741,0.592,0.3606,0.4763,0.5353,0.6917,0.6135,0.6025,0.6638,0.6331
9.1,-0.4206,0.489,0.3581,0.583,0.3809,0.482,0.5174,0.6785,0.5979,0.5944,0.6497,0.6221
9.2,-0.4835,0.4934,0.344,0.5748,0.4028,0.4888,0.4985,0.6649,0.5817,0.586,0.6342,0.6101
9.3,-0.5406,0.4987,0.3326,0.5671,0.4257,0.4964,0.4794,0.6515,0.5654,0.5774,0.6191,0.5983
9.4,-0.5892,0.5058,0.324,0.5603,0.4486,0.5045,0.4611,0.6384,0.5497,0.5688,0.6056,0.5872
9.5,-0.627,0.5146,0.318,0.5549,0.4704,0.5127,0.4446,0.6253,0.535,0.5599,0.5943,0.5771
9.6,-0.6532,0.5246,0.3147,0.551,0.4901,0.5206,0.4313,0.6122,0.5217,0.5507,0.5863,0.5685
9.7,-0.6683,0.5349,0.3153,0.5485,0.5072,0.5278,0.4221,0.5997,0.5109,0.5418,0.5835,0.5626
9.8,-0.6731,0.5446,0.3213,0.5468,0.5217,0.5343,0.4183,0.5889,0.5036,0.5343,0.5874,0.5608
9.9,-0.6676,0.5533,0.3342,0.5459,0.5334,0.5397,0.4213,0.5805,0.5009,0.5292,0.5984,0.5638
10,-0.6513,0.5611,0.3539,0.5454,0.5426,0.544,0.432,0.5748,0.5034,0.5273,0.6154,0.5714
10.1,-0.6237,0.5678,0.3794,0.5452,0.5493,0.5472,0.4504,0.5719,0.5112,0.5288,0.6366,0.5827
10.2,-0.585,0.5731,0.4092,0.5452,0.5536,0.5494,0.475,0.5719,0.5234,0.5332,0.6606,0.5969
10.3,-0.5362,0.5771,0.4423,0.5455,0.5558,0.5507,0.5031,0.5743,0.5387,0.5399,0.6868,0.6133
10.4,-0.4786,0.5799,0.4775,0.5459,0.5569,0.5514,0.5318,0.5782,0.555,0.548,0.7143,0.6312
10.5,-0.4143,0.5816,0.514,0.5465,0.5575,0.552,0.5588,0.5827,0.5707,0.5568,0.7424,0.6496
10.6,-0.3463,0.5829,0.5508,0.5469,0.5582,0.5526,0.5827,0.5878,0.5852,0.566,0.7701,0.668
10.7,-0.2776,0.5843,0.5867,0.5471,0.5595,0.5533,0.6038,0.5941,0.5989,0.5754,0.7969,0.6862
10.8,-0.2108,0.5865,0.6207,0.5472,0.5618,0.5545,0.6226,0.6021,0.6124,0.5855,0.8227,0.7041
10.9,-0.1477,0.5904,0.6518,0.5478,0.5659,0.5568,0.6389,0.6118,0.6253,0.5962,0.8472,0.7217
11,-0.0889,0.5963,0.6785,0.5494,0.5711,0.5602,0.6515,0.622,0.6368,0.6074,0.8696,0.7385
11.1,-0.0339,0.604,0.6998,0.552,0.5756,0.5638,0.6596,0.6315,0.6456,0.6186,0.8888,0.7537
11.2,0.0177,0.6127,0.7152,0.5557,0.5781,0.5669,0.663,0.6397,0.6513,0.6291,0.9043,0.7667
11.3,0.067,0.622,0.725,0.5606,0.5783,0.5695,0.6622,0.6466,0.6544,0.639,0.9161,0.7776
11.4,0.1142,0.6319,0.7298,0.5672,0.5772,0.5722,0.6585,0.6527,0.6556,0.6487,0.9244,0.7866
11.5,0.1591,0.6424,0.7299,0.5756,0.5764,0.576,0.6538,0.6585,0.6561,0.6591,0.9293,0.7942
11.6,0.2006,0.6533,0.7254,0.586,0.5766,0.5813,0.6501,0.6641,0.6571,0.671,0.9307,0.8009
11.7,0.2373,0.6642,0.7156,0.5982,0.5776,0.5879,0.6493,0.6694,0.6594,0.6846,0.9286,0.8066
11.8,0.2677,0.6746,0.7006,0.6121,0.5785,0.5953,0.653,0.6741,0.6635,0.6994,0.9227,0.8111
11.9,0.2905,0.6843,0.681,0.6271,0.5787,0.6029,0.6613,0.6781,0.6697,0.7143,0.9133,0.8138
12,0.3049,0.6932,0.6579,0.6426,0.5786,0.6106,0.6733,0.6816,0.6774,0.7278,0.9,0.8139
12.1,0.3108,0.7009,0.632,0.6572,0.5781,0.6177,0.6875,0.6845,0.686,0.7385,0.8826,0.8105
12.2,0.3089,0.707,0.6038,0.6699,0.5766,0.6233,0.7024,0.6862,0.6943,0.7453,0.8602,0.8028
12.3,0.3005,0.7104,0.5741,0.68,0.5729,0.6264,0.7169,0.6862,0.7016,0.7476,0.8326,0.7901
12.4,0.2869,0.7104,0.5437,0.6874,0.5662,0.6268,0.7306,0.6847,0.7077,0.7456,0.8004,0.773
12.5,0.2697,0.7068,0.5133,0.6927,0.5564,0.6246,0.7434,0.6817,0.7126,0.7397,0.765,0.7523
12.6,0.2507,0.6992,0.4835,0.6964,0.5442,0.6203,0.7554,0.6773,0.7164,0.7302,0.7279,0.7291
12.7,0.2312,0.6876,0.4548,0.6991,0.5298,0.6144,0.7665,0.6717,0.7191,0.7179,0.6905,0.7042
12.8,0.2114,0.6721,0.4282,0.7016,0.5133,0.6075,0.7765,0.6649,0.7207,0.704,0.6543,0.6791
12.9,0.1895,0.6528,0.4056,0.7045,0.4953,0.5999,0.7852,0.6574,0.7213,0.6902,0.621,0.6556
13,0.1638,0.6303,0.389,0.7082,0.4774,0.5928,0.7928,0.65,0.7214,0.6782,0.5927,0.6354
13.1,0.1331,0.606,0.3797,0.7131,0.4616,0.5873,0.7995,0.6439,0.7217,0.6692,0.5703,0.6197
13.2,0.0991,0.5812,0.3778,0.7193,0.4495,0.5844,0.8056,0.6394,0.7225,0.6633,0.5537,0.6085
13.3,0.0649,0.5568,0.3822,0.7269,0.4417,0.5843,0.8107,0.6366,0.7237,0.6599,0.5425,0.6012
13.4,0.0335,0.534,0.3913,0.7359,0.4384,0.5872,0.8147,0.6352,0.7249,0.6581,0.536,0.5971
13.5,0.0066,0.5141,0.4043,0.746,0.4399,0.5929,0.8168,0.6353,0.726,0.6574,0.5342,0.5958
13.6,-0.0162,0.4986,0.4206,0.7567,0.446,0.6013,0.8168,0.6368,0.7268,0.6574,0.537,0.5972
13.7,-0.0355,0.4884,0.4396,0.7671,0.456,0.6116,0.815,0.6398,0.7274,0.6579,0.5443,0.6011
13.8,-0.0508,0.4839,0.4603,0.7763,0.4688,0.6225,0.8118,0.6441,0.728,0.6593,0.5559,0.6076
13.9,-0.0611,0.4841,0.4813,0.7834,0.4827,0.633,0.8076,0.6494,0.7285,0.6617,0.5712,0.6164
14,-0.065,0.4881,0.501,0.7879,0.4968,0.6423,0.8023,0.6554,0.7289,0.6654,0.5892,0.6273
14.1,-0.0606,0.4949,0.5185,0.7902,0.5101,0.6501,0.7955,0.6617,0.7286,0.6701,0.6085,0.6393
14.2,-0.0455,0.5044,0.5336,0.7913,0.5219,0.6566,0.7862,0.6679,0.727,0.6751,0.6276,0.6514
14.3,-0.0178,0.5169,0.5466,0.7922,0.5315,0.6618,0.7741,0.6738,0.724,0.68,0.6455,0.6628
14.4,0.0225,0.5329,0.5574,0.7934,0.5383,0.6659,0.7596,0.679,0.7193,0.6846,0.6616,0.6731
14.5,0.0736,0.5523,0.5661,0.795,0.5425,0.6687,0.7437,0.6835,0.7136,0.6886,0.6759,0.6823
14.6,0.1321,0.5744,0.5731,0.7965,0.5451,0.6708,0.7275,0.6874,0.7075,0.6917,0.6881,0.6899
14.7,0.1942,0.5982,0.5786,0.7979,0.5475,0.6727,0.7122,0.6908,0.7015,0.6936,0.6975,0.6955
14.8,0.2575,0.6227,0.582,0.7987,0.5504,0.6746,0.6989,0.6937,0.6963,0.6942,0.7025,0.6983
14.9,0.3197,0.6465,0.5824,0.7985,0.5537,0.6761,0.6882,0.6963,0.6923,0.6937,0.7015,0.6976
