Time,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.3,-0.0476,0.4249,0.6954,0.4711,0.3805,0.4258,0.5901,0.5241,0.5571,0.5679,0.4524,0.5101
8.4,-0.0451,0.4277,0.692,0.4663,0.3723,0.4193,0.5913,0.5143,0.5528,0.5538,0.4417,0.4977
8.5,-0.0426,0.4304,0.6881,0.4626,0.364,0.4133,0.5938,0.5058,0.5498,0.5421,0.436,0.489
8.6,-0.0402,0.4328,0.6841,0.4599,0.3559,0.4079,0.5969,0.4988,0.5479,0.5329,0.4352,0.484
8.7,-0.0381,0.4349,0.6803,0.4586,0.3482,0.4034,0.6003,0.4936,0.547,0.5263,0.4394,0.4828
8.8,-0.0365,0.437,0.6772,0.4588,0.3412,0.4,0.6044,0.4904,0.5474,0.5225,0.4483,0.4854
8.9,-0.0355,0.4388,0.6749,0.4604,0.3349,0.3977,0.6093,0.4895,0.5494,0.5211,0.4615,0.4913
9,-0.035,0.4405,0.6736,0.4632,0.3294,0.3963,0.6155,0.4908,0.5532,0.5219,0.4779,0.4999
9.1,-0.0346,0.4423,0.6733,0.4672,0.3247,0.396,0.6231,0.4946,0.5589,0.5242,0.4966,0.5104
9.2,-0.0335,0.4444,0.6742,0.4723,0.321,0.3966,0.6319,0.5013,0.5666,0.5281,0.5169,0.5225
