Time,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC,Birds Eye - An Eye For Good 30 TVC
1.3,0.3268,0.6519,0.3957,0.8584,0.6734,0.7659,0.6682,0.4116,0.5399,0.7028,0.7148,0.7088
1.4,0.3222,0.6326,0.3811,0.832,0.6482,0.7401,0.6504,0.4105,0.5305,0.7079,0.7073,0.7076
1.5,0.3126,0.6133,0.3711,0.803,0.6263,0.7147,0.6316,0.4127,0.5221,0.7103,0.6975,0.7039
1.6,0.2983,0.594,0.3654,0.7721,0.6079,0.69,0.6123,0.418,0.5152,0.7104,0.6854,0.6979
1.7,0.2805,0.5752,0.3642,0.7399,0.5931,0.6665,0.5939,0.4266,0.5102,0.7091,0.672,0.6905
1.8,0.2598,0.5572,0.3679,0.7072,0.5821,0.6447,0.5777,0.4383,0.508,0.7069,0.6583,0.6826
1.9,0.2365,0.5401,0.3759,0.6742,0.5749,0.6245,0.5642,0.453,0.5086,0.7038,0.645,0.6744
2,0.2104,0.5239,0.3873,0.6409,0.5711,0.606,0.5528,0.47,0.5114,0.6996,0.632,0.6658
2.1,0.1817,0.5087,0.401,0.6079,0.57,0.5889,0.5425,0.4888,0.5157,0.6941,0.6191,0.6566
2.2,0.1513,0.4947,0.4162,0.5758,0.5711,0.5734,0.5327,0.5089,0.5208,0.6879,0.6067,0.6473
2.3,0.1198,0.4826,0.4324,0.5454,0.5741,0.5597,0.5234,0.5302,0.5268,0.6821,0.5958,0.639
2.4,0.0869,0.4731,0.4494,0.5173,0.579,0.5481,0.5158,0.5527,0.5342,0.6774,0.5872,0.6323
2.5,0.0516,0.4667,0.4668,0.4924,0.5858,0.5391,0.5107,0.5761,0.5434,0.6738,0.581,0.6274
2.6,0.0131,0.4635,0.4841,0.472,0.5943,0.5331,0.5086,0.5999,0.5542,0.6706,0.5771,0.6238
2.7,-0.0278,0.4638,0.5004,0.4568,0.6042,0.5305,0.5087,0.6235,0.5661,0.6673,0.575,0.6211
2.8,-0.0699,0.4675,0.5153,0.4476,0.6148,0.5312,0.5097,0.6463,0.578,0.6638,0.5746,0.6192
2.9,-0.1118,0.4742,0.5281,0.4442,0.6255,0.5349,0.5102,0.6675,0.5888,0.6599,0.5763,0.6181
3,-0.1523,0.4834,0.5378,0.446,0.6353,0.5406,0.5094,0.6856,0.5975,0.6548,0.58,0.6174
3.1,-0.19,0.4944,0.543,0.4518,0.6433,0.5475,0.5075,0.6994,0.6034,0.648,0.5852,0.6166
3.2,-0.2236,0.5066,0.5426,0.4607,0.649,0.5548,0.5052,0.708,0.6066,0.6395,0.5908,0.6151
3.3,-0.2516,0.5195,0.5365,0.4719,0.6523,0.5621,0.5035,0.7117,0.6076,0.6302,0.596,0.6131
3.4,-0.2726,0.5321,0.5254,0.4849,0.6527,0.5688,0.5034,0.7115,0.6075,0.621,0.6006,0.6108
3.5,-0.2861,0.5433,0.5106,0.4991,0.6503,0.5747,0.505,0.7084,0.6067,0.6123,0.6045,0.6084
3.6,-0.2918,0.5519,0.4932,0.5136,0.6446,0.5791,0.5083,0.7022,0.6052,0.6044,0.6073,0.6059
3.7,-0.2899,0.5571,0.4738,0.5274,0.6356,0.5815,0.5131,0.6927,0.6029,0.5977,0.6087,0.6032
3.8,-0.2808,0.5583,0.453,0.5392,0.6231,0.5811,0.5193,0.6799,0.5996,0.5931,0.6086,0.6008
3.9,-0.2658,0.5553,0.4314,0.5477,0.6074,0.5775,0.5268,0.6643,0.5955,0.5911,0.6073,0.5992
4,-0.247,0.5481,0.41,0.5521,0.5887,0.5704,0.536,0.6468,0.5914,0.5923,0.606,0.5991
4.1,-0.2266,0.5367,0.39,0.5517,0.5676,0.5597,0.5474,0.6284,0.5879,0.5965,0.6052,0.6009
4.2,-0.2066,0.5213,0.3729,0.5466,0.5447,0.5456,0.5619,0.6097,0.5858,0.6032,0.6053,0.6043
4.3,-0.1877,0.5022,0.3603,0.5371,0.5208,0.529,0.5801,0.5911,0.5856,0.6117,0.6061,0.6089
4.4,-0.1701,0.4803,0.3528,0.5241,0.4967,0.5104,0.6021,0.5728,0.5875,0.6211,0.6074,0.6142
4.5,-0.1538,0.4567,0.3502,0.5086,0.4732,0.4909,0.6278,0.5553,0.5915,0.6309,0.6091,0.62
4.6,-0.1396,0.4327,0.3515,0.4917,0.4509,0.4713,0.6564,0.5387,0.5975,0.6407,0.6114,0.6261
4.7,-0.1285,0.4094,0.3554,0.4746,0.4304,0.4525,0.6864,0.5231,0.6048,0.6503,0.6146,0.6324
4.8,-0.1206,0.3874,0.3607,0.4584,0.4122,0.4353,0.7166,0.5089,0.6127,0.6595,0.6186,0.6391
4.9,-0.1151,0.3678,0.3667,0.445,0.3967,0.4209,0.7465,0.4965,0.6215,0.6681,0.6235,0.6458
5,-0.1109,0.3511,0.3733,0.4359,0.3841,0.41,0.7758,0.4868,0.6313,0.6756,0.629,0.6523
5.1,-0.1068,0.3383,0.3805,0.4318,0.3748,0.4033,0.8037,0.4803,0.642,0.6813,0.6349,0.6581
5.2,-0.1031,0.3296,0.3877,0.4326,0.3687,0.4007,0.8287,0.4771,0.6529,0.6844,0.6407,0.6626
5.3,-0.1006,0.3253,0.3938,0.4381,0.3657,0.4019,0.8491,0.4772,0.6631,0.6842,0.6459,0.665
5.4,-0.0995,0.3252,0.3978,0.448,0.3657,0.4068,0.864,0.4807,0.6723,0.6803,0.6499,0.6651
5.5,-0.1,0.3288,0.3992,0.462,0.3681,0.4151,0.8735,0.4873,0.6804,0.6728,0.6526,0.6627
5.6,-0.1019,0.3359,0.3978,0.4798,0.3727,0.4263,0.8778,0.4967,0.6873,0.6618,0.6542,0.658
5.7,-0.1048,0.3463,0.3945,0.5008,0.3793,0.4401,0.8773,0.5087,0.693,0.6476,0.6547,0.6512
5.8,-0.1085,0.3597,0.3898,0.5245,0.388,0.4562,0.8716,0.5231,0.6973,0.6305,0.6541,0.6423
5.9,-0.1118,0.3755,0.3842,0.55,0.3986,0.4743,0.8602,0.5396,0.6999,0.6108,0.652,0.6314
6,-0.1132,0.3927,0.3776,0.5765,0.4104,0.4934,0.8428,0.5574,0.7001,0.5888,0.648,0.6184
6.1,-0.1116,0.4101,0.3701,0.6024,0.4225,0.5124,0.8198,0.5755,0.6976,0.5655,0.6425,0.604
6.2,-0.1074,0.4264,0.3618,0.6262,0.4337,0.53,0.7928,0.5924,0.6926,0.5423,0.6362,0.5892
6.3,-0.1011,0.4408,0.3534,0.6466,0.443,0.5448,0.764,0.6072,0.6856,0.5203,0.6295,0.5749
6.4,-0.0933,0.4528,0.3452,0.6628,0.4499,0.5564,0.7351,0.6189,0.677,0.5001,0.6226,0.5614
6.5,-0.0842,0.4624,0.3374,0.6751,0.4546,0.5649,0.7069,0.6273,0.6671,0.4823,0.6154,0.5489
6.6,-0.0743,0.4697,0.3302,0.6842,0.4577,0.5709,0.6796,0.6329,0.6562,0.4676,0.6081,0.5379
6.7,-0.0646,0.4746,0.3239,0.6907,0.4596,0.5751,0.6536,0.6361,0.6449,0.4566,0.6012,0.5289
6.8,-0.0567,0.4772,0.319,0.6942,0.4608,0.5775,0.6296,0.6374,0.6335,0.4498,0.5954,0.5226
6.9,-0.052,0.4778,0.316,0.6943,0.4617,0.578,0.6081,0.6366,0.6224,0.4472,0.591,0.5191
7,-0.0504,0.4767,0.315,0.6906,0.4627,0.5766,0.5894,0.6335,0.6115,0.4489,0.5883,0.5186
7.1,-0.0512,0.4745,0.3158,0.6836,0.4644,0.574,0.5733,0.6281,0.6007,0.4544,0.587,0.5207
7.2,-0.0541,0.4717,0.3182,0.6741,0.4673,0.5707,0.5599,0.6209,0.5904,0.4632,0.5871,0.5251
7.3,-0.0593,0.4685,0.322,0.6629,0.4717,0.5673,0.5493,0.6122,0.5807,0.4747,0.5886,0.5317
7.4,-0.0672,0.4649,0.327,0.6504,0.4778,0.5641,0.5415,0.6022,0.5718,0.4883,0.5916,0.54
7.5,-0.0772,0.4609,0.333,0.6372,0.4851,0.5611,0.5361,0.5911,0.5636,0.5036,0.5958,0.5497
7.6,-0.0879,0.4567,0.3402,0.6238,0.4931,0.5584,0.5321,0.5789,0.5555,0.5195,0.6008,0.5602
7.7,-0.0983,0.4524,0.3481,0.6111,0.5015,0.5563,0.5286,0.5658,0.5472,0.5354,0.6058,0.5706
7.8,-0.1081,0.4488,0.3561,0.5997,0.5102,0.5549,0.5248,0.5526,0.5387,0.5507,0.6106,0.5806
7.9,-0.1176,0.446,0.364,0.5898,0.5196,0.5547,0.5208,0.54,0.5304,0.5651,0.6154,0.5902
8,-0.1265,0.4438,0.3725,0.5814,0.5292,0.5553,0.5167,0.529,0.5228,0.5788,0.6205,0.5996
8.1,-0.1334,0.4414,0.3823,0.5744,0.5383,0.5564,0.5125,0.5198,0.5162,0.5916,0.6262,0.6089
8.2,-0.137,0.4376,0.3942,0.5686,0.5458,0.5572,0.5086,0.5127,0.5106,0.6032,0.6325,0.6179
8.3,-0.1369,0.4315,0.4081,0.5632,0.5509,0.557,0.5048,0.5076,0.5062,0.6133,0.639,0.6261
8.4,-0.1338,0.4228,0.4238,0.5573,0.5528,0.5551,0.501,0.5045,0.5028,0.6216,0.6454,0.6335
8.5,-0.1288,0.4116,0.4412,0.5502,0.5514,0.5508,0.4972,0.5031,0.5001,0.6281,0.6516,0.6398
8.6,-0.1222,0.3982,0.4602,0.5418,0.5464,0.5441,0.4933,0.5025,0.4979,0.6327,0.6572,0.645
8.7,-0.1139,0.3832,0.4805,0.5327,0.5384,0.5356,0.4901,0.5025,0.4963,0.6356,0.6623,0.6489
8.8,-0.1036,0.3674,0.5017,0.5236,0.5287,0.5262,0.4886,0.5031,0.4958,0.6371,0.6666,0.6518
8.9,-0.092,0.3517,0.5226,0.515,0.519,0.517,0.4897,0.5046,0.4971,0.6378,0.67,0.6539
9,-0.0808,0.3368,0.5425,0.5069,0.5108,0.5089,0.4934,0.5073,0.5004,0.6382,0.6723,0.6552
9.1,-0.0716,0.3234,0.5603,0.4994,0.5051,0.5022,0.4991,0.5117,0.5054,0.6381,0.673,0.6555
9.2,-0.0658,0.3124,0.5749,0.4931,0.5019,0.4975,0.5058,0.5176,0.5117,0.6372,0.6714,0.6543
9.3,-0.0644,0.304,0.5844,0.4882,0.5007,0.4944,0.5127,0.524,0.5184,0.6351,0.6672,0.6512
9.4,-0.0685,0.2988,0.5867,0.4846,0.501,0.4928,0.5196,0.5301,0.5249,0.6317,0.6604,0.646
9.5,-0.0784,0.2966,0.5811,0.4819,0.5027,0.4923,0.5259,0.5349,0.5304,0.6273,0.6512,0.6393
9.6,-0.0931,0.2973,0.5679,0.4794,0.5055,0.4925,0.5313,0.5383,0.5348,0.6222,0.64,0.6311
9.7,-0.1109,0.3007,0.5484,0.4774,0.5098,0.4936,0.5352,0.5408,0.538,0.6168,0.627,0.6219
9.8,-0.1298,0.3065,0.5241,0.4765,0.516,0.4962,0.5368,0.5429,0.5399,0.6112,0.6125,0.6118
9.9,-0.1492,0.3148,0.4965,0.4774,0.5244,0.5009,0.5354,0.5453,0.5403,0.6057,0.5969,0.6013
10,-0.1693,0.3255,0.4672,0.48,0.5351,0.5076,0.5303,0.5483,0.5393,0.6008,0.5809,0.5909
10.1,-0.1904,0.3387,0.4382,0.4841,0.5481,0.5161,0.5217,0.5522,0.537,0.5968,0.565,0.5809
10.2,-0.2124,0.3543,0.411,0.4894,0.5631,0.5262,0.5102,0.5569,0.5335,0.5938,0.5495,0.5716
10.3,-0.2346,0.3721,0.3867,0.4955,0.58,0.5377,0.4962,0.5623,0.5293,0.5918,0.5345,0.5632
10.4,-0.2564,0.3914,0.3659,0.5024,0.5987,0.5505,0.4807,0.5685,0.5246,0.5912,0.5203,0.5557
10.5,-0.278,0.4117,0.349,0.5101,0.6189,0.5645,0.4642,0.5752,0.5197,0.592,0.5071,0.5495
10.6,-0.2997,0.4324,0.337,0.5183,0.64,0.5791,0.4475,0.5819,0.5147,0.5947,0.4959,0.5453
10.7,-0.3211,0.4531,0.3304,0.5268,0.6613,0.594,0.4317,0.5884,0.51,0.6001,0.4873,0.5437
10.8,-0.3412,0.4731,0.3295,0.5357,0.6821,0.6089,0.4181,0.5945,0.5063,0.6088,0.4819,0.5453
10.9,-0.3591,0.4919,0.3344,0.5453,0.7019,0.6236,0.4076,0.6008,0.5042,0.6211,0.4798,0.5504
11,-0.3748,0.5091,0.344,0.556,0.7207,0.6383,0.4005,0.6077,0.5041,0.6366,0.4807,0.5586
11.1,-0.3875,0.5246,0.3572,0.5677,0.738,0.6529,0.397,0.615,0.506,0.6542,0.4839,0.5691
11.2,-0.3965,0.5383,0.3727,0.5801,0.7533,0.6667,0.3972,0.6223,0.5097,0.6728,0.4889,0.5808
11.3,-0.4004,0.5501,0.3896,0.5927,0.7653,0.679,0.4017,0.629,0.5153,0.6912,0.495,0.5931
11.4,-0.3982,0.5599,0.4069,0.6058,0.7735,0.6897,0.4107,0.6348,0.5227,0.709,0.5018,0.6054
11.5,-0.3902,0.5681,0.4234,0.6193,0.7773,0.6983,0.4245,0.6391,0.5318,0.726,0.5091,0.6176
11.6,-0.3777,0.5751,0.4384,0.6329,0.7767,0.7048,0.4431,0.6421,0.5426,0.7422,0.5167,0.6295
11.7,-0.3621,0.5815,0.4515,0.6457,0.7716,0.7087,0.4661,0.6438,0.5549,0.7571,0.5244,0.6407
11.8,-0.3443,0.5877,0.4628,0.6565,0.7621,0.7093,0.4926,0.6443,0.5685,0.7701,0.5317,0.6509
11.9,-0.3246,0.5943,0.472,0.6647,0.7484,0.7066,0.5213,0.6435,0.5824,0.7803,0.5385,0.6594
12,-0.3033,0.6021,0.4787,0.6708,0.7311,0.701,0.5503,0.6411,0.5957,0.7876,0.5448,0.6662
12.1,-0.2815,0.6121,0.4826,0.6756,0.7117,0.6936,0.5782,0.6376,0.6079,0.7925,0.5511,0.6718
12.2,-0.2609,0.6251,0.4836,0.6795,0.6912,0.6854,0.6031,0.6332,0.6182,0.7956,0.5575,0.6766
12.3,-0.2431,0.6404,0.482,0.6819,0.6701,0.676,0.6234,0.6284,0.6259,0.7972,0.5637,0.6805
12.4,-0.2292,0.6567,0.4777,0.6819,0.6478,0.6648,0.6372,0.6227,0.63,0.7968,0.5692,0.683
12.5,-0.219,0.6726,0.4707,0.6791,0.6238,0.6514,0.6438,0.6159,0.6298,0.7938,0.5733,0.6836
12.6,-0.2119,0.687,0.4612,0.6737,0.5986,0.6362,0.6432,0.6072,0.6252,0.7879,0.576,0.6819
12.7,-0.2071,0.6992,0.4498,0.6661,0.5731,0.6196,0.6366,0.5968,0.6167,0.7788,0.5774,0.6781
12.8,-0.2037,0.7086,0.4375,0.6564,0.548,0.6022,0.6246,0.5852,0.6049,0.7669,0.5778,0.6724
12.9,-0.201,0.7142,0.4253,0.6447,0.5241,0.5844,0.608,0.5732,0.5906,0.7529,0.5772,0.665
13,-0.1987,0.7159,0.4141,0.6315,0.5015,0.5665,0.5874,0.5615,0.5744,0.7372,0.5755,0.6563
13.1,-0.1971,0.7142,0.4048,0.6179,0.4809,0.5494,0.5645,0.5505,0.5575,0.7204,0.5732,0.6468
13.2,-0.1975,0.7104,0.3978,0.6049,0.4629,0.5339,0.5407,0.5409,0.5408,0.7032,0.5707,0.6369
13.3,-0.2013,0.7053,0.3929,0.593,0.4486,0.5208,0.5178,0.5329,0.5253,0.6862,0.5684,0.6273
13.4,-0.2088,0.6992,0.3898,0.582,0.4383,0.5101,0.4971,0.5272,0.5122,0.6703,0.5665,0.6184
13.5,-0.2187,0.6919,0.3875,0.572,0.4322,0.5021,0.4801,0.5242,0.5022,0.656,0.565,0.6105
13.6,-0.2293,0.6835,0.3853,0.5639,0.4304,0.4971,0.4682,0.5241,0.4962,0.6436,0.5638,0.6037
13.7,-0.2396,0.6746,0.383,0.5583,0.4328,0.4955,0.462,0.5263,0.4941,0.6333,0.5631,0.5982
13.8,-0.249,0.6657,0.3806,0.5555,0.4391,0.4973,0.4607,0.5301,0.4954,0.6251,0.5629,0.594
13.9,-0.2562,0.6573,0.3781,0.5554,0.4487,0.502,0.4635,0.535,0.4993,0.6188,0.563,0.5909
14,-0.2601,0.6495,0.3757,0.5577,0.4609,0.5093,0.4696,0.5411,0.5053,0.6139,0.563,0.5884
14.1,-0.2598,0.6422,0.3735,0.5625,0.4751,0.5188,0.4786,0.5486,0.5136,0.6096,0.5623,0.586
14.2,-0.255,0.6351,0.372,0.5694,0.4904,0.5299,0.4905,0.5574,0.5239,0.6053,0.5606,0.583
14.3,-0.2457,0.6281,0.3716,0.578,0.5056,0.5418,0.5048,0.567,0.5359,0.6006,0.5579,0.5793
14.4,-0.2315,0.621,0.3725,0.5876,0.5192,0.5534,0.5207,0.5767,0.5487,0.5954,0.5545,0.575
14.5,-0.212,0.6139,0.3748,0.5977,0.5299,0.5638,0.5374,0.5859,0.5617,0.59,0.5507,0.5704
14.6,-0.1872,0.6072,0.3785,0.6083,0.5374,0.5728,0.5547,0.5946,0.5746,0.5848,0.5471,0.5659
14.7,-0.1583,0.6008,0.3834,0.619,0.5417,0.5804,0.5725,0.6025,0.5875,0.5804,0.544,0.5622
14.8,-0.1271,0.5945,0.3894,0.6292,0.543,0.5861,0.5902,0.6091,0.5997,0.5774,0.5421,0.5598
14.9,-0.0954,0.5878,0.3963,0.6378,0.541,0.5894,0.6072,0.614,0.6106,0.5765,0.5421,0.5593
15,-0.0642,0.5803,0.4034,0.6437,0.5354,0.5895,0.6226,0.6166,0.6196,0.5774,0.5439,0.5606
15.1,-0.0341,0.5723,0.4099,0.6464,0.5266,0.5865,0.6357,0.6165,0.6261,0.5799,0.5467,0.5633
15.2,-0.0052,0.5643,0.415,0.6463,0.5155,0.5809,0.6462,0.6135,0.6299,0.5836,0.5504,0.567
15.3,0.0221,0.5568,0.418,0.6442,0.5028,0.5735,0.6541,0.6074,0.6307,0.5882,0.5547,0.5715
15.4,0.0468,0.55,0.4184,0.6404,0.4891,0.5648,0.6589,0.5978,0.6284,0.5932,0.5597,0.5764
15.5,0.0677,0.5434,0.4164,0.6347,0.4749,0.5548,0.6605,0.5852,0.6229,0.598,0.5649,0.5815
15.6,0.084,0.5364,0.412,0.6264,0.4599,0.5431,0.659,0.5702,0.6146,0.6021,0.5698,0.586
15.7,0.0956,0.5281,0.4056,0.6149,0.444,0.5295,0.6543,0.5536,0.6039,0.6047,0.5742,0.5895
15.8,0.1023,0.5182,0.397,0.6004,0.4275,0.5139,0.6462,0.5358,0.591,0.6054,0.5776,0.5915
15.9,0.1038,0.5066,0.3863,0.5836,0.4109,0.4972,0.635,0.517,0.576,0.6041,0.5801,0.5921
16,0.1001,0.4945,0.3737,0.5655,0.395,0.4802,0.621,0.4972,0.5591,0.6014,0.5817,0.5915
16.1,0.0918,0.4828,0.3595,0.5464,0.3806,0.4635,0.605,0.4772,0.5411,0.5974,0.5817,0.5896
16.2,0.0795,0.4722,0.3437,0.5261,0.368,0.4471,0.5877,0.4576,0.5227,0.5927,0.5794,0.5861
16.3,0.0641,0.4626,0.3264,0.5045,0.3571,0.4308,0.5696,0.4392,0.5044,0.5874,0.5744,0.5809
16.4,0.0468,0.4544,0.3081,0.4823,0.3481,0.4152,0.5513,0.4229,0.4871,0.5814,0.5672,0.5743
16.5,0.0291,0.4483,0.2892,0.4605,0.3417,0.4011,0.5337,0.4098,0.4717,0.5749,0.5582,0.5665
16.6,0.0124,0.4447,0.2705,0.4399,0.3388,0.3894,0.5179,0.4008,0.4594,0.5677,0.5479,0.5578
16.7,-0.0024,0.4439,0.2525,0.4209,0.3396,0.3803,0.5046,0.397,0.4508,0.56,0.536,0.548
16.8,-0.0144,0.4454,0.2357,0.4033,0.3439,0.3736,0.4941,0.3989,0.4465,0.5515,0.5219,0.5367
16.9,-0.0227,0.4492,0.2209,0.3875,0.3516,0.3696,0.4867,0.4062,0.4464,0.5421,0.5057,0.5239
17,-0.0263,0.4553,0.2093,0.3744,0.3627,0.3686,0.482,0.4187,0.4503,0.5315,0.4879,0.5097
17.1,-0.0241,0.4641,0.2022,0.3648,0.3774,0.3711,0.4799,0.4362,0.458,0.52,0.4689,0.4945
17.2,-0.0152,0.4761,0.2008,0.3589,0.3961,0.3775,0.4804,0.4589,0.4697,0.5085,0.4498,0.4791
17.3,0.0011,0.4911,0.2061,0.3574,0.419,0.3882,0.484,0.4872,0.4856,0.4977,0.4312,0.4644
17.4,0.025,0.5087,0.219,0.3612,0.4455,0.4034,0.4912,0.5208,0.506,0.488,0.4137,0.4509
17.5,0.0565,0.5284,0.2398,0.3713,0.4748,0.4231,0.5025,0.5586,0.5305,0.4799,0.3982,0.439
17.6,0.0952,0.5499,0.2675,0.3888,0.5054,0.4471,0.5184,0.5988,0.5586,0.4742,0.3855,0.4298
17.7,0.1406,0.5729,0.3009,0.4138,0.5358,0.4748,0.5387,0.6397,0.5892,0.4719,0.3764,0.4241
17.8,0.1912,0.5973,0.3381,0.4456,0.5655,0.5055,0.5625,0.6797,0.6211,0.4734,0.3711,0.4223
17.9,0.2443,0.6229,0.3776,0.4827,0.594,0.5383,0.5889,0.717,0.653,0.4788,0.3695,0.4241
18,0.2972,0.6487,0.4177,0.5231,0.6203,0.5717,0.6165,0.7493,0.6829,0.4877,0.3711,0.4294
18.1,0.3476,0.6732,0.4565,0.5645,0.6432,0.6038,0.6439,0.7745,0.7092,0.4998,0.3761,0.4379
18.2,0.3943,0.6949,0.4923,0.6045,0.6612,0.6329,0.6703,0.7919,0.7311,0.5147,0.3846,0.4497
18.3,0.4366,0.7131,0.5241,0.6417,0.6737,0.6577,0.6956,0.802,0.7488,0.5319,0.3967,0.4643
18.4,0.4733,0.7278,0.5512,0.6753,0.6807,0.678,0.7192,0.8059,0.7626,0.55,0.4113,0.4806
18.5,0.5028,0.7393,0.5742,0.7053,0.6825,0.6939,0.7403,0.8051,0.7727,0.5676,0.4278,0.4977
18.6,0.5237,0.7476,0.5933,0.7317,0.6796,0.7056,0.758,0.8008,0.7794,0.5837,0.4457,0.5147
18.7,0.5352,0.7522,0.6086,0.7542,0.6725,0.7134,0.7709,0.7935,0.7822,0.5973,0.4648,0.5311
18.8,0.5371,0.7525,0.6202,0.7722,0.6618,0.717,0.7785,0.7843,0.7814,0.6081,0.485,0.5466
18.9,0.5302,0.748,0.6284,0.7852,0.6476,0.7164,0.781,0.7742,0.7776,0.616,0.5058,0.5609
19,0.516,0.7389,0.6332,0.7933,0.6302,0.7118,0.7794,0.764,0.7717,0.6213,0.5262,0.5738
19.1,0.4963,0.7255,0.6347,0.7971,0.6099,0.7035,0.7748,0.7538,0.7643,0.624,0.5455,0.5848
19.2,0.4721,0.7085,0.6325,0.797,0.5874,0.6922,0.7681,0.7431,0.7556,0.6242,0.5631,0.5936
19.3,0.4443,0.6887,0.6263,0.7936,0.5633,0.6784,0.7605,0.732,0.7462,0.6223,0.5788,0.6005
19.4,0.4138,0.6668,0.6166,0.787,0.5379,0.6624,0.7525,0.7207,0.7366,0.6186,0.5925,0.6056
19.5,0.3826,0.6431,0.6039,0.7769,0.5111,0.644,0.7443,0.7101,0.7272,0.6133,0.6042,0.6088
19.6,0.3527,0.6173,0.5893,0.7635,0.4831,0.6233,0.7356,0.7006,0.7181,0.6069,0.6138,0.6104
19.7,0.3253,0.5897,0.5737,0.7471,0.4539,0.6005,0.7263,0.6923,0.7093,0.5995,0.6214,0.6105
19.8,0.3007,0.5608,0.5575,0.7285,0.4242,0.5763,0.7163,0.6852,0.7008,0.5915,0.6268,0.6091
19.9,0.2781,0.5316,0.5411,0.7078,0.3942,0.551,0.7062,0.6788,0.6925,0.5829,0.6296,0.6062
20,0.2571,0.503,0.5247,0.6852,0.3645,0.5248,0.6964,0.6726,0.6845,0.5738,0.6295,0.6016
20.1,0.2366,0.4755,0.5086,0.6605,0.3356,0.4981,0.6871,0.6662,0.6766,0.5642,0.6264,0.5953
20.2,0.2159,0.4492,0.4932,0.6346,0.3085,0.4716,0.6784,0.6591,0.6687,0.5544,0.6205,0.5875
20.3,0.1947,0.4242,0.4793,0.6082,0.284,0.4461,0.6707,0.651,0.6608,0.545,0.6123,0.5787
20.4,0.1731,0.4005,0.4674,0.5823,0.2626,0.4225,0.6643,0.6419,0.6531,0.5366,0.602,0.5693
20.5,0.151,0.3781,0.4581,0.5573,0.2445,0.4009,0.6596,0.6322,0.6459,0.5295,0.59,0.5597
20.6,0.1279,0.3571,0.4519,0.5333,0.2298,0.3815,0.6571,0.6224,0.6397,0.5242,0.5768,0.5505
20.7,0.1037,0.3371,0.449,0.5102,0.2188,0.3645,0.6572,0.6128,0.635,0.521,0.5634,0.5422
20.8,0.078,0.3178,0.4496,0.4879,0.2119,0.3499,0.6597,0.6038,0.6317,0.5201,0.5503,0.5352
20.9,0.0505,0.299,0.4534,0.4669,0.2095,0.3382,0.6643,0.5954,0.6298,0.5221,0.5384,0.5302
21,0.0214,0.2812,0.4603,0.4478,0.2119,0.3298,0.6708,0.5877,0.6293,0.5272,0.5282,0.5277
