Time,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC,SunSmart - Two Sides of the Sun 15s TVC
1.4,-0.3044,0.4896,0.6623,0.6227,0.9903,0.8065,0.5482,0.9293,0.7387,0.6454,0.5885,0.6169
1.5,-0.3182,0.511,0.6537,0.6304,1.0032,0.8168,0.5568,0.9451,0.7509,0.6453,0.5769,0.6111
1.6,-0.3249,0.5291,0.6463,0.6368,1.0093,0.823,0.5667,0.9598,0.7633,0.645,0.5671,0.606
1.7,-0.3243,0.5445,0.6409,0.6423,1.0081,0.8252,0.5779,0.9729,0.7754,0.6445,0.5589,0.6017
1.8,-0.3159,0.5577,0.6382,0.6478,0.9999,0.8238,0.5905,0.9844,0.7874,0.6444,0.5524,0.5984
1.9,-0.2999,0.5693,0.639,0.6535,0.9854,0.8195,0.6039,0.9943,0.7991,0.6452,0.5483,0.5967
2,-0.2775,0.5796,0.6439,0.6592,0.9659,0.8125,0.6174,1.0024,0.8099,0.6469,0.5468,0.5969
2.1,-0.2502,0.5883,0.6534,0.6645,0.9429,0.8037,0.6302,1.0083,0.8193,0.6495,0.548,0.5987
2.2,-0.219,0.5954,0.6674,0.669,0.9177,0.7934,0.642,1.0118,0.8269,0.6523,0.5513,0.6018
2.3,-0.1842,0.601,0.6853,0.6733,0.8912,0.7822,0.653,1.0129,0.833,0.6551,0.5563,0.6057
2.4,-0.1461,0.6059,0.7063,0.6779,0.8647,0.7713,0.6634,1.0126,0.838,0.6582,0.5628,0.6105
2.5,-0.1057,0.6105,0.7298,0.6836,0.8395,0.7616,0.6729,1.0114,0.8421,0.6621,0.5709,0.6165
2.6,-0.0653,0.615,0.755,0.6906,0.8168,0.7537,0.6812,1.0094,0.8453,0.6669,0.5805,0.6237
2.7,-0.0275,0.6191,0.781,0.6982,0.7967,0.7475,0.6881,1.0057,0.8469,0.6725,0.5912,0.6319
2.8,0.0071,0.6222,0.8067,0.7063,0.7782,0.7423,0.6937,0.9998,0.8468,0.6788,0.6024,0.6406
2.9,0.0391,0.6238,0.8309,0.715,0.7606,0.7378,0.6985,0.9919,0.8452,0.6854,0.6132,0.6493
3,0.0695,0.6237,0.8522,0.7246,0.7437,0.7341,0.7025,0.9823,0.8424,0.6915,0.6225,0.657
3.1,0.0982,0.6225,0.8704,0.735,0.7277,0.7314,0.7056,0.9715,0.8386,0.6968,0.6297,0.6632
3.2,0.1243,0.6205,0.8853,0.7454,0.7126,0.729,0.7079,0.96,0.8339,0.7016,0.6348,0.6682
3.3,0.147,0.618,0.8967,0.7551,0.6978,0.7264,0.7095,0.9479,0.8287,0.7063,0.638,0.6722
3.4,0.1661,0.6147,0.9044,0.7639,0.6824,0.7231,0.7111,0.9356,0.8233,0.7111,0.6391,0.6751
3.5,0.182,0.6104,0.9082,0.7722,0.6661,0.7192,0.7127,0.9232,0.818,0.7153,0.6379,0.6766
3.6,0.1949,0.6047,0.908,0.7803,0.6495,0.7149,0.7142,0.9107,0.8125,0.7179,0.6338,0.6759
3.7,0.2032,0.597,0.9042,0.7882,0.633,0.7106,0.7149,0.8975,0.8062,0.7184,0.6269,0.6727
3.8,0.2056,0.587,0.8969,0.7948,0.617,0.7059,0.7139,0.8826,0.7983,0.7168,0.6175,0.6672
3.9,0.2014,0.5744,0.8866,0.7995,0.6016,0.7005,0.7109,0.8653,0.7881,0.7137,0.606,0.6599
4,0.1906,0.5591,0.874,0.8021,0.5872,0.6947,0.7058,0.8456,0.7757,0.7097,0.593,0.6513
4.1,0.1735,0.5416,0.8598,0.8032,0.5744,0.6888,0.6994,0.8235,0.7614,0.7045,0.5788,0.6417
4.2,0.151,0.5225,0.8446,0.8031,0.5637,0.6834,0.6922,0.7996,0.7459,0.6981,0.5638,0.631
4.3,0.1236,0.5027,0.8285,0.802,0.5552,0.6786,0.6847,0.7743,0.7295,0.6898,0.5481,0.619
4.4,0.0919,0.4832,0.8117,0.7987,0.5483,0.6735,0.6764,0.7483,0.7123,0.6794,0.5314,0.6054
4.5,0.0571,0.4643,0.7943,0.7916,0.5429,0.6673,0.667,0.7221,0.6945,0.6671,0.5137,0.5904
4.6,0.0196,0.4469,0.7757,0.7802,0.5395,0.6599,0.6565,0.6967,0.6766,0.6539,0.496,0.575
4.7,-0.0197,0.4314,0.7554,0.7649,0.5386,0.6517,0.6453,0.6729,0.6591,0.6405,0.4793,0.5599
4.8,-0.0593,0.4181,0.7327,0.7461,0.5397,0.6429,0.6332,0.6511,0.6421,0.627,0.4646,0.5458
4.9,-0.0977,0.407,0.7077,0.7245,0.5417,0.6331,0.6201,0.6316,0.6258,0.614,0.4531,0.5336
5,-0.1332,0.3973,0.6815,0.7005,0.5435,0.622,0.6066,0.6146,0.6106,0.602,0.4459,0.5239
5.1,-0.1642,0.3882,0.6549,0.6743,0.5442,0.6092,0.5933,0.6002,0.5967,0.5922,0.4439,0.518
5.2,-0.1893,0.3785,0.6282,0.646,0.5429,0.5944,0.5806,0.5883,0.5845,0.5856,0.448,0.5168
5.3,-0.2074,0.3679,0.6016,0.6161,0.539,0.5776,0.5688,0.5785,0.5737,0.583,0.4585,0.5208
5.4,-0.2171,0.3565,0.5754,0.5861,0.5318,0.559,0.5586,0.5702,0.5644,0.5842,0.4752,0.5297
5.5,-0.2179,0.3448,0.5499,0.5575,0.5215,0.5395,0.5509,0.5637,0.5573,0.5891,0.497,0.543
5.6,-0.2104,0.3334,0.5256,0.5316,0.5085,0.52,0.5465,0.5592,0.5528,0.5977,0.5222,0.56
5.7,-0.1957,0.3228,0.5027,0.5094,0.4939,0.5016,0.5454,0.557,0.5512,0.61,0.5496,0.5798
5.8,-0.1748,0.3138,0.4815,0.4918,0.4789,0.4853,0.5472,0.5571,0.5522,0.6251,0.5777,0.6014
5.9,-0.148,0.3068,0.4624,0.4791,0.4647,0.4719,0.5511,0.5593,0.5552,0.6417,0.6053,0.6235
6,-0.1164,0.3023,0.4456,0.4714,0.4519,0.4616,0.5565,0.5633,0.5599,0.6579,0.631,0.6445
6.1,-0.0813,0.3007,0.4313,0.4683,0.4413,0.4548,0.5633,0.5687,0.566,0.6724,0.654,0.6632
6.2,-0.0443,0.3021,0.4194,0.4697,0.4336,0.4516,0.5712,0.5752,0.5732,0.685,0.6738,0.6794
6.3,-0.0067,0.307,0.4097,0.4752,0.4297,0.4524,0.5802,0.5828,0.5815,0.6957,0.6907,0.6932
6.4,0.0304,0.3156,0.4021,0.4847,0.4303,0.4575,0.5904,0.5918,0.5911,0.7045,0.7051,0.7048
6.5,0.0662,0.3279,0.3966,0.4981,0.4357,0.4669,0.6015,0.6028,0.6022,0.7114,0.7176,0.7145
6.6,0.1003,0.3433,0.3929,0.5146,0.4454,0.48,0.6135,0.616,0.6148,0.7158,0.7281,0.722
6.7,0.1321,0.3605,0.3905,0.5336,0.4589,0.4962,0.6261,0.6313,0.6287,0.7173,0.7362,0.7268
6.8,0.1605,0.3782,0.3887,0.5546,0.4757,0.5152,0.6394,0.6482,0.6438,0.7152,0.7412,0.7282
6.9,0.1844,0.3957,0.3874,0.5775,0.4955,0.5365,0.6532,0.666,0.6596,0.7093,0.7427,0.726
7,0.2032,0.4131,0.3861,0.6019,0.518,0.56,0.6672,0.6846,0.6759,0.7004,0.741,0.7207
7.1,0.2166,0.4306,0.3844,0.6272,0.5429,0.5851,0.6818,0.7044,0.6931,0.6896,0.7369,0.7132
7.2,0.2249,0.4481,0.3822,0.6525,0.5698,0.6111,0.6971,0.7253,0.7112,0.6781,0.731,0.7045
7.3,0.2285,0.4652,0.3796,0.677,0.5986,0.6378,0.7132,0.7477,0.7304,0.6663,0.7237,0.695
7.4,0.2278,0.4817,0.3766,0.7001,0.6291,0.6646,0.7299,0.7716,0.7508,0.6546,0.7156,0.6851
7.5,0.2233,0.4969,0.3735,0.7214,0.6607,0.691,0.7469,0.7969,0.7719,0.643,0.7069,0.675
7.6,0.2159,0.5104,0.3707,0.7399,0.6919,0.7159,0.7634,0.8232,0.7933,0.632,0.698,0.665
7.7,0.2066,0.5211,0.3685,0.754,0.7206,0.7373,0.7785,0.8494,0.8139,0.622,0.6889,0.6554
7.8,0.1974,0.5282,0.3666,0.7624,0.7446,0.7535,0.7908,0.874,0.8324,0.6138,0.6799,0.6468
7.9,0.1908,0.5305,0.3648,0.7647,0.7624,0.7635,0.7995,0.8958,0.8477,0.6078,0.6713,0.6396
8,0.189,0.5277,0.3632,0.7615,0.7729,0.7672,0.8045,0.9142,0.8594,0.6039,0.6635,0.6337
8.1,0.1938,0.5196,0.3622,0.7537,0.7753,0.7645,0.8058,0.9289,0.8674,0.6019,0.6559,0.6289
8.2,0.2051,0.5068,0.3622,0.7416,0.769,0.7553,0.8032,0.9391,0.8712,0.601,0.6477,0.6243
8.3,0.2215,0.4907,0.3638,0.7258,0.7547,0.7402,0.7969,0.9443,0.8706,0.6008,0.6386,0.6197
8.4,0.2413,0.4728,0.3669,0.7074,0.7339,0.7206,0.7873,0.9443,0.8658,0.6013,0.6285,0.6149
8.5,0.2631,0.4545,0.371,0.6877,0.7082,0.6979,0.775,0.9396,0.8573,0.6023,0.6177,0.61
8.6,0.2852,0.4369,0.3758,0.6679,0.679,0.6735,0.7606,0.9312,0.8459,0.603,0.6062,0.6046
8.7,0.3062,0.4211,0.381,0.6494,0.6485,0.649,0.7446,0.9197,0.8322,0.6023,0.5939,0.5981
8.8,0.3249,0.4082,0.3865,0.6328,0.619,0.6259,0.7275,0.9058,0.8167,0.5997,0.5801,0.5899
8.9,0.3406,0.399,0.3911,0.6183,0.5927,0.6055,0.7099,0.8901,0.8,0.5948,0.5646,0.5797
9,0.3535,0.3938,0.3938,0.6062,0.5707,0.5884,0.6923,0.8733,0.7828,0.5877,0.547,0.5673
9.1,0.3639,0.3929,0.3938,0.5968,0.5531,0.575,0.6753,0.8559,0.7656,0.5781,0.5273,0.5527
9.2,0.3726,0.3963,0.391,0.5906,0.5397,0.5651,0.6589,0.8386,0.7488,0.5657,0.5056,0.5356
9.3,0.3793,0.4037,0.3856,0.5874,0.5298,0.5586,0.6428,0.8215,0.7321,0.5502,0.4822,0.5162
9.4,0.383,0.4146,0.3783,0.5866,0.5225,0.5546,0.6267,0.8052,0.7159,0.5321,0.4575,0.4948
9.5,0.3832,0.4279,0.3693,0.5873,0.517,0.5522,0.6108,0.7901,0.7005,0.5123,0.4321,0.4722
9.6,0.3801,0.4425,0.3589,0.589,0.5118,0.5504,0.5956,0.7766,0.6861,0.4917,0.4066,0.4492
9.7,0.3751,0.4574,0.347,0.5913,0.5059,0.5486,0.581,0.7645,0.6727,0.4704,0.3814,0.4259
9.8,0.369,0.4723,0.3338,0.5942,0.4985,0.5463,0.5672,0.7538,0.6605,0.4483,0.3564,0.4024
9.9,0.362,0.4869,0.319,0.5975,0.4896,0.5436,0.5541,0.7446,0.6494,0.4256,0.3315,0.3786
10,0.3541,0.501,0.3026,0.6012,0.4793,0.5403,0.5415,0.7369,0.6392,0.403,0.3067,0.3549
10.1,0.3453,0.5144,0.285,0.605,0.4677,0.5364,0.5293,0.7301,0.6297,0.3816,0.2826,0.3321
10.2,0.3357,0.5271,0.2671,0.6089,0.455,0.532,0.5177,0.7231,0.6204,0.3618,0.2602,0.311
10.3,0.3256,0.539,0.2503,0.6126,0.4416,0.5271,0.5074,0.7147,0.611,0.3443,0.2406,0.2925
10.4,0.3144,0.55,0.2357,0.6157,0.4282,0.522,0.499,0.7044,0.6017,0.33,0.2254,0.2777
10.5,0.302,0.5593,0.2246,0.6174,0.4148,0.5161,0.4925,0.6918,0.5921,0.3198,0.2154,0.2676
10.6,0.2892,0.566,0.2183,0.6174,0.4015,0.5094,0.4873,0.6764,0.5819,0.314,0.2113,0.2627
10.7,0.2773,0.5698,0.2172,0.6159,0.3888,0.5023,0.483,0.6582,0.5706,0.3129,0.2133,0.2631
10.8,0.2674,0.5701,0.2213,0.613,0.3768,0.4949,0.4795,0.637,0.5582,0.3163,0.221,0.2686
10.9,0.2594,0.5666,0.2299,0.6082,0.3659,0.487,0.4769,0.6128,0.5449,0.3241,0.2338,0.279
11,0.2524,0.5591,0.2421,0.6001,0.3564,0.4783,0.4757,0.5861,0.5309,0.3366,0.2516,0.2941
11.1,0.245,0.5475,0.2573,0.5881,0.3483,0.4682,0.4756,0.5583,0.5169,0.354,0.2746,0.3143
11.2,0.2369,0.5326,0.2751,0.5726,0.3418,0.4572,0.4763,0.5305,0.5034,0.3763,0.3026,0.3395
11.3,0.2288,0.5161,0.2956,0.555,0.337,0.446,0.4775,0.5039,0.4907,0.4031,0.3354,0.3692
11.4,0.2219,0.4993,0.3184,0.5364,0.3341,0.4353,0.4796,0.4797,0.4796,0.4335,0.372,0.4027
11.5,0.2155,0.4827,0.343,0.5166,0.3328,0.4247,0.4828,0.4581,0.4704,0.467,0.4114,0.4392
11.6,0.2084,0.4663,0.3686,0.4951,0.3325,0.4138,0.4873,0.4396,0.4634,0.503,0.4532,0.4781
11.7,0.2005,0.4503,0.3949,0.4717,0.3324,0.402,0.4932,0.4244,0.4588,0.5411,0.4973,0.5192
11.8,0.193,0.4349,0.4219,0.4466,0.3314,0.389,0.5003,0.4127,0.4565,0.5807,0.5438,0.5623
11.9,0.1876,0.4207,0.45,0.4206,0.3281,0.3744,0.5084,0.4046,0.4565,0.621,0.5917,0.6064
12,0.1853,0.4081,0.4791,0.3946,0.322,0.3583,0.5173,0.3996,0.4584,0.661,0.639,0.65
12.1,0.1867,0.3974,0.5088,0.3696,0.3135,0.3415,0.5268,0.3974,0.4621,0.6996,0.6836,0.6916
12.2,0.1911,0.3889,0.5382,0.3465,0.3036,0.325,0.5368,0.3976,0.4672,0.7364,0.7242,0.7303
12.3,0.1978,0.3822,0.5667,0.3256,0.2928,0.3092,0.5473,0.4001,0.4737,0.7713,0.7603,0.7658
12.4,0.2061,0.3775,0.5942,0.307,0.281,0.294,0.5584,0.4044,0.4814,0.8044,0.7927,0.7986
12.5,0.2147,0.3746,0.6208,0.2909,0.2681,0.2795,0.5697,0.4102,0.4899,0.8366,0.8225,0.8295
12.6,0.2224,0.3732,0.6465,0.2768,0.2542,0.2655,0.5803,0.4171,0.4987,0.8684,0.8508,0.8596
12.7,0.2287,0.3726,0.6704,0.2645,0.2399,0.2522,0.5893,0.4245,0.5069,0.9003,0.8787,0.8895
12.8,0.2336,0.3721,0.6919,0.2542,0.2259,0.2401,0.5962,0.4321,0.5142,0.9327,0.9066,0.9197
12.9,0.2378,0.3714,0.7108,0.2465,0.2132,0.2299,0.6014,0.44,0.5207,0.9658,0.935,0.9504
13,0.2415,0.3708,0.7268,0.2423,0.2023,0.2223,0.6055,0.4486,0.527,0.9993,0.9638,0.9816
13.1,0.2445,0.3707,0.74,0.2425,0.1938,0.2182,0.6091,0.4581,0.5336,1.0328,0.9931,1.0129
13.2,0.2463,0.3717,0.7512,0.2477,0.1888,0.2182,0.6125,0.4689,0.5407,1.0652,1.0224,1.0438
13.3,0.2461,0.3742,0.7621,0.2578,0.1876,0.2227,0.6154,0.4808,0.5481,1.0954,1.0511,1.0733
13.4,0.2427,0.3781,0.7741,0.2721,0.1898,0.2309,0.6168,0.4936,0.5552,1.1223,1.0783,1.1003
13.5,0.2345,0.3829,0.7872,0.289,0.1947,0.2419,0.6164,0.5073,0.5618,1.1451,1.1033,1.1242
13.6,0.2199,0.3877,0.8001,0.3066,0.2017,0.2542,0.6144,0.5224,0.5684,1.1634,1.1251,1.1443
13.7,0.1983,0.3915,0.8118,0.3231,0.2093,0.2662,0.6112,0.5395,0.5754,1.1774,1.1436,1.1605
13.8,0.1708,0.3932,0.8222,0.3368,0.2164,0.2766,0.6067,0.5593,0.583,1.1872,1.1582,1.1727
13.9,0.139,0.3923,0.8314,0.3461,0.222,0.284,0.6003,0.5816,0.591,1.1921,1.1678,1.18
14,0.1045,0.3894,0.8392,0.3504,0.2259,0.2881,0.5921,0.6058,0.5989,1.1916,1.1714,1.1815
14.1,0.0677,0.3855,0.8445,0.3492,0.2288,0.289,0.5832,0.631,0.6071,1.1853,1.1683,1.1768
14.2,0.0294,0.3803,0.8464,0.3422,0.2306,0.2864,0.5746,0.6574,0.616,1.1734,1.1585,1.1659
14.3,-0.0089,0.373,0.8452,0.3292,0.2302,0.2797,0.5667,0.6848,0.6257,1.1568,1.1423,1.1496
14.4,-0.0445,0.3627,0.8428,0.3113,0.2267,0.269,0.5595,0.7131,0.6363,1.1363,1.1203,1.1283
14.5,-0.0747,0.3496,0.8418,0.2897,0.2193,0.2545,0.5535,0.7421,0.6478,1.1123,1.0929,1.1026
14.6,-0.0969,0.3341,0.843,0.2655,0.2081,0.2368,0.5492,0.7714,0.6603,1.0848,1.0606,1.0727
14.7,-0.1095,0.3161,0.8457,0.2396,0.1929,0.2163,0.5468,0.8006,0.6737,1.0539,1.0242,1.039
14.8,-0.1126,0.2956,0.8483,0.2126,0.1741,0.1933,0.546,0.8293,0.6876,1.02,0.984,1.002
14.9,-0.1071,0.2731,0.8499,0.1855,0.1522,0.1688,0.546,0.8576,0.7018,0.9838,0.9408,0.9623
