Time,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4,Progressive - Insurance 4
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.2,0.3116,0.6982,0.5602,0.5476,0.7676,0.6576,0.5007,0.6006,0.5506,0.667,0.5341,0.6006
6.3,0.3285,0.7034,0.5629,0.5551,0.7649,0.66,0.5184,0.5956,0.557,0.6753,0.5469,0.6111
6.4,0.3429,0.7122,0.5686,0.5656,0.7625,0.664,0.5389,0.5938,0.5664,0.6853,0.5609,0.6231
6.5,0.3543,0.7235,0.5768,0.5781,0.7607,0.6694,0.5621,0.5955,0.5788,0.697,0.5757,0.6364
6.6,0.3628,0.7363,0.5872,0.5916,0.76,0.6758,0.5875,0.6007,0.5941,0.7103,0.5907,0.6505
6.7,0.3683,0.7499,0.5996,0.6052,0.7602,0.6827,0.6141,0.6092,0.6116,0.7247,0.6052,0.6649
6.8,0.3708,0.7636,0.6136,0.6181,0.7608,0.6894,0.6407,0.6201,0.6304,0.7395,0.6182,0.6789
6.9,0.3698,0.7767,0.6281,0.6297,0.7613,0.6955,0.6661,0.6323,0.6492,0.7539,0.6288,0.6914
7,0.3658,0.7881,0.6424,0.6396,0.761,0.7003,0.6892,0.6447,0.667,0.7669,0.6365,0.7017
7.1,0.3597,0.7973,0.6561,0.6481,0.7601,0.7041,0.7095,0.6565,0.683,0.7779,0.6414,0.7097
7.2,0.3523,0.8043,0.6691,0.6556,0.7592,0.7074,0.7271,0.6676,0.6974,0.7867,0.644,0.7153
7.3,0.3444,0.8096,0.6816,0.6626,0.759,0.7108,0.7422,0.6781,0.7101,0.7931,0.6448,0.7189
7.4,0.336,0.8137,0.6933,0.6692,0.7601,0.7147,0.755,0.6875,0.7213,0.797,0.6441,0.7206
7.5,0.327,0.8169,0.7034,0.6752,0.7624,0.7188,0.7654,0.6957,0.7305,0.7986,0.6423,0.7205
7.6,0.3168,0.819,0.7111,0.6806,0.7658,0.7232,0.7733,0.7022,0.7377,0.7979,0.6396,0.7187
7.7,0.305,0.8201,0.7161,0.6855,0.77,0.7278,0.7787,0.707,0.7429,0.795,0.6368,0.7159
7.8,0.2903,0.8199,0.7187,0.6902,0.775,0.7326,0.7823,0.7108,0.7466,0.7905,0.6346,0.7126
7.9,0.2711,0.8183,0.7194,0.6947,0.7806,0.7376,0.7845,0.7141,0.7493,0.7851,0.6338,0.7094
8,0.2461,0.8151,0.7185,0.6991,0.7867,0.7429,0.7859,0.7172,0.7515,0.779,0.6347,0.7068
8.1,0.2152,0.8101,0.7159,0.7033,0.7934,0.7484,0.7864,0.7199,0.7532,0.7721,0.6372,0.7047
8.2,0.18,0.803,0.7111,0.7077,0.8004,0.754,0.7859,0.722,0.754,0.7646,0.6413,0.7029
8.3,0.1429,0.7939,0.7046,0.7126,0.8074,0.76,0.7842,0.7235,0.7538,0.7569,0.6467,0.7018
8.4,0.1054,0.7828,0.6966,0.7178,0.814,0.7659,0.7812,0.7245,0.7529,0.7495,0.6539,0.7017
8.5,0.0684,0.7701,0.6877,0.723,0.8194,0.7712,0.7769,0.7254,0.7512,0.743,0.6633,0.7032
8.6,0.0324,0.7563,0.6784,0.7273,0.8233,0.7753,0.7715,0.7266,0.749,0.7381,0.6756,0.7069
8.7,-0.0017,0.7416,0.6693,0.7305,0.8262,0.7783,0.7656,0.7283,0.7469,0.7351,0.6908,0.713
8.8,-0.0327,0.727,0.6609,0.7328,0.8286,0.7807,0.7591,0.7309,0.745,0.7335,0.7083,0.7209
8.9,-0.0591,0.7135,0.6536,0.7348,0.8314,0.7831,0.7521,0.7346,0.7434,0.7324,0.7268,0.7296
9,-0.0802,0.7017,0.6478,0.7373,0.8344,0.7859,0.7445,0.7394,0.742,0.7315,0.7451,0.7383
9.1,-0.096,0.6921,0.6433,0.7402,0.8375,0.7888,0.7366,0.7451,0.7409,0.7303,0.7623,0.7463
9.2,-0.1071,0.6845,0.6404,0.7429,0.8401,0.7915,0.7292,0.7519,0.7405,0.7293,0.7787,0.754
9.3,-0.1144,0.6785,0.6394,0.7445,0.8422,0.7933,0.7229,0.7598,0.7414,0.7291,0.7946,0.7619
9.4,-0.1183,0.6736,0.6408,0.7444,0.8436,0.794,0.7186,0.7687,0.7437,0.7301,0.811,0.7705
9.5,-0.1189,0.6696,0.6452,0.7422,0.844,0.7931,0.7165,0.7783,0.7474,0.7326,0.8279,0.7803
9.6,-0.1164,0.6667,0.6522,0.7371,0.8426,0.7899,0.7161,0.7876,0.7519,0.7365,0.8448,0.7907
9.7,-0.1104,0.6643,0.6614,0.7283,0.8382,0.7833,0.7167,0.7957,0.7562,0.7412,0.8604,0.8008
9.8,-0.1007,0.6622,0.6723,0.7148,0.8299,0.7724,0.7174,0.8016,0.7595,0.7456,0.8737,0.8096
9.9,-0.0874,0.6603,0.6842,0.6963,0.8174,0.7568,0.717,0.8047,0.7608,0.7492,0.8844,0.8168
10,-0.0707,0.6585,0.6967,0.6729,0.8005,0.7367,0.7145,0.8045,0.7595,0.7516,0.8922,0.8219
10.1,-0.0507,0.6575,0.7092,0.6452,0.7794,0.7123,0.7094,0.8005,0.755,0.7526,0.8967,0.8247
10.2,-0.0269,0.6578,0.7211,0.6145,0.7544,0.6845,0.7016,0.7925,0.747,0.7522,0.8981,0.8252
10.3,0.0017,0.6597,0.7318,0.5828,0.7265,0.6547,0.6919,0.7812,0.7365,0.7508,0.8964,0.8236
10.4,0.0352,0.6626,0.7417,0.5516,0.6975,0.6246,0.6814,0.7677,0.7246,0.7486,0.8915,0.8201
10.5,0.0729,0.6666,0.7507,0.5226,0.669,0.5958,0.671,0.7534,0.7122,0.746,0.8835,0.8148
10.6,0.1133,0.6717,0.759,0.4967,0.6423,0.5695,0.661,0.7386,0.6998,0.743,0.8725,0.8078
10.7,0.155,0.6777,0.766,0.4744,0.6176,0.546,0.6512,0.7237,0.6875,0.7398,0.8587,0.7992
10.8,0.196,0.6838,0.771,0.4559,0.5949,0.5254,0.6418,0.7088,0.6753,0.7367,0.8425,0.7896
10.9,0.2348,0.6888,0.7734,0.4414,0.5746,0.508,0.6333,0.6945,0.6639,0.7343,0.8247,0.7795
11,0.27,0.6915,0.7732,0.4313,0.5576,0.4945,0.6262,0.6818,0.654,0.7326,0.8063,0.7695
11.1,0.2999,0.6911,0.7709,0.4254,0.5451,0.4853,0.6208,0.6721,0.6464,0.7313,0.7878,0.7596
11.2,0.3227,0.687,0.7673,0.4237,0.5376,0.4806,0.6166,0.666,0.6413,0.7299,0.7696,0.7498
11.3,0.3381,0.6798,0.7625,0.4263,0.5355,0.4809,0.6132,0.6638,0.6385,0.7279,0.7518,0.7398
11.4,0.3473,0.6705,0.7564,0.434,0.539,0.4865,0.6103,0.6653,0.6378,0.7254,0.7348,0.7301
11.5,0.3513,0.6601,0.749,0.4474,0.5486,0.498,0.6081,0.6703,0.6392,0.7231,0.7193,0.7212
11.6,0.3507,0.6493,0.7408,0.4663,0.5646,0.5154,0.6069,0.6788,0.6428,0.721,0.7058,0.7134
11.7,0.346,0.6387,0.7326,0.4899,0.5869,0.5384,0.6068,0.6909,0.6488,0.7189,0.6945,0.7067
11.8,0.3374,0.6288,0.7253,0.5175,0.6149,0.5662,0.6084,0.7067,0.6575,0.7159,0.6856,0.7007
11.9,0.3256,0.6201,0.7195,0.5483,0.6479,0.5981,0.612,0.726,0.669,0.7113,0.6787,0.695
12,0.3112,0.6128,0.7149,0.5816,0.6851,0.6334,0.6181,0.7477,0.6829,0.7052,0.6736,0.6894
12.1,0.2935,0.6068,0.7111,0.6164,0.7252,0.6708,0.6267,0.77,0.6984,0.6981,0.67,0.684
12.2,0.2725,0.6019,0.7077,0.6515,0.7662,0.7088,0.6373,0.7912,0.7143,0.6905,0.6675,0.679
12.3,0.2481,0.5979,0.705,0.6858,0.806,0.7459,0.6492,0.8103,0.7297,0.6836,0.6664,0.675
12.4,0.2195,0.595,0.7037,0.7183,0.843,0.7807,0.6624,0.8273,0.7449,0.6784,0.6675,0.673
12.5,0.1854,0.5929,0.7042,0.748,0.8761,0.8121,0.6774,0.8429,0.7601,0.6761,0.6719,0.674
12.6,0.1455,0.5919,0.7065,0.7739,0.9046,0.8393,0.6936,0.857,0.7753,0.6771,0.6797,0.6784
12.7,0.1007,0.5918,0.71,0.7953,0.9279,0.8616,0.7098,0.8684,0.7891,0.6805,0.6899,0.6852
12.8,0.0544,0.5933,0.7138,0.8127,0.9448,0.8787,0.7237,0.8759,0.7998,0.6848,0.7005,0.6926
12.9,0.0106,0.5969,0.7172,0.8267,0.9547,0.8907,0.7343,0.8786,0.8065,0.6882,0.7099,0.699
13,-0.028,0.6029,0.7206,0.8381,0.9582,0.8981,0.7415,0.8773,0.8094,0.6902,0.7173,0.7038
13.1,-0.0603,0.6113,0.7244,0.8475,0.9565,0.902,0.7459,0.8731,0.8095,0.6911,0.7225,0.7068
13.2,-0.087,0.6213,0.7282,0.8553,0.951,0.9031,0.7477,0.8665,0.8071,0.6909,0.7251,0.708
13.3,-0.1092,0.6323,0.7316,0.8616,0.9427,0.9022,0.7467,0.8575,0.8021,0.6895,0.7244,0.7069
13.4,-0.1273,0.6435,0.7346,0.8662,0.9322,0.8992,0.7431,0.8464,0.7948,0.687,0.7201,0.7035
13.5,-0.1403,0.6548,0.7379,0.8687,0.9202,0.8944,0.7377,0.8338,0.7858,0.6836,0.7128,0.6982
13.6,-0.1479,0.6654,0.7424,0.8688,0.9076,0.8882,0.7315,0.8203,0.7759,0.6798,0.7036,0.6917
13.7,-0.1502,0.6746,0.7481,0.8664,0.8955,0.8809,0.725,0.8066,0.7658,0.6755,0.6932,0.6843
13.8,-0.148,0.6814,0.7545,0.8611,0.884,0.8725,0.7177,0.7925,0.7551,0.6704,0.6816,0.676
13.9,-0.1426,0.6854,0.7602,0.8526,0.8725,0.8625,0.7093,0.7776,0.7434,0.6637,0.6686,0.6661
14,-0.1344,0.6868,0.7642,0.8408,0.8599,0.8503,0.6996,0.762,0.7308,0.655,0.6545,0.6548
14.1,-0.1235,0.6861,0.7666,0.826,0.8456,0.8358,0.6892,0.7465,0.7178,0.6448,0.64,0.6424
14.2,-0.11,0.6836,0.7672,0.8085,0.8296,0.8191,0.6788,0.7316,0.7052,0.6333,0.6258,0.6296
14.3,-0.0944,0.6797,0.7655,0.7886,0.8122,0.8004,0.6685,0.7176,0.693,0.6207,0.6121,0.6164
14.4,-0.0769,0.6744,0.7606,0.7666,0.7931,0.7799,0.6579,0.7041,0.681,0.607,0.5988,0.6029
14.5,-0.0575,0.6683,0.7524,0.7426,0.7719,0.7573,0.647,0.6911,0.6691,0.5923,0.5863,0.5893
14.6,-0.0366,0.662,0.7413,0.7171,0.7482,0.7326,0.6369,0.6787,0.6578,0.5777,0.5753,0.5765
14.7,-0.0143,0.6558,0.7285,0.6904,0.7219,0.7062,0.629,0.6673,0.6481,0.5646,0.5668,0.5657
14.8,0.0084,0.6496,0.7145,0.6631,0.6933,0.6782,0.6242,0.6573,0.6408,0.554,0.5616,0.5578
14.9,0.0302,0.6424,0.6993,0.6354,0.6624,0.6489,0.6228,0.6486,0.6357,0.546,0.5592,0.5526
15,0.0492,0.6338,0.683,0.6075,0.6295,0.6185,0.6242,0.641,0.6326,0.5399,0.5591,0.5495
15.1,0.064,0.6237,0.6661,0.5801,0.5954,0.5878,0.6277,0.6346,0.6311,0.5356,0.5611,0.5483
15.2,0.0733,0.6129,0.6496,0.5542,0.5615,0.5579,0.6331,0.6298,0.6314,0.5333,0.5654,0.5494
15.3,0.0765,0.6016,0.634,0.5309,0.5292,0.5301,0.6401,0.627,0.6335,0.534,0.5726,0.5533
15.4,0.0745,0.5903,0.6192,0.5109,0.4991,0.505,0.648,0.6263,0.6372,0.5383,0.5823,0.5603
15.5,0.069,0.5789,0.605,0.4947,0.4713,0.483,0.6561,0.6274,0.6418,0.5461,0.594,0.57
15.6,0.0625,0.5679,0.5911,0.4829,0.4465,0.4647,0.6639,0.6302,0.6471,0.5567,0.6069,0.5818
15.7,0.0571,0.558,0.578,0.4763,0.4254,0.4508,0.6708,0.635,0.6529,0.5692,0.6203,0.5947
15.8,0.0535,0.5499,0.5656,0.4751,0.4089,0.442,0.6767,0.6416,0.6591,0.5826,0.6332,0.6079
15.9,0.0518,0.5436,0.5539,0.479,0.3969,0.438,0.6811,0.6494,0.6652,0.5959,0.6446,0.6203
16,0.0512,0.539,0.5427,0.4874,0.3897,0.4385,0.6839,0.6577,0.6708,0.6082,0.6539,0.631
16.1,0.0512,0.5363,0.5327,0.4997,0.3868,0.4433,0.6854,0.6664,0.6759,0.6192,0.6609,0.64
16.2,0.0516,0.5356,0.5247,0.5155,0.3882,0.4519,0.6859,0.6754,0.6806,0.6291,0.6659,0.6475
16.3,0.0517,0.5374,0.5193,0.5348,0.3939,0.4643,0.6862,0.6849,0.6856,0.6383,0.6692,0.6538
16.4,0.0507,0.5412,0.5166,0.5569,0.4038,0.4804,0.6864,0.6947,0.6905,0.647,0.671,0.659
16.5,0.0473,0.5462,0.5159,0.581,0.4173,0.4992,0.6861,0.7036,0.6948,0.6547,0.6708,0.6628
16.6,0.0409,0.5516,0.5161,0.6061,0.4334,0.5197,0.6844,0.7108,0.6976,0.6605,0.668,0.6642
16.7,0.0321,0.5572,0.517,0.631,0.4516,0.5413,0.6813,0.7157,0.6985,0.664,0.6627,0.6634
16.8,0.0223,0.5631,0.5191,0.6554,0.4717,0.5635,0.6776,0.7188,0.6982,0.6657,0.6557,0.6607
16.9,0.0132,0.5692,0.5229,0.6794,0.4931,0.5862,0.674,0.7206,0.6973,0.6663,0.6477,0.657
17,0.0054,0.5756,0.528,0.7028,0.5151,0.6089,0.6711,0.7216,0.6964,0.6663,0.6389,0.6526
17.1,-0.0012,0.5823,0.5338,0.7254,0.5364,0.6309,0.6692,0.7219,0.6956,0.6659,0.6298,0.6478
17.2,-0.0058,0.5895,0.5397,0.7467,0.5558,0.6512,0.6686,0.7217,0.6951,0.6653,0.6208,0.6431
17.3,-0.008,0.5977,0.5459,0.7666,0.5726,0.6696,0.6697,0.7212,0.6954,0.6651,0.6128,0.6389
17.4,-0.0066,0.607,0.5529,0.7853,0.5866,0.6859,0.6726,0.7207,0.6967,0.6657,0.6064,0.6361
17.5,-0.0008,0.6172,0.5605,0.8029,0.5978,0.7004,0.6774,0.7202,0.6988,0.6678,0.6019,0.6349
17.6,0.0096,0.6274,0.5682,0.8193,0.6065,0.7129,0.6837,0.7194,0.7016,0.6713,0.5992,0.6352
17.7,0.0238,0.6368,0.5751,0.8343,0.6129,0.7236,0.6913,0.7179,0.7046,0.6759,0.5982,0.637
17.8,0.0416,0.6451,0.5808,0.8476,0.6174,0.7325,0.7002,0.7158,0.708,0.6815,0.599,0.6402
17.9,0.0625,0.6524,0.5856,0.8594,0.6205,0.7399,0.7107,0.7136,0.7122,0.6881,0.6017,0.6449
18,0.0861,0.6593,0.5901,0.87,0.6223,0.7461,0.7227,0.7115,0.7171,0.6959,0.606,0.6509
18.1,0.112,0.6658,0.5945,0.8795,0.6231,0.7513,0.7354,0.7097,0.7225,0.7046,0.6117,0.6582
18.2,0.1395,0.6718,0.5982,0.8878,0.623,0.7554,0.7481,0.7077,0.7279,0.7142,0.6184,0.6663
18.3,0.1683,0.6774,0.6007,0.8945,0.6217,0.7581,0.7601,0.7054,0.7328,0.7243,0.6261,0.6752
18.4,0.1982,0.6829,0.6022,0.8995,0.6196,0.7595,0.7714,0.7029,0.7371,0.7353,0.635,0.6852
18.5,0.2289,0.6884,0.6029,0.9026,0.6167,0.7596,0.7821,0.7006,0.7414,0.7472,0.6455,0.6963
18.6,0.2596,0.6942,0.6033,0.9035,0.6135,0.7585,0.7927,0.6993,0.746,0.7599,0.6575,0.7087
18.7,0.2885,0.7002,0.6035,0.9015,0.6102,0.7559,0.8036,0.6994,0.7515,0.7733,0.6705,0.7219
18.8,0.3136,0.706,0.6035,0.8957,0.607,0.7513,0.8147,0.7012,0.7579,0.7872,0.6843,0.7358
18.9,0.3325,0.7111,0.6035,0.8848,0.604,0.7444,0.8261,0.7042,0.7652,0.8014,0.6987,0.7501
19,0.3428,0.7149,0.6034,0.8682,0.6015,0.7349,0.8378,0.708,0.7729,0.8156,0.7137,0.7646
19.1,0.3424,0.7169,0.6035,0.8459,0.5998,0.7229,0.8491,0.7115,0.7803,0.829,0.7288,0.7789
19.2,0.33,0.7167,0.6035,0.8187,0.5989,0.7088,0.8596,0.714,0.7868,0.841,0.7436,0.7923
19.3,0.3049,0.7144,0.6034,0.7875,0.599,0.6933,0.8686,0.715,0.7918,0.8514,0.758,0.8047
19.4,0.2679,0.7099,0.6029,0.7539,0.6003,0.6771,0.8754,0.7144,0.7949,0.8602,0.7719,0.8161
19.5,0.222,0.7031,0.6019,0.7192,0.603,0.6611,0.8794,0.7121,0.7957,0.8677,0.7853,0.8265
19.6,0.1708,0.6941,0.5996,0.6852,0.6071,0.6462,0.8802,0.7075,0.7939,0.8735,0.7975,0.8355
19.7,0.1179,0.6828,0.595,0.6534,0.6123,0.6328,0.8776,0.7002,0.7889,0.877,0.8077,0.8424
19.8,0.0659,0.6693,0.5877,0.6246,0.6184,0.6215,0.8715,0.6902,0.7809,0.8776,0.8157,0.8467
19.9,0.0176,0.6544,0.5782,0.5998,0.6255,0.6126,0.8622,0.6786,0.7704,0.8757,0.8219,0.8488
20,-0.0248,0.6387,0.5677,0.5789,0.6335,0.6062,0.8504,0.6668,0.7586,0.8722,0.8265,0.8493
20.1,-0.059,0.6232,0.5573,0.5622,0.6424,0.6023,0.837,0.6557,0.7464,0.8678,0.8297,0.8488
20.2,-0.0828,0.6089,0.5477,0.5495,0.6517,0.6006,0.8222,0.6461,0.7342,0.8627,0.8307,0.8467
20.3,-0.0957,0.5966,0.539,0.5407,0.6608,0.6008,0.806,0.638,0.722,0.8559,0.8281,0.842
20.4,-0.0989,0.5868,0.5309,0.5355,0.669,0.6022,0.7874,0.631,0.7092,0.8464,0.8209,0.8336
20.5,-0.0945,0.5795,0.5232,0.5329,0.6754,0.6042,0.7658,0.625,0.6954,0.8335,0.8084,0.821
20.6,-0.0845,0.574,0.5158,0.5322,0.6797,0.6059,0.7409,0.6197,0.6803,0.8171,0.7903,0.8037
20.7,-0.0714,0.5699,0.5089,0.5325,0.6817,0.6071,0.7128,0.6146,0.6637,0.7974,0.7665,0.7819
20.8,-0.0576,0.5669,0.5026,0.5333,0.6821,0.6077,0.6824,0.61,0.6462,0.7753,0.7376,0.7565
