Time,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.9,0.28,0.5331,0.2066,0.631,0.6057,0.6183,0.7807,0.8068,0.7937,0.6325,0.5399,0.5862
10,0.3289,0.5367,0.2171,0.6506,0.6009,0.6257,0.7751,0.8013,0.7882,0.6446,0.5362,0.5904
10.1,0.3736,0.5439,0.2326,0.6723,0.5977,0.635,0.7743,0.7979,0.7861,0.6595,0.5365,0.598
10.2,0.4134,0.555,0.2515,0.6956,0.5965,0.6461,0.778,0.796,0.787,0.6771,0.5398,0.6084
10.3,0.4473,0.5699,0.2728,0.7199,0.5968,0.6584,0.7854,0.7948,0.7901,0.6963,0.5453,0.6208
10.4,0.4744,0.5882,0.2963,0.7443,0.5983,0.6713,0.7956,0.794,0.7948,0.7158,0.5524,0.6341
10.5,0.4938,0.6097,0.3228,0.7681,0.6013,0.6847,0.8083,0.794,0.8011,0.734,0.5607,0.6473
10.6,0.5048,0.6338,0.3527,0.7912,0.6065,0.6989,0.8231,0.7949,0.809,0.7504,0.5699,0.6602
10.7,0.5069,0.6596,0.3857,0.8128,0.6138,0.7133,0.8396,0.7969,0.8182,0.7649,0.5798,0.6723
10.8,0.499,0.6854,0.4213,0.8318,0.6224,0.7271,0.8571,0.7997,0.8284,0.7775,0.5896,0.6835
10.9,0.4812,0.7097,0.4589,0.8471,0.6316,0.7393,0.8749,0.8031,0.839,0.7878,0.5987,0.6932
11,0.4546,0.7316,0.4973,0.8585,0.6414,0.7499,0.8924,0.8069,0.8497,0.7956,0.6066,0.7011
11.1,0.4206,0.7508,0.535,0.8662,0.6522,0.7592,0.909,0.8108,0.8599,0.8004,0.6129,0.7067
11.2,0.3804,0.7674,0.5705,0.8707,0.6641,0.7674,0.9245,0.8145,0.8695,0.8022,0.6176,0.7099
11.3,0.3358,0.7809,0.603,0.8728,0.6769,0.7748,0.9384,0.8174,0.8779,0.801,0.6207,0.7109
11.4,0.2887,0.7907,0.632,0.8722,0.6895,0.7809,0.9506,0.819,0.8848,0.7968,0.6225,0.7096
11.5,0.2417,0.7961,0.658,0.8686,0.7009,0.7847,0.9611,0.8191,0.8901,0.7894,0.6233,0.7063
11.6,0.1976,0.7966,0.6813,0.8615,0.7101,0.7858,0.9698,0.8177,0.8937,0.7794,0.6232,0.7013
11.7,0.1594,0.7924,0.7019,0.8514,0.7166,0.784,0.9773,0.8153,0.8963,0.7678,0.6223,0.695
11.8,0.1292,0.784,0.7195,0.8398,0.7204,0.7801,0.9843,0.8126,0.8985,0.7555,0.6209,0.6882
11.9,0.1082,0.7722,0.734,0.828,0.722,0.775,0.9914,0.8106,0.901,0.7432,0.6196,0.6814
12,0.0964,0.758,0.7458,0.8167,0.7224,0.7696,0.999,0.8096,0.9043,0.7308,0.6197,0.6753
12.1,0.0931,0.7417,0.7557,0.8056,0.7224,0.764,1.0073,0.8097,0.9085,0.7188,0.6224,0.6706
12.2,0.0979,0.7235,0.7645,0.7941,0.722,0.758,1.0159,0.8104,0.9131,0.7079,0.6285,0.6682
12.3,0.1108,0.7036,0.7731,0.7822,0.7206,0.7514,1.0242,0.8115,0.9179,0.6995,0.6383,0.6689
12.4,0.132,0.6825,0.7817,0.7706,0.7176,0.7441,1.0318,0.8128,0.9223,0.6942,0.6515,0.6728
12.5,0.1609,0.6612,0.79,0.7595,0.7121,0.7358,1.0377,0.8137,0.9257,0.6915,0.6673,0.6794
12.6,0.1956,0.6412,0.7974,0.7492,0.7038,0.7265,1.0414,0.8137,0.9275,0.6902,0.6849,0.6876
12.7,0.2338,0.6235,0.8035,0.7395,0.6916,0.7155,1.0421,0.812,0.9271,0.689,0.7031,0.6961
12.8,0.2738,0.6086,0.8081,0.7301,0.6751,0.7026,1.0397,0.8083,0.924,0.6872,0.7211,0.7042
12.9,0.3139,0.5965,0.8115,0.7211,0.6545,0.6878,1.0347,0.8028,0.9187,0.6856,0.7383,0.7119
13,0.3515,0.5871,0.8138,0.7124,0.6301,0.6712,1.0278,0.7961,0.9119,0.6856,0.7545,0.72
13.1,0.384,0.5807,0.8156,0.7043,0.6032,0.6538,1.0198,0.7888,0.9043,0.6883,0.7695,0.7289
13.2,0.409,0.5773,0.8172,0.6973,0.5757,0.6365,1.0111,0.7814,0.8962,0.6936,0.7827,0.7381
13.3,0.4262,0.5762,0.8185,0.6914,0.5494,0.6204,1.002,0.774,0.888,0.7002,0.7927,0.7465
13.4,0.435,0.5773,0.8192,0.6867,0.5248,0.6058,0.9933,0.767,0.8801,0.7066,0.7986,0.7526
13.5,0.4336,0.5804,0.8186,0.6833,0.5019,0.5926,0.9856,0.7614,0.8735,0.7115,0.7996,0.7555
13.6,0.4202,0.5852,0.8163,0.6803,0.4803,0.5803,0.9794,0.7582,0.8688,0.7143,0.7954,0.7549
13.7,0.3946,0.5912,0.8125,0.6771,0.4606,0.5688,0.975,0.758,0.8665,0.7147,0.7863,0.7505
13.8,0.3582,0.5977,0.8075,0.673,0.4439,0.5584,0.9729,0.7615,0.8672,0.7128,0.7729,0.7428
13.9,0.3131,0.6037,0.8016,0.6678,0.431,0.5494,0.9732,0.769,0.8711,0.7091,0.7558,0.7324
14,0.2616,0.6081,0.7952,0.661,0.4215,0.5413,0.976,0.7804,0.8782,0.704,0.7358,0.7199
14.1,0.2047,0.6093,0.7882,0.6519,0.414,0.533,0.9807,0.7952,0.8879,0.698,0.7138,0.7059
14.2,0.144,0.6068,0.7804,0.6399,0.4082,0.524,0.9868,0.8125,0.8996,0.6913,0.6902,0.6908
14.3,0.0816,0.6007,0.7716,0.6248,0.4049,0.5149,0.9938,0.8314,0.9126,0.684,0.6656,0.6748
14.4,0.0205,0.5918,0.7614,0.607,0.4052,0.5061,1.0018,0.8512,0.9265,0.676,0.6406,0.6583
14.5,-0.0365,0.5807,0.7498,0.5867,0.4087,0.4977,1.0105,0.8711,0.9408,0.6678,0.6157,0.6418
14.6,-0.0868,0.5678,0.7378,0.5642,0.414,0.4891,1.02,0.8911,0.9556,0.6597,0.5916,0.6257
14.7,-0.1287,0.5535,0.7269,0.5402,0.4203,0.4803,1.0303,0.9111,0.9707,0.652,0.5694,0.6107
14.8,-0.1613,0.5385,0.7178,0.5165,0.4283,0.4724,1.0413,0.9305,0.9859,0.6453,0.5502,0.5978
14.9,-0.1834,0.5239,0.7108,0.4952,0.4393,0.4672,1.0528,0.9491,1.0009,0.6398,0.5342,0.587
