Time,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC,Countdown - Grower Fresh Summer 45 TVC
1,0.104,0.5771,0.8197,0.7622,0.6783,0.7202,0.7545,0.6914,0.7229,0.6755,0.4947,0.5851
1.1,0.1011,0.5954,0.7859,0.7688,0.6891,0.729,0.746,0.691,0.7185,0.6814,0.4869,0.5841
1.2,0.0949,0.6074,0.7477,0.7695,0.6964,0.7329,0.7353,0.6898,0.7126,0.6852,0.4798,0.5825
1.3,0.0864,0.6134,0.707,0.7652,0.7004,0.7328,0.723,0.6889,0.706,0.6875,0.4743,0.5809
1.4,0.0774,0.6141,0.6659,0.7574,0.7017,0.7295,0.7099,0.689,0.6994,0.6889,0.471,0.58
1.5,0.0695,0.6099,0.6264,0.7465,0.7,0.7233,0.6966,0.6899,0.6932,0.6896,0.4699,0.5798
1.6,0.0635,0.6009,0.5903,0.7326,0.6949,0.7137,0.6833,0.6909,0.6871,0.6894,0.4707,0.5801
1.7,0.0583,0.5876,0.559,0.7154,0.6861,0.7007,0.6697,0.6918,0.6807,0.6882,0.4731,0.5806
1.8,0.0523,0.5711,0.5344,0.6951,0.674,0.6845,0.6566,0.693,0.6748,0.6867,0.477,0.5819
1.9,0.0442,0.5527,0.5191,0.6724,0.6593,0.6659,0.6453,0.6957,0.6705,0.686,0.4829,0.5844
2,0.0333,0.5332,0.5147,0.6481,0.6425,0.6453,0.6369,0.7003,0.6686,0.6867,0.4911,0.5889
2.1,0.0201,0.5133,0.5216,0.6222,0.6241,0.6232,0.6318,0.7064,0.6691,0.6891,0.5018,0.5955
2.2,0.0052,0.4937,0.5386,0.5947,0.6043,0.5995,0.6297,0.7129,0.6713,0.6928,0.5151,0.6039
2.3,-0.0105,0.4754,0.5642,0.566,0.5836,0.5748,0.6299,0.7187,0.6743,0.6971,0.5308,0.6139
2.4,-0.0268,0.4592,0.5965,0.537,0.5616,0.5493,0.6318,0.7224,0.6771,0.7016,0.5489,0.6253
2.5,-0.0442,0.4455,0.6328,0.5083,0.5376,0.5229,0.6348,0.7226,0.6787,0.7061,0.5696,0.6378
2.6,-0.0628,0.4344,0.6696,0.4806,0.5109,0.4957,0.6379,0.7181,0.678,0.7103,0.5927,0.6515
2.7,-0.0815,0.4262,0.7033,0.4544,0.4818,0.4681,0.6411,0.7093,0.6752,0.7143,0.6177,0.666
2.8,-0.0992,0.421,0.7314,0.431,0.4517,0.4414,0.6446,0.6968,0.6707,0.718,0.6434,0.6807
2.9,-0.1146,0.4187,0.7526,0.4111,0.4221,0.4166,0.6482,0.6814,0.6648,0.7208,0.6687,0.6947
3,-0.1274,0.4188,0.7666,0.3954,0.394,0.3947,0.6512,0.6635,0.6573,0.7219,0.692,0.7069
3.1,-0.1381,0.4205,0.7735,0.3833,0.368,0.3757,0.6525,0.6435,0.648,0.7209,0.7123,0.7166
3.2,-0.1457,0.423,0.774,0.3741,0.3446,0.3593,0.6514,0.6221,0.6367,0.7178,0.7289,0.7234
3.3,-0.149,0.4258,0.7685,0.3674,0.3233,0.3454,0.6478,0.5998,0.6238,0.7125,0.7416,0.7271
3.4,-0.1477,0.428,0.7577,0.3627,0.3035,0.3331,0.6419,0.5768,0.6093,0.7049,0.7503,0.7276
3.5,-0.1414,0.4287,0.7424,0.3596,0.2843,0.322,0.6339,0.5535,0.5937,0.6952,0.7552,0.7252
3.6,-0.1299,0.4271,0.7234,0.358,0.2654,0.3117,0.6243,0.5307,0.5775,0.6836,0.7568,0.7202
3.7,-0.1133,0.4234,0.702,0.3578,0.2475,0.3027,0.614,0.5098,0.5619,0.6711,0.756,0.7136
3.8,-0.0916,0.4179,0.679,0.3598,0.2318,0.2958,0.6043,0.4922,0.5482,0.6587,0.7534,0.7061
3.9,-0.0653,0.4118,0.6553,0.3646,0.2193,0.2919,0.5966,0.4782,0.5374,0.6471,0.7497,0.6984
4,-0.0357,0.406,0.631,0.3722,0.21,0.2911,0.5912,0.4675,0.5294,0.6368,0.7452,0.691
4.1,-0.0046,0.4011,0.6064,0.3819,0.2038,0.2928,0.5879,0.4599,0.5239,0.6278,0.74,0.6839
4.2,0.0265,0.3974,0.5821,0.393,0.2007,0.2969,0.5864,0.4556,0.521,0.6203,0.7348,0.6775
4.3,0.0568,0.3949,0.5593,0.4053,0.2014,0.3034,0.5868,0.4549,0.5208,0.6146,0.7303,0.6725
4.4,0.086,0.3942,0.5387,0.4192,0.2069,0.313,0.5892,0.4577,0.5234,0.611,0.7266,0.6688
4.5,0.1135,0.396,0.5205,0.4348,0.2182,0.3265,0.5936,0.4637,0.5287,0.609,0.7228,0.6659
4.6,0.1383,0.4011,0.5048,0.4524,0.2366,0.3445,0.5998,0.4727,0.5362,0.6079,0.718,0.663
4.7,0.1594,0.4105,0.4914,0.4722,0.2633,0.3678,0.6075,0.4841,0.5458,0.6073,0.7114,0.6593
4.8,0.1754,0.4246,0.4807,0.4943,0.2992,0.3967,0.6165,0.4977,0.5571,0.6071,0.7028,0.655
4.9,0.1847,0.4431,0.4738,0.5188,0.3443,0.4315,0.6262,0.5128,0.5695,0.6077,0.6928,0.6503
5,0.1863,0.4661,0.4717,0.5458,0.398,0.4719,0.6359,0.5288,0.5824,0.6095,0.6819,0.6457
5.1,0.1802,0.493,0.4748,0.5753,0.4579,0.5166,0.6454,0.5456,0.5955,0.6128,0.6707,0.6417
5.2,0.1676,0.5231,0.4833,0.6071,0.5205,0.5638,0.6545,0.5629,0.6087,0.6171,0.6597,0.6384
5.3,0.1514,0.5549,0.4963,0.6406,0.5819,0.6113,0.663,0.58,0.6215,0.6215,0.6489,0.6352
5.4,0.1335,0.5864,0.512,0.6748,0.6386,0.6567,0.6707,0.5959,0.6333,0.6251,0.6382,0.6317
5.5,0.115,0.6156,0.5289,0.7083,0.6882,0.6982,0.6768,0.6096,0.6432,0.6275,0.6275,0.6275
5.6,0.0958,0.6411,0.5458,0.7399,0.729,0.7344,0.6807,0.6208,0.6507,0.6287,0.6171,0.6229
5.7,0.0753,0.662,0.562,0.7685,0.7602,0.7644,0.6825,0.6294,0.656,0.6292,0.6075,0.6183
5.8,0.0532,0.6773,0.577,0.7934,0.7819,0.7877,0.6827,0.6363,0.6595,0.6298,0.5997,0.6147
5.9,0.0285,0.6865,0.591,0.8141,0.7959,0.805,0.6816,0.642,0.6618,0.6313,0.5945,0.6129
6,0,0.6897,0.6038,0.8304,0.8042,0.8173,0.6793,0.6473,0.6633,0.6339,0.5921,0.613
6.1,-0.0333,0.6873,0.6153,0.8422,0.808,0.8251,0.6754,0.6523,0.6638,0.6374,0.5923,0.6148
6.2,-0.0715,0.6795,0.6255,0.8489,0.8074,0.8282,0.6698,0.6568,0.6633,0.6408,0.5948,0.6178
6.3,-0.1139,0.6665,0.6342,0.8494,0.8018,0.8256,0.6621,0.6604,0.6613,0.6436,0.5988,0.6212
6.4,-0.16,0.6484,0.6412,0.8425,0.7913,0.8169,0.6526,0.663,0.6578,0.6456,0.604,0.6248
6.5,-0.2085,0.6261,0.6464,0.8283,0.7769,0.8026,0.6419,0.6642,0.6531,0.6471,0.6098,0.6285
6.6,-0.2572,0.6012,0.6497,0.8079,0.7597,0.7838,0.6313,0.6643,0.6478,0.6483,0.6161,0.6322
6.7,-0.3043,0.5755,0.6517,0.7832,0.7405,0.7618,0.6217,0.6634,0.6425,0.6495,0.6226,0.6361
6.8,-0.3489,0.5501,0.6532,0.7559,0.7194,0.7376,0.6134,0.6616,0.6375,0.6506,0.6297,0.6401
6.9,-0.3893,0.5257,0.655,0.7267,0.6964,0.7116,0.6067,0.659,0.6329,0.6516,0.6373,0.6444
7,-0.4243,0.5032,0.6573,0.6968,0.6727,0.6847,0.6018,0.6559,0.6288,0.6525,0.6454,0.6489
7.1,-0.4526,0.4838,0.6597,0.6673,0.6493,0.6583,0.5985,0.6518,0.6251,0.6532,0.6533,0.6533
7.2,-0.4734,0.4687,0.6611,0.64,0.6273,0.6337,0.5964,0.6461,0.6212,0.6533,0.6603,0.6568
7.3,-0.4863,0.4586,0.6613,0.616,0.6073,0.6116,0.5948,0.6386,0.6167,0.6525,0.6659,0.6592
7.4,-0.4911,0.4532,0.6605,0.5957,0.5889,0.5923,0.5935,0.6299,0.6117,0.6512,0.6707,0.661
7.5,-0.4868,0.4517,0.6591,0.5789,0.5717,0.5753,0.592,0.6205,0.6063,0.6496,0.6758,0.6627
7.6,-0.4715,0.453,0.6581,0.5654,0.5553,0.5603,0.5902,0.6113,0.6008,0.6481,0.6819,0.665
7.7,-0.4447,0.4559,0.6577,0.5551,0.5396,0.5474,0.5881,0.6025,0.5953,0.6462,0.6888,0.6675
7.8,-0.4076,0.4596,0.658,0.5479,0.5253,0.5366,0.5854,0.5939,0.5897,0.643,0.6959,0.6694
7.9,-0.3627,0.4633,0.6586,0.5435,0.5125,0.528,0.5819,0.5851,0.5835,0.6374,0.7024,0.6699
8,-0.312,0.4666,0.659,0.5412,0.5009,0.5211,0.5772,0.5755,0.5763,0.6286,0.7074,0.668
8.1,-0.2569,0.4691,0.6587,0.5405,0.4895,0.515,0.5709,0.5645,0.5677,0.6163,0.7105,0.6634
8.2,-0.1985,0.4706,0.6578,0.541,0.4776,0.5093,0.5629,0.5515,0.5572,0.6008,0.7115,0.6562
8.3,-0.1389,0.4711,0.6568,0.5426,0.4648,0.5037,0.5529,0.5365,0.5447,0.582,0.7098,0.6459
8.4,-0.0796,0.4704,0.6554,0.5449,0.4511,0.498,0.5412,0.5195,0.5303,0.5594,0.7049,0.6322
8.5,-0.0211,0.4684,0.6532,0.5475,0.4366,0.4921,0.5276,0.5,0.5138,0.5329,0.6961,0.6145
8.6,0.0362,0.4648,0.6497,0.5499,0.4215,0.4857,0.5123,0.4781,0.4952,0.5027,0.6836,0.5932
8.7,0.0913,0.4597,0.6444,0.5519,0.4061,0.479,0.4956,0.4539,0.4748,0.4697,0.6676,0.5686
8.8,0.1429,0.4533,0.6373,0.554,0.3912,0.4726,0.4779,0.428,0.4529,0.4352,0.6483,0.5417
8.9,0.1894,0.4465,0.6288,0.5564,0.3772,0.4668,0.4595,0.4012,0.4303,0.4004,0.6262,0.5133
9,0.23,0.4403,0.6196,0.5589,0.3645,0.4617,0.4407,0.3747,0.4077,0.3665,0.6021,0.4843
9.1,0.2636,0.4354,0.6103,0.5609,0.3534,0.4572,0.4223,0.3502,0.3862,0.335,0.5768,0.4559
9.2,0.289,0.4327,0.6025,0.5619,0.3446,0.4533,0.405,0.3295,0.3672,0.3076,0.5519,0.4298
9.3,0.3057,0.4329,0.5972,0.5619,0.3393,0.4506,0.39,0.3144,0.3522,0.2859,0.5287,0.4073
9.4,0.3145,0.4364,0.5949,0.5615,0.3386,0.4501,0.3782,0.3066,0.3424,0.2707,0.5082,0.3894
9.5,0.3176,0.4434,0.5957,0.5609,0.3427,0.4518,0.3707,0.3073,0.339,0.2621,0.4908,0.3765
9.6,0.3168,0.4535,0.5996,0.5597,0.3512,0.4555,0.368,0.3176,0.3428,0.2603,0.4772,0.3687
9.7,0.3116,0.4662,0.6066,0.5578,0.3639,0.4608,0.3706,0.3379,0.3543,0.2653,0.4677,0.3665
9.8,0.3003,0.481,0.617,0.555,0.3813,0.4681,0.3786,0.3679,0.3732,0.2771,0.4632,0.3702
9.9,0.2823,0.4979,0.6304,0.552,0.4038,0.4779,0.3919,0.4063,0.3991,0.2956,0.4644,0.38
10,0.2593,0.5168,0.6463,0.5497,0.4305,0.4901,0.4102,0.4513,0.4307,0.3203,0.4717,0.396
10.1,0.2331,0.5373,0.6636,0.5484,0.4603,0.5043,0.4328,0.5004,0.4666,0.3506,0.4852,0.4179
10.2,0.2054,0.5586,0.6816,0.548,0.4925,0.5202,0.4591,0.5515,0.5053,0.3855,0.5045,0.445
10.3,0.1765,0.5807,0.699,0.5484,0.5272,0.5378,0.489,0.6031,0.5461,0.4241,0.5285,0.4763
10.4,0.1459,0.6035,0.7141,0.5499,0.5642,0.557,0.5218,0.6533,0.5876,0.4652,0.5558,0.5105
10.5,0.114,0.6264,0.7254,0.5522,0.6019,0.577,0.5557,0.7004,0.6281,0.5074,0.585,0.5462
10.6,0.0824,0.6483,0.7324,0.555,0.6377,0.5963,0.5894,0.7429,0.6662,0.5495,0.6149,0.5822
10.7,0.0532,0.6677,0.7357,0.5578,0.6693,0.6136,0.6219,0.7803,0.7011,0.5909,0.6451,0.618
10.8,0.028,0.6833,0.7353,0.5604,0.6955,0.628,0.6525,0.8123,0.7324,0.631,0.6747,0.6528
10.9,0.0076,0.6949,0.7309,0.5627,0.7159,0.6393,0.6806,0.8378,0.7592,0.6688,0.7025,0.6857
11,-0.0081,0.7032,0.7218,0.5647,0.7311,0.6479,0.7053,0.8555,0.7804,0.7033,0.7269,0.7151
11.1,-0.0196,0.709,0.708,0.5667,0.7417,0.6542,0.726,0.8648,0.7954,0.7333,0.7466,0.74
11.2,-0.0271,0.7127,0.6898,0.5689,0.7482,0.6586,0.7427,0.8652,0.804,0.7584,0.7609,0.7596
11.3,-0.0301,0.7145,0.6677,0.5718,0.7503,0.6611,0.7557,0.8573,0.8065,0.7788,0.7697,0.7743
11.4,-0.0283,0.7144,0.6427,0.5753,0.7471,0.6612,0.7657,0.8417,0.8037,0.795,0.7734,0.7842
11.5,-0.0222,0.7124,0.6164,0.5794,0.7378,0.6586,0.7731,0.8195,0.7963,0.8074,0.7723,0.7898
11.6,-0.0125,0.7084,0.5912,0.5838,0.7224,0.6531,0.7783,0.7919,0.7851,0.8164,0.7674,0.7919
11.7,0.0001,0.7023,0.5687,0.5885,0.7016,0.6451,0.7819,0.7603,0.7711,0.8226,0.76,0.7913
11.8,0.0159,0.6942,0.55,0.5934,0.6769,0.6352,0.7845,0.726,0.7553,0.8266,0.7513,0.789
11.9,0.0354,0.6839,0.535,0.5982,0.6495,0.6239,0.7863,0.6906,0.7384,0.8288,0.7422,0.7855
12,0.0582,0.6715,0.5236,0.6029,0.6203,0.6116,0.7874,0.6557,0.7215,0.829,0.7328,0.7809
12.1,0.0833,0.6575,0.5162,0.6075,0.5903,0.5989,0.7879,0.6231,0.7055,0.8271,0.7226,0.7748
12.2,0.1098,0.6424,0.5137,0.6122,0.5608,0.5865,0.7882,0.5949,0.6916,0.8227,0.7122,0.7675
12.3,0.1371,0.6268,0.5167,0.617,0.5328,0.5749,0.7887,0.5729,0.6808,0.8162,0.7024,0.7593
12.4,0.1646,0.6108,0.525,0.6217,0.5064,0.5641,0.7898,0.5581,0.674,0.8082,0.6935,0.7509
12.5,0.1914,0.5942,0.5373,0.6259,0.4814,0.5537,0.7916,0.5508,0.6712,0.7988,0.6858,0.7423
12.6,0.217,0.5773,0.5518,0.629,0.4581,0.5435,0.7937,0.5502,0.672,0.7882,0.6787,0.7334
12.7,0.2413,0.5602,0.5667,0.6313,0.4373,0.5343,0.7958,0.5553,0.6755,0.7759,0.672,0.7239
12.8,0.2649,0.5435,0.5807,0.6332,0.4197,0.5264,0.7973,0.5649,0.6811,0.7621,0.6656,0.7139
12.9,0.2877,0.5271,0.5932,0.6348,0.4045,0.5196,0.798,0.578,0.688,0.7473,0.6594,0.7034
13,0.3093,0.511,0.6037,0.636,0.3901,0.5131,0.7978,0.5938,0.6958,0.7318,0.6533,0.6925
13.1,0.3289,0.4952,0.6118,0.637,0.3758,0.5064,0.7969,0.6107,0.7038,0.7156,0.6467,0.6811
13.2,0.3472,0.4802,0.6172,0.6386,0.362,0.5003,0.7955,0.6279,0.7117,0.6989,0.6395,0.6692
13.3,0.3654,0.4668,0.6198,0.6417,0.3495,0.4956,0.7937,0.6446,0.7192,0.682,0.6321,0.657
13.4,0.3843,0.4557,0.6198,0.6467,0.3384,0.4925,0.7913,0.6602,0.7257,0.6652,0.6249,0.645
13.5,0.4038,0.4473,0.6172,0.6529,0.3281,0.4905,0.7877,0.6742,0.7309,0.6488,0.6182,0.6335
13.6,0.4234,0.4413,0.6118,0.6598,0.3181,0.489,0.7821,0.6859,0.734,0.6329,0.6118,0.6224
13.7,0.4437,0.4374,0.6031,0.6671,0.3085,0.4878,0.7743,0.6945,0.7344,0.6172,0.6056,0.6114
13.8,0.465,0.4352,0.5914,0.6746,0.299,0.4868,0.7635,0.6993,0.7314,0.6018,0.5997,0.6007
13.9,0.4875,0.434,0.5772,0.6817,0.289,0.4853,0.7498,0.7001,0.725,0.5871,0.5949,0.591
14,0.5103,0.4337,0.5618,0.6882,0.278,0.4831,0.7339,0.6971,0.7155,0.574,0.5921,0.583
14.1,0.5319,0.4345,0.546,0.6939,0.2665,0.4802,0.7171,0.6906,0.7038,0.563,0.5917,0.5773
14.2,0.5511,0.4369,0.5297,0.6992,0.2555,0.4773,0.7002,0.6808,0.6905,0.5544,0.5931,0.5737
14.3,0.5672,0.4415,0.5133,0.704,0.2458,0.4749,0.6843,0.668,0.6762,0.5479,0.5956,0.5717
14.4,0.5796,0.4484,0.4978,0.7081,0.2378,0.4729,0.6701,0.6533,0.6617,0.5431,0.5989,0.571
14.5,0.588,0.4567,0.4846,0.7109,0.2312,0.471,0.6579,0.6378,0.6478,0.54,0.6031,0.5715
14.6,0.5922,0.4653,0.4743,0.712,0.2255,0.4688,0.6479,0.6224,0.6352,0.5386,0.6078,0.5732
14.7,0.592,0.4733,0.4672,0.7113,0.2206,0.4659,0.6401,0.6075,0.6238,0.5388,0.6122,0.5755
14.8,0.5877,0.4808,0.4628,0.7086,0.2168,0.4627,0.6343,0.593,0.6136,0.5404,0.6153,0.5778
14.9,0.5793,0.4879,0.4607,0.7041,0.2145,0.4593,0.6301,0.5786,0.6044,0.5431,0.6169,0.58
15,0.5672,0.4947,0.4605,0.698,0.2144,0.4562,0.6273,0.5646,0.5959,0.5469,0.6173,0.5821
15.1,0.5516,0.5007,0.4617,0.6904,0.2168,0.4536,0.6251,0.5511,0.5881,0.5517,0.6171,0.5844
15.2,0.533,0.5051,0.4635,0.6817,0.2215,0.4516,0.6229,0.5382,0.5805,0.5569,0.616,0.5865
15.3,0.5114,0.5075,0.4654,0.672,0.2282,0.4501,0.6202,0.5258,0.573,0.5619,0.6132,0.5875
15.4,0.4871,0.5084,0.4675,0.662,0.2368,0.4494,0.6168,0.5144,0.5656,0.5659,0.6086,0.5872
15.5,0.4608,0.5088,0.4702,0.6524,0.2481,0.4503,0.6128,0.5045,0.5587,0.5689,0.6028,0.5858
15.6,0.4328,0.5092,0.4741,0.6442,0.2629,0.4535,0.6088,0.4963,0.5526,0.5711,0.597,0.584
15.7,0.4029,0.5097,0.4785,0.637,0.2811,0.4591,0.6053,0.4896,0.5474,0.5728,0.5919,0.5823
15.8,0.3707,0.5097,0.4828,0.6304,0.3022,0.4663,0.6029,0.4837,0.5433,0.5744,0.5874,0.5809
15.9,0.3363,0.509,0.4865,0.6239,0.3255,0.4747,0.6018,0.4786,0.5402,0.5764,0.5839,0.5801
16,0.3014,0.5083,0.4905,0.6181,0.3512,0.4846,0.6025,0.4746,0.5385,0.5798,0.5821,0.5809
16.1,0.2673,0.5082,0.4956,0.6143,0.3793,0.4968,0.6054,0.4722,0.5388,0.5853,0.5832,0.5842
16.2,0.2346,0.5095,0.503,0.613,0.4092,0.5111,0.6105,0.472,0.5413,0.5932,0.5879,0.5905
16.3,0.2022,0.512,0.5127,0.6139,0.4398,0.5269,0.6174,0.4742,0.5458,0.6033,0.596,0.5996
16.4,0.1687,0.5158,0.5243,0.6164,0.4698,0.5431,0.6255,0.4786,0.5521,0.615,0.6067,0.6108
16.5,0.1333,0.5208,0.5372,0.6197,0.4986,0.5592,0.6343,0.4852,0.5598,0.6278,0.6196,0.6237
16.6,0.0961,0.5272,0.5508,0.6235,0.5261,0.5748,0.6438,0.4937,0.5688,0.642,0.6347,0.6383
16.7,0.0578,0.5351,0.5652,0.6273,0.5518,0.5895,0.654,0.5042,0.5791,0.6579,0.6522,0.6551
16.8,0.0186,0.5439,0.5801,0.6307,0.575,0.6028,0.6648,0.5163,0.5905,0.6757,0.672,0.6738
16.9,-0.0207,0.5528,0.5951,0.6335,0.5953,0.6144,0.6758,0.5295,0.6026,0.6948,0.6929,0.6939
17,-0.059,0.5612,0.6096,0.6356,0.613,0.6243,0.6866,0.5431,0.6149,0.7145,0.7136,0.714
17.1,-0.0956,0.5686,0.6234,0.6369,0.6284,0.6326,0.6968,0.557,0.6269,0.7337,0.7333,0.7335
17.2,-0.1304,0.5746,0.6365,0.6365,0.6413,0.6389,0.7061,0.5709,0.6385,0.7517,0.7514,0.7515
17.3,-0.1638,0.5787,0.649,0.6336,0.6509,0.6423,0.7141,0.5846,0.6493,0.768,0.7678,0.7679
17.4,-0.1949,0.5803,0.6604,0.6278,0.6566,0.6422,0.7206,0.5975,0.6591,0.7821,0.7818,0.782
17.5,-0.222,0.5793,0.6699,0.6195,0.6581,0.6388,0.7252,0.609,0.6671,0.7936,0.793,0.7933
17.6,-0.243,0.5761,0.6768,0.6095,0.6559,0.6327,0.7274,0.6182,0.6728,0.8021,0.8006,0.8013
17.7,-0.2573,0.5709,0.681,0.5985,0.6502,0.6244,0.7269,0.625,0.6759,0.8071,0.8045,0.8058
17.8,-0.2654,0.5637,0.6828,0.5869,0.6413,0.6141,0.7234,0.6294,0.6764,0.8086,0.805,0.8068
17.9,-0.2686,0.5548,0.6827,0.575,0.6299,0.6024,0.717,0.6313,0.6742,0.8068,0.8026,0.8047
18,-0.2677,0.5448,0.6811,0.5634,0.6172,0.5903,0.708,0.6303,0.6691,0.8019,0.7975,0.7997
18.1,-0.263,0.5349,0.6782,0.5524,0.6044,0.5784,0.6967,0.6263,0.6615,0.7941,0.79,0.7921
18.2,-0.2553,0.526,0.6747,0.5428,0.5923,0.5675,0.684,0.6201,0.6521,0.7838,0.7809,0.7824
18.3,-0.2458,0.5186,0.6712,0.5351,0.5815,0.5583,0.6705,0.6128,0.6416,0.7719,0.7712,0.7716
18.4,-0.2353,0.513,0.6686,0.53,0.5732,0.5516,0.6569,0.6057,0.6313,0.7591,0.7617,0.7604
18.5,-0.2241,0.5094,0.6675,0.5284,0.569,0.5487,0.6442,0.5994,0.6218,0.746,0.7528,0.7494
18.6,-0.2115,0.5087,0.6682,0.5315,0.5701,0.5508,0.6331,0.5947,0.6139,0.7331,0.7451,0.7391
18.7,-0.1969,0.5115,0.6711,0.54,0.5769,0.5585,0.6243,0.5918,0.6081,0.7204,0.7386,0.7295
18.8,-0.1802,0.5178,0.676,0.554,0.5888,0.5714,0.6184,0.5912,0.6048,0.7084,0.7339,0.7211
18.9,-0.1621,0.5264,0.6824,0.5725,0.604,0.5882,0.6155,0.5924,0.604,0.6971,0.731,0.714
19,-0.1439,0.5359,0.6893,0.5935,0.6208,0.6071,0.6153,0.5948,0.6051,0.6867,0.7295,0.7081
19.1,-0.1274,0.5451,0.6954,0.6152,0.6378,0.6265,0.6171,0.5976,0.6074,0.6771,0.7288,0.703
19.2,-0.113,0.5533,0.7,0.6364,0.6539,0.6452,0.6199,0.6002,0.61,0.6685,0.7284,0.6984
19.3,-0.1,0.5607,0.7027,0.6566,0.6686,0.6626,0.6226,0.6022,0.6124,0.6605,0.7279,0.6942
19.4,-0.0867,0.5669,0.7028,0.6756,0.6813,0.6785,0.625,0.6034,0.6142,0.6527,0.7268,0.6898
19.5,-0.0723,0.5716,0.6996,0.6929,0.691,0.6919,0.6268,0.603,0.6149,0.6446,0.7241,0.6844
19.6,-0.057,0.5737,0.6927,0.7069,0.6966,0.7018,0.6281,0.6002,0.6142,0.636,0.719,0.6775
19.7,-0.0417,0.5726,0.6817,0.7166,0.6975,0.7071,0.6288,0.5947,0.6118,0.6271,0.7111,0.6691
19.8,-0.0263,0.5685,0.6668,0.7213,0.6936,0.7074,0.6292,0.5864,0.6078,0.6181,0.7005,0.6593
19.9,-0.0104,0.5621,0.6481,0.721,0.6853,0.7031,0.6294,0.5755,0.6024,0.6091,0.6875,0.6483
20,0.0058,0.5537,0.6264,0.7159,0.6731,0.6945,0.6297,0.5625,0.5961,0.6003,0.6726,0.6364
20.1,0.0221,0.5435,0.6023,0.7064,0.6576,0.682,0.6299,0.5481,0.589,0.592,0.6561,0.624
20.2,0.0379,0.532,0.5769,0.6927,0.6394,0.666,0.6296,0.533,0.5813,0.5845,0.6383,0.6114
20.3,0.0533,0.52,0.5515,0.6754,0.6194,0.6474,0.6287,0.5181,0.5734,0.5781,0.6201,0.5991
20.4,0.0688,0.5087,0.5275,0.6552,0.5983,0.6267,0.6276,0.5045,0.5661,0.5731,0.6023,0.5877
20.5,0.0846,0.4986,0.5062,0.6329,0.5769,0.6049,0.6268,0.4933,0.5601,0.5695,0.5859,0.5777
20.6,0.101,0.4901,0.4887,0.6093,0.5559,0.5826,0.627,0.4852,0.5561,0.5677,0.5715,0.5696
20.7,0.1188,0.4839,0.4755,0.5857,0.536,0.5608,0.6285,0.4806,0.5546,0.5681,0.5595,0.5638
20.8,0.139,0.4808,0.4671,0.5638,0.5182,0.541,0.6319,0.4795,0.5557,0.5714,0.5504,0.5609
20.9,0.1621,0.482,0.4636,0.545,0.504,0.5245,0.6368,0.4818,0.5593,0.5777,0.5444,0.5611
21,0.1871,0.4876,0.465,0.5303,0.4944,0.5123,0.6429,0.4874,0.5651,0.5866,0.5413,0.564
21.1,0.2119,0.4968,0.4717,0.5197,0.4902,0.5049,0.6493,0.496,0.5726,0.5974,0.5412,0.5693
