Time,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC,ANZ3674 - ATM and Ninja Client TVC
4.8,-0.0473,0.8176,0.7859,0.7315,0.7588,0.7452,0.5795,0.5461,0.5628,0.4133,0.5413,0.4773
4.9,-0.0649,0.809,0.7915,0.736,0.7489,0.7424,0.5724,0.5369,0.5546,0.4049,0.5394,0.4722
5,-0.0861,0.8009,0.7939,0.7374,0.7389,0.7381,0.5649,0.5277,0.5463,0.3985,0.5368,0.4676
5.1,-0.1099,0.794,0.7929,0.7362,0.7289,0.7325,0.5574,0.5188,0.5381,0.394,0.5333,0.4636
5.2,-0.1352,0.7882,0.7884,0.7323,0.7186,0.7255,0.5503,0.5108,0.5305,0.3912,0.5291,0.4601
5.3,-0.1617,0.7835,0.7814,0.7263,0.708,0.7171,0.5439,0.5042,0.5241,0.3898,0.5247,0.4572
5.4,-0.1892,0.7804,0.7728,0.7185,0.6974,0.7079,0.5384,0.4998,0.5191,0.3901,0.5207,0.4554
5.5,-0.2163,0.7798,0.7637,0.7098,0.6872,0.6985,0.5339,0.4979,0.5159,0.3926,0.5179,0.4553
5.6,-0.2411,0.7821,0.7544,0.7011,0.6779,0.6895,0.5311,0.4987,0.5149,0.3978,0.5169,0.4574
5.7,-0.2612,0.7873,0.7455,0.693,0.6703,0.6816,0.5306,0.502,0.5163,0.4063,0.5179,0.4621
5.8,-0.2739,0.7945,0.7376,0.6851,0.665,0.6751,0.5326,0.5083,0.5204,0.4185,0.5207,0.4696
5.9,-0.2774,0.8025,0.7317,0.6767,0.663,0.6698,0.5366,0.5176,0.5271,0.4342,0.5254,0.4798
6,-0.272,0.8104,0.7288,0.6672,0.6641,0.6656,0.5422,0.5304,0.5363,0.4535,0.5323,0.4929
6.1,-0.2587,0.8174,0.7296,0.6571,0.6678,0.6625,0.5492,0.5464,0.5478,0.4759,0.542,0.509
6.2,-0.2386,0.8229,0.7341,0.6476,0.6734,0.6605,0.5579,0.565,0.5615,0.5014,0.5546,0.528
6.3,-0.2124,0.8266,0.7421,0.6392,0.6803,0.6597,0.5692,0.5854,0.5773,0.5295,0.5699,0.5497
6.4,-0.181,0.8282,0.7534,0.6321,0.6883,0.6602,0.5831,0.6069,0.595,0.5599,0.5878,0.5739
6.5,-0.1449,0.8277,0.7675,0.6265,0.6972,0.6618,0.5993,0.629,0.6142,0.5918,0.6083,0.6
6.6,-0.1044,0.8254,0.7837,0.6227,0.7066,0.6647,0.6167,0.6512,0.634,0.6242,0.6315,0.6278
6.7,-0.0603,0.822,0.8011,0.6213,0.7163,0.6688,0.6342,0.6732,0.6537,0.6566,0.6573,0.6569
6.8,-0.0138,0.8181,0.8188,0.6228,0.7257,0.6743,0.6512,0.6945,0.6729,0.6887,0.6855,0.6871
6.9,0.0337,0.8143,0.8359,0.6278,0.7349,0.6814,0.6672,0.7146,0.6909,0.7207,0.7151,0.7179
7,0.081,0.8111,0.8515,0.6367,0.744,0.6904,0.6815,0.7329,0.7072,0.7521,0.7445,0.7483
7.1,0.1258,0.8091,0.8647,0.6493,0.7537,0.7015,0.6937,0.7493,0.7215,0.7823,0.7722,0.7773
7.2,0.1668,0.8086,0.8744,0.6654,0.7645,0.715,0.7035,0.7633,0.7334,0.8104,0.7968,0.8036
7.3,0.203,0.8096,0.8796,0.6843,0.7764,0.7304,0.7109,0.7749,0.7429,0.8355,0.8173,0.8264
7.4,0.2336,0.8118,0.8796,0.7052,0.7894,0.7473,0.7165,0.7838,0.7502,0.8569,0.8332,0.8451
7.5,0.259,0.8148,0.8747,0.7273,0.803,0.7652,0.7205,0.7901,0.7553,0.8749,0.8442,0.8596
7.6,0.2796,0.8185,0.8658,0.7502,0.8167,0.7834,0.7229,0.7939,0.7584,0.8899,0.8504,0.8701
7.7,0.2954,0.8223,0.8538,0.7735,0.8296,0.8015,0.7239,0.7956,0.7598,0.9023,0.8521,0.8772
7.8,0.3066,0.8262,0.8389,0.7966,0.8413,0.819,0.7242,0.7952,0.7597,0.9124,0.8493,0.8808
7.9,0.3136,0.8306,0.8211,0.8192,0.8516,0.8354,0.7242,0.7922,0.7582,0.9201,0.8421,0.8811
8,0.3174,0.836,0.8001,0.8406,0.8603,0.8505,0.7245,0.7865,0.7555,0.9254,0.8304,0.8779
8.1,0.3191,0.8428,0.7768,0.8607,0.8673,0.864,0.7256,0.778,0.7518,0.9287,0.815,0.8718
8.2,0.3195,0.8511,0.7523,0.8797,0.8719,0.8758,0.728,0.7673,0.7477,0.9305,0.7967,0.8636
8.3,0.3182,0.8608,0.7278,0.8982,0.8736,0.8859,0.7318,0.7548,0.7433,0.9308,0.7759,0.8534
8.4,0.3141,0.871,0.7043,0.9153,0.872,0.8937,0.7367,0.741,0.7388,0.9291,0.7531,0.8411
8.5,0.3066,0.8812,0.6825,0.9296,0.8666,0.8981,0.7421,0.7263,0.7342,0.9249,0.7287,0.8268
8.6,0.2957,0.8907,0.6633,0.9396,0.8575,0.8985,0.7479,0.7117,0.7298,0.9183,0.7035,0.8109
8.7,0.2822,0.8995,0.6477,0.9453,0.8449,0.8951,0.7544,0.6985,0.7264,0.9103,0.6783,0.7943
8.8,0.2684,0.9077,0.6363,0.948,0.8295,0.8888,0.7621,0.6882,0.7251,0.9022,0.6541,0.7782
8.9,0.2572,0.9157,0.6291,0.9494,0.8117,0.8806,0.7717,0.6813,0.7265,0.8943,0.6316,0.763
9,0.251,0.9238,0.6257,0.9508,0.7927,0.8718,0.7831,0.6777,0.7304,0.8864,0.6108,0.7486
9.1,0.2509,0.9321,0.6259,0.9527,0.774,0.8634,0.7962,0.6769,0.7366,0.8777,0.592,0.7349
9.2,0.2566,0.9404,0.6295,0.9555,0.7576,0.8565,0.8108,0.6786,0.7447,0.8682,0.5757,0.722
9.3,0.2664,0.9485,0.6356,0.9598,0.7448,0.8523,0.8264,0.6827,0.7546,0.8579,0.5627,0.7103
9.4,0.2783,0.9556,0.6428,0.9676,0.7366,0.8521,0.8429,0.6888,0.7659,0.8472,0.5534,0.7003
9.5,0.2905,0.9608,0.6497,0.9795,0.7329,0.8562,0.8596,0.6965,0.7781,0.8366,0.5478,0.6922
9.6,0.3028,0.9631,0.6551,0.9944,0.7328,0.8636,0.8754,0.7048,0.7901,0.8261,0.5458,0.6859
9.7,0.3152,0.9616,0.6587,1.0099,0.7353,0.8726,0.8891,0.7131,0.8011,0.8156,0.547,0.6813
9.8,0.3275,0.9557,0.6603,1.0239,0.7398,0.8818,0.8998,0.7209,0.8103,0.8048,0.5512,0.678
9.9,0.3389,0.9455,0.6595,1.0354,0.7459,0.8907,0.9069,0.7274,0.8171,0.7931,0.5573,0.6752
10,0.3481,0.9313,0.6553,1.044,0.7536,0.8988,0.9101,0.7314,0.8208,0.7802,0.5642,0.6722
10.1,0.3551,0.9141,0.647,1.0498,0.7624,0.9061,0.9094,0.732,0.8207,0.7657,0.5705,0.6681
10.2,0.3602,0.8949,0.6345,1.0533,0.7719,0.9126,0.9055,0.7287,0.8171,0.7498,0.5752,0.6625
10.3,0.3642,0.8747,0.6185,1.055,0.7812,0.9181,0.899,0.7218,0.8104,0.7323,0.5778,0.655
10.4,0.3676,0.8538,0.5996,1.0548,0.7901,0.9225,0.8904,0.7116,0.801,0.7132,0.5783,0.6457
10.5,0.3701,0.8324,0.5787,1.0524,0.7977,0.9251,0.8802,0.6987,0.7894,0.6922,0.5768,0.6345
10.6,0.3712,0.8104,0.5572,1.047,0.8032,0.9251,0.8684,0.6836,0.776,0.6691,0.5734,0.6212
10.7,0.37,0.7873,0.5364,1.0377,0.8053,0.9215,0.855,0.6668,0.7609,0.644,0.5681,0.606
10.8,0.3658,0.7628,0.5174,1.024,0.8029,0.9134,0.84,0.6489,0.7445,0.6177,0.5612,0.5894
10.9,0.3577,0.7366,0.5007,1.006,0.7955,0.9007,0.8236,0.6304,0.727,0.5915,0.553,0.5723
11,0.3445,0.7088,0.4868,0.9839,0.7835,0.8837,0.8062,0.6121,0.7091,0.5665,0.544,0.5553
11.1,0.3249,0.6798,0.4763,0.9583,0.7673,0.8628,0.7886,0.5948,0.6917,0.5434,0.5343,0.5389
11.2,0.2986,0.6499,0.4695,0.9293,0.7472,0.8382,0.7717,0.5791,0.6754,0.5227,0.5245,0.5236
11.3,0.2654,0.6194,0.4666,0.8967,0.7233,0.81,0.7562,0.5652,0.6607,0.5047,0.515,0.5099
11.4,0.2262,0.5887,0.4679,0.8605,0.6959,0.7782,0.7425,0.5537,0.6481,0.49,0.5068,0.4984
11.5,0.1822,0.559,0.4737,0.8213,0.6663,0.7438,0.7305,0.5451,0.6378,0.4794,0.5006,0.49
11.6,0.1352,0.5317,0.4844,0.7798,0.6364,0.7081,0.7197,0.5403,0.63,0.4734,0.4971,0.4852
11.7,0.0873,0.5081,0.5003,0.7372,0.6079,0.6725,0.7098,0.5401,0.625,0.4724,0.4968,0.4846
11.8,0.0406,0.4894,0.5211,0.6945,0.5822,0.6384,0.701,0.5451,0.6231,0.4768,0.5006,0.4887
11.9,-0.0028,0.4761,0.5465,0.653,0.5604,0.6067,0.6942,0.5554,0.6248,0.4875,0.5093,0.4984
12,-0.0408,0.4683,0.5756,0.6141,0.543,0.5785,0.6903,0.5703,0.6303,0.5052,0.5232,0.5142
12.1,-0.0718,0.4655,0.6078,0.5791,0.5304,0.5548,0.6898,0.5891,0.6394,0.5296,0.5418,0.5357
12.2,-0.0954,0.467,0.6425,0.5487,0.5227,0.5357,0.6929,0.6105,0.6517,0.5597,0.5639,0.5618
12.3,-0.1126,0.4719,0.6785,0.5225,0.5197,0.5211,0.6993,0.6333,0.6663,0.594,0.5886,0.5913
12.4,-0.1258,0.4789,0.7142,0.5002,0.5212,0.5107,0.7079,0.6561,0.682,0.6313,0.6153,0.6233
12.5,-0.1378,0.4868,0.7477,0.481,0.5267,0.5038,0.717,0.6776,0.6973,0.6702,0.643,0.6566
12.6,-0.1512,0.4946,0.7776,0.4642,0.5357,0.5,0.7246,0.6969,0.7108,0.7095,0.6707,0.6901
12.7,-0.1669,0.5015,0.8029,0.4494,0.5475,0.4985,0.7288,0.7134,0.7211,0.7478,0.6972,0.7225
12.8,-0.1835,0.5072,0.8235,0.4361,0.5608,0.4984,0.7284,0.7266,0.7275,0.7839,0.7215,0.7527
12.9,-0.1993,0.5111,0.8387,0.4236,0.5743,0.4989,0.7227,0.7354,0.729,0.8163,0.7428,0.7795
13,-0.2121,0.5129,0.8483,0.4116,0.5871,0.4994,0.7118,0.739,0.7254,0.8435,0.7602,0.8019
13.1,-0.2206,0.5127,0.8526,0.4007,0.599,0.4998,0.6963,0.7372,0.7167,0.8645,0.7733,0.8189
13.2,-0.2244,0.5111,0.8522,0.3917,0.6104,0.5011,0.677,0.7301,0.7035,0.8785,0.7811,0.8298
13.3,-0.2233,0.5084,0.8479,0.3854,0.6216,0.5035,0.6547,0.7184,0.6866,0.8853,0.7833,0.8343
13.4,-0.2165,0.5054,0.8403,0.3821,0.6318,0.507,0.6307,0.7026,0.6667,0.8855,0.7802,0.8328
13.5,-0.2031,0.5023,0.83,0.3823,0.6408,0.5115,0.6061,0.6838,0.6449,0.8799,0.7726,0.8262
13.6,-0.1832,0.4988,0.8175,0.3862,0.6481,0.5171,0.5819,0.6632,0.6225,0.8697,0.7615,0.8156
13.7,-0.1588,0.4944,0.8033,0.3936,0.6538,0.5237,0.5587,0.6417,0.6002,0.8554,0.748,0.8017
13.8,-0.1333,0.4886,0.7879,0.4039,0.6579,0.5309,0.5363,0.6205,0.5784,0.8381,0.7325,0.7853
13.9,-0.1098,0.4811,0.7721,0.4163,0.6605,0.5384,0.5149,0.6,0.5574,0.8187,0.7161,0.7674
14,-0.0898,0.4726,0.7562,0.4302,0.6615,0.5459,0.4949,0.5806,0.5377,0.7985,0.6994,0.749
14.1,-0.074,0.4635,0.7405,0.4454,0.6611,0.5532,0.4772,0.5623,0.5197,0.7787,0.6833,0.731
14.2,-0.0624,0.4548,0.7254,0.4619,0.6595,0.5607,0.4628,0.5452,0.504,0.7601,0.6686,0.7144
14.3,-0.0549,0.4467,0.7117,0.4801,0.6574,0.5687,0.4527,0.53,0.4914,0.7433,0.6556,0.6994
14.4,-0.0509,0.4395,0.7002,0.4997,0.6548,0.5772,0.4471,0.5173,0.4822,0.7284,0.6446,0.6865
14.5,-0.0496,0.4332,0.6919,0.52,0.6516,0.5858,0.4461,0.5076,0.4769,0.7155,0.636,0.6757
14.6,-0.0505,0.4275,0.6873,0.5402,0.648,0.5941,0.4494,0.5014,0.4754,0.7045,0.6299,0.6672
14.7,-0.0536,0.423,0.6866,0.5597,0.6445,0.6021,0.4564,0.4989,0.4777,0.6956,0.6264,0.661
14.8,-0.0592,0.4203,0.6895,0.5785,0.642,0.6102,0.4665,0.5003,0.4834,0.6886,0.6254,0.657
14.9,-0.0675,0.4195,0.6962,0.5963,0.6411,0.6187,0.4796,0.5059,0.4927,0.6833,0.6267,0.655
15,-0.0788,0.4199,0.7064,0.6123,0.6419,0.6271,0.4956,0.5161,0.5058,0.6795,0.6298,0.6546
15.1,-0.0941,0.4206,0.7195,0.6257,0.644,0.6348,0.5146,0.5306,0.5226,0.6768,0.6338,0.6553
15.2,-0.1146,0.4208,0.7343,0.636,0.6471,0.6415,0.5362,0.5488,0.5425,0.6746,0.6376,0.6561
15.3,-0.141,0.4202,0.7495,0.6424,0.6518,0.6471,0.5599,0.5695,0.5647,0.6724,0.64,0.6562
15.4,-0.1729,0.4192,0.7638,0.645,0.6583,0.6516,0.5847,0.5915,0.5881,0.6696,0.6402,0.6549
15.5,-0.2097,0.418,0.7762,0.6439,0.6664,0.6552,0.6092,0.6136,0.6114,0.6659,0.6378,0.6518
15.6,-0.2514,0.4168,0.7862,0.6398,0.6758,0.6578,0.6322,0.6347,0.6334,0.6616,0.633,0.6473
15.7,-0.297,0.4158,0.7935,0.6339,0.6865,0.6602,0.6525,0.6538,0.6531,0.6573,0.6267,0.642
15.8,-0.3453,0.4154,0.798,0.6272,0.6989,0.663,0.6692,0.6701,0.6697,0.6536,0.6197,0.6367
15.9,-0.3941,0.4161,0.7997,0.6208,0.714,0.6674,0.6815,0.6833,0.6824,0.6509,0.6123,0.6316
16,-0.4416,0.4185,0.7986,0.6156,0.7322,0.6739,0.6893,0.6937,0.6915,0.6489,0.6048,0.6268
16.1,-0.4863,0.423,0.795,0.6125,0.7537,0.6831,0.6931,0.7018,0.6974,0.6474,0.5971,0.6222
16.2,-0.5274,0.4288,0.7888,0.6122,0.7783,0.6952,0.6934,0.7079,0.7007,0.646,0.5896,0.6178
16.3,-0.5648,0.4357,0.78,0.615,0.8053,0.7102,0.6909,0.712,0.7014,0.6446,0.5826,0.6136
16.4,-0.5985,0.4438,0.7692,0.6213,0.8338,0.7275,0.6862,0.7143,0.7003,0.6433,0.5764,0.6098
16.5,-0.6286,0.4533,0.7572,0.6306,0.8627,0.7467,0.6802,0.7159,0.698,0.6422,0.5713,0.6067
16.6,-0.6549,0.4641,0.7449,0.6423,0.8909,0.7666,0.6736,0.7177,0.6956,0.6417,0.5674,0.6046
16.7,-0.6772,0.4751,0.7325,0.6558,0.917,0.7864,0.6672,0.7202,0.6937,0.6424,0.5649,0.6037
16.8,-0.694,0.4851,0.7198,0.6703,0.9399,0.8051,0.6616,0.7228,0.6922,0.6447,0.5642,0.6045
16.9,-0.7036,0.4929,0.7065,0.6854,0.9589,0.8221,0.6571,0.7248,0.6909,0.649,0.5654,0.6072
17,-0.7061,0.498,0.6926,0.7009,0.9734,0.8372,0.6539,0.7254,0.6896,0.6549,0.5682,0.6116
17.1,-0.7027,0.5004,0.6785,0.7164,0.9833,0.8499,0.6522,0.7243,0.6883,0.6623,0.5723,0.6173
17.2,-0.6954,0.5002,0.665,0.7313,0.9883,0.8598,0.6523,0.7215,0.6869,0.6706,0.5774,0.624
17.3,-0.6848,0.4978,0.6527,0.7449,0.9886,0.8667,0.6542,0.7165,0.6854,0.6795,0.5839,0.6317
17.4,-0.6709,0.4928,0.6419,0.7567,0.9843,0.8705,0.6579,0.7091,0.6835,0.6882,0.5917,0.64
17.5,-0.6538,0.4854,0.6327,0.7666,0.9758,0.8712,0.6625,0.6991,0.6808,0.696,0.6001,0.6481
17.6,-0.6346,0.4754,0.625,0.7744,0.9639,0.8691,0.667,0.6874,0.6772,0.7018,0.6084,0.6551
17.7,-0.6152,0.4633,0.6186,0.7797,0.9494,0.8645,0.6707,0.6748,0.6727,0.7049,0.6157,0.6603
17.8,-0.597,0.4493,0.6135,0.7818,0.933,0.8574,0.6728,0.662,0.6674,0.7049,0.6219,0.6634
17.9,-0.5807,0.4344,0.6098,0.7803,0.915,0.8477,0.673,0.6493,0.6612,0.7019,0.627,0.6644
18,-0.5655,0.4195,0.6073,0.7753,0.8956,0.8354,0.6711,0.6361,0.6536,0.6957,0.6309,0.6633
18.1,-0.5507,0.4052,0.6053,0.7666,0.8748,0.8207,0.6666,0.622,0.6443,0.6864,0.633,0.6597
18.2,-0.5361,0.392,0.6035,0.7544,0.8529,0.8037,0.6592,0.6071,0.6332,0.6739,0.633,0.6534
18.3,-0.5217,0.3803,0.602,0.7386,0.8302,0.7844,0.6493,0.5919,0.6206,0.6586,0.6309,0.6448
18.4,-0.5081,0.3702,0.6009,0.7198,0.8075,0.7636,0.6373,0.577,0.6072,0.6412,0.6273,0.6343
18.5,-0.4957,0.362,0.6003,0.6996,0.7855,0.7425,0.6239,0.5622,0.5931,0.6225,0.6226,0.6225
18.6,-0.4842,0.3565,0.6002,0.6795,0.7654,0.7225,0.6098,0.5476,0.5787,0.6032,0.6175,0.6103
18.7,-0.4724,0.3545,0.601,0.6608,0.7486,0.7047,0.5962,0.5342,0.5652,0.5849,0.6132,0.599
18.8,-0.459,0.3562,0.6031,0.6451,0.7358,0.6905,0.5838,0.523,0.5534,0.569,0.6112,0.5901
18.9,-0.4432,0.3618,0.6072,0.634,0.7276,0.6808,0.5737,0.5152,0.5445,0.557,0.6129,0.585
19,-0.4248,0.3708,0.6137,0.6288,0.7242,0.6765,0.5668,0.5116,0.5392,0.5497,0.6189,0.5843
19.1,-0.4036,0.3833,0.6227,0.6302,0.7257,0.6779,0.5637,0.5128,0.5382,0.5474,0.6295,0.5885
19.2,-0.3797,0.3989,0.6344,0.638,0.7317,0.6849,0.5645,0.5194,0.542,0.5497,0.6442,0.597
19.3,-0.3536,0.4174,0.6482,0.6516,0.7418,0.6967,0.5685,0.5314,0.5499,0.5557,0.662,0.6088
19.4,-0.3258,0.4384,0.6635,0.6702,0.7551,0.7127,0.5747,0.5483,0.5615,0.5641,0.6815,0.6228
19.5,-0.2966,0.4614,0.6798,0.6933,0.7708,0.7321,0.5827,0.5688,0.5757,0.5738,0.7021,0.638
19.6,-0.2657,0.4857,0.6967,0.7202,0.7875,0.7538,0.5923,0.5913,0.5918,0.5842,0.7231,0.6537
19.7,-0.2338,0.5108,0.7141,0.7494,0.8034,0.7764,0.6038,0.6142,0.609,0.5951,0.7444,0.6697
19.8,-0.2027,0.5363,0.7318,0.7792,0.8172,0.7982,0.6167,0.6365,0.6266,0.6068,0.7657,0.6863
19.9,-0.1754,0.561,0.7494,0.8081,0.8285,0.8183,0.6307,0.6574,0.644,0.6196,0.7865,0.7031
20,-0.1538,0.5836,0.7657,0.8345,0.8378,0.8362,0.6447,0.6762,0.6604,0.6334,0.8057,0.7195
20.1,-0.138,0.6034,0.7795,0.8574,0.8456,0.8515,0.6579,0.6919,0.6749,0.6476,0.8222,0.7349
20.2,-0.1273,0.6204,0.79,0.8757,0.8523,0.864,0.6698,0.7042,0.687,0.6613,0.8352,0.7482
20.3,-0.1218,0.6355,0.7973,0.889,0.8577,0.8734,0.6796,0.7134,0.6965,0.6737,0.8439,0.7588
20.4,-0.123,0.6494,0.8021,0.897,0.8621,0.8796,0.6867,0.7204,0.7036,0.6844,0.8481,0.7663
20.5,-0.132,0.6625,0.8053,0.8996,0.8662,0.8829,0.6907,0.7262,0.7084,0.6933,0.8476,0.7704
20.6,-0.1475,0.6752,0.8072,0.8973,0.8704,0.8839,0.6918,0.7313,0.7115,0.7009,0.8429,0.7719
20.7,-0.1664,0.6879,0.8081,0.8908,0.8753,0.883,0.6909,0.7359,0.7134,0.7082,0.8348,0.7715
20.8,-0.1865,0.701,0.8079,0.8803,0.8805,0.8804,0.6889,0.7404,0.7146,0.7159,0.8243,0.7701
20.9,-0.2072,0.7144,0.8068,0.8654,0.8857,0.8756,0.6864,0.7449,0.7157,0.7238,0.8117,0.7677
