Time,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC,AFLW - We Are Back 30 TVC
8.5,-0.0822,0.5573,0.753,0.465,0.4863,0.4757,0.5431,0.6127,0.5779,0.6922,0.6967,0.6944
8.6,-0.074,0.5311,0.7704,0.4516,0.4614,0.4565,0.5474,0.612,0.5797,0.7174,0.7141,0.7158
8.7,-0.0657,0.5022,0.7861,0.4366,0.4353,0.436,0.5518,0.6105,0.5812,0.7433,0.7323,0.7378
8.8,-0.0582,0.4723,0.8007,0.4214,0.409,0.4152,0.5565,0.6087,0.5826,0.7699,0.7518,0.7608
8.9,-0.0524,0.4427,0.8143,0.4069,0.3838,0.3953,0.561,0.6072,0.5841,0.7964,0.7721,0.7842
9,-0.0478,0.4147,0.8261,0.3936,0.3605,0.377,0.5646,0.6057,0.5852,0.8221,0.7929,0.8075
9.1,-0.0432,0.3891,0.8352,0.3817,0.3397,0.3607,0.5664,0.6042,0.5853,0.8461,0.8136,0.8298
9.2,-0.0371,0.3663,0.8411,0.3713,0.3221,0.3467,0.5656,0.602,0.5838,0.8679,0.8341,0.851
9.3,-0.0288,0.3461,0.8435,0.3615,0.3081,0.3348,0.5612,0.5987,0.5799,0.8873,0.8542,0.8708
9.4,-0.0184,0.3288,0.8427,0.3517,0.2979,0.3248,0.5527,0.594,0.5733,0.9043,0.8735,0.8889
9.5,-0.007,0.3149,0.839,0.3411,0.2922,0.3166,0.5402,0.5884,0.5643,0.9188,0.8919,0.9054
9.6,0.004,0.3054,0.8331,0.3297,0.2916,0.3107,0.5246,0.5827,0.5536,0.9316,0.9096,0.9206
9.7,0.0122,0.3017,0.8254,0.3177,0.2977,0.3077,0.507,0.5773,0.5422,0.9428,0.927,0.9349
9.8,0.0146,0.3045,0.8167,0.3052,0.3119,0.3085,0.4884,0.5726,0.5305,0.9526,0.9444,0.9485
9.9,0.0092,0.3137,0.8075,0.2919,0.3346,0.3132,0.4689,0.5687,0.5188,0.9607,0.9623,0.9615
10,-0.0047,0.3282,0.7986,0.2771,0.3648,0.3209,0.4494,0.5658,0.5076,0.9672,0.9805,0.9738
10.1,-0.0263,0.3466,0.7901,0.2608,0.3998,0.3303,0.4311,0.5639,0.4975,0.9722,0.9988,0.9855
10.2,-0.0538,0.3677,0.7822,0.2439,0.4372,0.3406,0.4157,0.563,0.4893,0.9762,1.0167,0.9965
10.3,-0.0852,0.3908,0.7745,0.2278,0.4755,0.3516,0.4047,0.5627,0.4837,0.9795,1.0338,1.0067
10.4,-0.119,0.416,0.7662,0.2136,0.5142,0.3639,0.3989,0.5627,0.4808,0.982,1.0498,1.0159
10.5,-0.1535,0.4432,0.7573,0.2024,0.5531,0.3777,0.3986,0.5631,0.4809,0.9833,1.0638,1.0236
10.6,-0.1859,0.4718,0.7484,0.1953,0.5911,0.3932,0.404,0.5638,0.4839,0.9827,1.0754,1.029
10.7,-0.2132,0.5006,0.7408,0.1936,0.6268,0.4102,0.4152,0.5648,0.49,0.9795,1.084,1.0318
10.8,-0.2333,0.5287,0.7358,0.1986,0.6585,0.4286,0.4319,0.5655,0.4987,0.9737,1.0897,1.0317
10.9,-0.2458,0.5558,0.734,0.2115,0.685,0.4482,0.4535,0.5654,0.5094,0.9652,1.0924,1.0288
11,-0.2504,0.5816,0.7352,0.2326,0.7051,0.4689,0.4787,0.5641,0.5214,0.954,1.0915,1.0228
11.1,-0.247,0.6054,0.7389,0.262,0.7182,0.4901,0.5062,0.5619,0.5341,0.9402,1.0861,1.0132
11.2,-0.2357,0.6264,0.7441,0.2988,0.7238,0.5113,0.5345,0.5589,0.5467,0.9244,1.0754,0.9999
11.3,-0.2173,0.6433,0.7505,0.3409,0.7228,0.5319,0.5619,0.555,0.5584,0.907,1.0591,0.9831
11.4,-0.1941,0.6557,0.7574,0.3853,0.7162,0.5508,0.5867,0.55,0.5684,0.8889,1.0382,0.9635
11.5,-0.1687,0.6638,0.7642,0.4288,0.7055,0.5671,0.6078,0.5442,0.576,0.8707,1.0141,0.9424
11.6,-0.1423,0.6681,0.7702,0.4694,0.6913,0.5804,0.6251,0.5382,0.5816,0.8531,0.9884,0.9207
11.7,-0.1144,0.6697,0.7746,0.5062,0.6741,0.5901,0.639,0.5324,0.5857,0.8367,0.9622,0.8995
11.8,-0.0838,0.6697,0.777,0.5394,0.654,0.5967,0.6502,0.527,0.5886,0.8217,0.9369,0.8793
11.9,-0.0491,0.6696,0.7774,0.5699,0.6321,0.601,0.6592,0.5219,0.5905,0.8083,0.9131,0.8607
12,-0.01,0.6704,0.776,0.5985,0.6098,0.6041,0.6659,0.5167,0.5913,0.7961,0.891,0.8436
12.1,0.0328,0.6729,0.7733,0.6248,0.5879,0.6064,0.6697,0.5111,0.5904,0.7844,0.8702,0.8273
12.2,0.0781,0.6769,0.7695,0.648,0.567,0.6075,0.6701,0.505,0.5875,0.7726,0.8502,0.8114
12.3,0.1249,0.6819,0.7645,0.6667,0.5471,0.6069,0.6672,0.4984,0.5828,0.7604,0.8311,0.7957
12.4,0.1724,0.6875,0.7586,0.6806,0.5278,0.6042,0.6618,0.4916,0.5767,0.7482,0.8134,0.7808
12.5,0.2197,0.6937,0.7523,0.69,0.5097,0.5998,0.6548,0.4848,0.5698,0.7368,0.798,0.7674
12.6,0.2658,0.7008,0.7464,0.6955,0.4937,0.5946,0.6472,0.4786,0.5629,0.7266,0.7854,0.756
12.7,0.3095,0.7091,0.7415,0.6974,0.4803,0.5888,0.6394,0.4731,0.5563,0.7181,0.7757,0.7469
12.8,0.3496,0.7182,0.7373,0.6955,0.4696,0.5826,0.6314,0.4687,0.5501,0.711,0.7688,0.7399
12.9,0.3855,0.7278,0.7338,0.6902,0.4613,0.5758,0.6233,0.4654,0.5444,0.7054,0.7639,0.7347
13,0.4176,0.7372,0.7309,0.6825,0.4551,0.5688,0.6152,0.4632,0.5392,0.7009,0.7609,0.7309
13.1,0.4462,0.746,0.7282,0.6736,0.4504,0.562,0.6074,0.4617,0.5346,0.697,0.7595,0.7283
13.2,0.4713,0.7533,0.7258,0.6644,0.4468,0.5556,0.6004,0.461,0.5307,0.6937,0.7598,0.7268
13.3,0.4925,0.7583,0.7235,0.6553,0.4441,0.5497,0.5945,0.4609,0.5277,0.691,0.7616,0.7263
13.4,0.509,0.7605,0.7213,0.6465,0.4418,0.5441,0.5898,0.4614,0.5256,0.6895,0.7646,0.727
13.5,0.5205,0.7594,0.7187,0.6385,0.4398,0.5392,0.5864,0.462,0.5242,0.6895,0.7684,0.729
13.6,0.5269,0.7553,0.7153,0.6323,0.4386,0.5354,0.5838,0.4623,0.5231,0.6911,0.7733,0.7322
13.7,0.5284,0.7484,0.711,0.6281,0.4388,0.5335,0.5815,0.4619,0.5217,0.6944,0.7793,0.7369
13.8,0.5243,0.7387,0.7056,0.626,0.4407,0.5333,0.5795,0.4605,0.52,0.6993,0.7866,0.7429
13.9,0.5135,0.7265,0.6996,0.6258,0.4438,0.5348,0.5778,0.4581,0.5179,0.7058,0.7949,0.7503
14,0.4944,0.7118,0.6929,0.627,0.448,0.5375,0.5767,0.4551,0.5159,0.714,0.8038,0.7589
14.1,0.4659,0.6949,0.6851,0.6292,0.4531,0.5411,0.5767,0.4517,0.5142,0.724,0.813,0.7685
14.2,0.428,0.6763,0.676,0.6316,0.4589,0.5453,0.5774,0.4479,0.5126,0.7356,0.8214,0.7785
14.3,0.3829,0.6565,0.6651,0.6334,0.4654,0.5494,0.578,0.4438,0.5109,0.7484,0.8281,0.7883
14.4,0.3337,0.6364,0.6522,0.6336,0.472,0.5528,0.5775,0.4396,0.5085,0.7618,0.8323,0.797
14.5,0.2841,0.617,0.6376,0.6319,0.4783,0.5551,0.5751,0.4352,0.5051,0.7753,0.8337,0.8045
14.6,0.2371,0.5994,0.6215,0.6287,0.4843,0.5565,0.5705,0.4306,0.5006,0.7885,0.8328,0.8106
14.7,0.1939,0.5847,0.6042,0.6247,0.4905,0.5576,0.5638,0.4262,0.495,0.801,0.8305,0.8158
14.8,0.1549,0.5738,0.5865,0.6208,0.4977,0.5592,0.5555,0.422,0.4887,0.8128,0.8273,0.8201
14.9,0.1202,0.5671,0.5689,0.6174,0.506,0.5617,0.546,0.4183,0.4822,0.8238,0.8237,0.8237
15,0.0902,0.5643,0.5516,0.6151,0.5152,0.5651,0.5358,0.4151,0.4754,0.8339,0.8196,0.8267
15.1,0.0651,0.5647,0.5351,0.6138,0.5246,0.5692,0.5251,0.4123,0.4687,0.8431,0.8152,0.8292
15.2,0.0447,0.5672,0.5201,0.6132,0.5341,0.5737,0.514,0.4101,0.462,0.8514,0.8112,0.8313
15.3,0.0277,0.5711,0.5073,0.6129,0.5435,0.5782,0.5027,0.4089,0.4558,0.8589,0.8079,0.8334
15.4,0.0121,0.5755,0.4975,0.6123,0.5525,0.5824,0.4914,0.4093,0.4504,0.866,0.806,0.836
15.5,-0.0038,0.5799,0.491,0.6107,0.5609,0.5858,0.4805,0.4116,0.4461,0.8731,0.806,0.8395
15.6,-0.0212,0.5841,0.4884,0.6083,0.5688,0.5886,0.4707,0.416,0.4433,0.8808,0.8086,0.8447
15.7,-0.04,0.588,0.4899,0.6057,0.5766,0.5911,0.4626,0.4228,0.4427,0.8894,0.8143,0.8518
15.8,-0.0592,0.5917,0.4956,0.6034,0.5846,0.594,0.4568,0.4324,0.4446,0.8987,0.8231,0.8609
15.9,-0.078,0.5951,0.5056,0.6018,0.5933,0.5976,0.454,0.445,0.4495,0.9086,0.8344,0.8715
16,-0.0965,0.5985,0.5198,0.601,0.6026,0.6018,0.4544,0.461,0.4577,0.9189,0.8474,0.8831
16.1,-0.1156,0.6018,0.5378,0.6005,0.6121,0.6063,0.4581,0.4803,0.4692,0.9295,0.8615,0.8955
16.2,-0.1357,0.6048,0.5592,0.6004,0.622,0.6112,0.4653,0.5028,0.484,0.9401,0.8762,0.9081
16.3,-0.1567,0.6079,0.5845,0.6016,0.6325,0.6171,0.4761,0.528,0.5021,0.9507,0.8913,0.921
16.4,-0.1781,0.6114,0.6141,0.605,0.6441,0.6246,0.4913,0.5558,0.5236,0.9615,0.9072,0.9343
16.5,-0.1996,0.616,0.6485,0.6111,0.657,0.634,0.5112,0.5858,0.5485,0.9726,0.924,0.9483
16.6,-0.2208,0.622,0.6873,0.6194,0.671,0.6452,0.5355,0.6175,0.5765,0.984,0.9417,0.9629
16.7,-0.2411,0.6294,0.7297,0.629,0.6859,0.6574,0.5632,0.6505,0.6068,0.9952,0.9595,0.9773
16.8,-0.2597,0.638,0.7742,0.6388,0.701,0.6699,0.5925,0.6838,0.6381,1.0049,0.9765,0.9907
16.9,-0.2748,0.6474,0.8188,0.648,0.7157,0.6818,0.6219,0.7161,0.669,1.012,0.9917,1.0018
17,-0.2847,0.6578,0.8618,0.6562,0.7299,0.6931,0.6504,0.7462,0.6983,1.0158,1.004,1.0099
17.1,-0.2885,0.6695,0.9017,0.6631,0.7436,0.7034,0.6772,0.7733,0.7253,1.016,1.0128,1.0144
17.2,-0.2863,0.6821,0.9376,0.6683,0.7562,0.7122,0.7017,0.7968,0.7493,1.0128,1.0178,1.0153
17.3,-0.2789,0.6942,0.9685,0.6705,0.7664,0.7185,0.7229,0.8168,0.7698,1.0067,1.0192,1.013
17.4,-0.2666,0.7037,0.9937,0.6685,0.7728,0.7207,0.74,0.8328,0.7864,0.9986,1.0177,1.0081
17.5,-0.2486,0.7093,1.013,0.6617,0.7742,0.7179,0.7522,0.8441,0.7981,0.9893,1.0139,1.0016
17.6,-0.2236,0.7107,1.0268,0.6501,0.77,0.71,0.7595,0.8503,0.8049,0.9794,1.0082,0.9938
17.7,-0.1901,0.7087,1.0352,0.6345,0.7606,0.6975,0.762,0.8515,0.8067,0.9692,1.001,0.9851
17.8,-0.1476,0.7045,1.0385,0.6164,0.7466,0.6815,0.7607,0.8481,0.8044,0.9589,0.9924,0.9757
17.9,-0.0967,0.6985,1.0372,0.5973,0.7287,0.663,0.7568,0.8408,0.7988,0.949,0.983,0.966
18,-0.0388,0.6908,1.0313,0.5789,0.7073,0.6431,0.7515,0.8302,0.7908,0.9401,0.9732,0.9567
18.1,0.0244,0.6818,1.0214,0.5623,0.6822,0.6223,0.7456,0.8169,0.7812,0.9328,0.9631,0.9479
18.2,0.0915,0.672,1.0082,0.5479,0.6535,0.6007,0.7397,0.8014,0.7706,0.927,0.9525,0.9398
18.3,0.1605,0.6617,0.993,0.5358,0.6213,0.5786,0.734,0.7848,0.7594,0.9224,0.9411,0.9318
18.4,0.2282,0.6507,0.9767,0.5259,0.5865,0.5562,0.7288,0.7683,0.7485,0.9182,0.9286,0.9234
18.5,0.2901,0.639,0.9606,0.5188,0.5511,0.5349,0.7241,0.753,0.7386,0.9139,0.9149,0.9144
18.6,0.3415,0.6273,0.9454,0.5148,0.5178,0.5163,0.7205,0.7398,0.7301,0.9096,0.9007,0.9051
18.7,0.3788,0.617,0.931,0.5144,0.4894,0.5019,0.7179,0.729,0.7235,0.9053,0.8859,0.8956
18.8,0.4015,0.6091,0.9173,0.5168,0.4674,0.4921,0.7166,0.7206,0.7186,0.901,0.8705,0.8857
18.9,0.411,0.6042,0.9039,0.5213,0.4525,0.4869,0.7166,0.7147,0.7156,0.8962,0.8538,0.875
19,0.4092,0.6022,0.8907,0.527,0.4444,0.4857,0.7179,0.7115,0.7147,0.8907,0.8356,0.8632
19.1,0.3981,0.6026,0.8778,0.5338,0.4422,0.488,0.7205,0.7112,0.7159,0.8846,0.8156,0.8501
19.2,0.3786,0.6053,0.8651,0.5411,0.4449,0.493,0.7242,0.7136,0.7189,0.8778,0.7942,0.836
19.3,0.3518,0.6103,0.8526,0.5486,0.4523,0.5004,0.7287,0.718,0.7234,0.8708,0.7721,0.8214
19.4,0.3197,0.6179,0.8399,0.5565,0.4639,0.5102,0.7336,0.7239,0.7287,0.8636,0.7503,0.8069
19.5,0.2847,0.6279,0.8269,0.5651,0.4796,0.5223,0.7386,0.7303,0.7344,0.8563,0.7298,0.7931
19.6,0.2489,0.6403,0.8138,0.5752,0.499,0.5371,0.7436,0.7367,0.7402,0.849,0.7113,0.7801
19.7,0.2128,0.655,0.801,0.5869,0.5221,0.5545,0.7484,0.743,0.7457,0.842,0.6953,0.7687
19.8,0.1756,0.6719,0.7889,0.5995,0.5486,0.5741,0.7529,0.7487,0.7508,0.8358,0.6821,0.759
19.9,0.1362,0.6904,0.7779,0.612,0.5777,0.5949,0.7567,0.7537,0.7552,0.8307,0.6718,0.7512
20,0.0941,0.7094,0.768,0.623,0.6084,0.6157,0.7597,0.7576,0.7586,0.8269,0.6645,0.7457
20.1,0.0502,0.7274,0.7595,0.6315,0.6389,0.6352,0.7619,0.7602,0.761,0.8251,0.6605,0.7428
20.2,0.0056,0.7434,0.7526,0.6371,0.6678,0.6525,0.7634,0.7613,0.7623,0.8263,0.66,0.7431
20.3,-0.0393,0.7566,0.7478,0.6393,0.6943,0.6668,0.7644,0.7605,0.7624,0.8311,0.6629,0.747
20.4,-0.0847,0.7665,0.7453,0.638,0.7179,0.6779,0.7646,0.7576,0.7611,0.8398,0.6692,0.7545
20.5,-0.1311,0.7725,0.7454,0.6331,0.7385,0.6858,0.7636,0.7526,0.7581,0.852,0.679,0.7655
20.6,-0.1783,0.7736,0.748,0.6246,0.7559,0.6902,0.7607,0.7454,0.753,0.8669,0.6922,0.7795
20.7,-0.2251,0.7692,0.7526,0.6128,0.7695,0.6912,0.756,0.7358,0.7459,0.8836,0.7082,0.7959
20.8,-0.2702,0.7596,0.7588,0.5985,0.7792,0.6888,0.7495,0.7237,0.7366,0.9013,0.7264,0.8139
20.9,-0.3125,0.746,0.7658,0.5827,0.785,0.6838,0.7418,0.7085,0.7252,0.9191,0.7459,0.8325
21,-0.3512,0.73,0.7725,0.5663,0.7871,0.6767,0.733,0.6903,0.7116,0.9357,0.7657,0.8507
21.1,-0.3854,0.7126,0.7779,0.5499,0.7854,0.6677,0.7229,0.6693,0.6961,0.9499,0.785,0.8674
21.2,-0.4142,0.6943,0.7808,0.5341,0.7794,0.6567,0.7116,0.6462,0.6789,0.9607,0.803,0.8818
