Time,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC,Lite n Easy Jump Start 30 TVC
7.9,-0.0258,0.4885,0.608,0.537,0.5902,0.5636,0.5374,0.5052,0.5213,0.6944,0.733,0.7137
8,-0.0184,0.4945,0.6301,0.5414,0.6104,0.5759,0.549,0.5254,0.5372,0.7086,0.7543,0.7314
8.1,-0.0094,0.5025,0.6487,0.548,0.6342,0.5911,0.5588,0.5446,0.5517,0.7213,0.7757,0.7485
8.2,0.0017,0.5129,0.6636,0.5572,0.6622,0.6097,0.5673,0.5635,0.5654,0.732,0.796,0.764
8.3,0.015,0.5263,0.6749,0.5693,0.6945,0.6319,0.5752,0.5828,0.579,0.7404,0.8143,0.7773
8.4,0.0299,0.5426,0.6829,0.5848,0.7306,0.6577,0.5828,0.6032,0.593,0.7466,0.8295,0.7881
8.5,0.0446,0.5624,0.6878,0.6043,0.7694,0.6869,0.5901,0.6247,0.6074,0.7506,0.8412,0.7959
8.6,0.0569,0.5863,0.6898,0.6278,0.8096,0.7187,0.5973,0.6475,0.6224,0.7525,0.8491,0.8008
8.7,0.0655,0.6144,0.689,0.6542,0.8502,0.7522,0.6047,0.671,0.6378,0.7524,0.8534,0.8029
8.8,0.0694,0.6459,0.6856,0.6821,0.8899,0.786,0.6123,0.6946,0.6535,0.7508,0.8539,0.8024
8.9,0.0682,0.6793,0.68,0.71,0.9273,0.8187,0.6204,0.717,0.6687,0.7487,0.8508,0.7998
9,0.0631,0.7131,0.6731,0.7364,0.961,0.8487,0.6296,0.7371,0.6834,0.7469,0.8448,0.7958
9.1,0.0559,0.7449,0.6656,0.7602,0.9886,0.8744,0.6403,0.7541,0.6972,0.746,0.8371,0.7916
9.2,0.0477,0.7726,0.6581,0.7803,1.0086,0.8945,0.6528,0.7676,0.7102,0.7467,0.8289,0.7878
9.3,0.0389,0.7953,0.6507,0.7967,1.0208,0.9087,0.6672,0.7775,0.7223,0.7491,0.8214,0.7853
9.4,0.03,0.8132,0.6438,0.8098,1.0268,0.9183,0.6832,0.7845,0.7339,0.7535,0.8156,0.7846
9.5,0.0212,0.8275,0.6383,0.8207,1.0284,0.9245,0.7006,0.79,0.7453,0.7598,0.8124,0.7861
9.6,0.0142,0.8383,0.6355,0.8299,1.0259,0.9279,0.7193,0.7947,0.757,0.7679,0.8126,0.7903
9.7,0.0105,0.8449,0.6366,0.8371,1.0182,0.9276,0.739,0.7991,0.769,0.777,0.8164,0.7967
9.8,0.0098,0.8459,0.6421,0.8414,1.0037,0.9226,0.7589,0.8027,0.7808,0.7853,0.8231,0.8042
9.9,0.0106,0.8413,0.6516,0.8415,0.9819,0.9117,0.7779,0.8053,0.7916,0.7915,0.8312,0.8114
10,0.0117,0.8322,0.6637,0.8369,0.9538,0.8953,0.7946,0.8064,0.8005,0.7945,0.8393,0.8169
10.1,0.0123,0.8202,0.6767,0.8271,0.9204,0.8738,0.8077,0.806,0.8069,0.7938,0.8462,0.82
10.2,0.0129,0.8056,0.6894,0.8119,0.8822,0.8471,0.816,0.8041,0.8101,0.7894,0.8518,0.8206
10.3,0.0135,0.7884,0.7011,0.7903,0.8391,0.8147,0.8186,0.8008,0.8097,0.7814,0.8564,0.8189
10.4,0.0143,0.7681,0.7115,0.7617,0.7908,0.7763,0.8151,0.796,0.8056,0.77,0.8603,0.8152
10.5,0.0154,0.7448,0.7198,0.7264,0.738,0.7322,0.8059,0.7895,0.7977,0.7557,0.8637,0.8097
10.6,0.0175,0.7187,0.7254,0.6858,0.6821,0.684,0.7917,0.7811,0.7864,0.7392,0.8667,0.803
10.7,0.0203,0.6901,0.7274,0.6416,0.6247,0.6332,0.7737,0.7706,0.7722,0.7218,0.8696,0.7957
10.8,0.0229,0.6592,0.7242,0.5951,0.5672,0.5812,0.7529,0.7578,0.7554,0.7045,0.8724,0.7885
10.9,0.0244,0.6265,0.7145,0.5472,0.5105,0.5288,0.73,0.7423,0.7362,0.6874,0.875,0.7812
11,0.0242,0.5927,0.6967,0.4988,0.4553,0.4771,0.7049,0.7238,0.7144,0.6701,0.8765,0.7733
11.1,0.0222,0.5586,0.67,0.4512,0.4028,0.427,0.677,0.702,0.6895,0.6523,0.8764,0.7643
11.2,0.0192,0.5255,0.6336,0.4061,0.3543,0.3802,0.6456,0.6763,0.6609,0.6334,0.8741,0.7537
11.3,0.0161,0.4943,0.5871,0.3647,0.3115,0.3381,0.6108,0.6465,0.6287,0.6132,0.8691,0.7411
11.4,0.0137,0.4664,0.5319,0.3282,0.276,0.3021,0.5732,0.6136,0.5934,0.5917,0.861,0.7264
11.5,0.012,0.4431,0.471,0.2972,0.2492,0.2732,0.5341,0.5796,0.5568,0.5692,0.8498,0.7095
11.6,0.0113,0.425,0.4088,0.2724,0.2312,0.2518,0.495,0.5463,0.5207,0.5464,0.836,0.6912
11.7,0.0124,0.4123,0.3496,0.2543,0.2217,0.238,0.4573,0.5157,0.4865,0.5245,0.8205,0.6725
11.8,0.0158,0.4052,0.2965,0.2431,0.2201,0.2316,0.4221,0.4887,0.4554,0.5043,0.8046,0.6545
11.9,0.0222,0.4036,0.2519,0.2382,0.2259,0.232,0.3903,0.4658,0.428,0.4866,0.7896,0.6381
12,0.0332,0.4071,0.2174,0.2392,0.2383,0.2388,0.3625,0.4473,0.4049,0.4715,0.7766,0.6241
12.1,0.0504,0.4146,0.1935,0.2459,0.2565,0.2512,0.3393,0.4334,0.3863,0.4592,0.7666,0.6129
12.2,0.0742,0.4256,0.1791,0.2585,0.2794,0.2689,0.3209,0.4242,0.3726,0.4497,0.7596,0.6047
12.3,0.1043,0.4399,0.1729,0.2777,0.3062,0.292,0.3076,0.4198,0.3637,0.4433,0.7557,0.5995
12.4,0.1407,0.4578,0.1733,0.3044,0.3359,0.3201,0.2996,0.4203,0.3599,0.4398,0.7542,0.597
12.5,0.1841,0.4794,0.1789,0.3388,0.3669,0.3528,0.2967,0.4255,0.3611,0.4388,0.7544,0.5966
12.6,0.2356,0.5043,0.1885,0.3808,0.3972,0.389,0.299,0.4349,0.367,0.4399,0.755,0.5974
12.7,0.2952,0.5317,0.201,0.4297,0.4253,0.4275,0.307,0.4481,0.3776,0.4426,0.7551,0.5988
12.8,0.3611,0.5602,0.2158,0.4836,0.4501,0.4669,0.321,0.4649,0.393,0.4465,0.7538,0.6002
12.9,0.4299,0.588,0.2325,0.5399,0.4707,0.5053,0.3412,0.4845,0.4129,0.4511,0.751,0.6011
13,0.4989,0.6139,0.2507,0.5964,0.4864,0.5414,0.3667,0.5055,0.4361,0.4563,0.7466,0.6014
13.1,0.566,0.6374,0.2696,0.6516,0.4973,0.5745,0.3957,0.5259,0.4608,0.4617,0.7405,0.6011
13.2,0.6277,0.6582,0.2876,0.7034,0.5041,0.6037,0.4262,0.5441,0.4851,0.4675,0.7327,0.6001
13.3,0.6809,0.6757,0.3033,0.7493,0.5075,0.6284,0.4565,0.5594,0.5079,0.4737,0.7237,0.5987
13.4,0.7244,0.6892,0.3157,0.7878,0.5082,0.648,0.4855,0.572,0.5288,0.4805,0.7139,0.5972
13.5,0.7567,0.6974,0.3252,0.8181,0.5063,0.6622,0.5126,0.5822,0.5474,0.4876,0.7038,0.5957
13.6,0.7769,0.6995,0.3323,0.8404,0.5017,0.671,0.5376,0.5896,0.5636,0.4944,0.6936,0.594
13.7,0.7841,0.6961,0.3375,0.8559,0.4951,0.6755,0.5604,0.5932,0.5768,0.5004,0.6827,0.5915
13.8,0.779,0.6888,0.3411,0.8662,0.4878,0.677,0.58,0.5923,0.5862,0.5054,0.671,0.5882
13.9,0.7646,0.6793,0.343,0.8728,0.4819,0.6773,0.5955,0.5873,0.5914,0.5101,0.6583,0.5842
14,0.744,0.6684,0.3437,0.8764,0.4787,0.6775,0.6058,0.5793,0.5926,0.5149,0.6454,0.5802
14.1,0.7182,0.6566,0.344,0.8773,0.4783,0.6778,0.6101,0.5694,0.5897,0.5199,0.6329,0.5764
14.2,0.6874,0.644,0.3449,0.8749,0.4805,0.6777,0.6079,0.5577,0.5828,0.5247,0.6212,0.5729
14.3,0.6519,0.6308,0.3473,0.8688,0.4854,0.6771,0.5994,0.5445,0.572,0.5286,0.6109,0.5697
14.4,0.6129,0.6178,0.3521,0.8586,0.4935,0.6761,0.5855,0.5311,0.5583,0.5316,0.6026,0.5671
14.5,0.5719,0.6058,0.3597,0.8452,0.5046,0.6749,0.5682,0.5185,0.5433,0.5345,0.5967,0.5656
14.6,0.5303,0.595,0.3702,0.8291,0.5183,0.6737,0.5498,0.5075,0.5286,0.5381,0.5939,0.566
14.7,0.4885,0.5849,0.3834,0.8101,0.5335,0.6718,0.533,0.4984,0.5157,0.5428,0.5944,0.5686
14.8,0.4468,0.5743,0.3996,0.7875,0.5487,0.6681,0.52,0.4917,0.5059,0.5493,0.5983,0.5738
14.9,0.4058,0.5622,0.4187,0.7603,0.5626,0.6615,0.512,0.4876,0.4998,0.558,0.6057,0.5818
15,0.3673,0.5479,0.4397,0.7286,0.5733,0.6509,0.5096,0.4861,0.4978,0.5688,0.6158,0.5923
15.1,0.3327,0.531,0.4612,0.6934,0.5787,0.636,0.5125,0.4866,0.4996,0.5809,0.628,0.6045
15.2,0.3027,0.5118,0.4817,0.6556,0.5771,0.6164,0.5201,0.4877,0.5039,0.593,0.6415,0.6173
15.3,0.2765,0.4901,0.5002,0.6164,0.5683,0.5923,0.5314,0.4874,0.5094,0.6041,0.6555,0.6298
15.4,0.2532,0.4661,0.5164,0.5769,0.5533,0.5651,0.5449,0.485,0.5149,0.6137,0.6694,0.6415
15.5,0.232,0.4406,0.53,0.5385,0.5336,0.5361,0.5596,0.4802,0.5199,0.6218,0.6825,0.6522
15.6,0.2131,0.4151,0.5413,0.5024,0.5108,0.5066,0.575,0.4732,0.5241,0.6289,0.6944,0.6617
15.7,0.1974,0.3907,0.55,0.4694,0.4857,0.4775,0.5911,0.4642,0.5277,0.635,0.7046,0.6698
15.8,0.1855,0.3682,0.5559,0.4402,0.4589,0.4495,0.6079,0.4526,0.5302,0.6401,0.7131,0.6766
15.9,0.178,0.3476,0.5584,0.4151,0.4309,0.423,0.6243,0.4379,0.5311,0.6441,0.7202,0.6822
16,0.175,0.3297,0.5574,0.3948,0.4029,0.3988,0.639,0.4207,0.5299,0.6474,0.7264,0.6869
16.1,0.177,0.3155,0.5528,0.3798,0.3764,0.3781,0.6507,0.4025,0.5266,0.6504,0.732,0.6912
16.2,0.1845,0.306,0.5446,0.3706,0.3531,0.3618,0.6586,0.3847,0.5216,0.6532,0.737,0.6951
16.3,0.1977,0.302,0.5321,0.3675,0.3343,0.3509,0.6627,0.3684,0.5155,0.6559,0.7412,0.6986
16.4,0.217,0.304,0.5152,0.3712,0.3212,0.3462,0.6636,0.354,0.5088,0.6583,0.7445,0.7014
16.5,0.2414,0.3121,0.4935,0.3812,0.3143,0.3478,0.662,0.3424,0.5022,0.6603,0.7465,0.7034
16.6,0.269,0.3258,0.4676,0.3967,0.3135,0.3551,0.6589,0.3342,0.4965,0.6615,0.7468,0.7042
16.7,0.2984,0.3443,0.4386,0.417,0.3186,0.3678,0.6555,0.33,0.4927,0.6619,0.745,0.7035
16.8,0.3284,0.3667,0.4087,0.4425,0.3289,0.3857,0.6529,0.3301,0.4915,0.6617,0.7411,0.7014
16.9,0.357,0.3918,0.3796,0.4727,0.3435,0.4081,0.6512,0.3337,0.4924,0.6615,0.7349,0.6982
17,0.3825,0.4187,0.3519,0.5062,0.3609,0.4335,0.6498,0.3398,0.4948,0.6617,0.7266,0.6942
17.1,0.4032,0.4466,0.3262,0.5404,0.3795,0.4599,0.648,0.3477,0.4978,0.6624,0.7164,0.6894
17.2,0.4185,0.4749,0.3029,0.5726,0.3974,0.485,0.6455,0.3568,0.5011,0.6631,0.705,0.6841
17.3,0.428,0.5022,0.2825,0.601,0.4132,0.5071,0.6425,0.3667,0.5046,0.6635,0.6932,0.6783
17.4,0.4312,0.5277,0.2652,0.6249,0.426,0.5255,0.6391,0.3766,0.5078,0.6632,0.6815,0.6724
17.5,0.4274,0.5505,0.2502,0.6436,0.4354,0.5395,0.6346,0.385,0.5098,0.662,0.6701,0.666
17.6,0.4171,0.57,0.2369,0.6563,0.441,0.5486,0.6283,0.3911,0.5097,0.6599,0.6586,0.6593
17.7,0.4015,0.5862,0.2248,0.6626,0.443,0.5528,0.6201,0.3947,0.5074,0.6567,0.647,0.6518
17.8,0.3827,0.5994,0.2137,0.6633,0.4423,0.5528,0.6106,0.3964,0.5035,0.6522,0.6352,0.6437
17.9,0.3622,0.6095,0.2039,0.6593,0.4392,0.5493,0.6008,0.3966,0.4987,0.6462,0.6234,0.6348
18,0.3415,0.6163,0.1952,0.6516,0.4344,0.543,0.591,0.3953,0.4932,0.6386,0.6115,0.625
18.1,0.3217,0.6194,0.1869,0.6404,0.4279,0.5341,0.5809,0.3922,0.4865,0.6293,0.5994,0.6144
18.2,0.3041,0.6189,0.1781,0.6258,0.4194,0.5226,0.5698,0.3869,0.4784,0.6182,0.5869,0.6026
18.3,0.2892,0.6155,0.168,0.6086,0.4095,0.509,0.5577,0.3794,0.4685,0.6051,0.5738,0.5895
18.4,0.2773,0.6101,0.1567,0.5898,0.3988,0.4943,0.5442,0.3701,0.4572,0.5897,0.56,0.5749
18.5,0.2687,0.6032,0.1449,0.5707,0.3882,0.4795,0.5293,0.3595,0.4444,0.5723,0.5456,0.559
18.6,0.2644,0.5949,0.1332,0.5521,0.3785,0.4653,0.513,0.348,0.4305,0.5536,0.5311,0.5423
18.7,0.2653,0.5856,0.1219,0.5345,0.3706,0.4526,0.4953,0.336,0.4157,0.535,0.5165,0.5258
18.8,0.2716,0.5757,0.1119,0.5179,0.3656,0.4418,0.4769,0.3242,0.4006,0.5174,0.5025,0.5099
18.9,0.283,0.5656,0.1047,0.5025,0.3639,0.4332,0.4584,0.3135,0.3859,0.5011,0.4889,0.495
19,0.298,0.5555,0.1014,0.4883,0.3659,0.4271,0.4403,0.3045,0.3724,0.4863,0.4759,0.4811
19.1,0.3151,0.5457,0.1022,0.4754,0.3716,0.4235,0.4232,0.2977,0.3605,0.4729,0.4634,0.4681
19.2,0.3335,0.5363,0.107,0.4642,0.3808,0.4225,0.4071,0.2932,0.3502,0.4612,0.4516,0.4564
19.3,0.352,0.5281,0.1158,0.4552,0.3933,0.4242,0.3921,0.2917,0.3419,0.4515,0.4406,0.4461
19.4,0.3698,0.5218,0.1299,0.4486,0.4092,0.4289,0.3786,0.2943,0.3364,0.4447,0.4305,0.4376
19.5,0.3853,0.5176,0.1502,0.4445,0.4295,0.437,0.3678,0.3018,0.3348,0.4413,0.4212,0.4312
19.6,0.3969,0.5157,0.176,0.4424,0.4551,0.4487,0.361,0.3148,0.3379,0.4418,0.4126,0.4272
19.7,0.4025,0.516,0.2055,0.442,0.4865,0.4643,0.359,0.3331,0.346,0.4459,0.405,0.4254
19.8,0.4002,0.5186,0.237,0.4429,0.5233,0.4831,0.3615,0.3563,0.3589,0.4529,0.3986,0.4258
19.9,0.3884,0.5234,0.2696,0.4449,0.5641,0.5045,0.368,0.3842,0.3761,0.462,0.3936,0.4278
20,0.3664,0.53,0.3024,0.4481,0.6069,0.5275,0.3776,0.416,0.3968,0.4727,0.3897,0.4312
20.1,0.3342,0.5377,0.334,0.4524,0.6491,0.5507,0.3897,0.4505,0.4201,0.4846,0.3863,0.4355
20.2,0.2916,0.5456,0.3622,0.457,0.6876,0.5723,0.4036,0.4857,0.4446,0.4973,0.3831,0.4402
20.3,0.2382,0.5528,0.3857,0.4608,0.7193,0.5901,0.4181,0.5195,0.4688,0.5105,0.3801,0.4453
20.4,0.1738,0.5583,0.4046,0.4623,0.7418,0.602,0.4323,0.5501,0.4912,0.5239,0.3775,0.4507
20.5,0.0998,0.5611,0.4197,0.4604,0.7536,0.607,0.4451,0.5765,0.5108,0.5365,0.3754,0.4559
20.6,0.0199,0.5606,0.4312,0.4551,0.7552,0.6052,0.4555,0.5981,0.5268,0.5474,0.3733,0.4604
20.7,-0.0614,0.557,0.4387,0.4469,0.7483,0.5976,0.4628,0.6147,0.5388,0.5564,0.3707,0.4635
20.8,-0.141,0.5511,0.4416,0.4364,0.735,0.5857,0.4669,0.627,0.547,0.5632,0.3672,0.4652
20.9,-0.2159,0.5439,0.4404,0.424,0.7167,0.5704,0.468,0.6353,0.5517,0.5679,0.3629,0.4654
21,-0.2821,0.536,0.4361,0.4102,0.6937,0.5519,0.4672,0.6404,0.5538,0.5703,0.3579,0.4641
21.1,-0.3346,0.5277,0.4288,0.3955,0.6664,0.5309,0.4658,0.6426,0.5542,0.5702,0.3523,0.4612
21.2,-0.3702,0.519,0.4184,0.3809,0.6355,0.5082,0.4649,0.642,0.5534,0.5672,0.3458,0.4565
