Time,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
13.1,-0.2919,0.5617,0.7027,0.6801,0.6422,0.6612,0.3961,0.4445,0.4203,0.701,0.9754,0.8382
13.2,-0.3218,0.5687,0.6686,0.6854,0.6482,0.6668,0.402,0.4486,0.4253,0.706,0.974,0.84
13.3,-0.3508,0.5788,0.6324,0.6903,0.6574,0.6738,0.4076,0.4532,0.4304,0.7109,0.9704,0.8406
13.4,-0.3787,0.5914,0.5965,0.6941,0.6695,0.6818,0.4123,0.459,0.4357,0.7156,0.965,0.8403
13.5,-0.4052,0.6064,0.5631,0.6975,0.6848,0.6912,0.4158,0.466,0.4409,0.7202,0.9583,0.8393
13.6,-0.4295,0.6236,0.5335,0.701,0.7038,0.7024,0.418,0.4742,0.4461,0.7252,0.9507,0.838
13.7,-0.4509,0.6426,0.5087,0.7052,0.726,0.7156,0.4195,0.4837,0.4516,0.7311,0.9433,0.8372
13.8,-0.4684,0.6628,0.4904,0.7099,0.7506,0.7303,0.4211,0.4944,0.4578,0.7382,0.9373,0.8378
13.9,-0.4819,0.6831,0.4805,0.7151,0.776,0.7456,0.4234,0.5064,0.4649,0.7465,0.9335,0.84
14,-0.4917,0.7029,0.4809,0.7208,0.801,0.7609,0.4264,0.5198,0.4731,0.7557,0.9321,0.8439
14.1,-0.4987,0.7216,0.4927,0.7272,0.8249,0.7761,0.4303,0.5345,0.4824,0.7654,0.9328,0.8491
14.2,-0.5032,0.7389,0.516,0.7349,0.8472,0.791,0.4348,0.5498,0.4923,0.7756,0.9354,0.8555
14.3,-0.5054,0.7545,0.5501,0.7439,0.8674,0.8057,0.4402,0.5652,0.5027,0.7867,0.9398,0.8633
14.4,-0.5053,0.7684,0.5937,0.7544,0.8853,0.8199,0.4467,0.5804,0.5135,0.7994,0.946,0.8727
14.5,-0.5026,0.7809,0.6452,0.7665,0.9006,0.8335,0.4547,0.5956,0.5252,0.8138,0.9537,0.8837
14.6,-0.4962,0.7924,0.702,0.7804,0.9131,0.8467,0.4644,0.6111,0.5377,0.8294,0.9621,0.8957
14.7,-0.4838,0.8031,0.7606,0.7963,0.9225,0.8594,0.476,0.6269,0.5514,0.8452,0.9702,0.9077
14.8,-0.463,0.8122,0.817,0.8138,0.9277,0.8707,0.4898,0.6426,0.5662,0.8601,0.9772,0.9187
14.9,-0.4318,0.8187,0.8681,0.832,0.9273,0.8796,0.5056,0.6574,0.5815,0.8734,0.9827,0.9281
15,-0.39,0.8209,0.9114,0.8498,0.9199,0.8848,0.5227,0.6709,0.5968,0.8845,0.9864,0.9355
15.1,-0.3381,0.8175,0.9456,0.8658,0.9049,0.8853,0.5406,0.6827,0.6117,0.8925,0.9881,0.9403
15.2,-0.277,0.8078,0.9699,0.879,0.8826,0.8808,0.5583,0.6922,0.6253,0.8965,0.9869,0.9417
15.3,-0.2073,0.7918,0.9844,0.889,0.8544,0.8717,0.5749,0.6988,0.6368,0.8961,0.9821,0.9391
15.4,-0.1297,0.7703,0.9897,0.8955,0.8225,0.859,0.5894,0.7023,0.6459,0.8911,0.9734,0.9323
15.5,-0.0453,0.7441,0.9864,0.8982,0.789,0.8436,0.6018,0.7035,0.6526,0.8817,0.9609,0.9213
15.6,0.0429,0.7144,0.9753,0.8965,0.7563,0.8264,0.612,0.7034,0.6577,0.8679,0.9447,0.9063
15.7,0.1307,0.6822,0.9566,0.8897,0.726,0.8079,0.6199,0.7022,0.661,0.8497,0.925,0.8874
15.8,0.2132,0.6491,0.9305,0.8771,0.6993,0.7882,0.6247,0.699,0.6619,0.8271,0.9023,0.8647
15.9,0.2862,0.6167,0.8972,0.8585,0.6768,0.7677,0.626,0.6931,0.6596,0.8004,0.8773,0.8388
16,0.3459,0.5871,0.8572,0.8351,0.6588,0.747,0.6237,0.6849,0.6543,0.7705,0.851,0.8108
16.1,0.3902,0.562,0.8119,0.8086,0.6457,0.7272,0.6185,0.6756,0.647,0.7389,0.8247,0.7818
16.2,0.4186,0.5423,0.7631,0.7806,0.6382,0.7094,0.6114,0.6665,0.6389,0.707,0.7994,0.7532
16.3,0.4326,0.528,0.713,0.752,0.6364,0.6942,0.6035,0.6585,0.631,0.6763,0.7764,0.7263
16.4,0.4344,0.519,0.6635,0.7236,0.6401,0.6818,0.5958,0.6521,0.6239,0.6478,0.7567,0.7022
16.5,0.4264,0.515,0.6161,0.6962,0.6486,0.6724,0.5883,0.6474,0.6178,0.6226,0.741,0.6818
16.6,0.4102,0.5161,0.5722,0.671,0.661,0.666,0.581,0.6444,0.6127,0.6013,0.7297,0.6655
16.7,0.3871,0.5216,0.5329,0.6485,0.676,0.6622,0.5739,0.6429,0.6084,0.584,0.7227,0.6533
16.8,0.3586,0.5301,0.499,0.6289,0.6925,0.6607,0.5669,0.6421,0.6045,0.5707,0.7193,0.645
16.9,0.3261,0.5405,0.4708,0.6122,0.7094,0.6608,0.5601,0.6413,0.6007,0.5613,0.7195,0.6404
17,0.2912,0.5518,0.4486,0.5983,0.7259,0.6621,0.5536,0.6398,0.5967,0.5558,0.7231,0.6395
17.1,0.256,0.5636,0.4325,0.5872,0.7409,0.6641,0.5468,0.6371,0.592,0.5539,0.73,0.642
17.2,0.2223,0.5755,0.4227,0.5788,0.7538,0.6663,0.5388,0.6328,0.5858,0.555,0.7393,0.6471
17.3,0.191,0.5874,0.4189,0.5729,0.7643,0.6686,0.5289,0.6267,0.5778,0.558,0.7494,0.6537
17.4,0.1621,0.5989,0.4198,0.5693,0.7723,0.6708,0.5167,0.6187,0.5677,0.562,0.7593,0.6607
17.5,0.1356,0.6092,0.4243,0.5676,0.7777,0.6726,0.5026,0.6085,0.5556,0.5669,0.7685,0.6677
17.6,0.1117,0.6175,0.431,0.567,0.7799,0.6735,0.4868,0.5961,0.5414,0.5727,0.7772,0.6749
17.7,0.0918,0.623,0.439,0.567,0.7785,0.6727,0.4697,0.5813,0.5255,0.5794,0.7858,0.6826
