Time,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC,Sky Sport - Life Needs More Sport 45 TVC
7.5,-0.3352,0.6413,0.557,0.5581,0.6383,0.5982,0.4137,0.5967,0.5052,0.483,0.5999,0.5415
7.6,-0.3328,0.6311,0.5345,0.5565,0.6379,0.5972,0.4199,0.5863,0.5031,0.4792,0.5787,0.5289
7.7,-0.33,0.6225,0.5178,0.5585,0.64,0.5993,0.4298,0.5805,0.5051,0.4789,0.5613,0.5201
7.8,-0.3271,0.615,0.5065,0.5633,0.6435,0.6034,0.4422,0.5787,0.5105,0.4812,0.5475,0.5144
7.9,-0.3254,0.6085,0.5001,0.57,0.6482,0.6091,0.4559,0.5805,0.5182,0.4854,0.5373,0.5113
8,-0.326,0.6034,0.4986,0.578,0.6539,0.6159,0.4702,0.5858,0.528,0.4909,0.5303,0.5106
8.1,-0.329,0.6001,0.5021,0.587,0.6606,0.6238,0.4852,0.5946,0.5399,0.498,0.5262,0.5121
8.2,-0.3334,0.5988,0.5104,0.5967,0.6683,0.6325,0.5009,0.6067,0.5538,0.507,0.5248,0.5159
8.3,-0.3381,0.5996,0.5233,0.6066,0.6767,0.6417,0.5173,0.6215,0.5694,0.5179,0.5262,0.522
8.4,-0.3428,0.6025,0.5402,0.6166,0.6853,0.6509,0.5345,0.6389,0.5867,0.5304,0.5304,0.5304
8.5,-0.348,0.6077,0.5609,0.6264,0.6937,0.6601,0.5519,0.6585,0.6052,0.5441,0.5376,0.5408
8.6,-0.3542,0.6155,0.585,0.6357,0.7019,0.6688,0.5695,0.6794,0.6245,0.5586,0.5477,0.5531
8.7,-0.3599,0.6252,0.6112,0.6442,0.7094,0.6768,0.5869,0.7005,0.6437,0.5737,0.5601,0.5669
8.8,-0.3632,0.6355,0.6384,0.6516,0.7157,0.6837,0.6041,0.7205,0.6623,0.5897,0.5741,0.5819
8.9,-0.3622,0.6448,0.6653,0.6574,0.7201,0.6887,0.6208,0.7381,0.6795,0.6063,0.5888,0.5976
9,-0.3566,0.6515,0.6906,0.6608,0.7218,0.6913,0.6368,0.7525,0.6946,0.6232,0.6032,0.6132
9.1,-0.3472,0.6549,0.7134,0.661,0.7205,0.6908,0.651,0.7627,0.7069,0.6394,0.6166,0.628
9.2,-0.3352,0.6552,0.733,0.6578,0.7164,0.6871,0.6627,0.7685,0.7156,0.6541,0.6286,0.6414
9.3,-0.3214,0.6525,0.749,0.6512,0.7098,0.6805,0.6716,0.7701,0.7209,0.6669,0.6392,0.6531
9.4,-0.3062,0.6471,0.762,0.642,0.701,0.6715,0.6776,0.7682,0.7229,0.6781,0.6488,0.6635
9.5,-0.2896,0.6391,0.7725,0.6315,0.6902,0.6608,0.6814,0.7634,0.7224,0.6879,0.6582,0.673
9.6,-0.2716,0.6292,0.781,0.6212,0.678,0.6496,0.6835,0.7563,0.7199,0.6966,0.6677,0.6821
9.7,-0.2519,0.6184,0.7876,0.6126,0.6653,0.639,0.6849,0.7473,0.7161,0.7047,0.6776,0.6911
9.8,-0.2304,0.6079,0.7928,0.6067,0.6532,0.6299,0.6862,0.7369,0.7116,0.713,0.6881,0.7005
9.9,-0.2076,0.5981,0.7973,0.6039,0.6422,0.6231,0.6883,0.7261,0.7072,0.7222,0.6995,0.7108
10,-0.1846,0.5892,0.8015,0.6041,0.6326,0.6183,0.6913,0.7152,0.7032,0.7324,0.7115,0.7219
10.1,-0.1631,0.5814,0.805,0.6073,0.6242,0.6157,0.6949,0.7047,0.6998,0.7432,0.7236,0.7334
10.2,-0.1441,0.5748,0.8079,0.6135,0.6173,0.6154,0.6991,0.6954,0.6972,0.7542,0.7356,0.7449
10.3,-0.1283,0.5695,0.8113,0.6226,0.6123,0.6174,0.704,0.6878,0.6959,0.7655,0.7478,0.7567
10.4,-0.1152,0.5656,0.8166,0.6343,0.6097,0.622,0.7101,0.6828,0.6964,0.7774,0.7605,0.769
10.5,-0.1044,0.5633,0.8243,0.648,0.6095,0.6287,0.7177,0.6805,0.6991,0.7901,0.7739,0.782
10.6,-0.0954,0.5622,0.834,0.6626,0.6112,0.6369,0.7267,0.681,0.7038,0.8033,0.7874,0.7954
10.7,-0.0884,0.5624,0.8444,0.6775,0.6146,0.646,0.7363,0.6837,0.71,0.8166,0.8003,0.8085
10.8,-0.0834,0.5635,0.8543,0.6922,0.6199,0.656,0.7457,0.6882,0.717,0.8296,0.8119,0.8208
10.9,-0.0805,0.5655,0.8632,0.7072,0.6274,0.6673,0.7546,0.6943,0.7245,0.8423,0.8221,0.8322
11,-0.0798,0.5681,0.8707,0.7228,0.6375,0.6802,0.7632,0.7018,0.7325,0.8544,0.8309,0.8426
11.1,-0.0811,0.5713,0.8767,0.7389,0.65,0.6945,0.7711,0.7105,0.7408,0.8651,0.8379,0.8515
11.2,-0.0842,0.575,0.8807,0.7547,0.6646,0.7096,0.7777,0.7199,0.7488,0.8733,0.8422,0.8578
11.3,-0.0886,0.5792,0.8825,0.7695,0.6805,0.725,0.7822,0.7294,0.7558,0.8784,0.8432,0.8608
11.4,-0.0936,0.5834,0.8822,0.7828,0.6971,0.7399,0.7843,0.7383,0.7613,0.88,0.8405,0.8602
11.5,-0.0985,0.5872,0.8794,0.7939,0.7135,0.7537,0.7839,0.7459,0.7649,0.8779,0.8341,0.856
11.6,-0.103,0.59,0.8739,0.8024,0.7289,0.7656,0.7809,0.7515,0.7662,0.8717,0.8238,0.8478
11.7,-0.1075,0.5919,0.8653,0.8082,0.7428,0.7755,0.775,0.7546,0.7648,0.8607,0.8098,0.8352
11.8,-0.1121,0.5927,0.8537,0.8114,0.7546,0.783,0.7657,0.7545,0.7601,0.8446,0.7926,0.8186
11.9,-0.1171,0.5923,0.8393,0.8122,0.7636,0.7879,0.7533,0.7506,0.7519,0.8242,0.7727,0.7984
12,-0.1217,0.5904,0.8223,0.8109,0.7694,0.7902,0.7386,0.7426,0.7406,0.8006,0.7506,0.7756
12.1,-0.1255,0.587,0.803,0.808,0.7717,0.7899,0.7226,0.7307,0.7266,0.7751,0.7265,0.7508
12.2,-0.1281,0.5825,0.7816,0.8038,0.7705,0.7872,0.706,0.7157,0.7108,0.7481,0.7007,0.7244
12.3,-0.13,0.5777,0.7589,0.7984,0.7662,0.7823,0.6892,0.6984,0.6938,0.7201,0.6738,0.6969
12.4,-0.1316,0.5737,0.7357,0.7917,0.7594,0.7755,0.673,0.68,0.6765,0.6912,0.6469,0.6691
12.5,-0.1328,0.5714,0.7129,0.7844,0.7509,0.7677,0.6581,0.6618,0.66,0.662,0.621,0.6415
12.6,-0.1336,0.5716,0.691,0.7773,0.7417,0.7595,0.6449,0.6448,0.6449,0.6329,0.5964,0.6146
12.7,-0.134,0.5742,0.6702,0.7711,0.7325,0.7518,0.6335,0.6293,0.6314,0.6043,0.573,0.5887
12.8,-0.1342,0.579,0.6507,0.7659,0.7236,0.7448,0.6242,0.6155,0.6198,0.577,0.5508,0.5639
12.9,-0.1345,0.5856,0.6328,0.761,0.7155,0.7382,0.6177,0.604,0.6108,0.5518,0.53,0.5409
13,-0.1351,0.594,0.6174,0.7555,0.7088,0.7322,0.6146,0.5958,0.6052,0.5293,0.5109,0.5201
13.1,-0.1363,0.6043,0.6052,0.7488,0.7044,0.7266,0.615,0.5915,0.6033,0.5101,0.494,0.502
13.2,-0.1384,0.6161,0.597,0.7404,0.703,0.7217,0.6184,0.5912,0.6048,0.4943,0.4795,0.4869
13.3,-0.1418,0.6289,0.5925,0.7302,0.7048,0.7175,0.6237,0.5941,0.6089,0.4822,0.4678,0.475
13.4,-0.1465,0.6424,0.5904,0.7187,0.7094,0.7141,0.6301,0.5993,0.6147,0.4733,0.4585,0.4659
13.5,-0.1516,0.6563,0.5893,0.7066,0.7165,0.7116,0.637,0.6062,0.6216,0.4669,0.451,0.459
13.6,-0.1555,0.6702,0.5887,0.6948,0.7257,0.7103,0.6444,0.6144,0.6294,0.4626,0.4449,0.4537
13.7,-0.157,0.6836,0.5886,0.6837,0.7367,0.7102,0.6521,0.6238,0.6379,0.4604,0.4399,0.4502
13.8,-0.1552,0.6961,0.5888,0.6739,0.7491,0.7115,0.6601,0.6337,0.6469,0.4605,0.4363,0.4484
13.9,-0.1493,0.7075,0.5887,0.6658,0.7622,0.714,0.6685,0.6439,0.6562,0.4632,0.4342,0.4487
14,-0.1394,0.718,0.5883,0.6598,0.776,0.7179,0.6771,0.6546,0.6659,0.4689,0.434,0.4514
14.1,-0.1261,0.7271,0.5875,0.656,0.7903,0.7231,0.6858,0.666,0.6759,0.4776,0.4359,0.4567
14.2,-0.1101,0.7344,0.5871,0.6543,0.8048,0.7296,0.6945,0.6784,0.6864,0.4893,0.4402,0.4647
14.3,-0.0919,0.7395,0.5876,0.6542,0.8189,0.7366,0.703,0.6915,0.6972,0.5036,0.4468,0.4752
14.4,-0.0717,0.7423,0.5891,0.6553,0.8313,0.7433,0.7113,0.705,0.7081,0.5196,0.4552,0.4874
14.5,-0.0489,0.7432,0.591,0.6573,0.8408,0.7491,0.7194,0.7186,0.719,0.5362,0.4646,0.5004
14.6,-0.023,0.7426,0.5931,0.6605,0.8469,0.7537,0.7276,0.7317,0.7296,0.5528,0.4745,0.5137
14.7,0.006,0.741,0.5957,0.6651,0.85,0.7576,0.7359,0.7438,0.7398,0.5692,0.4849,0.5271
14.8,0.0375,0.7386,0.5989,0.6709,0.8511,0.761,0.7442,0.7547,0.7495,0.585,0.4959,0.5405
14.9,0.0706,0.7354,0.6026,0.6771,0.8507,0.7639,0.7525,0.7643,0.7584,0.5997,0.5074,0.5535
15,0.1045,0.7316,0.6062,0.6832,0.8492,0.7662,0.7605,0.7723,0.7664,0.6129,0.519,0.5659
15.1,0.1389,0.7272,0.6094,0.6892,0.8468,0.768,0.768,0.7786,0.7733,0.6246,0.531,0.5778
15.2,0.1738,0.7223,0.6126,0.695,0.8437,0.7693,0.7753,0.7833,0.7793,0.6356,0.5436,0.5896
15.3,0.209,0.7168,0.6168,0.7002,0.8399,0.7701,0.7825,0.7866,0.7846,0.6468,0.5569,0.6019
15.4,0.2435,0.7103,0.6226,0.7042,0.8353,0.7698,0.7897,0.7891,0.7894,0.6585,0.5711,0.6148
15.5,0.2758,0.7026,0.63,0.706,0.8295,0.7678,0.7962,0.7908,0.7935,0.6704,0.5864,0.6284
15.6,0.3043,0.6933,0.6385,0.7045,0.8224,0.7634,0.8013,0.7917,0.7965,0.682,0.6029,0.6425
15.7,0.3275,0.6822,0.6479,0.6986,0.8143,0.7564,0.8041,0.7912,0.7977,0.6931,0.6204,0.6567
15.8,0.3446,0.6692,0.6587,0.6874,0.8053,0.7464,0.8047,0.7895,0.7971,0.7038,0.6386,0.6712
15.9,0.3541,0.6536,0.6708,0.6705,0.7956,0.733,0.8029,0.7865,0.7947,0.7143,0.6568,0.6856
16,0.354,0.6342,0.6834,0.6472,0.7847,0.716,0.7989,0.7817,0.7903,0.7247,0.6738,0.6993
16.1,0.3425,0.6097,0.6953,0.6176,0.7723,0.695,0.7921,0.7744,0.7833,0.7346,0.6886,0.7116
16.2,0.3187,0.5795,0.706,0.5825,0.7586,0.6705,0.7826,0.7648,0.7737,0.7436,0.7007,0.7222
16.3,0.2831,0.5444,0.7154,0.5437,0.7442,0.6439,0.7704,0.7532,0.7618,0.7512,0.7096,0.7304
16.4,0.2376,0.5059,0.7243,0.5041,0.7302,0.6172,0.7558,0.7405,0.7482,0.7564,0.7153,0.7359
16.5,0.1849,0.4654,0.7328,0.467,0.7172,0.5921,0.7397,0.7271,0.7334,0.7587,0.7178,0.7383
16.6,0.1278,0.4242,0.7407,0.4344,0.7057,0.57,0.7231,0.7133,0.7182,0.7581,0.7172,0.7376
16.7,0.0703,0.3844,0.7475,0.4075,0.6959,0.5517,0.707,0.6998,0.7034,0.7549,0.7136,0.7342
16.8,0.0184,0.3483,0.7535,0.3878,0.6879,0.5379,0.6926,0.6876,0.6901,0.7497,0.708,0.7289
16.9,-0.0226,0.3187,0.7595,0.3764,0.6824,0.5294,0.6808,0.678,0.6794,0.7437,0.7012,0.7224
17,-0.0502,0.2971,0.7662,0.3742,0.6798,0.527,0.6718,0.6715,0.6717,0.7375,0.6941,0.7158
17.1,-0.0651,0.2843,0.7739,0.3802,0.68,0.5301,0.6654,0.6681,0.6667,0.7319,0.6871,0.7095
17.2,-0.0698,0.2798,0.7825,0.393,0.6823,0.5376,0.6615,0.6675,0.6645,0.7269,0.6806,0.7038
17.3,-0.067,0.2834,0.7919,0.4113,0.6858,0.5485,0.6601,0.67,0.6651,0.723,0.6749,0.699
17.4,-0.0589,0.2942,0.8018,0.4345,0.6896,0.562,0.6618,0.6755,0.6687,0.7203,0.6703,0.6953
17.5,-0.0477,0.3113,0.8116,0.4617,0.693,0.5773,0.6664,0.6832,0.6748,0.7186,0.667,0.6928
17.6,-0.0342,0.3331,0.821,0.4919,0.6957,0.5938,0.6731,0.6924,0.6828,0.7176,0.6649,0.6912
17.7,-0.0186,0.3582,0.8298,0.5242,0.6973,0.6108,0.681,0.7023,0.6917,0.717,0.664,0.6905
17.8,-0.0006,0.385,0.8378,0.5574,0.6975,0.6274,0.6895,0.7125,0.701,0.7168,0.6648,0.6908
17.9,0.02,0.4119,0.8448,0.5904,0.6959,0.6432,0.6981,0.7223,0.7102,0.7174,0.6673,0.6923
18,0.0428,0.4378,0.8509,0.6223,0.6928,0.6575,0.7063,0.7311,0.7187,0.7189,0.672,0.6954
18.1,0.0668,0.4623,0.856,0.6522,0.6889,0.6706,0.7134,0.7384,0.7259,0.7214,0.6787,0.7001
18.2,0.091,0.4852,0.8603,0.6801,0.6852,0.6826,0.7186,0.7444,0.7315,0.7247,0.6874,0.7061
18.3,0.1141,0.5065,0.8639,0.7056,0.6822,0.6939,0.7216,0.7498,0.7357,0.7287,0.6981,0.7134
18.4,0.1356,0.5262,0.8668,0.7287,0.68,0.7043,0.7226,0.7551,0.7389,0.734,0.7106,0.7223
18.5,0.1553,0.544,0.8692,0.7492,0.6781,0.7136,0.7223,0.7605,0.7414,0.7409,0.7251,0.733
18.6,0.1728,0.5598,0.8711,0.7664,0.6766,0.7215,0.7212,0.7659,0.7435,0.7495,0.7413,0.7454
18.7,0.1872,0.5732,0.8727,0.7794,0.6754,0.7274,0.7194,0.7711,0.7453,0.7593,0.7582,0.7587
18.8,0.1972,0.5845,0.8743,0.788,0.675,0.7315,0.7168,0.7759,0.7463,0.7698,0.7748,0.7723
18.9,0.2018,0.5944,0.8761,0.792,0.6762,0.7341,0.7131,0.7802,0.7466,0.7806,0.7904,0.7855
19,0.2011,0.6036,0.8786,0.7922,0.6799,0.7361,0.7086,0.7839,0.7462,0.7912,0.8046,0.7979
19.1,0.1956,0.6123,0.8824,0.7889,0.6865,0.7377,0.7035,0.7872,0.7453,0.8012,0.8173,0.8092
19.2,0.1863,0.62,0.8876,0.7822,0.6959,0.739,0.6982,0.7899,0.7441,0.8104,0.8284,0.8194
19.3,0.1733,0.626,0.8937,0.7719,0.7074,0.7397,0.693,0.7917,0.7423,0.8187,0.8378,0.8282
19.4,0.1565,0.6301,0.8998,0.7584,0.72,0.7392,0.6876,0.7923,0.7399,0.8257,0.8452,0.8354
19.5,0.1358,0.6325,0.9057,0.7422,0.7331,0.7377,0.6819,0.7915,0.7367,0.8307,0.8507,0.8407
19.6,0.1119,0.634,0.9116,0.7242,0.7465,0.7353,0.6759,0.79,0.7329,0.8336,0.8544,0.844
19.7,0.0853,0.6354,0.9179,0.7059,0.7597,0.7328,0.6705,0.7882,0.7294,0.8343,0.8566,0.8455
19.8,0.0564,0.6366,0.9247,0.6881,0.772,0.7301,0.6666,0.7865,0.7266,0.8332,0.8577,0.8454
19.9,0.0257,0.6374,0.9313,0.6706,0.7821,0.7263,0.6643,0.7846,0.7244,0.8304,0.8574,0.8439
20,-0.0058,0.6377,0.9365,0.6526,0.7884,0.7205,0.6633,0.7816,0.7224,0.826,0.8556,0.8408
20.1,-0.0368,0.6377,0.9393,0.6343,0.7902,0.7123,0.6629,0.7769,0.7199,0.8197,0.8523,0.836
20.2,-0.0653,0.6381,0.9399,0.6173,0.7875,0.7024,0.6626,0.7704,0.7165,0.8115,0.8475,0.8295
20.3,-0.0895,0.6388,0.9391,0.6029,0.7805,0.6917,0.6624,0.7623,0.7124,0.8016,0.8416,0.8216
20.4,-0.1078,0.6393,0.9366,0.5918,0.7696,0.6807,0.6622,0.7529,0.7076,0.7901,0.8341,0.8121
20.5,-0.1192,0.6389,0.9317,0.5834,0.7552,0.6693,0.662,0.7421,0.7021,0.7768,0.8248,0.8008
20.6,-0.1227,0.6374,0.9234,0.5779,0.738,0.6579,0.6617,0.73,0.6958,0.7617,0.8137,0.7877
20.7,-0.1177,0.6347,0.9114,0.5755,0.719,0.6472,0.6612,0.7165,0.6889,0.7445,0.8008,0.7726
20.8,-0.1044,0.6305,0.8958,0.5764,0.6989,0.6376,0.6604,0.7021,0.6813,0.7255,0.7861,0.7558
20.9,-0.084,0.6241,0.8776,0.5797,0.6783,0.629,0.659,0.6871,0.673,0.705,0.77,0.7375
