Time,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC,RACV Home 30 TVC
4.6,0.0639,0.5695,0.5551,0.6144,0.5403,0.5773,0.7279,0.6253,0.6766,0.571,0.7075,0.6392
4.7,0.0741,0.5815,0.5548,0.6341,0.5506,0.5924,0.7337,0.6263,0.68,0.5767,0.7126,0.6447
4.8,0.0828,0.5933,0.5568,0.6522,0.5607,0.6065,0.7405,0.6308,0.6857,0.5859,0.7184,0.6521
4.9,0.0899,0.6047,0.5609,0.6683,0.5705,0.6194,0.7483,0.6388,0.6936,0.598,0.7245,0.6613
5,0.0959,0.6157,0.5668,0.6823,0.5798,0.6311,0.7562,0.6496,0.7029,0.6122,0.7304,0.6713
5.1,0.1009,0.6266,0.5743,0.6944,0.5887,0.6416,0.7632,0.6623,0.7127,0.6274,0.7358,0.6816
5.2,0.1052,0.6376,0.5832,0.7049,0.597,0.6509,0.7687,0.6766,0.7226,0.643,0.7408,0.6919
5.3,0.1092,0.649,0.5929,0.7137,0.6047,0.6592,0.7726,0.692,0.7323,0.6589,0.7457,0.7023
5.4,0.1134,0.6608,0.603,0.721,0.6116,0.6663,0.775,0.7078,0.7414,0.6749,0.7507,0.7128
5.5,0.1187,0.6731,0.6129,0.7268,0.6175,0.6722,0.7756,0.7234,0.7495,0.6906,0.7555,0.723
5.6,0.1254,0.6863,0.6226,0.7312,0.6221,0.6766,0.7744,0.7384,0.7564,0.7053,0.7593,0.7323
5.7,0.1336,0.7007,0.6321,0.7347,0.6252,0.68,0.7714,0.7526,0.762,0.7183,0.7618,0.7401
5.8,0.1438,0.7166,0.6414,0.738,0.6272,0.6826,0.7672,0.7657,0.7665,0.7291,0.7626,0.7459
5.9,0.1559,0.7335,0.6501,0.7415,0.6285,0.685,0.7626,0.7774,0.77,0.7376,0.7614,0.7495
6,0.17,0.7501,0.6581,0.7452,0.6288,0.687,0.7579,0.7872,0.7726,0.7437,0.7581,0.7509
6.1,0.1861,0.7645,0.6647,0.7492,0.6277,0.6885,0.7535,0.7946,0.774,0.7477,0.7529,0.7503
6.2,0.2036,0.7751,0.6699,0.754,0.625,0.6895,0.7489,0.7994,0.7741,0.7499,0.7465,0.7482
6.3,0.2211,0.7811,0.6732,0.7604,0.6207,0.6905,0.7436,0.8014,0.7725,0.7506,0.7389,0.7447
6.4,0.2384,0.7819,0.6742,0.7684,0.6151,0.6918,0.7371,0.8005,0.7688,0.7497,0.7301,0.7399
6.5,0.2555,0.7776,0.6722,0.7777,0.6085,0.6931,0.7289,0.7967,0.7628,0.7474,0.7199,0.7337
6.6,0.2724,0.7688,0.6672,0.7878,0.6012,0.6945,0.7189,0.7901,0.7545,0.7438,0.7083,0.726
6.7,0.2883,0.7568,0.6594,0.7987,0.5942,0.6964,0.7079,0.7816,0.7448,0.7392,0.6957,0.7175
6.8,0.302,0.7427,0.6496,0.8102,0.589,0.6996,0.697,0.7724,0.7347,0.7342,0.6828,0.7085
6.9,0.3114,0.7269,0.6388,0.8215,0.5871,0.7043,0.6874,0.7632,0.7253,0.7291,0.67,0.6995
7,0.3154,0.7092,0.6273,0.8313,0.5889,0.7101,0.6796,0.7541,0.7168,0.7237,0.6578,0.6907
7.1,0.3131,0.6896,0.6151,0.8384,0.5942,0.7163,0.6734,0.7444,0.7089,0.7175,0.6464,0.6819
7.2,0.3043,0.6686,0.6026,0.8424,0.6024,0.7224,0.6681,0.7341,0.7011,0.7103,0.6358,0.6731
7.3,0.2888,0.6473,0.59,0.8432,0.6129,0.728,0.6634,0.7235,0.6934,0.7019,0.6264,0.6642
7.4,0.2665,0.6269,0.5779,0.8411,0.6255,0.7333,0.6594,0.7136,0.6865,0.6925,0.6184,0.6555
7.5,0.2378,0.6082,0.567,0.8367,0.6389,0.7378,0.6567,0.7046,0.6806,0.6824,0.6119,0.6472
7.6,0.2037,0.5916,0.5575,0.8306,0.652,0.7413,0.655,0.6964,0.6757,0.672,0.6073,0.6397
7.7,0.1659,0.5771,0.5497,0.8234,0.6639,0.7437,0.6542,0.6886,0.6714,0.6618,0.6049,0.6333
7.8,0.1262,0.5646,0.5434,0.8154,0.6741,0.7448,0.6537,0.6804,0.667,0.6514,0.6049,0.6281
7.9,0.0864,0.5545,0.538,0.8067,0.6823,0.7445,0.653,0.6715,0.6622,0.6404,0.607,0.6237
8,0.047,0.5469,0.5331,0.7971,0.6885,0.7428,0.6516,0.6624,0.657,0.6281,0.6114,0.6197
8.1,0.008,0.5424,0.5287,0.7863,0.6934,0.7399,0.6493,0.6534,0.6514,0.6139,0.6176,0.6157
8.2,-0.0301,0.542,0.5248,0.7749,0.6981,0.7365,0.646,0.6452,0.6456,0.5981,0.6251,0.6116
8.3,-0.0662,0.5463,0.5218,0.7634,0.7028,0.7331,0.6414,0.6378,0.6396,0.5813,0.6332,0.6072
8.4,-0.0989,0.5554,0.52,0.7523,0.7073,0.7298,0.635,0.6312,0.6331,0.5637,0.6411,0.6024
8.5,-0.1262,0.5685,0.5191,0.7417,0.7105,0.7261,0.6268,0.6253,0.6261,0.5457,0.6479,0.5968
8.6,-0.1467,0.5837,0.5187,0.7311,0.711,0.7211,0.6175,0.6195,0.6185,0.5276,0.6528,0.5902
8.7,-0.1599,0.6001,0.5184,0.7205,0.7083,0.7144,0.6077,0.6136,0.6106,0.5102,0.6552,0.5827
8.8,-0.1668,0.6169,0.5178,0.7106,0.7026,0.7066,0.5984,0.6074,0.6029,0.4938,0.6545,0.5741
8.9,-0.1685,0.634,0.5169,0.7022,0.695,0.6986,0.5903,0.6014,0.5959,0.4785,0.6509,0.5647
9,-0.1653,0.6511,0.5152,0.6958,0.6858,0.6908,0.584,0.5959,0.5899,0.4643,0.6444,0.5544
9.1,-0.1573,0.6675,0.5119,0.6914,0.675,0.6832,0.5795,0.5911,0.5853,0.4509,0.6348,0.5428
9.2,-0.1454,0.6825,0.5061,0.6882,0.6621,0.6752,0.5772,0.5864,0.5818,0.4387,0.6213,0.53
9.3,-0.131,0.6952,0.4968,0.6856,0.6469,0.6662,0.5774,0.5814,0.5794,0.428,0.6037,0.5158
9.4,-0.1148,0.7052,0.4838,0.683,0.6296,0.6563,0.5797,0.5756,0.5777,0.4188,0.5817,0.5003
9.5,-0.0971,0.7123,0.4674,0.6803,0.6103,0.6453,0.5835,0.569,0.5762,0.4112,0.556,0.4836
9.6,-0.0785,0.7164,0.4482,0.6775,0.5896,0.6336,0.5882,0.5619,0.5751,0.4049,0.5268,0.4658
9.7,-0.0595,0.7177,0.4274,0.6743,0.5678,0.6211,0.5936,0.5548,0.5742,0.4,0.4945,0.4473
9.8,-0.0405,0.7166,0.406,0.6703,0.5455,0.6079,0.5993,0.548,0.5737,0.3968,0.4602,0.4285
9.9,-0.0217,0.7134,0.3848,0.6653,0.5232,0.5943,0.6055,0.5418,0.5736,0.3955,0.4251,0.4103
10,-0.0039,0.7083,0.3645,0.6594,0.5018,0.5806,0.6117,0.5364,0.5741,0.3961,0.3906,0.3933
10.1,0.0126,0.7011,0.3455,0.653,0.4823,0.5677,0.6173,0.5319,0.5746,0.3982,0.3579,0.378
10.2,0.0281,0.6913,0.328,0.6466,0.465,0.5558,0.6216,0.5279,0.5748,0.4013,0.328,0.3646
10.3,0.043,0.6788,0.312,0.6406,0.4498,0.5452,0.6243,0.5239,0.5741,0.4051,0.3017,0.3534
10.4,0.058,0.6642,0.2974,0.6355,0.4366,0.5361,0.6253,0.5194,0.5723,0.4098,0.2796,0.3447
10.5,0.074,0.6482,0.2843,0.6318,0.4252,0.5285,0.6249,0.5147,0.5698,0.4156,0.2626,0.3391
10.6,0.0923,0.6318,0.2731,0.6298,0.4154,0.5226,0.6231,0.5105,0.5668,0.4228,0.2513,0.337
10.7,0.1133,0.616,0.2637,0.6297,0.4075,0.5186,0.62,0.5071,0.5636,0.4317,0.246,0.3389
10.8,0.1365,0.6015,0.2563,0.6314,0.4016,0.5165,0.616,0.5042,0.5601,0.4418,0.2467,0.3442
10.9,0.1607,0.5889,0.251,0.6345,0.3983,0.5164,0.6108,0.5013,0.556,0.4522,0.2527,0.3525
11,0.184,0.578,0.2481,0.6385,0.3979,0.5182,0.6046,0.4983,0.5514,0.4623,0.2631,0.3627
11.1,0.2048,0.5687,0.2478,0.6427,0.4006,0.5216,0.5973,0.4957,0.5465,0.4712,0.2771,0.3741
11.2,0.2215,0.5606,0.2501,0.6463,0.4065,0.5264,0.5894,0.4941,0.5418,0.4783,0.2937,0.386
11.3,0.2323,0.5533,0.2549,0.6487,0.4156,0.5321,0.5811,0.4941,0.5376,0.4835,0.3124,0.398
11.4,0.236,0.5469,0.2621,0.6496,0.428,0.5388,0.5729,0.4959,0.5344,0.4872,0.3325,0.4099
11.5,0.2321,0.5415,0.2717,0.6488,0.4438,0.5463,0.5645,0.499,0.5317,0.4898,0.3526,0.4212
11.6,0.2209,0.5373,0.2834,0.6462,0.4629,0.5545,0.5557,0.5028,0.5292,0.4919,0.3716,0.4318
11.7,0.2026,0.5341,0.2964,0.6417,0.4851,0.5634,0.546,0.5067,0.5264,0.4941,0.3887,0.4414
11.8,0.1774,0.5316,0.3102,0.6359,0.5101,0.573,0.5359,0.5105,0.5232,0.4966,0.4038,0.4502
11.9,0.1453,0.5304,0.3243,0.6296,0.5384,0.584,0.5262,0.514,0.5201,0.4995,0.4174,0.4585
12,0.1065,0.531,0.3384,0.6238,0.5702,0.597,0.5172,0.5173,0.5172,0.5031,0.43,0.4665
12.1,0.0613,0.5341,0.3521,0.6189,0.6059,0.6124,0.5092,0.5205,0.5148,0.5077,0.442,0.4748
12.2,0.0107,0.5397,0.3649,0.6146,0.6449,0.6298,0.5023,0.5239,0.5131,0.5134,0.4535,0.4834
12.3,-0.0434,0.5474,0.3766,0.6105,0.6861,0.6483,0.4966,0.5276,0.5121,0.5199,0.4648,0.4924
12.4,-0.0993,0.5567,0.3871,0.6064,0.7279,0.6672,0.4923,0.5316,0.5119,0.5272,0.4758,0.5015
12.5,-0.1559,0.5669,0.3965,0.6026,0.7695,0.686,0.4895,0.5353,0.5124,0.5353,0.4863,0.5108
12.6,-0.2119,0.5778,0.4049,0.5991,0.8095,0.7043,0.4878,0.5384,0.5131,0.5444,0.496,0.5202
12.7,-0.2654,0.5887,0.4125,0.5959,0.8464,0.7211,0.4867,0.5404,0.5135,0.5546,0.505,0.5298
12.8,-0.3144,0.5994,0.4199,0.5928,0.8786,0.7357,0.4856,0.5416,0.5136,0.5654,0.5136,0.5395
12.9,-0.3576,0.6097,0.4275,0.5899,0.9048,0.7474,0.4852,0.5422,0.5137,0.5764,0.5218,0.5491
13,-0.3939,0.6199,0.4352,0.5874,0.9242,0.7558,0.486,0.5421,0.5141,0.5868,0.5298,0.5583
13.1,-0.4214,0.63,0.4427,0.5854,0.9361,0.7607,0.4881,0.5408,0.5144,0.596,0.537,0.5665
13.2,-0.4382,0.6396,0.449,0.5832,0.9399,0.7615,0.4911,0.5374,0.5143,0.603,0.5429,0.573
13.3,-0.4434,0.6476,0.4534,0.5802,0.9354,0.7578,0.4946,0.532,0.5133,0.6066,0.547,0.5768
13.4,-0.4372,0.6532,0.4558,0.5766,0.9227,0.7497,0.4986,0.525,0.5118,0.6058,0.5488,0.5773
13.5,-0.4199,0.6559,0.4569,0.5731,0.9027,0.7379,0.5035,0.5175,0.5105,0.6004,0.5486,0.5745
13.6,-0.3918,0.6564,0.4578,0.5705,0.876,0.7233,0.5098,0.5104,0.5101,0.5916,0.5472,0.5694
13.7,-0.3535,0.6557,0.4595,0.5699,0.8436,0.7068,0.5181,0.5043,0.5112,0.581,0.5457,0.5634
13.8,-0.306,0.6547,0.4624,0.5714,0.8071,0.6892,0.5281,0.4994,0.5138,0.5696,0.5449,0.5572
13.9,-0.2519,0.6536,0.4663,0.5745,0.7682,0.6714,0.5392,0.4957,0.5175,0.5573,0.5453,0.5513
14,-0.1954,0.6517,0.4708,0.5784,0.7285,0.6534,0.5503,0.493,0.5217,0.5438,0.5468,0.5453
14.1,-0.1405,0.6486,0.4752,0.582,0.689,0.6355,0.5604,0.4909,0.5257,0.529,0.5492,0.5391
14.2,-0.0905,0.644,0.4793,0.5844,0.6505,0.6174,0.5686,0.4893,0.5289,0.5136,0.5519,0.5328
14.3,-0.047,0.638,0.4827,0.5851,0.6137,0.5994,0.5746,0.4881,0.5313,0.499,0.5551,0.527
14.4,-0.0105,0.6308,0.4858,0.584,0.5794,0.5817,0.5783,0.4876,0.533,0.4865,0.559,0.5228
14.5,0.0183,0.6232,0.4884,0.5813,0.5482,0.5647,0.5794,0.4884,0.5339,0.4774,0.5642,0.5208
14.6,0.0394,0.6163,0.4907,0.578,0.5208,0.5494,0.5776,0.4906,0.5341,0.4724,0.5706,0.5215
14.7,0.0533,0.6111,0.493,0.5751,0.4976,0.5363,0.5722,0.4944,0.5333,0.4717,0.5782,0.5249
14.8,0.0609,0.6083,0.4957,0.5729,0.4787,0.5258,0.5632,0.5001,0.5316,0.4752,0.5866,0.5309
14.9,0.0633,0.608,0.4989,0.5713,0.4641,0.5177,0.551,0.5073,0.5291,0.4826,0.5953,0.539
15,0.0615,0.6096,0.5022,0.5701,0.4536,0.5119,0.536,0.5158,0.5259,0.4937,0.6037,0.5487
15.1,0.0562,0.6121,0.5053,0.5692,0.4467,0.508,0.5189,0.5248,0.5219,0.5077,0.6119,0.5598
15.2,0.0482,0.615,0.5082,0.5686,0.4428,0.5057,0.5001,0.5338,0.5169,0.5237,0.62,0.5718
15.3,0.0381,0.6176,0.5108,0.568,0.4414,0.5047,0.4799,0.5418,0.5109,0.5405,0.6278,0.5842
15.4,0.0267,0.6195,0.5134,0.567,0.4422,0.5046,0.4588,0.5485,0.5036,0.5576,0.6347,0.5962
15.5,0.0146,0.6202,0.5161,0.5649,0.4452,0.505,0.4373,0.5533,0.4953,0.5741,0.6399,0.607
15.6,0.0018,0.6196,0.5185,0.562,0.4501,0.506,0.4161,0.5559,0.486,0.5893,0.6427,0.616
15.7,-0.0114,0.6176,0.5204,0.5587,0.4569,0.5078,0.3954,0.5559,0.4756,0.6024,0.6425,0.6225
15.8,-0.0245,0.6147,0.5215,0.5553,0.465,0.5101,0.3754,0.5529,0.4641,0.6134,0.6393,0.6264
15.9,-0.0379,0.6109,0.5216,0.5515,0.474,0.5127,0.3566,0.5469,0.4518,0.6221,0.6331,0.6276
16,-0.0521,0.6068,0.5212,0.5468,0.4832,0.515,0.3396,0.5389,0.4392,0.6282,0.6241,0.6261
16.1,-0.0679,0.6023,0.5213,0.5411,0.4926,0.5169,0.3252,0.5299,0.4275,0.631,0.6128,0.6219
16.2,-0.086,0.5974,0.523,0.5348,0.5021,0.5185,0.3138,0.5212,0.4175,0.63,0.5997,0.6148
16.3,-0.1057,0.5919,0.5268,0.5284,0.5115,0.52,0.306,0.5138,0.4099,0.6257,0.5855,0.6056
16.4,-0.1253,0.5854,0.5327,0.5222,0.5203,0.5212,0.3017,0.5084,0.4051,0.6189,0.5713,0.5951
16.5,-0.1432,0.5781,0.5405,0.5161,0.5279,0.522,0.3012,0.5055,0.4033,0.6109,0.5577,0.5843
16.6,-0.1592,0.5709,0.5497,0.5105,0.534,0.5223,0.3046,0.5051,0.4049,0.6028,0.5457,0.5743
16.7,-0.1733,0.5652,0.56,0.5061,0.5388,0.5224,0.3119,0.507,0.4094,0.5955,0.5362,0.5658
16.8,-0.1851,0.5624,0.5713,0.5036,0.5428,0.5232,0.3233,0.5107,0.417,0.5895,0.5296,0.5596
16.9,-0.1935,0.5632,0.5836,0.5029,0.5466,0.5247,0.339,0.5163,0.4276,0.586,0.5266,0.5563
17,-0.1981,0.5677,0.5967,0.5034,0.5507,0.527,0.3592,0.5236,0.4414,0.5859,0.5272,0.5566
17.1,-0.2001,0.5758,0.6103,0.5045,0.5553,0.5299,0.3838,0.5326,0.4582,0.5896,0.5316,0.5606
17.2,-0.2021,0.5871,0.6237,0.5052,0.5606,0.5329,0.4121,0.5434,0.4777,0.5972,0.5394,0.5683
17.3,-0.2067,0.6009,0.6366,0.5049,0.5662,0.5356,0.4434,0.5558,0.4996,0.608,0.5499,0.579
17.4,-0.2152,0.6166,0.6489,0.5031,0.5715,0.5373,0.477,0.5698,0.5234,0.6216,0.5626,0.5921
17.5,-0.2277,0.6334,0.6606,0.4997,0.576,0.5378,0.512,0.5853,0.5486,0.6381,0.5771,0.6076
17.6,-0.2432,0.651,0.6718,0.4955,0.5796,0.5375,0.5475,0.6021,0.5748,0.6578,0.594,0.6259
17.7,-0.2599,0.6692,0.6829,0.4914,0.5824,0.5369,0.5828,0.6202,0.6015,0.6805,0.614,0.6473
17.8,-0.2774,0.6875,0.6945,0.4879,0.5845,0.5362,0.6163,0.639,0.6277,0.7053,0.6372,0.6713
17.9,-0.2954,0.7054,0.7061,0.4852,0.5858,0.5355,0.6464,0.658,0.6522,0.7304,0.6629,0.6967
18,-0.3125,0.7215,0.7174,0.4833,0.5862,0.5348,0.6715,0.6762,0.6738,0.7541,0.6899,0.722
18.1,-0.3272,0.7347,0.7273,0.4818,0.586,0.5339,0.6905,0.6929,0.6917,0.7751,0.7169,0.746
18.2,-0.3385,0.7439,0.735,0.4804,0.5853,0.5329,0.7028,0.7073,0.705,0.7928,0.7424,0.7676
18.3,-0.3468,0.7485,0.7396,0.4784,0.5844,0.5314,0.7073,0.7185,0.7129,0.8064,0.7647,0.7856
18.4,-0.3531,0.7484,0.7407,0.4755,0.5832,0.5294,0.7036,0.7259,0.7147,0.8152,0.7827,0.799
18.5,-0.3575,0.744,0.7385,0.4718,0.5818,0.5268,0.6914,0.7293,0.7104,0.8186,0.7959,0.8073
18.6,-0.3599,0.7359,0.7335,0.468,0.5806,0.5243,0.6718,0.7291,0.7004,0.8168,0.8043,0.8105
18.7,-0.3602,0.7248,0.7266,0.4648,0.5797,0.5222,0.6467,0.726,0.6864,0.8102,0.8078,0.809
18.8,-0.3589,0.7111,0.7184,0.4622,0.5793,0.5207,0.6182,0.7208,0.6695,0.7998,0.8067,0.8032
18.9,-0.3568,0.695,0.709,0.4595,0.579,0.5192,0.5878,0.7139,0.6509,0.7859,0.8015,0.7937
19,-0.3542,0.6766,0.6982,0.4554,0.5784,0.5169,0.5566,0.7055,0.631,0.769,0.7928,0.7809
19.1,-0.3512,0.6562,0.6864,0.4491,0.5771,0.5131,0.5256,0.6956,0.6106,0.7501,0.7816,0.7658
19.2,-0.3471,0.634,0.674,0.4403,0.5747,0.5075,0.4958,0.6844,0.5901,0.7296,0.7685,0.749
19.3,-0.3419,0.6104,0.6618,0.4292,0.571,0.5001,0.4679,0.6725,0.5702,0.7078,0.754,0.7309
19.4,-0.3352,0.5855,0.6501,0.4161,0.5662,0.4911,0.4423,0.6599,0.5511,0.685,0.7381,0.7115
19.5,-0.3262,0.5599,0.6388,0.4012,0.5604,0.4808,0.4192,0.647,0.5331,0.6617,0.7209,0.6913
19.6,-0.3137,0.5345,0.6273,0.3849,0.5539,0.4694,0.3989,0.634,0.5165,0.639,0.7025,0.6707
19.7,-0.2967,0.5107,0.6152,0.3683,0.5467,0.4575,0.3821,0.6213,0.5017,0.6179,0.6835,0.6507
19.8,-0.2754,0.4899,0.6026,0.3525,0.5386,0.4455,0.369,0.6089,0.4889,0.5989,0.664,0.6314
19.9,-0.2513,0.4729,0.5894,0.3383,0.53,0.4341,0.3597,0.5968,0.4783,0.5817,0.644,0.6128
20,-0.2267,0.4604,0.5757,0.3264,0.5212,0.4238,0.3538,0.5853,0.4695,0.5657,0.6232,0.5944
20.1,-0.2036,0.4527,0.5618,0.3172,0.5133,0.4152,0.3509,0.5746,0.4628,0.5505,0.6013,0.5759
20.2,-0.183,0.4499,0.5481,0.3108,0.5075,0.4091,0.3509,0.5658,0.4583,0.5358,0.5783,0.557
20.3,-0.1656,0.4522,0.5355,0.3073,0.5047,0.406,0.3539,0.5599,0.4569,0.5217,0.5544,0.538
20.4,-0.1516,0.4588,0.5247,0.3068,0.5049,0.4059,0.3603,0.5571,0.4587,0.5078,0.5301,0.519
20.5,-0.1412,0.4691,0.5157,0.3096,0.5075,0.4086,0.3696,0.5571,0.4633,0.494,0.5057,0.4998
20.6,-0.1338,0.4823,0.508,0.3159,0.5116,0.4138,0.3811,0.5589,0.47,0.4795,0.4814,0.4804
20.7,-0.1286,0.4979,0.5013,0.3259,0.5169,0.4214,0.394,0.5619,0.4779,0.464,0.4573,0.4606
20.8,-0.1252,0.5152,0.495,0.3394,0.5234,0.4314,0.4075,0.5656,0.4866,0.4472,0.434,0.4406
20.9,-0.1231,0.5334,0.4887,0.3562,0.5306,0.4434,0.4216,0.5697,0.4956,0.4292,0.412,0.4206
21,-0.1214,0.5515,0.482,0.3753,0.5376,0.4565,0.4359,0.574,0.505,0.4106,0.3918,0.4012
21.1,-0.1188,0.5691,0.475,0.396,0.5435,0.4697,0.4503,0.5781,0.5142,0.3916,0.3735,0.3825
21.2,-0.1143,0.5856,0.4681,0.4177,0.5485,0.4831,0.4637,0.5817,0.5227,0.3722,0.357,0.3646
21.3,-0.1076,0.6007,0.4616,0.4404,0.5533,0.4968,0.4755,0.5849,0.5302,0.3526,0.342,0.3473
21.4,-0.099,0.6137,0.4557,0.4636,0.558,0.5108,0.4849,0.5876,0.5363,0.333,0.3286,0.3308
