Time,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.1,-0.0943,0.7587,0.6273,0.6865,0.8052,0.7459,0.632,0.6009,0.6165,0.7462,0.8135,0.7798
8.2,-0.0675,0.7655,0.629,0.6762,0.809,0.7426,0.6307,0.593,0.6119,0.7352,0.805,0.7701
8.3,-0.0361,0.7708,0.6312,0.6679,0.8122,0.7401,0.6289,0.5872,0.608,0.7264,0.7975,0.762
8.4,-0.0022,0.7746,0.633,0.6617,0.8148,0.7382,0.6268,0.5832,0.605,0.7203,0.7915,0.7559
8.5,0.0319,0.777,0.6331,0.6572,0.8166,0.7369,0.6248,0.5809,0.6029,0.7169,0.7872,0.7521
8.6,0.0654,0.7779,0.6307,0.654,0.8179,0.736,0.6231,0.5798,0.6015,0.7167,0.7847,0.7507
8.7,0.0984,0.7775,0.6257,0.6519,0.8185,0.7352,0.6221,0.5792,0.6006,0.7199,0.7839,0.7519
8.8,0.1314,0.7755,0.6187,0.6504,0.8181,0.7342,0.6218,0.5784,0.6001,0.7263,0.7842,0.7553
8.9,0.1647,0.7718,0.6103,0.6488,0.8154,0.7321,0.6225,0.577,0.5997,0.7352,0.7854,0.7603
9,0.1984,0.7666,0.6011,0.6472,0.8099,0.7285,0.6241,0.5748,0.5994,0.7454,0.7869,0.7661
9.1,0.2333,0.7603,0.5913,0.6458,0.8013,0.7236,0.6265,0.5717,0.5991,0.7561,0.7884,0.7722
9.2,0.2708,0.7538,0.5808,0.6452,0.7901,0.7177,0.63,0.5678,0.5989,0.7667,0.7898,0.7782
9.3,0.3113,0.7474,0.5696,0.6457,0.7762,0.711,0.6349,0.5626,0.5988,0.7769,0.7913,0.7841
9.4,0.3545,0.741,0.5577,0.6471,0.7592,0.7031,0.6414,0.5559,0.5986,0.786,0.7929,0.7895
9.5,0.3989,0.7348,0.5456,0.6485,0.7391,0.6938,0.6489,0.547,0.5979,0.7928,0.7942,0.7935
9.6,0.4415,0.7292,0.5342,0.6498,0.7165,0.6831,0.6565,0.5357,0.5961,0.7961,0.7944,0.7953
9.7,0.4796,0.7248,0.5244,0.6515,0.6929,0.6722,0.6635,0.5221,0.5928,0.7954,0.7935,0.7944
9.8,0.5121,0.7222,0.5168,0.6547,0.6702,0.6624,0.6694,0.5061,0.5877,0.7909,0.7912,0.7911
9.9,0.5386,0.7214,0.5122,0.6597,0.6496,0.6547,0.6743,0.4888,0.5816,0.7834,0.7883,0.7859
10,0.5586,0.7221,0.5108,0.6665,0.632,0.6493,0.6785,0.4717,0.5751,0.7736,0.7852,0.7794
10.1,0.5716,0.7241,0.5124,0.6751,0.6176,0.6464,0.6819,0.4557,0.5688,0.762,0.7822,0.7721
10.2,0.5767,0.7276,0.5167,0.6856,0.6066,0.6461,0.6843,0.4415,0.5629,0.7489,0.779,0.764
10.3,0.5734,0.7325,0.5238,0.6984,0.5988,0.6486,0.6855,0.4296,0.5575,0.7351,0.7755,0.7553
10.4,0.563,0.7386,0.534,0.7133,0.5935,0.6534,0.6856,0.4197,0.5527,0.7214,0.7718,0.7466
10.5,0.5473,0.7449,0.547,0.7297,0.5898,0.6597,0.6842,0.4119,0.5481,0.7085,0.7683,0.7384
10.6,0.5278,0.7508,0.5619,0.7466,0.5872,0.6669,0.6808,0.4062,0.5435,0.697,0.7647,0.7309
10.7,0.5051,0.7556,0.577,0.7633,0.5852,0.6743,0.6755,0.4024,0.539,0.6872,0.7611,0.7241
10.8,0.4797,0.7591,0.5908,0.7791,0.5837,0.6814,0.6686,0.4001,0.5343,0.6792,0.7574,0.7183
10.9,0.4523,0.7608,0.6025,0.7929,0.5827,0.6878,0.6604,0.3991,0.5298,0.674,0.7539,0.714
11,0.4235,0.76,0.6114,0.8033,0.5821,0.6927,0.6514,0.3995,0.5254,0.672,0.751,0.7115
11.1,0.393,0.7561,0.6168,0.8098,0.5823,0.696,0.6422,0.4011,0.5216,0.6733,0.7486,0.7109
11.2,0.3606,0.7492,0.6183,0.8119,0.5839,0.6979,0.6326,0.4041,0.5184,0.6774,0.7463,0.7119
11.3,0.3265,0.7402,0.6156,0.8104,0.5873,0.6988,0.6227,0.408,0.5153,0.6837,0.7437,0.7137
11.4,0.2914,0.7299,0.6088,0.8056,0.5926,0.6991,0.6123,0.4122,0.5123,0.6917,0.7404,0.7161
