Time,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC,Bendigo Bank - Bigger for you 30 TVC
7.1,0.089,0.6424,0.3421,0.5971,0.5709,0.584,0.4622,0.3977,0.4299,0.4416,0.2315,0.3366
7.2,0.078,0.6507,0.3419,0.5847,0.5618,0.5733,0.4587,0.3969,0.4278,0.4417,0.2297,0.3357
7.3,0.0667,0.6591,0.3436,0.5714,0.5529,0.5622,0.4546,0.3983,0.4264,0.4413,0.2281,0.3347
7.4,0.057,0.668,0.3469,0.5576,0.5443,0.5509,0.4502,0.4018,0.426,0.4401,0.226,0.3331
7.5,0.0511,0.678,0.3519,0.5444,0.5361,0.5402,0.4461,0.4074,0.4267,0.4379,0.2225,0.3302
7.6,0.0506,0.6896,0.3587,0.5333,0.5288,0.5311,0.4428,0.4152,0.429,0.4352,0.2175,0.3264
7.7,0.0559,0.7028,0.367,0.5251,0.5229,0.524,0.4404,0.425,0.4327,0.4322,0.2115,0.3218
7.8,0.0667,0.7167,0.3758,0.5196,0.5181,0.5188,0.4383,0.436,0.4372,0.4291,0.2047,0.3169
7.9,0.0824,0.73,0.3834,0.5159,0.5138,0.5149,0.4364,0.4473,0.4418,0.4262,0.1971,0.3117
8,0.1016,0.7423,0.3889,0.5135,0.5096,0.5115,0.4342,0.4582,0.4462,0.4232,0.1885,0.3059
8.1,0.1218,0.7535,0.3923,0.5116,0.5056,0.5086,0.4321,0.4691,0.4506,0.4202,0.179,0.2996
8.2,0.1401,0.764,0.3944,0.5103,0.5025,0.5064,0.4308,0.4804,0.4556,0.4178,0.1693,0.2936
8.3,0.1539,0.7736,0.3957,0.5097,0.5015,0.5056,0.4313,0.4925,0.4619,0.4168,0.1603,0.2885
8.4,0.1628,0.7818,0.3967,0.5093,0.5027,0.506,0.4338,0.5049,0.4693,0.4171,0.1521,0.2846
8.5,0.167,0.7881,0.3974,0.5085,0.5054,0.507,0.4381,0.5169,0.4775,0.4183,0.1446,0.2814
8.6,0.1671,0.7923,0.3979,0.5075,0.5087,0.5081,0.4443,0.5281,0.4862,0.4202,0.1383,0.2792
8.7,0.1634,0.795,0.3985,0.5068,0.512,0.5094,0.4522,0.5384,0.4953,0.4231,0.1346,0.2789
8.8,0.1559,0.7966,0.3993,0.5075,0.5154,0.5115,0.4621,0.5485,0.5053,0.4276,0.1348,0.2812
8.9,0.1448,0.7979,0.4005,0.5099,0.5188,0.5143,0.4746,0.5587,0.5167,0.434,0.1396,0.2868
9,0.1306,0.7992,0.4026,0.5141,0.5219,0.518,0.4899,0.5694,0.5297,0.4426,0.1494,0.296
9.1,0.1146,0.8006,0.4061,0.5201,0.5247,0.5224,0.5078,0.5806,0.5442,0.4534,0.1647,0.309
9.2,0.0975,0.8022,0.4119,0.5276,0.5272,0.5274,0.5276,0.5917,0.5596,0.4667,0.1867,0.3267
9.3,0.0796,0.8036,0.4204,0.5366,0.5295,0.533,0.5486,0.6023,0.5755,0.4825,0.2153,0.3489
9.4,0.0612,0.805,0.4317,0.5471,0.5316,0.5393,0.5696,0.6123,0.5909,0.4994,0.2483,0.3738
9.5,0.0429,0.8063,0.4452,0.5596,0.5338,0.5467,0.5894,0.6216,0.6055,0.5157,0.2826,0.3991
9.6,0.0257,0.8081,0.46,0.5747,0.5366,0.5556,0.6069,0.6309,0.6189,0.5295,0.3151,0.4223
9.7,0.0107,0.8106,0.4757,0.5931,0.5405,0.5668,0.6209,0.6406,0.6308,0.54,0.3436,0.4418
9.8,-0.0011,0.814,0.4915,0.6147,0.5452,0.58,0.6312,0.6507,0.641,0.5465,0.3662,0.4563
9.9,-0.0093,0.8178,0.5061,0.6391,0.55,0.5946,0.6377,0.6606,0.6491,0.5483,0.3812,0.4648
10,-0.0135,0.8216,0.5183,0.6656,0.5541,0.6098,0.6406,0.6693,0.655,0.5451,0.3877,0.4664
10.1,-0.0139,0.825,0.5271,0.6931,0.557,0.6251,0.6406,0.6767,0.6587,0.5371,0.3855,0.4613
10.2,-0.0109,0.828,0.5324,0.7217,0.5598,0.6408,0.6381,0.683,0.6606,0.5251,0.3754,0.4502
10.3,-0.0041,0.831,0.5351,0.7515,0.5639,0.6577,0.6339,0.6888,0.6614,0.5102,0.3587,0.4345
10.4,0.007,0.8345,0.5363,0.7816,0.5703,0.6759,0.6289,0.6943,0.6616,0.4932,0.337,0.4151
10.5,0.0215,0.8386,0.5367,0.8109,0.5785,0.6947,0.6237,0.6994,0.6615,0.4745,0.3112,0.3929
10.6,0.0377,0.8424,0.5359,0.8377,0.5875,0.7126,0.6182,0.7028,0.6605,0.4542,0.2817,0.3679
10.7,0.0534,0.8438,0.5333,0.8598,0.5952,0.7275,0.6117,0.7035,0.6576,0.4324,0.2487,0.3406
10.8,0.0671,0.841,0.5289,0.8756,0.5995,0.7375,0.6037,0.7007,0.6522,0.4095,0.2127,0.3111
10.9,0.0779,0.8325,0.5226,0.8832,0.5987,0.7409,0.5937,0.6938,0.6438,0.3856,0.1742,0.2799
11,0.0848,0.818,0.5148,0.8816,0.5922,0.7369,0.5818,0.6826,0.6322,0.3607,0.1341,0.2474
11.1,0.0869,0.7984,0.506,0.8711,0.5808,0.726,0.5685,0.6675,0.618,0.3347,0.0938,0.2143
11.2,0.0834,0.7752,0.4972,0.853,0.566,0.7095,0.5544,0.6493,0.6018,0.3084,0.0545,0.1815
11.3,0.0744,0.7504,0.4894,0.8296,0.55,0.6898,0.54,0.629,0.5845,0.2826,0.0178,0.1502
11.4,0.0604,0.7259,0.4837,0.8025,0.5347,0.6686,0.526,0.6079,0.5669,0.2581,-0.0149,0.1216
11.5,0.0426,0.7025,0.4813,0.7725,0.521,0.6468,0.5133,0.5867,0.55,0.236,-0.0417,0.0972
11.6,0.0225,0.6805,0.4832,0.7413,0.5097,0.6255,0.5032,0.566,0.5346,0.2178,-0.0607,0.0785
11.7,0.0016,0.6599,0.4899,0.7098,0.5,0.6049,0.4962,0.5462,0.5212,0.2044,-0.0706,0.0669
11.8,-0.0184,0.6404,0.5016,0.6787,0.4909,0.5848,0.4921,0.528,0.5101,0.196,-0.0707,0.0627
11.9,-0.0369,0.6222,0.5177,0.6483,0.4814,0.5649,0.4904,0.5125,0.5014,0.1926,-0.0613,0.0656
12,-0.0536,0.6051,0.5374,0.6184,0.4711,0.5448,0.4903,0.5005,0.4954,0.1935,-0.0434,0.0751
12.1,-0.0684,0.589,0.5591,0.5883,0.4599,0.5241,0.4912,0.4917,0.4914,0.1975,-0.0189,0.0893
12.2,-0.0809,0.5736,0.5806,0.5576,0.4482,0.5029,0.4922,0.4846,0.4884,0.2034,0.0099,0.1066
12.3,-0.0911,0.5588,0.6001,0.5257,0.4361,0.4809,0.493,0.4779,0.4854,0.21,0.0409,0.1254
12.4,-0.0994,0.5444,0.616,0.4927,0.4239,0.4583,0.4932,0.4709,0.482,0.2165,0.0729,0.1447
12.5,-0.1064,0.5304,0.6272,0.4592,0.4116,0.4354,0.4925,0.4637,0.4781,0.2222,0.1055,0.1638
12.6,-0.1127,0.5166,0.6326,0.4268,0.3998,0.4133,0.4905,0.4565,0.4735,0.2268,0.1377,0.1822
12.7,-0.1186,0.5035,0.6308,0.3977,0.3891,0.3934,0.4871,0.4495,0.4683,0.2298,0.1672,0.1985
12.8,-0.1229,0.4916,0.6201,0.3734,0.3802,0.3768,0.4824,0.4426,0.4625,0.2312,0.1918,0.2115
12.9,-0.1246,0.4813,0.6004,0.3545,0.3733,0.3639,0.477,0.4361,0.4566,0.2322,0.2107,0.2215
13,-0.1237,0.4726,0.573,0.3405,0.3685,0.3545,0.4716,0.4309,0.4512,0.2338,0.2249,0.2294
13.1,-0.1211,0.4653,0.5413,0.3313,0.3658,0.3485,0.4667,0.4278,0.4472,0.2372,0.2358,0.2365
13.2,-0.1183,0.4594,0.5087,0.3265,0.3654,0.3459,0.4628,0.4275,0.4452,0.2429,0.2446,0.2437
13.3,-0.1157,0.4548,0.4778,0.3261,0.3674,0.3467,0.4607,0.43,0.4453,0.251,0.2516,0.2513
13.4,-0.1127,0.452,0.4503,0.3301,0.3721,0.3511,0.4605,0.4353,0.4479,0.2615,0.2573,0.2594
13.5,-0.1089,0.4513,0.4273,0.3384,0.3794,0.3589,0.462,0.4432,0.4526,0.2737,0.2625,0.2681
13.6,-0.1044,0.4528,0.4098,0.3502,0.3893,0.3697,0.4645,0.4532,0.4589,0.2865,0.2675,0.277
13.7,-0.0997,0.4563,0.3982,0.3639,0.4006,0.3822,0.4673,0.4646,0.466,0.2989,0.2724,0.2856
13.8,-0.0963,0.4608,0.3919,0.3778,0.412,0.3949,0.4703,0.4766,0.4735,0.3106,0.2773,0.2939
13.9,-0.0951,0.4655,0.3901,0.3916,0.4227,0.4071,0.4735,0.4888,0.4811,0.3216,0.2823,0.3019
14,-0.0966,0.4701,0.3919,0.4056,0.4327,0.4191,0.4766,0.5009,0.4887,0.3324,0.2876,0.31
14.1,-0.1004,0.4743,0.3974,0.4201,0.4424,0.4313,0.4795,0.513,0.4963,0.343,0.2935,0.3182
14.2,-0.1056,0.4778,0.4066,0.4346,0.4521,0.4434,0.4824,0.5252,0.5038,0.353,0.2996,0.3263
14.3,-0.1113,0.4807,0.4197,0.4485,0.4621,0.4553,0.4858,0.5377,0.5118,0.3621,0.3059,0.334
14.4,-0.117,0.4831,0.4366,0.4615,0.4727,0.4671,0.4898,0.5508,0.5203,0.3704,0.3126,0.3415
14.5,-0.1225,0.4854,0.4566,0.4734,0.4841,0.4787,0.4941,0.5641,0.5291,0.3785,0.3199,0.3492
14.6,-0.1276,0.4873,0.4782,0.4831,0.4963,0.4897,0.4976,0.577,0.5373,0.3866,0.3278,0.3572
14.7,-0.1323,0.488,0.4995,0.489,0.5087,0.4989,0.4989,0.589,0.544,0.3947,0.3358,0.3653
14.8,-0.1373,0.4868,0.519,0.4895,0.5199,0.5047,0.4976,0.5992,0.5484,0.4028,0.3434,0.3731
14.9,-0.143,0.483,0.5357,0.4844,0.5281,0.5063,0.4936,0.6073,0.5504,0.4112,0.3502,0.3807
15,-0.1491,0.4767,0.549,0.4744,0.5323,0.5034,0.4867,0.613,0.5498,0.4201,0.3562,0.3881
15.1,-0.1553,0.468,0.5588,0.46,0.5314,0.4957,0.4767,0.616,0.5463,0.4292,0.3609,0.3951
15.2,-0.1615,0.4569,0.5645,0.4411,0.5251,0.4831,0.4632,0.6156,0.5394,0.4371,0.3639,0.4005
15.3,-0.1681,0.4441,0.5653,0.4185,0.5141,0.4663,0.4462,0.6111,0.5286,0.4424,0.3647,0.4036
15.4,-0.176,0.4304,0.5612,0.3934,0.5001,0.4467,0.4259,0.6016,0.5138,0.4442,0.3632,0.4037
15.5,-0.1855,0.4165,0.5523,0.3681,0.4847,0.4264,0.4031,0.5867,0.4949,0.4424,0.3596,0.401
15.6,-0.1963,0.4031,0.5393,0.3451,0.4694,0.4072,0.3787,0.5668,0.4728,0.4375,0.3553,0.3964
15.7,-0.2078,0.3906,0.5235,0.3254,0.4549,0.3901,0.3541,0.5432,0.4486,0.431,0.3516,0.3913
15.8,-0.2195,0.3793,0.5058,0.3092,0.4417,0.3754,0.3307,0.5175,0.4241,0.4241,0.3501,0.3871
15.9,-0.2305,0.37,0.4866,0.2969,0.4305,0.3637,0.31,0.4912,0.4006,0.4182,0.3515,0.3848
16,-0.2397,0.3634,0.4663,0.2894,0.4226,0.356,0.2929,0.4653,0.3791,0.4137,0.3555,0.3846
16.1,-0.2464,0.3602,0.4451,0.2872,0.4185,0.3528,0.28,0.4402,0.3601,0.4108,0.3616,0.3862
16.2,-0.2512,0.3602,0.4238,0.2896,0.418,0.3538,0.2715,0.4167,0.3441,0.4097,0.3697,0.3897
16.3,-0.2549,0.3634,0.4041,0.2956,0.4209,0.3582,0.2674,0.3959,0.3317,0.4102,0.38,0.3951
16.4,-0.259,0.3692,0.3877,0.3035,0.4267,0.3651,0.2675,0.3788,0.3232,0.4124,0.3928,0.4026
16.5,-0.2643,0.3772,0.3755,0.3125,0.4346,0.3735,0.2711,0.3655,0.3183,0.4162,0.4072,0.4117
16.6,-0.2707,0.3868,0.3665,0.322,0.444,0.383,0.2771,0.3549,0.316,0.4211,0.4214,0.4213
16.7,-0.2776,0.397,0.3593,0.3314,0.4538,0.3926,0.2843,0.3463,0.3153,0.4265,0.4338,0.4301
16.8,-0.2853,0.4068,0.3527,0.3402,0.4635,0.4018,0.2919,0.3396,0.3158,0.4318,0.4441,0.4379
16.9,-0.2949,0.4155,0.3466,0.3477,0.4732,0.4105,0.2998,0.3353,0.3175,0.4369,0.4527,0.4448
17,-0.3073,0.4223,0.3419,0.3543,0.4834,0.4189,0.3084,0.3341,0.3212,0.4422,0.4606,0.4514
17.1,-0.3227,0.4268,0.3393,0.3608,0.4945,0.4277,0.3184,0.3363,0.3274,0.4486,0.4685,0.4585
17.2,-0.3401,0.4289,0.3389,0.3687,0.5068,0.4377,0.3306,0.3421,0.3364,0.4569,0.4769,0.4669
17.3,-0.3586,0.4284,0.3405,0.3793,0.5202,0.4498,0.3454,0.3514,0.3484,0.4679,0.4858,0.4768
17.4,-0.3772,0.4252,0.3434,0.3931,0.5347,0.4639,0.3628,0.3637,0.3633,0.4814,0.4954,0.4884
17.5,-0.3962,0.4191,0.3469,0.4096,0.5499,0.4797,0.383,0.3788,0.3809,0.4969,0.5053,0.5011
17.6,-0.4157,0.41,0.3499,0.4284,0.5653,0.4969,0.4058,0.3957,0.4007,0.5132,0.5152,0.5142
17.7,-0.4354,0.3984,0.3509,0.4495,0.5799,0.5147,0.4307,0.4134,0.422,0.5294,0.5249,0.5271
17.8,-0.4547,0.3855,0.3487,0.473,0.5929,0.533,0.4562,0.4303,0.4433,0.5448,0.5336,0.5392
17.9,-0.4725,0.3722,0.3424,0.4986,0.6032,0.5509,0.4807,0.4454,0.463,0.559,0.5407,0.5499
18,-0.4887,0.3593,0.3322,0.5255,0.6091,0.5673,0.5028,0.4578,0.4803,0.5717,0.5454,0.5585
18.1,-0.5028,0.3472,0.3192,0.553,0.6092,0.5811,0.5221,0.467,0.4945,0.582,0.5473,0.5646
18.2,-0.5143,0.3369,0.3055,0.5806,0.6029,0.5918,0.5382,0.4726,0.5054,0.5892,0.5466,0.5679
18.3,-0.522,0.3294,0.2927,0.6079,0.5904,0.5991,0.5506,0.4741,0.5123,0.5927,0.5436,0.5682
18.4,-0.5248,0.325,0.2819,0.6332,0.5728,0.603,0.5583,0.471,0.5147,0.5921,0.5385,0.5653
18.5,-0.5216,0.324,0.2734,0.6552,0.5524,0.6038,0.5606,0.4632,0.5119,0.5875,0.5314,0.5595
18.6,-0.5129,0.3272,0.2676,0.6734,0.5322,0.6028,0.5573,0.4509,0.5041,0.5797,0.5227,0.5512
18.7,-0.4992,0.3353,0.265,0.6888,0.5151,0.602,0.5487,0.4354,0.492,0.5695,0.5132,0.5414
18.8,-0.4805,0.3489,0.2666,0.7026,0.503,0.6028,0.5356,0.4183,0.477,0.5579,0.504,0.531
18.9,-0.4561,0.3676,0.2733,0.7156,0.4967,0.6061,0.5196,0.4015,0.4605,0.546,0.4955,0.5207
19,-0.4262,0.391,0.2849,0.7277,0.496,0.6118,0.5026,0.386,0.4443,0.5344,0.4877,0.5111
19.1,-0.3927,0.4187,0.301,0.7391,0.5002,0.6197,0.4867,0.3728,0.4297,0.5239,0.4799,0.5019
19.2,-0.3578,0.4502,0.3211,0.7503,0.5094,0.6298,0.4734,0.3621,0.4178,0.5147,0.4715,0.4931
19.3,-0.3232,0.4844,0.3453,0.7623,0.5234,0.6428,0.4634,0.3546,0.409,0.5071,0.4626,0.4849
19.4,-0.29,0.5198,0.3736,0.7755,0.5414,0.6584,0.4569,0.3503,0.4036,0.5011,0.4537,0.4774
19.5,-0.2591,0.5548,0.4057,0.789,0.5623,0.6756,0.4537,0.3491,0.4014,0.4967,0.4452,0.4709
19.6,-0.2315,0.5883,0.4404,0.8016,0.5851,0.6934,0.454,0.3509,0.4024,0.4936,0.437,0.4653
19.7,-0.2075,0.62,0.4766,0.8127,0.6096,0.7112,0.4583,0.3557,0.407,0.4918,0.4294,0.4606
19.8,-0.1869,0.6496,0.5136,0.8228,0.6354,0.7291,0.467,0.3639,0.4155,0.4915,0.4226,0.4571
19.9,-0.1692,0.6773,0.5505,0.8327,0.6625,0.7476,0.48,0.3758,0.4279,0.4922,0.417,0.4546
20,-0.1542,0.7033,0.5867,0.8435,0.691,0.7672,0.4969,0.3919,0.4444,0.4932,0.4127,0.453
20.1,-0.1414,0.7275,0.6216,0.8554,0.721,0.7882,0.5172,0.4129,0.4651,0.4937,0.4099,0.4518
20.2,-0.1303,0.7503,0.6546,0.8679,0.7519,0.8099,0.5411,0.439,0.49,0.4932,0.409,0.4511
20.3,-0.1195,0.7717,0.6852,0.8805,0.7832,0.8318,0.5683,0.4697,0.519,0.4916,0.4102,0.4509
20.4,-0.1071,0.7916,0.713,0.8926,0.8133,0.853,0.5983,0.504,0.5511,0.489,0.4134,0.4512
20.5,-0.0919,0.8095,0.7373,0.9029,0.8404,0.8717,0.6297,0.5403,0.585,0.4854,0.4181,0.4517
20.6,-0.0734,0.8242,0.7567,0.9097,0.862,0.8858,0.6609,0.5771,0.619,0.4802,0.4235,0.4519
20.7,-0.0512,0.8344,0.7693,0.9105,0.8756,0.8931,0.6906,0.6125,0.6515,0.4729,0.4291,0.451
20.8,-0.0248,0.8392,0.7737,0.9041,0.8796,0.8919,0.7175,0.6448,0.6811,0.4627,0.4345,0.4486
20.9,0.0057,0.8387,0.7699,0.8906,0.8744,0.8825,0.7403,0.6725,0.7064,0.4494,0.4393,0.4443
21,0.0394,0.8343,0.7588,0.8713,0.8614,0.8664,0.7576,0.6942,0.7259,0.4327,0.443,0.4379
