Time,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC,L'Oreal Revitalift Laser 30s TVC
2,0.3656,0.9841,0.6527,1.0749,0.8267,0.9508,0.6631,0.8028,0.733,0.5819,0.5199,0.5509
2.1,0.3709,1.0092,0.6815,1.102,0.8556,0.9788,0.6634,0.7899,0.7267,0.6059,0.5265,0.5662
2.2,0.375,1.037,0.709,1.1287,0.8886,1.0087,0.6633,0.7784,0.7209,0.6339,0.5337,0.5838
2.3,0.3769,1.0661,0.7339,1.1528,0.9243,1.0386,0.6636,0.7687,0.7161,0.6659,0.5407,0.6033
2.4,0.3754,1.0953,0.7554,1.173,0.9618,1.0674,0.6651,0.761,0.713,0.7014,0.5476,0.6245
2.5,0.3697,1.1235,0.7733,1.1888,0.9999,1.0944,0.6676,0.7555,0.7115,0.7397,0.5556,0.6477
2.6,0.3604,1.1499,0.7879,1.2002,1.0367,1.1185,0.6709,0.752,0.7114,0.7796,0.5654,0.6725
2.7,0.3474,1.1736,0.7997,1.2065,1.0705,1.1385,0.6744,0.7499,0.7122,0.8192,0.5771,0.6982
2.8,0.33,1.1939,0.8091,1.2067,1.1001,1.1534,0.6778,0.749,0.7134,0.8569,0.5908,0.7238
2.9,0.3083,1.2104,0.8166,1.1997,1.126,1.1628,0.681,0.7496,0.7153,0.8909,0.6074,0.7491
3,0.2851,1.2224,0.8219,1.1846,1.1489,1.1668,0.6841,0.7525,0.7183,0.9198,0.6279,0.7738
3.1,0.2647,1.229,0.8247,1.161,1.169,1.165,0.6874,0.7585,0.723,0.9429,0.6523,0.7976
3.2,0.2509,1.2296,0.8243,1.1291,1.1852,1.1571,0.6921,0.768,0.7301,0.9606,0.6799,0.8203
3.3,0.2451,1.2248,0.8214,1.0907,1.1964,1.1436,0.6992,0.7817,0.7405,0.9743,0.7099,0.8421
3.4,0.2459,1.2161,0.8173,1.0496,1.2019,1.1257,0.7104,0.8001,0.7552,0.9855,0.742,0.8638
3.5,0.2517,1.2047,0.8143,1.0092,1.2007,1.105,0.7263,0.8228,0.7746,0.9955,0.7762,0.8858
3.6,0.2625,1.191,0.8138,0.972,1.1926,1.0823,0.7465,0.8484,0.7974,1.0049,0.8118,0.9083
3.7,0.2793,1.1753,0.8163,0.9401,1.1773,1.0587,0.7691,0.8737,0.8214,1.0133,0.847,0.9302
3.8,0.3027,1.158,0.8216,0.9148,1.1555,1.0351,0.7913,0.8953,0.8433,1.0201,0.8799,0.95
3.9,0.3312,1.1403,0.8287,0.8972,1.1289,1.0131,0.8101,0.9103,0.8602,1.0249,0.9084,0.9667
4,0.3617,1.1232,0.8369,0.8868,1.0996,0.9932,0.8239,0.9171,0.8705,1.0278,0.9315,0.9797
4.1,0.3915,1.1072,0.846,0.8817,1.0689,0.9753,0.8324,0.9163,0.8743,1.0294,0.9496,0.9895
4.2,0.4195,1.0924,0.8558,0.8795,1.0379,0.9587,0.8364,0.909,0.8727,1.03,0.9639,0.997
4.3,0.4456,1.0786,0.8658,0.8781,1.0075,0.9428,0.8362,0.896,0.8661,1.03,0.9751,1.0026
4.4,0.47,1.0659,0.8744,0.8763,0.9785,0.9274,0.8318,0.8771,0.8544,1.0292,0.9826,1.0059
4.5,0.4916,1.0547,0.8804,0.8735,0.9516,0.9126,0.8229,0.8525,0.8377,1.027,0.9861,1.0066
4.6,0.5092,1.0446,0.8839,0.8692,0.9272,0.8982,0.8102,0.8234,0.8168,1.0232,0.9862,1.0047
4.7,0.522,1.0346,0.8863,0.8629,0.9045,0.8837,0.795,0.7916,0.7933,1.0181,0.9841,1.0011
4.8,0.5304,1.0235,0.8889,0.8544,0.8825,0.8684,0.7782,0.759,0.7686,1.0118,0.9806,0.9962
4.9,0.5346,1.011,0.8922,0.8435,0.8609,0.8522,0.7605,0.7268,0.7437,1.0044,0.9762,0.9903
5,0.5347,0.9985,0.897,0.8309,0.8408,0.8359,0.7424,0.696,0.7192,0.9949,0.9703,0.9826
5.1,0.5314,0.9881,0.9038,0.8181,0.8239,0.821,0.724,0.6675,0.6958,0.9828,0.9629,0.9729
5.2,0.5256,0.9813,0.9127,0.8074,0.8107,0.809,0.7053,0.6417,0.6735,0.9674,0.9543,0.9609
5.3,0.5188,0.9787,0.9228,0.8005,0.8008,0.8006,0.6863,0.6187,0.6525,0.9488,0.9448,0.9468
5.4,0.5122,0.98,0.9328,0.7985,0.7935,0.796,0.6673,0.5981,0.6327,0.9268,0.9347,0.9307
5.5,0.5065,0.9857,0.9417,0.8016,0.7893,0.7955,0.6482,0.5797,0.614,0.9014,0.9238,0.9126
5.6,0.5016,0.9973,0.9492,0.8108,0.7905,0.8007,0.6291,0.5637,0.5964,0.8724,0.9123,0.8924
5.7,0.498,1.017,0.9556,0.8283,0.8015,0.8149,0.6102,0.5503,0.5802,0.8403,0.9005,0.8704
5.8,0.4957,1.0455,0.9614,0.8563,0.8264,0.8413,0.5915,0.5401,0.5658,0.8055,0.889,0.8473
5.9,0.492,1.0812,0.9663,0.8944,0.8663,0.8803,0.5735,0.5336,0.5535,0.769,0.8782,0.8236
6,0.4841,1.1215,0.9699,0.9394,0.9192,0.9293,0.5562,0.5308,0.5435,0.7313,0.868,0.7997
6.1,0.4705,1.1637,0.9717,0.9873,0.9816,0.9844,0.5402,0.5321,0.5362,0.694,0.8584,0.7762
6.2,0.4524,1.2056,0.9716,1.0354,1.0495,1.0425,0.527,0.5383,0.5327,0.659,0.8499,0.7545
6.3,0.4338,1.2456,0.9703,1.0832,1.1175,1.1003,0.5185,0.55,0.5343,0.6288,0.843,0.7359
6.4,0.4183,1.2816,0.9681,1.1295,1.1785,1.154,0.5161,0.5669,0.5415,0.6049,0.8376,0.7212
6.5,0.4065,1.312,0.9648,1.1713,1.2266,1.1989,0.5204,0.5876,0.554,0.588,0.833,0.7105
6.6,0.3965,1.336,0.9601,1.2052,1.2589,1.232,0.5305,0.6103,0.5704,0.5777,0.8282,0.703
6.7,0.3864,1.3538,0.9534,1.2294,1.2767,1.2531,0.5452,0.6332,0.5892,0.5734,0.8224,0.6979
6.8,0.376,1.3658,0.9442,1.2441,1.2827,1.2634,0.5632,0.655,0.6091,0.5745,0.8147,0.6946
6.9,0.3662,1.3723,0.9316,1.2493,1.2789,1.2641,0.5838,0.6743,0.6291,0.58,0.8041,0.6921
7,0.3588,1.3729,0.9147,1.2447,1.2661,1.2554,0.6054,0.6901,0.6478,0.5884,0.7895,0.6889
7.1,0.3539,1.3677,0.8925,1.2303,1.2451,1.2377,0.6265,0.7015,0.664,0.5974,0.7696,0.6835
7.2,0.3498,1.3571,0.8644,1.2061,1.2177,1.2119,0.646,0.709,0.6775,0.6058,0.744,0.6749
7.3,0.3439,1.3421,0.8309,1.1726,1.1858,1.1792,0.6638,0.7134,0.6886,0.6131,0.7134,0.6632
7.4,0.3339,1.3237,0.7931,1.1305,1.1509,1.1407,0.6805,0.7161,0.6983,0.6197,0.679,0.6493
7.5,0.3182,1.3019,0.7523,1.0803,1.1133,1.0968,0.6964,0.7178,0.7071,0.6252,0.6423,0.6337
7.6,0.2961,1.2766,0.7099,1.0227,1.0734,1.0481,0.7111,0.7187,0.7149,0.6288,0.6039,0.6163
7.7,0.2671,1.2473,0.6668,0.9584,1.0317,0.9951,0.7236,0.7187,0.7212,0.6291,0.5641,0.5966
7.8,0.2307,1.2135,0.6242,0.889,0.9893,0.9392,0.7332,0.718,0.7256,0.6259,0.5239,0.5749
7.9,0.1872,1.1751,0.5833,0.8169,0.9473,0.8821,0.7398,0.7171,0.7284,0.6201,0.4848,0.5524
8,0.1377,1.1321,0.5456,0.7447,0.9062,0.8254,0.744,0.7169,0.7305,0.6125,0.4481,0.5303
8.1,0.0842,1.0854,0.5122,0.6755,0.8672,0.7713,0.747,0.7179,0.7325,0.6035,0.4145,0.509
8.2,0.029,1.0367,0.484,0.6129,0.8323,0.7226,0.7495,0.7203,0.7349,0.5927,0.3842,0.4885
8.3,-0.0253,0.9887,0.4612,0.5594,0.8038,0.6816,0.752,0.724,0.738,0.5799,0.3572,0.4685
8.4,-0.0767,0.9442,0.4433,0.5163,0.7829,0.6496,0.7546,0.7286,0.7416,0.5654,0.334,0.4497
8.5,-0.1236,0.9049,0.4295,0.4833,0.7695,0.6264,0.757,0.7337,0.7454,0.5504,0.3154,0.4329
8.6,-0.165,0.8715,0.4186,0.4591,0.7623,0.6107,0.7592,0.7388,0.749,0.5361,0.3023,0.4192
8.7,-0.2,0.8438,0.4097,0.4419,0.7597,0.6008,0.761,0.7434,0.7522,0.5232,0.2951,0.4092
8.8,-0.228,0.8216,0.4023,0.4306,0.7608,0.5957,0.7624,0.7475,0.7549,0.5123,0.2937,0.403
8.9,-0.2491,0.8048,0.3964,0.4246,0.765,0.5948,0.7629,0.7512,0.7571,0.5033,0.2977,0.4005
9,-0.2637,0.7931,0.3918,0.4234,0.7719,0.5976,0.7622,0.7548,0.7585,0.4965,0.3069,0.4017
9.1,-0.2725,0.786,0.388,0.4265,0.781,0.6038,0.7601,0.7581,0.7591,0.4921,0.3209,0.4065
9.2,-0.2763,0.7827,0.3844,0.4337,0.7914,0.6126,0.7564,0.7612,0.7588,0.4902,0.3393,0.4147
9.3,-0.2763,0.7829,0.3801,0.4444,0.8023,0.6233,0.7512,0.7633,0.7573,0.4905,0.3613,0.4259
9.4,-0.2733,0.786,0.3748,0.4579,0.8131,0.6355,0.7447,0.7638,0.7543,0.4929,0.3857,0.4393
9.5,-0.2673,0.7916,0.3684,0.4741,0.8237,0.6489,0.7368,0.7618,0.7493,0.4971,0.4114,0.4543
9.6,-0.2579,0.7993,0.3611,0.4931,0.8343,0.6637,0.7272,0.7567,0.742,0.5028,0.4373,0.47
9.7,-0.2453,0.8084,0.3532,0.5156,0.8448,0.6802,0.7157,0.7482,0.732,0.5091,0.4623,0.4857
9.8,-0.2305,0.8184,0.3447,0.5417,0.8556,0.6986,0.7019,0.7363,0.7191,0.5156,0.4855,0.5006
9.9,-0.215,0.8284,0.336,0.5705,0.8667,0.7186,0.6855,0.7211,0.7033,0.5221,0.5066,0.5144
10,-0.1998,0.8375,0.3275,0.601,0.8781,0.7396,0.6666,0.7036,0.6851,0.5291,0.5259,0.5275
10.1,-0.186,0.845,0.32,0.6323,0.8893,0.7608,0.6463,0.6854,0.6658,0.5375,0.544,0.5407
10.2,-0.1737,0.8507,0.3146,0.6634,0.8995,0.7815,0.6254,0.6674,0.6464,0.5473,0.561,0.5542
10.3,-0.1631,0.8545,0.3117,0.6935,0.9084,0.801,0.6049,0.6505,0.6277,0.5578,0.5765,0.5672
10.4,-0.1552,0.8568,0.3121,0.721,0.9159,0.8184,0.5849,0.6348,0.6099,0.5681,0.5902,0.5791
10.5,-0.1519,0.8574,0.3165,0.7442,0.9221,0.8332,0.5663,0.621,0.5936,0.5779,0.6021,0.59
10.6,-0.1557,0.8567,0.3261,0.7617,0.9278,0.8448,0.55,0.6101,0.5801,0.5881,0.6132,0.6006
10.7,-0.1677,0.8545,0.3415,0.7725,0.9335,0.853,0.5375,0.6035,0.5705,0.5995,0.624,0.6118
10.8,-0.1865,0.8509,0.3625,0.7762,0.9391,0.8576,0.5296,0.6009,0.5652,0.6125,0.6344,0.6234
10.9,-0.2085,0.8455,0.3876,0.7727,0.9438,0.8583,0.5259,0.6009,0.5634,0.6261,0.6437,0.6349
11,-0.2296,0.8381,0.4148,0.7632,0.947,0.8551,0.5252,0.6018,0.5635,0.639,0.6512,0.6451
11.1,-0.2475,0.8287,0.4422,0.7491,0.9479,0.8485,0.5266,0.6023,0.5645,0.6499,0.6562,0.6531
11.2,-0.2612,0.8177,0.4683,0.7328,0.9465,0.8396,0.5295,0.6018,0.5657,0.6584,0.6583,0.6584
11.3,-0.27,0.806,0.4922,0.7158,0.9429,0.8293,0.5338,0.6003,0.5671,0.6642,0.6574,0.6608
11.4,-0.273,0.7942,0.513,0.6994,0.9368,0.8181,0.5397,0.5975,0.5686,0.6668,0.6536,0.6602
11.5,-0.269,0.7826,0.5305,0.6848,0.9283,0.8065,0.547,0.593,0.57,0.666,0.647,0.6565
11.6,-0.2576,0.7715,0.5443,0.6729,0.9171,0.795,0.5555,0.5869,0.5712,0.6622,0.6382,0.6502
11.7,-0.2398,0.7609,0.5544,0.6641,0.9031,0.7836,0.5647,0.5792,0.5719,0.6562,0.6276,0.6419
11.8,-0.2169,0.7504,0.5605,0.658,0.8862,0.7721,0.5737,0.5697,0.5717,0.6492,0.6158,0.6325
11.9,-0.1898,0.7396,0.5619,0.6537,0.8659,0.7598,0.5821,0.5583,0.5702,0.6418,0.6028,0.6223
12,-0.1594,0.728,0.5584,0.6506,0.8418,0.7462,0.5895,0.5452,0.5674,0.6343,0.5889,0.6116
12.1,-0.1271,0.7154,0.5499,0.6486,0.8137,0.7312,0.5962,0.5312,0.5637,0.6267,0.5741,0.6004
12.2,-0.095,0.7019,0.5369,0.6477,0.7824,0.7151,0.6022,0.5169,0.5596,0.6193,0.5587,0.589
12.3,-0.0649,0.6879,0.5203,0.6475,0.7489,0.6982,0.6075,0.503,0.5552,0.6125,0.5428,0.5777
12.4,-0.0379,0.6737,0.5008,0.6471,0.7145,0.6808,0.6116,0.4896,0.5506,0.6067,0.5271,0.5669
12.5,-0.0146,0.6596,0.4786,0.6459,0.6801,0.663,0.6145,0.477,0.5457,0.602,0.5121,0.5571
12.6,0.0046,0.646,0.4539,0.6438,0.6465,0.6451,0.616,0.4658,0.5409,0.5987,0.4982,0.5485
12.7,0.019,0.6335,0.4273,0.6409,0.6146,0.6277,0.6164,0.4567,0.5365,0.5971,0.4856,0.5414
12.8,0.0285,0.6226,0.3997,0.6375,0.5857,0.6116,0.6156,0.45,0.5328,0.5973,0.4746,0.536
12.9,0.0338,0.6138,0.3724,0.6339,0.5612,0.5976,0.6138,0.4462,0.53,0.5997,0.4659,0.5328
13,0.0361,0.608,0.3468,0.6313,0.5418,0.5866,0.6112,0.4459,0.5286,0.6045,0.4602,0.5323
13.1,0.0358,0.6058,0.3243,0.6305,0.5275,0.579,0.6085,0.4502,0.5294,0.6117,0.4582,0.5349
13.2,0.0328,0.6075,0.3052,0.6322,0.5178,0.575,0.6062,0.4595,0.5329,0.6209,0.46,0.5404
13.3,0.0275,0.6131,0.2896,0.6364,0.5118,0.5741,0.6048,0.4736,0.5392,0.6313,0.4652,0.5483
13.4,0.02,0.6223,0.2772,0.6428,0.5095,0.5762,0.6043,0.4918,0.548,0.642,0.4731,0.5576
13.5,0.0108,0.6355,0.268,0.6518,0.5112,0.5815,0.6046,0.5131,0.5589,0.652,0.483,0.5675
13.6,0.0004,0.653,0.2622,0.6637,0.5176,0.5907,0.6059,0.5368,0.5713,0.6601,0.4938,0.5769
13.7,-0.0103,0.675,0.2596,0.6787,0.5294,0.6041,0.6078,0.5618,0.5848,0.6652,0.5045,0.5849
13.8,-0.021,0.701,0.2602,0.6961,0.5465,0.6213,0.6102,0.5873,0.5987,0.6668,0.5148,0.5908
13.9,-0.0315,0.7298,0.2634,0.7149,0.5685,0.6417,0.613,0.6128,0.6129,0.6645,0.5243,0.5944
14,-0.0419,0.7601,0.2688,0.7342,0.5951,0.6646,0.6161,0.638,0.627,0.6585,0.5329,0.5957
14.1,-0.0521,0.7914,0.2757,0.7539,0.6258,0.6898,0.6193,0.6624,0.6408,0.6492,0.5401,0.5946
14.2,-0.0627,0.8231,0.2831,0.7736,0.6602,0.7169,0.6226,0.6849,0.6538,0.6365,0.5453,0.5909
14.3,-0.0742,0.8544,0.2899,0.793,0.6972,0.7451,0.6255,0.705,0.6652,0.6209,0.5482,0.5846
14.4,-0.0871,0.8841,0.2954,0.8115,0.7358,0.7736,0.6276,0.7225,0.6751,0.6031,0.5492,0.5761
14.5,-0.1018,0.9112,0.2992,0.8285,0.7748,0.8016,0.6293,0.7378,0.6835,0.5841,0.5486,0.5664
14.6,-0.1181,0.9352,0.3017,0.8433,0.8132,0.8283,0.6307,0.7509,0.6908,0.5652,0.5471,0.5562
14.7,-0.135,0.9554,0.3035,0.8556,0.8498,0.8527,0.6321,0.7614,0.6968,0.5475,0.5452,0.5463
14.8,-0.1522,0.9716,0.305,0.8648,0.8834,0.8741,0.6335,0.7684,0.7009,0.5315,0.5432,0.5374
14.9,-0.1699,0.9829,0.3063,0.8705,0.9129,0.8917,0.6344,0.7711,0.7028,0.5179,0.5415,0.5297
15,-0.1884,0.9884,0.3072,0.8717,0.9374,0.9046,0.6342,0.7692,0.7017,0.507,0.5399,0.5234
15.1,-0.2072,0.9873,0.3071,0.8676,0.9559,0.9118,0.6324,0.7624,0.6974,0.4992,0.5383,0.5187
15.2,-0.2248,0.9793,0.306,0.8577,0.9673,0.9125,0.6281,0.7505,0.6893,0.4943,0.5366,0.5155
15.3,-0.239,0.9645,0.304,0.8418,0.9704,0.9061,0.6214,0.7332,0.6773,0.4916,0.535,0.5133
15.4,-0.2479,0.9434,0.302,0.8206,0.9647,0.8927,0.6124,0.7108,0.6616,0.4904,0.5338,0.5121
15.5,-0.2504,0.9166,0.301,0.7949,0.9503,0.8726,0.6015,0.684,0.6427,0.4905,0.5334,0.5119
15.6,-0.2459,0.8849,0.3016,0.7655,0.9279,0.8467,0.5893,0.654,0.6216,0.4918,0.5341,0.5129
15.7,-0.2349,0.8496,0.3044,0.7333,0.8986,0.816,0.5759,0.6226,0.5993,0.4941,0.5359,0.515
15.8,-0.2196,0.8122,0.3088,0.6993,0.8643,0.7818,0.5618,0.592,0.5769,0.4969,0.5381,0.5175
15.9,-0.2029,0.7746,0.314,0.6647,0.8275,0.7461,0.5478,0.5643,0.5561,0.4999,0.5405,0.5202
16,-0.1877,0.7386,0.3199,0.6304,0.7908,0.7106,0.5349,0.5415,0.5382,0.5033,0.5429,0.5231
16.1,-0.1748,0.7053,0.326,0.5971,0.7564,0.6768,0.5242,0.5246,0.5244,0.5072,0.5454,0.5263
16.2,-0.1633,0.676,0.3324,0.5654,0.7258,0.6456,0.5161,0.5137,0.5149,0.5111,0.5483,0.5297
16.3,-0.152,0.6514,0.3388,0.5366,0.6995,0.6181,0.5108,0.5083,0.5096,0.5146,0.5518,0.5332
16.4,-0.1409,0.6323,0.3449,0.5125,0.678,0.5952,0.5082,0.5081,0.5082,0.517,0.5553,0.5361
16.5,-0.1306,0.6193,0.3503,0.4944,0.662,0.5782,0.5082,0.5125,0.5103,0.5181,0.5578,0.538
16.6,-0.1207,0.6122,0.3546,0.4835,0.6517,0.5676,0.5106,0.5209,0.5157,0.518,0.5585,0.5382
16.7,-0.1095,0.6104,0.3578,0.4798,0.6471,0.5635,0.5154,0.5321,0.5238,0.5167,0.557,0.5368
16.8,-0.0953,0.6132,0.3599,0.4829,0.6475,0.5652,0.5225,0.5453,0.5339,0.5143,0.5533,0.5338
16.9,-0.0771,0.6202,0.3613,0.4919,0.6519,0.5719,0.5316,0.5596,0.5456,0.5108,0.5475,0.5291
17,-0.055,0.6311,0.3622,0.506,0.6598,0.5829,0.5426,0.5747,0.5586,0.5063,0.5393,0.5228
17.1,-0.0302,0.6461,0.3624,0.5246,0.6711,0.5979,0.5558,0.5902,0.573,0.5012,0.5286,0.5149
17.2,-0.0038,0.6651,0.3616,0.5467,0.6857,0.6162,0.5714,0.6059,0.5887,0.4961,0.5156,0.5059
17.3,0.0233,0.6877,0.3589,0.5714,0.7027,0.6371,0.5898,0.6213,0.6056,0.4914,0.5008,0.4961
17.4,0.0499,0.7135,0.3542,0.5977,0.721,0.6594,0.6109,0.6361,0.6235,0.4876,0.4844,0.486
17.5,0.0749,0.7412,0.3474,0.6244,0.7392,0.6818,0.6344,0.6499,0.6421,0.4844,0.4666,0.4755
17.6,0.0967,0.7692,0.339,0.6502,0.756,0.7031,0.6596,0.6624,0.661,0.4819,0.4477,0.4648
17.7,0.1141,0.7955,0.3296,0.6737,0.7709,0.7223,0.6858,0.6732,0.6795,0.4801,0.4283,0.4542
17.8,0.1272,0.8178,0.3195,0.6938,0.7825,0.7381,0.7122,0.6818,0.697,0.4791,0.4092,0.4441
17.9,0.1368,0.834,0.3089,0.7098,0.7898,0.7498,0.7379,0.6873,0.7126,0.4792,0.3913,0.4352
18,0.1436,0.8433,0.2979,0.7214,0.7922,0.7568,0.7618,0.6894,0.7256,0.4804,0.3754,0.4279
18.1,0.1473,0.8458,0.2868,0.7288,0.7902,0.7595,0.7826,0.6878,0.7352,0.4826,0.3619,0.4223
18.2,0.1477,0.8424,0.2761,0.7324,0.7854,0.7589,0.7996,0.6831,0.7413,0.4857,0.3514,0.4185
18.3,0.1458,0.834,0.2664,0.7326,0.7787,0.7557,0.8125,0.6758,0.7441,0.4896,0.3443,0.417
18.4,0.1436,0.8213,0.2581,0.73,0.7702,0.7501,0.8211,0.6664,0.7438,0.4945,0.3411,0.4178
18.5,0.1433,0.805,0.2515,0.7255,0.7596,0.7426,0.8256,0.6553,0.7405,0.5007,0.342,0.4214
18.6,0.1459,0.7865,0.2464,0.7197,0.7469,0.7333,0.8263,0.6425,0.7344,0.5083,0.3468,0.4276
18.7,0.1513,0.7671,0.2425,0.7137,0.733,0.7233,0.8236,0.6282,0.7259,0.5174,0.3551,0.4362
18.8,0.1582,0.748,0.2396,0.708,0.7186,0.7133,0.8182,0.6131,0.7157,0.5279,0.3661,0.447
18.9,0.1654,0.7303,0.2376,0.7033,0.7045,0.7039,0.811,0.5976,0.7043,0.5393,0.379,0.4592
19,0.1716,0.7145,0.2365,0.6999,0.6912,0.6955,0.8025,0.5824,0.6925,0.5513,0.3933,0.4723
19.1,0.1759,0.7014,0.2364,0.698,0.6794,0.6887,0.7934,0.5679,0.6806,0.5634,0.4084,0.4859
19.2,0.1777,0.6912,0.2373,0.6976,0.6698,0.6837,0.7838,0.5545,0.6691,0.5753,0.4241,0.4997
19.3,0.1775,0.6839,0.2394,0.6985,0.6629,0.6807,0.7735,0.5426,0.658,0.5867,0.4401,0.5134
19.4,0.1766,0.6785,0.2425,0.7,0.6582,0.6791,0.7626,0.5323,0.6474,0.5973,0.4564,0.5268
19.5,0.1769,0.6739,0.2467,0.7017,0.6548,0.6782,0.7512,0.5237,0.6374,0.6068,0.4727,0.5397
19.6,0.1794,0.6694,0.2524,0.7038,0.6515,0.6777,0.7395,0.5167,0.6281,0.6148,0.4887,0.5518
19.7,0.1841,0.6649,0.2596,0.7064,0.6482,0.6773,0.7276,0.5117,0.6196,0.6213,0.5041,0.5627
19.8,0.1912,0.6603,0.2685,0.7099,0.6449,0.6774,0.7157,0.5088,0.6123,0.6262,0.5187,0.5725
19.9,0.2016,0.6555,0.2788,0.7139,0.6413,0.6776,0.7042,0.5082,0.6062,0.6298,0.5323,0.581
20,0.2168,0.6506,0.2905,0.7181,0.6373,0.6777,0.6932,0.5101,0.6017,0.632,0.5448,0.5884
20.1,0.2376,0.6459,0.3032,0.722,0.6327,0.6773,0.6832,0.5143,0.5988,0.6329,0.5562,0.5945
20.2,0.2627,0.6419,0.3169,0.7255,0.6277,0.6766,0.6745,0.5207,0.5976,0.6329,0.5662,0.5995
20.3,0.2902,0.6394,0.3313,0.7287,0.6229,0.6758,0.6676,0.5292,0.5984,0.6325,0.5747,0.6036
20.4,0.3185,0.6387,0.346,0.732,0.6188,0.6754,0.6627,0.5397,0.6012,0.6324,0.5814,0.6069
20.5,0.3472,0.6398,0.3601,0.7356,0.6154,0.6755,0.6596,0.552,0.6058,0.6329,0.5865,0.6097
20.6,0.3769,0.6423,0.3734,0.7397,0.6122,0.676,0.6583,0.5659,0.6121,0.634,0.5902,0.6121
20.7,0.4076,0.6459,0.3864,0.7439,0.6092,0.6766,0.6584,0.5814,0.6199,0.6359,0.5934,0.6146
20.8,0.438,0.65,0.4001,0.7478,0.6065,0.6771,0.6596,0.5987,0.6292,0.6387,0.5964,0.6176
20.9,0.4666,0.6542,0.4152,0.751,0.6045,0.6777,0.6614,0.6176,0.6395,0.6428,0.5996,0.6212
21,0.4922,0.6582,0.4314,0.7539,0.6036,0.6788,0.6633,0.6373,0.6503,0.6483,0.6029,0.6256
21.1,0.5138,0.6623,0.4477,0.757,0.604,0.6805,0.6648,0.6565,0.6607,0.6549,0.6063,0.6306
