Time,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC,Pantene - Oil Replacement 30 TVC
2.1,-0.2773,0.5367,0.7067,0.6766,0.6527,0.6647,0.707,0.6588,0.6829,0.9338,0.7143,0.824
2.2,-0.2511,0.5353,0.6896,0.6678,0.6366,0.6522,0.6864,0.6444,0.6654,0.9177,0.7097,0.8137
2.3,-0.2232,0.5343,0.671,0.6577,0.6195,0.6386,0.6666,0.6288,0.6477,0.9023,0.7051,0.8037
2.4,-0.1949,0.5339,0.6515,0.6463,0.6023,0.6243,0.6481,0.6122,0.6302,0.8877,0.7008,0.7943
2.5,-0.1667,0.5344,0.6319,0.6344,0.5859,0.6102,0.6313,0.5949,0.6131,0.8745,0.6973,0.7859
2.6,-0.1385,0.5362,0.613,0.6228,0.5714,0.5971,0.6162,0.5778,0.597,0.8625,0.6944,0.7785
2.7,-0.1095,0.5389,0.5955,0.6121,0.5591,0.5856,0.6028,0.561,0.5819,0.8509,0.6918,0.7714
2.8,-0.0795,0.5418,0.5792,0.6022,0.5487,0.5755,0.5908,0.5445,0.5676,0.839,0.6891,0.764
2.9,-0.0484,0.5447,0.5633,0.5931,0.5397,0.5664,0.5801,0.5279,0.554,0.8262,0.686,0.7561
3,-0.0166,0.5475,0.5476,0.585,0.5318,0.5584,0.5706,0.511,0.5408,0.8126,0.6826,0.7476
3.1,0.0157,0.5505,0.5322,0.5788,0.5247,0.5517,0.5622,0.4942,0.5282,0.798,0.6791,0.7385
3.2,0.0483,0.554,0.5177,0.5749,0.5187,0.5468,0.5548,0.4779,0.5164,0.7824,0.6755,0.729
3.3,0.0808,0.5578,0.5046,0.5737,0.514,0.5438,0.5484,0.4626,0.5055,0.7656,0.6717,0.7187
3.4,0.1123,0.5618,0.4928,0.5748,0.5109,0.5428,0.5427,0.4487,0.4957,0.7474,0.6673,0.7074
3.5,0.1417,0.5657,0.4816,0.578,0.5094,0.5437,0.5373,0.436,0.4867,0.7279,0.6621,0.695
3.6,0.1684,0.5693,0.4709,0.5831,0.5093,0.5462,0.532,0.4243,0.4781,0.7073,0.6562,0.6817
3.7,0.1921,0.5721,0.4609,0.5897,0.51,0.5499,0.5264,0.413,0.4697,0.6857,0.65,0.6678
3.8,0.2127,0.5741,0.4523,0.597,0.5114,0.5542,0.5205,0.402,0.4613,0.6637,0.6441,0.6539
3.9,0.2297,0.5757,0.4454,0.6047,0.5139,0.5593,0.5148,0.3918,0.4533,0.6426,0.6393,0.641
4,0.243,0.5769,0.4406,0.6125,0.5178,0.5652,0.5096,0.3827,0.4462,0.6236,0.6364,0.63
4.1,0.2531,0.5778,0.438,0.6204,0.5228,0.5716,0.5052,0.3749,0.4401,0.6076,0.6362,0.6219
4.2,0.2612,0.5781,0.4372,0.6284,0.5285,0.5785,0.5012,0.3683,0.4348,0.5954,0.6395,0.6174
4.3,0.2681,0.5777,0.4375,0.6365,0.5347,0.5856,0.4971,0.3624,0.4298,0.5873,0.6461,0.6167
4.4,0.2739,0.5766,0.439,0.6442,0.5418,0.593,0.4932,0.357,0.4251,0.5836,0.6559,0.6197
4.5,0.2783,0.5751,0.4422,0.6511,0.5504,0.6008,0.4902,0.3524,0.4213,0.5845,0.6687,0.6266
4.6,0.2813,0.5732,0.4479,0.657,0.5608,0.6089,0.4887,0.3494,0.419,0.5906,0.6855,0.638
4.7,0.2834,0.5708,0.4564,0.6621,0.5727,0.6174,0.4892,0.3489,0.4191,0.6017,0.7066,0.6542
4.8,0.2851,0.5681,0.4674,0.6669,0.5857,0.6263,0.4918,0.3513,0.4216,0.6175,0.7312,0.6744
4.9,0.2864,0.5655,0.4799,0.6716,0.5995,0.6356,0.496,0.3564,0.4262,0.6367,0.7574,0.6971
5,0.2872,0.5629,0.493,0.6763,0.6136,0.645,0.5012,0.3638,0.4325,0.6581,0.783,0.7206
5.1,0.2867,0.5604,0.5062,0.6805,0.6274,0.654,0.5073,0.3731,0.4402,0.6805,0.8065,0.7435
5.2,0.2842,0.558,0.5192,0.6837,0.64,0.6619,0.5138,0.3839,0.4489,0.7031,0.8271,0.7651
5.3,0.2795,0.5559,0.5317,0.6859,0.6504,0.6682,0.5204,0.3961,0.4583,0.7249,0.844,0.7844
5.4,0.2729,0.5542,0.5435,0.6876,0.6581,0.6729,0.5267,0.4094,0.468,0.7447,0.8563,0.8005
5.5,0.2658,0.5529,0.5542,0.6892,0.6636,0.6764,0.5319,0.4235,0.4777,0.7613,0.8635,0.8124
5.6,0.2593,0.5521,0.5638,0.691,0.6673,0.6791,0.5353,0.4381,0.4867,0.7741,0.865,0.8196
5.7,0.2547,0.5522,0.5725,0.693,0.6696,0.6813,0.5367,0.4527,0.4947,0.7829,0.861,0.8219
5.8,0.2522,0.5536,0.5807,0.6953,0.6704,0.6829,0.5357,0.467,0.5014,0.7873,0.8514,0.8193
5.9,0.2517,0.5559,0.5881,0.6973,0.6692,0.6832,0.5322,0.4804,0.5063,0.7868,0.836,0.8114
6,0.2528,0.5578,0.594,0.6977,0.6645,0.6811,0.5257,0.4924,0.5091,0.7805,0.8144,0.7974
6.1,0.2549,0.5583,0.5971,0.6954,0.6557,0.6756,0.5162,0.5026,0.5094,0.7678,0.7865,0.7771
6.2,0.2575,0.5572,0.5962,0.6903,0.6432,0.6667,0.5038,0.5106,0.5072,0.7492,0.7527,0.751
6.3,0.2601,0.5555,0.5909,0.6831,0.6288,0.6559,0.4891,0.5164,0.5027,0.7259,0.7146,0.7202
6.4,0.2627,0.5542,0.5818,0.6753,0.6142,0.6448,0.4728,0.5202,0.4965,0.6987,0.6735,0.6861
6.5,0.2656,0.5541,0.5701,0.6678,0.6009,0.6344,0.4554,0.5223,0.4889,0.6683,0.6305,0.6494
6.6,0.2684,0.5554,0.557,0.661,0.5897,0.6253,0.4371,0.523,0.4801,0.6346,0.5865,0.6105
6.7,0.2703,0.5581,0.5431,0.6545,0.5807,0.6176,0.4179,0.5221,0.47,0.5978,0.5419,0.5698
6.8,0.27,0.5615,0.5295,0.6483,0.5739,0.6111,0.3978,0.5195,0.4587,0.5583,0.4979,0.5281
6.9,0.2669,0.5651,0.5171,0.6423,0.569,0.6057,0.3772,0.5154,0.4463,0.5172,0.4559,0.4865
7,0.2615,0.5685,0.5071,0.6371,0.5659,0.6015,0.3564,0.5104,0.4334,0.4756,0.4173,0.4465
7.1,0.2541,0.5714,0.4999,0.6327,0.5641,0.5984,0.3363,0.5051,0.4207,0.4347,0.3835,0.4091
7.2,0.2448,0.5737,0.4957,0.6292,0.5635,0.5964,0.3176,0.4999,0.4087,0.3954,0.355,0.3752
7.3,0.2333,0.5751,0.4943,0.6268,0.5636,0.5952,0.3009,0.4948,0.3979,0.3586,0.3323,0.3454
7.4,0.2195,0.5752,0.496,0.6257,0.5636,0.5947,0.2866,0.4896,0.3881,0.3241,0.3158,0.32
7.5,0.2033,0.5738,0.5007,0.6258,0.5633,0.5946,0.275,0.484,0.3795,0.2918,0.3055,0.2987
7.6,0.1839,0.5715,0.5086,0.6271,0.563,0.5951,0.2665,0.4781,0.3723,0.2615,0.3011,0.2813
7.7,0.1604,0.5689,0.5196,0.6295,0.5637,0.5966,0.2612,0.4727,0.3669,0.2332,0.3017,0.2674
7.8,0.1331,0.5666,0.5338,0.633,0.566,0.5995,0.2593,0.4685,0.3639,0.2071,0.3064,0.2567
7.9,0.1037,0.5647,0.5509,0.6381,0.5701,0.6041,0.2609,0.4662,0.3635,0.1833,0.3147,0.249
8,0.0744,0.5632,0.571,0.6449,0.5756,0.6102,0.2659,0.466,0.3659,0.1618,0.326,0.2439
8.1,0.0472,0.562,0.594,0.6537,0.5823,0.618,0.2738,0.4679,0.3709,0.1424,0.3391,0.2408
8.2,0.0228,0.5614,0.6193,0.664,0.5904,0.6272,0.2844,0.472,0.3782,0.1258,0.3527,0.2392
8.3,0.0007,0.5615,0.6463,0.6748,0.6003,0.6375,0.297,0.4784,0.3877,0.1128,0.3655,0.2391
8.4,-0.02,0.5619,0.6739,0.6845,0.6119,0.6482,0.3107,0.4868,0.3988,0.1042,0.3777,0.2409
8.5,-0.0397,0.5622,0.7011,0.6921,0.6247,0.6584,0.3245,0.497,0.4108,0.1004,0.39,0.2452
8.6,-0.0578,0.5622,0.7266,0.6975,0.6378,0.6677,0.3375,0.5086,0.423,0.1022,0.403,0.2526
8.7,-0.0737,0.5617,0.7488,0.7008,0.6502,0.6755,0.3487,0.5211,0.4349,0.1102,0.416,0.2631
8.8,-0.0874,0.5607,0.7662,0.7023,0.6611,0.6817,0.3576,0.534,0.4458,0.1245,0.4277,0.2761
8.9,-0.0997,0.5589,0.7778,0.702,0.6699,0.686,0.3643,0.5468,0.4556,0.1452,0.4374,0.2913
9,-0.1119,0.5568,0.7835,0.6999,0.6764,0.6882,0.3691,0.5586,0.4638,0.1717,0.4451,0.3084
9.1,-0.1247,0.5552,0.7841,0.6961,0.6811,0.6886,0.3725,0.5694,0.471,0.203,0.451,0.327
9.2,-0.1381,0.5546,0.7804,0.6912,0.6839,0.6876,0.3753,0.5795,0.4774,0.2376,0.4558,0.3467
9.3,-0.1513,0.555,0.7725,0.6856,0.6851,0.6854,0.3781,0.5888,0.4834,0.2743,0.4596,0.367
9.4,-0.1637,0.5557,0.7607,0.6796,0.6845,0.682,0.3808,0.5971,0.4889,0.3121,0.4629,0.3875
9.5,-0.1751,0.5565,0.7452,0.6738,0.6821,0.678,0.3832,0.6038,0.4935,0.3495,0.4665,0.408
9.6,-0.1852,0.5576,0.7264,0.6691,0.6781,0.6736,0.3855,0.6085,0.497,0.3853,0.471,0.4282
9.7,-0.194,0.5594,0.7052,0.6657,0.6731,0.6694,0.3876,0.6109,0.4993,0.4184,0.477,0.4477
9.8,-0.2017,0.5612,0.6824,0.6631,0.6671,0.6651,0.3896,0.6113,0.5005,0.4482,0.4841,0.4662
9.9,-0.2086,0.5626,0.6592,0.6605,0.6604,0.6605,0.3913,0.6099,0.5006,0.4745,0.4922,0.4834
10,-0.2147,0.5628,0.6361,0.6574,0.6531,0.6552,0.3926,0.6068,0.4997,0.4979,0.5011,0.4995
10.1,-0.2199,0.5618,0.6142,0.6535,0.6452,0.6493,0.3936,0.6022,0.4979,0.5186,0.5114,0.515
10.2,-0.2238,0.5599,0.5942,0.6491,0.637,0.643,0.3942,0.5962,0.4952,0.5371,0.5239,0.5305
10.3,-0.2266,0.5574,0.5766,0.6445,0.629,0.6368,0.3945,0.5889,0.4917,0.5536,0.5386,0.5461
10.4,-0.2288,0.5548,0.5612,0.6402,0.6216,0.6309,0.3946,0.5801,0.4874,0.5683,0.5552,0.5617
10.5,-0.2309,0.5522,0.548,0.6363,0.6154,0.6259,0.3947,0.5697,0.4822,0.5814,0.5732,0.5773
10.6,-0.2331,0.5498,0.5377,0.6328,0.6112,0.622,0.395,0.5583,0.4766,0.5934,0.5921,0.5927
10.7,-0.2348,0.5475,0.5308,0.6299,0.609,0.6195,0.3956,0.5466,0.4711,0.6044,0.6114,0.6079
10.8,-0.2351,0.545,0.5273,0.6272,0.6091,0.6182,0.3963,0.5355,0.4659,0.6141,0.6305,0.6223
10.9,-0.2339,0.542,0.5265,0.624,0.6116,0.6178,0.3969,0.5255,0.4612,0.6226,0.6485,0.6355
11,-0.2313,0.5384,0.5268,0.6196,0.6168,0.6182,0.3971,0.5163,0.4567,0.6298,0.6642,0.647
11.1,-0.2277,0.5341,0.5269,0.6137,0.6249,0.6193,0.397,0.5072,0.4521,0.636,0.6771,0.6565
11.2,-0.2229,0.5291,0.5259,0.6062,0.6352,0.6207,0.3962,0.4979,0.4471,0.6414,0.6868,0.6641
11.3,-0.2169,0.523,0.5234,0.5967,0.6462,0.6215,0.3949,0.4881,0.4415,0.6464,0.6937,0.67
11.4,-0.2106,0.5153,0.5194,0.5851,0.6561,0.6206,0.393,0.478,0.4355,0.6509,0.6978,0.6743
11.5,-0.2056,0.5056,0.5137,0.5714,0.6636,0.6175,0.3906,0.468,0.4293,0.6547,0.699,0.6768
11.6,-0.2031,0.494,0.5053,0.5561,0.6679,0.612,0.3879,0.4584,0.4232,0.6577,0.6972,0.6775
11.7,-0.2034,0.4805,0.4936,0.5393,0.6682,0.6038,0.3849,0.4491,0.417,0.6599,0.6926,0.6763
11.8,-0.2058,0.4656,0.4783,0.5216,0.6639,0.5927,0.3814,0.4402,0.4108,0.661,0.6856,0.6733
11.9,-0.209,0.4505,0.4601,0.5035,0.6548,0.5792,0.3776,0.4319,0.4047,0.6611,0.6766,0.6689
12,-0.2123,0.4362,0.4399,0.4864,0.6416,0.564,0.3742,0.4249,0.3996,0.6607,0.6658,0.6633
12.1,-0.2152,0.424,0.4193,0.4715,0.6256,0.5486,0.3725,0.4198,0.3961,0.6605,0.6539,0.6572
12.2,-0.2175,0.4146,0.3994,0.4597,0.6081,0.5339,0.3731,0.4168,0.395,0.6612,0.6418,0.6515
12.3,-0.2194,0.4083,0.3812,0.4509,0.5898,0.5203,0.3764,0.4158,0.3961,0.6632,0.6306,0.6469
12.4,-0.221,0.4048,0.3652,0.4443,0.571,0.5076,0.3821,0.4165,0.3993,0.6666,0.6216,0.6441
12.5,-0.2221,0.4038,0.352,0.4392,0.5519,0.4956,0.3896,0.419,0.4043,0.6711,0.615,0.643
12.6,-0.2222,0.4049,0.3419,0.4355,0.533,0.4843,0.3985,0.4237,0.4111,0.6771,0.611,0.644
12.7,-0.2214,0.4075,0.3354,0.4328,0.5151,0.474,0.4086,0.4308,0.4197,0.6843,0.6097,0.647
12.8,-0.2202,0.4114,0.3326,0.4309,0.4985,0.4647,0.4196,0.4404,0.43,0.6928,0.6114,0.6521
12.9,-0.2191,0.4167,0.3342,0.4291,0.4839,0.4565,0.4314,0.4521,0.4418,0.7023,0.6155,0.6589
13,-0.218,0.4238,0.3405,0.4269,0.4719,0.4494,0.444,0.4652,0.4546,0.713,0.6213,0.6671
13.1,-0.2166,0.4327,0.352,0.4242,0.4632,0.4437,0.4572,0.4792,0.4682,0.7251,0.6276,0.6763
13.2,-0.2153,0.4436,0.3688,0.4218,0.4584,0.4401,0.471,0.4935,0.4822,0.7389,0.6333,0.6861
13.3,-0.2146,0.4566,0.3905,0.4204,0.4578,0.4391,0.4851,0.508,0.4966,0.754,0.6377,0.6959
13.4,-0.215,0.472,0.416,0.4208,0.4612,0.441,0.4996,0.5223,0.5109,0.7695,0.6406,0.705
13.5,-0.2162,0.4895,0.4442,0.4229,0.468,0.4455,0.514,0.5358,0.5249,0.7839,0.642,0.7129
13.6,-0.2177,0.5089,0.4734,0.4265,0.4777,0.4521,0.5281,0.5479,0.538,0.796,0.6418,0.7189
13.7,-0.2185,0.5296,0.5015,0.4317,0.4897,0.4607,0.5417,0.5579,0.5498,0.8052,0.6393,0.7223
13.8,-0.2172,0.5513,0.5267,0.4387,0.5032,0.4709,0.5545,0.5652,0.5599,0.8114,0.634,0.7227
13.9,-0.2121,0.5735,0.5476,0.4479,0.5172,0.4826,0.5665,0.5698,0.5681,0.8138,0.6253,0.7196
14,-0.2023,0.5959,0.5639,0.4592,0.5308,0.495,0.5768,0.5719,0.5743,0.8117,0.6132,0.7125
14.1,-0.1882,0.6179,0.5751,0.4718,0.5431,0.5075,0.5849,0.5717,0.5783,0.8044,0.5977,0.701
14.2,-0.1714,0.6391,0.5811,0.485,0.5543,0.5196,0.5907,0.5694,0.58,0.7918,0.5793,0.6856
14.3,-0.1529,0.6595,0.582,0.4983,0.5645,0.5314,0.5948,0.5651,0.58,0.7746,0.5593,0.667
14.4,-0.1335,0.6789,0.5787,0.5114,0.5738,0.5426,0.5976,0.5596,0.5786,0.7536,0.5387,0.6462
14.5,-0.1129,0.6967,0.5723,0.524,0.5812,0.5526,0.5995,0.5536,0.5766,0.73,0.5184,0.6242
14.6,-0.0901,0.7115,0.5639,0.5357,0.5856,0.5607,0.6,0.548,0.574,0.7049,0.4992,0.602
14.7,-0.0649,0.7223,0.5546,0.5457,0.5861,0.5659,0.5992,0.5433,0.5712,0.6791,0.4817,0.5804
14.8,-0.0372,0.7284,0.5447,0.5539,0.5824,0.5682,0.5969,0.5396,0.5682,0.6533,0.4662,0.5598
14.9,-0.007,0.7304,0.5347,0.5603,0.5754,0.5679,0.5931,0.5368,0.5649,0.6279,0.4525,0.5402
15,0.0255,0.7285,0.525,0.5648,0.5657,0.5653,0.5878,0.5347,0.5613,0.6035,0.4408,0.5221
15.1,0.0597,0.7227,0.5158,0.5672,0.5535,0.5603,0.5814,0.5332,0.5573,0.5811,0.4315,0.5063
15.2,0.0935,0.7126,0.5071,0.5669,0.5389,0.5529,0.574,0.532,0.553,0.5613,0.425,0.4932
15.3,0.1244,0.6977,0.4985,0.5631,0.522,0.5426,0.5657,0.5301,0.5479,0.5447,0.4213,0.483
15.4,0.1498,0.6776,0.4895,0.5553,0.5027,0.529,0.5565,0.5268,0.5416,0.5316,0.4204,0.476
15.5,0.1684,0.6523,0.48,0.5433,0.481,0.5121,0.546,0.5212,0.5336,0.5226,0.4224,0.4725
15.6,0.1793,0.6222,0.4699,0.5272,0.4573,0.4922,0.5342,0.5133,0.5237,0.5174,0.4268,0.4721
15.7,0.1823,0.5878,0.4593,0.5078,0.4327,0.4702,0.5215,0.5033,0.5124,0.5156,0.433,0.4743
15.8,0.1779,0.5506,0.4486,0.4867,0.4084,0.4476,0.5088,0.492,0.5004,0.5163,0.4399,0.4781
15.9,0.1665,0.5122,0.4386,0.4656,0.3859,0.4258,0.4973,0.4802,0.4887,0.5189,0.4466,0.4827
16,0.1484,0.4746,0.4303,0.4455,0.3664,0.406,0.4879,0.4688,0.4783,0.5229,0.4527,0.4878
16.1,0.123,0.4392,0.425,0.4268,0.3504,0.3886,0.481,0.4586,0.4698,0.5284,0.4584,0.4934
16.2,0.0905,0.407,0.423,0.4095,0.338,0.3737,0.4768,0.4503,0.4635,0.5359,0.4635,0.4997
16.3,0.0521,0.3784,0.4238,0.3937,0.3289,0.3613,0.4745,0.4444,0.4595,0.5449,0.4674,0.5062
16.4,0.0094,0.3541,0.4262,0.3798,0.323,0.3514,0.4734,0.4414,0.4574,0.5547,0.4695,0.5121
16.5,-0.0356,0.3345,0.4293,0.3686,0.3205,0.3446,0.4727,0.4416,0.4572,0.5644,0.4692,0.5168
16.6,-0.0808,0.3198,0.433,0.3605,0.3211,0.3408,0.472,0.4451,0.4585,0.5733,0.4669,0.5201
16.7,-0.1239,0.3099,0.4373,0.3554,0.3248,0.3401,0.4709,0.4518,0.4614,0.5813,0.4635,0.5224
16.8,-0.1625,0.3049,0.4421,0.3535,0.3309,0.3422,0.4692,0.4613,0.4653,0.5882,0.4602,0.5242
16.9,-0.194,0.3049,0.4472,0.3553,0.3392,0.3473,0.4663,0.473,0.4696,0.5935,0.4572,0.5254
17,-0.2173,0.3102,0.4527,0.3613,0.3498,0.3556,0.4618,0.4862,0.474,0.5964,0.4545,0.5254
17.1,-0.2323,0.3207,0.4584,0.3718,0.3628,0.3673,0.4555,0.5004,0.478,0.5961,0.4511,0.5236
17.2,-0.2394,0.3358,0.4638,0.3863,0.3782,0.3823,0.4478,0.5155,0.4816,0.5921,0.4466,0.5193
17.3,-0.2394,0.3545,0.4686,0.4045,0.3959,0.4002,0.4388,0.5314,0.4851,0.5847,0.4406,0.5126
17.4,-0.2337,0.3753,0.4728,0.4254,0.4152,0.4203,0.4289,0.5475,0.4882,0.5744,0.4339,0.5041
17.5,-0.2233,0.3975,0.4772,0.4479,0.4355,0.4417,0.4184,0.5638,0.4911,0.5627,0.4278,0.4953
17.6,-0.2093,0.4204,0.4831,0.4713,0.4564,0.4638,0.4081,0.5801,0.4941,0.5511,0.4236,0.4873
17.7,-0.1923,0.4436,0.4913,0.4948,0.4775,0.4861,0.3984,0.5961,0.4973,0.5409,0.4217,0.4813
17.8,-0.1731,0.4667,0.5029,0.5175,0.4978,0.5077,0.3896,0.6114,0.5005,0.5329,0.4224,0.4777
17.9,-0.1521,0.4889,0.518,0.5387,0.5164,0.5275,0.3815,0.6251,0.5033,0.5272,0.4257,0.4764
18,-0.13,0.5097,0.5363,0.5576,0.5323,0.545,0.3739,0.6359,0.5049,0.524,0.4311,0.4776
18.1,-0.1073,0.5289,0.5564,0.574,0.5454,0.5597,0.3667,0.6427,0.5047,0.5233,0.4384,0.4808
18.2,-0.0842,0.5461,0.5767,0.5872,0.5553,0.5712,0.3604,0.6447,0.5025,0.5249,0.4475,0.4862
18.3,-0.0612,0.561,0.5957,0.5969,0.5614,0.5791,0.3554,0.6415,0.4985,0.5286,0.4585,0.4935
18.4,-0.0388,0.5732,0.6123,0.6026,0.563,0.5828,0.3522,0.6335,0.4929,0.534,0.4719,0.503
18.5,-0.0171,0.5825,0.6258,0.6045,0.5598,0.5821,0.3508,0.6214,0.4861,0.5407,0.4883,0.5145
18.6,0.004,0.589,0.6361,0.6033,0.5526,0.5779,0.3507,0.6059,0.4783,0.5482,0.5079,0.528
18.7,0.025,0.5932,0.6433,0.6003,0.5429,0.5716,0.3521,0.5885,0.4703,0.5559,0.5304,0.5432
18.8,0.0471,0.5957,0.648,0.5971,0.5323,0.5647,0.3554,0.5703,0.4629,0.5638,0.5552,0.5595
18.9,0.0707,0.5969,0.6507,0.5952,0.5221,0.5587,0.3611,0.5529,0.457,0.5713,0.5816,0.5764
19,0.0955,0.5964,0.6514,0.595,0.5126,0.5538,0.3691,0.5374,0.4533,0.5779,0.6083,0.5931
19.1,0.1203,0.5937,0.6502,0.5955,0.5036,0.5496,0.3784,0.5243,0.4514,0.5836,0.6345,0.6091
19.2,0.1434,0.5882,0.647,0.5955,0.4949,0.5452,0.3879,0.5138,0.4509,0.5889,0.66,0.6244
19.3,0.163,0.58,0.6422,0.5939,0.4863,0.5401,0.3966,0.5059,0.4513,0.5946,0.6844,0.6395
19.4,0.1774,0.5699,0.6359,0.5905,0.4779,0.5342,0.4044,0.5008,0.4526,0.6017,0.7082,0.6549
19.5,0.1856,0.5587,0.6279,0.5858,0.4702,0.528,0.4111,0.4986,0.4548,0.6112,0.731,0.6711
19.6,0.1878,0.5468,0.6181,0.581,0.4635,0.5222,0.4164,0.499,0.4577,0.6231,0.7527,0.6879
19.7,0.1852,0.5342,0.6062,0.5764,0.4583,0.5174,0.4199,0.5016,0.4608,0.6366,0.7726,0.7046
19.8,0.1785,0.5212,0.5927,0.5725,0.4555,0.514,0.4212,0.5058,0.4635,0.6509,0.7902,0.7206
19.9,0.167,0.5082,0.5787,0.5693,0.4555,0.5124,0.4204,0.5113,0.4658,0.6656,0.8051,0.7353
20,0.1501,0.4963,0.5649,0.567,0.4584,0.5127,0.4178,0.518,0.4679,0.6803,0.8165,0.7484
20.1,0.1269,0.4862,0.5511,0.5657,0.4641,0.5149,0.4137,0.5259,0.4698,0.6947,0.8239,0.7593
20.2,0.0975,0.4785,0.5362,0.5649,0.4722,0.5185,0.4084,0.5349,0.4717,0.7079,0.8263,0.7671
20.3,0.0622,0.4728,0.5203,0.5636,0.4819,0.5227,0.4018,0.545,0.4734,0.7191,0.8234,0.7713
20.4,0.0218,0.4687,0.504,0.5607,0.4928,0.5267,0.3944,0.556,0.4752,0.7281,0.8152,0.7717
20.5,-0.0225,0.4652,0.4881,0.5548,0.5042,0.5295,0.3867,0.5674,0.477,0.7353,0.8024,0.7688
20.6,-0.0689,0.462,0.4725,0.5449,0.5154,0.5302,0.379,0.5785,0.4788,0.741,0.7852,0.7631
20.7,-0.116,0.4585,0.4576,0.5307,0.5254,0.528,0.3716,0.5883,0.48,0.7456,0.7647,0.7551
20.8,-0.1619,0.4547,0.4442,0.5128,0.5334,0.5231,0.3647,0.5964,0.4805,0.7488,0.7421,0.7455
20.9,-0.2045,0.451,0.4334,0.4929,0.5399,0.5164,0.3587,0.6026,0.4807,0.7507,0.7188,0.7348
21,-0.2414,0.4479,0.426,0.4727,0.5454,0.509,0.3542,0.6072,0.4807,0.7506,0.6956,0.7231
21.1,-0.2708,0.4455,0.4214,0.4531,0.5499,0.5015,0.3512,0.6101,0.4807,0.7479,0.6723,0.7101
