Time,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC,Repco - Great Deals 15 TVC
2.5,-0.1191,0.3949,0.8445,0.3404,0.5393,0.4399,0.5148,0.7295,0.6221,0.7595,0.6807,0.7201
2.6,-0.18,0.4102,0.8094,0.3335,0.5485,0.441,0.4961,0.7062,0.6012,0.7396,0.6409,0.6903
2.7,-0.2381,0.4265,0.7754,0.3287,0.5549,0.4418,0.4778,0.6833,0.5805,0.7194,0.6012,0.6603
2.8,-0.289,0.4428,0.7436,0.3262,0.5584,0.4423,0.4604,0.6608,0.5606,0.6993,0.5636,0.6314
2.9,-0.3296,0.4583,0.7139,0.326,0.5589,0.4425,0.4444,0.6384,0.5414,0.68,0.5298,0.6049
3,-0.3584,0.4719,0.6862,0.3282,0.5562,0.4422,0.4298,0.6154,0.5226,0.662,0.5013,0.5816
3.1,-0.3756,0.483,0.6605,0.332,0.5504,0.4412,0.4168,0.5916,0.5042,0.6459,0.4791,0.5625
3.2,-0.3815,0.492,0.6372,0.3368,0.5423,0.4396,0.4062,0.5679,0.487,0.6325,0.464,0.5482
3.3,-0.3757,0.4992,0.6171,0.3422,0.5334,0.4378,0.3989,0.5458,0.4723,0.6227,0.4564,0.5396
3.4,-0.3581,0.505,0.6008,0.348,0.5249,0.4364,0.3955,0.5268,0.4612,0.6177,0.4566,0.5371
3.5,-0.3279,0.5093,0.5886,0.3546,0.5175,0.436,0.3962,0.5113,0.4538,0.6181,0.4645,0.5413
3.6,-0.2834,0.5121,0.5797,0.3629,0.511,0.4369,0.4008,0.4989,0.4499,0.6239,0.4792,0.5515
3.7,-0.2235,0.5135,0.5731,0.3736,0.5048,0.4392,0.409,0.4889,0.4489,0.634,0.4991,0.5665
3.8,-0.1481,0.514,0.5683,0.3867,0.4984,0.4425,0.4204,0.4811,0.4508,0.647,0.5219,0.5844
3.9,-0.0578,0.5145,0.5648,0.4012,0.4915,0.4463,0.4349,0.4752,0.4551,0.6609,0.5464,0.6037
4,0.0459,0.5159,0.5626,0.4169,0.4844,0.4506,0.4519,0.4714,0.4616,0.6749,0.5719,0.6234
4.1,0.1611,0.5187,0.5618,0.434,0.4779,0.456,0.4707,0.4693,0.47,0.6883,0.5982,0.6432
4.2,0.2846,0.5236,0.563,0.4531,0.4727,0.4629,0.4909,0.4691,0.48,0.7009,0.6246,0.6627
4.3,0.412,0.5311,0.5663,0.474,0.469,0.4715,0.512,0.4703,0.4911,0.7126,0.6493,0.681
4.4,0.539,0.5415,0.5718,0.4965,0.4668,0.4817,0.5331,0.4725,0.5028,0.7227,0.6703,0.6965
4.5,0.6616,0.5545,0.5788,0.5203,0.4661,0.4932,0.5532,0.4754,0.5143,0.7303,0.6862,0.7082
4.6,0.7751,0.5693,0.5863,0.5453,0.4663,0.5058,0.5716,0.4788,0.5252,0.7342,0.6966,0.7154
4.7,0.873,0.5849,0.5934,0.5706,0.4668,0.5187,0.5886,0.483,0.5358,0.7334,0.702,0.7177
4.8,0.9477,0.6001,0.6,0.5942,0.4666,0.5304,0.6055,0.4889,0.5472,0.7285,0.7029,0.7157
4.9,0.9917,0.6137,0.6063,0.6134,0.4654,0.5394,0.6233,0.4972,0.5602,0.7206,0.7,0.7103
5,1.0002,0.6251,0.6127,0.6267,0.4634,0.545,0.6422,0.5083,0.5752,0.7115,0.6943,0.7029
5.1,0.9735,0.6339,0.6198,0.6336,0.4611,0.5474,0.6618,0.5222,0.592,0.7025,0.6871,0.6948
5.2,0.9162,0.6404,0.6285,0.6354,0.4592,0.5473,0.6819,0.5394,0.6106,0.6942,0.6797,0.6869
5.3,0.8366,0.6447,0.64,0.633,0.4578,0.5454,0.7025,0.56,0.6312,0.6871,0.6731,0.6801
5.4,0.7449,0.6464,0.6547,0.6267,0.4571,0.5419,0.7234,0.5837,0.6536,0.6821,0.6677,0.6749
5.5,0.6514,0.645,0.6719,0.6159,0.457,0.5365,0.7437,0.6092,0.6765,0.6806,0.6639,0.6723
5.6,0.5637,0.6409,0.6905,0.5999,0.4576,0.5288,0.762,0.6348,0.6984,0.683,0.6621,0.6726
5.7,0.486,0.635,0.7092,0.5786,0.4587,0.5187,0.777,0.6594,0.7182,0.6887,0.6624,0.6756
5.8,0.4199,0.6287,0.7268,0.5525,0.4599,0.5062,0.7883,0.6828,0.7355,0.6962,0.6645,0.6803
5.9,0.3651,0.6231,0.7423,0.5227,0.4606,0.4916,0.7959,0.7039,0.7499,0.7039,0.6682,0.6861
6,0.3209,0.6178,0.755,0.4906,0.4603,0.4755,0.7999,0.7219,0.7609,0.7111,0.6735,0.6923
6.1,0.2867,0.612,0.7648,0.4574,0.4582,0.4578,0.8003,0.7355,0.7679,0.7171,0.6802,0.6987
6.2,0.2615,0.6048,0.7715,0.4237,0.4535,0.4386,0.7969,0.7443,0.7706,0.7216,0.6877,0.7047
6.3,0.2441,0.5962,0.7752,0.3896,0.4457,0.4176,0.79,0.7488,0.7694,0.724,0.6947,0.7094
6.4,0.2328,0.5868,0.7759,0.3551,0.435,0.395,0.7798,0.7494,0.7646,0.724,0.6993,0.7116
6.5,0.2249,0.5772,0.7739,0.3209,0.4223,0.3716,0.7664,0.7463,0.7564,0.7213,0.7002,0.7107
6.6,0.2188,0.568,0.7695,0.2878,0.4087,0.3482,0.7498,0.7396,0.7447,0.716,0.6972,0.7066
6.7,0.2146,0.5588,0.7633,0.2567,0.3946,0.3256,0.7301,0.7288,0.7294,0.7083,0.691,0.6996
6.8,0.214,0.5488,0.7558,0.2279,0.3798,0.3039,0.7079,0.7138,0.7108,0.6985,0.6826,0.6906
6.9,0.2183,0.5381,0.7471,0.2021,0.364,0.283,0.6838,0.6945,0.6891,0.6876,0.6729,0.6802
7,0.2267,0.5273,0.7376,0.1796,0.3473,0.2635,0.6587,0.6718,0.6653,0.6761,0.6626,0.6694
7.1,0.2365,0.5177,0.7277,0.1608,0.3305,0.2457,0.6336,0.6469,0.6403,0.6648,0.6524,0.6586
7.2,0.2451,0.5102,0.7176,0.1455,0.3146,0.23,0.6089,0.6211,0.615,0.6541,0.6429,0.6485
7.3,0.2516,0.5046,0.7076,0.1331,0.3001,0.2166,0.585,0.5945,0.5898,0.6446,0.6345,0.6395
7.4,0.2564,0.4996,0.6973,0.1232,0.2875,0.2054,0.5618,0.567,0.5644,0.6368,0.627,0.6319
7.5,0.2604,0.4937,0.6861,0.1151,0.2767,0.1959,0.5391,0.5381,0.5386,0.6318,0.62,0.6259
7.6,0.264,0.4856,0.6729,0.1081,0.2676,0.1878,0.5169,0.5075,0.5122,0.6301,0.6129,0.6215
7.7,0.2676,0.4751,0.6569,0.1011,0.2601,0.1806,0.495,0.4752,0.4851,0.6319,0.6053,0.6186
7.8,0.2726,0.4628,0.6377,0.0937,0.2537,0.1737,0.4737,0.4416,0.4577,0.637,0.597,0.617
7.9,0.2791,0.4497,0.6152,0.0857,0.2485,0.1671,0.4537,0.4072,0.4304,0.6451,0.5882,0.6167
8,0.2864,0.4369,0.5895,0.0772,0.2448,0.161,0.4357,0.3726,0.4041,0.6567,0.5799,0.6183
8.1,0.2928,0.4255,0.5612,0.0686,0.2435,0.1561,0.4204,0.3384,0.3794,0.6725,0.5726,0.6225
8.2,0.2978,0.4166,0.5313,0.0603,0.2451,0.1527,0.4085,0.3053,0.3569,0.6926,0.5664,0.6295
8.3,0.3021,0.411,0.501,0.0526,0.2506,0.1516,0.4001,0.2741,0.3371,0.7162,0.5615,0.6388
8.4,0.3075,0.4094,0.4712,0.046,0.2602,0.1531,0.3958,0.2459,0.3208,0.7415,0.5579,0.6497
8.5,0.3156,0.4125,0.443,0.0415,0.2737,0.1576,0.3963,0.2219,0.3091,0.7664,0.5557,0.6611
8.6,0.3271,0.4204,0.4171,0.0397,0.2907,0.1652,0.4022,0.2034,0.3028,0.7895,0.5546,0.6721
8.7,0.3419,0.4331,0.3943,0.0408,0.3105,0.1756,0.4137,0.1909,0.3023,0.8099,0.5543,0.6821
8.8,0.3593,0.45,0.3757,0.0447,0.3316,0.1882,0.4303,0.1847,0.3075,0.8276,0.5547,0.6911
8.9,0.3788,0.4701,0.3619,0.0515,0.3526,0.202,0.4509,0.185,0.318,0.8426,0.5563,0.6995
9,0.3989,0.4925,0.3534,0.0617,0.3722,0.2169,0.4742,0.1917,0.3329,0.8549,0.5597,0.7073
9.1,0.4164,0.5159,0.3501,0.0771,0.3902,0.2336,0.4985,0.204,0.3513,0.8639,0.5651,0.7145
9.2,0.4271,0.5392,0.3519,0.1,0.4072,0.2536,0.5223,0.221,0.3716,0.8691,0.5723,0.7207
9.3,0.4276,0.5612,0.3591,0.1322,0.4238,0.278,0.5442,0.2413,0.3927,0.8707,0.5804,0.7256
9.4,0.4173,0.5809,0.372,0.1738,0.4406,0.3072,0.5634,0.2637,0.4135,0.8693,0.5892,0.7292
9.5,0.3981,0.5973,0.3898,0.2228,0.4571,0.34,0.5799,0.2867,0.4333,0.8654,0.5984,0.7319
9.6,0.3729,0.6104,0.4114,0.2761,0.4731,0.3746,0.5941,0.309,0.4515,0.8592,0.6079,0.7336
9.7,0.3444,0.6205,0.4353,0.3314,0.4882,0.4098,0.6062,0.3297,0.468,0.851,0.6178,0.7344
9.8,0.3151,0.6281,0.4607,0.3867,0.5022,0.4444,0.6167,0.3487,0.4827,0.8413,0.6283,0.7348
9.9,0.2873,0.6333,0.487,0.44,0.515,0.4775,0.6258,0.3659,0.4959,0.8313,0.6403,0.7358
10,0.2631,0.6355,0.5137,0.4889,0.5256,0.5073,0.6343,0.3821,0.5082,0.8221,0.6548,0.7384
10.1,0.2447,0.6345,0.5402,0.5315,0.5333,0.5324,0.6431,0.398,0.5205,0.8145,0.6724,0.7434
10.2,0.2337,0.6301,0.5655,0.5669,0.5376,0.5523,0.6525,0.4142,0.5333,0.8087,0.6929,0.7508
10.3,0.2303,0.6228,0.588,0.5949,0.5384,0.5667,0.6622,0.4309,0.5465,0.8043,0.7154,0.7598
10.4,0.2343,0.6129,0.6066,0.6162,0.5355,0.5758,0.6713,0.4476,0.5595,0.8007,0.7383,0.7695
10.5,0.245,0.6007,0.6202,0.6311,0.5286,0.5799,0.6791,0.4636,0.5713,0.7976,0.7607,0.7792
10.6,0.2618,0.586,0.6273,0.6399,0.5177,0.5788,0.6844,0.4777,0.5811,0.7954,0.7819,0.7887
10.7,0.2832,0.569,0.6268,0.6429,0.503,0.573,0.687,0.4888,0.5879,0.7952,0.8016,0.7984
10.8,0.3079,0.5502,0.6183,0.6412,0.485,0.5631,0.687,0.4963,0.5917,0.7976,0.8197,0.8087
10.9,0.3344,0.5306,0.6027,0.6357,0.4647,0.5502,0.6842,0.5005,0.5924,0.8026,0.8359,0.8193
11,0.3627,0.5115,0.5811,0.6275,0.4428,0.5351,0.6778,0.5016,0.5897,0.809,0.8497,0.8293
11.1,0.3933,0.4936,0.555,0.6176,0.4193,0.5185,0.6673,0.5,0.5836,0.8148,0.8611,0.8379
11.2,0.4266,0.477,0.5257,0.6068,0.3943,0.5005,0.6532,0.4962,0.5747,0.8186,0.87,0.8443
11.3,0.4624,0.4617,0.4946,0.5957,0.3677,0.4817,0.6365,0.4907,0.5636,0.8201,0.8768,0.8485
11.4,0.4999,0.4478,0.4626,0.5849,0.3401,0.4625,0.6186,0.4841,0.5514,0.8193,0.8817,0.8505
11.5,0.5378,0.4354,0.4311,0.5743,0.3126,0.4434,0.6007,0.4768,0.5387,0.8161,0.8849,0.8505
11.6,0.5751,0.4246,0.4014,0.5637,0.2864,0.4251,0.5835,0.469,0.5263,0.8104,0.8866,0.8485
11.7,0.6112,0.4154,0.3747,0.5535,0.2626,0.4081,0.5677,0.4611,0.5144,0.8021,0.8866,0.8444
11.8,0.6454,0.4076,0.3514,0.5443,0.2417,0.393,0.5538,0.4534,0.5036,0.7916,0.8851,0.8384
11.9,0.6763,0.401,0.3315,0.5366,0.2234,0.38,0.5419,0.4457,0.4938,0.7799,0.8821,0.831
12,0.7018,0.3952,0.3148,0.5304,0.2077,0.369,0.5315,0.4374,0.4845,0.7676,0.8776,0.8226
12.1,0.7199,0.3898,0.3009,0.5249,0.1947,0.3598,0.5223,0.4277,0.475,0.7555,0.8713,0.8134
12.2,0.7291,0.3843,0.2897,0.5195,0.1848,0.3521,0.5143,0.4167,0.4655,0.7444,0.8632,0.8038
12.3,0.7283,0.3785,0.2808,0.5139,0.1784,0.3461,0.5078,0.4045,0.4562,0.7346,0.8532,0.7939
12.4,0.7171,0.3728,0.274,0.5082,0.1759,0.342,0.5031,0.3914,0.4472,0.7258,0.841,0.7834
12.5,0.6959,0.3677,0.2686,0.5029,0.1771,0.34,0.4998,0.3777,0.4387,0.7176,0.8257,0.7716
12.6,0.6659,0.3641,0.2642,0.4982,0.1816,0.3399,0.4974,0.3635,0.4304,0.7096,0.8065,0.758
12.7,0.6298,0.3623,0.2607,0.4942,0.1888,0.3415,0.4958,0.3492,0.4225,0.702,0.7831,0.7425
12.8,0.5908,0.3623,0.2577,0.4907,0.198,0.3444,0.4956,0.3354,0.4155,0.6951,0.7562,0.7256
12.9,0.5513,0.3639,0.255,0.4876,0.209,0.3483,0.4967,0.3226,0.4096,0.689,0.7267,0.7078
13,0.5122,0.3673,0.2525,0.4852,0.222,0.3536,0.499,0.3116,0.4053,0.6837,0.6949,0.6893
13.1,0.4741,0.3729,0.2505,0.4838,0.2377,0.3607,0.5022,0.3032,0.4027,0.6791,0.6607,0.6699
13.2,0.4382,0.3808,0.2489,0.4835,0.2561,0.3698,0.5054,0.2979,0.4016,0.6743,0.624,0.6492
13.3,0.406,0.3905,0.2476,0.4844,0.2767,0.3806,0.5079,0.2959,0.4019,0.6687,0.5854,0.627
13.4,0.3789,0.4013,0.2466,0.4866,0.2989,0.3927,0.5096,0.2972,0.4034,0.6617,0.5455,0.6036
13.5,0.3575,0.413,0.246,0.4905,0.322,0.4063,0.5106,0.302,0.4063,0.6533,0.5051,0.5792
13.6,0.3415,0.4258,0.2458,0.4967,0.3462,0.4215,0.5111,0.3103,0.4107,0.644,0.4653,0.5547
13.7,0.3301,0.44,0.2465,0.5055,0.3713,0.4384,0.511,0.3223,0.4167,0.6343,0.4273,0.5308
13.8,0.3223,0.4558,0.2483,0.5172,0.3975,0.4574,0.5105,0.3381,0.4243,0.6244,0.3928,0.5086
13.9,0.3172,0.4726,0.2517,0.5321,0.4247,0.4784,0.5097,0.3574,0.4336,0.6143,0.3628,0.4886
14,0.3142,0.4901,0.2572,0.55,0.4526,0.5013,0.5092,0.3798,0.4445,0.6039,0.3374,0.4707
14.1,0.3128,0.5078,0.2651,0.5706,0.4808,0.5257,0.5093,0.4047,0.457,0.593,0.316,0.4545
14.2,0.3133,0.5253,0.2759,0.5935,0.5086,0.551,0.5101,0.4316,0.4709,0.5812,0.2983,0.4398
14.3,0.3165,0.5417,0.2896,0.6184,0.5353,0.5769,0.5113,0.4598,0.4856,0.5684,0.2845,0.4265
14.4,0.3228,0.556,0.3057,0.6448,0.5595,0.6022,0.5126,0.4886,0.5006,0.5551,0.2746,0.4149
14.5,0.332,0.5675,0.3235,0.6708,0.5799,0.6254,0.5135,0.5172,0.5154,0.5421,0.2686,0.4053
14.6,0.3441,0.5757,0.342,0.6948,0.5952,0.645,0.514,0.5447,0.5293,0.5306,0.2658,0.3982
14.7,0.3585,0.5807,0.3607,0.7152,0.605,0.6601,0.5134,0.5705,0.542,0.5218,0.2659,0.3938
14.8,0.3749,0.5827,0.3794,0.7314,0.6094,0.6704,0.511,0.5943,0.5526,0.5162,0.2684,0.3923
14.9,0.3931,0.5814,0.3983,0.7429,0.6081,0.6755,0.5058,0.6156,0.5607,0.5139,0.2738,0.3938
