Time,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC,Dominos Delivery Tracker 15 TVC
3,-0.0979,0.5566,0.6135,0.5962,0.6423,0.6193,0.5911,0.6223,0.6067,0.6605,0.5743,0.6174
3.1,-0.1002,0.5589,0.6206,0.5959,0.6473,0.6216,0.5835,0.6229,0.6032,0.6661,0.5819,0.624
3.2,-0.1009,0.5623,0.6285,0.598,0.6541,0.6261,0.5777,0.624,0.6008,0.6706,0.5893,0.6299
3.3,-0.0994,0.5669,0.6371,0.6023,0.6629,0.6326,0.574,0.626,0.6,0.674,0.5966,0.6353
3.4,-0.095,0.5728,0.6462,0.6087,0.6734,0.641,0.5725,0.6291,0.6008,0.6759,0.6036,0.6397
3.5,-0.0871,0.5797,0.6553,0.6167,0.6851,0.6509,0.573,0.633,0.603,0.6763,0.6103,0.6433
3.6,-0.0757,0.587,0.6641,0.6256,0.6973,0.6615,0.5754,0.6372,0.6063,0.6753,0.6162,0.6457
3.7,-0.0611,0.5943,0.672,0.6346,0.7092,0.6719,0.5792,0.6414,0.6103,0.6733,0.621,0.6471
3.8,-0.0437,0.6011,0.6788,0.6428,0.72,0.6814,0.5844,0.6452,0.6148,0.6704,0.6248,0.6476
3.9,-0.0244,0.6071,0.6841,0.6497,0.7292,0.6895,0.5908,0.6486,0.6197,0.6668,0.6279,0.6474
4,-0.0044,0.6122,0.6881,0.6549,0.7364,0.6956,0.5984,0.6515,0.625,0.6629,0.6305,0.6467
4.1,0.0148,0.6164,0.6905,0.6581,0.7413,0.6997,0.6074,0.654,0.6307,0.6588,0.6326,0.6457
4.2,0.0316,0.6194,0.6909,0.6593,0.7437,0.7015,0.6173,0.6557,0.6365,0.6543,0.6335,0.6439
4.3,0.0455,0.621,0.6883,0.6588,0.7435,0.7012,0.6277,0.6561,0.6419,0.6495,0.6327,0.6411
4.4,0.0565,0.6205,0.6824,0.6572,0.7406,0.6989,0.6378,0.6549,0.6464,0.6443,0.6299,0.6371
4.5,0.0646,0.6179,0.6731,0.6546,0.7348,0.6947,0.6469,0.6519,0.6494,0.639,0.6257,0.6323
4.6,0.0696,0.6133,0.6608,0.6516,0.7263,0.689,0.6538,0.6471,0.6504,0.6335,0.6203,0.6269
4.7,0.0714,0.6073,0.6458,0.6483,0.7155,0.6819,0.6581,0.6406,0.6493,0.6276,0.6143,0.621
4.8,0.0699,0.6009,0.6291,0.6448,0.7034,0.6741,0.6595,0.6328,0.6461,0.6213,0.608,0.6147
4.9,0.0653,0.5948,0.6111,0.6411,0.6908,0.666,0.6581,0.6241,0.6411,0.6146,0.6019,0.6082
5,0.0579,0.5894,0.5923,0.6373,0.6783,0.6578,0.6539,0.6148,0.6344,0.6076,0.5964,0.602
5.1,0.0479,0.5849,0.5734,0.633,0.6658,0.6494,0.6473,0.6052,0.6262,0.6008,0.5921,0.5964
5.2,0.035,0.5815,0.5549,0.6284,0.6533,0.6409,0.6384,0.5957,0.6171,0.5946,0.589,0.5918
5.3,0.0196,0.5796,0.5376,0.6239,0.6413,0.6326,0.628,0.5865,0.6073,0.5897,0.5873,0.5885
5.4,0.002,0.5798,0.522,0.6202,0.6304,0.6253,0.6169,0.5776,0.5973,0.5862,0.5871,0.5866
5.5,-0.0179,0.5823,0.5082,0.6176,0.6211,0.6194,0.6056,0.569,0.5873,0.5841,0.5879,0.586
5.6,-0.0403,0.5871,0.4961,0.616,0.6137,0.6148,0.5939,0.5602,0.5771,0.5831,0.5892,0.5861
5.7,-0.0653,0.5938,0.4856,0.615,0.6079,0.6114,0.5818,0.5514,0.5666,0.5828,0.5907,0.5867
5.8,-0.0923,0.602,0.4766,0.6139,0.6034,0.6087,0.5692,0.5426,0.5559,0.5833,0.5923,0.5878
5.9,-0.1206,0.6112,0.4691,0.6124,0.5999,0.6061,0.5561,0.5344,0.5453,0.5846,0.5945,0.5895
6,-0.1489,0.6211,0.4628,0.6099,0.5971,0.6035,0.5431,0.5269,0.535,0.5868,0.5976,0.5922
6.1,-0.176,0.6314,0.4575,0.6066,0.5954,0.601,0.5307,0.52,0.5254,0.59,0.6018,0.5959
6.2,-0.2009,0.6426,0.4528,0.6029,0.5952,0.5991,0.5195,0.5135,0.5165,0.5941,0.607,0.6005
6.3,-0.2224,0.6551,0.4489,0.5996,0.5974,0.5985,0.5095,0.5076,0.5085,0.5994,0.613,0.6062
6.4,-0.2392,0.669,0.4462,0.5972,0.6022,0.5997,0.5011,0.5028,0.502,0.6068,0.62,0.6134
6.5,-0.25,0.6831,0.4453,0.5957,0.609,0.6023,0.4947,0.4997,0.4972,0.6168,0.628,0.6224
6.6,-0.2542,0.6961,0.4465,0.5948,0.6169,0.6058,0.4907,0.4985,0.4946,0.6301,0.6373,0.6337
6.7,-0.2524,0.7069,0.4498,0.5941,0.6249,0.6095,0.49,0.4992,0.4946,0.6466,0.6476,0.6471
6.8,-0.2465,0.7148,0.4556,0.5936,0.6326,0.6131,0.4928,0.5018,0.4973,0.6661,0.6588,0.6625
6.9,-0.2385,0.7197,0.4637,0.5931,0.6399,0.6165,0.4992,0.5061,0.5026,0.6881,0.6705,0.6793
7,-0.2297,0.7215,0.474,0.5925,0.6467,0.6196,0.5083,0.5116,0.51,0.7116,0.6821,0.6969
7.1,-0.2204,0.7203,0.486,0.5916,0.6525,0.6221,0.5197,0.5179,0.5188,0.7355,0.6932,0.7144
7.2,-0.2105,0.7163,0.4992,0.5908,0.6575,0.6242,0.5328,0.5249,0.5289,0.7587,0.7034,0.7311
7.3,-0.2001,0.7106,0.5134,0.5906,0.6619,0.6263,0.5479,0.533,0.5405,0.7808,0.7129,0.7469
7.4,-0.1895,0.7039,0.5283,0.5914,0.6665,0.629,0.565,0.5424,0.5537,0.8015,0.7218,0.7617
7.5,-0.1795,0.6966,0.5433,0.5937,0.6715,0.6326,0.5833,0.5531,0.5682,0.8203,0.7302,0.7752
7.6,-0.1703,0.6886,0.557,0.5972,0.6767,0.6369,0.6018,0.5643,0.5831,0.8361,0.7373,0.7867
7.7,-0.1615,0.6796,0.5684,0.6012,0.6815,0.6413,0.6189,0.5755,0.5972,0.8478,0.7425,0.7952
7.8,-0.1529,0.6699,0.5772,0.6052,0.6854,0.6453,0.6338,0.5862,0.61,0.8546,0.7453,0.8
7.9,-0.1444,0.6599,0.5834,0.6088,0.6887,0.6488,0.646,0.5965,0.6212,0.8562,0.7454,0.8008
8,-0.1361,0.6503,0.5868,0.6117,0.6919,0.6518,0.6552,0.6063,0.6307,0.8526,0.7426,0.7976
8.1,-0.1284,0.6415,0.5873,0.6134,0.6949,0.6541,0.6613,0.6154,0.6384,0.8439,0.737,0.7905
8.2,-0.1213,0.6337,0.585,0.6136,0.6974,0.6555,0.6646,0.6236,0.6441,0.8306,0.7286,0.7796
8.3,-0.1143,0.6265,0.5807,0.6121,0.6986,0.6554,0.6652,0.6309,0.6481,0.8137,0.7175,0.7656
8.4,-0.1071,0.6199,0.5755,0.6092,0.6981,0.6536,0.6636,0.6378,0.6507,0.7943,0.7042,0.7492
8.5,-0.0999,0.614,0.5702,0.6051,0.6954,0.6503,0.6602,0.6444,0.6523,0.7735,0.6893,0.7314
8.6,-0.0925,0.6086,0.5646,0.6,0.6907,0.6453,0.6553,0.6506,0.6529,0.7522,0.6731,0.7127
8.7,-0.0848,0.6035,0.558,0.5941,0.6839,0.639,0.6493,0.656,0.6527,0.7306,0.6557,0.6931
8.8,-0.0769,0.5981,0.5499,0.5874,0.6751,0.6312,0.6425,0.6605,0.6515,0.7087,0.6369,0.6728
8.9,-0.069,0.5922,0.5405,0.5798,0.6643,0.6221,0.6353,0.6642,0.6497,0.6862,0.6167,0.6514
9,-0.0616,0.5857,0.53,0.5713,0.6515,0.6114,0.628,0.6674,0.6477,0.6633,0.5954,0.6293
9.1,-0.0546,0.5787,0.5192,0.5621,0.637,0.5995,0.6209,0.6705,0.6457,0.6403,0.5738,0.6071
9.2,-0.0483,0.5709,0.5085,0.5521,0.621,0.5866,0.6144,0.6736,0.644,0.6177,0.5526,0.5852
9.3,-0.0432,0.5622,0.4981,0.5413,0.6041,0.5727,0.6081,0.6765,0.6423,0.5962,0.532,0.5641
9.4,-0.0403,0.5526,0.4884,0.5298,0.587,0.5584,0.602,0.6785,0.6403,0.5764,0.5121,0.5443
9.5,-0.0403,0.5422,0.4795,0.5178,0.57,0.5439,0.5956,0.6794,0.6375,0.559,0.4929,0.526
9.6,-0.044,0.5311,0.4719,0.5056,0.5535,0.5296,0.5887,0.679,0.6339,0.5443,0.4747,0.5095
9.7,-0.0519,0.5193,0.4657,0.4935,0.5375,0.5155,0.5816,0.6771,0.6294,0.5327,0.4584,0.4955
9.8,-0.0639,0.5064,0.4613,0.4817,0.5222,0.502,0.5745,0.6734,0.6239,0.5239,0.4444,0.4842
9.9,-0.0797,0.4926,0.4585,0.4706,0.5084,0.4895,0.5675,0.6679,0.6177,0.5173,0.4332,0.4753
10,-0.0986,0.479,0.4572,0.4612,0.4975,0.4793,0.5607,0.6606,0.6106,0.5123,0.4249,0.4686
10.1,-0.1202,0.4665,0.4569,0.4542,0.4907,0.4724,0.5533,0.6518,0.6026,0.5081,0.4195,0.4638
10.2,-0.1442,0.4563,0.4568,0.4503,0.4889,0.4696,0.545,0.6415,0.5932,0.5043,0.4172,0.4608
10.3,-0.1697,0.4486,0.4559,0.4496,0.4921,0.4709,0.5353,0.6295,0.5824,0.5008,0.4179,0.4594
10.4,-0.1956,0.4439,0.4534,0.4522,0.4999,0.476,0.5244,0.6156,0.57,0.498,0.4214,0.4597
10.5,-0.2212,0.4422,0.4492,0.4577,0.511,0.4844,0.5128,0.6001,0.5564,0.4963,0.4277,0.462
10.6,-0.2457,0.4436,0.4436,0.4658,0.5246,0.4952,0.5007,0.5836,0.5422,0.4963,0.4367,0.4665
10.7,-0.2685,0.4477,0.4369,0.4758,0.5395,0.5077,0.4885,0.5665,0.5275,0.4978,0.4481,0.4729
10.8,-0.2887,0.4539,0.4291,0.4867,0.5549,0.5208,0.476,0.5488,0.5124,0.5002,0.4607,0.4805
10.9,-0.3056,0.4613,0.4202,0.4975,0.5698,0.5337,0.4633,0.5306,0.497,0.5026,0.4731,0.4879
11,-0.3189,0.4697,0.4108,0.5071,0.5839,0.5455,0.451,0.5123,0.4817,0.5048,0.484,0.4944
11.1,-0.3284,0.4789,0.4021,0.5151,0.5972,0.5561,0.4402,0.4954,0.4678,0.5069,0.4935,0.5002
11.2,-0.334,0.4888,0.3955,0.5214,0.6096,0.5655,0.4319,0.4812,0.4566,0.5099,0.5022,0.5061
11.3,-0.3358,0.4991,0.392,0.526,0.6209,0.5734,0.4269,0.4707,0.4488,0.5143,0.5112,0.5127
11.4,-0.3337,0.5092,0.392,0.5288,0.6305,0.5796,0.4252,0.4639,0.4445,0.52,0.521,0.5205
11.5,-0.3273,0.5181,0.3954,0.5292,0.6378,0.5835,0.4262,0.4599,0.443,0.5266,0.5312,0.5289
11.6,-0.316,0.5248,0.402,0.527,0.6421,0.5845,0.4294,0.4579,0.4437,0.5331,0.5413,0.5372
11.7,-0.2999,0.5286,0.4115,0.5218,0.6435,0.5826,0.4344,0.4575,0.446,0.539,0.5509,0.5449
11.8,-0.2801,0.5293,0.4233,0.5136,0.6423,0.5779,0.4411,0.4581,0.4496,0.5439,0.56,0.5519
11.9,-0.2581,0.527,0.4366,0.5024,0.6391,0.5707,0.4494,0.4593,0.4543,0.548,0.5685,0.5582
12,-0.2354,0.5222,0.4507,0.4884,0.6344,0.5614,0.4588,0.4604,0.4596,0.5515,0.5761,0.5638
12.1,-0.2126,0.5152,0.4656,0.4721,0.6289,0.5505,0.4693,0.4614,0.4654,0.5542,0.5828,0.5685
12.2,-0.1899,0.5064,0.4813,0.454,0.6228,0.5384,0.4807,0.4627,0.4717,0.5562,0.5884,0.5723
12.3,-0.1673,0.4962,0.4979,0.4348,0.6165,0.5256,0.4926,0.4646,0.4786,0.5575,0.593,0.5753
12.4,-0.1451,0.4844,0.5147,0.4147,0.6099,0.5123,0.5046,0.4673,0.4859,0.5586,0.5968,0.5777
12.5,-0.1237,0.4712,0.5307,0.3944,0.603,0.4987,0.5163,0.4704,0.4934,0.5598,0.5995,0.5796
12.6,-0.1032,0.4567,0.5452,0.3744,0.5958,0.4851,0.5275,0.474,0.5008,0.5615,0.6011,0.5813
12.7,-0.0833,0.4414,0.5577,0.3556,0.5887,0.4722,0.5385,0.4783,0.5084,0.5642,0.6015,0.5829
12.8,-0.0633,0.4262,0.5675,0.3394,0.5821,0.4607,0.5498,0.4836,0.5167,0.5679,0.6015,0.5847
12.9,-0.0433,0.4124,0.5747,0.327,0.5763,0.4516,0.5616,0.4903,0.526,0.5729,0.6018,0.5873
13,-0.024,0.4007,0.5797,0.3195,0.5718,0.4457,0.5741,0.4987,0.5364,0.5796,0.6028,0.5912
13.1,-0.0059,0.3917,0.5829,0.3175,0.5692,0.4434,0.5872,0.5088,0.548,0.5886,0.6048,0.5967
13.2,0.0111,0.3861,0.5847,0.3213,0.5689,0.4451,0.6006,0.5206,0.5606,0.6001,0.6073,0.6037
13.3,0.0281,0.3849,0.5855,0.3313,0.5714,0.4514,0.6139,0.5342,0.5741,0.6139,0.6101,0.612
13.4,0.0456,0.3889,0.5853,0.3476,0.5765,0.4621,0.6267,0.5496,0.5882,0.6293,0.6128,0.621
13.5,0.0635,0.3986,0.5841,0.3695,0.5835,0.4765,0.6387,0.5664,0.6025,0.6459,0.6154,0.6307
13.6,0.0805,0.4137,0.5828,0.3963,0.5914,0.4939,0.6501,0.5845,0.6173,0.6634,0.6182,0.6408
13.7,0.0954,0.4336,0.5826,0.4266,0.5992,0.5129,0.662,0.6039,0.6329,0.6819,0.6211,0.6515
13.8,0.1075,0.4578,0.5852,0.4591,0.6064,0.5328,0.6751,0.6246,0.6498,0.7015,0.6245,0.663
13.9,0.1168,0.4856,0.5914,0.4921,0.6129,0.5525,0.6898,0.6463,0.668,0.7219,0.6289,0.6754
14,0.123,0.5159,0.6012,0.5238,0.6188,0.5713,0.7057,0.6682,0.687,0.7419,0.6342,0.6881
14.1,0.1258,0.5472,0.6139,0.5522,0.6239,0.5881,0.722,0.6893,0.7056,0.7603,0.6397,0.7
14.2,0.1248,0.5781,0.6287,0.5763,0.6279,0.6021,0.7376,0.7087,0.7232,0.776,0.6446,0.7103
14.3,0.1203,0.6074,0.645,0.5952,0.6305,0.6129,0.7517,0.7258,0.7388,0.7887,0.6483,0.7185
14.4,0.1131,0.6342,0.6622,0.609,0.6315,0.6203,0.7635,0.7402,0.7519,0.7985,0.6505,0.7245
14.5,0.1051,0.6576,0.6798,0.6183,0.6307,0.6245,0.7726,0.7517,0.7622,0.8057,0.6517,0.7287
14.6,0.0974,0.6774,0.6969,0.624,0.6284,0.6262,0.7786,0.7604,0.7695,0.8106,0.6518,0.7312
14.7,0.0899,0.6932,0.713,0.6268,0.6249,0.6258,0.7814,0.766,0.7737,0.8131,0.6506,0.7318
14.8,0.0816,0.7052,0.7272,0.6271,0.6206,0.6238,0.7808,0.7686,0.7747,0.8137,0.6483,0.731
14.9,0.0711,0.7133,0.7393,0.6255,0.6162,0.6209,0.7775,0.7686,0.773,0.8134,0.6451,0.7292
