Time,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC,BOQ - Drummer 30 Client TVC
1.4,0.13,0.4318,0.8631,0.5578,0.5329,0.5453,0.615,0.5828,0.5989,0.8329,0.6743,0.7536
1.5,0.1148,0.444,0.87,0.5509,0.5477,0.5493,0.615,0.6372,0.6261,0.8607,0.6869,0.7738
1.6,0.1076,0.4563,0.877,0.5457,0.5635,0.5546,0.6201,0.6893,0.6547,0.8842,0.6961,0.7902
1.7,0.1082,0.4689,0.8835,0.5422,0.58,0.5611,0.6298,0.7361,0.6829,0.9028,0.7017,0.8022
1.8,0.1163,0.4817,0.8893,0.5401,0.5962,0.5681,0.6436,0.7768,0.7102,0.9165,0.7041,0.8103
1.9,0.1308,0.4946,0.8946,0.5383,0.6107,0.5745,0.6599,0.8112,0.7355,0.9259,0.704,0.8149
2,0.1503,0.5072,0.8999,0.5355,0.6225,0.579,0.6758,0.8393,0.7576,0.9316,0.702,0.8168
2.1,0.1743,0.5186,0.9049,0.5306,0.6307,0.5806,0.689,0.8611,0.7751,0.9342,0.699,0.8166
2.2,0.2028,0.5286,0.9091,0.5233,0.635,0.5792,0.6984,0.877,0.7877,0.9339,0.6956,0.8148
2.3,0.2355,0.5372,0.9119,0.5143,0.6354,0.5748,0.7044,0.8881,0.7962,0.9308,0.692,0.8114
2.4,0.2718,0.5452,0.9128,0.5037,0.6316,0.5676,0.7073,0.8957,0.8015,0.9253,0.6876,0.8064
2.5,0.3108,0.553,0.9116,0.4912,0.6231,0.5572,0.7072,0.9005,0.8038,0.9173,0.6816,0.7994
2.6,0.3512,0.5606,0.9084,0.4763,0.6098,0.543,0.7037,0.9027,0.8032,0.9074,0.6735,0.7904
2.7,0.3907,0.5675,0.9031,0.4582,0.592,0.5251,0.6967,0.9023,0.7995,0.8955,0.6629,0.7792
2.8,0.4265,0.5721,0.8958,0.4366,0.5708,0.5037,0.6862,0.8993,0.7927,0.8818,0.6494,0.7656
2.9,0.4565,0.5731,0.8867,0.4115,0.5467,0.4791,0.6727,0.8934,0.783,0.8664,0.6336,0.75
3,0.4792,0.5694,0.8758,0.3838,0.5202,0.452,0.6569,0.884,0.7705,0.8496,0.6164,0.733
3.1,0.494,0.5611,0.864,0.3549,0.4921,0.4235,0.6395,0.8708,0.7551,0.8319,0.5985,0.7152
3.2,0.5006,0.5491,0.8519,0.3272,0.4643,0.3958,0.6208,0.8535,0.7372,0.8141,0.5806,0.6974
3.3,0.4982,0.5345,0.8401,0.3034,0.4394,0.3714,0.6013,0.833,0.7172,0.7965,0.5636,0.68
3.4,0.4869,0.5185,0.8286,0.2855,0.4188,0.3522,0.5817,0.8104,0.6961,0.7789,0.5477,0.6633
3.5,0.4677,0.5019,0.8169,0.2745,0.403,0.3388,0.5629,0.7868,0.6749,0.7607,0.5328,0.6467
3.6,0.4419,0.4858,0.8049,0.2701,0.3919,0.331,0.5459,0.7631,0.6545,0.7419,0.5188,0.6304
3.7,0.411,0.4712,0.7929,0.2718,0.3855,0.3287,0.5313,0.7401,0.6357,0.7233,0.506,0.6147
3.8,0.3768,0.4596,0.7812,0.2796,0.3844,0.332,0.52,0.7183,0.6191,0.7059,0.4947,0.6003
3.9,0.341,0.4518,0.7699,0.2935,0.3893,0.3414,0.5119,0.6985,0.6052,0.6906,0.4851,0.5879
4,0.305,0.4485,0.7591,0.3136,0.4002,0.3569,0.507,0.681,0.594,0.6775,0.4773,0.5774
4.1,0.2697,0.4493,0.7485,0.3393,0.4164,0.3779,0.5049,0.6657,0.5853,0.6665,0.4705,0.5685
4.2,0.2351,0.4536,0.7381,0.3695,0.4372,0.4033,0.5054,0.6526,0.579,0.6575,0.4642,0.5609
4.3,0.1999,0.4608,0.728,0.4031,0.4619,0.4325,0.5081,0.6419,0.575,0.651,0.4582,0.5546
4.4,0.1637,0.4706,0.718,0.4392,0.49,0.4646,0.513,0.6337,0.5733,0.6471,0.4531,0.5501
4.5,0.1267,0.4825,0.7079,0.4767,0.5204,0.4986,0.5193,0.628,0.5737,0.6459,0.4492,0.5476
4.6,0.0898,0.4957,0.6974,0.5141,0.5514,0.5327,0.5266,0.6246,0.5756,0.6467,0.4467,0.5467
4.7,0.0537,0.5091,0.6864,0.5494,0.5812,0.5653,0.534,0.623,0.5785,0.6488,0.4451,0.547
4.8,0.0187,0.5221,0.6749,0.581,0.6091,0.5951,0.541,0.6231,0.5821,0.6517,0.444,0.5479
4.9,-0.0158,0.534,0.6625,0.6076,0.6347,0.6211,0.5475,0.6251,0.5863,0.6552,0.4433,0.5492
5,-0.0506,0.5443,0.6485,0.628,0.6576,0.6428,0.5532,0.6289,0.5911,0.6591,0.4437,0.5514
5.1,-0.0862,0.5521,0.6328,0.6414,0.6775,0.6594,0.5582,0.6342,0.5962,0.6637,0.4459,0.5548
5.2,-0.1221,0.5566,0.6156,0.6471,0.6939,0.6705,0.5621,0.6403,0.6012,0.669,0.4504,0.5597
5.3,-0.1571,0.5572,0.5975,0.645,0.7073,0.6761,0.5647,0.647,0.6059,0.6754,0.4575,0.5665
5.4,-0.1898,0.5542,0.5786,0.6359,0.7185,0.6772,0.5659,0.6542,0.61,0.6827,0.467,0.5749
5.5,-0.219,0.5477,0.5583,0.6206,0.7278,0.6742,0.5651,0.6615,0.6133,0.6901,0.4785,0.5843
5.6,-0.2437,0.5385,0.536,0.5999,0.7348,0.6674,0.5618,0.6685,0.6152,0.6963,0.4909,0.5936
5.7,-0.2638,0.5273,0.5115,0.5748,0.7392,0.657,0.5555,0.674,0.6148,0.7007,0.5029,0.6018
5.8,-0.2785,0.515,0.4856,0.5465,0.7411,0.6438,0.5459,0.6767,0.6113,0.7027,0.5133,0.608
5.9,-0.2869,0.5025,0.4597,0.5172,0.7414,0.6293,0.5332,0.6758,0.6045,0.7023,0.5217,0.612
6,-0.2889,0.4905,0.4356,0.4888,0.741,0.6149,0.518,0.6713,0.5947,0.6997,0.5282,0.6139
6.1,-0.2842,0.4792,0.415,0.4627,0.7402,0.6014,0.5014,0.6638,0.5826,0.6951,0.5328,0.614
6.2,-0.2719,0.4684,0.3996,0.4395,0.7381,0.5888,0.4844,0.6539,0.5692,0.6888,0.5361,0.6124
6.3,-0.251,0.4583,0.3908,0.4196,0.734,0.5768,0.4683,0.6425,0.5554,0.6812,0.5387,0.61
6.4,-0.2209,0.4494,0.3892,0.4041,0.7276,0.5658,0.454,0.6301,0.5421,0.6731,0.5411,0.6071
6.5,-0.1822,0.4423,0.3945,0.3935,0.7196,0.5566,0.4425,0.6175,0.53,0.6648,0.5436,0.6042
6.6,-0.1363,0.4375,0.4057,0.3881,0.7111,0.5496,0.4342,0.6056,0.5199,0.6566,0.5459,0.6013
6.7,-0.0848,0.4348,0.4217,0.3868,0.7023,0.5446,0.429,0.5957,0.5123,0.6485,0.5477,0.5981
6.8,-0.0286,0.4336,0.4417,0.3883,0.6926,0.5405,0.4267,0.5885,0.5076,0.6403,0.5481,0.5942
6.9,0.031,0.4333,0.465,0.3915,0.6813,0.5364,0.4273,0.5842,0.5057,0.6321,0.5468,0.5894
7,0.0926,0.4339,0.4909,0.396,0.6684,0.5322,0.4308,0.5824,0.5066,0.6247,0.5439,0.5843
7.1,0.1538,0.4354,0.5183,0.402,0.6547,0.5283,0.4371,0.5828,0.5099,0.6185,0.5399,0.5792
7.2,0.2119,0.4374,0.5463,0.4091,0.6413,0.5252,0.4458,0.5853,0.5155,0.6136,0.5356,0.5746
7.3,0.2645,0.4395,0.5741,0.4164,0.6286,0.5225,0.4561,0.59,0.523,0.6096,0.5315,0.5706
7.4,0.3092,0.4409,0.6009,0.4226,0.6164,0.5195,0.4676,0.5971,0.5323,0.6059,0.5283,0.5671
7.5,0.3439,0.4408,0.6262,0.427,0.6039,0.5154,0.4802,0.6069,0.5435,0.6028,0.5266,0.5647
7.6,0.3681,0.4392,0.649,0.4292,0.5903,0.5098,0.4945,0.6192,0.5569,0.601,0.5272,0.5641
7.7,0.3828,0.4365,0.6685,0.4298,0.5753,0.5026,0.5111,0.6335,0.5723,0.6016,0.5315,0.5666
7.8,0.3902,0.4331,0.6846,0.4292,0.559,0.4941,0.5301,0.6484,0.5893,0.6048,0.5401,0.5724
7.9,0.3914,0.4291,0.6976,0.4278,0.5416,0.4847,0.5509,0.6627,0.6068,0.6105,0.5529,0.5817
8,0.3861,0.4247,0.7078,0.4259,0.5233,0.4746,0.5726,0.6751,0.6238,0.6185,0.5694,0.5939
8.1,0.374,0.4198,0.7152,0.4231,0.5043,0.4637,0.5944,0.6845,0.6394,0.6289,0.589,0.609
8.2,0.3559,0.4142,0.72,0.4191,0.4849,0.452,0.6156,0.6906,0.6531,0.6417,0.6114,0.6266
8.3,0.3336,0.4082,0.7224,0.4142,0.4648,0.4395,0.6358,0.6937,0.6648,0.6565,0.6363,0.6464
8.4,0.3105,0.4018,0.7238,0.409,0.4442,0.4266,0.6547,0.6943,0.6745,0.673,0.6634,0.6682
8.5,0.2896,0.3958,0.7255,0.4048,0.4234,0.4141,0.6723,0.6933,0.6828,0.6916,0.6929,0.6922
8.6,0.2729,0.3909,0.7293,0.4028,0.4034,0.4031,0.6889,0.6917,0.6903,0.712,0.7244,0.7182
8.7,0.2612,0.3879,0.7358,0.4036,0.3852,0.3944,0.704,0.6902,0.6971,0.7336,0.7567,0.7452
8.8,0.2542,0.3871,0.7453,0.4068,0.3692,0.388,0.7166,0.6891,0.7028,0.7545,0.7883,0.7714
8.9,0.2514,0.3884,0.7575,0.4112,0.3551,0.3831,0.7252,0.6879,0.7065,0.7725,0.8175,0.795
9,0.2522,0.3915,0.7718,0.4158,0.3421,0.379,0.7293,0.6859,0.7076,0.7874,0.8438,0.8156
9.1,0.2558,0.3963,0.7879,0.4206,0.3303,0.3755,0.7297,0.683,0.7064,0.8008,0.8675,0.8342
9.2,0.2615,0.4027,0.8056,0.426,0.3204,0.3732,0.7282,0.6795,0.7039,0.814,0.8896,0.8518
9.3,0.2684,0.4105,0.8251,0.4322,0.3126,0.3724,0.7262,0.6764,0.7013,0.8269,0.9105,0.8687
9.4,0.2756,0.419,0.8461,0.4392,0.3072,0.3732,0.7245,0.674,0.6993,0.8386,0.93,0.8843
9.5,0.2822,0.4273,0.8681,0.4467,0.3033,0.375,0.7235,0.672,0.6977,0.8485,0.9472,0.8978
9.6,0.2874,0.4351,0.8902,0.454,0.3005,0.3773,0.7227,0.6696,0.6962,0.8565,0.9616,0.909
9.7,0.2899,0.443,0.9112,0.461,0.2992,0.3801,0.722,0.6663,0.6941,0.8628,0.9726,0.9177
9.8,0.2884,0.4516,0.9305,0.4675,0.3002,0.3838,0.7211,0.662,0.6915,0.8674,0.9797,0.9236
9.9,0.2818,0.4612,0.9476,0.4734,0.3045,0.389,0.7201,0.6568,0.6884,0.8702,0.9823,0.9262
10,0.27,0.4713,0.9629,0.4787,0.3123,0.3955,0.7192,0.6507,0.685,0.8707,0.9799,0.9253
10.1,0.2536,0.481,0.9766,0.4829,0.3233,0.4031,0.7186,0.6439,0.6812,0.8694,0.9722,0.9208
10.2,0.2332,0.4899,0.989,0.4859,0.3374,0.4117,0.7184,0.6366,0.6775,0.867,0.9596,0.9133
10.3,0.2085,0.4979,0.9995,0.4873,0.3549,0.4211,0.7185,0.6292,0.6739,0.8637,0.9419,0.9028
10.4,0.1791,0.5046,1.007,0.4865,0.3756,0.4311,0.7181,0.622,0.6701,0.8596,0.9188,0.8892
10.5,0.1457,0.5092,1.0104,0.4825,0.3985,0.4405,0.7165,0.6144,0.6654,0.8539,0.8896,0.8718
10.6,0.1103,0.5105,1.0089,0.4746,0.4218,0.4482,0.7132,0.6057,0.6595,0.8463,0.8546,0.8504
10.7,0.0758,0.5078,1.0014,0.4627,0.444,0.4533,0.7083,0.5958,0.6521,0.8369,0.8145,0.8257
10.8,0.0446,0.5013,0.9871,0.4475,0.4642,0.4559,0.7024,0.5848,0.6436,0.826,0.7704,0.7982
10.9,0.0184,0.4919,0.965,0.4302,0.4825,0.4564,0.6957,0.5729,0.6343,0.814,0.7234,0.7687
11,-0.0019,0.4803,0.9343,0.4116,0.4985,0.455,0.6878,0.5603,0.624,0.8015,0.6751,0.7383
11.1,-0.0157,0.4669,0.8956,0.3919,0.5113,0.4516,0.6781,0.5468,0.6125,0.7888,0.6272,0.708
11.2,-0.0237,0.451,0.85,0.3709,0.5202,0.4456,0.6663,0.5325,0.5994,0.7754,0.5813,0.6784
11.3,-0.0277,0.4316,0.7996,0.3475,0.5247,0.4361,0.6527,0.5176,0.5851,0.7611,0.539,0.6501
11.4,-0.0297,0.4085,0.7466,0.321,0.5249,0.4229,0.638,0.5023,0.5702,0.746,0.5018,0.6239
11.5,-0.0308,0.3823,0.694,0.2912,0.5214,0.4063,0.6231,0.487,0.555,0.7302,0.471,0.6006
11.6,-0.0309,0.3541,0.6447,0.2593,0.5148,0.387,0.608,0.4723,0.5402,0.7142,0.447,0.5806
11.7,-0.0292,0.3251,0.6013,0.2271,0.5055,0.3663,0.593,0.4588,0.5259,0.6983,0.4302,0.5643
11.8,-0.0258,0.296,0.5654,0.196,0.4942,0.3451,0.5782,0.4468,0.5125,0.6828,0.4204,0.5516
11.9,-0.0219,0.2675,0.5378,0.1668,0.4816,0.3242,0.5636,0.4362,0.4999,0.6678,0.4166,0.5422
12,-0.0194,0.2402,0.518,0.1392,0.4682,0.3037,0.5492,0.4269,0.488,0.653,0.4176,0.5353
12.1,-0.0199,0.2146,0.5048,0.1133,0.4547,0.284,0.5349,0.4182,0.4765,0.6383,0.422,0.5302
12.2,-0.0235,0.1917,0.4965,0.0902,0.4416,0.2659,0.5212,0.4103,0.4657,0.624,0.4293,0.5267
12.3,-0.0298,0.1725,0.4911,0.0719,0.4298,0.2509,0.5093,0.4035,0.4564,0.6108,0.439,0.5249
12.4,-0.0379,0.1583,0.4874,0.0613,0.4203,0.2408,0.5003,0.3988,0.4496,0.5992,0.4513,0.5252
12.5,-0.0468,0.1501,0.4855,0.0602,0.4141,0.2371,0.4953,0.397,0.4461,0.589,0.4653,0.5272
12.6,-0.055,0.1488,0.4863,0.0694,0.4118,0.2406,0.4944,0.3985,0.4465,0.5796,0.4805,0.53
12.7,-0.0615,0.1543,0.491,0.0882,0.413,0.2506,0.4978,0.4035,0.4506,0.5705,0.4959,0.5332
12.8,-0.0651,0.1658,0.4998,0.1154,0.4167,0.266,0.5054,0.4116,0.4585,0.5618,0.5111,0.5364
12.9,-0.0651,0.1832,0.5127,0.1496,0.4222,0.2859,0.5172,0.4225,0.4699,0.5542,0.5261,0.5401
13,-0.0616,0.2064,0.529,0.1894,0.4294,0.3094,0.5329,0.4362,0.4846,0.548,0.5413,0.5447
13.1,-0.0556,0.2355,0.5479,0.2329,0.4386,0.3358,0.5518,0.4527,0.5022,0.5439,0.5571,0.5505
13.2,-0.0488,0.2694,0.5691,0.2782,0.4495,0.3639,0.5733,0.4712,0.5222,0.542,0.5739,0.558
13.3,-0.0434,0.3054,0.5922,0.3229,0.4611,0.392,0.5964,0.4905,0.5434,0.5426,0.5923,0.5675
13.4,-0.0408,0.3409,0.6171,0.3651,0.4721,0.4186,0.62,0.5095,0.5648,0.5458,0.6126,0.5792
13.5,-0.0423,0.374,0.6436,0.4033,0.4817,0.4425,0.6432,0.5278,0.5855,0.5514,0.6346,0.593
13.6,-0.048,0.4041,0.671,0.4369,0.4895,0.4632,0.6649,0.5452,0.605,0.5591,0.6577,0.6084
13.7,-0.057,0.4314,0.6988,0.4655,0.4952,0.4803,0.6837,0.5613,0.6225,0.5682,0.681,0.6246
13.8,-0.0667,0.4553,0.7259,0.4889,0.4983,0.4936,0.699,0.5753,0.6371,0.5778,0.7037,0.6408
13.9,-0.0739,0.4754,0.7512,0.5073,0.4985,0.5029,0.7102,0.5866,0.6484,0.5878,0.7253,0.6565
14,-0.0762,0.4916,0.7731,0.5213,0.496,0.5086,0.7172,0.5948,0.656,0.5981,0.7457,0.6719
14.1,-0.0726,0.5045,0.7905,0.5315,0.4915,0.5115,0.7199,0.6004,0.6601,0.6087,0.7647,0.6867
14.2,-0.0635,0.5148,0.803,0.5384,0.4858,0.5121,0.7186,0.6036,0.6611,0.6199,0.7817,0.7008
14.3,-0.0498,0.5226,0.8103,0.5418,0.4789,0.5104,0.7135,0.605,0.6593,0.6317,0.7961,0.7139
14.4,-0.0321,0.5277,0.8125,0.5417,0.4705,0.5061,0.7053,0.6046,0.655,0.6441,0.8074,0.7258
14.5,-0.0104,0.5297,0.8095,0.5378,0.4602,0.499,0.6948,0.6026,0.6487,0.6566,0.8154,0.736
14.6,0.0151,0.5283,0.8012,0.5306,0.4482,0.4894,0.6831,0.5991,0.6411,0.6684,0.8198,0.7441
14.7,0.0439,0.5239,0.7879,0.5207,0.4356,0.4781,0.6709,0.5946,0.6327,0.6796,0.8208,0.7502
14.8,0.0754,0.5174,0.7706,0.5094,0.4232,0.4663,0.6585,0.5898,0.6242,0.6901,0.8189,0.7545
14.9,0.1092,0.5097,0.7507,0.4983,0.4117,0.455,0.6464,0.5854,0.6159,0.7006,0.8143,0.7574
15,0.1446,0.5014,0.7294,0.4889,0.4016,0.4453,0.6346,0.5818,0.6082,0.711,0.8074,0.7592
15.1,0.1805,0.4928,0.7075,0.482,0.3931,0.4375,0.6233,0.5795,0.6014,0.7211,0.7983,0.7597
15.2,0.2151,0.4841,0.685,0.4778,0.3871,0.4324,0.6126,0.5788,0.5957,0.7304,0.787,0.7587
15.3,0.2461,0.4756,0.6619,0.4763,0.3843,0.4303,0.6029,0.5798,0.5913,0.7387,0.7736,0.7561
15.4,0.2715,0.4675,0.6383,0.4776,0.3855,0.4316,0.5949,0.5826,0.5887,0.7459,0.7584,0.7522
15.5,0.2905,0.4601,0.6146,0.4819,0.391,0.4364,0.5892,0.5874,0.5883,0.7521,0.7422,0.7471
15.6,0.3032,0.4537,0.5917,0.4899,0.4009,0.4454,0.586,0.5945,0.5903,0.7571,0.7252,0.7412
15.7,0.3096,0.4485,0.57,0.5017,0.4151,0.4584,0.5848,0.6037,0.5943,0.7607,0.7079,0.7343
15.8,0.3088,0.444,0.5501,0.5163,0.433,0.4747,0.5848,0.6143,0.5996,0.7625,0.6902,0.7263
15.9,0.3002,0.4401,0.5328,0.5318,0.454,0.4929,0.5852,0.6256,0.6054,0.7621,0.6726,0.7174
16,0.2841,0.4367,0.5189,0.546,0.4766,0.5113,0.586,0.6368,0.6114,0.7599,0.6556,0.7077
16.1,0.2609,0.4335,0.5086,0.5569,0.4991,0.528,0.5875,0.648,0.6177,0.7561,0.6398,0.6979
16.2,0.2313,0.4304,0.5019,0.563,0.5202,0.5416,0.5898,0.659,0.6244,0.7512,0.6254,0.6883
16.3,0.1952,0.4272,0.4984,0.5625,0.5393,0.5509,0.5924,0.6698,0.6311,0.7456,0.6126,0.6791
16.4,0.1518,0.4238,0.4973,0.5537,0.5563,0.555,0.5943,0.6792,0.6368,0.7395,0.6014,0.6705
16.5,0.1008,0.4197,0.4979,0.535,0.5709,0.5529,0.5945,0.6862,0.6404,0.7331,0.5922,0.6626
16.6,0.0436,0.4147,0.4996,0.5067,0.5821,0.5444,0.5926,0.6898,0.6412,0.7264,0.5851,0.6558
16.7,-0.0167,0.4087,0.5017,0.4712,0.5895,0.5303,0.589,0.69,0.6395,0.72,0.5804,0.6502
16.8,-0.0759,0.4028,0.5039,0.4324,0.5928,0.5126,0.5842,0.6873,0.6357,0.7143,0.5782,0.6462
16.9,-0.1309,0.3979,0.5056,0.3941,0.5925,0.4933,0.5783,0.6818,0.6301,0.7095,0.5782,0.6439
17,-0.1794,0.395,0.506,0.3588,0.5892,0.474,0.5709,0.6732,0.622,0.7058,0.5802,0.643
17.1,-0.2204,0.3947,0.5043,0.3287,0.5838,0.4562,0.5611,0.6611,0.6111,0.703,0.5838,0.6434
17.2,-0.254,0.3972,0.5,0.305,0.5775,0.4412,0.5488,0.6462,0.5975,0.7014,0.5886,0.645
17.3,-0.2815,0.4031,0.4926,0.2886,0.5715,0.43,0.5346,0.6296,0.5821,0.7014,0.5945,0.648
17.4,-0.304,0.4128,0.4827,0.2796,0.5667,0.4231,0.5194,0.6132,0.5663,0.7038,0.6019,0.6529
17.5,-0.3216,0.4264,0.4714,0.2774,0.5638,0.4206,0.5043,0.5979,0.5511,0.709,0.6113,0.6601
17.6,-0.3335,0.4441,0.4598,0.2811,0.5626,0.4219,0.4897,0.5843,0.537,0.7174,0.6228,0.6701
17.7,-0.3389,0.4656,0.4489,0.2903,0.5632,0.4268,0.4757,0.572,0.5239,0.7284,0.6365,0.6824
17.8,-0.3376,0.4913,0.44,0.3055,0.5656,0.4355,0.4628,0.5615,0.5121,0.7415,0.6521,0.6968
17.9,-0.3303,0.5213,0.4352,0.327,0.5702,0.4486,0.4514,0.5533,0.5023,0.7557,0.6693,0.7125
18,-0.3179,0.5557,0.4365,0.3551,0.5777,0.4664,0.4423,0.5483,0.4953,0.7702,0.6881,0.7291
18.1,-0.3014,0.5939,0.445,0.3887,0.5885,0.4886,0.4357,0.5468,0.4913,0.7845,0.7081,0.7463
18.2,-0.2819,0.6348,0.4603,0.4265,0.6029,0.5147,0.4312,0.5482,0.4897,0.7981,0.7282,0.7631
18.3,-0.2609,0.6777,0.4803,0.4664,0.6206,0.5435,0.4284,0.5513,0.4899,0.81,0.7463,0.7782
18.4,-0.2398,0.7213,0.5025,0.5065,0.6413,0.5739,0.4268,0.5553,0.4911,0.8191,0.7607,0.7899
18.5,-0.2194,0.7643,0.5243,0.5453,0.6648,0.605,0.4265,0.5597,0.4931,0.8242,0.7703,0.7973
18.6,-0.2002,0.8051,0.544,0.5815,0.6904,0.636,0.4276,0.5647,0.4961,0.8248,0.7746,0.7997
18.7,-0.1831,0.8423,0.5606,0.6142,0.7178,0.666,0.4302,0.5698,0.5,0.8209,0.7738,0.7973
18.8,-0.1692,0.8752,0.5736,0.6428,0.7462,0.6945,0.4343,0.5748,0.5045,0.813,0.7684,0.7907
18.9,-0.1581,0.9038,0.5832,0.6669,0.7751,0.721,0.4395,0.5793,0.5094,0.8011,0.7594,0.7802
19,-0.149,0.9283,0.5894,0.6866,0.8038,0.7452,0.4458,0.5829,0.5143,0.7854,0.7477,0.7665
19.1,-0.1408,0.9478,0.5921,0.7013,0.8308,0.766,0.4531,0.5847,0.5189,0.7661,0.7335,0.7498
19.2,-0.1329,0.9617,0.5912,0.7103,0.8546,0.7824,0.4614,0.584,0.5227,0.7433,0.7163,0.7298
19.3,-0.1254,0.9688,0.5867,0.7133,0.8733,0.7933,0.4702,0.5803,0.5253,0.7181,0.6963,0.7072
19.4,-0.1189,0.9684,0.5791,0.7103,0.8856,0.798,0.4791,0.5733,0.5262,0.6923,0.6738,0.683
19.5,-0.1133,0.9598,0.5693,0.7018,0.8911,0.7964,0.4879,0.5634,0.5256,0.6675,0.6498,0.6587
19.6,-0.1086,0.9433,0.5582,0.6887,0.8902,0.7895,0.4965,0.5514,0.5239,0.6454,0.6253,0.6353
19.7,-0.104,0.9192,0.5464,0.6721,0.8836,0.7779,0.5047,0.5378,0.5212,0.6266,0.6011,0.6139
19.8,-0.0983,0.8879,0.5341,0.6525,0.8713,0.7619,0.5116,0.5228,0.5172,0.6114,0.5781,0.5947
19.9,-0.0894,0.8504,0.522,0.6308,0.8529,0.7419,0.5169,0.5068,0.5119,0.5997,0.5569,0.5783
20,-0.0747,0.8076,0.5108,0.6083,0.8281,0.7182,0.5203,0.491,0.5057,0.5914,0.538,0.5647
20.1,-0.0531,0.7609,0.5013,0.5862,0.7973,0.6918,0.5222,0.4763,0.4993,0.586,0.5217,0.5539
20.2,-0.0258,0.7117,0.4938,0.5654,0.7619,0.6636,0.5225,0.4631,0.4928,0.583,0.5076,0.5453
20.3,0.0046,0.6618,0.4878,0.5465,0.7233,0.6349,0.5206,0.451,0.4858,0.5816,0.4948,0.5382
20.4,0.0351,0.6127,0.4829,0.5295,0.6838,0.6066,0.5162,0.44,0.4781,0.5813,0.4828,0.532
20.5,0.0639,0.566,0.479,0.5148,0.6452,0.58,0.5095,0.4309,0.4702,0.5814,0.4713,0.5264
20.6,0.091,0.5226,0.4763,0.5029,0.6093,0.5561,0.5017,0.4249,0.4633,0.582,0.4603,0.5212
20.7,0.117,0.4832,0.4747,0.4937,0.5771,0.5354,0.4939,0.4223,0.4581,0.5827,0.4499,0.5163
20.8,0.1419,0.4482,0.4736,0.4864,0.549,0.5177,0.4865,0.4222,0.4543,0.5833,0.4397,0.5115
20.9,0.165,0.4177,0.4719,0.4799,0.5248,0.5023,0.4791,0.4227,0.4509,0.5831,0.4294,0.5063
21,0.1845,0.3918,0.4688,0.4729,0.5047,0.4888,0.4708,0.4226,0.4467,0.5817,0.4187,0.5002
21.1,0.1989,0.3706,0.4638,0.465,0.4892,0.4771,0.4615,0.4216,0.4415,0.5784,0.4074,0.4929
21.2,0.2076,0.3543,0.4568,0.4562,0.4783,0.4673,0.4514,0.4199,0.4356,0.5732,0.3955,0.4844
