Time,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
9.7,0.1243,0.9114,0.7025,0.956,0.8071,0.8815,0.8946,0.7294,0.812,0.7593,0.7691,0.7642
9.8,0.1121,0.9184,0.7279,0.9447,0.8149,0.8798,0.8824,0.7419,0.8121,0.7568,0.7689,0.7629
9.9,0.0974,0.9219,0.7504,0.9298,0.8221,0.8759,0.8706,0.7537,0.8121,0.7523,0.7657,0.759
10,0.0799,0.9218,0.7694,0.9117,0.8282,0.8699,0.8589,0.7644,0.8116,0.7457,0.76,0.7529
10.1,0.059,0.9183,0.7849,0.8911,0.8334,0.8622,0.8472,0.7738,0.8105,0.7377,0.7527,0.7452
10.2,0.0347,0.9123,0.7969,0.8688,0.8383,0.8535,0.8358,0.7822,0.809,0.729,0.7447,0.7368
10.3,0.0071,0.9042,0.8056,0.8457,0.8434,0.8445,0.8254,0.7898,0.8076,0.7203,0.7373,0.7288
10.4,-0.0227,0.8945,0.8108,0.8225,0.8483,0.8354,0.8163,0.7968,0.8066,0.7122,0.7313,0.7217
10.5,-0.053,0.8827,0.8125,0.7995,0.8524,0.8259,0.8084,0.8025,0.8054,0.7052,0.7273,0.7163
10.6,-0.0822,0.8686,0.8108,0.7767,0.855,0.8159,0.8011,0.8062,0.8037,0.6996,0.7255,0.7125
10.7,-0.1097,0.8524,0.8056,0.7545,0.8564,0.8054,0.7941,0.8075,0.8008,0.6955,0.7254,0.7105
10.8,-0.1352,0.835,0.7976,0.7334,0.8568,0.7951,0.7875,0.8065,0.797,0.6927,0.7268,0.7098
10.9,-0.1588,0.8177,0.7872,0.7143,0.8569,0.7856,0.7815,0.8036,0.7926,0.6912,0.7295,0.7104
11,-0.18,0.8014,0.7752,0.6982,0.8569,0.7775,0.7763,0.7992,0.7877,0.6905,0.7335,0.712
11.1,-0.1974,0.7867,0.7618,0.6859,0.8565,0.7712,0.7718,0.7931,0.7825,0.6904,0.7387,0.7145
11.2,-0.2099,0.7735,0.7477,0.6781,0.8558,0.7669,0.7682,0.7858,0.777,0.6907,0.7447,0.7177
11.3,-0.2174,0.7622,0.7337,0.6744,0.8545,0.7644,0.766,0.7778,0.7719,0.6911,0.7515,0.7213
11.4,-0.2207,0.7532,0.7203,0.674,0.8523,0.7632,0.7654,0.7699,0.7677,0.6918,0.7585,0.7251
11.5,-0.221,0.7469,0.7082,0.6752,0.8489,0.762,0.7667,0.7625,0.7646,0.6927,0.7651,0.7289
11.6,-0.2193,0.7435,0.6977,0.6767,0.8435,0.7601,0.7697,0.7559,0.7628,0.6942,0.7713,0.7327
11.7,-0.2161,0.7424,0.6891,0.6775,0.8359,0.7567,0.7743,0.7502,0.7622,0.6961,0.7764,0.7363
11.8,-0.2119,0.7432,0.6824,0.6775,0.8257,0.7516,0.7804,0.7453,0.7628,0.6981,0.7799,0.739
11.9,-0.2067,0.7448,0.6772,0.6767,0.8132,0.7449,0.7877,0.7418,0.7647,0.6999,0.7808,0.7404
12,-0.201,0.7467,0.6734,0.6747,0.7987,0.7367,0.7961,0.7401,0.7681,0.7011,0.7786,0.7398
12.1,-0.1957,0.7481,0.6707,0.6713,0.7826,0.727,0.8052,0.7404,0.7728,0.7017,0.7729,0.7373
12.2,-0.1915,0.7484,0.6692,0.6656,0.7656,0.7156,0.8145,0.7423,0.7784,0.7015,0.7638,0.7326
12.3,-0.1892,0.7476,0.6688,0.6574,0.7483,0.7028,0.8234,0.7452,0.7843,0.7003,0.7509,0.7256
12.4,-0.189,0.7458,0.6691,0.6464,0.7312,0.6888,0.8313,0.7484,0.7898,0.6977,0.7344,0.716
