Time,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.5,0.237,0.5952,0.4332,0.5306,0.6383,0.5845,0.4788,0.8521,0.6654,0.445,0.4977,0.4713
8.6,0.2289,0.5869,0.387,0.5047,0.6319,0.5683,0.4637,0.8241,0.6439,0.4233,0.4829,0.4531
8.7,0.2145,0.5773,0.3396,0.4773,0.6229,0.5501,0.451,0.7874,0.6192,0.4029,0.4624,0.4327
8.8,0.1949,0.5669,0.2943,0.4494,0.612,0.5307,0.442,0.744,0.593,0.3846,0.4371,0.4109
8.9,0.1706,0.5558,0.2532,0.4215,0.599,0.5103,0.437,0.696,0.5665,0.3684,0.4075,0.3879
9,0.1416,0.5438,0.2166,0.3939,0.584,0.4889,0.4355,0.6446,0.54,0.3538,0.3744,0.3641
9.1,0.1082,0.5304,0.1847,0.3668,0.5668,0.4668,0.4361,0.5903,0.5132,0.3404,0.3391,0.3398
9.2,0.0717,0.5158,0.1578,0.342,0.5481,0.4451,0.4378,0.535,0.4864,0.3282,0.3035,0.3158
9.3,0.0338,0.5006,0.1362,0.3225,0.5298,0.4262,0.4404,0.4816,0.461,0.3177,0.2696,0.2937
9.4,-0.004,0.4857,0.1201,0.3108,0.5145,0.4126,0.4445,0.4338,0.4391,0.31,0.2397,0.2748
9.5,-0.0405,0.472,0.1103,0.3078,0.5046,0.4062,0.4505,0.3943,0.4224,0.3057,0.2155,0.2606
9.6,-0.0757,0.4601,0.1077,0.3129,0.5014,0.4071,0.4583,0.3643,0.4113,0.305,0.1979,0.2515
