Time,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.1,0.2949,0.6106,0.5064,0.5533,0.5448,0.549,0.5965,0.5008,0.5486,0.3992,0.5674,0.4833
11.2,0.2854,0.5997,0.5302,0.5499,0.5337,0.5418,0.606,0.5245,0.5652,0.3893,0.5645,0.4769
11.3,0.27,0.5925,0.555,0.5503,0.5264,0.5384,0.6161,0.5516,0.5839,0.3804,0.5622,0.4713
11.4,0.2506,0.5892,0.5797,0.555,0.5234,0.5392,0.6265,0.5814,0.6039,0.3728,0.5607,0.4667
11.5,0.2284,0.5896,0.6033,0.5634,0.5247,0.544,0.6365,0.6127,0.6246,0.3669,0.5598,0.4633
11.6,0.2039,0.5929,0.6251,0.5749,0.5303,0.5526,0.6452,0.6448,0.645,0.3637,0.5598,0.4617
11.7,0.1776,0.5982,0.6446,0.5891,0.5396,0.5643,0.652,0.6764,0.6642,0.3636,0.5608,0.4622
11.8,0.151,0.605,0.661,0.6054,0.5519,0.5787,0.6567,0.7067,0.6817,0.3666,0.5624,0.4645
11.9,0.1251,0.6131,0.6738,0.6239,0.5662,0.595,0.6592,0.7348,0.697,0.3723,0.564,0.4681
12,0.1003,0.6226,0.6824,0.6442,0.5815,0.6129,0.6594,0.7598,0.7096,0.3799,0.5648,0.4724
12.1,0.0754,0.6338,0.686,0.6658,0.5974,0.6316,0.6566,0.7808,0.7187,0.3891,0.5645,0.4768
12.2,0.0496,0.6464,0.6842,0.6877,0.613,0.6503,0.6505,0.7969,0.7237,0.3999,0.5633,0.4816
12.3,0.0228,0.6604,0.677,0.7087,0.6276,0.6681,0.6407,0.8075,0.7241,0.4123,0.5612,0.4868
12.4,-0.0043,0.6753,0.6642,0.7278,0.6401,0.684,0.6274,0.8121,0.7197,0.4264,0.5583,0.4923
12.5,-0.0305,0.6904,0.6461,0.744,0.6498,0.6969,0.6113,0.8105,0.7109,0.4419,0.5545,0.4982
12.6,-0.0548,0.705,0.6231,0.7562,0.6559,0.7061,0.5934,0.8029,0.6981,0.4588,0.5502,0.5045
12.7,-0.0761,0.7178,0.5962,0.7633,0.6579,0.7106,0.5747,0.7894,0.682,0.4768,0.5454,0.5111
12.8,-0.0933,0.7281,0.5668,0.7647,0.6552,0.71,0.5555,0.7704,0.663,0.4955,0.5406,0.5181
12.9,-0.1061,0.7356,0.5367,0.7605,0.6479,0.7042,0.5361,0.7466,0.6414,0.5143,0.5357,0.525
13,-0.115,0.7403,0.5079,0.7515,0.6367,0.6941,0.5166,0.7191,0.6178,0.5324,0.5309,0.5316
13.1,-0.1208,0.7421,0.482,0.7387,0.6228,0.6808,0.4975,0.6891,0.5933,0.5495,0.5263,0.5379
13.2,-0.1238,0.7409,0.4602,0.7231,0.6069,0.665,0.4801,0.6579,0.569,0.5656,0.5222,0.5439
13.3,-0.1228,0.736,0.4428,0.7054,0.5893,0.6474,0.4658,0.6269,0.5463,0.5801,0.5189,0.5495
13.4,-0.116,0.7269,0.4296,0.6866,0.5696,0.6281,0.4555,0.597,0.5263,0.5922,0.5169,0.5545
13.5,-0.1024,0.7139,0.4204,0.6676,0.5483,0.608,0.4494,0.5695,0.5094,0.6017,0.5162,0.5589
13.6,-0.0826,0.6972,0.4153,0.649,0.5263,0.5876,0.4471,0.5454,0.4963,0.6087,0.5173,0.563
13.7,-0.0584,0.6774,0.4146,0.6312,0.5045,0.5678,0.4482,0.5257,0.487,0.614,0.5205,0.5672
13.8,-0.0309,0.6548,0.4184,0.6145,0.4836,0.5491,0.4525,0.5109,0.4817,0.6181,0.5267,0.5724
13.9,-0.0007,0.6302,0.4263,0.5996,0.464,0.5318,0.4598,0.5009,0.4804,0.6215,0.5361,0.5788
14,0.0316,0.605,0.4384,0.5879,0.447,0.5174,0.4701,0.4957,0.4829,0.6243,0.5486,0.5864
14.1,0.0647,0.5813,0.4545,0.5814,0.4348,0.5081,0.4829,0.4948,0.4888,0.6267,0.5638,0.5953
14.2,0.0977,0.5606,0.4747,0.5817,0.43,0.5058,0.4978,0.4977,0.4977,0.6292,0.5812,0.6052
14.3,0.1294,0.5437,0.4981,0.5894,0.4341,0.5117,0.5146,0.5038,0.5092,0.632,0.6006,0.6163
14.4,0.1592,0.5307,0.5231,0.6043,0.4466,0.5254,0.5333,0.5125,0.5229,0.6349,0.6217,0.6283
14.5,0.1879,0.5216,0.5481,0.6258,0.4663,0.5461,0.5542,0.523,0.5386,0.6374,0.6445,0.6409
14.6,0.2172,0.5169,0.5724,0.6534,0.4924,0.5729,0.5777,0.5354,0.5566,0.6396,0.6688,0.6542
14.7,0.2477,0.5174,0.5964,0.686,0.5243,0.6051,0.6043,0.5499,0.5771,0.6424,0.6942,0.6683
14.8,0.2785,0.5229,0.6205,0.7221,0.561,0.6415,0.6337,0.5665,0.6001,0.6465,0.7201,0.6833
14.9,0.3076,0.5327,0.6442,0.7602,0.5999,0.6801,0.6655,0.5845,0.625,0.6521,0.746,0.6991
