Time,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC,Koala - Sofabed Father in Law 15 TVC
8.8,0.2298,0.7385,0.9593,0.6762,0.7099,0.693,0.606,0.7633,0.6846,0.646,0.6633,0.6547
8.9,0.2038,0.7364,0.9354,0.6784,0.6995,0.6889,0.5823,0.7443,0.6633,0.6286,0.6467,0.6376
9,0.1705,0.7278,0.9107,0.6755,0.6813,0.6784,0.5565,0.7232,0.6398,0.6124,0.6314,0.6219
9.1,0.1296,0.7139,0.8864,0.6672,0.6568,0.662,0.5295,0.7007,0.6151,0.5985,0.6187,0.6086
9.2,0.0814,0.6955,0.8637,0.6533,0.628,0.6406,0.5022,0.6775,0.5898,0.5876,0.6097,0.5987
9.3,0.0272,0.6738,0.8431,0.634,0.5968,0.6154,0.4751,0.6543,0.5647,0.58,0.6048,0.5924
9.4,-0.0302,0.6496,0.8249,0.6104,0.5647,0.5875,0.4488,0.6321,0.5404,0.5756,0.6039,0.5897
9.5,-0.0874,0.6241,0.8089,0.5836,0.5329,0.5582,0.4237,0.6113,0.5175,0.5745,0.6069,0.5907
9.6,-0.141,0.5985,0.795,0.5552,0.5033,0.5293,0.4006,0.5924,0.4965,0.5771,0.6141,0.5956
9.7,-0.1886,0.5742,0.7827,0.5266,0.478,0.5023,0.3801,0.5754,0.4778,0.5837,0.6257,0.6047
9.8,-0.2283,0.5521,0.7717,0.4991,0.4586,0.4788,0.3631,0.5603,0.4617,0.5944,0.6414,0.6179
9.9,-0.2584,0.5332,0.7617,0.4736,0.4452,0.4594,0.3499,0.5469,0.4484,0.6088,0.6605,0.6346
10,-0.2774,0.5182,0.7526,0.4513,0.4373,0.4443,0.3411,0.5356,0.4384,0.6264,0.6819,0.6542
10.1,-0.2843,0.5071,0.7448,0.4331,0.4344,0.4338,0.3371,0.5262,0.4317,0.6465,0.7044,0.6754
10.2,-0.2793,0.4995,0.738,0.4195,0.4356,0.4275,0.3374,0.5181,0.4278,0.6676,0.7262,0.6969
10.3,-0.2642,0.4949,0.7319,0.4099,0.4402,0.4251,0.3406,0.5104,0.4255,0.6882,0.7452,0.7167
10.4,-0.2421,0.4924,0.7257,0.4029,0.4474,0.4251,0.3451,0.5028,0.424,0.7064,0.7595,0.733
10.5,-0.2169,0.4915,0.7188,0.3968,0.4563,0.4265,0.3503,0.4954,0.4228,0.7212,0.7679,0.7445
10.6,-0.1913,0.4915,0.7107,0.3905,0.4665,0.4285,0.3563,0.4883,0.4223,0.732,0.7704,0.7512
10.7,-0.1675,0.4919,0.7009,0.3836,0.4777,0.4306,0.363,0.4816,0.4223,0.7388,0.7676,0.7532
10.8,-0.1473,0.4923,0.689,0.3762,0.4892,0.4327,0.37,0.4745,0.4223,0.7415,0.76,0.7508
10.9,-0.1312,0.4925,0.6752,0.3685,0.5003,0.4344,0.3766,0.4666,0.4216,0.7398,0.7475,0.7437
11,-0.1187,0.4924,0.6599,0.3608,0.5105,0.4356,0.3821,0.4578,0.42,0.7336,0.7302,0.7319
11.1,-0.1092,0.4918,0.6442,0.3529,0.5194,0.4362,0.3863,0.4486,0.4174,0.7235,0.7083,0.7159
11.2,-0.102,0.4902,0.6285,0.3452,0.5268,0.436,0.3889,0.4389,0.4139,0.71,0.6828,0.6964
11.3,-0.0973,0.4872,0.6138,0.3379,0.5326,0.4352,0.39,0.429,0.4095,0.6944,0.655,0.6747
11.4,-0.0951,0.4832,0.6012,0.3314,0.5371,0.4343,0.3895,0.4191,0.4043,0.6777,0.6268,0.6523
11.5,-0.0954,0.4786,0.5919,0.3265,0.5406,0.4335,0.3879,0.4102,0.399,0.6611,0.6,0.6306
11.6,-0.0976,0.4741,0.5865,0.3235,0.5433,0.4334,0.3862,0.4031,0.3947,0.6458,0.576,0.6109
11.7,-0.1005,0.4696,0.5853,0.3225,0.5453,0.4339,0.3852,0.3987,0.3919,0.6328,0.5554,0.5941
11.8,-0.1023,0.4649,0.5887,0.3232,0.5466,0.4349,0.3855,0.3973,0.3914,0.623,0.5388,0.5809
11.9,-0.1013,0.4592,0.597,0.3254,0.5472,0.4363,0.3874,0.3989,0.3931,0.6172,0.5267,0.572
12,-0.0952,0.4525,0.6107,0.3295,0.5474,0.4385,0.3908,0.4036,0.3972,0.6159,0.5196,0.5678
12.1,-0.082,0.4451,0.63,0.3365,0.5475,0.442,0.3956,0.4116,0.4036,0.6191,0.5178,0.5685
12.2,-0.0601,0.4375,0.6544,0.3469,0.5478,0.4474,0.4018,0.4227,0.4123,0.6267,0.5212,0.5739
12.3,-0.0284,0.4301,0.6832,0.3612,0.5487,0.455,0.4095,0.4361,0.4228,0.6378,0.5295,0.5836
12.4,0.0128,0.423,0.7155,0.379,0.5508,0.4649,0.4182,0.4513,0.4347,0.6512,0.5422,0.5967
12.5,0.0627,0.4164,0.7504,0.3994,0.5544,0.4769,0.4274,0.4676,0.4475,0.6655,0.5583,0.6119
12.6,0.1199,0.4105,0.7869,0.4217,0.5597,0.4907,0.4366,0.4849,0.4608,0.6792,0.5767,0.628
12.7,0.1823,0.406,0.8234,0.4451,0.5667,0.5059,0.4454,0.5031,0.4742,0.6914,0.5963,0.6438
12.8,0.2469,0.4034,0.8584,0.4691,0.5752,0.5221,0.4538,0.5218,0.4878,0.7012,0.6163,0.6588
12.9,0.3104,0.4032,0.8905,0.4927,0.5853,0.539,0.4621,0.5404,0.5013,0.7086,0.6357,0.6722
13,0.3693,0.4052,0.9185,0.5152,0.5968,0.556,0.4704,0.5587,0.5145,0.7132,0.6532,0.6832
13.1,0.4209,0.4091,0.9414,0.5356,0.6089,0.5723,0.4784,0.5762,0.5273,0.7144,0.6676,0.691
13.2,0.4635,0.414,0.9586,0.5538,0.6209,0.5873,0.4858,0.5929,0.5393,0.7119,0.6778,0.6948
13.3,0.4959,0.4192,0.9701,0.5698,0.6321,0.6009,0.4921,0.6083,0.5502,0.7057,0.6832,0.6945
13.4,0.5177,0.4247,0.9762,0.5842,0.6426,0.6134,0.4972,0.6222,0.5597,0.6962,0.6839,0.69
13.5,0.5286,0.4306,0.9774,0.5972,0.6531,0.6252,0.5009,0.6343,0.5676,0.6837,0.6801,0.6819
13.6,0.5289,0.4373,0.9744,0.6088,0.6639,0.6363,0.5033,0.6452,0.5742,0.6687,0.6722,0.6704
13.7,0.5189,0.4452,0.9682,0.6187,0.675,0.6469,0.5045,0.6555,0.58,0.6519,0.6607,0.6563
13.8,0.4993,0.4547,0.9595,0.6273,0.6863,0.6568,0.5046,0.6662,0.5854,0.6339,0.6468,0.6403
13.9,0.4706,0.466,0.9489,0.6351,0.6972,0.6662,0.5037,0.6774,0.5905,0.6153,0.6314,0.6234
14,0.4333,0.4794,0.9365,0.6428,0.7075,0.6751,0.5018,0.6888,0.5953,0.5965,0.6156,0.606
14.1,0.3881,0.4945,0.9222,0.6511,0.7166,0.6839,0.4988,0.6998,0.5993,0.5777,0.5994,0.5885
14.2,0.3362,0.5111,0.9061,0.6599,0.7242,0.6921,0.4944,0.7099,0.6021,0.5589,0.5829,0.5709
14.3,0.2788,0.5285,0.8886,0.6688,0.7301,0.6995,0.4879,0.7184,0.6032,0.5408,0.5663,0.5535
14.4,0.218,0.5464,0.8703,0.6773,0.7344,0.7058,0.4793,0.7253,0.6023,0.5238,0.5504,0.5371
14.5,0.1552,0.5646,0.8519,0.6854,0.737,0.7112,0.4683,0.7306,0.5994,0.5086,0.5359,0.5222
14.6,0.0923,0.5827,0.8341,0.6933,0.7378,0.7155,0.4553,0.7345,0.5949,0.4954,0.5233,0.5094
14.7,0.0316,0.6003,0.8169,0.7007,0.7364,0.7185,0.4407,0.7371,0.5889,0.4849,0.5129,0.4989
14.8,-0.0253,0.6168,0.8001,0.7068,0.7326,0.7197,0.4244,0.738,0.5812,0.4777,0.504,0.4908
14.9,-0.0776,0.6312,0.7834,0.7107,0.7258,0.7182,0.4067,0.7371,0.5719,0.474,0.4966,0.4853
