Time,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.9,-0.4552,0.6002,0.6647,0.5892,0.7921,0.6906,0.6331,0.5577,0.5954,0.479,0.5843,0.5317
8,-0.4398,0.5962,0.6707,0.6052,0.7935,0.6993,0.6388,0.5515,0.5952,0.4825,0.5806,0.5315
8.1,-0.4205,0.5903,0.6784,0.623,0.7928,0.7079,0.6448,0.5462,0.5955,0.4904,0.5801,0.5353
8.2,-0.3965,0.5832,0.6866,0.6422,0.7898,0.716,0.651,0.5413,0.5962,0.5028,0.5823,0.5425
8.3,-0.367,0.5753,0.6944,0.6624,0.7842,0.7233,0.6575,0.5363,0.5969,0.519,0.5861,0.5526
8.4,-0.3333,0.5666,0.7016,0.6825,0.7755,0.729,0.6636,0.5311,0.5974,0.5383,0.5912,0.5648
8.5,-0.2974,0.5571,0.7086,0.701,0.7637,0.7323,0.6685,0.5259,0.5972,0.5595,0.5972,0.5783
8.6,-0.2606,0.5467,0.7154,0.7169,0.7488,0.7329,0.6714,0.521,0.5962,0.5816,0.6034,0.5925
8.7,-0.2238,0.5354,0.7216,0.7301,0.7315,0.7308,0.672,0.5164,0.5942,0.6038,0.6089,0.6064
8.8,-0.1869,0.524,0.7266,0.7405,0.712,0.7263,0.6704,0.512,0.5912,0.6258,0.6126,0.6192
8.9,-0.1499,0.5134,0.7303,0.7485,0.6909,0.7197,0.6671,0.5081,0.5876,0.6469,0.614,0.6304
9,-0.1127,0.504,0.7334,0.7541,0.6682,0.7111,0.6624,0.5053,0.5838,0.6666,0.6131,0.6398
9.1,-0.0765,0.4958,0.7365,0.7568,0.6441,0.7004,0.6564,0.5044,0.5804,0.6838,0.6101,0.6469
9.2,-0.0436,0.488,0.7395,0.7555,0.6189,0.6872,0.6492,0.5057,0.5774,0.6978,0.6049,0.6513
9.3,-0.0151,0.4802,0.7421,0.7502,0.5931,0.6716,0.6408,0.509,0.5749,0.708,0.5972,0.6526
9.4,0.0081,0.4721,0.7443,0.7413,0.5672,0.6542,0.6315,0.5143,0.5729,0.7141,0.5872,0.6507
9.5,0.0254,0.4638,0.746,0.7299,0.542,0.6359,0.6218,0.521,0.5714,0.7167,0.5754,0.646
9.6,0.0361,0.4553,0.7473,0.7169,0.518,0.6174,0.6117,0.5285,0.5701,0.7165,0.5626,0.6395
9.7,0.0397,0.4465,0.748,0.7026,0.4957,0.5992,0.6012,0.5362,0.5687,0.7143,0.5495,0.6319
9.8,0.0366,0.4372,0.7474,0.6869,0.4753,0.5811,0.5901,0.5436,0.5668,0.7106,0.5366,0.6236
9.9,0.0283,0.4278,0.7444,0.6697,0.4569,0.5633,0.5785,0.5501,0.5643,0.7063,0.5241,0.6152
10,0.0159,0.4185,0.7387,0.6515,0.4405,0.546,0.5668,0.5551,0.561,0.7019,0.5124,0.6072
10.1,0.0002,0.4099,0.7304,0.6329,0.4267,0.5298,0.5561,0.5583,0.5572,0.6984,0.5022,0.6003
10.2,-0.0187,0.4026,0.7205,0.6149,0.4166,0.5158,0.5474,0.5599,0.5537,0.6964,0.4942,0.5953
10.3,-0.0392,0.397,0.7101,0.5984,0.411,0.5047,0.5417,0.5606,0.5511,0.6962,0.4896,0.5929
10.4,-0.0581,0.393,0.7008,0.5841,0.4103,0.4972,0.5394,0.5607,0.5501,0.6978,0.489,0.5934
10.5,-0.0722,0.39,0.6938,0.5724,0.4139,0.4931,0.5408,0.5605,0.5506,0.701,0.4929,0.597
10.6,-0.0789,0.3873,0.69,0.5633,0.421,0.4921,0.5456,0.5598,0.5527,0.7053,0.5011,0.6032
10.7,-0.0774,0.3842,0.6895,0.5564,0.4308,0.4936,0.5537,0.5588,0.5563,0.7101,0.513,0.6115
10.8,-0.0681,0.3804,0.692,0.551,0.4424,0.4967,0.5649,0.5572,0.561,0.7147,0.5277,0.6212
10.9,-0.0525,0.3758,0.6976,0.5467,0.4547,0.5007,0.5785,0.5552,0.5668,0.7187,0.5445,0.6316
11,-0.0314,0.3704,0.7066,0.5431,0.4665,0.5048,0.5939,0.5529,0.5734,0.7219,0.563,0.6425
11.1,-0.005,0.364,0.7191,0.5399,0.4768,0.5084,0.6108,0.5504,0.5806,0.7244,0.5832,0.6538
11.2,0.0264,0.3568,0.735,0.5368,0.4853,0.511,0.6287,0.5479,0.5883,0.7258,0.6047,0.6653
11.3,0.0614,0.349,0.7538,0.5333,0.492,0.5126,0.647,0.5452,0.5961,0.7256,0.6269,0.6763
11.4,0.0981,0.341,0.7752,0.5292,0.4971,0.5131,0.6651,0.5426,0.6038,0.7235,0.6491,0.6863
11.5,0.1353,0.3329,0.799,0.5245,0.5007,0.5126,0.6826,0.5399,0.6113,0.7192,0.6709,0.6951
11.6,0.171,0.3243,0.8249,0.519,0.5021,0.5106,0.6991,0.5372,0.6181,0.7129,0.6921,0.7025
11.7,0.2022,0.3147,0.8525,0.5122,0.5013,0.5068,0.7139,0.5349,0.6244,0.7047,0.7125,0.7086
11.8,0.227,0.3039,0.8803,0.5036,0.4982,0.5009,0.7267,0.533,0.6298,0.6949,0.7319,0.7134
