Time,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC,DoorDash - 30 TVC
14.2,0.3842,0.4853,0.5417,0.5423,0.4619,0.5021,0.5955,0.4362,0.5159,0.772,0.7454,0.7587
14.3,0.4054,0.4775,0.5202,0.5408,0.4627,0.5017,0.6022,0.4574,0.5298,0.765,0.7344,0.7497
14.4,0.4142,0.4673,0.5027,0.5368,0.4638,0.5003,0.6086,0.4792,0.5439,0.7576,0.7209,0.7392
14.5,0.4095,0.4545,0.4891,0.53,0.4646,0.4973,0.6145,0.501,0.5577,0.7498,0.7058,0.7278
14.6,0.3907,0.4395,0.4792,0.5203,0.465,0.4926,0.6199,0.5222,0.571,0.7415,0.6896,0.7155
14.7,0.3589,0.4235,0.4725,0.5079,0.4654,0.4866,0.6245,0.5427,0.5836,0.733,0.6728,0.7029
14.8,0.3163,0.4074,0.4685,0.4933,0.4658,0.4796,0.6279,0.562,0.595,0.725,0.656,0.6905
14.9,0.2663,0.392,0.467,0.4775,0.466,0.4717,0.6301,0.5793,0.6047,0.7184,0.6401,0.6793
15,0.2125,0.3778,0.4675,0.4615,0.4652,0.4633,0.6308,0.5931,0.6119,0.7139,0.626,0.67
15.1,0.1576,0.3654,0.4702,0.4468,0.4635,0.4551,0.6301,0.6025,0.6163,0.712,0.6141,0.663
15.2,0.1034,0.3559,0.475,0.4349,0.461,0.448,0.6284,0.6072,0.6178,0.7124,0.605,0.6587
15.3,0.0515,0.3501,0.4821,0.4268,0.4584,0.4426,0.6259,0.6076,0.6168,0.7146,0.5987,0.6566
15.4,0.0035,0.3478,0.4911,0.4224,0.4552,0.4388,0.6226,0.604,0.6133,0.7181,0.5945,0.6563
15.5,-0.0392,0.3483,0.501,0.421,0.4509,0.436,0.6184,0.5965,0.6074,0.7226,0.5919,0.6572
15.6,-0.076,0.3508,0.5103,0.4219,0.4448,0.4334,0.6134,0.5848,0.5991,0.7279,0.5901,0.659
15.7,-0.1076,0.3552,0.5183,0.4244,0.4373,0.4309,0.6081,0.5691,0.5886,0.7336,0.5886,0.6611
15.8,-0.1356,0.3619,0.5246,0.4287,0.4298,0.4293,0.603,0.5505,0.5768,0.7391,0.587,0.6631
15.9,-0.1611,0.3714,0.5292,0.4346,0.4242,0.4294,0.5989,0.5304,0.5646,0.7437,0.5849,0.6643
16,-0.1845,0.3832,0.5323,0.4419,0.4216,0.4317,0.5956,0.5103,0.5529,0.7466,0.5819,0.6643
16.1,-0.2058,0.3963,0.534,0.4496,0.4225,0.4361,0.5924,0.4911,0.5417,0.7476,0.5782,0.6629
16.2,-0.2253,0.4091,0.5353,0.4567,0.4265,0.4416,0.5887,0.4732,0.531,0.7469,0.5741,0.6605
16.3,-0.2442,0.42,0.5371,0.4618,0.4328,0.4473,0.5849,0.4574,0.5212,0.7452,0.5701,0.6577
16.4,-0.2638,0.4277,0.5403,0.464,0.4404,0.4522,0.5822,0.4451,0.5136,0.7435,0.5669,0.6552
16.5,-0.2849,0.4314,0.5451,0.4631,0.4488,0.456,0.5819,0.4378,0.5098,0.7422,0.5652,0.6537
16.6,-0.307,0.4308,0.5512,0.4595,0.4576,0.4585,0.5845,0.4369,0.5107,0.7417,0.5655,0.6536
16.7,-0.3291,0.4263,0.5584,0.4542,0.4664,0.4603,0.5898,0.4431,0.5165,0.7423,0.5682,0.6552
16.8,-0.3508,0.418,0.5667,0.4482,0.4752,0.4617,0.5969,0.456,0.5265,0.7446,0.5739,0.6593
16.9,-0.3728,0.4062,0.5757,0.4421,0.4835,0.4628,0.6052,0.4745,0.5399,0.7495,0.5833,0.6664
17,-0.3959,0.3914,0.5854,0.436,0.491,0.4635,0.6145,0.4975,0.556,0.7577,0.5964,0.677
17.1,-0.42,0.374,0.5957,0.4305,0.4975,0.464,0.6246,0.5239,0.5742,0.7689,0.613,0.691
17.2,-0.4441,0.3553,0.6069,0.4265,0.5034,0.4649,0.6349,0.5527,0.5938,0.783,0.6322,0.7076
17.3,-0.4664,0.3364,0.6195,0.4249,0.5092,0.467,0.6447,0.5832,0.6139,0.7998,0.6535,0.7267
17.4,-0.4857,0.3185,0.634,0.4266,0.5152,0.4709,0.6535,0.6144,0.634,0.8194,0.6765,0.7479
17.5,-0.5017,0.3025,0.65,0.4324,0.5217,0.477,0.6616,0.6453,0.6534,0.8423,0.7005,0.7714
17.6,-0.5149,0.2891,0.6661,0.4423,0.5291,0.4857,0.6693,0.6746,0.6719,0.8687,0.7247,0.7967
17.7,-0.5255,0.2793,0.6808,0.4567,0.5378,0.4973,0.6771,0.7018,0.6895,0.8975,0.7477,0.8226
17.8,-0.5335,0.2737,0.6934,0.4756,0.5483,0.5119,0.6858,0.7266,0.7062,0.9268,0.7679,0.8474
17.9,-0.5379,0.2731,0.7036,0.4988,0.5607,0.5297,0.6967,0.7491,0.7229,0.9546,0.7841,0.8693
18,-0.5375,0.2774,0.7114,0.5254,0.5748,0.5501,0.7109,0.7694,0.7402,0.9792,0.7951,0.8871
18.1,-0.5317,0.2863,0.7157,0.5541,0.59,0.572,0.7296,0.7875,0.7585,0.9993,0.8004,0.8999
18.2,-0.5202,0.2987,0.7155,0.583,0.6055,0.5942,0.7524,0.8025,0.7774,1.0141,0.8,0.907
18.3,-0.5033,0.3135,0.7098,0.6104,0.6204,0.6154,0.7776,0.8133,0.7955,1.0225,0.7941,0.9083
18.4,-0.4818,0.3298,0.6979,0.635,0.6344,0.6347,0.8033,0.819,0.8112,1.0239,0.783,0.9035
18.5,-0.4572,0.3467,0.6803,0.6555,0.6473,0.6514,0.8282,0.8198,0.824,1.0187,0.7672,0.8929
18.6,-0.4311,0.3631,0.6579,0.6705,0.6585,0.6645,0.852,0.8163,0.8342,1.0076,0.7473,0.8775
18.7,-0.4048,0.378,0.6327,0.6792,0.6673,0.6732,0.8743,0.81,0.8422,0.9915,0.7248,0.8582
18.8,-0.3792,0.391,0.607,0.6815,0.673,0.6773,0.8942,0.802,0.8481,0.9719,0.7009,0.8364
18.9,-0.3548,0.4023,0.5833,0.6786,0.6761,0.6773,0.9108,0.7933,0.852,0.9498,0.6777,0.8138
19,-0.3323,0.4129,0.5637,0.6721,0.6775,0.6748,0.9235,0.7847,0.8541,0.926,0.6566,0.7913
19.1,-0.3125,0.4233,0.5493,0.6632,0.6786,0.6709,0.9322,0.777,0.8546,0.9004,0.6382,0.7693
19.2,-0.2959,0.4335,0.5405,0.6521,0.6802,0.6661,0.9373,0.7708,0.854,0.873,0.6229,0.748
19.3,-0.283,0.4427,0.5376,0.6389,0.6819,0.6604,0.9391,0.7663,0.8527,0.8447,0.6115,0.7281
19.4,-0.2734,0.4504,0.5406,0.6237,0.6832,0.6535,0.9381,0.7631,0.8506,0.8164,0.6046,0.7105
19.5,-0.2672,0.4564,0.5494,0.6073,0.6835,0.6454,0.9343,0.7604,0.8474,0.7893,0.6022,0.6957
19.6,-0.2643,0.4613,0.5635,0.5905,0.6824,0.6365,0.9285,0.7582,0.8434,0.7636,0.6032,0.6834
19.7,-0.265,0.4658,0.5815,0.5742,0.6801,0.6271,0.9212,0.7566,0.8389,0.7396,0.6064,0.673
19.8,-0.2693,0.471,0.6028,0.5591,0.6768,0.618,0.9129,0.7565,0.8347,0.7177,0.6118,0.6647
19.9,-0.2766,0.4777,0.6274,0.5458,0.6732,0.6095,0.903,0.7583,0.8307,0.6985,0.6196,0.6591
20,-0.2857,0.4865,0.6557,0.5345,0.6695,0.602,0.8911,0.7615,0.8263,0.6825,0.6299,0.6562
20.1,-0.2955,0.4973,0.6868,0.5248,0.666,0.5954,0.8766,0.7652,0.8209,0.6698,0.6422,0.656
20.2,-0.3056,0.5094,0.7192,0.5161,0.6622,0.5891,0.8597,0.7687,0.8142,0.6604,0.6553,0.6579
20.3,-0.3155,0.5217,0.7506,0.5071,0.6575,0.5823,0.8408,0.7713,0.8061,0.6538,0.668,0.6609
20.4,-0.3241,0.5329,0.7796,0.4975,0.651,0.5743,0.8204,0.7728,0.7966,0.6495,0.6791,0.6643
20.5,-0.3295,0.5426,0.8055,0.4877,0.6429,0.5653,0.7988,0.7731,0.7859,0.6481,0.6885,0.6683
20.6,-0.3301,0.5508,0.8279,0.4788,0.6334,0.5561,0.7765,0.7716,0.7741,0.65,0.6964,0.6732
20.7,-0.3252,0.5578,0.8464,0.4717,0.6232,0.5474,0.7545,0.7683,0.7614,0.6552,0.7028,0.679
20.8,-0.3146,0.5636,0.8608,0.4675,0.6124,0.54,0.7345,0.7631,0.7488,0.663,0.7079,0.6854
20.9,-0.298,0.5675,0.8714,0.4671,0.6009,0.534,0.7179,0.7563,0.7371,0.6726,0.712,0.6923
21,-0.2756,0.5695,0.8789,0.4709,0.5886,0.5297,0.7058,0.7485,0.7271,0.6832,0.7153,0.6993
21.1,-0.2479,0.5697,0.8837,0.4786,0.5758,0.5272,0.698,0.7396,0.7188,0.6936,0.7182,0.7059
21.2,-0.2167,0.5686,0.886,0.4894,0.5625,0.5259,0.6941,0.7295,0.7118,0.7024,0.7203,0.7113
21.3,-0.1844,0.5667,0.8855,0.502,0.5492,0.5256,0.6936,0.7179,0.7057,0.7089,0.7213,0.7151
