Time,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.7,-0.0089,0.6063,0.6651,0.6701,0.4997,0.5849,0.473,0.7825,0.6278,0.6398,0.826,0.7329
7.8,0.0045,0.595,0.6672,0.6539,0.4975,0.5757,0.461,0.7899,0.6255,0.6357,0.7988,0.7173
7.9,0.0139,0.5859,0.6677,0.6376,0.4977,0.5677,0.4479,0.7915,0.6197,0.6342,0.7713,0.7027
8,0.0174,0.5786,0.6671,0.6208,0.4997,0.5603,0.4329,0.7874,0.6101,0.6363,0.7454,0.6908
8.1,0.0136,0.5731,0.666,0.603,0.5035,0.5533,0.4152,0.7779,0.5966,0.6425,0.7225,0.6825
8.2,0.0016,0.5705,0.6648,0.5846,0.5093,0.547,0.395,0.7637,0.5793,0.6525,0.7037,0.6781
8.3,-0.0196,0.5722,0.6633,0.5666,0.5173,0.542,0.3739,0.7457,0.5598,0.6656,0.6897,0.6776
8.4,-0.0502,0.5783,0.6609,0.5498,0.5277,0.5388,0.3539,0.7253,0.5396,0.6812,0.6813,0.6813
8.5,-0.0895,0.5879,0.6577,0.5352,0.5399,0.5376,0.3368,0.7036,0.5202,0.6993,0.6791,0.6892
8.6,-0.1358,0.6001,0.6548,0.5238,0.553,0.5384,0.3229,0.6817,0.5023,0.7195,0.6831,0.7013
8.7,-0.1881,0.6142,0.6535,0.5164,0.5659,0.5411,0.312,0.6607,0.4863,0.7406,0.692,0.7163
8.8,-0.2449,0.63,0.6538,0.5137,0.5781,0.5459,0.3039,0.6415,0.4727,0.7609,0.7038,0.7324
8.9,-0.304,0.6472,0.655,0.516,0.5888,0.5524,0.299,0.6248,0.4619,0.7789,0.716,0.7474
9,-0.3627,0.6654,0.6562,0.5231,0.5979,0.5605,0.2971,0.6105,0.4538,0.7942,0.7264,0.7603
9.1,-0.4181,0.6836,0.6568,0.5342,0.6052,0.5697,0.2978,0.5981,0.4479,0.8068,0.7341,0.7704
9.2,-0.4673,0.7013,0.6567,0.5482,0.6105,0.5794,0.2997,0.587,0.4434,0.8167,0.7385,0.7776
9.3,-0.5078,0.7183,0.656,0.5646,0.6144,0.5895,0.3021,0.5771,0.4396,0.8244,0.74,0.7822
9.4,-0.5375,0.7349,0.6545,0.5829,0.6173,0.6001,0.3055,0.5687,0.4371,0.8303,0.7393,0.7848
9.5,-0.5558,0.7512,0.6519,0.6031,0.6198,0.6114,0.3109,0.5622,0.4365,0.8352,0.7367,0.786
9.6,-0.5631,0.7673,0.6482,0.6247,0.622,0.6233,0.3193,0.5575,0.4384,0.8394,0.7326,0.786
9.7,-0.5612,0.7832,0.6432,0.6471,0.6241,0.6356,0.3309,0.5547,0.4428,0.8431,0.7271,0.7851
9.8,-0.5516,0.7989,0.6375,0.6699,0.6264,0.6482,0.3452,0.553,0.4491,0.8461,0.7204,0.7833
9.9,-0.5356,0.8148,0.6319,0.6931,0.6296,0.6613,0.3616,0.5524,0.457,0.8486,0.7131,0.7808
10,-0.5139,0.8316,0.6276,0.7169,0.6345,0.6757,0.3801,0.5532,0.4667,0.8505,0.7058,0.7782
10.1,-0.4861,0.8497,0.6254,0.7419,0.6418,0.6918,0.4014,0.5559,0.4787,0.8518,0.6993,0.7756
10.2,-0.4519,0.8687,0.6256,0.7675,0.6512,0.7094,0.4258,0.5613,0.4935,0.8521,0.6941,0.7731
10.3,-0.412,0.8875,0.6284,0.7929,0.6623,0.7276,0.4534,0.5694,0.5114,0.8513,0.6903,0.7708
10.4,-0.3669,0.9052,0.6336,0.8169,0.6744,0.7457,0.4836,0.58,0.5318,0.8492,0.6884,0.7688
10.5,-0.3173,0.9206,0.6416,0.8389,0.6872,0.763,0.515,0.5923,0.5537,0.8463,0.6887,0.7675
10.6,-0.2635,0.9332,0.6527,0.8584,0.7001,0.7793,0.5468,0.6055,0.5762,0.8432,0.692,0.7676
10.7,-0.2067,0.9424,0.6671,0.8751,0.7129,0.794,0.5782,0.6188,0.5985,0.8407,0.6988,0.7697
10.8,-0.1482,0.9479,0.6847,0.889,0.7252,0.8071,0.609,0.6319,0.6204,0.8384,0.7095,0.774
10.9,-0.0896,0.9497,0.7053,0.9003,0.7369,0.8186,0.6389,0.6446,0.6417,0.836,0.7243,0.7802
11,-0.0333,0.9484,0.7281,0.9093,0.7482,0.8288,0.6671,0.657,0.6621,0.8336,0.743,0.7883
11.1,0.0183,0.9443,0.7522,0.9161,0.7597,0.8379,0.6926,0.669,0.6808,0.8316,0.7652,0.7984
11.2,0.0627,0.938,0.7767,0.9201,0.7717,0.8459,0.7144,0.6803,0.6974,0.8309,0.7903,0.8106
11.3,0.0982,0.9301,0.8009,0.9208,0.7841,0.8525,0.7321,0.6906,0.7113,0.8319,0.8176,0.8247
11.4,0.1239,0.9214,0.8241,0.9186,0.797,0.8578,0.7463,0.6996,0.7229,0.8345,0.8463,0.8404
11.5,0.1397,0.9132,0.8458,0.9148,0.8104,0.8626,0.7579,0.7074,0.7326,0.8386,0.8757,0.8572
