Time,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC,Victoria Bitter - Hard Earned Thirst 30 TVC
9.3,0.4455,0.353,0.587,0.3808,0.3524,0.3666,0.5759,0.5058,0.5409,0.358,0.386,0.372
9.4,0.4081,0.3517,0.5953,0.3682,0.3526,0.3604,0.5745,0.4972,0.5359,0.3481,0.3846,0.3663
9.5,0.366,0.355,0.6028,0.3565,0.356,0.3562,0.5731,0.4909,0.532,0.3389,0.3851,0.362
9.6,0.3193,0.3622,0.6085,0.3456,0.3621,0.3538,0.5715,0.4863,0.5289,0.3298,0.3859,0.3579
9.7,0.2679,0.3726,0.6122,0.3352,0.3711,0.3532,0.5697,0.4834,0.5265,0.3208,0.3862,0.3535
9.8,0.2121,0.3855,0.6137,0.3252,0.3831,0.3541,0.568,0.4826,0.5253,0.312,0.3854,0.3487
9.9,0.1535,0.4007,0.6127,0.3156,0.3981,0.3569,0.5664,0.4843,0.5254,0.3042,0.3834,0.3438
10,0.0933,0.418,0.6092,0.3069,0.4158,0.3613,0.5646,0.4885,0.5265,0.2977,0.3799,0.3388
10.1,0.0336,0.4377,0.6043,0.2994,0.4357,0.3676,0.562,0.4949,0.5285,0.2927,0.375,0.3339
10.2,-0.0225,0.4593,0.5991,0.2934,0.4568,0.3751,0.5585,0.5032,0.5308,0.289,0.3689,0.329
10.3,-0.0719,0.4822,0.5938,0.2893,0.4777,0.3835,0.554,0.5128,0.5334,0.2868,0.3621,0.3244
10.4,-0.1119,0.5054,0.588,0.2874,0.4979,0.3927,0.5491,0.5236,0.5363,0.2866,0.3553,0.321
10.5,-0.1411,0.5277,0.5812,0.288,0.5171,0.4026,0.5442,0.5352,0.5397,0.2888,0.3493,0.3191
10.6,-0.1597,0.5478,0.573,0.2911,0.5353,0.4132,0.5397,0.5473,0.5435,0.2933,0.3442,0.3188
10.7,-0.1703,0.5649,0.5634,0.2962,0.5527,0.4244,0.5354,0.5593,0.5473,0.2993,0.3395,0.3194
10.8,-0.1765,0.5788,0.5521,0.3029,0.5693,0.4361,0.5306,0.5707,0.5506,0.3057,0.3348,0.3203
10.9,-0.1815,0.5895,0.5392,0.3111,0.5851,0.4481,0.5251,0.5807,0.5529,0.3119,0.3297,0.3208
11,-0.1872,0.5973,0.525,0.3208,0.5999,0.4604,0.5187,0.5889,0.5538,0.318,0.3245,0.3213
11.1,-0.1938,0.6024,0.5102,0.3319,0.6131,0.4725,0.5115,0.5954,0.5534,0.3244,0.3203,0.3224
11.2,-0.2006,0.6054,0.4953,0.344,0.624,0.484,0.5033,0.6006,0.5519,0.331,0.3186,0.3248
11.3,-0.2068,0.6071,0.4805,0.3569,0.6325,0.4947,0.4942,0.6049,0.5496,0.3376,0.3201,0.3288
11.4,-0.2125,0.6086,0.4654,0.3709,0.6394,0.5051,0.4849,0.6088,0.5468,0.3445,0.325,0.3347
11.5,-0.2181,0.6111,0.45,0.3864,0.6457,0.5161,0.4758,0.6125,0.5442,0.3522,0.3331,0.3427
11.6,-0.2235,0.6149,0.4344,0.4043,0.6522,0.5283,0.4676,0.6161,0.5419,0.361,0.3442,0.3526
11.7,-0.2282,0.6204,0.419,0.4249,0.6591,0.542,0.4601,0.6195,0.5398,0.3708,0.3576,0.3642
11.8,-0.2315,0.6278,0.4041,0.4483,0.666,0.5571,0.4526,0.6228,0.5377,0.3811,0.373,0.377
11.9,-0.2325,0.6378,0.3907,0.4746,0.673,0.5738,0.4446,0.6263,0.5355,0.3911,0.39,0.3906
12,-0.2306,0.6506,0.3798,0.5037,0.6804,0.592,0.4365,0.6305,0.5335,0.4008,0.4088,0.4048
12.1,-0.225,0.6662,0.3729,0.5344,0.6883,0.6113,0.4291,0.6362,0.5326,0.4102,0.4296,0.4199
12.2,-0.2152,0.6842,0.3702,0.565,0.6962,0.6306,0.4234,0.6439,0.5336,0.4189,0.4516,0.4353
12.3,-0.2013,0.7038,0.3714,0.5938,0.7036,0.6487,0.4196,0.6533,0.5365,0.4265,0.4738,0.4502
12.4,-0.1845,0.7244,0.3755,0.6193,0.7098,0.6645,0.4173,0.6641,0.5407,0.4324,0.4949,0.4636
12.5,-0.1661,0.7449,0.3817,0.6408,0.714,0.6774,0.4158,0.6751,0.5455,0.4362,0.5137,0.4749
12.6,-0.1473,0.7646,0.3893,0.6577,0.7159,0.6868,0.4147,0.6854,0.5501,0.4377,0.5296,0.4836
12.7,-0.1292,0.7828,0.3977,0.6699,0.7152,0.6925,0.414,0.6939,0.5539,0.4369,0.5421,0.4895
12.8,-0.1128,0.7988,0.406,0.677,0.7117,0.6944,0.4135,0.6994,0.5564,0.4339,0.5507,0.4923
12.9,-0.0998,0.8123,0.4139,0.6793,0.7057,0.6925,0.4133,0.7015,0.5574,0.4286,0.5553,0.492
13,-0.0913,0.8234,0.4218,0.677,0.6979,0.6875,0.4135,0.7003,0.5569,0.4216,0.5564,0.489
13.1,-0.0872,0.8321,0.431,0.6704,0.689,0.6797,0.4145,0.6966,0.5555,0.4133,0.5545,0.4839
13.2,-0.0862,0.8387,0.4421,0.6597,0.6798,0.6697,0.4166,0.6917,0.5541,0.4042,0.5504,0.4773
13.3,-0.0868,0.843,0.4552,0.6451,0.6706,0.6578,0.42,0.6858,0.5529,0.3949,0.5446,0.4697
13.4,-0.0892,0.8448,0.4699,0.6266,0.6616,0.6441,0.4248,0.6789,0.5519,0.3852,0.5376,0.4614
13.5,-0.0939,0.844,0.4861,0.6047,0.6529,0.6288,0.4313,0.671,0.5512,0.3755,0.5301,0.4528
13.6,-0.1016,0.8405,0.5031,0.5797,0.645,0.6123,0.4399,0.6625,0.5512,0.3657,0.5224,0.444
13.7,-0.1129,0.8343,0.5201,0.5524,0.6387,0.5955,0.451,0.654,0.5525,0.3562,0.5144,0.4353
13.8,-0.1271,0.8258,0.5363,0.5241,0.6345,0.5793,0.4648,0.6457,0.5553,0.3471,0.506,0.4266
13.9,-0.1435,0.8154,0.5508,0.496,0.6327,0.5643,0.4811,0.6378,0.5595,0.3388,0.4975,0.4181
14,-0.1616,0.8034,0.5633,0.4694,0.6333,0.5513,0.4996,0.6303,0.565,0.3313,0.4896,0.4104
14.1,-0.1803,0.7901,0.5746,0.4452,0.6359,0.5406,0.5202,0.6234,0.5718,0.3251,0.4832,0.4042
14.2,-0.198,0.7757,0.5856,0.4242,0.64,0.5321,0.5432,0.6178,0.5805,0.3207,0.4791,0.3999
14.3,-0.2123,0.7606,0.5971,0.4067,0.6447,0.5257,0.5686,0.6141,0.5914,0.3188,0.4778,0.3983
14.4,-0.221,0.745,0.6093,0.3937,0.6494,0.5216,0.5965,0.6129,0.6047,0.3198,0.4795,0.3997
14.5,-0.2229,0.7298,0.6224,0.3868,0.6541,0.5205,0.6269,0.6144,0.6207,0.3245,0.4847,0.4046
14.6,-0.2176,0.7163,0.6359,0.3879,0.6594,0.5237,0.6595,0.619,0.6392,0.3334,0.4939,0.4137
14.7,-0.205,0.7056,0.65,0.3985,0.6661,0.5323,0.6941,0.6264,0.6603,0.3471,0.5073,0.4272
14.8,-0.1849,0.6985,0.6644,0.4195,0.6745,0.547,0.7294,0.6365,0.683,0.3655,0.5244,0.445
14.9,-0.1564,0.6953,0.6789,0.4507,0.685,0.5679,0.7634,0.6488,0.7061,0.388,0.5442,0.4661
15,-0.1198,0.6965,0.6932,0.4918,0.6977,0.5947,0.7943,0.6628,0.7286,0.4132,0.5654,0.4893
15.1,-0.0756,0.7026,0.7071,0.5414,0.7128,0.6271,0.821,0.6783,0.7496,0.44,0.587,0.5135
15.2,-0.0251,0.7133,0.7204,0.597,0.7308,0.6639,0.8426,0.6947,0.7687,0.4671,0.6081,0.5376
15.3,0.0298,0.7279,0.7328,0.6547,0.7511,0.7029,0.8587,0.7119,0.7853,0.494,0.6283,0.5612
15.4,0.0864,0.7447,0.744,0.71,0.7724,0.7412,0.8693,0.7289,0.7991,0.5202,0.647,0.5836
15.5,0.141,0.7615,0.7535,0.7596,0.7927,0.7761,0.8742,0.7449,0.8095,0.5447,0.6632,0.604
15.6,0.19,0.7766,0.7609,0.8011,0.8105,0.8058,0.8733,0.7587,0.816,0.5662,0.6759,0.621
15.7,0.2311,0.7888,0.7655,0.8338,0.8251,0.8295,0.8672,0.7695,0.8183,0.5834,0.6836,0.6335
15.8,0.264,0.7978,0.7669,0.8576,0.8363,0.8469,0.8565,0.7765,0.8165,0.5952,0.6856,0.6404
15.9,0.2888,0.8038,0.7652,0.873,0.8443,0.8586,0.8427,0.7798,0.8112,0.6016,0.6821,0.6418
16,0.3059,0.807,0.7607,0.8812,0.8499,0.8655,0.8268,0.7795,0.8032,0.6032,0.6736,0.6384
16.1,0.3151,0.8079,0.7539,0.8832,0.8537,0.8684,0.8097,0.7758,0.7927,0.6004,0.6606,0.6305
16.2,0.3165,0.8064,0.7449,0.8794,0.8557,0.8675,0.7911,0.7685,0.7798,0.5931,0.643,0.6181
16.3,0.3114,0.8021,0.7337,0.8697,0.8553,0.8625,0.7708,0.7576,0.7642,0.5813,0.6208,0.6011
16.4,0.3006,0.7946,0.7206,0.8541,0.8526,0.8533,0.7484,0.7435,0.746,0.5652,0.5945,0.5799
16.5,0.2847,0.7841,0.706,0.8329,0.8476,0.8402,0.7242,0.7273,0.7257,0.5455,0.5647,0.5551
16.6,0.2639,0.7708,0.6902,0.8067,0.8406,0.8237,0.6987,0.71,0.7043,0.5227,0.5324,0.5276
16.7,0.2377,0.755,0.6732,0.7766,0.8319,0.8042,0.6733,0.6918,0.6825,0.4975,0.4987,0.4981
16.8,0.2062,0.7373,0.6552,0.7434,0.8214,0.7824,0.6491,0.6734,0.6612,0.4704,0.4649,0.4676
16.9,0.17,0.7184,0.6369,0.7082,0.8092,0.7587,0.6273,0.6554,0.6414,0.4423,0.4322,0.4373
17,0.1295,0.6989,0.6187,0.6722,0.7954,0.7338,0.6087,0.6391,0.6239,0.4143,0.4021,0.4082
17.1,0.0858,0.6795,0.6013,0.6365,0.7802,0.7083,0.5934,0.6251,0.6092,0.3873,0.3758,0.3815
17.2,0.0402,0.6611,0.5849,0.6024,0.7638,0.6831,0.5815,0.6137,0.5976,0.3619,0.3543,0.3581
17.3,-0.0056,0.6443,0.5696,0.5707,0.7466,0.6586,0.573,0.6054,0.5892,0.339,0.3378,0.3384
17.4,-0.0494,0.6294,0.5556,0.5425,0.7289,0.6357,0.5684,0.6002,0.5843,0.3193,0.3265,0.3229
17.5,-0.0895,0.6169,0.5435,0.5184,0.7112,0.6148,0.568,0.5986,0.5833,0.3034,0.3201,0.3117
17.6,-0.1241,0.6069,0.5334,0.499,0.6936,0.5963,0.5713,0.6005,0.5859,0.292,0.3184,0.3052
17.7,-0.1517,0.5997,0.5248,0.4851,0.6762,0.5807,0.5774,0.6054,0.5914,0.2859,0.3212,0.3036
17.8,-0.171,0.5948,0.5173,0.4771,0.6588,0.5679,0.5853,0.6124,0.5989,0.2859,0.3281,0.307
17.9,-0.1808,0.5921,0.511,0.475,0.6412,0.5581,0.5948,0.6206,0.6077,0.2923,0.3385,0.3154
18,-0.1807,0.591,0.5063,0.4781,0.6237,0.5509,0.6055,0.6293,0.6174,0.3049,0.3516,0.3282
18.1,-0.1713,0.5913,0.5036,0.4857,0.6065,0.5461,0.6172,0.6382,0.6277,0.3228,0.3663,0.3446
18.2,-0.1534,0.5925,0.5031,0.4965,0.5899,0.5432,0.6294,0.6472,0.6383,0.3449,0.3816,0.3633
18.3,-0.1285,0.5943,0.5045,0.5097,0.5744,0.5421,0.6417,0.6564,0.6491,0.37,0.3962,0.3831
18.4,-0.0981,0.596,0.5073,0.5247,0.56,0.5423,0.6542,0.6656,0.6599,0.3971,0.4093,0.4032
18.5,-0.064,0.5968,0.5117,0.5406,0.5462,0.5434,0.6669,0.6745,0.6707,0.4255,0.4209,0.4232
18.6,-0.0275,0.5962,0.5178,0.5565,0.5326,0.5446,0.6798,0.6828,0.6813,0.4549,0.4315,0.4432
18.7,0.0094,0.594,0.5261,0.5718,0.5187,0.5452,0.6921,0.6899,0.691,0.4846,0.4419,0.4632
18.8,0.0453,0.5904,0.5365,0.5857,0.5047,0.5452,0.7035,0.6953,0.6994,0.5138,0.4525,0.4832
18.9,0.0792,0.5857,0.5486,0.5981,0.4917,0.5449,0.7137,0.6986,0.7062,0.5413,0.4633,0.5023
19,0.1109,0.5803,0.5624,0.6086,0.481,0.5448,0.7226,0.6997,0.7112,0.566,0.4741,0.52
19.1,0.1405,0.5754,0.5775,0.6174,0.4741,0.5457,0.7302,0.6987,0.7145,0.5876,0.4848,0.5362
19.2,0.1682,0.572,0.5938,0.6249,0.4717,0.5483,0.7367,0.696,0.7164,0.6064,0.4958,0.5511
19.3,0.1937,0.5708,0.6113,0.6312,0.4743,0.5527,0.7421,0.6923,0.7172,0.6232,0.5079,0.5655
19.4,0.216,0.5715,0.6296,0.6361,0.4815,0.5588,0.7463,0.6877,0.717,0.6385,0.5213,0.5799
19.5,0.2334,0.5736,0.6484,0.6394,0.4924,0.5659,0.7491,0.6823,0.7157,0.6521,0.5359,0.594
19.6,0.2446,0.5764,0.6672,0.6405,0.506,0.5733,0.7502,0.6764,0.7133,0.6643,0.5516,0.608
19.7,0.2496,0.5797,0.6853,0.6392,0.5218,0.5805,0.7496,0.6712,0.7104,0.6754,0.5682,0.6218
19.8,0.2482,0.5838,0.7024,0.636,0.5392,0.5876,0.7476,0.6681,0.7079,0.6857,0.5856,0.6356
19.9,0.241,0.5887,0.7182,0.6312,0.5576,0.5944,0.7447,0.6684,0.7065,0.6953,0.6034,0.6494
20,0.2288,0.5938,0.7322,0.6252,0.5755,0.6004,0.7418,0.6719,0.7068,0.704,0.621,0.6625
20.1,0.2127,0.599,0.7436,0.6183,0.5914,0.6048,0.7393,0.6779,0.7086,0.711,0.6379,0.6745
20.2,0.1934,0.604,0.7515,0.6104,0.604,0.6072,0.7373,0.6857,0.7115,0.7159,0.6536,0.6848
20.3,0.1718,0.6088,0.7558,0.602,0.6127,0.6073,0.7352,0.6946,0.7149,0.7182,0.6675,0.6929
20.4,0.1484,0.6136,0.7568,0.5936,0.6176,0.6056,0.7318,0.7042,0.718,0.7177,0.6791,0.6984
20.5,0.1239,0.618,0.7548,0.5856,0.6192,0.6024,0.7263,0.7137,0.72,0.714,0.6877,0.7008
20.6,0.0999,0.6215,0.75,0.5781,0.6182,0.5981,0.7183,0.7222,0.7203,0.7072,0.6926,0.6999
20.7,0.0781,0.6232,0.7428,0.5709,0.6147,0.5928,0.708,0.7292,0.7186,0.6972,0.6935,0.6954
20.8,0.0603,0.6227,0.7333,0.5639,0.6085,0.5862,0.6957,0.7341,0.7149,0.684,0.69,0.687
