Time,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8.6,0.3332,0.5811,0.6183,0.4176,0.5505,0.4841,0.5242,0.5959,0.5601,0.5105,0.6654,0.588
8.7,0.3236,0.568,0.616,0.389,0.5444,0.4667,0.5127,0.5833,0.548,0.4953,0.6668,0.581
8.8,0.3138,0.5527,0.6143,0.3645,0.5382,0.4514,0.5026,0.5721,0.5374,0.4794,0.6658,0.5726
8.9,0.3037,0.5359,0.6136,0.3451,0.5325,0.4388,0.4943,0.5632,0.5287,0.4634,0.6627,0.5631
9,0.2937,0.5182,0.6143,0.3317,0.5275,0.4296,0.4875,0.557,0.5223,0.4475,0.6578,0.5527
9.1,0.2844,0.5005,0.6165,0.3252,0.5232,0.4242,0.4823,0.5536,0.518,0.432,0.6513,0.5417
9.2,0.2761,0.4834,0.6203,0.3257,0.5198,0.4228,0.4785,0.5531,0.5158,0.4174,0.6436,0.5305
9.3,0.2681,0.4674,0.6254,0.3325,0.5176,0.425,0.4764,0.5552,0.5158,0.4048,0.6353,0.52
9.4,0.2588,0.4528,0.6313,0.3447,0.5169,0.4308,0.4761,0.5595,0.5178,0.3949,0.6271,0.511
9.5,0.2466,0.4398,0.6374,0.3616,0.5182,0.4399,0.4776,0.5653,0.5215,0.3881,0.6195,0.5038
9.6,0.2304,0.4292,0.6433,0.3828,0.5217,0.4523,0.4808,0.5723,0.5265,0.3837,0.6125,0.4981
9.7,0.21,0.4211,0.6486,0.4075,0.5273,0.4674,0.4853,0.5803,0.5328,0.3812,0.6058,0.4935
9.8,0.1858,0.4158,0.6534,0.4343,0.535,0.4846,0.4906,0.5893,0.5399,0.3801,0.5994,0.4898
9.9,0.1589,0.4136,0.6576,0.4617,0.5447,0.5032,0.4959,0.5993,0.5476,0.3801,0.5936,0.4868
10,0.1307,0.4147,0.6612,0.4884,0.556,0.5222,0.5008,0.6095,0.5551,0.3806,0.5884,0.4845
10.1,0.1027,0.4196,0.6639,0.5136,0.5683,0.541,0.5046,0.6189,0.5618,0.3808,0.584,0.4824
10.2,0.0762,0.4282,0.6654,0.5369,0.581,0.5589,0.5071,0.6267,0.5669,0.3802,0.5798,0.48
10.3,0.0519,0.4403,0.6655,0.5578,0.5935,0.5756,0.5083,0.6329,0.5706,0.3786,0.5753,0.477
