Time,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC,Samsung S20 FE 5G- Christmas 2020 Themed 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.2,-0.088,0.4112,0.5238,0.5546,0.4767,0.5156,0.7042,0.5939,0.6491,0.4671,0.6225,0.5448
11.3,-0.1074,0.4043,0.5159,0.5551,0.4774,0.5163,0.6993,0.6058,0.6526,0.4788,0.6049,0.5419
11.4,-0.1245,0.3988,0.5074,0.5585,0.4785,0.5185,0.6914,0.6171,0.6542,0.4891,0.5874,0.5383
11.5,-0.1364,0.3943,0.4982,0.5644,0.4787,0.5215,0.6807,0.6266,0.6537,0.4978,0.5708,0.5343
11.6,-0.1409,0.39,0.488,0.5721,0.4769,0.5245,0.667,0.6337,0.6504,0.5047,0.555,0.5298
11.7,-0.1374,0.3857,0.4766,0.5809,0.4728,0.5268,0.6501,0.6376,0.6439,0.5091,0.5399,0.5245
11.8,-0.1272,0.3814,0.4637,0.5902,0.4664,0.5283,0.6302,0.6379,0.6341,0.5106,0.5249,0.5178
11.9,-0.1121,0.377,0.4493,0.5999,0.4586,0.5293,0.6079,0.6346,0.6212,0.5087,0.51,0.5094
12,-0.0938,0.3728,0.4339,0.6098,0.4507,0.5302,0.5843,0.6283,0.6063,0.5035,0.4957,0.4996
12.1,-0.0737,0.3697,0.4184,0.6203,0.444,0.5321,0.5608,0.6198,0.5903,0.4955,0.4829,0.4892
12.2,-0.0526,0.3686,0.4034,0.6314,0.4392,0.5353,0.5384,0.6102,0.5743,0.4855,0.4719,0.4787
12.3,-0.0313,0.37,0.3889,0.6426,0.4367,0.5396,0.5182,0.6001,0.5591,0.4733,0.4622,0.4677
12.4,-0.011,0.3738,0.3739,0.6531,0.4362,0.5446,0.5008,0.59,0.5454,0.4586,0.453,0.4558
12.5,0.0075,0.3791,0.3575,0.662,0.4376,0.5498,0.4867,0.5802,0.5334,0.4416,0.4442,0.4429
12.6,0.0238,0.385,0.3396,0.6687,0.4405,0.5546,0.4762,0.5709,0.5235,0.4232,0.4361,0.4297
12.7,0.038,0.3911,0.321,0.6733,0.4443,0.5588,0.4696,0.5624,0.516,0.4052,0.4296,0.4174
12.8,0.0498,0.3973,0.303,0.6762,0.4487,0.5624,0.4672,0.5549,0.511,0.3889,0.4253,0.4071
12.9,0.0586,0.4034,0.2868,0.6777,0.4533,0.5655,0.469,0.5488,0.5089,0.3753,0.4238,0.3996
13,0.0633,0.4091,0.2732,0.6775,0.458,0.5678,0.4747,0.5444,0.5095,0.3648,0.4256,0.3952
13.1,0.0636,0.4137,0.263,0.6755,0.4627,0.5691,0.4832,0.5419,0.5126,0.3574,0.4309,0.3942
13.2,0.0605,0.4167,0.2566,0.6713,0.4671,0.5692,0.4938,0.5417,0.5178,0.353,0.44,0.3965
13.3,0.0554,0.4185,0.2547,0.6653,0.4704,0.5679,0.506,0.544,0.525,0.3507,0.4518,0.4013
13.4,0.0502,0.4194,0.2579,0.6583,0.4718,0.565,0.5197,0.5487,0.5342,0.35,0.4654,0.4077
13.5,0.0461,0.4199,0.2663,0.6507,0.4709,0.5608,0.5348,0.556,0.5454,0.3503,0.4799,0.4151
13.6,0.0437,0.4201,0.2796,0.6429,0.4682,0.5556,0.551,0.5663,0.5586,0.3517,0.495,0.4233
13.7,0.0437,0.4205,0.2975,0.6355,0.4643,0.5499,0.5676,0.5795,0.5735,0.3537,0.5103,0.432
13.8,0.047,0.4218,0.319,0.6293,0.4598,0.5445,0.5841,0.5951,0.5896,0.3562,0.525,0.4406
13.9,0.0539,0.4249,0.3436,0.6257,0.455,0.5403,0.6005,0.6123,0.6064,0.3587,0.5386,0.4486
14,0.0635,0.4295,0.3704,0.6258,0.4496,0.5377,0.617,0.6301,0.6235,0.3613,0.5505,0.4559
14.1,0.0747,0.4347,0.3986,0.6294,0.4435,0.5365,0.6339,0.6475,0.6407,0.3641,0.5607,0.4624
14.2,0.0855,0.4397,0.4277,0.6357,0.4371,0.5364,0.6509,0.6641,0.6575,0.3669,0.5696,0.4682
14.3,0.0938,0.445,0.4571,0.6439,0.4314,0.5376,0.6672,0.6799,0.6736,0.3694,0.5771,0.4732
14.4,0.0972,0.452,0.4858,0.6532,0.4274,0.5403,0.6818,0.6943,0.6881,0.3708,0.5832,0.477
14.5,0.0943,0.4618,0.5117,0.6636,0.4264,0.545,0.6942,0.707,0.7006,0.3702,0.5877,0.479
14.6,0.0846,0.4739,0.5332,0.6755,0.4293,0.5524,0.7045,0.7174,0.711,0.3671,0.5901,0.4786
14.7,0.0687,0.4873,0.5498,0.689,0.4366,0.5628,0.7135,0.7258,0.7196,0.3612,0.5898,0.4755
14.8,0.0481,0.5007,0.5619,0.703,0.4482,0.5756,0.7215,0.7323,0.7269,0.3526,0.5862,0.4694
14.9,0.0239,0.5137,0.5692,0.7161,0.4637,0.5899,0.7279,0.7373,0.7326,0.3413,0.5788,0.4601
15,-0.0029,0.5261,0.5712,0.7277,0.4824,0.6051,0.7317,0.7407,0.7362,0.3279,0.5672,0.4476
15.1,-0.0314,0.5381,0.5677,0.7384,0.5036,0.621,0.733,0.7432,0.7381,0.3133,0.5519,0.4326
15.2,-0.0602,0.5492,0.5601,0.7489,0.5264,0.6377,0.7327,0.7453,0.739,0.299,0.5338,0.4164
15.3,-0.0868,0.5585,0.5504,0.7588,0.5495,0.6542,0.732,0.7479,0.74,0.2867,0.5139,0.4003
15.4,-0.1092,0.5652,0.5406,0.7673,0.5718,0.6695,0.7315,0.7516,0.7415,0.2775,0.4934,0.3854
15.5,-0.1268,0.5694,0.5317,0.7737,0.5922,0.683,0.7312,0.7562,0.7437,0.272,0.4724,0.3722
15.6,-0.1405,0.5708,0.5237,0.7779,0.6098,0.6938,0.7311,0.7616,0.7463,0.2707,0.451,0.3608
15.7,-0.1515,0.5692,0.5171,0.7793,0.6243,0.7018,0.7315,0.7675,0.7495,0.2734,0.4295,0.3515
15.8,-0.1611,0.5647,0.5129,0.7776,0.6362,0.7069,0.7331,0.7741,0.7536,0.2808,0.4086,0.3447
15.9,-0.1702,0.5576,0.5123,0.7725,0.6458,0.7091,0.7361,0.7817,0.7589,0.2933,0.39,0.3417
16,-0.1785,0.5484,0.5161,0.7638,0.6534,0.7086,0.7398,0.7901,0.765,0.3111,0.3751,0.3431
16.1,-0.1867,0.5376,0.5242,0.7515,0.6592,0.7053,0.7434,0.7986,0.771,0.3334,0.3643,0.3488
16.2,-0.1953,0.5257,0.5364,0.736,0.6637,0.6998,0.7462,0.8065,0.7763,0.3587,0.3575,0.3581
16.3,-0.2047,0.5133,0.5515,0.7178,0.6673,0.6925,0.7476,0.8135,0.7805,0.3858,0.3546,0.3702
16.4,-0.2148,0.5008,0.5682,0.6972,0.6702,0.6837,0.747,0.8193,0.7832,0.4132,0.3553,0.3843
16.5,-0.2251,0.4887,0.5857,0.6749,0.673,0.6739,0.7444,0.8239,0.7842,0.4394,0.359,0.3992
16.6,-0.2349,0.4772,0.6036,0.6511,0.6757,0.6634,0.74,0.8274,0.7837,0.463,0.3652,0.4141
16.7,-0.2445,0.4666,0.622,0.626,0.6783,0.6522,0.7343,0.8298,0.7821,0.4834,0.3733,0.4284
16.8,-0.2546,0.4567,0.6405,0.5997,0.6812,0.6404,0.7284,0.8312,0.7798,0.5006,0.3835,0.4421
16.9,-0.2663,0.4478,0.6588,0.573,0.6847,0.6289,0.7226,0.8317,0.7772,0.515,0.3963,0.4556
17,-0.2799,0.44,0.6759,0.5469,0.6891,0.618,0.7168,0.8314,0.7741,0.5266,0.412,0.4693
17.1,-0.2946,0.4334,0.6918,0.5228,0.6938,0.6083,0.711,0.8302,0.7706,0.5353,0.4307,0.483
17.2,-0.3089,0.4284,0.7067,0.5017,0.6984,0.6,0.7058,0.8286,0.7672,0.5414,0.4521,0.4967
17.3,-0.3219,0.4251,0.7209,0.484,0.7025,0.5933,0.702,0.8266,0.7643,0.5456,0.4756,0.5106
17.4,-0.333,0.424,0.7338,0.4692,0.7061,0.5877,0.7002,0.8243,0.7623,0.5482,0.5007,0.5245
17.5,-0.3412,0.4256,0.7445,0.4571,0.7091,0.5831,0.7001,0.822,0.761,0.549,0.5263,0.5376
17.6,-0.346,0.4308,0.7523,0.4483,0.7118,0.5801,0.7009,0.8199,0.7604,0.5471,0.5511,0.5491
17.7,-0.3468,0.4401,0.7567,0.4444,0.7142,0.5793,0.7024,0.8183,0.7604,0.5418,0.5744,0.5581
17.8,-0.3427,0.4535,0.7577,0.4469,0.716,0.5814,0.705,0.8175,0.7613,0.5335,0.5954,0.5644
17.9,-0.3322,0.4699,0.755,0.4566,0.7166,0.5866,0.7094,0.8177,0.7636,0.5228,0.6138,0.5683
18,-0.3141,0.4875,0.7492,0.4729,0.7149,0.5939,0.7159,0.8192,0.7676,0.5108,0.629,0.5699
18.1,-0.2873,0.5045,0.7412,0.494,0.7094,0.6017,0.7243,0.8218,0.773,0.4974,0.6407,0.5691
18.2,-0.2513,0.5191,0.7314,0.5179,0.6985,0.6082,0.7341,0.825,0.7795,0.4826,0.6487,0.5657
18.3,-0.2071,0.5301,0.72,0.5429,0.6819,0.6124,0.7451,0.8282,0.7867,0.4662,0.6529,0.5595
18.4,-0.1572,0.5366,0.7074,0.5676,0.6603,0.6139,0.7575,0.831,0.7942,0.4484,0.6533,0.5508
18.5,-0.1042,0.5385,0.6939,0.5909,0.6357,0.6133,0.7711,0.8333,0.8022,0.4297,0.6499,0.5398
18.6,-0.0502,0.5361,0.6804,0.6113,0.6098,0.6106,0.7853,0.8348,0.8101,0.4103,0.6427,0.5265
18.7,0.0029,0.53,0.6676,0.6274,0.5837,0.6055,0.7991,0.8352,0.8171,0.3905,0.632,0.5112
18.8,0.0537,0.5208,0.6557,0.6385,0.5577,0.5981,0.8112,0.8341,0.8226,0.3706,0.6182,0.4944
18.9,0.1009,0.5093,0.645,0.6451,0.5324,0.5887,0.821,0.831,0.826,0.3517,0.6022,0.477
19,0.1441,0.4962,0.6354,0.6479,0.5084,0.5782,0.828,0.826,0.827,0.3347,0.5849,0.4598
19.1,0.1837,0.4823,0.627,0.648,0.4863,0.5672,0.8315,0.8191,0.8253,0.3204,0.5672,0.4438
19.2,0.2203,0.4681,0.6197,0.6459,0.4663,0.5561,0.8307,0.8102,0.8204,0.309,0.5497,0.4293
19.3,0.2536,0.4541,0.6134,0.6418,0.4481,0.5449,0.8247,0.7988,0.8118,0.3007,0.5328,0.4168
19.4,0.2831,0.4402,0.6075,0.636,0.4314,0.5337,0.8136,0.7848,0.7992,0.2956,0.5163,0.406
19.5,0.3079,0.4265,0.6017,0.6292,0.4159,0.5226,0.7977,0.7682,0.783,0.2935,0.5,0.3967
19.6,0.3279,0.4134,0.5956,0.6225,0.4024,0.5124,0.7782,0.7497,0.7639,0.2944,0.4834,0.3889
