Time,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC,QBE Insurance - P Platers First Drive 15 TVC
4.7,0.3744,0.4357,0.4666,0.3904,0.2478,0.3191,0.4322,0.3476,0.3899,0.5188,0.5632,0.541
4.8,0.3487,0.4304,0.4514,0.3772,0.2426,0.3099,0.4259,0.3305,0.3782,0.5114,0.5627,0.5371
4.9,0.3179,0.4255,0.4368,0.3649,0.2412,0.3031,0.4203,0.3154,0.3679,0.5041,0.5591,0.5316
5,0.2815,0.4216,0.4232,0.3538,0.2435,0.2986,0.4157,0.3031,0.3594,0.497,0.5529,0.525
5.1,0.2387,0.4187,0.4109,0.3438,0.2491,0.2965,0.412,0.2938,0.3529,0.4905,0.5446,0.5176
5.2,0.1897,0.4168,0.4001,0.3346,0.2577,0.2962,0.4092,0.2875,0.3483,0.4852,0.5349,0.5101
5.3,0.1362,0.4155,0.3921,0.3265,0.269,0.2978,0.4074,0.2841,0.3458,0.4818,0.5244,0.5031
5.4,0.0802,0.4145,0.3878,0.3199,0.2828,0.3013,0.4067,0.2838,0.3452,0.4804,0.5133,0.4969
5.5,0.0229,0.4138,0.387,0.3146,0.2987,0.3067,0.4067,0.2863,0.3465,0.4806,0.5018,0.4912
5.6,-0.0354,0.4131,0.3889,0.3099,0.3164,0.3132,0.407,0.291,0.349,0.4818,0.4903,0.4861
5.7,-0.0939,0.4124,0.3925,0.3059,0.3353,0.3206,0.4074,0.2973,0.3523,0.4835,0.4792,0.4813
5.8,-0.152,0.4119,0.3974,0.3027,0.3552,0.3289,0.4079,0.3043,0.3561,0.4853,0.4682,0.4768
5.9,-0.2085,0.4118,0.403,0.3004,0.3756,0.338,0.4083,0.3108,0.3595,0.4866,0.4568,0.4717
6,-0.262,0.4124,0.4088,0.299,0.3959,0.3474,0.4081,0.3163,0.3622,0.4868,0.4442,0.4655
6.1,-0.3122,0.4136,0.4141,0.2984,0.4155,0.3569,0.4075,0.3207,0.3641,0.486,0.4305,0.4583
6.2,-0.359,0.4159,0.419,0.2986,0.4343,0.3665,0.4069,0.3245,0.3657,0.4848,0.4163,0.4506
6.3,-0.4025,0.42,0.4244,0.3003,0.453,0.3766,0.407,0.3287,0.3678,0.4837,0.4027,0.4432
6.4,-0.4421,0.4266,0.4307,0.3036,0.472,0.3878,0.4078,0.3334,0.3706,0.4826,0.3899,0.4363
6.5,-0.4782,0.4359,0.4379,0.3082,0.4912,0.3997,0.4085,0.338,0.3733,0.4815,0.3778,0.4296
6.6,-0.5112,0.4475,0.4455,0.3133,0.5102,0.4118,0.4085,0.3419,0.3752,0.4801,0.366,0.423
6.7,-0.5412,0.4609,0.4531,0.3186,0.5288,0.4237,0.4076,0.3451,0.3764,0.479,0.3548,0.4169
6.8,-0.5673,0.4761,0.4605,0.3241,0.5466,0.4354,0.4062,0.3483,0.3773,0.479,0.3448,0.4119
6.9,-0.5878,0.4927,0.4679,0.3301,0.5631,0.4466,0.4045,0.3523,0.3784,0.4803,0.3368,0.4085
7,-0.6019,0.5097,0.4755,0.336,0.5779,0.4569,0.4023,0.3572,0.3797,0.4828,0.3311,0.407
7.1,-0.6097,0.5262,0.4829,0.3409,0.5904,0.4657,0.3992,0.3626,0.3809,0.4859,0.328,0.407
7.2,-0.6118,0.5417,0.4896,0.3444,0.601,0.4727,0.3955,0.3688,0.3822,0.4891,0.3275,0.4083
7.3,-0.6076,0.5564,0.4954,0.3468,0.6097,0.4783,0.3918,0.3766,0.3842,0.4918,0.3297,0.4108
7.4,-0.596,0.5698,0.5,0.3486,0.6165,0.4826,0.3885,0.3865,0.3875,0.4938,0.3345,0.4142
7.5,-0.5767,0.5813,0.5036,0.35,0.6204,0.4852,0.3859,0.3984,0.3922,0.4947,0.3414,0.4181
7.6,-0.5515,0.59,0.5065,0.3507,0.621,0.4858,0.3845,0.4115,0.398,0.4947,0.3502,0.4225
7.7,-0.5221,0.5957,0.5094,0.3511,0.6181,0.4846,0.3847,0.4253,0.405,0.4946,0.3609,0.4277
7.8,-0.4893,0.5986,0.5132,0.3526,0.6122,0.4824,0.3868,0.4404,0.4136,0.4952,0.3737,0.4344
7.9,-0.4524,0.5992,0.519,0.3565,0.604,0.4802,0.3912,0.4572,0.4242,0.4972,0.389,0.4431
8,-0.411,0.5978,0.528,0.3636,0.594,0.4788,0.3979,0.476,0.437,0.5014,0.4073,0.4543
8.1,-0.3657,0.5948,0.541,0.3738,0.5828,0.4783,0.4072,0.4965,0.4519,0.5083,0.4288,0.4685
8.2,-0.3186,0.5915,0.5586,0.3871,0.5718,0.4794,0.4195,0.5184,0.469,0.5182,0.453,0.4856
8.3,-0.2723,0.5892,0.5807,0.4036,0.5624,0.483,0.4352,0.5413,0.4882,0.5308,0.4796,0.5052
8.4,-0.2287,0.5886,0.6068,0.423,0.5552,0.4891,0.4537,0.5645,0.5091,0.5458,0.5078,0.5268
8.5,-0.1886,0.59,0.6358,0.4447,0.5502,0.4975,0.4745,0.5864,0.5305,0.5629,0.5369,0.5499
8.6,-0.1519,0.5925,0.6663,0.4676,0.5459,0.5067,0.4966,0.6059,0.5512,0.5819,0.566,0.5739
8.7,-0.1179,0.5954,0.6966,0.4908,0.5408,0.5158,0.5195,0.622,0.5707,0.6023,0.5934,0.5979
8.8,-0.0864,0.5985,0.7244,0.5139,0.5342,0.5241,0.5434,0.6349,0.5892,0.6231,0.6171,0.6201
8.9,-0.0573,0.6019,0.7476,0.5366,0.5262,0.5314,0.5684,0.6451,0.6067,0.643,0.636,0.6395
9,-0.0301,0.6056,0.7658,0.5591,0.5175,0.5383,0.5937,0.6531,0.6234,0.6611,0.6495,0.6553
9.1,-0.0048,0.6097,0.7789,0.5814,0.5087,0.545,0.6188,0.6593,0.6391,0.6769,0.658,0.6675
9.2,0.0189,0.6143,0.7876,0.6034,0.4999,0.5517,0.643,0.6642,0.6536,0.6906,0.6624,0.6765
9.3,0.0414,0.6194,0.7922,0.6256,0.491,0.5583,0.6665,0.6686,0.6675,0.7024,0.6635,0.683
9.4,0.0632,0.6249,0.7931,0.6486,0.4821,0.5654,0.6899,0.6736,0.6817,0.7127,0.6621,0.6874
9.5,0.0836,0.6309,0.7906,0.6728,0.4733,0.573,0.7138,0.6798,0.6968,0.7215,0.6586,0.69
9.6,0.1023,0.637,0.7851,0.6975,0.465,0.5813,0.7378,0.6867,0.7123,0.728,0.6531,0.6905
9.7,0.1196,0.6427,0.7768,0.7217,0.4573,0.5895,0.7607,0.6929,0.7268,0.7317,0.6455,0.6886
9.8,0.1353,0.6477,0.7656,0.744,0.4497,0.5968,0.7811,0.6973,0.7392,0.7324,0.6358,0.6841
9.9,0.1489,0.6514,0.7518,0.7633,0.4421,0.6027,0.7983,0.6999,0.7491,0.7297,0.6244,0.6771
10,0.1599,0.6539,0.7361,0.7795,0.4342,0.6069,0.8117,0.7012,0.7565,0.7237,0.6123,0.668
10.1,0.1685,0.6551,0.7196,0.7924,0.4258,0.6091,0.8212,0.7013,0.7613,0.7144,0.6003,0.6574
10.2,0.1753,0.6552,0.7033,0.8015,0.4171,0.6093,0.8266,0.7,0.7633,0.7027,0.5893,0.646
10.3,0.1805,0.6544,0.6876,0.8061,0.4084,0.6072,0.8278,0.6968,0.7623,0.6892,0.5796,0.6344
10.4,0.1829,0.6535,0.6729,0.8052,0.4005,0.6029,0.8252,0.6916,0.7584,0.6742,0.5714,0.6228
10.5,0.1815,0.6531,0.6592,0.799,0.3944,0.5967,0.8188,0.6843,0.7516,0.6571,0.5641,0.6106
10.6,0.1762,0.6537,0.6466,0.7882,0.3915,0.5898,0.8084,0.6749,0.7416,0.6377,0.5568,0.5973
10.7,0.1674,0.6554,0.6349,0.7741,0.3925,0.5833,0.7941,0.6632,0.7287,0.6168,0.5494,0.5831
10.8,0.1557,0.6584,0.6241,0.7573,0.3976,0.5775,0.7762,0.6493,0.7128,0.596,0.5419,0.569
10.9,0.1412,0.6625,0.6143,0.7385,0.4057,0.5721,0.7555,0.6334,0.6944,0.5767,0.535,0.5559
11,0.1239,0.6676,0.6061,0.718,0.4157,0.5669,0.7328,0.6162,0.6745,0.5601,0.5288,0.5444
11.1,0.1045,0.674,0.6004,0.6968,0.4272,0.562,0.7092,0.5989,0.6541,0.5465,0.5238,0.5351
11.2,0.0839,0.6819,0.5981,0.6759,0.4408,0.5583,0.6854,0.5825,0.6339,0.5365,0.5203,0.5284
11.3,0.0624,0.6918,0.5989,0.6559,0.4574,0.5566,0.6621,0.5674,0.6147,0.5305,0.5185,0.5245
11.4,0.039,0.7039,0.6019,0.6374,0.4775,0.5575,0.6402,0.5536,0.5969,0.5288,0.5183,0.5235
11.5,0.0125,0.7185,0.6057,0.621,0.5012,0.5611,0.6203,0.5415,0.5809,0.53,0.5187,0.5244
11.6,-0.0176,0.7355,0.6095,0.6082,0.5279,0.568,0.6032,0.5315,0.5674,0.5326,0.519,0.5258
11.7,-0.05,0.7549,0.6126,0.6006,0.5573,0.5789,0.5894,0.5241,0.5567,0.5357,0.5186,0.5271
11.8,-0.0828,0.7763,0.6149,0.5996,0.5881,0.5938,0.5788,0.5195,0.5492,0.5391,0.5178,0.5284
11.9,-0.1126,0.7985,0.6164,0.6052,0.619,0.6121,0.5715,0.5176,0.5445,0.5433,0.5166,0.53
12,-0.1366,0.8203,0.6171,0.6174,0.6485,0.633,0.5673,0.5178,0.5425,0.5477,0.5152,0.5315
12.1,-0.1533,0.841,0.617,0.6358,0.6761,0.656,0.5664,0.5198,0.5431,0.5512,0.5134,0.5323
12.2,-0.164,0.8608,0.6161,0.6592,0.7019,0.6806,0.5684,0.5234,0.5459,0.5527,0.511,0.5318
12.3,-0.1708,0.8795,0.6148,0.6855,0.7256,0.7055,0.5726,0.5282,0.5504,0.5517,0.5084,0.53
12.4,-0.1749,0.8964,0.6137,0.712,0.7464,0.7292,0.5781,0.5335,0.5558,0.5484,0.5061,0.5272
12.5,-0.1768,0.9098,0.6124,0.7366,0.7632,0.7499,0.584,0.5384,0.5612,0.5431,0.5041,0.5236
12.6,-0.1761,0.9185,0.6102,0.758,0.7753,0.7666,0.5898,0.5421,0.5659,0.536,0.5019,0.519
12.7,-0.173,0.9222,0.6067,0.7754,0.7828,0.7791,0.5945,0.5437,0.5691,0.5268,0.499,0.5129
12.8,-0.1688,0.9218,0.6018,0.7881,0.7864,0.7873,0.5977,0.5428,0.5703,0.5153,0.4953,0.5053
12.9,-0.1645,0.9184,0.5954,0.7957,0.7871,0.7914,0.5985,0.539,0.5688,0.5014,0.4905,0.496
13,-0.1604,0.9124,0.5876,0.7986,0.7853,0.7919,0.5963,0.5321,0.5642,0.4848,0.4846,0.4847
13.1,-0.1564,0.9043,0.5791,0.7977,0.7813,0.7895,0.5909,0.5223,0.5566,0.4658,0.4777,0.4718
13.2,-0.1527,0.8944,0.5709,0.7943,0.7755,0.7849,0.5829,0.5108,0.5468,0.4448,0.4701,0.4575
13.3,-0.15,0.8832,0.564,0.7895,0.7681,0.7788,0.5723,0.4986,0.5354,0.422,0.4619,0.4419
13.4,-0.1491,0.8709,0.5583,0.7832,0.7593,0.7712,0.5589,0.4857,0.5223,0.3969,0.4527,0.4248
13.5,-0.151,0.8574,0.5533,0.7749,0.7493,0.7621,0.5424,0.4714,0.5069,0.3696,0.442,0.4058
13.6,-0.1566,0.8424,0.5484,0.7647,0.7387,0.7517,0.5231,0.4559,0.4895,0.3401,0.4297,0.3849
13.7,-0.1671,0.8259,0.5439,0.7536,0.7284,0.741,0.5018,0.44,0.4709,0.3087,0.4162,0.3625
13.8,-0.1823,0.8078,0.5406,0.7428,0.719,0.7309,0.4798,0.4251,0.4524,0.2756,0.4017,0.3386
13.9,-0.2013,0.7882,0.5385,0.7333,0.7105,0.7219,0.458,0.4122,0.4351,0.2408,0.386,0.3134
14,-0.2231,0.7667,0.5373,0.7258,0.7024,0.7141,0.4374,0.4016,0.4195,0.2053,0.3692,0.2873
14.1,-0.2475,0.7439,0.537,0.7205,0.6947,0.7076,0.4193,0.3933,0.4063,0.1701,0.3522,0.2611
14.2,-0.2758,0.7204,0.5376,0.7176,0.6878,0.7027,0.4057,0.3876,0.3967,0.136,0.3357,0.2358
14.3,-0.3091,0.6971,0.5395,0.7168,0.6827,0.6997,0.3985,0.3847,0.3916,0.1032,0.3203,0.2117
14.4,-0.3472,0.6741,0.5429,0.7181,0.6806,0.6994,0.3992,0.3851,0.3922,0.0715,0.3064,0.189
14.5,-0.3881,0.6519,0.5471,0.7222,0.683,0.7026,0.4088,0.3884,0.3986,0.0414,0.2944,0.1679
14.6,-0.429,0.6312,0.5509,0.7297,0.6904,0.71,0.4278,0.3935,0.4107,0.0139,0.2847,0.1493
14.7,-0.4675,0.6122,0.5525,0.7411,0.7009,0.721,0.4561,0.3993,0.4277,-0.0102,0.277,0.1334
14.8,-0.5018,0.595,0.5505,0.7565,0.7116,0.734,0.4922,0.4045,0.4484,-0.0308,0.2704,0.1198
14.9,-0.53,0.5792,0.5445,0.7759,0.7201,0.748,0.5331,0.408,0.4706,-0.0481,0.2642,0.1081
