Time,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh,Subway - Eat Fresh
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.2,-0.0853,0.5666,0.6132,0.4168,0.5439,0.4803,0.5484,0.5858,0.5671,0.6688,0.6732,0.671
7.3,-0.0677,0.57,0.6091,0.4248,0.5408,0.4828,0.5528,0.5897,0.5713,0.6715,0.6687,0.6701
7.4,-0.049,0.5744,0.6056,0.4352,0.5388,0.487,0.5572,0.5937,0.5755,0.6742,0.6638,0.669
7.5,-0.0307,0.5796,0.6031,0.448,0.538,0.493,0.5616,0.5979,0.5798,0.6769,0.6584,0.6676
7.6,-0.0144,0.5862,0.6024,0.4629,0.5387,0.5008,0.5662,0.6024,0.5843,0.6795,0.6527,0.6661
7.7,-0.0006,0.5941,0.6041,0.4794,0.5411,0.5102,0.571,0.6075,0.5893,0.6822,0.6471,0.6646
7.8,0.0111,0.6033,0.6086,0.497,0.5451,0.5211,0.5759,0.613,0.5945,0.6848,0.6419,0.6634
7.9,0.0217,0.6138,0.6154,0.5153,0.5504,0.5329,0.5808,0.6187,0.5998,0.6871,0.6376,0.6624
8,0.0321,0.6257,0.624,0.5338,0.5567,0.5453,0.586,0.6244,0.6052,0.689,0.6342,0.6616
8.1,0.0429,0.6388,0.6341,0.5524,0.5635,0.558,0.5913,0.6301,0.6107,0.6902,0.632,0.6611
8.2,0.0539,0.6531,0.6454,0.5704,0.5705,0.5705,0.5965,0.6357,0.6161,0.6909,0.6314,0.6611
8.3,0.065,0.6678,0.658,0.5874,0.5772,0.5823,0.6011,0.6412,0.6212,0.6913,0.6323,0.6618
8.4,0.0756,0.6824,0.6717,0.6028,0.5837,0.5933,0.6049,0.6463,0.6256,0.6913,0.635,0.6631
8.5,0.0855,0.6964,0.6863,0.6165,0.5902,0.6034,0.6078,0.6508,0.6293,0.691,0.6393,0.6651
8.6,0.0949,0.7099,0.7012,0.6282,0.5971,0.6127,0.61,0.6544,0.6322,0.6902,0.6451,0.6677
8.7,0.1041,0.7228,0.7161,0.6381,0.6046,0.6214,0.6117,0.6572,0.6344,0.6889,0.6522,0.6706
8.8,0.1127,0.7352,0.7307,0.6463,0.6127,0.6295,0.6128,0.6591,0.636,0.6869,0.6605,0.6737
8.9,0.1199,0.747,0.7446,0.6529,0.6216,0.6373,0.6133,0.6604,0.6369,0.6842,0.6695,0.6768
9,0.1249,0.7579,0.7575,0.6579,0.6314,0.6446,0.6132,0.6612,0.6372,0.6807,0.6787,0.6797
9.1,0.1273,0.7682,0.7695,0.6614,0.642,0.6517,0.6127,0.6617,0.6372,0.6769,0.6879,0.6824
9.2,0.1278,0.778,0.7807,0.6637,0.6532,0.6584,0.6121,0.6621,0.6371,0.673,0.6968,0.6849
9.3,0.127,0.7872,0.7911,0.6652,0.6644,0.6648,0.6114,0.6625,0.6369,0.6694,0.7056,0.6875
9.4,0.1246,0.7962,0.8006,0.6665,0.6759,0.6712,0.6108,0.663,0.6369,0.6665,0.7143,0.6904
9.5,0.1196,0.8052,0.8093,0.6679,0.6884,0.6781,0.6108,0.6642,0.6375,0.6645,0.723,0.6937
9.6,0.1118,0.814,0.8169,0.6693,0.7022,0.6857,0.6119,0.6662,0.6391,0.6636,0.7314,0.6975
9.7,0.1019,0.8221,0.8233,0.6701,0.7172,0.6936,0.6143,0.6692,0.6418,0.664,0.7392,0.7016
9.8,0.0912,0.8284,0.8281,0.6696,0.7325,0.7011,0.6178,0.6731,0.6455,0.6659,0.7462,0.7061
9.9,0.0808,0.832,0.8308,0.6671,0.7472,0.7071,0.6221,0.6775,0.6498,0.6696,0.7525,0.7111
10,0.0712,0.8323,0.8308,0.6622,0.7602,0.7112,0.6271,0.6821,0.6546,0.6753,0.7582,0.7167
10.1,0.062,0.8295,0.8279,0.6548,0.7713,0.7131,0.6328,0.6864,0.6596,0.6828,0.7632,0.723
10.2,0.0533,0.8242,0.8222,0.6455,0.7805,0.713,0.6394,0.6904,0.6649,0.6917,0.7672,0.7295
