Time,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC,Toyota - Toyota Hilux WorkMate 30 TVC
1.3,0.5826,0.6844,0.6836,0.834,0.6635,0.7488,0.5229,0.6667,0.5948,0.6438,0.7852,0.7145
1.4,0.5354,0.6761,0.6748,0.7845,0.6472,0.7158,0.5246,0.6681,0.5964,0.6555,0.7955,0.7255
1.5,0.487,0.6671,0.6638,0.7319,0.6303,0.6811,0.5261,0.6673,0.5967,0.6633,0.8017,0.7325
1.6,0.4403,0.6573,0.6519,0.6796,0.6133,0.6464,0.5268,0.6644,0.5956,0.6671,0.8047,0.7359
1.7,0.3973,0.6468,0.6401,0.6303,0.5964,0.6134,0.5268,0.6595,0.5931,0.667,0.8049,0.736
1.8,0.3589,0.6359,0.6291,0.5856,0.5804,0.583,0.526,0.653,0.5895,0.6634,0.8026,0.733
1.9,0.3262,0.6245,0.6195,0.5459,0.5661,0.556,0.5248,0.6456,0.5852,0.6572,0.7978,0.7275
2,0.3001,0.6127,0.6113,0.5109,0.5535,0.5322,0.5234,0.6379,0.5806,0.6492,0.7907,0.72
2.1,0.2806,0.6002,0.6049,0.4801,0.5426,0.5113,0.5215,0.6302,0.5759,0.6398,0.7818,0.7108
2.2,0.2673,0.5868,0.6005,0.4523,0.533,0.4926,0.5188,0.6224,0.5706,0.629,0.7715,0.7003
2.3,0.2586,0.572,0.598,0.4263,0.5244,0.4754,0.5152,0.6144,0.5648,0.6171,0.7606,0.6888
2.4,0.2526,0.556,0.5971,0.4014,0.5167,0.459,0.5108,0.606,0.5584,0.604,0.7496,0.6768
2.5,0.2484,0.5393,0.5974,0.3772,0.5094,0.4433,0.5059,0.5971,0.5515,0.5901,0.7389,0.6645
2.6,0.2454,0.5229,0.5989,0.3537,0.5026,0.4281,0.5011,0.5878,0.5444,0.5758,0.729,0.6524
2.7,0.2435,0.5077,0.6022,0.3311,0.4962,0.4137,0.497,0.5784,0.5377,0.5618,0.7206,0.6412
2.8,0.2422,0.4944,0.6076,0.31,0.4904,0.4002,0.4942,0.5693,0.5318,0.5488,0.7137,0.6312
2.9,0.2418,0.4835,0.6155,0.2907,0.4857,0.3882,0.4932,0.5607,0.527,0.5372,0.708,0.6226
3,0.242,0.4751,0.6255,0.2732,0.4823,0.3778,0.4945,0.5529,0.5237,0.5273,0.7035,0.6154
3.1,0.2423,0.4689,0.637,0.2581,0.4802,0.3691,0.4982,0.5458,0.522,0.5191,0.7,0.6096
3.2,0.2413,0.4644,0.6493,0.2455,0.4789,0.3622,0.5044,0.5394,0.5219,0.5127,0.6975,0.6051
3.3,0.2374,0.4605,0.6618,0.2356,0.4777,0.3566,0.5125,0.5335,0.523,0.5081,0.696,0.6021
3.4,0.2291,0.4564,0.6733,0.2273,0.4757,0.3515,0.5217,0.5282,0.5249,0.5055,0.6953,0.6004
3.5,0.2152,0.4514,0.6828,0.2195,0.4723,0.3459,0.5308,0.5233,0.527,0.5049,0.6954,0.6002
3.6,0.1958,0.4458,0.6892,0.212,0.4678,0.3399,0.5391,0.5189,0.529,0.5063,0.6964,0.6013
3.7,0.172,0.4403,0.6922,0.2053,0.4625,0.3339,0.5464,0.515,0.5307,0.5093,0.698,0.6036
3.8,0.145,0.4353,0.6916,0.2004,0.4568,0.3286,0.5526,0.5117,0.5321,0.5132,0.6997,0.6064
3.9,0.1154,0.4311,0.6873,0.1977,0.4506,0.3241,0.5575,0.5089,0.5332,0.5171,0.7007,0.6089
4,0.0831,0.4276,0.6797,0.1963,0.4436,0.32,0.561,0.5068,0.5339,0.5201,0.7004,0.6103
4.1,0.0484,0.4241,0.6688,0.1957,0.4357,0.3157,0.5625,0.5057,0.5341,0.5222,0.6988,0.6105
4.2,0.0125,0.42,0.655,0.1955,0.4264,0.311,0.5613,0.5056,0.5334,0.5231,0.6961,0.6096
4.3,-0.0236,0.4143,0.6386,0.1957,0.4153,0.3055,0.5566,0.5065,0.5316,0.5228,0.6927,0.6078
4.4,-0.0595,0.406,0.6205,0.1963,0.4022,0.2993,0.5478,0.5082,0.528,0.5211,0.689,0.6051
4.5,-0.0954,0.395,0.6015,0.197,0.3875,0.2922,0.5351,0.5108,0.523,0.5179,0.6849,0.6014
4.6,-0.1304,0.382,0.5824,0.1978,0.3715,0.2846,0.5185,0.5148,0.5166,0.5125,0.6799,0.5962
4.7,-0.1614,0.3678,0.5633,0.1989,0.3548,0.2769,0.4981,0.5204,0.5092,0.5047,0.6738,0.5892
4.8,-0.1852,0.3532,0.5442,0.2005,0.3379,0.2692,0.4736,0.5277,0.5006,0.494,0.666,0.58
4.9,-0.2,0.3384,0.5248,0.2024,0.3212,0.2618,0.4448,0.5362,0.4905,0.4798,0.6562,0.568
5,-0.2056,0.3233,0.505,0.2045,0.3048,0.2546,0.4126,0.5457,0.4792,0.4618,0.6441,0.553
5.1,-0.2029,0.3085,0.485,0.2066,0.2891,0.2479,0.3791,0.5563,0.4677,0.4409,0.63,0.5354
5.2,-0.1935,0.2949,0.4656,0.2093,0.2752,0.2422,0.3471,0.5686,0.4579,0.4187,0.6146,0.5167
5.3,-0.1789,0.2836,0.4479,0.2136,0.2641,0.2389,0.3194,0.5834,0.4514,0.3972,0.5988,0.498
5.4,-0.1612,0.2754,0.4332,0.2205,0.2564,0.2385,0.2972,0.6008,0.449,0.3769,0.5838,0.4804
5.5,-0.1415,0.2701,0.4219,0.2307,0.2523,0.2415,0.2805,0.6199,0.4502,0.3576,0.5709,0.4642
5.6,-0.1203,0.2677,0.4144,0.2444,0.2515,0.2479,0.2693,0.6391,0.4542,0.3388,0.5609,0.4499
5.7,-0.0987,0.2677,0.4109,0.2617,0.2541,0.2579,0.2637,0.6576,0.4606,0.3207,0.554,0.4373
5.8,-0.0766,0.2704,0.4117,0.2829,0.2598,0.2713,0.2639,0.6749,0.4694,0.3038,0.5495,0.4266
5.9,-0.0535,0.276,0.4169,0.308,0.2686,0.2883,0.2705,0.6905,0.4805,0.2889,0.5471,0.418
6,-0.0288,0.2845,0.4262,0.3368,0.2806,0.3087,0.2836,0.7038,0.4937,0.2773,0.5466,0.4119
6.1,-0.0028,0.2954,0.4393,0.3679,0.2954,0.3317,0.3026,0.7141,0.5084,0.27,0.5478,0.4089
6.2,0.0248,0.3074,0.4549,0.3994,0.3127,0.356,0.3257,0.721,0.5233,0.2672,0.5502,0.4087
6.3,0.0533,0.3189,0.4719,0.4287,0.3313,0.38,0.3505,0.7243,0.5374,0.2685,0.5535,0.411
6.4,0.0817,0.3276,0.4889,0.4539,0.3498,0.4019,0.3752,0.7241,0.5497,0.2736,0.5575,0.4155
6.5,0.1087,0.3318,0.5055,0.4739,0.3672,0.4205,0.3994,0.7212,0.5603,0.2827,0.562,0.4223
6.6,0.1332,0.3311,0.5209,0.4888,0.3825,0.4356,0.4235,0.7161,0.5698,0.2958,0.5671,0.4314
6.7,0.1544,0.3262,0.5348,0.4991,0.3955,0.4473,0.4473,0.7096,0.5784,0.3126,0.5725,0.4426
6.8,0.1717,0.3197,0.5467,0.5051,0.4066,0.4558,0.4702,0.7021,0.5861,0.3323,0.5776,0.4549
6.9,0.1847,0.3136,0.5565,0.5072,0.4164,0.4618,0.492,0.6938,0.5929,0.3537,0.582,0.4679
7,0.1928,0.3087,0.5645,0.5064,0.4247,0.4655,0.5134,0.6849,0.5992,0.3759,0.5858,0.4808
7.1,0.1948,0.3054,0.5716,0.5036,0.4312,0.4674,0.5357,0.6756,0.6056,0.3985,0.5889,0.4937
7.2,0.1903,0.3037,0.5783,0.4995,0.4353,0.4674,0.5594,0.6662,0.6128,0.4216,0.5917,0.5067
7.3,0.1803,0.3038,0.5849,0.4947,0.4365,0.4656,0.5845,0.6573,0.6209,0.4448,0.5943,0.5196
7.4,0.1663,0.3055,0.5922,0.4901,0.4352,0.4627,0.6102,0.6492,0.6297,0.4679,0.597,0.5324
7.5,0.1497,0.3089,0.6003,0.487,0.4327,0.4599,0.6354,0.642,0.6387,0.4903,0.6003,0.5453
7.6,0.1304,0.3143,0.6092,0.486,0.4304,0.4582,0.6595,0.6357,0.6476,0.5116,0.6042,0.5579
7.7,0.1081,0.3221,0.6184,0.4874,0.4289,0.4581,0.6818,0.6302,0.656,0.5308,0.6084,0.5696
7.8,0.0818,0.333,0.6273,0.4911,0.4288,0.46,0.7018,0.6255,0.6637,0.5473,0.6123,0.5798
7.9,0.0517,0.3476,0.6354,0.4978,0.4303,0.464,0.7188,0.6219,0.6704,0.5607,0.6156,0.5882
8,0.0182,0.366,0.6426,0.5086,0.433,0.4708,0.7322,0.6196,0.6759,0.5715,0.6183,0.5949
8.1,-0.0176,0.3872,0.6488,0.5243,0.4369,0.4806,0.7413,0.6182,0.6798,0.5798,0.6208,0.6003
8.2,-0.0544,0.4096,0.6539,0.5455,0.4413,0.4934,0.7455,0.6176,0.6815,0.5858,0.6228,0.6043
8.3,-0.0915,0.4318,0.658,0.5716,0.446,0.5088,0.7445,0.6175,0.681,0.5896,0.6242,0.6069
8.4,-0.128,0.4528,0.6618,0.6016,0.4512,0.5264,0.7392,0.6184,0.6788,0.5917,0.6245,0.6081
8.5,-0.1637,0.4717,0.666,0.634,0.457,0.5455,0.7305,0.6205,0.6755,0.5931,0.6239,0.6085
8.6,-0.1969,0.4877,0.6715,0.667,0.4633,0.5651,0.7188,0.6235,0.6711,0.5943,0.6226,0.6084
8.7,-0.2258,0.4999,0.6783,0.6978,0.4694,0.5836,0.7039,0.6273,0.6656,0.5946,0.6204,0.6075
8.8,-0.2488,0.5078,0.6859,0.7242,0.4746,0.5994,0.6859,0.6319,0.6589,0.5932,0.6174,0.6053
8.9,-0.2652,0.5113,0.6949,0.7453,0.479,0.6121,0.6655,0.6375,0.6515,0.5892,0.614,0.6016
9,-0.2748,0.5115,0.7057,0.7614,0.4832,0.6223,0.6443,0.6449,0.6446,0.5829,0.6109,0.5969
9.1,-0.2775,0.5098,0.7187,0.7733,0.488,0.6306,0.6243,0.6552,0.6397,0.5748,0.6086,0.5917
9.2,-0.2726,0.5064,0.7335,0.7814,0.4934,0.6374,0.6072,0.6686,0.6379,0.5652,0.6072,0.5862
9.3,-0.2593,0.5009,0.7494,0.786,0.5003,0.6432,0.5945,0.6857,0.6401,0.5542,0.6068,0.5805
9.4,-0.2374,0.4928,0.7664,0.7877,0.5098,0.6488,0.5868,0.7076,0.6472,0.5415,0.6081,0.5748
9.5,-0.2063,0.4821,0.7855,0.7871,0.5232,0.6552,0.5846,0.7355,0.66,0.5268,0.6119,0.5694
9.6,-0.165,0.4692,0.807,0.7848,0.5412,0.663,0.5878,0.7698,0.6788,0.5104,0.6199,0.5651
9.7,-0.1135,0.4544,0.8305,0.781,0.5635,0.6722,0.5958,0.8101,0.703,0.4931,0.6328,0.563
9.8,-0.0514,0.4383,0.8547,0.7757,0.5898,0.6828,0.6087,0.8544,0.7315,0.4763,0.6508,0.5636
9.9,0.0219,0.4214,0.8779,0.7693,0.6194,0.6943,0.6264,0.9001,0.7633,0.4617,0.6737,0.5677
10,0.1061,0.4051,0.8992,0.7623,0.6515,0.7069,0.6482,0.9451,0.7967,0.4509,0.701,0.5759
10.1,0.1991,0.3909,0.918,0.7548,0.6855,0.7202,0.6718,0.9872,0.8295,0.4447,0.732,0.5884
10.2,0.2974,0.3798,0.9342,0.7463,0.7199,0.7331,0.694,1.0238,0.8589,0.4431,0.7661,0.6046
10.3,0.3961,0.3714,0.9476,0.7361,0.7532,0.7447,0.712,1.0522,0.8821,0.4457,0.8021,0.6239
10.4,0.4909,0.3651,0.9581,0.7248,0.7839,0.7544,0.7241,1.071,0.8975,0.4532,0.8389,0.646
10.5,0.5772,0.3608,0.9658,0.7144,0.8121,0.7632,0.7289,1.0802,0.9046,0.4677,0.8753,0.6715
10.6,0.6508,0.3584,0.9707,0.7065,0.8378,0.7721,0.725,1.081,0.903,0.49,0.9101,0.7
10.7,0.7088,0.3571,0.973,0.7013,0.8604,0.7809,0.7115,1.0745,0.893,0.5184,0.9424,0.7304
10.8,0.7499,0.3556,0.9732,0.6977,0.8785,0.7881,0.6898,1.0619,0.8758,0.5504,0.9717,0.761
10.9,0.7738,0.3531,0.9715,0.6932,0.8905,0.7919,0.6624,1.044,0.8532,0.5843,0.9972,0.7907
11,0.7814,0.3498,0.9685,0.6863,0.8955,0.7909,0.6323,1.0218,0.8271,0.6194,1.0185,0.819
11.1,0.7732,0.3467,0.9647,0.677,0.8932,0.7851,0.6021,0.9969,0.7995,0.6557,1.0353,0.8455
11.2,0.749,0.344,0.9609,0.6666,0.8843,0.7754,0.5733,0.9706,0.772,0.692,1.0476,0.8698
11.3,0.7097,0.3414,0.9572,0.6561,0.87,0.763,0.5471,0.9439,0.7455,0.7269,1.0558,0.8913
11.4,0.6586,0.3379,0.9539,0.6461,0.8513,0.7487,0.5239,0.9174,0.7206,0.7588,1.0599,0.9093
11.5,0.6003,0.3325,0.951,0.6364,0.8289,0.7327,0.5038,0.891,0.6974,0.7866,1.06,0.9233
11.6,0.5384,0.3253,0.9481,0.6272,0.8037,0.7155,0.4866,0.8647,0.6756,0.8095,1.0561,0.9328
11.7,0.4748,0.3164,0.9451,0.62,0.777,0.6985,0.4727,0.8388,0.6558,0.8276,1.0485,0.938
11.8,0.4093,0.3066,0.9423,0.6166,0.7503,0.6834,0.4625,0.814,0.6382,0.8408,1.0376,0.9392
11.9,0.3419,0.2968,0.9391,0.6186,0.725,0.6718,0.4561,0.7904,0.6232,0.8487,1.0236,0.9362
12,0.2735,0.2888,0.9354,0.6275,0.702,0.6647,0.4538,0.7683,0.6111,0.851,1.0069,0.9289
12.1,0.2051,0.2845,0.931,0.6444,0.6821,0.6632,0.4558,0.7481,0.602,0.8481,0.9878,0.9179
12.2,0.1358,0.2859,0.9259,0.6706,0.6659,0.6682,0.4621,0.7299,0.596,0.8414,0.9669,0.9042
12.3,0.064,0.2949,0.9195,0.7065,0.6544,0.6805,0.4726,0.7131,0.5929,0.8326,0.9445,0.8885
12.4,-0.0102,0.313,0.9109,0.7516,0.6486,0.7001,0.4877,0.6977,0.5927,0.8228,0.9202,0.8715
12.5,-0.0846,0.3407,0.899,0.8039,0.6495,0.7267,0.5074,0.6832,0.5953,0.8129,0.8936,0.8532
12.6,-0.1546,0.3771,0.884,0.8609,0.6577,0.7593,0.5303,0.6696,0.5999,0.803,0.8648,0.8339
12.7,-0.2156,0.421,0.8664,0.9198,0.6731,0.7965,0.5543,0.6571,0.6057,0.7931,0.8349,0.814
12.8,-0.2627,0.4701,0.8475,0.9773,0.695,0.8362,0.5771,0.6462,0.6116,0.7841,0.8053,0.7947
12.9,-0.2919,0.5221,0.8283,1.0291,0.7217,0.8754,0.5969,0.6368,0.6169,0.7772,0.778,0.7776
13,-0.3011,0.5742,0.8096,1.071,0.7503,0.9107,0.6133,0.6293,0.6213,0.7731,0.7542,0.7637
13.1,-0.2907,0.6238,0.7921,1.1001,0.7783,0.9392,0.6261,0.6239,0.625,0.7718,0.7344,0.7531
13.2,-0.263,0.6685,0.7764,1.1146,0.8028,0.9587,0.6352,0.621,0.6281,0.772,0.7182,0.7451
13.3,-0.2219,0.7069,0.7627,1.1145,0.8219,0.9682,0.6406,0.6204,0.6305,0.7725,0.7052,0.7388
13.4,-0.1716,0.738,0.7516,1.1008,0.8346,0.9677,0.6424,0.6218,0.6321,0.772,0.6954,0.7337
13.5,-0.1163,0.7614,0.7428,1.0755,0.8412,0.9583,0.6408,0.6249,0.6329,0.77,0.6886,0.7293
13.6,-0.0596,0.7773,0.7361,1.0408,0.842,0.9414,0.6361,0.6293,0.6327,0.7661,0.6847,0.7254
13.7,-0.0049,0.7865,0.7314,0.9991,0.8376,0.9183,0.6283,0.6348,0.6316,0.7606,0.6834,0.722
13.8,0.0461,0.7898,0.7283,0.9529,0.8282,0.8906,0.6175,0.6408,0.6292,0.754,0.6848,0.7194
13.9,0.0927,0.7877,0.7267,0.9043,0.8136,0.859,0.6044,0.6469,0.6257,0.7469,0.6895,0.7182
14,0.1344,0.7809,0.7261,0.854,0.7935,0.8237,0.5899,0.6525,0.6212,0.7389,0.6976,0.7182
14.1,0.1717,0.7704,0.7261,0.8029,0.768,0.7854,0.5749,0.6575,0.6162,0.7295,0.7084,0.7189
14.2,0.2046,0.7571,0.7266,0.7529,0.7384,0.7456,0.5601,0.662,0.611,0.718,0.7209,0.7194
14.3,0.2328,0.7422,0.7276,0.7057,0.7065,0.7061,0.5453,0.6663,0.6058,0.704,0.7342,0.7191
14.4,0.2568,0.7264,0.7292,0.6627,0.6742,0.6684,0.5304,0.6703,0.6004,0.6879,0.7478,0.7179
14.5,0.2778,0.7101,0.7311,0.6249,0.6429,0.6339,0.5155,0.6736,0.5946,0.6697,0.7613,0.7155
14.6,0.298,0.6933,0.7327,0.5931,0.6138,0.6034,0.5006,0.6758,0.5882,0.6495,0.7738,0.7116
14.7,0.3192,0.6765,0.7336,0.5679,0.5875,0.5777,0.4856,0.6765,0.5811,0.6275,0.7843,0.7059
14.8,0.343,0.6606,0.7333,0.5497,0.5646,0.5571,0.4709,0.6755,0.5732,0.6043,0.7926,0.6985
14.9,0.3695,0.6468,0.732,0.5382,0.5453,0.5417,0.4571,0.6729,0.565,0.5808,0.7988,0.6898
15,0.397,0.6363,0.7302,0.5329,0.5298,0.5313,0.4447,0.669,0.5569,0.558,0.803,0.6805
15.1,0.4233,0.6303,0.7284,0.5332,0.5187,0.526,0.4341,0.6648,0.5494,0.5364,0.8053,0.6709
15.2,0.4464,0.6289,0.727,0.5383,0.5124,0.5254,0.4255,0.6607,0.5431,0.5169,0.8059,0.6614
15.3,0.4655,0.6322,0.7257,0.5467,0.5105,0.5286,0.4193,0.657,0.5381,0.5003,0.8042,0.6523
15.4,0.4801,0.6397,0.7238,0.5564,0.5116,0.534,0.4156,0.6533,0.5344,0.4872,0.8001,0.6437
15.5,0.4891,0.6505,0.721,0.5651,0.5153,0.5402,0.414,0.6489,0.5314,0.4776,0.7933,0.6355
15.6,0.4913,0.6639,0.717,0.5716,0.521,0.5463,0.4134,0.6434,0.5284,0.4709,0.7833,0.6271
15.7,0.4863,0.679,0.7118,0.5756,0.5286,0.5521,0.4136,0.6371,0.5254,0.466,0.7702,0.6181
15.8,0.4751,0.6946,0.7054,0.5774,0.5378,0.5576,0.415,0.6306,0.5228,0.4625,0.7539,0.6082
15.9,0.4601,0.7094,0.6978,0.5775,0.5473,0.5624,0.4179,0.6246,0.5212,0.4598,0.735,0.5974
16,0.443,0.7224,0.6889,0.5767,0.5552,0.566,0.4218,0.6195,0.5206,0.4572,0.7144,0.5858
16.1,0.425,0.7321,0.6782,0.5755,0.5602,0.5679,0.4259,0.6155,0.5207,0.454,0.6929,0.5735
16.2,0.4061,0.7378,0.6653,0.5742,0.5619,0.568,0.4294,0.6127,0.5211,0.4502,0.6712,0.5607
16.3,0.385,0.7393,0.6504,0.5725,0.5604,0.5664,0.4324,0.6113,0.5218,0.4455,0.6502,0.5478
16.4,0.3607,0.7369,0.6341,0.5703,0.5558,0.563,0.4351,0.6115,0.5233,0.4393,0.6302,0.5348
16.5,0.3339,0.7309,0.6174,0.5679,0.5482,0.5581,0.4376,0.6134,0.5255,0.4317,0.6116,0.5217
16.6,0.3066,0.7216,0.6014,0.5658,0.5378,0.5518,0.4395,0.6164,0.528,0.4232,0.5949,0.509
16.7,0.2816,0.7096,0.5868,0.5649,0.5257,0.5453,0.4406,0.6202,0.5304,0.415,0.5808,0.4979
16.8,0.2604,0.6955,0.5744,0.5652,0.5136,0.5394,0.4409,0.6249,0.5329,0.4087,0.5703,0.4895
16.9,0.2433,0.68,0.565,0.5663,0.5036,0.535,0.4406,0.6315,0.5361,0.4049,0.5639,0.4844
17,0.2302,0.6639,0.5586,0.5675,0.4965,0.532,0.4398,0.6402,0.54,0.4036,0.562,0.4828
17.1,0.2211,0.648,0.5557,0.5686,0.4927,0.5307,0.4387,0.651,0.5449,0.4044,0.5646,0.4845
17.2,0.2163,0.6329,0.5566,0.5699,0.4931,0.5315,0.4385,0.6637,0.5511,0.4077,0.5722,0.49
17.3,0.2166,0.6189,0.5621,0.5715,0.4982,0.5348,0.4406,0.6782,0.5594,0.4147,0.585,0.4999
17.4,0.2223,0.6061,0.5724,0.5733,0.508,0.5407,0.4457,0.6945,0.5701,0.4259,0.6025,0.5142
17.5,0.233,0.5947,0.5868,0.5751,0.5225,0.5488,0.4538,0.7121,0.5829,0.4407,0.623,0.5319
17.6,0.248,0.5852,0.6041,0.5769,0.5403,0.5586,0.4643,0.7295,0.5969,0.4579,0.6448,0.5513
17.7,0.2663,0.5777,0.6227,0.5784,0.5608,0.5696,0.4768,0.7452,0.611,0.4768,0.6666,0.5717
17.8,0.2874,0.5724,0.6409,0.5795,0.5832,0.5814,0.4911,0.7583,0.6247,0.4973,0.6878,0.5926
17.9,0.3111,0.569,0.6569,0.5797,0.6068,0.5932,0.5066,0.7686,0.6376,0.5191,0.7073,0.6132
18,0.3376,0.5671,0.6691,0.5786,0.6294,0.604,0.5225,0.7763,0.6494,0.5411,0.7241,0.6326
18.1,0.3665,0.5666,0.677,0.5756,0.6488,0.6122,0.5384,0.7818,0.6601,0.5627,0.7379,0.6503
18.2,0.3969,0.5671,0.681,0.5707,0.6626,0.6167,0.5533,0.7854,0.6694,0.5826,0.7485,0.6656
18.3,0.4277,0.5684,0.6813,0.5634,0.6698,0.6166,0.5665,0.7871,0.6768,0.6,0.755,0.6775
18.4,0.4577,0.5704,0.6779,0.5538,0.6706,0.6122,0.5775,0.7866,0.6821,0.614,0.7566,0.6853
18.5,0.4867,0.5731,0.6705,0.5426,0.6663,0.6044,0.5859,0.7838,0.6849,0.624,0.7524,0.6882
18.6,0.5142,0.5766,0.6596,0.5307,0.6579,0.5943,0.592,0.7789,0.6855,0.63,0.7425,0.6863
18.7,0.5392,0.5812,0.6458,0.5184,0.6462,0.5823,0.5963,0.7722,0.6842,0.6321,0.7274,0.6797
18.8,0.5599,0.5867,0.6302,0.5051,0.6314,0.5683,0.5993,0.7636,0.6814,0.6296,0.7073,0.6685
18.9,0.5744,0.5926,0.6132,0.4903,0.6141,0.5522,0.6006,0.7537,0.6772,0.6216,0.6819,0.6518
19,0.5811,0.5982,0.5953,0.4741,0.595,0.5345,0.6002,0.7433,0.6718,0.6077,0.651,0.6293
19.1,0.5792,0.6028,0.5774,0.4573,0.575,0.5162,0.5984,0.7334,0.6659,0.5887,0.6159,0.6023
19.2,0.568,0.6063,0.561,0.4405,0.5549,0.4977,0.5958,0.725,0.6604,0.5663,0.5797,0.573
19.3,0.5463,0.6085,0.548,0.4235,0.5348,0.4792,0.5929,0.7182,0.6555,0.5419,0.5451,0.5435
19.4,0.5135,0.6094,0.5395,0.4055,0.5145,0.46,0.5894,0.7125,0.651,0.5165,0.5136,0.5151
19.5,0.4692,0.6087,0.536,0.3857,0.4943,0.44,0.5852,0.7071,0.6462,0.4911,0.4863,0.4887
19.6,0.4133,0.6062,0.5378,0.3641,0.475,0.4196,0.5806,0.7022,0.6414,0.467,0.4641,0.4656
19.7,0.3457,0.602,0.5453,0.3413,0.4576,0.3995,0.5767,0.698,0.6373,0.4459,0.4479,0.4469
19.8,0.2675,0.5963,0.558,0.3176,0.4429,0.3803,0.5744,0.6948,0.6346,0.4291,0.4383,0.4337
19.9,0.1818,0.5886,0.5745,0.2939,0.4314,0.3626,0.5741,0.6922,0.6331,0.4174,0.4343,0.4258
20,0.0928,0.5788,0.5929,0.2707,0.423,0.3469,0.5758,0.6903,0.633,0.4109,0.4347,0.4228
20.1,0.004,0.5671,0.6119,0.2491,0.418,0.3335,0.5795,0.6899,0.6347,0.4093,0.4387,0.424
20.2,-0.0818,0.5551,0.6308,0.2308,0.4165,0.3236,0.5854,0.6919,0.6386,0.4122,0.4459,0.429
20.3,-0.1618,0.5442,0.6487,0.2174,0.4184,0.3179,0.5935,0.6961,0.6448,0.4185,0.4554,0.4369
20.4,-0.2327,0.536,0.6647,0.2105,0.4235,0.317,0.6033,0.7017,0.6525,0.4273,0.4667,0.447
20.5,-0.2926,0.531,0.6781,0.2115,0.4315,0.3215,0.6146,0.7077,0.6612,0.4379,0.4792,0.4586
20.6,-0.3407,0.5295,0.6888,0.2204,0.4418,0.3311,0.6271,0.7136,0.6704,0.4502,0.4926,0.4714
20.7,-0.3769,0.5314,0.697,0.2363,0.4532,0.3448,0.6405,0.7192,0.6799,0.4639,0.5067,0.4853
20.8,-0.4016,0.5363,0.7029,0.2576,0.4647,0.3611,0.6545,0.7243,0.6894,0.4785,0.5211,0.4998
20.9,-0.4158,0.5437,0.7064,0.2827,0.4753,0.379,0.6685,0.7289,0.6987,0.4925,0.5351,0.5138
21,-0.42,0.5526,0.707,0.3101,0.4844,0.3973,0.6816,0.7328,0.7072,0.505,0.5482,0.5266
