Time,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC,Samsung Galaxy Note10 TVC
2.3,0.002,0.6092,0.6733,0.4418,0.5772,0.5095,0.6107,0.7154,0.6631,0.6134,0.5356,0.5745
2.4,-0.0035,0.6285,0.6577,0.4379,0.5804,0.5092,0.6128,0.7145,0.6637,0.618,0.5375,0.5777
2.5,-0.0042,0.649,0.6444,0.4375,0.5835,0.5105,0.6162,0.7138,0.665,0.6225,0.5417,0.5821
2.6,0,0.6706,0.6335,0.4408,0.5864,0.5136,0.6201,0.7132,0.6667,0.6267,0.5474,0.587
2.7,0.0084,0.6925,0.6251,0.4477,0.5891,0.5184,0.6241,0.7128,0.6685,0.6307,0.5541,0.5924
2.8,0.0196,0.7145,0.6199,0.4581,0.5917,0.5249,0.6279,0.7131,0.6705,0.6347,0.5616,0.5982
2.9,0.0323,0.7359,0.6183,0.4721,0.5946,0.5333,0.6315,0.7144,0.673,0.6387,0.5701,0.6044
3,0.0453,0.7565,0.6198,0.4898,0.5981,0.544,0.6355,0.7165,0.676,0.6425,0.5796,0.611
3.1,0.0577,0.776,0.6238,0.5116,0.6028,0.5572,0.6401,0.7189,0.6795,0.6459,0.5894,0.6176
3.2,0.0685,0.794,0.6299,0.5374,0.6094,0.5734,0.6456,0.7216,0.6836,0.6488,0.5988,0.6238
3.3,0.0766,0.8101,0.638,0.5669,0.6187,0.5928,0.6522,0.7248,0.6885,0.6511,0.6074,0.6292
3.4,0.0812,0.8241,0.6484,0.5994,0.631,0.6152,0.6602,0.7291,0.6947,0.6534,0.6154,0.6344
3.5,0.0819,0.8359,0.6611,0.6339,0.6459,0.6399,0.6704,0.7346,0.7025,0.6562,0.6237,0.6399
3.6,0.079,0.8453,0.6756,0.6689,0.6626,0.6658,0.6828,0.7411,0.712,0.6599,0.633,0.6465
3.7,0.0729,0.8514,0.6908,0.7026,0.6797,0.6912,0.6973,0.7478,0.7225,0.6644,0.6436,0.654
3.8,0.0632,0.8532,0.7052,0.7327,0.696,0.7143,0.7126,0.7542,0.7334,0.6687,0.6548,0.6618
3.9,0.0488,0.8496,0.7182,0.757,0.7106,0.7338,0.7274,0.76,0.7437,0.6719,0.6655,0.6687
4,0.0297,0.8403,0.7294,0.7742,0.7233,0.7488,0.741,0.765,0.753,0.6733,0.6747,0.674
4.1,0.007,0.8256,0.7386,0.7832,0.7339,0.7585,0.7523,0.7687,0.7605,0.6722,0.6816,0.6769
4.2,-0.0168,0.8057,0.745,0.7834,0.7415,0.7625,0.7602,0.7698,0.765,0.6684,0.6857,0.6771
4.3,-0.0399,0.781,0.7477,0.7742,0.7454,0.7598,0.7634,0.7673,0.7653,0.6617,0.6864,0.674
4.4,-0.0617,0.7519,0.7463,0.7558,0.7448,0.7503,0.7604,0.7607,0.7606,0.6522,0.6832,0.6677
4.5,-0.0813,0.7197,0.7409,0.7296,0.7395,0.7346,0.7512,0.7505,0.7509,0.6407,0.6766,0.6587
4.6,-0.0974,0.6863,0.7323,0.6981,0.7302,0.7141,0.7367,0.7373,0.737,0.6281,0.6676,0.6478
4.7,-0.108,0.6536,0.7212,0.6636,0.7179,0.6908,0.7184,0.7217,0.72,0.6148,0.6569,0.6358
4.8,-0.1126,0.623,0.7082,0.6285,0.704,0.6662,0.6976,0.704,0.7008,0.6011,0.6451,0.6231
4.9,-0.1113,0.5956,0.6939,0.5943,0.6893,0.6418,0.6757,0.6846,0.6801,0.5873,0.6329,0.6101
5,-0.1053,0.5719,0.6794,0.5619,0.6749,0.6184,0.6535,0.6642,0.6589,0.5737,0.6212,0.5975
5.1,-0.0954,0.5524,0.6652,0.5318,0.6609,0.5964,0.6315,0.6439,0.6377,0.561,0.6107,0.5858
5.2,-0.0815,0.5374,0.652,0.5045,0.6475,0.576,0.6101,0.6241,0.6171,0.5494,0.6014,0.5754
5.3,-0.0635,0.5271,0.6399,0.4803,0.6344,0.5573,0.5895,0.6056,0.5975,0.5388,0.5932,0.566
5.4,-0.0424,0.5213,0.629,0.4591,0.6219,0.5405,0.5696,0.5884,0.579,0.5285,0.5851,0.5568
5.5,-0.0198,0.5197,0.6193,0.4404,0.61,0.5252,0.5503,0.5728,0.5615,0.5173,0.5763,0.5468
5.6,0.0028,0.5218,0.6109,0.4236,0.5988,0.5112,0.5322,0.5585,0.5453,0.5044,0.566,0.5352
5.7,0.0249,0.5268,0.6035,0.408,0.5879,0.4979,0.5154,0.5452,0.5303,0.4895,0.5535,0.5215
5.8,0.0462,0.5335,0.5968,0.393,0.5766,0.4848,0.5001,0.5321,0.5161,0.4721,0.538,0.505
5.9,0.0649,0.5407,0.5904,0.3781,0.5648,0.4714,0.4856,0.5183,0.5019,0.4524,0.5186,0.4855
6,0.0783,0.5475,0.5843,0.3627,0.5525,0.4576,0.4716,0.5036,0.4876,0.4311,0.4953,0.4632
6.1,0.0843,0.5539,0.5789,0.3466,0.5406,0.4436,0.4582,0.4886,0.4734,0.409,0.4691,0.4391
6.2,0.0825,0.5599,0.5745,0.3302,0.5296,0.4299,0.4463,0.4738,0.46,0.3875,0.4415,0.4145
6.3,0.0742,0.5654,0.5711,0.3138,0.5194,0.4166,0.4365,0.4592,0.4479,0.3672,0.4136,0.3904
6.4,0.0613,0.5702,0.5688,0.298,0.5097,0.4038,0.4292,0.4449,0.437,0.3489,0.3865,0.3677
6.5,0.0446,0.5739,0.5676,0.2831,0.5004,0.3918,0.4241,0.4315,0.4278,0.3334,0.3611,0.3473
6.6,0.0246,0.5766,0.5683,0.2701,0.492,0.381,0.421,0.4197,0.4204,0.3217,0.3388,0.3303
6.7,0.002,0.5786,0.571,0.2598,0.4847,0.3723,0.4198,0.4103,0.415,0.3145,0.3211,0.3178
6.8,-0.0213,0.5797,0.5755,0.2531,0.4783,0.3657,0.4204,0.4032,0.4118,0.3118,0.3085,0.3101
6.9,-0.0433,0.5794,0.5804,0.25,0.4724,0.3612,0.4224,0.398,0.4102,0.3131,0.301,0.307
7,-0.0619,0.5777,0.5845,0.2502,0.4667,0.3585,0.4255,0.3943,0.4099,0.3177,0.2982,0.3079
7.1,-0.0762,0.5747,0.5876,0.2536,0.4619,0.3578,0.4295,0.3924,0.4109,0.3256,0.3001,0.3129
7.2,-0.0857,0.5714,0.5905,0.2602,0.459,0.3596,0.4351,0.3926,0.4139,0.3374,0.3071,0.3223
7.3,-0.0901,0.5684,0.5939,0.2699,0.4584,0.3642,0.4429,0.3952,0.419,0.3533,0.3193,0.3363
7.4,-0.0888,0.5655,0.5978,0.2821,0.46,0.371,0.4533,0.3994,0.4263,0.3729,0.3361,0.3545
7.5,-0.0821,0.5622,0.6013,0.2958,0.4629,0.3793,0.466,0.4046,0.4353,0.3951,0.3565,0.3758
7.6,-0.071,0.5583,0.6039,0.3107,0.4664,0.3886,0.4805,0.4105,0.4455,0.4189,0.3795,0.3992
7.7,-0.0569,0.5541,0.6052,0.327,0.4706,0.3988,0.4962,0.4172,0.4567,0.4434,0.4044,0.4239
7.8,-0.0407,0.5504,0.606,0.3456,0.4757,0.4106,0.5129,0.4252,0.469,0.4682,0.4306,0.4494
7.9,-0.0229,0.5483,0.6069,0.3672,0.4823,0.4247,0.5311,0.4349,0.483,0.493,0.4577,0.4754
8,-0.0033,0.5482,0.6081,0.3917,0.4907,0.4412,0.5511,0.4463,0.4987,0.5172,0.4853,0.5013
8.1,0.018,0.5503,0.6094,0.4183,0.5006,0.4595,0.5727,0.4593,0.516,0.5404,0.5125,0.5265
8.2,0.0405,0.5544,0.6107,0.446,0.5113,0.4787,0.5955,0.4737,0.5346,0.5619,0.5388,0.5503
8.3,0.0632,0.5603,0.6121,0.474,0.522,0.498,0.6187,0.4891,0.5539,0.5814,0.5636,0.5725
8.4,0.0856,0.5675,0.614,0.5015,0.5315,0.5165,0.642,0.5054,0.5737,0.5992,0.5868,0.593
8.5,0.1081,0.5754,0.6165,0.5277,0.5391,0.5334,0.6648,0.5219,0.5934,0.6153,0.6081,0.6117
8.6,0.1313,0.5833,0.6196,0.5518,0.5443,0.548,0.6868,0.5386,0.6127,0.6298,0.6269,0.6284
8.7,0.1547,0.5909,0.6236,0.5734,0.5476,0.5605,0.7077,0.5552,0.6315,0.6427,0.643,0.6428
8.8,0.1767,0.5986,0.6284,0.5929,0.5504,0.5717,0.7277,0.5716,0.6496,0.6538,0.6559,0.6548
8.9,0.1966,0.6066,0.6342,0.6108,0.5535,0.5822,0.7471,0.5872,0.6671,0.6629,0.6653,0.6641
9,0.2147,0.615,0.6407,0.6275,0.5574,0.5924,0.7659,0.6015,0.6837,0.6702,0.6712,0.6707
9.1,0.2315,0.6239,0.6476,0.6431,0.5621,0.6026,0.7837,0.614,0.6989,0.676,0.6741,0.6751
9.2,0.2463,0.6333,0.655,0.6579,0.5683,0.6131,0.7998,0.6251,0.7125,0.6812,0.6749,0.678
9.3,0.2573,0.6437,0.6632,0.6725,0.5765,0.6245,0.8139,0.6358,0.7248,0.6862,0.6748,0.6805
9.4,0.2634,0.6556,0.6729,0.6872,0.588,0.6376,0.8263,0.6471,0.7367,0.6921,0.6749,0.6835
9.5,0.2648,0.6698,0.6842,0.702,0.6035,0.6528,0.8379,0.6598,0.7488,0.699,0.6758,0.6874
9.6,0.2636,0.6862,0.6971,0.7169,0.6228,0.6698,0.8488,0.6739,0.7613,0.7069,0.6778,0.6924
9.7,0.2616,0.7042,0.711,0.7317,0.6447,0.6882,0.8588,0.6886,0.7737,0.715,0.6809,0.6979
9.8,0.2592,0.7233,0.7258,0.746,0.6685,0.7072,0.8673,0.7032,0.7852,0.7229,0.685,0.7039
9.9,0.2553,0.7423,0.741,0.7592,0.6931,0.7262,0.8737,0.717,0.7954,0.73,0.6899,0.71
10,0.249,0.7599,0.7561,0.7709,0.7176,0.7443,0.8778,0.7298,0.8038,0.7359,0.695,0.7154
10.1,0.2412,0.7751,0.7702,0.7805,0.7409,0.7607,0.8795,0.7413,0.8104,0.7403,0.6994,0.7198
10.2,0.2335,0.7873,0.7824,0.7872,0.762,0.7746,0.879,0.7513,0.8151,0.7435,0.7025,0.723
10.3,0.2271,0.7967,0.7919,0.7908,0.7802,0.7855,0.8762,0.7593,0.8178,0.7458,0.7047,0.7253
10.4,0.2226,0.8037,0.7986,0.7915,0.7949,0.7932,0.8714,0.7652,0.8183,0.7475,0.7061,0.7268
10.5,0.2203,0.808,0.8025,0.7894,0.8053,0.7974,0.8647,0.7684,0.8165,0.7487,0.7067,0.7277
10.6,0.2206,0.8085,0.8041,0.7845,0.8101,0.7973,0.856,0.7686,0.8123,0.7492,0.7058,0.7275
10.7,0.2243,0.804,0.8033,0.7764,0.8079,0.7922,0.8451,0.7657,0.8054,0.7483,0.7026,0.7255
10.8,0.2313,0.7945,0.8007,0.7651,0.7983,0.7817,0.832,0.7597,0.7958,0.7458,0.6968,0.7213
10.9,0.2409,0.7812,0.7963,0.7511,0.7819,0.7665,0.8166,0.751,0.7838,0.7415,0.6885,0.715
11,0.2522,0.7656,0.7907,0.7352,0.7597,0.7474,0.799,0.7398,0.7694,0.7359,0.6783,0.7071
11.1,0.265,0.7488,0.784,0.7178,0.733,0.7254,0.7796,0.7263,0.7529,0.7294,0.6666,0.698
11.2,0.2792,0.7315,0.7767,0.6992,0.7036,0.7014,0.7589,0.7108,0.7349,0.7225,0.6532,0.6879
11.3,0.2937,0.7141,0.7692,0.6794,0.6734,0.6764,0.7375,0.6942,0.7159,0.7154,0.6387,0.677
11.4,0.3068,0.6977,0.7617,0.6585,0.6441,0.6513,0.7159,0.6775,0.6967,0.7082,0.6235,0.6658
11.5,0.3171,0.6829,0.7542,0.6367,0.6166,0.6267,0.6941,0.6612,0.6777,0.7006,0.6084,0.6545
11.6,0.3243,0.6704,0.7464,0.6146,0.5912,0.6029,0.6721,0.6458,0.6589,0.6926,0.5941,0.6433
11.7,0.3298,0.6603,0.7387,0.5929,0.5679,0.5804,0.65,0.6313,0.6407,0.6844,0.5809,0.6327
11.8,0.3353,0.6531,0.7313,0.5724,0.5471,0.5597,0.6284,0.6184,0.6234,0.6766,0.5696,0.6231
11.9,0.3414,0.6489,0.7244,0.5535,0.5297,0.5416,0.6083,0.6079,0.6081,0.6696,0.5606,0.6151
12,0.347,0.648,0.7179,0.5367,0.5167,0.5267,0.5907,0.6004,0.5956,0.6633,0.5544,0.6089
12.1,0.3504,0.6501,0.7121,0.5226,0.5088,0.5157,0.5765,0.5964,0.5865,0.6577,0.5511,0.6044
12.2,0.3503,0.6554,0.7071,0.5114,0.5062,0.5088,0.566,0.5956,0.5808,0.6523,0.5507,0.6015
12.3,0.3468,0.6638,0.7032,0.5027,0.5092,0.506,0.5592,0.598,0.5786,0.6473,0.5531,0.6002
12.4,0.3406,0.6752,0.7012,0.4963,0.5177,0.507,0.5558,0.6033,0.5796,0.6432,0.5586,0.6009
12.5,0.3329,0.689,0.7013,0.4922,0.5314,0.5118,0.5561,0.6117,0.5839,0.6404,0.5674,0.6039
12.6,0.3254,0.7042,0.7036,0.4908,0.5489,0.5199,0.5601,0.6224,0.5912,0.6387,0.5793,0.609
12.7,0.3198,0.7197,0.7071,0.4926,0.5683,0.5305,0.5679,0.6344,0.6012,0.6382,0.5935,0.6158
12.8,0.3177,0.7346,0.7113,0.4978,0.588,0.5429,0.5792,0.6462,0.6127,0.6386,0.6092,0.6239
12.9,0.3199,0.7487,0.7153,0.5061,0.6067,0.5564,0.5932,0.6562,0.6247,0.6402,0.6257,0.6329
13,0.3264,0.7618,0.7185,0.5172,0.6231,0.5702,0.6085,0.6635,0.636,0.6428,0.642,0.6424
13.1,0.3367,0.7729,0.7202,0.5305,0.6358,0.5832,0.6241,0.6675,0.6458,0.6459,0.6574,0.6517
13.2,0.3492,0.781,0.7199,0.5453,0.6441,0.5947,0.6388,0.6682,0.6535,0.6493,0.6713,0.6603
13.3,0.3623,0.7852,0.7177,0.5608,0.648,0.6044,0.6514,0.6661,0.6588,0.6529,0.6832,0.6681
13.4,0.3747,0.7855,0.714,0.5764,0.6483,0.6124,0.6616,0.6617,0.6617,0.6571,0.6932,0.6751
13.5,0.3859,0.7825,0.7094,0.5918,0.6462,0.619,0.6693,0.6558,0.6626,0.6623,0.7016,0.682
13.6,0.3952,0.7769,0.7042,0.6067,0.6421,0.6244,0.6749,0.649,0.662,0.669,0.7091,0.6891
13.7,0.402,0.7688,0.6986,0.6206,0.6363,0.6284,0.6786,0.6417,0.6602,0.6772,0.7157,0.6965
13.8,0.4054,0.7582,0.6927,0.6326,0.629,0.6308,0.6805,0.6344,0.6574,0.6866,0.721,0.7038
13.9,0.4047,0.7455,0.6868,0.6422,0.6212,0.6317,0.6803,0.6272,0.6538,0.6968,0.7242,0.7105
14,0.3994,0.7315,0.6809,0.6491,0.6147,0.6319,0.6785,0.6202,0.6493,0.7073,0.7249,0.7161
14.1,0.3892,0.7176,0.6749,0.6535,0.611,0.6322,0.6754,0.6138,0.6446,0.7176,0.7229,0.7203
14.2,0.374,0.7046,0.6687,0.6557,0.6109,0.6333,0.672,0.6082,0.6401,0.7274,0.7185,0.723
14.3,0.3535,0.693,0.6622,0.6556,0.6146,0.6351,0.6687,0.6037,0.6362,0.7362,0.712,0.7241
14.4,0.3281,0.6829,0.6554,0.6529,0.6219,0.6374,0.666,0.6007,0.6333,0.7438,0.7036,0.7237
14.5,0.298,0.6745,0.6492,0.6479,0.6328,0.6403,0.664,0.6,0.632,0.7501,0.6937,0.7219
14.6,0.2635,0.6682,0.6443,0.6411,0.6476,0.6444,0.6635,0.6024,0.633,0.7548,0.6829,0.7189
14.7,0.2245,0.6643,0.641,0.6337,0.6665,0.6501,0.6651,0.6082,0.6366,0.7578,0.6719,0.7148
14.8,0.1821,0.6631,0.6395,0.6263,0.6886,0.6574,0.6687,0.6172,0.6429,0.7588,0.6613,0.71
14.9,0.138,0.6643,0.6398,0.6197,0.713,0.6663,0.6741,0.6289,0.6515,0.7578,0.6516,0.7047
15,0.0944,0.6676,0.6424,0.6146,0.7386,0.6766,0.6808,0.6427,0.6618,0.7549,0.6432,0.699
15.1,0.053,0.6727,0.6479,0.6115,0.7644,0.688,0.6884,0.6581,0.6733,0.7503,0.6365,0.6934
15.2,0.0148,0.6787,0.6565,0.6105,0.7891,0.6998,0.6965,0.6744,0.6854,0.7443,0.6316,0.688
15.3,-0.0199,0.6847,0.6675,0.6113,0.8108,0.711,0.7048,0.6903,0.6976,0.7367,0.6282,0.6825
15.4,-0.0505,0.6898,0.6801,0.6133,0.8284,0.7209,0.7128,0.7048,0.7088,0.7271,0.6262,0.6766
15.5,-0.0761,0.6935,0.6935,0.6164,0.841,0.7287,0.7193,0.7169,0.7181,0.7153,0.6249,0.6701
15.6,-0.0953,0.6958,0.7074,0.6202,0.848,0.7341,0.7234,0.7262,0.7248,0.7014,0.6241,0.6628
15.7,-0.1072,0.6965,0.7216,0.6245,0.8493,0.7369,0.7247,0.7324,0.7286,0.6856,0.6235,0.6546
15.8,-0.1116,0.6955,0.7358,0.629,0.8449,0.737,0.7234,0.7359,0.7296,0.6681,0.6232,0.6457
15.9,-0.1098,0.6926,0.7494,0.6333,0.8351,0.7342,0.7198,0.7366,0.7282,0.6496,0.6235,0.6365
16,-0.1036,0.688,0.7619,0.637,0.821,0.729,0.7146,0.7351,0.7249,0.6306,0.6245,0.6275
16.1,-0.0949,0.6827,0.7733,0.6397,0.804,0.7218,0.7083,0.7318,0.7201,0.612,0.6264,0.6192
16.2,-0.0849,0.6772,0.7834,0.6411,0.7855,0.7133,0.701,0.7273,0.7142,0.5948,0.6292,0.612
16.3,-0.0738,0.6719,0.7923,0.6408,0.7661,0.7035,0.6928,0.7222,0.7075,0.5798,0.6329,0.6063
16.4,-0.0612,0.6666,0.7997,0.6384,0.7464,0.6924,0.6839,0.7169,0.7004,0.5677,0.6375,0.6026
16.5,-0.0468,0.6614,0.8058,0.6341,0.7271,0.6806,0.6749,0.7122,0.6936,0.5589,0.6433,0.6011
16.6,-0.0299,0.6566,0.8111,0.629,0.7092,0.6691,0.667,0.7086,0.6878,0.5542,0.6505,0.6023
16.7,-0.0107,0.6528,0.8163,0.6245,0.6934,0.659,0.6612,0.7062,0.6837,0.5537,0.6591,0.6064
16.8,0.0107,0.6505,0.8212,0.622,0.6798,0.6509,0.6584,0.7052,0.6818,0.5576,0.6689,0.6132
16.9,0.0339,0.6496,0.8251,0.6219,0.6679,0.6449,0.6586,0.7048,0.6817,0.565,0.6792,0.6221
17,0.058,0.6497,0.8271,0.6242,0.6573,0.6408,0.6609,0.7042,0.6826,0.5751,0.6891,0.6321
17.1,0.0816,0.6505,0.8265,0.6288,0.6478,0.6383,0.6645,0.7029,0.6837,0.5868,0.6976,0.6422
17.2,0.1031,0.6519,0.8234,0.6356,0.6395,0.6376,0.6687,0.7005,0.6846,0.5993,0.7041,0.6517
17.3,0.1209,0.6536,0.8182,0.6445,0.6326,0.6385,0.6738,0.6971,0.6855,0.6121,0.7088,0.6605
17.4,0.1342,0.6554,0.8112,0.6551,0.6266,0.6408,0.68,0.6929,0.6865,0.625,0.7123,0.6687
17.5,0.1436,0.6571,0.8025,0.6671,0.6206,0.6439,0.6874,0.6882,0.6878,0.6377,0.7154,0.6765
17.6,0.1502,0.6588,0.792,0.6803,0.6136,0.647,0.6957,0.6829,0.6893,0.6495,0.7179,0.6837
17.7,0.1551,0.6612,0.7797,0.6945,0.6055,0.65,0.7045,0.677,0.6907,0.6599,0.7194,0.6896
17.8,0.1588,0.6645,0.7661,0.7098,0.5967,0.6533,0.7133,0.6706,0.6919,0.6683,0.7193,0.6938
17.9,0.1615,0.6689,0.7515,0.7262,0.5876,0.6569,0.7221,0.6638,0.6929,0.6746,0.7174,0.696
18,0.1632,0.6745,0.736,0.7435,0.5786,0.6611,0.7308,0.6569,0.6938,0.6788,0.7138,0.6963
18.1,0.164,0.6813,0.7196,0.7613,0.5697,0.6655,0.7393,0.6494,0.6943,0.6809,0.709,0.695
18.2,0.1632,0.6892,0.7028,0.7791,0.5608,0.6699,0.7472,0.6412,0.6942,0.681,0.7032,0.6921
18.3,0.1601,0.6979,0.6863,0.7955,0.5524,0.6739,0.7539,0.6327,0.6933,0.6789,0.6969,0.6879
18.4,0.1543,0.7063,0.6712,0.809,0.5443,0.6766,0.7592,0.6242,0.6917,0.6747,0.69,0.6823
18.5,0.1464,0.713,0.658,0.8176,0.5359,0.6767,0.7625,0.6161,0.6893,0.6681,0.6827,0.6754
18.6,0.1379,0.7168,0.6467,0.8193,0.5268,0.673,0.7632,0.6085,0.6858,0.6591,0.675,0.6671
18.7,0.1293,0.717,0.6374,0.813,0.5172,0.6651,0.7608,0.6018,0.6813,0.6477,0.6674,0.6576
18.8,0.1204,0.7135,0.6309,0.7986,0.5077,0.6532,0.7553,0.5964,0.6759,0.6345,0.6604,0.6474
18.9,0.1109,0.7066,0.6287,0.777,0.499,0.638,0.7469,0.5931,0.67,0.6203,0.6545,0.6374
19,0.1006,0.6964,0.6313,0.7496,0.4913,0.6205,0.7362,0.5923,0.6642,0.6062,0.6502,0.6282
19.1,0.0894,0.6833,0.6387,0.7182,0.4851,0.6016,0.7239,0.5938,0.6589,0.5931,0.648,0.6206
19.2,0.0769,0.6681,0.6495,0.6845,0.4808,0.5826,0.7107,0.597,0.6538,0.5816,0.6477,0.6147
19.3,0.0628,0.6515,0.6629,0.6498,0.4788,0.5643,0.6972,0.601,0.6491,0.5722,0.6489,0.6106
19.4,0.0474,0.6338,0.6782,0.6152,0.4789,0.547,0.6837,0.6053,0.6445,0.5651,0.6515,0.6083
19.5,0.0319,0.6153,0.6948,0.5816,0.4808,0.5312,0.6705,0.6101,0.6403,0.5605,0.6553,0.6079
19.6,0.0174,0.5967,0.7119,0.5506,0.484,0.5173,0.6577,0.615,0.6363,0.5581,0.6599,0.609
19.7,0.0044,0.5789,0.7288,0.5236,0.4885,0.506,0.6455,0.6199,0.6327,0.5575,0.6652,0.6113
19.8,-0.0075,0.563,0.7454,0.502,0.4951,0.4986,0.6347,0.6246,0.6296,0.558,0.6711,0.6146
19.9,-0.0192,0.5497,0.7619,0.4861,0.5046,0.4953,0.6256,0.6299,0.6277,0.5592,0.6774,0.6183
20,-0.0317,0.5389,0.7782,0.4753,0.517,0.4961,0.6184,0.6361,0.6272,0.5608,0.6841,0.6224
20.1,-0.0455,0.53,0.7942,0.4689,0.5315,0.5002,0.6125,0.6436,0.6281,0.563,0.691,0.627
20.2,-0.0598,0.5226,0.8092,0.4663,0.5471,0.5067,0.6075,0.6524,0.6299,0.5659,0.6982,0.632
20.3,-0.0738,0.5172,0.8229,0.4669,0.5631,0.515,0.6027,0.6625,0.6326,0.5696,0.7053,0.6374
20.4,-0.0864,0.5142,0.8359,0.4704,0.5789,0.5246,0.5983,0.6739,0.6361,0.5741,0.7119,0.643
20.5,-0.0968,0.514,0.8483,0.4762,0.5938,0.535,0.5947,0.6867,0.6407,0.5794,0.7179,0.6486
20.6,-0.104,0.5161,0.8602,0.4837,0.6073,0.5455,0.5926,0.7006,0.6466,0.5857,0.7233,0.6545
20.7,-0.1075,0.5202,0.8711,0.4923,0.6186,0.5554,0.5922,0.7152,0.6537,0.5932,0.7283,0.6608
20.8,-0.107,0.5259,0.8803,0.5017,0.6272,0.5644,0.5932,0.7294,0.6613,0.6017,0.7326,0.6671
20.9,-0.1028,0.5326,0.8873,0.5113,0.6329,0.5721,0.5949,0.7425,0.6687,0.6109,0.7354,0.6732
21,-0.0966,0.5395,0.8919,0.5201,0.6358,0.578,0.5965,0.754,0.6752,0.6205,0.7364,0.6784
21.1,-0.0903,0.5454,0.8939,0.5272,0.6363,0.5818,0.5974,0.7635,0.6804,0.6302,0.7354,0.6828
21.2,-0.0854,0.5496,0.8931,0.5317,0.6345,0.5831,0.5972,0.7703,0.6838,0.6399,0.733,0.6864
21.3,-0.0832,0.5515,0.8897,0.5333,0.6305,0.5819,0.5962,0.7737,0.685,0.6493,0.7297,0.6895
