Time,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC,Harvey Norman - Surface Pro 8 30 TVC
3.1,0.0188,0.6794,0.8879,0.6384,0.9182,0.7783,0.7597,0.5908,0.6752,0.8441,0.5746,0.7093
3.2,0.0399,0.6916,0.8861,0.6487,0.9354,0.792,0.7477,0.5896,0.6686,0.8548,0.557,0.7059
3.3,0.0553,0.705,0.8804,0.6572,0.9512,0.8042,0.7342,0.5874,0.6608,0.8656,0.5409,0.7032
3.4,0.0652,0.7192,0.8717,0.6637,0.9646,0.8142,0.72,0.5844,0.6522,0.8752,0.5265,0.7009
3.5,0.0708,0.7342,0.8605,0.6683,0.9749,0.8216,0.7056,0.581,0.6433,0.8826,0.5146,0.6986
3.6,0.0739,0.7504,0.8472,0.6719,0.9817,0.8268,0.6912,0.5775,0.6344,0.8873,0.5058,0.6966
3.7,0.0765,0.7677,0.8319,0.6757,0.985,0.8303,0.6764,0.5738,0.6251,0.8889,0.5008,0.6948
3.8,0.0799,0.7859,0.8151,0.6803,0.9847,0.8325,0.6608,0.5698,0.6153,0.8866,0.5,0.6933
3.9,0.085,0.8045,0.7972,0.6861,0.9806,0.8333,0.6441,0.5659,0.605,0.8797,0.5035,0.6916
4,0.0919,0.8233,0.7789,0.6932,0.9731,0.8332,0.6267,0.5622,0.5945,0.8674,0.5112,0.6893
4.1,0.1004,0.8422,0.7605,0.7022,0.9632,0.8327,0.6091,0.559,0.5841,0.8504,0.5226,0.6865
4.2,0.1097,0.8613,0.7419,0.7136,0.9517,0.8327,0.592,0.5559,0.574,0.8295,0.5375,0.6835
4.3,0.1184,0.8804,0.7234,0.7273,0.9394,0.8333,0.5762,0.5529,0.5646,0.806,0.555,0.6805
4.4,0.1255,0.8993,0.7049,0.7424,0.9265,0.8345,0.5625,0.5502,0.5563,0.7807,0.5743,0.6775
4.5,0.1305,0.9179,0.6867,0.7574,0.9143,0.8358,0.5517,0.5481,0.5499,0.7542,0.5937,0.6739
4.6,0.1326,0.936,0.6687,0.7713,0.9041,0.8377,0.5445,0.5466,0.5456,0.7275,0.6119,0.6697
4.7,0.1309,0.9531,0.6509,0.7837,0.8975,0.8406,0.5412,0.5452,0.5432,0.7022,0.6282,0.6652
4.8,0.1244,0.9685,0.6333,0.7943,0.8951,0.8447,0.5414,0.5429,0.5422,0.6795,0.642,0.6608
4.9,0.1133,0.9814,0.6166,0.8026,0.8975,0.8501,0.5443,0.5395,0.5419,0.6601,0.6534,0.6567
5,0.0989,0.9917,0.6009,0.8092,0.9052,0.8572,0.5492,0.5346,0.5419,0.6439,0.6621,0.653
5.1,0.0832,0.9997,0.5857,0.8147,0.9181,0.8664,0.5558,0.5282,0.542,0.6305,0.668,0.6492
5.2,0.0682,1.0055,0.5704,0.8199,0.935,0.8775,0.5639,0.5201,0.542,0.6193,0.6711,0.6452
5.3,0.0549,1.008,0.555,0.8245,0.9537,0.8891,0.573,0.5103,0.5417,0.6101,0.6716,0.6409
5.4,0.0431,1.0058,0.5397,0.8275,0.9717,0.8996,0.5823,0.4993,0.5408,0.6025,0.6704,0.6364
5.5,0.0321,0.9978,0.5251,0.8276,0.987,0.9073,0.591,0.4878,0.5394,0.596,0.668,0.632
5.6,0.022,0.9845,0.5113,0.8242,0.9985,0.9114,0.5986,0.4768,0.5377,0.5904,0.6649,0.6276
5.7,0.0127,0.9667,0.4983,0.818,1.0061,0.912,0.6047,0.4671,0.5359,0.5855,0.6614,0.6235
5.8,0.0033,0.9451,0.4859,0.8091,1.0101,0.9096,0.6094,0.4588,0.5341,0.5814,0.6583,0.6198
5.9,-0.0089,0.9199,0.474,0.7975,1.0108,0.9042,0.6123,0.4517,0.532,0.5779,0.6562,0.617
6,-0.0266,0.8911,0.463,0.7826,1.009,0.8958,0.6132,0.446,0.5296,0.5748,0.655,0.6149
6.1,-0.0505,0.8591,0.4533,0.7648,1.0055,0.8852,0.6118,0.4422,0.527,0.5718,0.6545,0.6132
6.2,-0.0787,0.8249,0.4457,0.7451,1.0011,0.8731,0.6079,0.4411,0.5245,0.569,0.6548,0.6119
6.3,-0.1082,0.7896,0.4402,0.7246,0.9957,0.8601,0.6016,0.4432,0.5224,0.5663,0.656,0.6111
6.4,-0.1369,0.7541,0.4373,0.7039,0.9886,0.8462,0.5934,0.4485,0.521,0.5639,0.6581,0.611
6.5,-0.164,0.7183,0.4376,0.6826,0.9791,0.8308,0.5832,0.457,0.5201,0.5617,0.6609,0.6113
6.6,-0.1902,0.682,0.442,0.6596,0.9668,0.8132,0.5714,0.4685,0.5199,0.5596,0.6635,0.6116
6.7,-0.2165,0.6453,0.4508,0.6338,0.9519,0.7929,0.5586,0.4827,0.5207,0.5577,0.6651,0.6114
6.8,-0.2439,0.6091,0.4631,0.6053,0.935,0.7701,0.5458,0.4989,0.5223,0.5561,0.6647,0.6104
6.9,-0.2731,0.5748,0.4774,0.5745,0.9172,0.7458,0.5335,0.5159,0.5247,0.5556,0.6614,0.6085
7,-0.3056,0.5441,0.4923,0.5426,0.8998,0.7212,0.522,0.5327,0.5274,0.557,0.6541,0.6056
7.1,-0.3425,0.5182,0.5072,0.5106,0.8847,0.6976,0.5118,0.549,0.5304,0.5607,0.6424,0.6016
7.2,-0.3846,0.4981,0.5218,0.4789,0.8736,0.6763,0.5037,0.5649,0.5343,0.5671,0.6262,0.5967
7.3,-0.4318,0.4844,0.5351,0.4478,0.8682,0.658,0.4988,0.5803,0.5396,0.5763,0.6059,0.5911
7.4,-0.4833,0.4777,0.5461,0.418,0.8694,0.6437,0.4983,0.5943,0.5463,0.5887,0.5826,0.5857
7.5,-0.538,0.4781,0.5538,0.3901,0.8775,0.6338,0.5027,0.6055,0.5541,0.6045,0.5576,0.5811
7.6,-0.5931,0.4855,0.5582,0.3647,0.8917,0.6282,0.5119,0.6134,0.5627,0.6233,0.5324,0.5778
7.7,-0.6441,0.4984,0.5596,0.3418,0.9101,0.626,0.5253,0.6178,0.5715,0.644,0.5083,0.5761
7.8,-0.6854,0.515,0.5583,0.3218,0.9306,0.6262,0.5421,0.6184,0.5803,0.6656,0.4872,0.5764
7.9,-0.7124,0.5331,0.5546,0.3051,0.9508,0.6279,0.5614,0.615,0.5882,0.6871,0.471,0.5791
8,-0.7228,0.551,0.5492,0.2921,0.9686,0.6303,0.5818,0.6074,0.5946,0.7079,0.4616,0.5847
8.1,-0.7171,0.5676,0.5432,0.2832,0.9825,0.6328,0.6016,0.5956,0.5986,0.7272,0.4598,0.5935
8.2,-0.6966,0.5825,0.5373,0.2781,0.9917,0.6349,0.6194,0.5805,0.5999,0.7439,0.4651,0.6045
8.3,-0.6625,0.5954,0.5322,0.276,0.996,0.636,0.6345,0.5635,0.599,0.7562,0.4761,0.6161
8.4,-0.616,0.6062,0.5287,0.2763,0.9945,0.6354,0.6466,0.5457,0.5961,0.7631,0.4912,0.6271
8.5,-0.5592,0.6141,0.5272,0.2785,0.9861,0.6323,0.6551,0.5276,0.5914,0.7649,0.5094,0.6372
8.6,-0.495,0.6188,0.5288,0.2825,0.9702,0.6263,0.6592,0.5097,0.5844,0.7629,0.5302,0.6466
8.7,-0.4259,0.6201,0.534,0.2881,0.9464,0.6172,0.6582,0.4923,0.5753,0.7585,0.5531,0.6558
8.8,-0.3536,0.6182,0.5426,0.2951,0.9154,0.6052,0.6527,0.4765,0.5646,0.7525,0.5771,0.6648
8.9,-0.2794,0.6137,0.5539,0.3034,0.8787,0.5911,0.6438,0.4633,0.5535,0.7456,0.6012,0.6734
9,-0.2052,0.6071,0.5673,0.3131,0.8384,0.5757,0.633,0.4532,0.5431,0.7385,0.6247,0.6816
9.1,-0.1335,0.5981,0.5822,0.3238,0.7961,0.56,0.6212,0.4462,0.5337,0.7316,0.6476,0.6896
9.2,-0.067,0.5861,0.5983,0.3351,0.7528,0.544,0.6091,0.4418,0.5255,0.7251,0.6697,0.6974
9.3,-0.0067,0.571,0.6147,0.3455,0.7089,0.5272,0.5976,0.4398,0.5187,0.7192,0.6909,0.705
9.4,0.048,0.553,0.6311,0.3541,0.6647,0.5094,0.5874,0.44,0.5137,0.7139,0.7108,0.7124
9.5,0.0974,0.5333,0.6468,0.3604,0.6213,0.4909,0.5791,0.4423,0.5107,0.7093,0.7288,0.7191
9.6,0.1416,0.5135,0.6607,0.3645,0.5795,0.472,0.573,0.446,0.5095,0.7053,0.7443,0.7248
9.7,0.1805,0.4947,0.6717,0.3676,0.5399,0.4538,0.5689,0.4509,0.5099,0.7009,0.7562,0.7286
9.8,0.2143,0.4776,0.6791,0.3711,0.5032,0.4372,0.5666,0.4567,0.5116,0.6953,0.7637,0.7295
9.9,0.2431,0.4624,0.6826,0.376,0.4699,0.423,0.5655,0.4631,0.5143,0.6876,0.7662,0.7269
10,0.2672,0.4498,0.6828,0.3829,0.4411,0.412,0.5658,0.4698,0.5178,0.6775,0.7637,0.7206
10.1,0.2861,0.4403,0.6798,0.3921,0.418,0.405,0.5674,0.4764,0.5219,0.6651,0.7566,0.7109
10.2,0.2996,0.4349,0.6743,0.4046,0.402,0.4033,0.5703,0.4823,0.5263,0.6509,0.7456,0.6983
10.3,0.3085,0.4344,0.6666,0.4212,0.3943,0.4077,0.5743,0.4869,0.5306,0.6353,0.7317,0.6835
10.4,0.3138,0.4393,0.6576,0.4422,0.3958,0.419,0.5791,0.49,0.5345,0.6191,0.7159,0.6675
10.5,0.3159,0.4495,0.648,0.4672,0.4068,0.437,0.5846,0.4919,0.5383,0.6034,0.6996,0.6515
10.6,0.3154,0.4646,0.6385,0.4945,0.427,0.4608,0.591,0.4928,0.5419,0.5895,0.6833,0.6364
10.7,0.3125,0.4841,0.6298,0.5229,0.4555,0.4892,0.598,0.4927,0.5454,0.5778,0.6672,0.6225
10.8,0.3076,0.5068,0.6228,0.5512,0.4904,0.5208,0.605,0.4918,0.5484,0.5679,0.6513,0.6096
10.9,0.3011,0.5312,0.6187,0.5787,0.5294,0.554,0.6113,0.4905,0.5509,0.5591,0.636,0.5975
11,0.2929,0.5555,0.6186,0.6044,0.5702,0.5873,0.6166,0.4896,0.5531,0.5507,0.6216,0.5862
11.1,0.2819,0.5781,0.6233,0.6274,0.6113,0.6193,0.6212,0.49,0.5556,0.5426,0.6088,0.5757
11.2,0.2663,0.598,0.6333,0.6466,0.6515,0.649,0.6258,0.4922,0.559,0.5349,0.5978,0.5664
11.3,0.2444,0.6151,0.6488,0.6614,0.69,0.6757,0.6304,0.4966,0.5635,0.5281,0.5886,0.5583
11.4,0.2153,0.6293,0.6692,0.6717,0.7262,0.699,0.6347,0.5034,0.5691,0.5223,0.5803,0.5513
11.5,0.1791,0.6407,0.6937,0.6771,0.7596,0.7184,0.6387,0.5127,0.5757,0.518,0.5725,0.5452
11.6,0.1366,0.6489,0.7213,0.6776,0.7895,0.7335,0.6425,0.5247,0.5836,0.5159,0.5651,0.5405
11.7,0.0887,0.653,0.7503,0.673,0.8148,0.7439,0.6466,0.5389,0.5927,0.5168,0.5583,0.5376
11.8,0.0368,0.6524,0.7794,0.6634,0.8347,0.7491,0.6503,0.5544,0.6024,0.5211,0.5524,0.5368
11.9,-0.0168,0.6473,0.8078,0.6491,0.8488,0.749,0.6531,0.5703,0.6117,0.5289,0.5476,0.5382
12,-0.0692,0.6384,0.8349,0.6307,0.8572,0.744,0.6543,0.5858,0.6201,0.5395,0.5439,0.5417
12.1,-0.1181,0.6262,0.8598,0.6088,0.8599,0.7343,0.6543,0.6006,0.6274,0.5521,0.5412,0.5466
12.2,-0.1624,0.6104,0.8816,0.5833,0.8566,0.72,0.6534,0.6143,0.6339,0.5658,0.5392,0.5525
12.3,-0.2023,0.5901,0.8997,0.5542,0.8467,0.7004,0.6513,0.6268,0.6391,0.5801,0.5381,0.5591
12.4,-0.2376,0.5647,0.9134,0.5214,0.8297,0.6755,0.6476,0.6374,0.6425,0.595,0.5379,0.5664
12.5,-0.2669,0.5346,0.923,0.4858,0.8054,0.6456,0.6418,0.6458,0.6438,0.6103,0.5388,0.5745
12.6,-0.288,0.5016,0.9289,0.4493,0.7744,0.6118,0.6339,0.6518,0.6428,0.6258,0.5407,0.5832
12.7,-0.2989,0.4678,0.9314,0.4139,0.7375,0.5757,0.6241,0.6554,0.6397,0.6411,0.5432,0.5921
12.8,-0.2991,0.4349,0.9304,0.3812,0.6958,0.5385,0.6125,0.6562,0.6344,0.6557,0.546,0.6009
12.9,-0.2894,0.404,0.9258,0.3524,0.6509,0.5017,0.5983,0.6539,0.6261,0.6692,0.5487,0.609
13,-0.2714,0.3758,0.9176,0.3283,0.6044,0.4664,0.5805,0.6478,0.6142,0.6811,0.5511,0.6161
13.1,-0.2464,0.3509,0.9061,0.3095,0.558,0.4338,0.5592,0.638,0.5986,0.6914,0.5532,0.6223
13.2,-0.2154,0.3298,0.8921,0.2968,0.5134,0.4051,0.5356,0.6248,0.5802,0.7006,0.5552,0.6279
13.3,-0.1803,0.3129,0.8766,0.2903,0.472,0.3812,0.5119,0.6085,0.5602,0.7094,0.5579,0.6337
13.4,-0.1427,0.3007,0.8607,0.2898,0.4353,0.3625,0.4891,0.5896,0.5394,0.7188,0.5618,0.6403
13.5,-0.1043,0.2938,0.845,0.295,0.4043,0.3496,0.4679,0.5688,0.5183,0.729,0.567,0.648
13.6,-0.0656,0.2927,0.8296,0.3057,0.3798,0.3428,0.4481,0.5472,0.4977,0.74,0.5729,0.6565
13.7,-0.0273,0.2974,0.8148,0.3218,0.362,0.3419,0.4302,0.5263,0.4783,0.7511,0.5788,0.6649
13.8,0.0101,0.3074,0.8005,0.3424,0.3505,0.3464,0.415,0.5075,0.4613,0.7611,0.5843,0.6727
13.9,0.0452,0.3215,0.7868,0.3661,0.3441,0.3551,0.4037,0.4917,0.4477,0.7693,0.589,0.6792
14,0.0769,0.339,0.7738,0.392,0.3423,0.3671,0.3973,0.4789,0.4381,0.7747,0.5929,0.6838
14.1,0.1045,0.3597,0.7617,0.4197,0.3443,0.382,0.3962,0.4692,0.4327,0.7764,0.5957,0.686
14.2,0.1275,0.3832,0.7503,0.4495,0.3497,0.3996,0.4006,0.4624,0.4315,0.7737,0.597,0.6853
14.3,0.1447,0.409,0.7393,0.4815,0.358,0.4197,0.4101,0.459,0.4346,0.7664,0.5967,0.6816
14.4,0.1537,0.4365,0.7287,0.5153,0.3686,0.4419,0.4241,0.4596,0.4418,0.7554,0.5949,0.6751
14.5,0.1523,0.4649,0.7188,0.55,0.3812,0.4656,0.4412,0.4648,0.453,0.7414,0.592,0.6667
14.6,0.1394,0.494,0.7096,0.5851,0.3959,0.4905,0.46,0.4745,0.4673,0.7253,0.5884,0.6568
14.7,0.116,0.5238,0.7006,0.6208,0.4126,0.5167,0.4789,0.4879,0.4834,0.7073,0.5842,0.6457
14.8,0.0841,0.5536,0.691,0.6569,0.4305,0.5437,0.4965,0.5035,0.5,0.6872,0.5797,0.6335
14.9,0.0453,0.5824,0.6803,0.6927,0.4487,0.5707,0.5112,0.5203,0.5158,0.6653,0.5749,0.6201
15,0.0007,0.6095,0.6688,0.7272,0.466,0.5966,0.5217,0.5376,0.5296,0.6418,0.5702,0.606
15.1,-0.048,0.6345,0.6576,0.7595,0.4822,0.6208,0.5267,0.5552,0.541,0.617,0.5659,0.5915
15.2,-0.0985,0.6581,0.6477,0.7891,0.4976,0.6434,0.526,0.5732,0.5496,0.591,0.5623,0.5766
15.3,-0.1487,0.6803,0.6397,0.8156,0.5123,0.6639,0.5199,0.5913,0.5556,0.5639,0.5594,0.5616
15.4,-0.1986,0.7009,0.6334,0.8383,0.526,0.6821,0.5095,0.6093,0.5594,0.5363,0.5573,0.5468
15.5,-0.2506,0.7189,0.6284,0.8563,0.5383,0.6973,0.4954,0.6268,0.5611,0.5098,0.5562,0.533
15.6,-0.3062,0.7342,0.6246,0.8693,0.5496,0.7095,0.4784,0.6435,0.5609,0.4862,0.5561,0.5212
15.7,-0.3644,0.7473,0.6224,0.8777,0.5614,0.7196,0.4589,0.6591,0.559,0.4676,0.558,0.5128
15.8,-0.4208,0.7589,0.6221,0.882,0.5757,0.7289,0.4384,0.6729,0.5557,0.4552,0.5626,0.5089
15.9,-0.4706,0.7699,0.6239,0.8827,0.5941,0.7384,0.4185,0.6842,0.5513,0.4498,0.5701,0.51
16,-0.5113,0.7806,0.628,0.8799,0.6168,0.7483,0.4002,0.6922,0.5462,0.4515,0.58,0.5157
16.1,-0.5427,0.7908,0.6344,0.874,0.6433,0.7586,0.3834,0.6966,0.54,0.4598,0.5909,0.5254
16.2,-0.5646,0.8001,0.6432,0.8652,0.6727,0.7689,0.3671,0.6976,0.5323,0.4746,0.6015,0.538
16.3,-0.5755,0.8082,0.654,0.8541,0.7037,0.7789,0.3508,0.6955,0.5231,0.4954,0.6109,0.5532
16.4,-0.5731,0.8151,0.6657,0.8419,0.7346,0.7882,0.335,0.6905,0.5127,0.5214,0.6191,0.5703
16.5,-0.5559,0.821,0.677,0.8295,0.7631,0.7963,0.3212,0.683,0.5021,0.5515,0.6262,0.5889
16.6,-0.5239,0.8261,0.6866,0.8183,0.7872,0.8027,0.3104,0.6734,0.4919,0.5843,0.632,0.6081
16.7,-0.4782,0.8307,0.6939,0.8086,0.8062,0.8074,0.3017,0.6621,0.4819,0.6183,0.6362,0.6273
16.8,-0.4208,0.8344,0.6977,0.8004,0.8206,0.8105,0.2934,0.6492,0.4713,0.6523,0.6385,0.6454
16.9,-0.3539,0.837,0.697,0.7929,0.8312,0.8121,0.2843,0.6345,0.4594,0.685,0.6388,0.6619
17,-0.2802,0.8383,0.6909,0.786,0.8386,0.8123,0.2754,0.6172,0.4463,0.7153,0.6374,0.6764
17.1,-0.2025,0.838,0.6788,0.7802,0.8431,0.8117,0.2685,0.5968,0.4326,0.7426,0.6353,0.689
17.2,-0.1238,0.8364,0.6612,0.7772,0.8451,0.8111,0.2656,0.5732,0.4194,0.7667,0.6333,0.7
17.3,-0.0473,0.8342,0.6388,0.7785,0.8456,0.8121,0.2673,0.5467,0.407,0.7876,0.6323,0.7099
17.4,0.0237,0.832,0.6125,0.7851,0.8459,0.8155,0.2727,0.5179,0.3953,0.8061,0.6324,0.7192
17.5,0.0857,0.8301,0.5837,0.7966,0.8469,0.8217,0.28,0.4879,0.3839,0.823,0.6333,0.7282
17.6,0.1359,0.8285,0.554,0.812,0.8486,0.8303,0.2878,0.458,0.3729,0.8393,0.6353,0.7373
17.7,0.173,0.8275,0.5255,0.8302,0.8514,0.8408,0.2956,0.4292,0.3624,0.8551,0.6386,0.7468
17.8,0.1967,0.8277,0.4998,0.8503,0.8556,0.853,0.3036,0.4021,0.3528,0.8702,0.6439,0.7571
17.9,0.2078,0.8295,0.478,0.8719,0.8614,0.8666,0.3124,0.3769,0.3446,0.8842,0.6513,0.7678
18,0.2073,0.8332,0.4596,0.894,0.8685,0.8812,0.3228,0.3534,0.3381,0.897,0.6604,0.7787
18.1,0.1964,0.8389,0.4437,0.9156,0.8763,0.8959,0.3353,0.3308,0.333,0.9084,0.6706,0.7895
18.2,0.1759,0.8466,0.4292,0.9356,0.8841,0.9099,0.3503,0.3088,0.3295,0.9185,0.6816,0.8001
18.3,0.1468,0.856,0.4158,0.9534,0.8917,0.9225,0.3677,0.2875,0.3276,0.9274,0.6932,0.8103
18.4,0.1107,0.8664,0.4038,0.9682,0.8991,0.9337,0.3876,0.2678,0.3277,0.935,0.7052,0.8201
18.5,0.0695,0.8769,0.3934,0.9794,0.9063,0.9428,0.41,0.2504,0.3302,0.9412,0.7174,0.8293
18.6,0.0251,0.886,0.3848,0.9864,0.9123,0.9493,0.4346,0.2355,0.335,0.9456,0.7294,0.8375
18.7,-0.0216,0.8928,0.3775,0.9888,0.9164,0.9526,0.4609,0.2229,0.3419,0.9482,0.7411,0.8446
18.8,-0.0705,0.8972,0.372,0.9865,0.9183,0.9524,0.4885,0.2131,0.3508,0.9487,0.7525,0.8506
18.9,-0.1209,0.8993,0.3689,0.98,0.9184,0.9492,0.5167,0.2072,0.3619,0.9467,0.7633,0.855
19,-0.1715,0.899,0.3689,0.9698,0.9172,0.9435,0.5448,0.2065,0.3757,0.9419,0.773,0.8575
19.1,-0.2212,0.8958,0.3727,0.9561,0.9147,0.9354,0.5719,0.2117,0.3918,0.9343,0.7809,0.8576
19.2,-0.269,0.8891,0.3805,0.939,0.9108,0.9249,0.597,0.2218,0.4094,0.924,0.7862,0.8551
19.3,-0.3146,0.8789,0.3922,0.9188,0.9055,0.9121,0.6192,0.2357,0.4274,0.911,0.7882,0.8496
19.4,-0.3576,0.8654,0.4074,0.8962,0.8992,0.8977,0.6377,0.2531,0.4454,0.8952,0.7866,0.8409
19.5,-0.3969,0.849,0.4255,0.8721,0.8922,0.8821,0.6521,0.2748,0.4634,0.8758,0.7806,0.8282
19.6,-0.4313,0.8298,0.4446,0.8469,0.8843,0.8656,0.6619,0.3013,0.4816,0.8521,0.7699,0.811
19.7,-0.4601,0.8076,0.4629,0.8209,0.8751,0.848,0.6668,0.3324,0.4996,0.8241,0.7548,0.7895
19.8,-0.4832,0.7824,0.4799,0.7941,0.8645,0.8293,0.667,0.3671,0.517,0.7926,0.7365,0.7646
19.9,-0.5022,0.7548,0.4959,0.7666,0.8532,0.8099,0.6629,0.4047,0.5338,0.7592,0.7164,0.7378
20,-0.5181,0.7253,0.5117,0.7383,0.8422,0.7903,0.6557,0.4449,0.5503,0.7251,0.6955,0.7103
20.1,-0.5311,0.6945,0.5276,0.7093,0.8321,0.7707,0.6468,0.4872,0.567,0.6908,0.6741,0.6824
20.2,-0.5405,0.6625,0.5436,0.6796,0.8229,0.7512,0.6373,0.5295,0.5834,0.6562,0.653,0.6546
20.3,-0.5457,0.6302,0.5594,0.6494,0.8147,0.732,0.6286,0.569,0.5988,0.6215,0.6329,0.6272
20.4,-0.5469,0.5992,0.575,0.6193,0.8082,0.7137,0.6218,0.6036,0.6127,0.5872,0.6147,0.601
20.5,-0.5447,0.5712,0.5904,0.5903,0.8045,0.6974,0.6175,0.6327,0.6251,0.5541,0.5989,0.5765
20.6,-0.5389,0.5472,0.6051,0.5632,0.8041,0.6836,0.6162,0.656,0.6361,0.5224,0.5853,0.5538
20.7,-0.5287,0.5276,0.6185,0.5383,0.8063,0.6723,0.6173,0.6732,0.6453,0.4919,0.5732,0.5326
20.8,-0.5138,0.512,0.63,0.5158,0.8095,0.6627,0.6199,0.6841,0.652,0.4629,0.5622,0.5126
20.9,-0.4953,0.501,0.6396,0.4962,0.8128,0.6545,0.6231,0.6894,0.6562,0.4354,0.5517,0.4936
