Time,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC,Vodafone Please Find Gary 30 TVC
2.5,0.0275,0.5031,0.5608,0.4568,0.3994,0.4281,0.6866,0.4469,0.5668,0.6465,0.6245,0.6355
2.6,0.0255,0.5161,0.586,0.4646,0.4284,0.4465,0.6994,0.4835,0.5915,0.6428,0.6324,0.6376
2.7,0.0265,0.5255,0.6077,0.471,0.4568,0.4639,0.7078,0.5185,0.6132,0.6408,0.6405,0.6406
2.8,0.0319,0.5315,0.6253,0.4761,0.4837,0.4799,0.7121,0.5513,0.6317,0.6401,0.6478,0.6439
2.9,0.0429,0.5338,0.6384,0.4795,0.5077,0.4936,0.7126,0.581,0.6468,0.6398,0.6535,0.6466
3,0.0597,0.5323,0.6468,0.4809,0.5278,0.5043,0.7095,0.6068,0.6582,0.639,0.6569,0.648
3.1,0.0811,0.527,0.6502,0.4804,0.5438,0.5121,0.7036,0.6279,0.6658,0.6368,0.6575,0.6472
3.2,0.1043,0.5185,0.6484,0.4779,0.5561,0.517,0.6952,0.6443,0.6698,0.6324,0.6545,0.6435
3.3,0.1272,0.5071,0.6413,0.4732,0.5651,0.5191,0.6845,0.6563,0.6704,0.6253,0.6473,0.6363
3.4,0.1481,0.4934,0.6295,0.466,0.5711,0.5185,0.6712,0.6649,0.668,0.6148,0.6358,0.6253
3.5,0.1665,0.4776,0.6138,0.4568,0.5747,0.5157,0.6548,0.6707,0.6628,0.6005,0.6197,0.6101
3.6,0.182,0.4597,0.5948,0.446,0.5761,0.5111,0.6352,0.6742,0.6547,0.5823,0.5996,0.5909
3.7,0.1937,0.4401,0.5732,0.4341,0.5754,0.5047,0.6128,0.6753,0.644,0.5608,0.5763,0.5686
3.8,0.2003,0.4196,0.5492,0.4214,0.573,0.4972,0.5881,0.6742,0.6312,0.5374,0.551,0.5442
3.9,0.2008,0.399,0.5238,0.4085,0.5701,0.4893,0.5623,0.6714,0.6169,0.5135,0.5254,0.5194
4,0.1951,0.3798,0.4983,0.3964,0.5679,0.4822,0.5366,0.6676,0.6021,0.4908,0.5013,0.4961
4.1,0.1831,0.3631,0.4739,0.3861,0.5676,0.4768,0.5121,0.6633,0.5877,0.4705,0.48,0.4753
4.2,0.1651,0.3495,0.4511,0.3783,0.5701,0.4742,0.4895,0.6581,0.5738,0.4529,0.4621,0.4575
4.3,0.1425,0.3397,0.4299,0.373,0.5763,0.4746,0.4693,0.6516,0.5605,0.4382,0.4476,0.4429
4.4,0.1176,0.3344,0.4103,0.3701,0.5864,0.4783,0.4518,0.6435,0.5476,0.4266,0.4363,0.4315
4.5,0.0914,0.3344,0.3922,0.3695,0.6008,0.4851,0.4371,0.634,0.5355,0.4185,0.4281,0.4233
4.6,0.063,0.3407,0.3765,0.3715,0.6193,0.4954,0.4253,0.6237,0.5245,0.4139,0.4231,0.4185
4.7,0.0328,0.3541,0.3636,0.3762,0.6414,0.5088,0.4161,0.613,0.5145,0.4125,0.4211,0.4168
4.8,0.0018,0.3739,0.3538,0.3834,0.6661,0.5248,0.4089,0.6015,0.5052,0.4136,0.4217,0.4177
4.9,-0.0283,0.3987,0.3473,0.3923,0.6917,0.542,0.4031,0.5888,0.496,0.4171,0.4247,0.4209
5,-0.0562,0.4265,0.3443,0.4017,0.7166,0.5592,0.3987,0.5744,0.4866,0.4228,0.43,0.4264
5.1,-0.0809,0.4559,0.345,0.411,0.739,0.575,0.3958,0.5586,0.4772,0.4309,0.4372,0.434
5.2,-0.101,0.4857,0.3495,0.4189,0.7578,0.5884,0.3943,0.5415,0.4679,0.4412,0.446,0.4436
5.3,-0.1148,0.5143,0.3569,0.4246,0.7717,0.5982,0.3941,0.5232,0.4586,0.4534,0.4561,0.4547
5.4,-0.1212,0.5406,0.3662,0.427,0.7796,0.6033,0.3946,0.5041,0.4494,0.467,0.4666,0.4668
5.5,-0.1209,0.5633,0.3768,0.4256,0.7807,0.6032,0.3954,0.4847,0.4401,0.4816,0.4771,0.4793
5.6,-0.1157,0.582,0.3884,0.4201,0.7751,0.5976,0.396,0.4657,0.4309,0.4971,0.4872,0.4921
5.7,-0.1072,0.5966,0.4008,0.4108,0.764,0.5874,0.3964,0.448,0.4222,0.5131,0.4961,0.5046
5.8,-0.0951,0.6078,0.413,0.3988,0.749,0.5739,0.3961,0.4315,0.4138,0.5285,0.5027,0.5156
5.9,-0.0781,0.6161,0.4235,0.3849,0.7311,0.558,0.3944,0.4151,0.4047,0.5421,0.5061,0.5241
6,-0.0557,0.6213,0.4312,0.3696,0.711,0.5403,0.391,0.3975,0.3942,0.5533,0.506,0.5297
6.1,-0.0295,0.6234,0.4358,0.3532,0.6891,0.5211,0.3856,0.3784,0.382,0.5614,0.5024,0.5319
6.2,-0.0019,0.6224,0.4377,0.3362,0.666,0.5011,0.3785,0.3587,0.3686,0.5656,0.4955,0.5305
6.3,0.0255,0.6188,0.4372,0.3195,0.6426,0.4811,0.3699,0.3397,0.3548,0.565,0.4855,0.5253
6.4,0.0515,0.6132,0.4339,0.3041,0.6199,0.462,0.3597,0.3223,0.341,0.5593,0.4729,0.5161
6.5,0.0761,0.6063,0.4273,0.291,0.5985,0.4448,0.3482,0.3069,0.3276,0.5493,0.4585,0.5039
6.6,0.0999,0.5985,0.4177,0.281,0.5792,0.4301,0.3357,0.2938,0.3148,0.5365,0.4433,0.4899
6.7,0.1237,0.5906,0.4058,0.2746,0.562,0.4183,0.3228,0.2835,0.3031,0.5226,0.4281,0.4754
6.8,0.1469,0.5836,0.3929,0.2721,0.5469,0.4095,0.3102,0.2767,0.2934,0.5093,0.4137,0.4615
6.9,0.1674,0.5776,0.3799,0.2732,0.5339,0.4035,0.2989,0.2735,0.2862,0.4979,0.401,0.4494
7,0.1839,0.5723,0.3678,0.2773,0.5231,0.4002,0.2904,0.2736,0.282,0.4899,0.3909,0.4404
7.1,0.1953,0.5676,0.3573,0.2842,0.5145,0.3993,0.2859,0.2767,0.2813,0.4866,0.3841,0.4354
7.2,0.2005,0.5636,0.3492,0.2939,0.5081,0.401,0.2867,0.2822,0.2844,0.4886,0.3811,0.4349
7.3,0.1982,0.5608,0.344,0.3061,0.5038,0.405,0.2927,0.2896,0.2912,0.4956,0.3821,0.4388
7.4,0.1884,0.5588,0.342,0.3201,0.5012,0.4106,0.3031,0.2984,0.3007,0.507,0.3865,0.4467
7.5,0.1724,0.557,0.3431,0.3348,0.4999,0.4174,0.3164,0.3078,0.3121,0.5219,0.3939,0.4579
7.6,0.152,0.5547,0.3474,0.3495,0.4995,0.4245,0.3313,0.3172,0.3242,0.5397,0.4038,0.4718
7.7,0.1287,0.5517,0.3548,0.3637,0.4998,0.4317,0.3468,0.3265,0.3366,0.5599,0.4156,0.4877
7.8,0.1038,0.5486,0.3649,0.3779,0.5008,0.4394,0.3627,0.3359,0.3493,0.5819,0.4287,0.5053
7.9,0.0774,0.5458,0.3771,0.3927,0.5028,0.4477,0.3789,0.3455,0.3622,0.605,0.4426,0.5238
8,0.0494,0.5433,0.3905,0.4083,0.5051,0.4567,0.3949,0.3547,0.3748,0.6282,0.4571,0.5426
8.1,0.0206,0.5402,0.4045,0.4246,0.5066,0.4656,0.4102,0.3626,0.3864,0.6503,0.4717,0.561
8.2,-0.0078,0.5358,0.4183,0.4408,0.5062,0.4735,0.4248,0.3687,0.3968,0.6703,0.486,0.5782
8.3,-0.0349,0.5295,0.4318,0.456,0.5035,0.4797,0.439,0.3737,0.4063,0.6879,0.4997,0.5938
8.4,-0.0598,0.5216,0.4454,0.4699,0.499,0.4844,0.4534,0.3781,0.4157,0.7027,0.5122,0.6074
8.5,-0.0807,0.5124,0.4591,0.4821,0.4936,0.4879,0.4683,0.3822,0.4252,0.7143,0.523,0.6186
8.6,-0.0957,0.502,0.4725,0.4926,0.4877,0.4901,0.4833,0.3858,0.4345,0.7218,0.5315,0.6267
8.7,-0.1043,0.4903,0.4851,0.5009,0.4813,0.4911,0.4974,0.3887,0.443,0.7245,0.5376,0.6311
8.8,-0.1073,0.4781,0.4965,0.5073,0.4747,0.491,0.5099,0.391,0.4504,0.7218,0.5413,0.6315
8.9,-0.1063,0.4667,0.5064,0.5119,0.4692,0.4905,0.5203,0.3927,0.4565,0.7132,0.5423,0.6277
9,-0.1035,0.4574,0.5146,0.515,0.4662,0.4906,0.5282,0.394,0.4611,0.6986,0.5406,0.6196
9.1,-0.0989,0.4506,0.5207,0.5165,0.4654,0.4909,0.5333,0.3945,0.4639,0.6782,0.5358,0.607
9.2,-0.0908,0.4453,0.5246,0.5161,0.4651,0.4906,0.5352,0.3932,0.4642,0.6522,0.5282,0.5902
9.3,-0.0783,0.4399,0.5265,0.5133,0.4644,0.4889,0.5338,0.3895,0.4616,0.622,0.5187,0.5704
9.4,-0.0628,0.4335,0.5269,0.5085,0.4641,0.4863,0.5295,0.3836,0.4566,0.5891,0.5088,0.549
9.5,-0.0471,0.4266,0.5264,0.5027,0.4662,0.4845,0.5228,0.3766,0.4497,0.5553,0.5,0.5277
9.6,-0.0337,0.4199,0.5255,0.4974,0.4719,0.4847,0.5143,0.3692,0.4418,0.522,0.4931,0.5076
9.7,-0.0225,0.4141,0.524,0.4936,0.4812,0.4874,0.5043,0.3615,0.4329,0.4906,0.4885,0.4896
9.8,-0.0125,0.4091,0.5221,0.4915,0.4928,0.4922,0.4928,0.353,0.4229,0.4623,0.4864,0.4743
9.9,-0.0018,0.4044,0.5199,0.4907,0.5057,0.4982,0.4805,0.3432,0.4118,0.4381,0.4867,0.4624
10,0.0104,0.3999,0.5179,0.4906,0.5191,0.5048,0.4681,0.3317,0.3999,0.4189,0.4899,0.4544
10.1,0.024,0.3956,0.5172,0.4901,0.5324,0.5112,0.4563,0.3188,0.3875,0.4051,0.4964,0.4507
10.2,0.0385,0.3913,0.5184,0.4886,0.5449,0.5168,0.4456,0.3048,0.3752,0.3966,0.5065,0.4516
10.3,0.0536,0.3864,0.5224,0.4863,0.5563,0.5213,0.4363,0.2899,0.3631,0.3932,0.5205,0.4569
10.4,0.07,0.3802,0.5298,0.4838,0.5664,0.5251,0.4283,0.2743,0.3513,0.3946,0.5382,0.4664
10.5,0.0874,0.3736,0.5403,0.4821,0.5753,0.5287,0.4216,0.2581,0.3399,0.3998,0.5588,0.4793
10.6,0.1048,0.3678,0.5531,0.4819,0.5836,0.5327,0.4163,0.2418,0.3291,0.4076,0.581,0.4943
10.7,0.1213,0.3636,0.5671,0.4828,0.5914,0.5371,0.4123,0.2258,0.3191,0.417,0.6029,0.5099
10.8,0.1363,0.3611,0.5816,0.4845,0.599,0.5418,0.4099,0.2106,0.3102,0.4274,0.6226,0.525
10.9,0.1491,0.3605,0.5961,0.4869,0.6064,0.5466,0.4097,0.1964,0.3031,0.4385,0.6391,0.5388
11,0.1586,0.3621,0.6101,0.4901,0.613,0.5515,0.4128,0.1838,0.2983,0.4506,0.6519,0.5513
11.1,0.1641,0.3664,0.6229,0.4944,0.618,0.5562,0.4196,0.1731,0.2964,0.4635,0.6608,0.5621
11.2,0.1649,0.373,0.6341,0.4997,0.6204,0.56,0.4297,0.1646,0.2971,0.4768,0.6655,0.5711
11.3,0.1607,0.3809,0.6438,0.5053,0.6193,0.5623,0.4417,0.1581,0.2999,0.4898,0.6656,0.5777
11.4,0.1513,0.3885,0.6514,0.5104,0.614,0.5622,0.454,0.1528,0.3034,0.5015,0.6604,0.581
11.5,0.1374,0.3952,0.656,0.5136,0.6044,0.559,0.4649,0.148,0.3064,0.5107,0.6494,0.5801
11.6,0.1189,0.4007,0.6557,0.514,0.5913,0.5526,0.4733,0.1427,0.308,0.5161,0.6325,0.5743
11.7,0.0965,0.4049,0.6492,0.511,0.5752,0.5431,0.4786,0.1365,0.3076,0.5169,0.6099,0.5634
11.8,0.0719,0.4075,0.6356,0.5043,0.5563,0.5303,0.4803,0.1293,0.3048,0.5124,0.5825,0.5474
11.9,0.0475,0.4082,0.6147,0.4939,0.5341,0.514,0.4779,0.1212,0.2995,0.5024,0.5514,0.5269
12,0.0247,0.4069,0.5871,0.4804,0.5084,0.4944,0.4714,0.1128,0.2921,0.4869,0.5181,0.5025
12.1,0.0035,0.4041,0.5528,0.4652,0.4799,0.4726,0.4615,0.1049,0.2832,0.4669,0.4841,0.4755
12.2,-0.0173,0.3997,0.5127,0.4497,0.4503,0.45,0.4493,0.098,0.2737,0.4442,0.4511,0.4476
12.3,-0.0383,0.3935,0.4682,0.4348,0.4211,0.428,0.4359,0.0926,0.2642,0.4209,0.42,0.4204
12.4,-0.0589,0.3855,0.4224,0.4212,0.3933,0.4072,0.4218,0.0889,0.2554,0.399,0.392,0.3955
12.5,-0.0779,0.3754,0.3784,0.4086,0.3671,0.3879,0.4079,0.0869,0.2474,0.38,0.3683,0.3742
12.6,-0.0935,0.3638,0.3387,0.3971,0.3432,0.3701,0.3949,0.0865,0.2407,0.3646,0.3497,0.3571
12.7,-0.1047,0.3513,0.3041,0.387,0.3222,0.3546,0.3839,0.0876,0.2357,0.3531,0.3364,0.3448
12.8,-0.111,0.3392,0.2745,0.3787,0.3048,0.3418,0.376,0.0904,0.2332,0.3455,0.3284,0.337
12.9,-0.1126,0.3281,0.2501,0.3719,0.2908,0.3313,0.3717,0.095,0.2334,0.3415,0.3251,0.3333
13,-0.1097,0.3188,0.2318,0.3655,0.2795,0.3225,0.3709,0.1017,0.2363,0.3404,0.326,0.3332
13.1,-0.1025,0.3114,0.2205,0.3586,0.2703,0.3145,0.373,0.11,0.2415,0.3417,0.3309,0.3363
13.2,-0.0913,0.3062,0.2164,0.3506,0.2632,0.3069,0.3779,0.1194,0.2486,0.3453,0.3402,0.3428
13.3,-0.0771,0.3032,0.2188,0.3417,0.2584,0.3001,0.3853,0.1292,0.2573,0.3515,0.3541,0.3528
13.4,-0.0619,0.3025,0.2269,0.3325,0.2562,0.2943,0.3951,0.1387,0.2669,0.3604,0.3724,0.3664
13.5,-0.047,0.304,0.2399,0.3231,0.2566,0.2899,0.4063,0.1473,0.2768,0.3713,0.3937,0.3825
13.6,-0.0334,0.3073,0.2564,0.3139,0.2591,0.2865,0.4176,0.1547,0.2861,0.3825,0.4162,0.3994
13.7,-0.0207,0.3117,0.2748,0.3045,0.2627,0.2836,0.4278,0.1605,0.2941,0.3923,0.4382,0.4153
13.8,-0.008,0.317,0.2935,0.2946,0.2664,0.2805,0.4364,0.1645,0.3005,0.3998,0.4587,0.4293
13.9,0.0059,0.3231,0.3111,0.2835,0.2695,0.2765,0.4435,0.1669,0.3052,0.4049,0.4771,0.441
14,0.0223,0.3296,0.3272,0.2713,0.2712,0.2713,0.4489,0.1678,0.3084,0.408,0.4928,0.4504
14.1,0.042,0.3361,0.3417,0.2575,0.2709,0.2642,0.4522,0.1676,0.3099,0.4093,0.5051,0.4572
14.2,0.0649,0.3422,0.3546,0.2417,0.2678,0.2548,0.4524,0.1663,0.3094,0.4086,0.5136,0.4611
14.3,0.0905,0.3482,0.3661,0.2237,0.2616,0.2427,0.4487,0.1638,0.3063,0.4059,0.5186,0.4623
14.4,0.1186,0.3541,0.3759,0.2034,0.2525,0.2279,0.4407,0.16,0.3004,0.4013,0.5209,0.4611
14.5,0.1489,0.3603,0.3839,0.1816,0.2411,0.2113,0.4284,0.1549,0.2916,0.395,0.5209,0.458
14.6,0.1814,0.3668,0.39,0.1597,0.2287,0.1942,0.4115,0.1485,0.28,0.3875,0.5188,0.4531
14.7,0.2159,0.3738,0.3945,0.139,0.2162,0.1776,0.39,0.1408,0.2654,0.379,0.5148,0.4469
14.8,0.2516,0.3818,0.3971,0.12,0.2044,0.1622,0.3642,0.132,0.2481,0.3698,0.5093,0.4396
14.9,0.2874,0.3917,0.3979,0.1029,0.194,0.1484,0.3349,0.123,0.2289,0.3602,0.5031,0.4316
15,0.3217,0.4045,0.3978,0.0889,0.1858,0.1374,0.3037,0.1155,0.2096,0.351,0.4971,0.424
15.1,0.3533,0.4208,0.3987,0.0807,0.1809,0.1308,0.2724,0.1118,0.1921,0.3432,0.4924,0.4178
15.2,0.3803,0.4404,0.4023,0.0812,0.1802,0.1307,0.242,0.1137,0.1779,0.3375,0.4897,0.4136
15.3,0.4001,0.463,0.4094,0.0928,0.1847,0.1388,0.2135,0.1221,0.1678,0.3339,0.4894,0.4117
15.4,0.41,0.4882,0.4194,0.1164,0.1958,0.1561,0.1878,0.137,0.1624,0.3329,0.4919,0.4124
15.5,0.4096,0.5148,0.4312,0.1511,0.2142,0.1827,0.1666,0.158,0.1623,0.3349,0.4972,0.416
15.6,0.3997,0.5412,0.4433,0.1949,0.2395,0.2172,0.1509,0.1836,0.1672,0.3398,0.5052,0.4225
15.7,0.3827,0.5654,0.4548,0.2448,0.2695,0.2572,0.141,0.2121,0.1765,0.3468,0.5152,0.431
15.8,0.3603,0.5861,0.4651,0.2973,0.3009,0.2991,0.137,0.2416,0.1893,0.3547,0.5261,0.4404
15.9,0.334,0.6031,0.4736,0.3488,0.331,0.3399,0.139,0.271,0.205,0.3629,0.5372,0.45
16,0.3051,0.6167,0.4794,0.3969,0.3595,0.3782,0.1473,0.2996,0.2235,0.3709,0.5478,0.4593
16.1,0.2755,0.6272,0.4816,0.441,0.3867,0.4138,0.1616,0.3269,0.2443,0.3787,0.5574,0.468
16.2,0.246,0.6345,0.48,0.4806,0.4131,0.4468,0.181,0.352,0.2665,0.3862,0.5655,0.4758
16.3,0.2164,0.6385,0.4748,0.5154,0.4381,0.4768,0.2039,0.3742,0.289,0.393,0.5719,0.4825
16.4,0.1869,0.6392,0.4668,0.5446,0.4613,0.5029,0.2291,0.3929,0.311,0.399,0.5765,0.4878
16.5,0.1585,0.6372,0.4562,0.5677,0.4826,0.5251,0.2556,0.408,0.3318,0.404,0.5793,0.4917
16.6,0.1326,0.6331,0.4424,0.5849,0.5026,0.5437,0.2827,0.4196,0.3511,0.4077,0.5799,0.4938
16.7,0.1108,0.6277,0.425,0.5964,0.5215,0.5589,0.309,0.4276,0.3683,0.4094,0.5776,0.4935
16.8,0.0938,0.6212,0.4048,0.6023,0.539,0.5707,0.3334,0.4325,0.3829,0.4083,0.5721,0.4902
16.9,0.0831,0.6133,0.383,0.6028,0.5544,0.5786,0.3548,0.4347,0.3948,0.4043,0.5636,0.484
17,0.0798,0.6036,0.3614,0.5981,0.5674,0.5827,0.3732,0.4353,0.4042,0.3982,0.553,0.4756
17.1,0.0838,0.5922,0.3419,0.5886,0.5784,0.5835,0.3888,0.4356,0.4122,0.3914,0.5414,0.4664
17.2,0.0933,0.5799,0.3262,0.5752,0.5887,0.582,0.4019,0.4371,0.4195,0.3854,0.5292,0.4573
17.3,0.1061,0.5675,0.3154,0.5587,0.5992,0.579,0.4126,0.4408,0.4267,0.381,0.517,0.449
17.4,0.1199,0.5559,0.3104,0.5399,0.6102,0.5751,0.4205,0.4472,0.4339,0.3785,0.5056,0.442
17.5,0.1329,0.5456,0.3117,0.5189,0.6218,0.5703,0.4261,0.4567,0.4414,0.3785,0.4961,0.4373
17.6,0.1435,0.5369,0.3188,0.4962,0.6335,0.5648,0.4298,0.4689,0.4493,0.3812,0.4901,0.4356
17.7,0.1504,0.5296,0.3309,0.4719,0.6447,0.5583,0.4326,0.4837,0.4581,0.387,0.4883,0.4377
17.8,0.1525,0.523,0.3467,0.4459,0.6547,0.5503,0.4347,0.5011,0.4679,0.3958,0.491,0.4434
17.9,0.1499,0.5159,0.3648,0.4178,0.6623,0.5401,0.4359,0.5204,0.4782,0.407,0.4979,0.4525
18,0.1435,0.5076,0.3844,0.3874,0.6663,0.5268,0.4358,0.5413,0.4885,0.4204,0.5086,0.4645
18.1,0.1342,0.4976,0.4048,0.3545,0.6659,0.5102,0.4341,0.5631,0.4986,0.4355,0.5226,0.479
18.2,0.1225,0.4862,0.4252,0.3196,0.661,0.4903,0.4314,0.5853,0.5083,0.4515,0.5391,0.4953
18.3,0.1088,0.4736,0.4447,0.284,0.652,0.468,0.4281,0.6072,0.5176,0.4676,0.5574,0.5125
18.4,0.0939,0.46,0.4624,0.2497,0.639,0.4444,0.4245,0.628,0.5263,0.4836,0.577,0.5303
18.5,0.0789,0.445,0.4776,0.2182,0.6221,0.4202,0.4207,0.6466,0.5336,0.4993,0.5976,0.5484
18.6,0.0641,0.428,0.4896,0.19,0.6011,0.3956,0.416,0.6617,0.5389,0.5142,0.6182,0.5662
18.7,0.0497,0.409,0.4975,0.1651,0.576,0.3706,0.4099,0.6725,0.5412,0.5275,0.6374,0.5825
18.8,0.036,0.3886,0.4997,0.1438,0.5463,0.3451,0.4021,0.6782,0.5401,0.5384,0.6532,0.5958
18.9,0.0239,0.3673,0.4946,0.1263,0.5115,0.3189,0.3926,0.6781,0.5354,0.5458,0.6638,0.6048
19,0.0135,0.3461,0.4813,0.1126,0.4719,0.2922,0.3813,0.672,0.5267,0.5489,0.6677,0.6083
19.1,0.0037,0.3263,0.4601,0.1033,0.4291,0.2662,0.3683,0.6601,0.5142,0.5471,0.6643,0.6057
19.2,-0.0073,0.3096,0.4329,0.0996,0.3862,0.2429,0.354,0.6433,0.4987,0.54,0.6537,0.5968
19.3,-0.0202,0.297,0.4018,0.1022,0.3468,0.2245,0.339,0.6229,0.4809,0.5279,0.6365,0.5822
19.4,-0.0352,0.2888,0.3684,0.1117,0.3139,0.2128,0.3235,0.5995,0.4615,0.5113,0.6139,0.5626
19.5,-0.0525,0.284,0.3334,0.1274,0.2889,0.2082,0.3077,0.5734,0.4405,0.4911,0.5871,0.5391
19.6,-0.0728,0.2817,0.2977,0.1482,0.2719,0.21,0.2914,0.5445,0.418,0.4678,0.557,0.5124
19.7,-0.0963,0.281,0.2624,0.1729,0.2622,0.2175,0.2744,0.5133,0.3938,0.4418,0.5245,0.4832
19.8,-0.1212,0.2813,0.2286,0.2001,0.2583,0.2292,0.2565,0.4802,0.3683,0.4136,0.4902,0.4519
19.9,-0.145,0.2829,0.1973,0.2281,0.259,0.2435,0.2379,0.4464,0.3421,0.3837,0.4548,0.4193
20,-0.1663,0.2857,0.1695,0.2556,0.2629,0.2593,0.2192,0.4131,0.3161,0.3529,0.4188,0.3859
20.1,-0.1851,0.2898,0.1465,0.2825,0.2693,0.2759,0.2016,0.3818,0.2917,0.322,0.3835,0.3527
20.2,-0.2025,0.2948,0.1297,0.3096,0.2778,0.2937,0.1864,0.3539,0.2702,0.2919,0.35,0.3209
20.3,-0.2184,0.3,0.1192,0.3367,0.2875,0.3121,0.1746,0.3307,0.2526,0.2637,0.3195,0.2916
20.4,-0.2328,0.3051,0.1143,0.3626,0.2978,0.3302,0.1666,0.3125,0.2396,0.2384,0.2926,0.2655
20.5,-0.2459,0.31,0.1141,0.3859,0.3078,0.3468,0.1623,0.2991,0.2307,0.2167,0.2698,0.2432
20.6,-0.2596,0.3152,0.1179,0.4054,0.3166,0.361,0.161,0.2898,0.2254,0.1989,0.2519,0.2254
20.7,-0.2759,0.3213,0.1255,0.4206,0.3235,0.3721,0.162,0.2836,0.2228,0.1851,0.2399,0.2125
20.8,-0.2949,0.3285,0.1362,0.4307,0.3275,0.3791,0.1646,0.28,0.2223,0.1751,0.2342,0.2046
20.9,-0.3155,0.3365,0.1495,0.4343,0.3276,0.381,0.1682,0.2785,0.2233,0.1686,0.2345,0.2015
21,-0.3368,0.345,0.164,0.4302,0.3239,0.377,0.172,0.2787,0.2253,0.1656,0.2398,0.2027
21.1,-0.3583,0.3535,0.1788,0.4176,0.3165,0.367,0.1755,0.28,0.2278,0.1663,0.2491,0.2077
21.2,-0.3795,0.3618,0.1938,0.3971,0.3059,0.3515,0.1785,0.2818,0.2301,0.1713,0.2622,0.2167
