Time,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar
8.5,-0.1185,0.5285,0.4903,0.5473,0.6424,0.5948,0.5202,0.5652,0.5427,0.6423,0.6106,0.6265
8.6,-0.1309,0.5337,0.486,0.542,0.6432,0.5926,0.5048,0.5604,0.5326,0.637,0.6038,0.6204
8.7,-0.145,0.5385,0.4847,0.5372,0.6431,0.5902,0.4913,0.5572,0.5243,0.634,0.5994,0.6167
8.8,-0.1609,0.5425,0.4867,0.5327,0.6417,0.5872,0.4797,0.5554,0.5176,0.6334,0.5975,0.6154
8.9,-0.1788,0.5456,0.4919,0.5283,0.6389,0.5836,0.4696,0.555,0.5123,0.6349,0.5981,0.6165
9,-0.1984,0.548,0.5001,0.5238,0.6349,0.5793,0.4608,0.5556,0.5082,0.6376,0.6012,0.6194
9.1,-0.2188,0.5497,0.5107,0.5193,0.6297,0.5745,0.4536,0.5567,0.5052,0.6412,0.6067,0.6239
9.2,-0.2384,0.5505,0.5231,0.5151,0.6236,0.5694,0.4482,0.5582,0.5032,0.6453,0.6142,0.6298
9.3,-0.256,0.5501,0.5367,0.5111,0.6165,0.5638,0.4449,0.5597,0.5023,0.6499,0.6236,0.6368
9.4,-0.2709,0.5485,0.5511,0.5073,0.6082,0.5578,0.4437,0.5611,0.5024,0.6548,0.6347,0.6448
9.5,-0.2828,0.5458,0.5657,0.5037,0.5992,0.5514,0.4445,0.5624,0.5034,0.6595,0.6473,0.6534
9.6,-0.2919,0.5424,0.5804,0.5003,0.59,0.5452,0.4477,0.5637,0.5057,0.6638,0.6608,0.6623
9.7,-0.2982,0.5389,0.5947,0.4974,0.5813,0.5393,0.4537,0.5653,0.5095,0.6678,0.6742,0.671
9.8,-0.3018,0.5354,0.6082,0.495,0.5733,0.5342,0.4628,0.5673,0.515,0.6717,0.6867,0.6792
9.9,-0.3025,0.5323,0.6207,0.4934,0.5666,0.53,0.4747,0.5697,0.5222,0.6755,0.6979,0.6867
10,-0.3005,0.5299,0.6321,0.4927,0.5615,0.5271,0.4889,0.5728,0.5308,0.6791,0.7076,0.6934
10.1,-0.2961,0.5284,0.6425,0.4933,0.5587,0.526,0.5054,0.5765,0.541,0.6826,0.716,0.6993
10.2,-0.2897,0.5275,0.6517,0.4953,0.5582,0.5267,0.5242,0.5812,0.5527,0.6863,0.7232,0.7048
10.3,-0.2814,0.527,0.6594,0.4982,0.5596,0.5289,0.5449,0.5866,0.5657,0.6902,0.7296,0.7099
10.4,-0.2719,0.5266,0.6652,0.5016,0.5619,0.5318,0.5663,0.5923,0.5793,0.6941,0.7351,0.7146
10.5,-0.2615,0.5261,0.6688,0.5049,0.5645,0.5347,0.5864,0.598,0.5922,0.6972,0.7398,0.7185
10.6,-0.2506,0.5258,0.6702,0.5078,0.5668,0.5373,0.6037,0.6034,0.6035,0.6989,0.7433,0.7211
10.7,-0.2388,0.5255,0.67,0.5102,0.569,0.5396,0.6173,0.6087,0.613,0.6988,0.7449,0.7218
10.8,-0.2257,0.5252,0.6685,0.5124,0.5707,0.5416,0.6273,0.614,0.6207,0.6971,0.7443,0.7207
10.9,-0.2112,0.5246,0.6662,0.5147,0.5721,0.5434,0.6341,0.6195,0.6268,0.6942,0.7416,0.7179
11,-0.1957,0.524,0.6634,0.5173,0.5733,0.5453,0.6381,0.6249,0.6315,0.6911,0.7375,0.7143
11.1,-0.1802,0.5237,0.6598,0.5201,0.5744,0.5473,0.6392,0.6297,0.6345,0.688,0.7322,0.7101
11.2,-0.1654,0.5235,0.6554,0.5226,0.5753,0.549,0.6373,0.6334,0.6353,0.6846,0.7257,0.7051
11.3,-0.1512,0.5232,0.6499,0.5241,0.5758,0.55,0.6321,0.6355,0.6338,0.6803,0.7176,0.699
11.4,-0.137,0.5225,0.6434,0.524,0.5755,0.5498,0.624,0.6364,0.6302,0.6751,0.7082,0.6916
11.5,-0.1219,0.5213,0.6365,0.5225,0.5742,0.5484,0.6134,0.6365,0.6249,0.669,0.6983,0.6837
11.6,-0.1059,0.5195,0.6295,0.5199,0.5722,0.546,0.6011,0.6361,0.6186,0.6627,0.6888,0.6757
11.7,-0.0893,0.5174,0.623,0.5171,0.5698,0.5435,0.588,0.6357,0.6119,0.6564,0.6804,0.6684
11.8,-0.073,0.5154,0.6173,0.5149,0.5677,0.5413,0.5751,0.636,0.6055,0.6505,0.6732,0.6619
11.9,-0.0572,0.5134,0.6123,0.5132,0.5659,0.5395,0.5632,0.6372,0.6002,0.6453,0.6671,0.6562
12,-0.042,0.5115,0.6084,0.5119,0.5641,0.538,0.5527,0.6396,0.5961,0.6409,0.6617,0.6513
12.1,-0.0271,0.5093,0.6056,0.5105,0.5622,0.5364,0.5436,0.6428,0.5932,0.6376,0.657,0.6473
12.2,-0.0124,0.5071,0.6043,0.5095,0.5601,0.5348,0.5362,0.6467,0.5915,0.6351,0.6531,0.6441
12.3,0.0026,0.5047,0.6043,0.5093,0.558,0.5336,0.531,0.6511,0.591,0.6338,0.6501,0.6419
12.4,0.018,0.5023,0.6054,0.5106,0.556,0.5333,0.528,0.6557,0.5918,0.6337,0.6478,0.6407
12.5,0.0336,0.5003,0.6073,0.5138,0.5545,0.5342,0.5272,0.6604,0.5938,0.6351,0.6459,0.6405
12.6,0.0482,0.4989,0.6098,0.5189,0.5536,0.5362,0.5283,0.665,0.5967,0.6376,0.6441,0.6409
12.7,0.06,0.4989,0.6133,0.5257,0.5535,0.5396,0.5309,0.6692,0.6001,0.6407,0.6422,0.6415
12.8,0.0674,0.5009,0.6177,0.534,0.5543,0.5442,0.535,0.6728,0.6039,0.6438,0.6397,0.6418
12.9,0.07,0.505,0.6227,0.5431,0.556,0.5496,0.5405,0.6756,0.6081,0.6464,0.6364,0.6414
13,0.0681,0.5107,0.6279,0.5524,0.5584,0.5554,0.5472,0.6778,0.6125,0.6484,0.6318,0.6401
13.1,0.0625,0.5176,0.6328,0.5609,0.5612,0.561,0.5543,0.6792,0.6168,0.6499,0.6261,0.638
13.2,0.0534,0.525,0.6369,0.568,0.5643,0.5662,0.5612,0.68,0.6206,0.6505,0.619,0.6348
13.3,0.0412,0.532,0.6397,0.5736,0.5675,0.5706,0.5673,0.6798,0.6235,0.6497,0.6104,0.6301
13.4,0.026,0.538,0.6413,0.5776,0.5706,0.5741,0.5727,0.6783,0.6255,0.6475,0.6004,0.6239
13.5,0.0087,0.5429,0.6418,0.58,0.5734,0.5767,0.5778,0.6756,0.6267,0.6443,0.5889,0.6166
13.6,-0.0098,0.5468,0.6416,0.581,0.5758,0.5784,0.5823,0.6719,0.6271,0.6407,0.5764,0.6086
13.7,-0.029,0.5504,0.6412,0.5806,0.5777,0.5791,0.5863,0.6675,0.6269,0.637,0.5636,0.6003
13.8,-0.0488,0.554,0.6411,0.5794,0.5791,0.5793,0.5897,0.6626,0.6261,0.6333,0.551,0.5921
13.9,-0.0682,0.5577,0.6414,0.578,0.5807,0.5794,0.593,0.6577,0.6254,0.6299,0.5389,0.5844
14,-0.086,0.5616,0.6422,0.5772,0.583,0.5801,0.5972,0.6535,0.6253,0.6271,0.5276,0.5774
14.1,-0.1011,0.566,0.6436,0.5776,0.5866,0.5821,0.6031,0.6503,0.6267,0.6254,0.5174,0.5714
14.2,-0.1131,0.5714,0.6453,0.5792,0.5917,0.5854,0.6104,0.6484,0.6294,0.6249,0.5085,0.5667
14.3,-0.122,0.5786,0.6469,0.5819,0.5983,0.5901,0.6187,0.6476,0.6331,0.6255,0.5013,0.5634
14.4,-0.1282,0.5879,0.6482,0.5851,0.6063,0.5957,0.6271,0.6476,0.6373,0.6271,0.4961,0.5616
14.5,-0.1315,0.5989,0.6486,0.5882,0.6149,0.6015,0.6352,0.6482,0.6417,0.6292,0.4934,0.5613
14.6,-0.1316,0.6109,0.6479,0.5907,0.6236,0.6072,0.6428,0.6494,0.6461,0.6315,0.4929,0.5622
14.7,-0.1279,0.6235,0.6458,0.5924,0.6325,0.6125,0.6497,0.6511,0.6504,0.6335,0.4944,0.5639
14.8,-0.1204,0.6362,0.6423,0.5937,0.6414,0.6175,0.6558,0.6532,0.6545,0.6352,0.4978,0.5665
14.9,-0.1094,0.6491,0.6375,0.5947,0.6502,0.6225,0.6609,0.6555,0.6582,0.6369,0.5033,0.5701
