Time,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
8,-0.0727,0.7627,0.5595,0.7606,0.5468,0.6537,0.4926,0.5083,0.5004,0.3716,0.5648,0.4682
8.1,-0.0888,0.7447,0.5692,0.7308,0.5384,0.6346,0.4813,0.4987,0.49,0.3767,0.5571,0.4669
8.2,-0.1037,0.7261,0.5778,0.6983,0.5294,0.6139,0.4704,0.4894,0.4799,0.3846,0.5484,0.4665
8.3,-0.1162,0.708,0.5854,0.6649,0.5212,0.593,0.461,0.4807,0.4708,0.3951,0.5394,0.4673
8.4,-0.125,0.6911,0.5912,0.6318,0.514,0.5729,0.4538,0.4726,0.4632,0.4081,0.5312,0.4696
8.5,-0.1292,0.6753,0.5949,0.5996,0.5078,0.5537,0.4497,0.4651,0.4574,0.423,0.5244,0.4737
8.6,-0.1284,0.6604,0.5963,0.5685,0.5024,0.5354,0.4489,0.4584,0.4537,0.4394,0.5192,0.4793
8.7,-0.1229,0.646,0.5957,0.5385,0.4975,0.518,0.4513,0.4525,0.4519,0.4568,0.5155,0.4861
8.8,-0.1125,0.632,0.5934,0.5101,0.4932,0.5016,0.4564,0.4477,0.4521,0.475,0.5135,0.4942
8.9,-0.0979,0.6181,0.5902,0.4837,0.4889,0.4863,0.464,0.4442,0.4541,0.4942,0.5133,0.5037
