Time,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
7.1,0.2486,0.5732,0.7605,0.8044,0.5955,0.6999,0.6214,0.853,0.7372,0.5721,0.6284,0.6003
7.2,0.2993,0.5788,0.756,0.8228,0.5957,0.7092,0.6293,0.8629,0.7461,0.5871,0.6182,0.6027
7.3,0.3477,0.584,0.7502,0.8409,0.5955,0.7182,0.6409,0.8696,0.7552,0.6016,0.6092,0.6054
7.4,0.3928,0.5888,0.7428,0.858,0.5948,0.7264,0.6556,0.8728,0.7642,0.6152,0.601,0.6081
7.5,0.434,0.5929,0.7341,0.8731,0.5939,0.7335,0.6727,0.8733,0.773,0.6276,0.5935,0.6105
7.6,0.4715,0.5967,0.7249,0.8852,0.5924,0.7388,0.6922,0.8718,0.782,0.639,0.5872,0.6131
7.7,0.5053,0.6002,0.7167,0.8937,0.5899,0.7418,0.7139,0.8691,0.7915,0.6496,0.5825,0.6161
7.8,0.5354,0.6036,0.7102,0.8981,0.5863,0.7422,0.7378,0.8653,0.8015,0.6595,0.5795,0.6195
7.9,0.5608,0.6073,0.7056,0.8984,0.5816,0.74,0.7634,0.8604,0.8119,0.6684,0.5772,0.6228
8,0.5804,0.6113,0.7023,0.8952,0.576,0.7356,0.7903,0.8544,0.8223,0.6755,0.575,0.6252
8.1,0.5928,0.6158,0.6997,0.8886,0.5697,0.7292,0.8175,0.8471,0.8323,0.6801,0.5725,0.6263
8.2,0.5971,0.6206,0.6973,0.8789,0.5628,0.7209,0.8441,0.8382,0.8412,0.6823,0.5703,0.6263
8.3,0.5928,0.6254,0.6955,0.8658,0.5555,0.7107,0.8692,0.8278,0.8485,0.683,0.5692,0.6261
8.4,0.58,0.6301,0.6944,0.8494,0.5486,0.699,0.8913,0.8162,0.8538,0.683,0.5703,0.6266
