Time,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1,Qantas - More in every Qantas point 30 TVC Viewing 1
4.5,-0.3555,0.5821,0.6611,0.4492,0.8384,0.6438,0.8123,0.7859,0.7991,0.7007,0.7405,0.7206
4.6,-0.3838,0.6,0.651,0.4685,0.8432,0.6559,0.8386,0.7633,0.8009,0.7186,0.7387,0.7286
4.7,-0.4065,0.6176,0.6427,0.4893,0.8453,0.6673,0.8633,0.7445,0.8039,0.7365,0.7378,0.7371
4.8,-0.423,0.635,0.6368,0.5107,0.8449,0.6778,0.886,0.7301,0.8081,0.7546,0.7382,0.7464
4.9,-0.4324,0.6521,0.6331,0.532,0.8422,0.6871,0.9068,0.7205,0.8136,0.7729,0.7404,0.7566
5,-0.434,0.669,0.6314,0.5528,0.8371,0.695,0.9257,0.7151,0.8204,0.7916,0.7445,0.7681
5.1,-0.4277,0.6851,0.6311,0.5721,0.8299,0.701,0.9426,0.7131,0.8279,0.8109,0.7508,0.7809
5.2,-0.4128,0.6996,0.6314,0.5894,0.8204,0.7049,0.9572,0.7133,0.8353,0.831,0.7594,0.7952
5.3,-0.3877,0.7123,0.6321,0.6049,0.8093,0.7071,0.9689,0.7149,0.8419,0.8519,0.7708,0.8114
5.4,-0.3504,0.7235,0.6329,0.6196,0.7978,0.7087,0.9776,0.7175,0.8475,0.8734,0.7849,0.8292
5.5,-0.2995,0.7336,0.6342,0.6344,0.7864,0.7104,0.9836,0.7204,0.852,0.8954,0.8019,0.8486
5.6,-0.2359,0.7427,0.6361,0.6496,0.7754,0.7125,0.9875,0.7232,0.8553,0.9174,0.8211,0.8693
5.7,-0.163,0.7505,0.639,0.6642,0.765,0.7146,0.9895,0.7252,0.8574,0.939,0.8414,0.8902
5.8,-0.0856,0.7576,0.6434,0.6781,0.7564,0.7172,0.9895,0.727,0.8583,0.9594,0.8616,0.9105
5.9,-0.0077,0.7651,0.6499,0.6921,0.7512,0.7217,0.9873,0.7295,0.8584,0.9782,0.8811,0.9296
6,0.0679,0.7742,0.6586,0.7077,0.7512,0.7294,0.9831,0.7333,0.8582,0.9952,0.8997,0.9475
6.1,0.1379,0.7846,0.6691,0.7252,0.7563,0.7408,0.9771,0.7383,0.8577,1.0101,0.9173,0.9637
6.2,0.198,0.795,0.6804,0.7438,0.7655,0.7547,0.9699,0.743,0.8565,1.0223,0.9332,0.9778
6.3,0.2452,0.8038,0.6909,0.7621,0.7774,0.7697,0.9615,0.7459,0.8537,1.0314,0.9462,0.9888
6.4,0.2785,0.8104,0.6995,0.7792,0.7916,0.7854,0.9518,0.7462,0.849,1.037,0.9557,0.9963
6.5,0.2993,0.815,0.7055,0.7948,0.808,0.8014,0.9408,0.7438,0.8423,1.0396,0.9619,1.0008
6.6,0.3093,0.8175,0.7091,0.8085,0.8264,0.8174,0.9284,0.739,0.8337,1.0393,0.9654,1.0024
6.7,0.3097,0.8169,0.711,0.8189,0.8453,0.8321,0.9145,0.7323,0.8234,1.0356,0.9663,1.0009
6.8,0.3009,0.8123,0.7121,0.8249,0.8628,0.8439,0.8992,0.7245,0.8118,1.0272,0.9642,0.9957
6.9,0.2838,0.8037,0.713,0.826,0.8777,0.8519,0.8828,0.717,0.7999,1.0139,0.9589,0.9864
7,0.2599,0.7918,0.7144,0.8229,0.8895,0.8562,0.866,0.7116,0.7888,0.9962,0.9504,0.9733
7.1,0.2315,0.7778,0.7163,0.8163,0.8973,0.8568,0.8491,0.7092,0.7792,0.9752,0.9389,0.9571
7.2,0.2014,0.7619,0.7187,0.8067,0.8998,0.8533,0.8315,0.7097,0.7706,0.9515,0.9244,0.938
7.3,0.1716,0.7442,0.7212,0.7942,0.896,0.8451,0.8127,0.7123,0.7625,0.9256,0.9072,0.9164
7.4,0.143,0.7251,0.7239,0.7791,0.8859,0.8325,0.7925,0.716,0.7542,0.8983,0.888,0.8932
7.5,0.1158,0.7057,0.7271,0.7624,0.8707,0.8166,0.7711,0.7201,0.7456,0.8709,0.868,0.8694
7.6,0.0906,0.6873,0.7315,0.7454,0.8521,0.7987,0.7489,0.7242,0.7366,0.844,0.8481,0.8461
7.7,0.0684,0.6706,0.7368,0.7291,0.8314,0.7803,0.7259,0.7281,0.727,0.8185,0.8284,0.8234
7.8,0.0488,0.6561,0.7425,0.7143,0.8095,0.7619,0.7023,0.7309,0.7166,0.7947,0.8091,0.8019
7.9,0.0305,0.6441,0.7477,0.7017,0.7876,0.7447,0.6785,0.7324,0.7054,0.7735,0.7907,0.7821
8,0.0124,0.6351,0.752,0.6922,0.7674,0.7298,0.6554,0.7321,0.6938,0.7554,0.7738,0.7646
8.1,-0.0053,0.63,0.7551,0.6863,0.7501,0.7182,0.6339,0.7295,0.6817,0.7406,0.7584,0.7495
8.2,-0.0212,0.6295,0.757,0.6842,0.7363,0.7103,0.6145,0.7241,0.6693,0.7289,0.7442,0.7365
8.3,-0.0345,0.6337,0.7573,0.686,0.7259,0.706,0.5976,0.716,0.6568,0.7198,0.7311,0.7255
8.4,-0.0451,0.6422,0.7555,0.6913,0.7184,0.7049,0.5833,0.7051,0.6442,0.7133,0.7189,0.7161
8.5,-0.0539,0.655,0.7518,0.6996,0.7134,0.7065,0.5718,0.6919,0.6319,0.709,0.7076,0.7083
8.6,-0.0613,0.6716,0.7467,0.7103,0.7109,0.7106,0.5626,0.6769,0.6198,0.7066,0.6971,0.7019
8.7,-0.0661,0.6915,0.7409,0.7227,0.7105,0.7166,0.5554,0.6605,0.608,0.7059,0.687,0.6964
8.8,-0.0683,0.7138,0.7349,0.7361,0.7113,0.7237,0.5501,0.6434,0.5967,0.7061,0.6764,0.6913
8.9,-0.0686,0.737,0.729,0.75,0.7124,0.7312,0.5463,0.6261,0.5862,0.7069,0.6649,0.6859
9,-0.069,0.76,0.7227,0.7631,0.713,0.7381,0.5437,0.6093,0.5765,0.7082,0.6523,0.6803
9.1,-0.0716,0.7817,0.7158,0.7746,0.713,0.7438,0.5419,0.5942,0.5681,0.7101,0.6388,0.6745
9.2,-0.0766,0.8016,0.7086,0.7839,0.7122,0.7481,0.5411,0.5818,0.5614,0.7127,0.6249,0.6688
9.3,-0.0832,0.8186,0.7015,0.7906,0.7109,0.7508,0.5415,0.573,0.5573,0.7159,0.611,0.6634
9.4,-0.09,0.8317,0.6949,0.7944,0.7088,0.7516,0.5438,0.5683,0.556,0.7196,0.5972,0.6584
9.5,-0.0966,0.8402,0.6884,0.795,0.7055,0.7503,0.5481,0.5671,0.5576,0.7237,0.5841,0.6539
9.6,-0.1029,0.8442,0.6812,0.7922,0.701,0.7466,0.5546,0.5689,0.5617,0.7285,0.572,0.6503
9.7,-0.108,0.8445,0.6727,0.7863,0.6954,0.7408,0.5634,0.5733,0.5684,0.7348,0.5616,0.6482
9.8,-0.1106,0.8418,0.6631,0.7779,0.6884,0.7331,0.575,0.5805,0.5777,0.7431,0.5536,0.6483
9.9,-0.1098,0.8362,0.6533,0.7676,0.6794,0.7235,0.5896,0.5906,0.5901,0.7537,0.5483,0.651
10,-0.1062,0.8278,0.6445,0.7556,0.6673,0.7115,0.607,0.6033,0.6051,0.7658,0.5457,0.6558
10.1,-0.1012,0.8171,0.6376,0.7422,0.6518,0.697,0.6261,0.6186,0.6224,0.7785,0.546,0.6622
10.2,-0.0962,0.8053,0.6334,0.728,0.6335,0.6807,0.6455,0.6363,0.6409,0.791,0.5489,0.67
10.3,-0.0911,0.794,0.6328,0.7144,0.6137,0.664,0.664,0.6563,0.6601,0.8033,0.5543,0.6788
10.4,-0.085,0.7842,0.6366,0.7028,0.5933,0.648,0.6805,0.6779,0.6792,0.8151,0.5614,0.6883
10.5,-0.0768,0.7756,0.6442,0.6937,0.5728,0.6333,0.6943,0.6993,0.6968,0.8251,0.5693,0.6972
10.6,-0.0667,0.7675,0.6542,0.6868,0.5529,0.6198,0.7045,0.7183,0.7114,0.8315,0.5771,0.7043
10.7,-0.0555,0.7593,0.6656,0.6819,0.5348,0.6083,0.7112,0.7336,0.7224,0.8333,0.5842,0.7088
10.8,-0.0441,0.7508,0.6774,0.6793,0.5205,0.5999,0.7158,0.7449,0.7303,0.8309,0.5908,0.7109
10.9,-0.0319,0.7424,0.6887,0.6796,0.5112,0.5954,0.7196,0.7522,0.7359,0.8257,0.597,0.7113
11,-0.0182,0.7338,0.6982,0.6827,0.5063,0.5945,0.723,0.7558,0.7394,0.8184,0.6028,0.7106
11.1,-0.0027,0.7247,0.7051,0.6875,0.5045,0.596,0.7261,0.7558,0.7409,0.8089,0.6076,0.7083
11.2,0.014,0.7146,0.7092,0.6932,0.5046,0.5989,0.7285,0.7528,0.7406,0.797,0.6106,0.7038
11.3,0.0311,0.7033,0.7113,0.699,0.5066,0.6028,0.7303,0.747,0.7387,0.7829,0.6116,0.6972
11.4,0.0484,0.6906,0.7119,0.7043,0.5109,0.6076,0.7319,0.7387,0.7353,0.7677,0.6109,0.6893
11.5,0.0659,0.676,0.7115,0.7086,0.5172,0.6129,0.7332,0.7279,0.7306,0.7521,0.609,0.6805
11.6,0.0825,0.6592,0.7102,0.711,0.525,0.618,0.7342,0.7155,0.7249,0.7368,0.6063,0.6715
11.7,0.0966,0.6397,0.708,0.7113,0.534,0.6226,0.7347,0.7032,0.7189,0.7218,0.6028,0.6623
11.8,0.1069,0.6175,0.7051,0.7094,0.5439,0.6267,0.7346,0.6919,0.7133,0.7068,0.5984,0.6526
11.9,0.1134,0.5925,0.7015,0.7055,0.5545,0.63,0.734,0.6814,0.7077,0.692,0.5929,0.6425
12,0.1169,0.5651,0.6974,0.6996,0.565,0.6323,0.733,0.6709,0.7019,0.6777,0.5862,0.632
12.1,0.1174,0.5357,0.6932,0.6912,0.5748,0.633,0.7319,0.6596,0.6958,0.6641,0.5787,0.6214
12.2,0.1128,0.5047,0.6895,0.6796,0.5839,0.6318,0.7312,0.6487,0.69,0.6515,0.5715,0.6115
12.3,0.1012,0.473,0.6865,0.6642,0.5923,0.6283,0.7311,0.6397,0.6854,0.6401,0.5654,0.6028
12.4,0.0822,0.4414,0.6842,0.6443,0.5999,0.6221,0.7315,0.6335,0.6825,0.6298,0.561,0.5954
12.5,0.0574,0.4114,0.683,0.6198,0.6067,0.6132,0.7326,0.6302,0.6814,0.621,0.5584,0.5897
12.6,0.0288,0.3847,0.6837,0.5915,0.6122,0.6018,0.7347,0.629,0.6818,0.6139,0.5574,0.5856
12.7,-0.0015,0.363,0.6866,0.5608,0.6162,0.5885,0.7379,0.6288,0.6833,0.6089,0.5579,0.5834
12.8,-0.0327,0.3478,0.6909,0.5289,0.619,0.5739,0.7417,0.6285,0.6851,0.6062,0.5596,0.5829
12.9,-0.0642,0.3401,0.6947,0.4964,0.6201,0.5583,0.745,0.6269,0.6859,0.6053,0.562,0.5837
13,-0.0955,0.3399,0.697,0.4635,0.6188,0.5411,0.7467,0.6231,0.6849,0.6058,0.5645,0.5851
13.1,-0.1253,0.3456,0.6973,0.4301,0.6139,0.522,0.7464,0.6173,0.6819,0.607,0.5662,0.5866
13.2,-0.1522,0.3554,0.6957,0.3964,0.6049,0.5007,0.7437,0.6101,0.6769,0.6084,0.5666,0.5875
13.3,-0.1751,0.3678,0.6921,0.3628,0.5921,0.4774,0.7383,0.6021,0.6702,0.6092,0.5653,0.5873
13.4,-0.1935,0.3819,0.6862,0.3296,0.5765,0.4531,0.7293,0.5936,0.6615,0.609,0.5622,0.5856
13.5,-0.2077,0.3967,0.6778,0.2972,0.5594,0.4283,0.7163,0.5848,0.6506,0.6075,0.5569,0.5822
13.6,-0.2184,0.4104,0.6673,0.2661,0.541,0.4036,0.6997,0.5757,0.6377,0.6049,0.5487,0.5768
13.7,-0.226,0.4202,0.6548,0.2368,0.5209,0.3788,0.6808,0.5667,0.6237,0.6015,0.5372,0.5693
13.8,-0.2309,0.4237,0.6395,0.2097,0.4986,0.3542,0.6609,0.5576,0.6093,0.5975,0.5226,0.56
13.9,-0.233,0.42,0.6202,0.1854,0.474,0.3297,0.6406,0.5483,0.5944,0.5934,0.5061,0.5498
14,-0.2335,0.4099,0.5966,0.1645,0.4478,0.3061,0.6203,0.5384,0.5794,0.5901,0.4892,0.5397
14.1,-0.2338,0.3947,0.5702,0.1475,0.4218,0.2846,0.6007,0.5282,0.5644,0.5886,0.4729,0.5307
14.2,-0.2344,0.3763,0.5434,0.1348,0.3974,0.2661,0.5829,0.5183,0.5506,0.5898,0.4578,0.5238
14.3,-0.2346,0.3559,0.5183,0.126,0.3752,0.2506,0.5678,0.5097,0.5388,0.5933,0.4442,0.5188
14.4,-0.2337,0.3342,0.4957,0.1207,0.3558,0.2382,0.5554,0.5031,0.5292,0.5986,0.4321,0.5153
14.5,-0.2318,0.3119,0.4766,0.119,0.3399,0.2294,0.5454,0.4986,0.522,0.6048,0.4218,0.5133
14.6,-0.2292,0.2901,0.4618,0.1217,0.3284,0.2251,0.538,0.4966,0.5173,0.6117,0.4139,0.5128
14.7,-0.2262,0.2699,0.452,0.1298,0.322,0.2259,0.5336,0.4975,0.5156,0.6192,0.4088,0.514
14.8,-0.2227,0.2524,0.4477,0.1433,0.3203,0.2318,0.5331,0.5019,0.5175,0.6273,0.4071,0.5172
14.9,-0.2193,0.2378,0.4485,0.1606,0.3225,0.2415,0.5369,0.5098,0.5233,0.6351,0.4084,0.5218
15,-0.2173,0.2262,0.4539,0.1803,0.3281,0.2542,0.5447,0.5211,0.5329,0.6413,0.4126,0.5269
15.1,-0.2171,0.2184,0.4636,0.2023,0.3376,0.27,0.556,0.5355,0.5458,0.6452,0.4198,0.5325
15.2,-0.218,0.2153,0.4773,0.2276,0.3521,0.2898,0.5703,0.552,0.5612,0.6473,0.4308,0.5391
15.3,-0.2183,0.2181,0.4948,0.257,0.3716,0.3143,0.5865,0.5699,0.5782,0.6485,0.4466,0.5476
15.4,-0.2172,0.227,0.5158,0.2899,0.3957,0.3428,0.6033,0.5882,0.5957,0.6495,0.4678,0.5586
15.5,-0.2144,0.2416,0.5393,0.3244,0.4232,0.3738,0.6188,0.6056,0.6122,0.6502,0.4938,0.572
15.6,-0.2102,0.2609,0.5633,0.3585,0.4524,0.4054,0.6315,0.6214,0.6265,0.6504,0.5235,0.5869
15.7,-0.2036,0.2841,0.5852,0.3912,0.4812,0.4362,0.6408,0.6347,0.6377,0.6495,0.5549,0.6022
15.8,-0.1924,0.3106,0.6031,0.4223,0.5078,0.4651,0.6463,0.6449,0.6456,0.6473,0.5863,0.6168
15.9,-0.1755,0.3397,0.6161,0.4512,0.5304,0.4908,0.6481,0.6515,0.6498,0.644,0.6164,0.6302
16,-0.1534,0.3703,0.6234,0.4767,0.548,0.5124,0.6458,0.654,0.6499,0.6403,0.6445,0.6424
16.1,-0.1279,0.4009,0.6247,0.4971,0.5608,0.5289,0.639,0.6527,0.6459,0.6365,0.67,0.6533
16.2,-0.1001,0.4305,0.6198,0.5117,0.5691,0.5404,0.6274,0.6483,0.6378,0.6329,0.6928,0.6629
16.3,-0.0699,0.4583,0.6091,0.5208,0.5735,0.5472,0.6114,0.6416,0.6265,0.6297,0.7124,0.671
16.4,-0.0372,0.4838,0.5936,0.526,0.5741,0.55,0.5924,0.6336,0.613,0.6274,0.7285,0.6779
16.5,-0.0029,0.5069,0.5743,0.5281,0.5713,0.5497,0.5715,0.6252,0.5984,0.6263,0.741,0.6837
16.6,0.031,0.5276,0.5524,0.528,0.5657,0.5469,0.5496,0.6167,0.5831,0.6267,0.7501,0.6884
16.7,0.0632,0.5462,0.5297,0.5264,0.5581,0.5422,0.5268,0.6087,0.5677,0.6288,0.7564,0.6926
16.8,0.093,0.5632,0.5083,0.5245,0.5496,0.5371,0.5036,0.6019,0.5528,0.6332,0.7609,0.697
16.9,0.12,0.579,0.4897,0.5242,0.541,0.5326,0.4811,0.5972,0.5392,0.6404,0.7643,0.7023
17,0.1442,0.5935,0.4748,0.5265,0.5329,0.5297,0.4602,0.5952,0.5277,0.65,0.7671,0.7086
17.1,0.1655,0.6068,0.4632,0.532,0.5258,0.5289,0.4415,0.5958,0.5187,0.6613,0.7692,0.7152
17.2,0.184,0.6196,0.4549,0.5409,0.5206,0.5307,0.425,0.5987,0.5119,0.6728,0.7705,0.7216
17.3,0.2001,0.6325,0.45,0.5527,0.5183,0.5355,0.4106,0.6036,0.5071,0.6834,0.7707,0.727
17.4,0.2139,0.6459,0.4489,0.5671,0.5194,0.5433,0.3985,0.6104,0.5044,0.6922,0.7697,0.7309
17.5,0.2259,0.6594,0.4516,0.5836,0.5238,0.5537,0.3889,0.619,0.5039,0.6984,0.7669,0.7327
17.6,0.2367,0.6721,0.4578,0.6012,0.5305,0.5658,0.3821,0.6288,0.5054,0.7014,0.7622,0.7318
17.7,0.2472,0.683,0.4666,0.6184,0.5379,0.5782,0.3779,0.6387,0.5083,0.7006,0.7554,0.728
17.8,0.2581,0.691,0.4775,0.6341,0.5448,0.5895,0.3756,0.6473,0.5115,0.6964,0.7468,0.7216
17.9,0.2691,0.6956,0.49,0.6473,0.5502,0.5987,0.3742,0.6533,0.5137,0.6892,0.7366,0.7129
18,0.2792,0.697,0.5032,0.6571,0.5532,0.6051,0.3726,0.6557,0.5141,0.6792,0.7247,0.7019
18.1,0.2869,0.6949,0.5158,0.6629,0.5532,0.608,0.3703,0.6543,0.5123,0.6666,0.7112,0.6889
18.2,0.2905,0.6895,0.527,0.6641,0.5504,0.6073,0.3672,0.6488,0.508,0.6517,0.6963,0.674
18.3,0.2891,0.681,0.5362,0.6607,0.5459,0.6033,0.3634,0.6395,0.5014,0.6348,0.6805,0.6577
18.4,0.282,0.6702,0.5434,0.6532,0.5409,0.597,0.3588,0.6271,0.4929,0.6167,0.6647,0.6407
18.5,0.2691,0.6581,0.5486,0.6423,0.5359,0.5891,0.3532,0.6126,0.4829,0.5983,0.649,0.6237
18.6,0.2503,0.6458,0.5517,0.6289,0.5311,0.58,0.3461,0.5971,0.4716,0.5799,0.6335,0.6067
18.7,0.2247,0.6336,0.553,0.6129,0.5259,0.5694,0.3373,0.5814,0.4593,0.5618,0.6182,0.59
18.8,0.1906,0.6219,0.5528,0.5943,0.5207,0.5575,0.3267,0.5659,0.4463,0.5442,0.6033,0.5738
18.9,0.1467,0.6108,0.552,0.573,0.5161,0.5446,0.3149,0.5514,0.4331,0.5273,0.5889,0.5581
19,0.0934,0.6004,0.5515,0.5499,0.513,0.5314,0.302,0.5385,0.4202,0.5113,0.5745,0.5429
19.1,0.0334,0.5913,0.5522,0.5261,0.5118,0.5189,0.2882,0.5279,0.4081,0.4968,0.5602,0.5285
19.2,-0.0296,0.5839,0.5554,0.5029,0.5129,0.5079,0.2734,0.5202,0.3968,0.4843,0.5465,0.5154
19.3,-0.0924,0.5792,0.5625,0.4817,0.517,0.4993,0.257,0.5154,0.3862,0.4743,0.5346,0.5045
19.4,-0.1526,0.5781,0.5742,0.4635,0.5253,0.4944,0.239,0.5137,0.3763,0.4675,0.5252,0.4964
19.5,-0.2077,0.5816,0.5906,0.4501,0.5386,0.4943,0.22,0.5151,0.3675,0.464,0.5185,0.4913
19.6,-0.2546,0.5902,0.6107,0.4428,0.5568,0.4998,0.2012,0.5194,0.3603,0.4638,0.514,0.4889
19.7,-0.2906,0.6034,0.6335,0.4426,0.5787,0.5107,0.1841,0.5262,0.3552,0.467,0.5111,0.4891
19.8,-0.3143,0.6203,0.6576,0.4493,0.6028,0.5261,0.1694,0.5344,0.3519,0.4737,0.5096,0.4917
19.9,-0.3261,0.6397,0.6825,0.4613,0.6278,0.5446,0.1565,0.5425,0.3495,0.4838,0.5092,0.4965
20,-0.3261,0.6606,0.7081,0.4767,0.6528,0.5647,0.1447,0.55,0.3473,0.4972,0.5097,0.5035
20.1,-0.3146,0.6821,0.734,0.4938,0.6771,0.5855,0.1341,0.5564,0.3452,0.5135,0.5108,0.5122
20.2,-0.292,0.7031,0.7592,0.5112,0.7001,0.6057,0.1259,0.5615,0.3437,0.532,0.5124,0.5222
20.3,-0.2596,0.7223,0.7822,0.527,0.721,0.624,0.1215,0.565,0.3432,0.5519,0.5138,0.5329
20.4,-0.2197,0.7388,0.8022,0.5395,0.7388,0.6392,0.1215,0.566,0.3437,0.5718,0.5145,0.5432
20.5,-0.1746,0.7522,0.8185,0.548,0.7531,0.6506,0.1256,0.5638,0.3447,0.5903,0.5135,0.5519
20.6,-0.1261,0.7625,0.8309,0.5528,0.7637,0.6583,0.1334,0.5581,0.3457,0.6061,0.5102,0.5581
20.7,-0.0748,0.7702,0.839,0.5548,0.7709,0.6628,0.1447,0.549,0.3468,0.6186,0.5044,0.5615
20.8,-0.0214,0.7754,0.842,0.5548,0.7745,0.6646,0.1595,0.5362,0.3478,0.6274,0.4966,0.562
