Time,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC,Colorbond - Made by Australia 30 TVC
1.7,-0.0523,0.6227,0.5289,0.5768,0.592,0.5844,0.5287,0.4039,0.4663,0.3961,0.3803,0.3882
1.8,-0.0942,0.6448,0.5331,0.5756,0.625,0.6003,0.5099,0.4122,0.4611,0.3931,0.3917,0.3924
1.9,-0.1387,0.6678,0.5354,0.5748,0.6602,0.6175,0.4908,0.4214,0.4561,0.3925,0.4044,0.3985
2,-0.1853,0.6917,0.5356,0.5744,0.6973,0.6358,0.4713,0.4317,0.4515,0.394,0.418,0.406
2.1,-0.233,0.7165,0.5336,0.5743,0.7355,0.6549,0.4521,0.4433,0.4477,0.3973,0.4329,0.4151
2.2,-0.281,0.7415,0.5295,0.5746,0.7739,0.6742,0.4336,0.4559,0.4447,0.4026,0.449,0.4258
2.3,-0.3277,0.7658,0.5232,0.5751,0.8118,0.6934,0.4167,0.4688,0.4428,0.41,0.4657,0.4379
2.4,-0.3718,0.7882,0.5148,0.5757,0.848,0.7119,0.4021,0.4809,0.4415,0.419,0.4823,0.4507
2.5,-0.4119,0.8078,0.5042,0.5766,0.8814,0.729,0.3899,0.4908,0.4404,0.4291,0.4981,0.4636
2.6,-0.4475,0.8239,0.492,0.5778,0.9109,0.7444,0.3802,0.4977,0.4389,0.4399,0.5126,0.4762
2.7,-0.4782,0.8362,0.4789,0.5795,0.936,0.7577,0.3734,0.5016,0.4375,0.451,0.5256,0.4883
2.8,-0.5032,0.845,0.4658,0.5822,0.9566,0.7694,0.3703,0.5037,0.437,0.4623,0.5369,0.4996
2.9,-0.5217,0.8503,0.4537,0.5862,0.973,0.7796,0.3719,0.505,0.4384,0.4741,0.5467,0.5104
3,-0.5334,0.8517,0.443,0.5912,0.9854,0.7883,0.3786,0.5061,0.4424,0.4868,0.5556,0.5212
3.1,-0.5385,0.8488,0.4344,0.5968,0.9934,0.7951,0.3901,0.507,0.4486,0.5004,0.564,0.5322
3.2,-0.5379,0.8412,0.428,0.6026,0.9967,0.7996,0.4053,0.5074,0.4563,0.5148,0.5723,0.5436
3.3,-0.5319,0.8291,0.4243,0.6085,0.9945,0.8015,0.4231,0.5072,0.4652,0.5296,0.5802,0.5549
3.4,-0.5207,0.8132,0.4233,0.6148,0.9866,0.8007,0.4429,0.5065,0.4747,0.5441,0.5881,0.5661
3.5,-0.5047,0.7942,0.425,0.6217,0.9729,0.7973,0.4638,0.5058,0.4848,0.5576,0.5962,0.5769
3.6,-0.4849,0.7727,0.4291,0.6287,0.9537,0.7912,0.4852,0.5052,0.4952,0.5698,0.6049,0.5873
3.7,-0.4627,0.7492,0.4352,0.6349,0.9295,0.7822,0.5062,0.5046,0.5054,0.5802,0.6141,0.5971
3.8,-0.4392,0.7244,0.4425,0.639,0.901,0.77,0.5261,0.5038,0.5149,0.5891,0.6237,0.6064
3.9,-0.4155,0.6991,0.4511,0.6406,0.8689,0.7548,0.5439,0.5029,0.5234,0.5967,0.6341,0.6154
4,-0.3921,0.6736,0.4612,0.6396,0.8345,0.7371,0.5596,0.5023,0.5309,0.6034,0.6461,0.6247
4.1,-0.3691,0.6488,0.4736,0.6366,0.799,0.7178,0.5731,0.5028,0.538,0.6093,0.6602,0.6348
4.2,-0.3469,0.6254,0.4882,0.6319,0.7634,0.6977,0.5844,0.5051,0.5448,0.6141,0.6766,0.6453
4.3,-0.3257,0.6039,0.5043,0.6254,0.7286,0.677,0.5934,0.5087,0.5511,0.6172,0.6945,0.6559
4.4,-0.3062,0.5848,0.5203,0.6163,0.6954,0.6558,0.5995,0.5124,0.556,0.6181,0.7129,0.6655
4.5,-0.2891,0.5683,0.5348,0.6043,0.6642,0.6343,0.6019,0.5148,0.5584,0.6168,0.7307,0.6737
4.6,-0.2747,0.554,0.5463,0.5895,0.6356,0.6125,0.6001,0.5146,0.5573,0.613,0.7468,0.6799
4.7,-0.2623,0.5416,0.5535,0.573,0.6095,0.5912,0.5936,0.511,0.5523,0.607,0.7603,0.6836
4.8,-0.2512,0.5313,0.5552,0.5563,0.5862,0.5712,0.5826,0.5033,0.543,0.5984,0.7699,0.6842
4.9,-0.2408,0.5232,0.5506,0.5402,0.5662,0.5532,0.5672,0.4912,0.5292,0.5874,0.7747,0.6811
5,-0.2308,0.5168,0.5396,0.5251,0.5496,0.5374,0.5477,0.4744,0.5111,0.574,0.7739,0.674
5.1,-0.2212,0.5118,0.523,0.5112,0.5366,0.5239,0.5247,0.4531,0.4889,0.5586,0.7675,0.663
5.2,-0.2119,0.5078,0.502,0.4985,0.5268,0.5126,0.4988,0.4282,0.4635,0.5415,0.7558,0.6487
5.3,-0.2025,0.5046,0.4774,0.4874,0.5199,0.5036,0.4705,0.4007,0.4356,0.5236,0.7391,0.6314
5.4,-0.193,0.5025,0.4498,0.4781,0.5158,0.4969,0.4406,0.3719,0.4063,0.5056,0.7181,0.6119
5.5,-0.1835,0.5016,0.4201,0.4706,0.5149,0.4927,0.4105,0.3428,0.3767,0.4884,0.6932,0.5908
5.6,-0.1746,0.5017,0.3894,0.4649,0.5176,0.4913,0.3816,0.3142,0.3479,0.4724,0.6648,0.5686
5.7,-0.1665,0.5026,0.359,0.4612,0.5237,0.4925,0.3553,0.2873,0.3213,0.458,0.6336,0.5458
5.8,-0.1598,0.504,0.3303,0.4596,0.5328,0.4962,0.3328,0.2633,0.2981,0.4452,0.6002,0.5227
5.9,-0.1555,0.5062,0.3043,0.4602,0.5445,0.5023,0.3147,0.2438,0.2793,0.4347,0.566,0.5003
6,-0.1553,0.5093,0.2819,0.4623,0.5587,0.5105,0.3016,0.2301,0.2658,0.4273,0.5326,0.4799
6.1,-0.1616,0.5133,0.2642,0.4648,0.5752,0.52,0.2937,0.2231,0.2584,0.4241,0.5016,0.4628
6.2,-0.1756,0.5173,0.2516,0.4665,0.5933,0.5299,0.2915,0.223,0.2573,0.4255,0.4741,0.4498
6.3,-0.1973,0.5206,0.2445,0.4664,0.612,0.5392,0.2948,0.2295,0.2621,0.4311,0.4506,0.4408
6.4,-0.2251,0.523,0.2429,0.4646,0.63,0.5473,0.3025,0.2418,0.2722,0.4395,0.4312,0.4354
6.5,-0.2573,0.5248,0.247,0.4615,0.6466,0.554,0.3135,0.2593,0.2864,0.4495,0.416,0.4328
6.6,-0.2922,0.5267,0.2568,0.4579,0.6614,0.5597,0.3268,0.2818,0.3043,0.4601,0.4051,0.4326
6.7,-0.3288,0.529,0.2721,0.4549,0.6741,0.5645,0.3418,0.3087,0.3252,0.4715,0.3986,0.435
6.8,-0.3656,0.5319,0.2922,0.4529,0.6844,0.5687,0.3583,0.3394,0.3488,0.4839,0.3963,0.4401
6.9,-0.4012,0.5349,0.3165,0.4523,0.6916,0.572,0.3761,0.3724,0.3743,0.4973,0.398,0.4477
7,-0.434,0.5377,0.3438,0.4529,0.6951,0.574,0.3942,0.4062,0.4002,0.5116,0.4029,0.4572
7.1,-0.4623,0.5395,0.3727,0.4541,0.6945,0.5743,0.4117,0.4386,0.4251,0.5259,0.4103,0.4681
7.2,-0.4853,0.5399,0.402,0.4559,0.6895,0.5727,0.4276,0.468,0.4478,0.5399,0.4196,0.4798
7.3,-0.5018,0.5384,0.4304,0.4579,0.6798,0.5689,0.4419,0.4928,0.4674,0.5529,0.4301,0.4915
7.4,-0.5109,0.5351,0.4566,0.4597,0.6654,0.5626,0.455,0.512,0.4835,0.5644,0.4408,0.5026
7.5,-0.5119,0.5302,0.4791,0.4603,0.6466,0.5535,0.4672,0.5252,0.4962,0.574,0.4506,0.5123
7.6,-0.5046,0.5237,0.4965,0.4591,0.6237,0.5414,0.4788,0.5321,0.5055,0.5811,0.4585,0.5198
7.7,-0.4892,0.5157,0.5079,0.4556,0.5972,0.5264,0.4898,0.5329,0.5114,0.5861,0.4643,0.5252
7.8,-0.466,0.5063,0.5133,0.4501,0.5678,0.509,0.5006,0.528,0.5143,0.5894,0.4679,0.5286
7.9,-0.435,0.4959,0.5128,0.4431,0.5366,0.4898,0.5113,0.5181,0.5147,0.5916,0.4696,0.5306
8,-0.3959,0.4856,0.5069,0.4355,0.5047,0.4701,0.5229,0.5042,0.5136,0.5931,0.4695,0.5313
8.1,-0.3495,0.4763,0.4964,0.4281,0.4735,0.4508,0.5362,0.488,0.5121,0.5934,0.4674,0.5304
8.2,-0.2979,0.4684,0.4824,0.4214,0.4448,0.4331,0.5522,0.471,0.5116,0.5924,0.4633,0.5278
8.3,-0.2445,0.4616,0.4659,0.415,0.4195,0.4173,0.5713,0.4548,0.513,0.59,0.4582,0.5241
8.4,-0.1927,0.4549,0.4483,0.4079,0.398,0.4029,0.5929,0.4403,0.5166,0.5866,0.4528,0.5197
8.5,-0.1454,0.4476,0.4301,0.3992,0.38,0.3896,0.616,0.4285,0.5222,0.5823,0.4471,0.5147
8.6,-0.1043,0.4399,0.4117,0.3891,0.3656,0.3774,0.6393,0.4196,0.5295,0.5775,0.441,0.5092
8.7,-0.0697,0.4323,0.3925,0.3784,0.3548,0.3666,0.6618,0.4137,0.5377,0.5721,0.4342,0.5031
8.8,-0.0421,0.4254,0.3723,0.3675,0.3478,0.3577,0.683,0.4103,0.5466,0.5659,0.4265,0.4962
8.9,-0.022,0.4194,0.351,0.3566,0.3449,0.3507,0.7026,0.4087,0.5556,0.5589,0.4182,0.4885
9,-0.0099,0.4139,0.3291,0.345,0.3454,0.3452,0.7201,0.4082,0.5642,0.5508,0.4094,0.4801
9.1,-0.0056,0.4085,0.3073,0.3327,0.3481,0.3404,0.7348,0.408,0.5714,0.5417,0.4003,0.471
9.2,-0.0079,0.4032,0.2868,0.3205,0.3522,0.3363,0.7462,0.4074,0.5768,0.5319,0.3912,0.4615
9.3,-0.0153,0.3986,0.2686,0.3094,0.3579,0.3337,0.7541,0.4063,0.5802,0.5218,0.3826,0.4522
9.4,-0.0268,0.3952,0.2535,0.3005,0.3658,0.3331,0.7588,0.4043,0.5816,0.5122,0.3751,0.4437
9.5,-0.0412,0.3937,0.2415,0.2943,0.3758,0.3351,0.7608,0.401,0.5809,0.503,0.3689,0.4359
9.6,-0.0564,0.3944,0.2325,0.2916,0.3873,0.3394,0.7599,0.3959,0.5779,0.4936,0.3639,0.4288
9.7,-0.0703,0.3974,0.2264,0.2927,0.399,0.3459,0.7554,0.3888,0.5721,0.4839,0.3603,0.4221
9.8,-0.0816,0.4024,0.2235,0.2978,0.4099,0.3539,0.7468,0.38,0.5634,0.4739,0.3585,0.4162
9.9,-0.09,0.4089,0.2237,0.3061,0.4194,0.3627,0.734,0.3706,0.5523,0.4646,0.3592,0.4119
10,-0.0959,0.4157,0.2267,0.3164,0.4269,0.3716,0.7171,0.3609,0.539,0.4572,0.3626,0.4099
10.1,-0.1,0.4217,0.2314,0.3271,0.4317,0.3794,0.6962,0.3507,0.5234,0.4524,0.3687,0.4106
10.2,-0.1026,0.4262,0.2367,0.3374,0.4331,0.3852,0.6714,0.3397,0.5056,0.4507,0.3774,0.4141
10.3,-0.1038,0.429,0.2421,0.3469,0.4309,0.3889,0.6438,0.3283,0.4861,0.4526,0.3885,0.4206
10.4,-0.1045,0.4307,0.2473,0.3554,0.4265,0.391,0.6149,0.3175,0.4662,0.4586,0.4025,0.4305
10.5,-0.1057,0.4322,0.2528,0.3632,0.4217,0.3924,0.5863,0.3082,0.4472,0.4694,0.4196,0.4445
10.6,-0.1079,0.4344,0.2592,0.3704,0.4178,0.3941,0.5593,0.301,0.4302,0.4856,0.4395,0.4626
10.7,-0.1101,0.4377,0.2668,0.3776,0.4152,0.3964,0.5349,0.296,0.4154,0.5071,0.4615,0.4843
10.8,-0.1108,0.4422,0.2759,0.3857,0.4137,0.3997,0.5132,0.2933,0.4033,0.5334,0.4846,0.509
10.9,-0.1083,0.4478,0.2865,0.3956,0.413,0.4043,0.4946,0.2929,0.3938,0.563,0.5078,0.5354
11,-0.102,0.4543,0.2989,0.4078,0.4131,0.4104,0.4788,0.2947,0.3868,0.594,0.5304,0.5622
11.1,-0.092,0.4616,0.313,0.4223,0.4134,0.4178,0.4651,0.2984,0.3818,0.6244,0.5512,0.5878
11.2,-0.0787,0.4695,0.3284,0.4388,0.4131,0.4259,0.4531,0.3034,0.3782,0.6524,0.5689,0.6107
11.3,-0.0621,0.4777,0.3443,0.457,0.4115,0.4343,0.4426,0.3095,0.3761,0.6767,0.5825,0.6296
11.4,-0.0422,0.4859,0.3604,0.4771,0.4084,0.4428,0.4345,0.3174,0.3759,0.6967,0.5917,0.6442
11.5,-0.0192,0.4938,0.3766,0.4991,0.4039,0.4515,0.4295,0.328,0.3787,0.7125,0.5969,0.6547
11.6,0.0069,0.5012,0.3925,0.5227,0.3982,0.4604,0.4278,0.3415,0.3846,0.7242,0.5985,0.6614
11.7,0.036,0.5081,0.4074,0.547,0.3905,0.4687,0.4285,0.357,0.3928,0.7322,0.5966,0.6644
11.8,0.0682,0.5144,0.4202,0.5709,0.3802,0.4756,0.4305,0.373,0.4018,0.7367,0.5907,0.6637
11.9,0.1031,0.5205,0.43,0.5939,0.3682,0.481,0.4333,0.3878,0.4106,0.7379,0.5808,0.6593
12,0.1401,0.5272,0.4363,0.6156,0.3565,0.486,0.4367,0.4005,0.4186,0.736,0.5676,0.6518
12.1,0.1773,0.5355,0.4392,0.6358,0.3474,0.4916,0.4409,0.4107,0.4258,0.7314,0.552,0.6417
12.2,0.2124,0.5456,0.4396,0.654,0.3423,0.4981,0.4462,0.4182,0.4322,0.7243,0.535,0.6296
12.3,0.2432,0.5577,0.4385,0.6696,0.3417,0.5057,0.4525,0.4235,0.438,0.7152,0.5179,0.6166
12.4,0.268,0.5711,0.4372,0.6821,0.3452,0.5137,0.4599,0.4271,0.4435,0.705,0.5018,0.6034
12.5,0.2852,0.5849,0.4365,0.6906,0.3526,0.5216,0.4689,0.4301,0.4495,0.694,0.4878,0.5909
12.6,0.294,0.5981,0.4366,0.6944,0.3632,0.5288,0.48,0.4328,0.4564,0.6822,0.4762,0.5792
12.7,0.294,0.6097,0.4373,0.6927,0.3761,0.5344,0.4933,0.435,0.4642,0.6697,0.4672,0.5684
12.8,0.2857,0.619,0.438,0.6855,0.3896,0.5376,0.5087,0.4362,0.4725,0.6563,0.4604,0.5584
12.9,0.27,0.6254,0.4382,0.6734,0.4022,0.5378,0.5259,0.436,0.481,0.6422,0.4557,0.5489
13,0.2481,0.6285,0.4376,0.6574,0.4134,0.5354,0.5444,0.4345,0.4894,0.6271,0.4524,0.5398
13.1,0.2207,0.6285,0.4357,0.6385,0.4236,0.531,0.5634,0.4317,0.4975,0.6112,0.4498,0.5305
13.2,0.1885,0.6254,0.4318,0.6171,0.433,0.525,0.5822,0.4273,0.5047,0.5942,0.4465,0.5204
13.3,0.1526,0.6195,0.4252,0.5939,0.4413,0.5176,0.5994,0.4207,0.5101,0.5763,0.4417,0.509
13.4,0.1141,0.6114,0.416,0.5693,0.4485,0.5089,0.614,0.4115,0.5128,0.5575,0.4348,0.4961
13.5,0.0744,0.6016,0.4049,0.5444,0.4546,0.4995,0.6258,0.3999,0.5129,0.5383,0.4259,0.4821
13.6,0.035,0.5907,0.3929,0.5204,0.4597,0.49,0.6355,0.3869,0.5112,0.5191,0.4152,0.4671
13.7,-0.003,0.5794,0.381,0.4982,0.4639,0.481,0.6439,0.3732,0.5086,0.4994,0.4028,0.4511
13.8,-0.0381,0.5679,0.3693,0.4785,0.4672,0.4728,0.6514,0.3594,0.5054,0.4786,0.3886,0.4336
13.9,-0.0691,0.5566,0.3575,0.4618,0.4688,0.4653,0.6573,0.3454,0.5014,0.4556,0.3728,0.4142
14,-0.0949,0.5452,0.345,0.4484,0.4679,0.4581,0.6612,0.331,0.4961,0.4299,0.3553,0.3926
14.1,-0.1157,0.5335,0.331,0.4382,0.464,0.4511,0.6626,0.3164,0.4895,0.4015,0.3362,0.3689
14.2,-0.1326,0.5212,0.315,0.4306,0.4571,0.4438,0.6613,0.3021,0.4817,0.3712,0.316,0.3436
14.3,-0.1473,0.5084,0.2973,0.4246,0.4476,0.4361,0.6567,0.2887,0.4727,0.3398,0.2956,0.3177
14.4,-0.1609,0.495,0.2785,0.4197,0.4359,0.4278,0.648,0.2767,0.4623,0.3085,0.2765,0.2925
14.5,-0.1738,0.4815,0.2602,0.4159,0.4227,0.4193,0.6353,0.2664,0.4509,0.2785,0.2599,0.2692
14.6,-0.1855,0.4687,0.2438,0.414,0.4087,0.4113,0.6199,0.2585,0.4392,0.251,0.2465,0.2488
14.7,-0.1959,0.4574,0.2302,0.4144,0.395,0.4047,0.6029,0.2537,0.4283,0.2271,0.2367,0.2319
14.8,-0.2051,0.4481,0.2194,0.4169,0.3829,0.3999,0.5847,0.2518,0.4182,0.2076,0.2307,0.2191
14.9,-0.2134,0.4406,0.2111,0.4203,0.373,0.3966,0.5643,0.2515,0.4079,0.1935,0.2284,0.211
15,-0.2214,0.4346,0.2046,0.4237,0.3655,0.3946,0.5408,0.2516,0.3962,0.1854,0.2299,0.2076
15.1,-0.2288,0.4299,0.1998,0.4266,0.3605,0.3935,0.5142,0.2514,0.3828,0.1835,0.2353,0.2094
15.2,-0.2349,0.4264,0.1974,0.429,0.3582,0.3936,0.4859,0.2512,0.3686,0.1886,0.2444,0.2165
15.3,-0.2392,0.4241,0.1975,0.431,0.3592,0.3951,0.4579,0.2519,0.3549,0.2008,0.2574,0.2291
15.4,-0.2417,0.4235,0.2006,0.4326,0.3639,0.3983,0.4319,0.254,0.343,0.2203,0.2744,0.2474
15.5,-0.2429,0.4248,0.2066,0.4339,0.3721,0.403,0.4088,0.2577,0.3333,0.2468,0.2954,0.2711
15.6,-0.2439,0.4281,0.2153,0.4348,0.3834,0.4091,0.3898,0.2628,0.3263,0.2792,0.3199,0.2996
15.7,-0.2457,0.4336,0.2264,0.4353,0.3972,0.4163,0.3758,0.2696,0.3227,0.3159,0.3469,0.3314
15.8,-0.2492,0.4413,0.2397,0.4355,0.4135,0.4245,0.3681,0.2783,0.3232,0.3551,0.3757,0.3654
15.9,-0.255,0.4509,0.2549,0.4354,0.4322,0.4338,0.3668,0.289,0.3279,0.395,0.405,0.4
16,-0.2632,0.4621,0.2714,0.435,0.4534,0.4442,0.3713,0.3016,0.3365,0.4345,0.434,0.4342
16.1,-0.2727,0.4744,0.2884,0.4351,0.4766,0.4558,0.381,0.3156,0.3483,0.4725,0.4616,0.4671
16.2,-0.282,0.4876,0.3054,0.4366,0.5011,0.4688,0.3952,0.3305,0.3629,0.5083,0.4875,0.4979
16.3,-0.2893,0.5012,0.322,0.44,0.5262,0.4831,0.4132,0.3459,0.3796,0.5415,0.5111,0.5263
16.4,-0.2927,0.5145,0.3377,0.4451,0.551,0.498,0.4336,0.3611,0.3974,0.5715,0.5328,0.5521
16.5,-0.2906,0.5262,0.3522,0.4509,0.574,0.5125,0.4549,0.3755,0.4152,0.5982,0.5528,0.5755
16.6,-0.2822,0.5356,0.3653,0.4565,0.5942,0.5253,0.4762,0.3887,0.4325,0.6215,0.5714,0.5965
16.7,-0.2673,0.5421,0.3772,0.4614,0.6104,0.5359,0.4972,0.4012,0.4492,0.6409,0.5889,0.6149
16.8,-0.2461,0.5455,0.3882,0.4653,0.6225,0.5439,0.518,0.4135,0.4657,0.6557,0.6051,0.6304
16.9,-0.2198,0.5459,0.3982,0.4685,0.6303,0.5494,0.5384,0.4258,0.4821,0.6654,0.6195,0.6425
17,-0.1894,0.5435,0.4071,0.4715,0.6338,0.5527,0.5576,0.4378,0.4977,0.6695,0.6316,0.6506
17.1,-0.1552,0.5387,0.4145,0.4753,0.6331,0.5542,0.575,0.4491,0.512,0.668,0.6407,0.6543
17.2,-0.1171,0.5321,0.4201,0.48,0.6284,0.5542,0.5899,0.4591,0.5245,0.6613,0.6464,0.6539
17.3,-0.0758,0.5239,0.4238,0.4856,0.6199,0.5527,0.6026,0.4676,0.5351,0.6504,0.649,0.6497
17.4,-0.0333,0.5141,0.4255,0.4914,0.6078,0.5496,0.6132,0.4744,0.5438,0.6364,0.6483,0.6423
17.5,0.0076,0.5029,0.4255,0.4968,0.593,0.5449,0.6218,0.4795,0.5506,0.6202,0.6445,0.6324
17.6,0.0445,0.4913,0.4241,0.5017,0.5764,0.5391,0.628,0.483,0.5555,0.6027,0.6377,0.6202
17.7,0.0764,0.4804,0.4219,0.5068,0.5592,0.533,0.6319,0.4849,0.5584,0.5843,0.6281,0.6062
17.8,0.1043,0.4711,0.4196,0.5128,0.5423,0.5275,0.6342,0.4853,0.5597,0.5655,0.6162,0.5908
17.9,0.1299,0.464,0.4174,0.52,0.5261,0.5231,0.6358,0.484,0.5599,0.5471,0.6022,0.5747
18,0.1541,0.4593,0.4149,0.5287,0.5107,0.5197,0.6376,0.481,0.5593,0.5297,0.5863,0.558
18.1,0.1768,0.4567,0.4115,0.5385,0.4965,0.5175,0.6397,0.4758,0.5578,0.5134,0.5685,0.541
18.2,0.1974,0.4562,0.4066,0.5493,0.4835,0.5164,0.6424,0.4683,0.5554,0.4982,0.5492,0.5237
18.3,0.2153,0.4577,0.4003,0.561,0.472,0.5165,0.6457,0.4588,0.5523,0.4842,0.5289,0.5065
18.4,0.23,0.4613,0.3934,0.5737,0.4623,0.518,0.65,0.448,0.549,0.4713,0.5084,0.4898
18.5,0.2408,0.4671,0.3871,0.5875,0.4546,0.521,0.6557,0.4364,0.546,0.46,0.4887,0.4743
18.6,0.2471,0.475,0.3818,0.6021,0.4493,0.5257,0.6625,0.4244,0.5435,0.4505,0.4705,0.4605
18.7,0.2482,0.4853,0.3777,0.6174,0.4474,0.5324,0.6699,0.4123,0.5411,0.4428,0.4545,0.4487
18.8,0.2435,0.4984,0.3743,0.633,0.4497,0.5414,0.6771,0.4001,0.5386,0.4367,0.4413,0.439
18.9,0.2325,0.5148,0.3714,0.6489,0.4568,0.5528,0.6837,0.388,0.5358,0.432,0.4309,0.4315
19,0.2156,0.5343,0.369,0.6647,0.4686,0.5666,0.6893,0.3762,0.5327,0.4286,0.4235,0.426
19.1,0.1937,0.5559,0.3679,0.68,0.4847,0.5823,0.6935,0.365,0.5292,0.4266,0.4187,0.4226
19.2,0.1685,0.5786,0.3687,0.694,0.5045,0.5992,0.6957,0.3545,0.5251,0.426,0.4165,0.4212
19.3,0.1419,0.6012,0.3717,0.7063,0.527,0.6167,0.6955,0.3446,0.52,0.4271,0.417,0.422
19.4,0.1151,0.6227,0.3764,0.7163,0.5514,0.6338,0.6926,0.3347,0.5137,0.4301,0.4201,0.4251
19.5,0.0887,0.6424,0.3817,0.7239,0.5766,0.6503,0.6871,0.3244,0.5057,0.435,0.4254,0.4302
19.6,0.0628,0.6598,0.3871,0.7288,0.6021,0.6654,0.679,0.3137,0.4963,0.4415,0.4326,0.437
19.7,0.0373,0.6751,0.3921,0.7309,0.6272,0.679,0.6686,0.3033,0.486,0.449,0.4409,0.445
19.8,0.0128,0.6884,0.3966,0.73,0.6516,0.6908,0.6566,0.2945,0.4755,0.4568,0.45,0.4534
19.9,-0.0106,0.7001,0.4009,0.7264,0.6749,0.7007,0.6442,0.2888,0.4665,0.4644,0.4591,0.4618
20,-0.0327,0.7106,0.405,0.7209,0.697,0.7089,0.6327,0.2877,0.4602,0.4713,0.4676,0.4695
20.1,-0.0539,0.7201,0.4087,0.7141,0.7178,0.7159,0.623,0.2915,0.4573,0.4772,0.4748,0.476
20.2,-0.075,0.729,0.4119,0.7066,0.7374,0.722,0.6153,0.3005,0.4579,0.482,0.4801,0.481
20.3,-0.0966,0.7377,0.4148,0.6989,0.7562,0.7276,0.6098,0.3147,0.4622,0.486,0.4837,0.4849
20.4,-0.1194,0.7467,0.4181,0.6908,0.7739,0.7323,0.607,0.3341,0.4706,0.4901,0.4864,0.4882
20.5,-0.1439,0.7563,0.4225,0.6817,0.7901,0.7359,0.6083,0.359,0.4836,0.4953,0.4888,0.4921
20.6,-0.1706,0.7661,0.4284,0.6714,0.8044,0.7379,0.6143,0.3889,0.5016,0.5025,0.4916,0.4971
20.7,-0.2002,0.7754,0.436,0.6601,0.8164,0.7382,0.6253,0.4233,0.5243,0.5115,0.4948,0.5031
20.8,-0.2328,0.7839,0.4452,0.6483,0.8262,0.7373,0.6407,0.461,0.5508,0.522,0.4979,0.5099
20.9,-0.2677,0.7915,0.4556,0.6373,0.8342,0.7358,0.6595,0.5012,0.5804,0.5335,0.5008,0.5171
21,-0.3032,0.7981,0.467,0.6281,0.8403,0.7342,0.681,0.5429,0.6119,0.5459,0.5037,0.5248
21.1,-0.337,0.8029,0.479,0.6211,0.8439,0.7325,0.7047,0.5847,0.6447,0.5594,0.5075,0.5335
