Time,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC,ANZ Animatic Neon Sign - Set A Goal 30 TVC
15,0.0032,0.6073,0.3465,0.4738,0.5289,0.5013,0.3973,0.3039,0.3506,0.3873,0.4559,0.4216
15.1,0.0225,0.5936,0.3751,0.4678,0.5301,0.4989,0.3977,0.3051,0.3514,0.388,0.4684,0.4282
15.2,0.0387,0.5816,0.4045,0.4638,0.5337,0.4988,0.4007,0.3098,0.3552,0.3896,0.481,0.4353
15.3,0.0507,0.5715,0.4336,0.4613,0.5397,0.5005,0.4068,0.3175,0.3622,0.3924,0.4936,0.443
15.4,0.0592,0.5632,0.4616,0.4599,0.5473,0.5036,0.4163,0.328,0.3722,0.3968,0.5062,0.4515
15.5,0.0654,0.5559,0.4877,0.4592,0.5563,0.5078,0.4287,0.3413,0.385,0.4032,0.5185,0.4608
15.6,0.0706,0.5491,0.5112,0.4592,0.5662,0.5127,0.443,0.3567,0.3999,0.4119,0.5301,0.471
15.7,0.0749,0.5423,0.5309,0.4594,0.5757,0.5175,0.4583,0.3733,0.4158,0.4224,0.5404,0.4814
15.8,0.0784,0.5353,0.5458,0.4592,0.5832,0.5212,0.4733,0.3898,0.4316,0.4345,0.5491,0.4918
15.9,0.0821,0.528,0.555,0.4578,0.5872,0.5225,0.4871,0.405,0.446,0.4477,0.5557,0.5017
16,0.0872,0.52,0.5583,0.4545,0.5865,0.5205,0.4983,0.4181,0.4582,0.4613,0.5597,0.5105
16.1,0.0945,0.5107,0.5554,0.4495,0.5809,0.5152,0.5058,0.4286,0.4672,0.4742,0.5603,0.5173
16.2,0.1031,0.5,0.5465,0.4437,0.5711,0.5074,0.5088,0.4358,0.4723,0.4853,0.557,0.5212
16.3,0.1117,0.4875,0.5319,0.4378,0.5582,0.498,0.5076,0.4395,0.4736,0.4943,0.5497,0.522
16.4,0.1188,0.4733,0.5126,0.432,0.5432,0.4876,0.5031,0.44,0.4715,0.5013,0.539,0.5201
16.5,0.123,0.4577,0.4899,0.4256,0.5272,0.4764,0.4961,0.4377,0.4669,0.5064,0.5252,0.5158
16.6,0.1232,0.4414,0.4655,0.4174,0.5108,0.4641,0.4874,0.4333,0.4603,0.5096,0.509,0.5093
16.7,0.1182,0.4252,0.4412,0.4069,0.4946,0.4508,0.4777,0.4273,0.4525,0.5108,0.4912,0.501
16.8,0.1077,0.4101,0.4179,0.3947,0.4796,0.4372,0.468,0.4203,0.4441,0.5099,0.4726,0.4913
16.9,0.0922,0.397,0.3964,0.3822,0.4669,0.4246,0.459,0.4125,0.4357,0.5072,0.4543,0.4808
17,0.0737,0.3863,0.3771,0.3706,0.4571,0.4139,0.4512,0.4043,0.4278,0.5032,0.437,0.4701
17.1,0.0552,0.3781,0.3607,0.3606,0.4501,0.4053,0.4447,0.3963,0.4205,0.4986,0.4213,0.4599
17.2,0.0385,0.3727,0.3478,0.3525,0.4455,0.399,0.4396,0.389,0.4143,0.4942,0.4076,0.4509
17.3,0.0246,0.3704,0.3386,0.3464,0.4427,0.3946,0.4359,0.3828,0.4093,0.4903,0.3963,0.4433
17.4,0.0132,0.3718,0.3328,0.3424,0.4419,0.3921,0.4335,0.378,0.4058,0.4871,0.3875,0.4373
17.5,0.0034,0.3771,0.33,0.3407,0.4433,0.392,0.4322,0.3746,0.4034,0.4845,0.381,0.4328
17.6,-0.0054,0.386,0.33,0.3415,0.4474,0.3945,0.4313,0.3728,0.4021,0.4827,0.377,0.4298
17.7,-0.0134,0.3983,0.3328,0.3449,0.4545,0.3997,0.4301,0.3726,0.4014,0.4819,0.3755,0.4287
17.8,-0.0205,0.4133,0.3385,0.351,0.4639,0.4075,0.4286,0.374,0.4013,0.4822,0.3768,0.4295
17.9,-0.0267,0.4307,0.3474,0.36,0.4754,0.4177,0.4271,0.3767,0.4019,0.4837,0.3807,0.4322
18,-0.0326,0.4499,0.3589,0.3714,0.4889,0.4301,0.426,0.3806,0.4033,0.4858,0.3868,0.4363
18.1,-0.0386,0.4701,0.3724,0.3849,0.5041,0.4445,0.4255,0.3855,0.4055,0.4881,0.3945,0.4413
18.2,-0.0447,0.4908,0.3875,0.4007,0.5208,0.4608,0.4253,0.3914,0.4083,0.49,0.4028,0.4464
18.3,-0.0499,0.5117,0.4038,0.419,0.5387,0.4789,0.425,0.3985,0.4118,0.4908,0.411,0.4509
18.4,-0.0531,0.5327,0.4211,0.4397,0.5569,0.4983,0.4247,0.4071,0.4159,0.4901,0.4189,0.4545
18.5,-0.0537,0.5535,0.4388,0.462,0.5742,0.5181,0.4245,0.4168,0.4207,0.4874,0.4258,0.4566
18.6,-0.0511,0.5733,0.456,0.4847,0.5901,0.5374,0.4238,0.4271,0.4254,0.4822,0.4313,0.4568
18.7,-0.0448,0.5915,0.472,0.5072,0.6039,0.5555,0.4219,0.4374,0.4296,0.4743,0.4349,0.4546
18.8,-0.0335,0.6075,0.4868,0.529,0.615,0.572,0.4187,0.4475,0.4331,0.4638,0.4366,0.4502
18.9,-0.0167,0.621,0.5002,0.5499,0.6231,0.5865,0.4139,0.457,0.4354,0.4507,0.4367,0.4437
19,0.0047,0.6319,0.5122,0.5695,0.6276,0.5986,0.4078,0.4654,0.4366,0.4352,0.4352,0.4352
19.1,0.0284,0.6402,0.5227,0.5869,0.6286,0.6078,0.4005,0.4723,0.4364,0.4169,0.4318,0.4243
19.2,0.053,0.6459,0.5315,0.6013,0.6267,0.614,0.3923,0.4773,0.4348,0.3956,0.4259,0.4108
19.3,0.0774,0.6494,0.5384,0.6124,0.6229,0.6177,0.3835,0.4803,0.4319,0.3718,0.4175,0.3946
19.4,0.1013,0.6513,0.5434,0.621,0.6181,0.6196,0.3744,0.4812,0.4278,0.346,0.4063,0.3761
19.5,0.1241,0.6519,0.5464,0.6272,0.6135,0.6203,0.3654,0.4798,0.4226,0.3191,0.3924,0.3558
19.6,0.145,0.6517,0.5472,0.6309,0.6097,0.6203,0.3564,0.4761,0.4163,0.2919,0.3759,0.3339
19.7,0.1629,0.6512,0.5456,0.6316,0.6072,0.6194,0.3472,0.4702,0.4087,0.2648,0.357,0.3109
19.8,0.1777,0.6506,0.5416,0.6291,0.6061,0.6176,0.3372,0.4624,0.3998,0.2383,0.3358,0.2871
19.9,0.1895,0.6498,0.5355,0.6232,0.6061,0.6147,0.3258,0.4529,0.3893,0.2129,0.3128,0.2628
20,0.1984,0.649,0.5281,0.6142,0.6069,0.6106,0.3131,0.4418,0.3774,0.1888,0.2887,0.2388
20.1,0.2045,0.648,0.5198,0.6027,0.6079,0.6053,0.2991,0.4292,0.3642,0.1667,0.2645,0.2156
20.2,0.2087,0.6464,0.5105,0.589,0.6086,0.5988,0.2836,0.4152,0.3494,0.147,0.2407,0.1938
20.3,0.212,0.6437,0.4994,0.5735,0.6081,0.5908,0.2659,0.3991,0.3325,0.1299,0.2173,0.1736
20.4,0.2158,0.6389,0.4854,0.5558,0.6053,0.5806,0.2454,0.3803,0.3128,0.1155,0.194,0.1547
20.5,0.2201,0.6314,0.468,0.5359,0.5992,0.5675,0.222,0.3579,0.29,0.1035,0.1704,0.137
20.6,0.2242,0.6212,0.4464,0.5142,0.5895,0.5519,0.1961,0.3317,0.2639,0.0937,0.1469,0.1203
20.7,0.2263,0.6086,0.4206,0.4915,0.5772,0.5344,0.1682,0.3026,0.2354,0.0858,0.1243,0.1051
20.8,0.2253,0.5938,0.3913,0.4684,0.5632,0.5158,0.1392,0.2715,0.2053,0.08,0.1036,0.0918
