Time,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC,Airbnb - Joana Karina 30 TVC
2,0.203,0.5485,0.6634,0.5476,0.2687,0.4081,0.5538,0.5483,0.551,0.5326,0.6906,0.6116
2.1,0.2494,0.5412,0.6614,0.5405,0.237,0.3887,0.5322,0.5371,0.5346,0.5162,0.6835,0.5999
2.2,0.2913,0.5342,0.6602,0.5351,0.2128,0.374,0.5109,0.5272,0.5191,0.5036,0.6776,0.5906
2.3,0.3281,0.5274,0.6604,0.5321,0.1959,0.364,0.4919,0.5196,0.5057,0.4945,0.6732,0.5838
2.4,0.3591,0.5204,0.6617,0.5317,0.185,0.3583,0.477,0.5142,0.4956,0.4883,0.67,0.5792
2.5,0.3827,0.5127,0.6639,0.5338,0.1787,0.3563,0.4678,0.5108,0.4893,0.4847,0.6681,0.5764
2.6,0.3985,0.5037,0.6667,0.5386,0.1762,0.3574,0.4647,0.5091,0.4869,0.4834,0.6678,0.5756
2.7,0.4072,0.4935,0.6706,0.5462,0.177,0.3616,0.4685,0.5093,0.4889,0.4848,0.6698,0.5773
2.8,0.4106,0.4826,0.6758,0.5568,0.1813,0.3691,0.4794,0.512,0.4957,0.4894,0.6751,0.5823
2.9,0.4108,0.4717,0.6823,0.57,0.1889,0.3794,0.4973,0.5177,0.5075,0.4982,0.6841,0.5912
3,0.4086,0.4611,0.6901,0.5848,0.1989,0.3919,0.5211,0.5264,0.5237,0.5116,0.697,0.6043
3.1,0.4044,0.4511,0.6986,0.6,0.2108,0.4054,0.5482,0.5374,0.5428,0.529,0.7131,0.621
3.2,0.3981,0.4416,0.7075,0.6148,0.2241,0.4194,0.576,0.5498,0.5629,0.5487,0.7309,0.6398
3.3,0.3902,0.4334,0.7163,0.6287,0.2387,0.4337,0.602,0.5627,0.5823,0.5692,0.7493,0.6592
3.4,0.382,0.4273,0.725,0.6419,0.2544,0.4482,0.625,0.5754,0.6002,0.5891,0.7682,0.6786
3.5,0.3744,0.4239,0.7338,0.6544,0.2707,0.4625,0.6441,0.5875,0.6158,0.6083,0.7875,0.6979
3.6,0.3676,0.4232,0.7428,0.6656,0.2875,0.4766,0.6587,0.5991,0.6289,0.6266,0.8074,0.717
3.7,0.3617,0.4252,0.752,0.6754,0.3053,0.4904,0.6686,0.6105,0.6395,0.644,0.8274,0.7357
3.8,0.3564,0.4298,0.7612,0.6836,0.3244,0.504,0.674,0.6219,0.648,0.6601,0.8468,0.7535
3.9,0.3515,0.4369,0.7701,0.69,0.3445,0.5173,0.6753,0.6332,0.6543,0.675,0.8651,0.77
4,0.3459,0.446,0.7785,0.6945,0.3653,0.5299,0.6725,0.6444,0.6584,0.6888,0.8817,0.7852
4.1,0.3377,0.457,0.7865,0.697,0.3866,0.5418,0.6651,0.6555,0.6603,0.7013,0.896,0.7986
4.2,0.3255,0.4701,0.7944,0.6974,0.4097,0.5536,0.6525,0.6671,0.6598,0.7117,0.907,0.8094
4.3,0.3081,0.4862,0.8023,0.6954,0.4361,0.5657,0.6343,0.6794,0.6569,0.7187,0.9137,0.8162
4.4,0.2845,0.506,0.8095,0.6903,0.467,0.5787,0.6112,0.6921,0.6516,0.722,0.9151,0.8185
4.5,0.253,0.5296,0.8148,0.6816,0.5026,0.5921,0.5845,0.7043,0.6444,0.7218,0.9109,0.8164
4.6,0.2124,0.556,0.8174,0.6693,0.542,0.6057,0.5558,0.715,0.6354,0.7189,0.9012,0.8101
4.7,0.1632,0.5839,0.8168,0.6544,0.5845,0.6194,0.5267,0.7238,0.6252,0.714,0.8865,0.8003
4.8,0.1083,0.6119,0.8135,0.638,0.6295,0.6338,0.4984,0.7309,0.6147,0.7072,0.8676,0.7874
4.9,0.0518,0.6383,0.8089,0.6213,0.6759,0.6486,0.472,0.7369,0.6045,0.6987,0.8452,0.772
5,-0.0036,0.6612,0.8045,0.6041,0.7211,0.6626,0.4485,0.742,0.5953,0.6887,0.82,0.7544
5.1,-0.0569,0.6788,0.8013,0.5861,0.762,0.674,0.4283,0.7462,0.5873,0.6778,0.7926,0.7352
5.2,-0.1069,0.6905,0.8003,0.5679,0.796,0.682,0.4118,0.7494,0.5806,0.6664,0.7636,0.715
5.3,-0.1508,0.6965,0.802,0.5522,0.8223,0.6872,0.3991,0.7517,0.5754,0.6545,0.7337,0.6941
5.4,-0.1858,0.6977,0.8074,0.5421,0.8411,0.6916,0.3901,0.7539,0.572,0.6418,0.7036,0.6727
5.5,-0.2114,0.6956,0.8166,0.5394,0.8536,0.6965,0.385,0.7567,0.5708,0.6283,0.6742,0.6513
5.6,-0.2282,0.6913,0.8295,0.5446,0.8607,0.7026,0.3839,0.7606,0.5723,0.6143,0.6457,0.63
5.7,-0.2369,0.686,0.8447,0.5567,0.8638,0.7102,0.387,0.7656,0.5763,0.6003,0.6182,0.6092
5.8,-0.2376,0.6803,0.8609,0.5746,0.8638,0.7192,0.3938,0.7711,0.5825,0.5867,0.5918,0.5892
5.9,-0.2303,0.6743,0.8776,0.597,0.861,0.729,0.4034,0.7767,0.59,0.5739,0.5674,0.5706
6,-0.2162,0.668,0.8946,0.6221,0.8556,0.7388,0.4145,0.7824,0.5985,0.5624,0.546,0.5542
6.1,-0.1979,0.6616,0.912,0.6483,0.8478,0.748,0.4263,0.7887,0.6075,0.5522,0.5288,0.5405
6.2,-0.1789,0.6556,0.9288,0.6744,0.8383,0.7563,0.4379,0.7954,0.6166,0.5432,0.5158,0.5295
6.3,-0.1613,0.6504,0.9438,0.6999,0.8278,0.7639,0.4491,0.8018,0.6254,0.535,0.5066,0.5208
6.4,-0.1454,0.6466,0.9553,0.7252,0.817,0.7711,0.4594,0.8069,0.6332,0.5267,0.5003,0.5135
6.5,-0.1291,0.6446,0.9625,0.7507,0.8057,0.7782,0.4693,0.8098,0.6396,0.5182,0.4965,0.5073
6.6,-0.1103,0.6446,0.9655,0.776,0.794,0.785,0.4792,0.8101,0.6446,0.5095,0.4948,0.5022
6.7,-0.0889,0.6457,0.9647,0.8002,0.7814,0.7908,0.4896,0.8077,0.6487,0.5015,0.4956,0.4985
6.8,-0.0661,0.6471,0.9602,0.8224,0.7681,0.7953,0.5006,0.8026,0.6516,0.4947,0.4989,0.4968
6.9,-0.0446,0.6473,0.9518,0.8419,0.754,0.7979,0.5125,0.7946,0.6535,0.4899,0.5042,0.4971
7,-0.0265,0.6455,0.9391,0.8581,0.7389,0.7985,0.5259,0.7837,0.6548,0.4872,0.511,0.4991
7.1,-0.012,0.6412,0.9221,0.8708,0.7228,0.7968,0.5422,0.7704,0.6563,0.4866,0.5184,0.5025
7.2,-0.0009,0.6349,0.9006,0.8797,0.7054,0.7925,0.5625,0.7548,0.6586,0.4881,0.5257,0.5069
7.3,0.0074,0.6263,0.8748,0.8846,0.6862,0.7854,0.5871,0.7367,0.6619,0.4913,0.5327,0.512
7.4,0.0134,0.615,0.8451,0.8854,0.665,0.7752,0.6154,0.7159,0.6656,0.4965,0.5394,0.518
7.5,0.0195,0.6005,0.8122,0.8824,0.6414,0.7619,0.6469,0.6927,0.6698,0.5038,0.546,0.5249
7.6,0.0293,0.5828,0.7772,0.8757,0.6158,0.7458,0.6816,0.6678,0.6747,0.5134,0.5524,0.5329
7.7,0.0455,0.5625,0.7409,0.8655,0.5888,0.7271,0.7195,0.6423,0.6809,0.5257,0.5586,0.5421
7.8,0.0688,0.5402,0.7046,0.8522,0.5608,0.7065,0.76,0.6171,0.6885,0.5417,0.5641,0.5529
7.9,0.0984,0.5161,0.6698,0.8364,0.5323,0.6843,0.8018,0.5932,0.6975,0.5618,0.5688,0.5653
8,0.1333,0.4902,0.6381,0.8188,0.5036,0.6612,0.8432,0.5717,0.7075,0.5856,0.5727,0.5792
8.1,0.1734,0.4633,0.6107,0.8002,0.4751,0.6376,0.8826,0.5534,0.718,0.6121,0.5758,0.5939
8.2,0.2178,0.4365,0.5884,0.781,0.4474,0.6142,0.919,0.5397,0.7293,0.6397,0.5783,0.609
8.3,0.2646,0.4108,0.5717,0.7613,0.4212,0.5912,0.9517,0.5315,0.7416,0.6683,0.5804,0.6243
8.4,0.311,0.3868,0.5608,0.741,0.3967,0.5688,0.9804,0.5295,0.7549,0.6975,0.583,0.6402
8.5,0.3544,0.3648,0.5558,0.7202,0.3743,0.5473,1.0046,0.5328,0.7687,0.7267,0.5866,0.6566
8.6,0.3931,0.3458,0.5561,0.6995,0.3543,0.5269,1.0234,0.5403,0.7818,0.7545,0.5911,0.6728
8.7,0.4263,0.3304,0.5607,0.679,0.3372,0.5081,1.0358,0.5504,0.7931,0.779,0.596,0.6875
8.8,0.4541,0.3188,0.5686,0.6589,0.3228,0.4908,1.0413,0.5616,0.8014,0.7989,0.6006,0.6997
8.9,0.4761,0.3105,0.5789,0.6389,0.311,0.4749,1.0405,0.5732,0.8068,0.8137,0.6045,0.7091
9,0.492,0.3044,0.5914,0.619,0.3015,0.4602,1.0342,0.5847,0.8095,0.8238,0.6077,0.7157
9.1,0.5012,0.2999,0.6057,0.5995,0.2943,0.4469,1.0234,0.5958,0.8096,0.8292,0.6102,0.7197
9.2,0.5022,0.2971,0.6216,0.5815,0.2901,0.4358,1.0079,0.6058,0.8069,0.8303,0.612,0.7212
9.3,0.4939,0.2961,0.6383,0.566,0.2899,0.4279,0.9874,0.6146,0.801,0.8275,0.6134,0.7205
9.4,0.476,0.2966,0.6552,0.5537,0.2945,0.4241,0.9619,0.6222,0.7921,0.8215,0.6144,0.7179
9.5,0.4498,0.2979,0.6715,0.5447,0.3037,0.4242,0.9325,0.6291,0.7808,0.8126,0.6148,0.7137
9.6,0.4181,0.2997,0.6872,0.5388,0.3166,0.4277,0.9009,0.6358,0.7683,0.8013,0.6145,0.7079
9.7,0.3842,0.3016,0.7021,0.5358,0.3318,0.4338,0.8681,0.6425,0.7553,0.7881,0.6137,0.7009
9.8,0.3512,0.3029,0.7164,0.535,0.348,0.4415,0.8343,0.6497,0.742,0.7736,0.6128,0.6932
9.9,0.3205,0.3032,0.73,0.5354,0.3642,0.4498,0.7997,0.6574,0.7285,0.7583,0.6119,0.6851
10,0.2926,0.3015,0.743,0.5357,0.3797,0.4577,0.7641,0.6656,0.7148,0.7431,0.6115,0.6773
10.1,0.2673,0.2976,0.7551,0.5351,0.3941,0.4646,0.7279,0.6743,0.7011,0.7284,0.6121,0.6702
10.2,0.2452,0.2919,0.7658,0.5332,0.4069,0.4701,0.6918,0.6837,0.6878,0.7145,0.6142,0.6644
10.3,0.2271,0.2852,0.7751,0.5298,0.4177,0.4737,0.6561,0.6935,0.6748,0.7019,0.6181,0.66
10.4,0.2139,0.2783,0.7828,0.5234,0.4256,0.4745,0.6205,0.703,0.6618,0.691,0.6237,0.6573
10.5,0.2064,0.2716,0.7888,0.513,0.4298,0.4714,0.5847,0.7113,0.648,0.6818,0.6307,0.6562
10.6,0.2052,0.2658,0.7932,0.498,0.4298,0.4639,0.5489,0.7176,0.6332,0.6745,0.6386,0.6565
10.7,0.2103,0.2615,0.7959,0.4792,0.4255,0.4523,0.5142,0.7219,0.618,0.6691,0.6472,0.6582
10.8,0.2219,0.2591,0.7975,0.4573,0.4173,0.4373,0.4818,0.7244,0.6031,0.6658,0.6562,0.661
10.9,0.2402,0.2593,0.7984,0.4331,0.4056,0.4193,0.4523,0.7257,0.589,0.6642,0.665,0.6646
11,0.2644,0.2623,0.7988,0.4065,0.3912,0.3988,0.4255,0.7253,0.5754,0.6638,0.673,0.6684
11.1,0.294,0.2687,0.798,0.3787,0.3749,0.3768,0.4011,0.7229,0.562,0.6641,0.6793,0.6717
11.2,0.329,0.2791,0.795,0.3518,0.3576,0.3547,0.3796,0.7177,0.5486,0.6646,0.6835,0.6741
11.3,0.37,0.294,0.7891,0.3287,0.3401,0.3344,0.3618,0.7092,0.5355,0.6649,0.6854,0.6752
11.4,0.4163,0.3132,0.78,0.3114,0.323,0.3172,0.3483,0.6976,0.5229,0.6643,0.6852,0.6747
11.5,0.4659,0.3359,0.7679,0.3003,0.3067,0.3035,0.3392,0.6827,0.511,0.6619,0.6825,0.6722
11.6,0.5161,0.3613,0.7528,0.2944,0.2918,0.2931,0.3343,0.6649,0.4996,0.6569,0.6774,0.6672
11.7,0.5645,0.3882,0.7351,0.2918,0.2791,0.2854,0.3334,0.6444,0.4889,0.6491,0.67,0.6595
11.8,0.6099,0.4158,0.7152,0.2909,0.2692,0.28,0.3371,0.6218,0.4794,0.6387,0.661,0.6498
11.9,0.6511,0.443,0.6937,0.291,0.2628,0.2769,0.3458,0.5981,0.4719,0.6265,0.651,0.6387
12,0.6865,0.4692,0.6713,0.2926,0.2602,0.2764,0.3596,0.5744,0.467,0.6127,0.6408,0.6268
12.1,0.7155,0.4936,0.649,0.2962,0.2615,0.2789,0.3781,0.5519,0.465,0.5976,0.6311,0.6143
12.2,0.7376,0.5158,0.628,0.3026,0.2663,0.2844,0.4006,0.5317,0.4662,0.5815,0.6226,0.6021
12.3,0.753,0.5348,0.6095,0.3122,0.2745,0.2934,0.4263,0.5146,0.4705,0.5653,0.6166,0.591
12.4,0.7607,0.5504,0.5942,0.3252,0.2864,0.3058,0.4536,0.5014,0.4775,0.55,0.6137,0.5819
12.5,0.7601,0.5621,0.5826,0.3411,0.3017,0.3214,0.4803,0.4923,0.4863,0.5359,0.6142,0.5751
12.6,0.7517,0.5703,0.5746,0.3594,0.3198,0.3396,0.5048,0.4874,0.4961,0.5237,0.6176,0.5707
12.7,0.7374,0.5748,0.5702,0.3794,0.3395,0.3594,0.5271,0.4869,0.507,0.5137,0.6243,0.569
12.8,0.719,0.576,0.5694,0.4004,0.36,0.3802,0.5485,0.4908,0.5196,0.5064,0.6347,0.5706
12.9,0.6968,0.5739,0.5723,0.4227,0.3812,0.4019,0.5703,0.4988,0.5346,0.5025,0.6492,0.5759
13,0.6697,0.5693,0.5787,0.4468,0.404,0.4254,0.593,0.5107,0.5519,0.5023,0.6678,0.585
13.1,0.6368,0.563,0.5883,0.4727,0.4289,0.4508,0.6159,0.526,0.571,0.5061,0.6899,0.598
13.2,0.5979,0.5554,0.6007,0.5004,0.4559,0.4781,0.6385,0.5446,0.5915,0.5142,0.7153,0.6147
13.3,0.5533,0.5472,0.6156,0.5297,0.4843,0.507,0.661,0.566,0.6135,0.5267,0.7436,0.6351
13.4,0.5038,0.5384,0.6335,0.5606,0.513,0.5368,0.6832,0.5899,0.6365,0.5435,0.775,0.6593
13.5,0.4499,0.5292,0.6548,0.592,0.5406,0.5663,0.7045,0.6154,0.6599,0.5642,0.8091,0.6867
13.6,0.3932,0.5203,0.6798,0.6224,0.5659,0.5942,0.7241,0.6414,0.6827,0.5883,0.8451,0.7167
13.7,0.3365,0.5123,0.7081,0.6503,0.5877,0.619,0.7413,0.6671,0.7042,0.616,0.8821,0.749
13.8,0.2826,0.5059,0.7385,0.6751,0.6055,0.6403,0.7571,0.6919,0.7245,0.6475,0.9195,0.7835
13.9,0.2335,0.5014,0.7693,0.6972,0.6191,0.6582,0.7732,0.7159,0.7445,0.6834,0.9569,0.8202
14,0.1896,0.4985,0.7991,0.7173,0.6284,0.6728,0.7909,0.7393,0.7651,0.7235,0.9941,0.8588
14.1,0.1518,0.497,0.8263,0.7346,0.633,0.6838,0.8096,0.7616,0.7856,0.7663,1.0296,0.898
14.2,0.1213,0.4963,0.8498,0.7479,0.6331,0.6905,0.8268,0.7814,0.8041,0.8096,1.0612,0.9354
14.3,0.0993,0.4958,0.8685,0.7558,0.6291,0.6924,0.8401,0.7976,0.8189,0.8515,1.0873,0.9694
14.4,0.0855,0.4953,0.8822,0.758,0.6226,0.6903,0.8489,0.8101,0.8295,0.8915,1.108,0.9997
14.5,0.0785,0.4952,0.891,0.755,0.6149,0.6849,0.8534,0.8194,0.8364,0.9295,1.1238,1.0267
14.6,0.0764,0.4955,0.8952,0.7468,0.6065,0.6767,0.8542,0.8261,0.8401,0.9657,1.135,1.0503
14.7,0.0774,0.4961,0.8954,0.734,0.5974,0.6657,0.8519,0.8308,0.8413,0.9998,1.1419,1.0708
14.8,0.0803,0.4964,0.8919,0.7172,0.5876,0.6524,0.847,0.8339,0.8404,1.0317,1.1451,1.0884
14.9,0.0836,0.4964,0.8853,0.697,0.5774,0.6372,0.8401,0.8358,0.838,1.0617,1.1459,1.1038
15,0.0859,0.4965,0.8762,0.674,0.5672,0.6206,0.832,0.837,0.8345,1.0902,1.1456,1.1179
15.1,0.086,0.4975,0.8649,0.6488,0.5572,0.603,0.823,0.8376,0.8303,1.1169,1.145,1.131
15.2,0.0837,0.5002,0.8517,0.623,0.5472,0.5851,0.8134,0.8376,0.8255,1.1407,1.1439,1.1423
15.3,0.0791,0.5047,0.8367,0.5986,0.5365,0.5676,0.8031,0.8367,0.8199,1.1596,1.1416,1.1506
15.4,0.072,0.5103,0.8198,0.5769,0.5244,0.5507,0.7923,0.8343,0.8133,1.1722,1.1373,1.1548
15.5,0.062,0.5159,0.8007,0.558,0.5101,0.534,0.7815,0.8299,0.8057,1.1775,1.1307,1.1541
15.6,0.0493,0.5202,0.7794,0.5415,0.4927,0.5171,0.7715,0.8234,0.7975,1.1758,1.1216,1.1487
15.7,0.0349,0.5222,0.7556,0.5269,0.4719,0.4994,0.7628,0.8149,0.7889,1.1674,1.11,1.1387
15.8,0.0193,0.5211,0.7291,0.5141,0.4474,0.4807,0.7555,0.8041,0.7798,1.1525,1.0961,1.1243
15.9,0.0026,0.5165,0.7002,0.5028,0.4195,0.4612,0.7496,0.7907,0.7702,1.1309,1.08,1.1054
16,-0.0151,0.5084,0.6695,0.493,0.3893,0.4411,0.7458,0.7752,0.7605,1.103,1.0627,1.0829
16.1,-0.0343,0.4973,0.6382,0.484,0.3583,0.4212,0.7448,0.7584,0.7516,1.0701,1.0454,1.0577
16.2,-0.0544,0.4837,0.6079,0.4756,0.3286,0.4021,0.7465,0.7416,0.7441,1.0341,1.0292,1.0316
16.3,-0.0743,0.4684,0.5796,0.4675,0.3019,0.3847,0.7498,0.7257,0.7378,0.9966,1.0148,1.0057
16.4,-0.0919,0.4516,0.5542,0.4596,0.2789,0.3692,0.7532,0.7114,0.7323,0.9593,1.0025,0.9809
16.5,-0.1052,0.4332,0.5324,0.4508,0.2596,0.3552,0.7558,0.6992,0.7275,0.9231,0.9923,0.9577
16.6,-0.113,0.4126,0.5146,0.4401,0.2436,0.3419,0.7574,0.6895,0.7234,0.8892,0.984,0.9366
16.7,-0.1146,0.3897,0.5013,0.4269,0.231,0.3289,0.7582,0.6823,0.7202,0.8584,0.9773,0.9178
16.8,-0.1102,0.3653,0.4927,0.4111,0.2222,0.3167,0.7585,0.6775,0.718,0.8312,0.9716,0.9014
16.9,-0.1011,0.3408,0.4886,0.3934,0.2181,0.3058,0.7584,0.6753,0.7169,0.8078,0.9665,0.8872
17,-0.0887,0.3174,0.489,0.3746,0.2188,0.2967,0.7583,0.6757,0.717,0.7885,0.9619,0.8752
17.1,-0.0745,0.2955,0.494,0.3556,0.2241,0.2898,0.7581,0.6793,0.7187,0.7731,0.9576,0.8653
17.2,-0.0602,0.2748,0.5041,0.3374,0.233,0.2852,0.7577,0.6862,0.7219,0.7612,0.9535,0.8574
17.3,-0.0471,0.2551,0.5192,0.3205,0.244,0.2822,0.7564,0.6959,0.7261,0.7524,0.9495,0.8509
17.4,-0.0359,0.237,0.5394,0.3049,0.2562,0.2805,0.7538,0.7076,0.7307,0.7462,0.9451,0.8457
17.5,-0.0263,0.2213,0.5644,0.2907,0.269,0.2799,0.75,0.72,0.735,0.7424,0.9398,0.8411
17.6,-0.0182,0.2086,0.5944,0.2778,0.2828,0.2803,0.7454,0.7324,0.7389,0.7415,0.9333,0.8374
17.7,-0.012,0.1991,0.6292,0.2668,0.2977,0.2822,0.7409,0.7451,0.743,0.7444,0.9259,0.8352
17.8,-0.0078,0.1925,0.6677,0.2588,0.3138,0.2863,0.7367,0.7578,0.7472,0.7512,0.9177,0.8345
17.9,-0.0058,0.1891,0.7076,0.2548,0.3305,0.2926,0.7326,0.77,0.7513,0.7615,0.9084,0.8349
18,-0.0054,0.1888,0.7464,0.2551,0.3469,0.301,0.7292,0.7812,0.7552,0.7743,0.8974,0.8359
18.1,-0.006,0.1914,0.7818,0.2599,0.3627,0.3113,0.7271,0.7913,0.7592,0.7893,0.8844,0.8369
18.2,-0.0077,0.1965,0.8126,0.2686,0.3781,0.3233,0.7268,0.8007,0.7638,0.8056,0.8694,0.8375
18.3,-0.0111,0.2036,0.8378,0.2801,0.3931,0.3366,0.7285,0.8093,0.7689,0.8217,0.852,0.8369
18.4,-0.0166,0.2126,0.8564,0.2937,0.4077,0.3507,0.7316,0.8167,0.7741,0.836,0.8324,0.8342
18.5,-0.0238,0.2235,0.8681,0.309,0.4217,0.3653,0.7359,0.8222,0.7791,0.8476,0.8109,0.8292
18.6,-0.0316,0.2366,0.8726,0.3259,0.4349,0.3804,0.7415,0.8258,0.7837,0.8569,0.7885,0.8227
18.7,-0.0395,0.2517,0.8707,0.3442,0.4472,0.3957,0.7484,0.8278,0.7881,0.8648,0.7664,0.8156
18.8,-0.0475,0.2683,0.863,0.3636,0.4586,0.4111,0.7563,0.8285,0.7924,0.8716,0.7461,0.8088
18.9,-0.0553,0.2862,0.8507,0.3835,0.4695,0.4265,0.7648,0.8278,0.7963,0.8772,0.7287,0.8029
19,-0.0626,0.3057,0.835,0.4036,0.4805,0.4421,0.7735,0.8253,0.7994,0.8813,0.7155,0.7984
19.1,-0.0693,0.327,0.817,0.4235,0.4925,0.458,0.7818,0.8206,0.8012,0.8838,0.7067,0.7953
19.2,-0.0761,0.3505,0.7982,0.4424,0.5061,0.4742,0.7896,0.8141,0.8018,0.8849,0.7023,0.7936
19.3,-0.0846,0.3762,0.7803,0.4591,0.5217,0.4904,0.7968,0.8068,0.8018,0.8848,0.7016,0.7932
19.4,-0.0961,0.4036,0.765,0.4726,0.5392,0.5059,0.8034,0.7998,0.8016,0.8838,0.7042,0.794
19.5,-0.1111,0.4322,0.7529,0.4822,0.558,0.5201,0.8093,0.7931,0.8012,0.8819,0.7095,0.7957
19.6,-0.1292,0.461,0.7437,0.4874,0.5769,0.5321,0.8141,0.7862,0.8002,0.8789,0.7165,0.7977
19.7,-0.1494,0.4888,0.7361,0.4878,0.5945,0.5411,0.817,0.7784,0.7977,0.8742,0.7235,0.7988
19.8,-0.1711,0.5146,0.7293,0.4832,0.6099,0.5466,0.8175,0.7691,0.7933,0.8669,0.729,0.798
19.9,-0.1941,0.5375,0.723,0.4741,0.6229,0.5485,0.8156,0.7583,0.787,0.8569,0.732,0.7945
20,-0.2185,0.5572,0.7175,0.4609,0.6336,0.5473,0.8117,0.7462,0.779,0.8444,0.7323,0.7884
20.1,-0.2439,0.5738,0.7123,0.4449,0.6421,0.5435,0.8057,0.7329,0.7693,0.8297,0.7302,0.78
20.2,-0.2698,0.5877,0.7068,0.4272,0.6483,0.5378,0.7979,0.7184,0.7581,0.8132,0.7257,0.7695
20.3,-0.2949,0.5992,0.7003,0.4089,0.6516,0.5302,0.7883,0.7027,0.7455,0.7951,0.7187,0.7569
20.4,-0.3178,0.6086,0.6929,0.3909,0.6512,0.5211,0.7775,0.6863,0.7319,0.7758,0.7097,0.7428
20.5,-0.3377,0.6156,0.6852,0.3742,0.6468,0.5105,0.7662,0.6695,0.7179,0.7558,0.6994,0.7276
20.6,-0.3541,0.6202,0.6771,0.3599,0.638,0.4989,0.755,0.6522,0.7036,0.736,0.6886,0.7123
20.7,-0.3666,0.623,0.668,0.349,0.6253,0.4872,0.7445,0.634,0.6893,0.7167,0.6778,0.6972
20.8,-0.3748,0.6246,0.6575,0.3426,0.6099,0.4763,0.7348,0.6151,0.675,0.6976,0.6669,0.6823
20.9,-0.3784,0.6261,0.6454,0.3419,0.5931,0.4675,0.7267,0.5959,0.6613,0.6783,0.6561,0.6672
21,-0.377,0.6283,0.6321,0.3479,0.576,0.462,0.7211,0.5774,0.6492,0.6585,0.6459,0.6522
21.1,-0.3707,0.6316,0.618,0.3612,0.5592,0.4602,0.7187,0.5606,0.6396,0.6382,0.6373,0.6377
21.2,-0.3595,0.6362,0.6029,0.3812,0.5425,0.4619,0.7197,0.546,0.6328,0.6177,0.631,0.6243
