Time,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
6.5,0.0278,0.3481,0.7249,0.3589,0.4527,0.4058,0.5836,0.731,0.6573,0.735,0.72,0.7275
6.6,0.0182,0.3492,0.6958,0.3736,0.4547,0.4142,0.5635,0.7206,0.642,0.7319,0.7127,0.7223
6.7,0.0106,0.3522,0.6699,0.3899,0.4594,0.4246,0.5428,0.7123,0.6276,0.7273,0.7043,0.7158
6.8,0.0034,0.3569,0.6475,0.4066,0.4667,0.4367,0.5221,0.7072,0.6146,0.7214,0.6952,0.7083
6.9,-0.0046,0.3636,0.6285,0.4234,0.4765,0.4499,0.5027,0.705,0.6038,0.7144,0.6857,0.7001
7,-0.0138,0.3725,0.6131,0.4399,0.4883,0.4641,0.4862,0.705,0.5956,0.7063,0.6757,0.691
7.1,-0.024,0.3839,0.6013,0.4557,0.5015,0.4786,0.4732,0.7065,0.5898,0.6967,0.6651,0.6809
7.2,-0.0354,0.3976,0.5932,0.4705,0.5148,0.4927,0.4637,0.7092,0.5864,0.6857,0.6541,0.6699
7.3,-0.0473,0.4135,0.5882,0.4848,0.5266,0.5057,0.4571,0.7133,0.5852,0.6736,0.6429,0.6583
7.4,-0.0584,0.4316,0.5857,0.4991,0.5362,0.5177,0.4527,0.7185,0.5856,0.6609,0.6314,0.6461
7.5,-0.0672,0.4516,0.5849,0.5143,0.5438,0.5291,0.4505,0.7238,0.5871,0.6471,0.6195,0.6333
7.6,-0.0721,0.4734,0.5859,0.531,0.5512,0.5411,0.4505,0.7279,0.5892,0.6317,0.6069,0.6193
7.7,-0.0725,0.4968,0.5886,0.5494,0.56,0.5547,0.4525,0.7301,0.5913,0.6145,0.5936,0.604
7.8,-0.0685,0.521,0.593,0.5692,0.5713,0.5702,0.456,0.7304,0.5932,0.5959,0.5801,0.588
7.9,-0.0602,0.5449,0.5991,0.5893,0.5844,0.5868,0.4604,0.7294,0.5949,0.5772,0.5673,0.5723
8,-0.0491,0.567,0.6066,0.6083,0.5978,0.603,0.4649,0.7274,0.5961,0.5596,0.5565,0.558
8.1,-0.038,0.5863,0.6157,0.6247,0.6107,0.6177,0.4692,0.7243,0.5967,0.5444,0.5487,0.5465
