Time,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
11.6,0.207,0.2338,0.4176,-0.3181,0.3792,0.0305,0.3578,0.5889,0.4733,0.0337,0.3523,0.193
11.7,0.1739,0.2052,0.4281,-0.3233,0.3927,0.0347,0.338,0.5999,0.469,0.0326,0.3462,0.1894
11.8,0.1412,0.1785,0.4396,-0.3163,0.4089,0.0463,0.3206,0.6092,0.4649,0.0335,0.3421,0.1878
11.9,0.1109,0.1555,0.4511,-0.2968,0.4283,0.0658,0.3066,0.617,0.4618,0.0364,0.34,0.1882
12,0.0839,0.1376,0.4618,-0.2647,0.4514,0.0933,0.2966,0.623,0.4598,0.0414,0.3393,0.1903
12.1,0.0614,0.1257,0.4709,-0.2205,0.4778,0.1287,0.2902,0.627,0.4586,0.0487,0.3397,0.1942
12.2,0.045,0.1198,0.478,-0.1653,0.5068,0.1708,0.2863,0.6288,0.4576,0.058,0.3413,0.1996
12.3,0.035,0.1197,0.4829,-0.1011,0.5363,0.2176,0.2845,0.6285,0.4565,0.0688,0.3438,0.2063
12.4,0.0301,0.1239,0.4851,-0.0305,0.5635,0.2665,0.2848,0.626,0.4554,0.0812,0.3472,0.2142
12.5,0.0296,0.1309,0.4843,0.0445,0.5856,0.3151,0.2875,0.621,0.4542,0.0951,0.3514,0.2232
12.6,0.0341,0.1396,0.48,0.1238,0.6006,0.3622,0.2925,0.6134,0.453,0.1103,0.3562,0.2333
12.7,0.0443,0.1491,0.4721,0.2064,0.6074,0.4069,0.299,0.6034,0.4512,0.1265,0.3617,0.2441
12.8,0.0596,0.1585,0.4602,0.2895,0.6048,0.4472,0.3059,0.5914,0.4486,0.143,0.3676,0.2553
12.9,0.0784,0.1667,0.4446,0.3688,0.5929,0.4808,0.313,0.578,0.4455,0.1593,0.3738,0.2666
13,0.0985,0.1727,0.4259,0.4404,0.5737,0.507,0.321,0.5635,0.4422,0.1756,0.3802,0.2779
13.1,0.1182,0.1759,0.4051,0.5019,0.5501,0.526,0.3298,0.5482,0.439,0.1918,0.3868,0.2893
13.2,0.1367,0.1763,0.383,0.5515,0.5239,0.5377,0.339,0.5322,0.4356,0.2082,0.394,0.3011
13.3,0.1533,0.1741,0.3606,0.588,0.4959,0.5419,0.3474,0.5162,0.4318,0.2243,0.4017,0.313
13.4,0.1672,0.1698,0.3387,0.611,0.4661,0.5385,0.3537,0.5012,0.4274,0.2395,0.4103,0.3249
13.5,0.1776,0.1638,0.3183,0.6213,0.4347,0.528,0.3574,0.4878,0.4226,0.2536,0.42,0.3368
13.6,0.184,0.1568,0.3006,0.6205,0.4024,0.5115,0.3585,0.4768,0.4177,0.2667,0.431,0.3488
13.7,0.1868,0.1497,0.2868,0.6109,0.371,0.4909,0.357,0.4683,0.4126,0.279,0.4437,0.3613
13.8,0.1867,0.1437,0.2774,0.595,0.3421,0.4685,0.3528,0.4619,0.4074,0.2908,0.458,0.3744
13.9,0.1839,0.1396,0.2724,0.5755,0.3174,0.4464,0.3461,0.4571,0.4016,0.3023,0.4739,0.3881
14,0.1785,0.1378,0.2713,0.5548,0.2976,0.4262,0.3375,0.4533,0.3954,0.3133,0.4911,0.4022
14.1,0.1715,0.1389,0.2734,0.5347,0.2825,0.4086,0.3288,0.4504,0.3896,0.3242,0.5093,0.4167
14.2,0.1654,0.1427,0.2787,0.5162,0.2716,0.3939,0.3219,0.4485,0.3852,0.3351,0.5283,0.4317
14.3,0.1636,0.1495,0.2869,0.5001,0.2642,0.3822,0.3181,0.4477,0.3829,0.3462,0.5476,0.4469
14.4,0.1685,0.1594,0.2982,0.4871,0.2603,0.3737,0.3182,0.448,0.3831,0.3573,0.5666,0.4619
14.5,0.1806,0.1725,0.3124,0.4777,0.2598,0.3688,0.3221,0.4498,0.3859,0.3679,0.5842,0.476
14.6,0.1992,0.1894,0.3295,0.4719,0.2629,0.3674,0.3299,0.4534,0.3916,0.3776,0.5995,0.4886
14.7,0.2218,0.2098,0.3496,0.4687,0.2691,0.3689,0.3412,0.4591,0.4002,0.3866,0.6124,0.4995
14.8,0.2446,0.2325,0.3723,0.467,0.2772,0.3721,0.3556,0.467,0.4113,0.3949,0.6228,0.5089
14.9,0.2645,0.2555,0.3972,0.4656,0.2857,0.3756,0.3721,0.4764,0.4242,0.4032,0.6309,0.517
15,0.28,0.2775,0.4233,0.4648,0.2935,0.3792,0.3903,0.4864,0.4384,0.4119,0.6366,0.5242
15.1,0.2905,0.2984,0.4493,0.4655,0.3007,0.3831,0.4096,0.4963,0.4529,0.421,0.6402,0.5306
15.2,0.2955,0.3187,0.4737,0.4684,0.3078,0.3881,0.4286,0.5055,0.467,0.4305,0.6419,0.5362
15.3,0.2947,0.3391,0.4955,0.4731,0.3153,0.3942,0.4461,0.5132,0.4796,0.4405,0.6418,0.5412
15.4,0.2886,0.3596,0.5148,0.4785,0.3226,0.4006,0.4614,0.5192,0.4903,0.4512,0.6405,0.5459
15.5,0.2783,0.3799,0.5321,0.484,0.3291,0.4065,0.4749,0.5235,0.4992,0.4631,0.6389,0.551
15.6,0.2643,0.3994,0.5479,0.4893,0.3343,0.4118,0.4874,0.5263,0.5069,0.4762,0.6381,0.5571
15.7,0.2462,0.4178,0.5621,0.4949,0.3388,0.4168,0.4994,0.5285,0.5139,0.4905,0.6385,0.5645
15.8,0.2238,0.4344,0.5746,0.5007,0.3433,0.422,0.511,0.5304,0.5207,0.5053,0.6405,0.5729
15.9,0.1974,0.4487,0.5855,0.5064,0.3485,0.4274,0.5217,0.5325,0.5271,0.5208,0.6441,0.5824
16,0.1678,0.4602,0.5958,0.511,0.3547,0.4329,0.5311,0.5352,0.5332,0.537,0.6496,0.5933
16.1,0.1362,0.4687,0.6062,0.5137,0.3618,0.4377,0.5389,0.5391,0.539,0.5539,0.6577,0.6058
16.2,0.1033,0.4743,0.6177,0.5137,0.3701,0.4419,0.5451,0.5446,0.5449,0.5711,0.669,0.6201
16.3,0.069,0.4777,0.631,0.511,0.3802,0.4456,0.5495,0.5524,0.551,0.5879,0.6832,0.6356
16.4,0.0333,0.4795,0.6469,0.5055,0.3928,0.4492,0.5519,0.5627,0.5573,0.6037,0.6998,0.6518
16.5,-0.0033,0.4806,0.6656,0.4972,0.4078,0.4525,0.5513,0.5759,0.5636,0.618,0.718,0.668
16.6,-0.0404,0.4811,0.6871,0.4853,0.4245,0.4549,0.5471,0.5921,0.5696,0.6303,0.7372,0.6837
16.7,-0.078,0.4811,0.7108,0.4687,0.442,0.4554,0.5392,0.6114,0.5753,0.6398,0.757,0.6984
16.8,-0.116,0.4806,0.7369,0.4468,0.4598,0.4533,0.5277,0.6336,0.5807,0.6458,0.7771,0.7114
16.9,-0.1538,0.4797,0.7654,0.4199,0.4775,0.4487,0.5136,0.6582,0.5859,0.6476,0.7968,0.7222
17,-0.1898,0.4789,0.7956,0.3892,0.4948,0.442,0.4978,0.6841,0.591,0.6453,0.8151,0.7302
17.1,-0.2219,0.4784,0.826,0.3558,0.5113,0.4336,0.4812,0.71,0.5956,0.6389,0.8305,0.7347
17.2,-0.249,0.4776,0.8545,0.3204,0.5264,0.4234,0.4641,0.7347,0.5994,0.6285,0.8418,0.7351
17.3,-0.271,0.4756,0.8788,0.2827,0.5396,0.4111,0.4469,0.7571,0.602,0.6142,0.8482,0.7312
17.4,-0.288,0.4721,0.8978,0.2424,0.5505,0.3965,0.4302,0.7767,0.6035,0.5961,0.8495,0.7228
17.5,-0.2997,0.4674,0.9112,0.1999,0.5594,0.3796,0.4147,0.7933,0.604,0.5752,0.8456,0.7104
17.6,-0.3065,0.462,0.9193,0.1563,0.5665,0.3614,0.4013,0.807,0.6041,0.5527,0.8368,0.6948
