Time,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC
5.2,0.0511,0.8468,0.703,0.8515,0.6111,0.7313,0.7614,0.7433,0.7523,0.1115,0.3742,0.2428
5.3,0.0548,0.8468,0.681,0.8373,0.6168,0.727,0.7818,0.7381,0.7599,0.1098,0.3794,0.2446
5.4,0.0648,0.8478,0.6592,0.8233,0.6218,0.7225,0.804,0.7346,0.7693,0.1169,0.391,0.2539
5.5,0.0803,0.8501,0.6379,0.8097,0.6261,0.7179,0.8266,0.7318,0.7792,0.1328,0.4087,0.2707
5.6,0.0999,0.8536,0.6178,0.7964,0.6298,0.7131,0.8483,0.7288,0.7885,0.1573,0.4316,0.2944
5.7,0.1221,0.858,0.5996,0.783,0.6329,0.708,0.868,0.725,0.7965,0.189,0.4583,0.3236
5.8,0.1457,0.8625,0.5841,0.7693,0.6356,0.7025,0.8852,0.72,0.8026,0.2261,0.4864,0.3563
5.9,0.1699,0.8665,0.5719,0.7553,0.6382,0.6967,0.8995,0.714,0.8068,0.2665,0.5142,0.3903
6,0.1949,0.8697,0.5632,0.7409,0.6407,0.6908,0.9112,0.7074,0.8093,0.3081,0.5404,0.4242
6.1,0.2218,0.8714,0.5574,0.7263,0.6433,0.6848,0.9202,0.7,0.8101,0.3495,0.5646,0.4571
6.2,0.2502,0.8715,0.5541,0.7112,0.6462,0.6787,0.9265,0.6916,0.809,0.3898,0.5865,0.4882
6.3,0.2781,0.8694,0.5529,0.6951,0.6495,0.6723,0.9292,0.6817,0.8055,0.428,0.6058,0.5169
6.4,0.303,0.8639,0.553,0.6766,0.6524,0.6645,0.9276,0.6701,0.7988,0.4631,0.6223,0.5427
6.5,0.3238,0.8531,0.5539,0.6539,0.654,0.654,0.9208,0.6565,0.7886,0.4942,0.6359,0.5651
6.6,0.3407,0.8359,0.555,0.6257,0.6531,0.6394,0.9084,0.6411,0.7748,0.5207,0.6468,0.5837
6.7,0.3546,0.8115,0.5557,0.5911,0.6488,0.62,0.8904,0.6242,0.7573,0.542,0.6549,0.5985
6.8,0.3666,0.7802,0.5557,0.5506,0.6407,0.5957,0.8668,0.606,0.7364,0.5582,0.6603,0.6093
6.9,0.3774,0.7422,0.5552,0.5053,0.6286,0.5669,0.8382,0.586,0.7121,0.5693,0.6629,0.6161
7,0.3867,0.6985,0.5543,0.4568,0.6123,0.5345,0.8056,0.5643,0.6849,0.5753,0.6629,0.6191
7.1,0.3937,0.651,0.5537,0.4076,0.5914,0.4995,0.7706,0.5412,0.6559,0.5759,0.6605,0.6182
7.2,0.3981,0.6029,0.5538,0.3607,0.5666,0.4636,0.7346,0.5178,0.6262,0.5711,0.6562,0.6136
7.3,0.3997,0.5574,0.5553,0.3198,0.5392,0.4295,0.6986,0.4958,0.5972,0.5612,0.6505,0.6059
7.4,0.3982,0.5166,0.5588,0.2875,0.5107,0.3991,0.6631,0.4761,0.5696,0.5471,0.6443,0.5957
7.5,0.3933,0.4811,0.5643,0.2643,0.4818,0.3731,0.6287,0.4591,0.5439,0.5301,0.6378,0.5839
7.6,0.385,0.4506,0.5718,0.2488,0.4528,0.3508,0.5959,0.4447,0.5203,0.5114,0.6315,0.5715
7.7,0.3739,0.4252,0.5815,0.2392,0.4247,0.3319,0.5649,0.4332,0.499,0.4923,0.6261,0.5592
7.8,0.3607,0.4056,0.5939,0.2351,0.3996,0.3173,0.5356,0.4255,0.4806,0.474,0.6224,0.5482
7.9,0.3461,0.3928,0.6102,0.2365,0.3799,0.3082,0.5086,0.4228,0.4657,0.4577,0.6214,0.5395
8,0.3306,0.3874,0.631,0.2435,0.3667,0.3051,0.4841,0.426,0.455,0.444,0.6231,0.5336
8.1,0.3139,0.3892,0.6572,0.2557,0.3605,0.3081,0.4628,0.4361,0.4495,0.4341,0.6268,0.5305
8.2,0.2968,0.398,0.69,0.2725,0.3609,0.3167,0.4456,0.454,0.4498,0.4287,0.6315,0.5301
8.3,0.2806,0.4138,0.7307,0.2935,0.3673,0.3304,0.4332,0.4806,0.4569,0.4284,0.6359,0.5322
8.4,0.2669,0.4367,0.7798,0.3193,0.3799,0.3496,0.4259,0.5164,0.4712,0.4328,0.6394,0.5361
8.5,0.2571,0.4662,0.8361,0.3499,0.3987,0.3743,0.4237,0.5604,0.4921,0.441,0.6417,0.5414
8.6,0.2521,0.5007,0.8971,0.3848,0.4228,0.4038,0.426,0.6104,0.5182,0.4522,0.6428,0.5475
8.7,0.2517,0.5378,0.9596,0.4229,0.4512,0.4371,0.4322,0.6634,0.5478,0.4656,0.6428,0.5542
8.8,0.2549,0.5757,1.0201,0.4629,0.4826,0.4727,0.442,0.7166,0.5793,0.4805,0.6418,0.5611
8.9,0.2604,0.6127,1.076,0.5035,0.5153,0.5094,0.4551,0.7676,0.6113,0.496,0.6397,0.5678
9,0.2676,0.6471,1.1246,0.544,0.5482,0.5461,0.4717,0.815,0.6433,0.5117,0.6367,0.5742
9.1,0.2763,0.6779,1.1646,0.5838,0.5808,0.5823,0.492,0.8575,0.6748,0.5278,0.6337,0.5807
9.2,0.2863,0.7047,1.1955,0.6224,0.6125,0.6174,0.516,0.8942,0.7051,0.5441,0.6313,0.5877
9.3,0.2972,0.7274,1.2168,0.6591,0.6427,0.6509,0.5426,0.9239,0.7332,0.5603,0.6302,0.5952
9.4,0.3084,0.7456,1.2282,0.693,0.6704,0.6817,0.5699,0.9456,0.7578,0.5755,0.6301,0.6028
9.5,0.3192,0.7588,1.2292,0.7228,0.6946,0.7087,0.5959,0.9586,0.7773,0.589,0.6307,0.6098
9.6,0.3276,0.7669,1.2215,0.7471,0.7149,0.731,0.6186,0.963,0.7908,0.6003,0.6315,0.6159
9.7,0.3318,0.7699,1.2072,0.7653,0.7311,0.7482,0.6369,0.9599,0.7984,0.6089,0.6324,0.6207
9.8,0.3301,0.7684,1.1885,0.7769,0.7436,0.7603,0.6499,0.9505,0.8002,0.6144,0.6332,0.6238
9.9,0.3223,0.7635,1.1667,0.7826,0.7532,0.7679,0.6578,0.9366,0.7972,0.616,0.6337,0.6248
10,0.3092,0.7568,1.1429,0.7835,0.7607,0.7721,0.6612,0.9196,0.7904,0.6135,0.6339,0.6237
10.1,0.2924,0.7498,1.118,0.7814,0.7672,0.7743,0.6617,0.9007,0.7812,0.6072,0.6344,0.6208
10.2,0.2734,0.7436,1.0931,0.7776,0.7738,0.7757,0.6606,0.8807,0.7707,0.5977,0.6357,0.6167
10.3,0.2527,0.7389,1.0689,0.773,0.7812,0.7771,0.6591,0.8603,0.7597,0.5858,0.638,0.6119
10.4,0.2312,0.7361,1.0454,0.7681,0.79,0.779,0.658,0.84,0.749,0.5724,0.641,0.6067
10.5,0.2101,0.7351,1.0221,0.7631,0.8004,0.7818,0.6578,0.8203,0.7391,0.5577,0.6439,0.6008
10.6,0.191,0.7356,0.9987,0.7586,0.8121,0.7853,0.6593,0.8013,0.7303,0.5425,0.6461,0.5943
10.7,0.1752,0.7372,0.9747,0.7551,0.8248,0.7899,0.6629,0.7828,0.7228,0.5278,0.6474,0.5876
10.8,0.1629,0.7393,0.95,0.753,0.8382,0.7956,0.6686,0.7643,0.7165,0.5142,0.6481,0.5811
10.9,0.1537,0.7419,0.9243,0.7525,0.8521,0.8023,0.6763,0.7455,0.7109,0.502,0.6479,0.575
11,0.1477,0.7451,0.8972,0.7539,0.8667,0.8103,0.6855,0.7263,0.7059,0.4911,0.6471,0.5691
11.1,0.1457,0.7494,0.8689,0.7575,0.8823,0.8199,0.6964,0.7075,0.702,0.4816,0.6456,0.5636
11.2,0.1491,0.7549,0.8397,0.7634,0.8989,0.8311,0.7095,0.69,0.6997,0.4739,0.644,0.559
11.3,0.1587,0.7616,0.81,0.7718,0.9162,0.844,0.7249,0.6747,0.6998,0.469,0.6425,0.5558
11.4,0.1734,0.7691,0.7801,0.7819,0.9338,0.8579,0.7424,0.6623,0.7024,0.4674,0.6407,0.5541
11.5,0.1918,0.7771,0.7496,0.7929,0.9509,0.8719,0.7607,0.6532,0.7069,0.4691,0.6383,0.5537
11.6,0.213,0.7855,0.7186,0.8035,0.9669,0.8852,0.7783,0.6474,0.7128,0.4738,0.6353,0.5545
11.7,0.2363,0.7939,0.6872,0.813,0.9817,0.8974,0.7933,0.6449,0.7191,0.481,0.632,0.5565
11.8,0.2613,0.8022,0.6548,0.8207,0.9949,0.9078,0.804,0.6452,0.7246,0.4907,0.6288,0.5598
11.9,0.2863,0.8096,0.6212,0.8257,1.006,0.9158,0.8096,0.6476,0.7286,0.5029,0.6263,0.5646
12,0.3092,0.8155,0.5868,0.8273,1.0142,0.9208,0.8095,0.6519,0.7307,0.5171,0.6245,0.5708
12.1,0.328,0.8195,0.5528,0.8248,1.0189,0.9219,0.804,0.6588,0.7314,0.5327,0.6235,0.5781
12.2,0.3423,0.8211,0.5205,0.818,1.02,0.919,0.7933,0.6687,0.731,0.5487,0.6238,0.5863
12.3,0.3524,0.8203,0.4909,0.8072,1.0178,0.9125,0.7777,0.6815,0.7296,0.5647,0.6252,0.595
12.4,0.3586,0.817,0.4641,0.7928,1.0135,0.9031,0.7578,0.6965,0.7272,0.5799,0.6274,0.6037
12.5,0.3604,0.8115,0.4407,0.7759,1.0081,0.892,0.7345,0.7135,0.724,0.5938,0.6295,0.6116
12.6,0.3572,0.8038,0.4212,0.7574,1.0019,0.8797,0.7084,0.7321,0.7202,0.6052,0.6302,0.6177
12.7,0.3485,0.7933,0.406,0.7375,0.9941,0.8658,0.6797,0.752,0.7159,0.6135,0.6285,0.621
12.8,0.3346,0.7797,0.3956,0.716,0.9839,0.8499,0.6491,0.772,0.7105,0.6189,0.6242,0.6216
12.9,0.3161,0.7632,0.391,0.6932,0.971,0.8321,0.6176,0.7909,0.7042,0.6222,0.618,0.6201
13,0.2944,0.7454,0.3942,0.6702,0.9563,0.8132,0.5874,0.808,0.6977,0.6239,0.6105,0.6172
13.1,0.2716,0.7282,0.4076,0.6485,0.9407,0.7946,0.5609,0.8236,0.6922,0.6243,0.6026,0.6134
13.2,0.2507,0.7133,0.4332,0.6298,0.9247,0.7773,0.5403,0.8378,0.689,0.6233,0.5946,0.609
13.3,0.235,0.7018,0.4709,0.6152,0.9085,0.7619,0.5268,0.8503,0.6886,0.6213,0.5867,0.604
13.4,0.227,0.6944,0.5182,0.6052,0.8928,0.749,0.5207,0.8599,0.6903,0.6186,0.5788,0.5987
13.5,0.2261,0.6912,0.5714,0.6002,0.878,0.7391,0.5211,0.8648,0.693,0.6156,0.5703,0.5929
13.6,0.2304,0.6922,0.6268,0.6003,0.8648,0.7325,0.5272,0.8642,0.6957,0.6123,0.5605,0.5864
13.7,0.2363,0.6971,0.6808,0.6056,0.8542,0.7299,0.5381,0.8588,0.6984,0.6089,0.5492,0.579
13.8,0.2407,0.7055,0.7297,0.6157,0.8464,0.7311,0.5534,0.8504,0.7019,0.6055,0.5372,0.5714
13.9,0.2413,0.7169,0.7712,0.63,0.8413,0.7356,0.5724,0.8405,0.7065,0.6025,0.5258,0.5641
14,0.2373,0.731,0.8047,0.6477,0.8383,0.743,0.5939,0.8299,0.7119,0.6,0.5159,0.5579
14.1,0.2295,0.7475,0.8311,0.6683,0.8375,0.7529,0.6161,0.8193,0.7177,0.5982,0.5079,0.553
14.2,0.2184,0.7662,0.8525,0.6911,0.8386,0.7649,0.6381,0.8096,0.7238,0.5968,0.5018,0.5493
14.3,0.2043,0.7869,0.8701,0.7153,0.8414,0.7784,0.6594,0.802,0.7307,0.5956,0.4974,0.5465
14.4,0.1869,0.8093,0.8841,0.7403,0.8456,0.7929,0.6803,0.7978,0.7391,0.5943,0.494,0.5441
14.5,0.1646,0.8331,0.8944,0.7651,0.8515,0.8083,0.7004,0.7973,0.7489,0.5926,0.491,0.5418
14.6,0.1354,0.8579,0.9014,0.7891,0.8593,0.8242,0.7189,0.8007,0.7598,0.5903,0.4881,0.5392
14.7,0.0978,0.8827,0.9061,0.8115,0.8685,0.84,0.735,0.8077,0.7714,0.5871,0.485,0.5361
14.8,0.0516,0.906,0.9095,0.8316,0.8779,0.8547,0.7484,0.8178,0.7831,0.5828,0.4818,0.5323
14.9,-0.0024,0.9263,0.912,0.8484,0.8858,0.8671,0.7593,0.83,0.7946,0.5772,0.479,0.5281
15,-0.0623,0.9427,0.9131,0.861,0.8909,0.876,0.7685,0.8426,0.8055,0.5702,0.4769,0.5235
15.1,-0.1258,0.9548,0.9116,0.8689,0.8923,0.8806,0.7766,0.8538,0.8152,0.5614,0.4751,0.5182
15.2,-0.1912,0.9623,0.9063,0.8714,0.8894,0.8804,0.7841,0.8623,0.8232,0.5505,0.4733,0.5119
15.3,-0.2574,0.9649,0.8978,0.8681,0.8819,0.875,0.792,0.8681,0.8301,0.5375,0.4719,0.5047
15.4,-0.3235,0.9627,0.8874,0.8592,0.8703,0.8648,0.8015,0.8724,0.8369,0.5225,0.4719,0.4972
15.5,-0.3875,0.9555,0.8759,0.845,0.8546,0.8498,0.8134,0.8755,0.8444,0.5061,0.4739,0.49
15.6,-0.4462,0.9432,0.8629,0.8255,0.8351,0.8303,0.8276,0.8769,0.8522,0.489,0.478,0.4835
15.7,-0.4957,0.9259,0.8475,0.8014,0.8123,0.8068,0.8432,0.8756,0.8594,0.4716,0.4835,0.4775
15.8,-0.5329,0.9039,0.8294,0.7735,0.7869,0.7802,0.8594,0.8707,0.8651,0.4543,0.4897,0.472
15.9,-0.5557,0.8779,0.8095,0.7428,0.7592,0.751,0.876,0.8621,0.869,0.4382,0.4966,0.4674
16,-0.5638,0.8485,0.7888,0.7097,0.7288,0.7192,0.8924,0.8495,0.871,0.4244,0.5051,0.4648
16.1,-0.5569,0.8157,0.7674,0.6742,0.6953,0.6848,0.9081,0.8326,0.8703,0.4141,0.5154,0.4648
16.2,-0.5357,0.78,0.7449,0.6369,0.659,0.648,0.9218,0.8112,0.8665,0.4081,0.5275,0.4678
16.3,-0.5018,0.742,0.7213,0.5991,0.621,0.61,0.9328,0.7858,0.8593,0.4066,0.5407,0.4737
16.4,-0.458,0.7031,0.6977,0.5625,0.5827,0.5726,0.9409,0.7575,0.8492,0.41,0.5546,0.4823
16.5,-0.4084,0.6645,0.6746,0.5287,0.5452,0.537,0.9457,0.7271,0.8364,0.4184,0.5692,0.4938
16.6,-0.3568,0.6274,0.6526,0.4981,0.509,0.5035,0.9467,0.695,0.8208,0.4316,0.5841,0.5078
16.7,-0.3057,0.5928,0.6318,0.4705,0.4745,0.4725,0.9429,0.6612,0.802,0.4493,0.5985,0.5239
16.8,-0.2579,0.5613,0.6124,0.4459,0.4425,0.4442,0.9337,0.6262,0.7799,0.4709,0.6116,0.5413
16.9,-0.2159,0.5335,0.595,0.4253,0.4133,0.4193,0.9197,0.5911,0.7554,0.4961,0.623,0.5596
17,-0.1809,0.5096,0.5805,0.4094,0.3871,0.3983,0.9029,0.5578,0.7304,0.5251,0.6332,0.5792
17.1,-0.1528,0.4896,0.5695,0.3984,0.3637,0.3811,0.8858,0.5277,0.7068,0.5578,0.6434,0.6006
17.2,-0.1301,0.4733,0.5624,0.3921,0.3428,0.3674,0.8702,0.5018,0.686,0.5938,0.654,0.6239
17.3,-0.1102,0.4611,0.559,0.391,0.3244,0.3577,0.8563,0.4811,0.6687,0.6319,0.665,0.6485
17.4,-0.0919,0.4534,0.5591,0.3957,0.3092,0.3525,0.8439,0.4659,0.6549,0.6702,0.6758,0.673
17.5,-0.0753,0.4508,0.5623,0.4067,0.298,0.3524,0.8324,0.457,0.6447,0.7064,0.6857,0.6961
17.6,-0.0616,0.4528,0.5679,0.4235,0.2912,0.3574,0.8213,0.4545,0.6379,0.7385,0.6937,0.7161
17.7,-0.0523,0.4589,0.5746,0.445,0.2889,0.367,0.8098,0.4574,0.6336,0.7648,0.6985,0.7317
17.8,-0.0487,0.4683,0.5808,0.47,0.2919,0.3809,0.7974,0.4643,0.6309,0.7844,0.6992,0.7418
17.9,-0.0515,0.4808,0.5854,0.4976,0.3006,0.3991,0.7838,0.4739,0.6288,0.7969,0.6954,0.7461
18,-0.0603,0.4965,0.5881,0.5277,0.3152,0.4214,0.7698,0.485,0.6274,0.803,0.6879,0.7454
18.1,-0.0739,0.5153,0.5887,0.5599,0.3351,0.4475,0.7567,0.497,0.6269,0.8035,0.6777,0.7406
18.2,-0.0906,0.5367,0.5872,0.5922,0.359,0.4756,0.7457,0.5093,0.6275,0.799,0.6655,0.7322
18.3,-0.1097,0.5592,0.5827,0.6211,0.3852,0.5031,0.7369,0.5207,0.6288,0.7892,0.6512,0.7202
18.4,-0.1317,0.5813,0.5744,0.6437,0.4123,0.528,0.7291,0.5302,0.6297,0.7737,0.6344,0.704
18.5,-0.1573,0.6018,0.5618,0.659,0.4396,0.5493,0.7213,0.5372,0.6293,0.7524,0.6144,0.6834
18.6,-0.1864,0.6199,0.5453,0.6676,0.4666,0.5671,0.7126,0.5413,0.6269,0.726,0.5917,0.6589
18.7,-0.2185,0.6351,0.5258,0.6705,0.4933,0.5819,0.7023,0.5428,0.6226,0.6963,0.5675,0.6319
18.8,-0.2511,0.6471,0.5042,0.668,0.5187,0.5933,0.6905,0.5417,0.6161,0.6653,0.5431,0.6042
18.9,-0.2805,0.6549,0.4812,0.6599,0.5413,0.6006,0.6767,0.5377,0.6072,0.6346,0.5189,0.5767
19,-0.3033,0.6581,0.4576,0.6465,0.5595,0.603,0.6603,0.5308,0.5956,0.6052,0.4952,0.5502
19.1,-0.317,0.6576,0.4343,0.6287,0.5728,0.6008,0.6416,0.5215,0.5816,0.5779,0.4726,0.5252
19.2,-0.3207,0.6542,0.412,0.6085,0.5812,0.5949,0.6214,0.5107,0.566,0.553,0.4518,0.5024
19.3,-0.3152,0.6488,0.3915,0.5874,0.5849,0.5861,0.6006,0.4991,0.5498,0.5311,0.4332,0.4821
19.4,-0.301,0.6417,0.3733,0.5666,0.5844,0.5755,0.58,0.4875,0.5338,0.5122,0.417,0.4646
19.5,-0.2787,0.6335,0.358,0.5473,0.5807,0.564,0.5596,0.477,0.5183,0.4961,0.4029,0.4495
19.6,-0.2484,0.625,0.3458,0.5304,0.5751,0.5527,0.5393,0.4684,0.5039,0.4824,0.3909,0.4367
19.7,-0.2102,0.6174,0.3371,0.5166,0.5683,0.5425,0.5193,0.4619,0.4906,0.4707,0.3809,0.4258
19.8,-0.1647,0.611,0.3319,0.5069,0.5607,0.5338,0.4999,0.4576,0.4788,0.4607,0.3734,0.417
19.9,-0.1127,0.6063,0.3296,0.5013,0.5525,0.5269,0.4819,0.4553,0.4686,0.452,0.3682,0.4101
20,-0.0558,0.6034,0.3299,0.5002,0.5437,0.522,0.4657,0.4553,0.4605,0.4445,0.365,0.4047
20.1,0.0035,0.6027,0.3324,0.504,0.5352,0.5196,0.4515,0.4578,0.4546,0.4377,0.3627,0.4002
20.2,0.0629,0.6046,0.3366,0.5132,0.5276,0.5204,0.4398,0.463,0.4514,0.4316,0.3609,0.3962
20.3,0.121,0.6092,0.3421,0.528,0.5212,0.5246,0.4314,0.4708,0.4511,0.4264,0.3592,0.3928
20.4,0.1774,0.6162,0.3484,0.5482,0.5165,0.5324,0.4271,0.4811,0.4541,0.4227,0.3579,0.3903
20.5,0.232,0.6253,0.3551,0.5729,0.5141,0.5435,0.4274,0.4937,0.4606,0.4209,0.3572,0.3891
20.6,0.2849,0.6362,0.3615,0.6019,0.5149,0.5584,0.4327,0.5085,0.4706,0.4214,0.357,0.3892
20.7,0.3359,0.6494,0.3671,0.6349,0.5198,0.5774,0.4427,0.5251,0.4839,0.4243,0.3569,0.3906
20.8,0.3841,0.665,0.3717,0.6722,0.5294,0.6008,0.4576,0.543,0.5003,0.4289,0.3564,0.3926
20.9,0.4292,0.6832,0.3751,0.7136,0.5435,0.6285,0.4777,0.5614,0.5196,0.4346,0.3548,0.3947
21,0.4712,0.7046,0.378,0.7584,0.5624,0.6604,0.5035,0.5798,0.5417,0.4409,0.3519,0.3964
21.1,0.5099,0.7296,0.3814,0.8058,0.5871,0.6964,0.535,0.5986,0.5668,0.4473,0.348,0.3976
21.2,0.545,0.7589,0.3863,0.855,0.6184,0.7367,0.5717,0.6188,0.5953,0.4542,0.344,0.3991
21.3,0.5759,0.7926,0.3935,0.9049,0.6559,0.7804,0.6124,0.6406,0.6265,0.4616,0.3408,0.4012
