Time,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.9,-0.1248,0.4669,0.6417,0.4619,0.6354,0.5486,0.7549,0.6514,0.7032,1.0128,0.8038,0.9083
5,-0.1155,0.45,0.6435,0.4564,0.6239,0.5402,0.7643,0.6627,0.7135,1.0104,0.803,0.9067
5.1,-0.1009,0.4356,0.6494,0.452,0.6089,0.5304,0.7726,0.6756,0.7241,1.0068,0.802,0.9044
5.2,-0.0816,0.4235,0.6592,0.4483,0.5892,0.5187,0.7793,0.689,0.7341,1.0019,0.8013,0.9016
5.3,-0.0589,0.4134,0.6724,0.445,0.564,0.5045,0.7837,0.7016,0.7427,0.9955,0.8007,0.8981
5.4,-0.034,0.4053,0.688,0.4416,0.5335,0.4875,0.7855,0.7128,0.7491,0.9879,0.8001,0.894
5.5,-0.0084,0.3997,0.7043,0.4385,0.4991,0.4688,0.7848,0.7223,0.7535,0.9799,0.7997,0.8898
5.6,0.0168,0.3979,0.7203,0.4368,0.4632,0.45,0.7819,0.7304,0.7562,0.9722,0.7996,0.8859
5.7,0.04,0.4004,0.735,0.4372,0.4276,0.4324,0.7767,0.7371,0.7569,0.9652,0.7999,0.8826
5.8,0.0596,0.4063,0.7481,0.4398,0.3927,0.4162,0.7687,0.7417,0.7552,0.9591,0.7998,0.8794
5.9,0.0757,0.4144,0.759,0.4441,0.3579,0.401,0.7576,0.7434,0.7505,0.9534,0.7987,0.876
6,0.0896,0.4237,0.7674,0.4497,0.3228,0.3863,0.7437,0.7411,0.7424,0.9482,0.7967,0.8724
6.1,0.1026,0.4337,0.7731,0.457,0.2878,0.3724,0.7273,0.7349,0.7311,0.9434,0.7945,0.869
6.2,0.115,0.4445,0.7763,0.4667,0.2542,0.3605,0.7092,0.7254,0.7173,0.9391,0.7931,0.8661
6.3,0.1258,0.4557,0.7773,0.4792,0.2236,0.3514,0.6898,0.7137,0.7017,0.9349,0.7926,0.8638
6.4,0.1344,0.467,0.7766,0.4942,0.1971,0.3457,0.6697,0.7006,0.6852,0.9308,0.7923,0.8616
6.5,0.1411,0.4779,0.7737,0.5111,0.1757,0.3434,0.6497,0.6865,0.6681,0.9269,0.7914,0.8592
6.6,0.146,0.4883,0.7679,0.5299,0.16,0.345,0.6303,0.6716,0.651,0.9233,0.7896,0.8564
6.7,0.1484,0.498,0.7594,0.551,0.1511,0.351,0.6118,0.6569,0.6343,0.9201,0.7869,0.8535
6.8,0.147,0.5077,0.7489,0.5742,0.1495,0.3619,0.5941,0.6433,0.6187,0.918,0.784,0.851
6.9,0.1411,0.518,0.738,0.5993,0.1556,0.3775,0.5777,0.6317,0.6047,0.9174,0.7818,0.8496
7,0.1306,0.53,0.7272,0.6256,0.1696,0.3976,0.5634,0.6224,0.5929,0.9186,0.7814,0.85
7.1,0.116,0.5442,0.7165,0.6526,0.1912,0.4219,0.5519,0.6149,0.5834,0.9216,0.783,0.8523
7.2,0.097,0.5606,0.7059,0.6792,0.2202,0.4497,0.5433,0.6087,0.576,0.9256,0.7859,0.8557
7.3,0.0732,0.5787,0.6954,0.7042,0.2566,0.4804,0.5374,0.6033,0.5703,0.9293,0.7889,0.8591
7.4,0.0453,0.598,0.6852,0.7264,0.2992,0.5128,0.5336,0.5984,0.566,0.9323,0.7912,0.8618
7.5,0.0148,0.6175,0.6754,0.7445,0.3459,0.5452,0.5319,0.5944,0.5631,0.9347,0.7926,0.8637
7.6,-0.0173,0.6361,0.6661,0.7575,0.395,0.5762,0.5318,0.5917,0.5617,0.9364,0.793,0.8647
7.7,-0.0507,0.6527,0.6574,0.7645,0.4452,0.6049,0.5334,0.5904,0.5619,0.9368,0.7922,0.8645
7.8,-0.0855,0.6664,0.6498,0.765,0.4963,0.6307,0.5362,0.5907,0.5635,0.9352,0.7899,0.8625
7.9,-0.1213,0.6765,0.6439,0.7584,0.5473,0.6529,0.5392,0.5925,0.5659,0.9311,0.7853,0.8582
8,-0.1576,0.6826,0.6398,0.7445,0.5961,0.6703,0.5411,0.5955,0.5683,0.9242,0.7784,0.8513
8.1,-0.1936,0.6844,0.6371,0.7236,0.6399,0.6817,0.5412,0.5995,0.5704,0.9145,0.769,0.8417
8.2,-0.2287,0.6818,0.6346,0.6961,0.6765,0.6863,0.5394,0.604,0.5717,0.9022,0.7571,0.8296
8.3,-0.2619,0.6747,0.6313,0.663,0.7042,0.6836,0.5358,0.6082,0.572,0.8878,0.7424,0.8151
8.4,-0.2922,0.6629,0.6266,0.6255,0.7224,0.6739,0.5308,0.6114,0.5711,0.8714,0.7248,0.7981
8.5,-0.3182,0.6465,0.6204,0.5852,0.7309,0.6581,0.5244,0.6129,0.5686,0.8532,0.7039,0.7785
8.6,-0.3395,0.6259,0.6127,0.544,0.7308,0.6374,0.5168,0.6122,0.5645,0.8332,0.6797,0.7564
8.7,-0.3566,0.6021,0.6034,0.5036,0.7239,0.6138,0.5087,0.6094,0.5591,0.8118,0.6525,0.7321
8.8,-0.3697,0.5761,0.5929,0.4658,0.712,0.5889,0.5008,0.6051,0.5529,0.7899,0.6233,0.7066
8.9,-0.3784,0.5491,0.5823,0.4322,0.696,0.5641,0.4936,0.6001,0.5468,0.7685,0.5934,0.6809
9,-0.382,0.5222,0.5726,0.404,0.6765,0.5403,0.4873,0.5948,0.5411,0.7477,0.5638,0.6557
9.1,-0.3805,0.4961,0.5646,0.3819,0.6532,0.5176,0.482,0.5896,0.5358,0.7267,0.5354,0.6311
9.2,-0.3742,0.4716,0.5586,0.3659,0.6264,0.4962,0.4781,0.5848,0.5314,0.705,0.5088,0.6069
9.3,-0.364,0.4488,0.5545,0.3557,0.597,0.4764,0.4763,0.5809,0.5286,0.6824,0.4851,0.5837
9.4,-0.3508,0.4282,0.552,0.3507,0.5662,0.4585,0.4772,0.5788,0.528,0.6599,0.4656,0.5627
9.5,-0.3354,0.4103,0.5502,0.3502,0.535,0.4426,0.4812,0.579,0.5301,0.6385,0.451,0.5448
9.6,-0.3188,0.3956,0.5484,0.3528,0.5037,0.4283,0.488,0.5812,0.5346,0.6191,0.4405,0.5298
9.7,-0.3021,0.3844,0.5454,0.3575,0.473,0.4152,0.4967,0.5849,0.5408,0.6017,0.4326,0.5171
9.8,-0.2857,0.3768,0.5407,0.3632,0.4436,0.4034,0.5066,0.5892,0.5479,0.5864,0.4259,0.5061
9.9,-0.2693,0.3729,0.5348,0.37,0.4165,0.3933,0.517,0.594,0.5555,0.5734,0.4205,0.497
10,-0.2524,0.3728,0.529,0.3783,0.3928,0.3855,0.5281,0.5995,0.5638,0.5633,0.4173,0.4903
10.1,-0.2347,0.3766,0.5247,0.3878,0.3726,0.3802,0.5399,0.6062,0.5731,0.5566,0.4165,0.4866
10.2,-0.2167,0.3837,0.5229,0.3973,0.3558,0.3766,0.5525,0.614,0.5832,0.5531,0.4181,0.4856
10.3,-0.1992,0.3938,0.5237,0.4055,0.3422,0.3739,0.5657,0.622,0.5938,0.5523,0.4213,0.4868
10.4,-0.1827,0.4063,0.5264,0.412,0.3315,0.3717,0.5786,0.6294,0.604,0.5532,0.4258,0.4895
10.5,-0.1678,0.421,0.5307,0.4169,0.3237,0.3703,0.5906,0.6358,0.6132,0.5553,0.4313,0.4933
10.6,-0.1548,0.4379,0.5365,0.4203,0.3191,0.3697,0.6012,0.6408,0.621,0.5584,0.4374,0.4979
10.7,-0.1445,0.4568,0.5438,0.4221,0.3179,0.37,0.6098,0.6446,0.6272,0.5624,0.4439,0.5032
10.8,-0.1373,0.4771,0.5521,0.4216,0.3206,0.3711,0.616,0.6473,0.6316,0.5668,0.4512,0.509
10.9,-0.1343,0.4979,0.5613,0.4182,0.3276,0.3729,0.6193,0.6488,0.6341,0.5708,0.4596,0.5152
11,-0.137,0.5183,0.5709,0.4115,0.3391,0.3753,0.6193,0.6492,0.6342,0.5735,0.4693,0.5214
11.1,-0.146,0.5373,0.5808,0.4013,0.3544,0.3778,0.6157,0.6478,0.6318,0.5743,0.4803,0.5273
11.2,-0.1612,0.5546,0.5905,0.3872,0.3722,0.3797,0.6089,0.6445,0.6267,0.5733,0.4921,0.5327
11.3,-0.1824,0.5696,0.5999,0.3692,0.3914,0.3803,0.5992,0.6388,0.619,0.571,0.5043,0.5377
11.4,-0.2087,0.582,0.6086,0.3477,0.4107,0.3792,0.5877,0.6308,0.6093,0.5682,0.5167,0.5424
11.5,-0.239,0.5917,0.617,0.3238,0.4296,0.3767,0.5754,0.6208,0.5981,0.5654,0.5294,0.5474
11.6,-0.2719,0.5989,0.6254,0.299,0.4478,0.3734,0.5631,0.6091,0.5861,0.5634,0.5427,0.5531
11.7,-0.3055,0.6038,0.6348,0.2751,0.4653,0.3702,0.5514,0.5959,0.5737,0.5633,0.5566,0.5599
11.8,-0.3383,0.6069,0.6456,0.2537,0.4819,0.3678,0.5406,0.5821,0.5614,0.5655,0.5705,0.568
11.9,-0.369,0.6084,0.6583,0.2361,0.4978,0.367,0.5311,0.5684,0.5498,0.5702,0.5842,0.5772
12,-0.397,0.6086,0.6727,0.2228,0.513,0.3679,0.5231,0.5558,0.5394,0.5771,0.5972,0.5872
12.1,-0.4212,0.6073,0.6889,0.2135,0.5275,0.3705,0.517,0.5452,0.5311,0.5865,0.6097,0.5981
12.2,-0.4403,0.6038,0.7066,0.2078,0.5405,0.3741,0.5129,0.5375,0.5252,0.5987,0.6216,0.6102
12.3,-0.4529,0.5972,0.7247,0.2049,0.5507,0.3778,0.5108,0.5328,0.5218,0.6135,0.6327,0.6231
12.4,-0.4588,0.5871,0.7415,0.2035,0.5575,0.3805,0.5108,0.5309,0.5208,0.6301,0.6426,0.6364
