Time,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC
2.6,0.2666,0.4411,0.6583,0.3916,0.4673,0.4295,0.5171,0.5035,0.5103,0.4219,0.5129,0.4674
2.7,0.2634,0.4531,0.6595,0.3993,0.4869,0.4431,0.52,0.5013,0.5106,0.4182,0.5111,0.4647
2.8,0.2564,0.4636,0.6619,0.4066,0.5033,0.4549,0.521,0.5005,0.5108,0.4156,0.5108,0.4632
2.9,0.2445,0.4731,0.6656,0.4135,0.5171,0.4653,0.5201,0.5008,0.5104,0.414,0.512,0.463
3,0.2266,0.4822,0.6705,0.4194,0.5291,0.4743,0.517,0.5019,0.5094,0.413,0.5141,0.4635
3.1,0.203,0.4909,0.6758,0.4238,0.5395,0.4816,0.5121,0.503,0.5076,0.4117,0.5163,0.464
3.2,0.1755,0.4988,0.6811,0.4264,0.5475,0.487,0.5063,0.504,0.5051,0.41,0.5179,0.4639
3.3,0.1461,0.505,0.6863,0.4274,0.553,0.4902,0.5004,0.5054,0.5029,0.4083,0.5187,0.4635
3.4,0.1156,0.5092,0.6923,0.4269,0.5559,0.4914,0.4956,0.5079,0.5018,0.4077,0.519,0.4634
3.5,0.0838,0.5114,0.6996,0.4249,0.5565,0.4907,0.4927,0.5116,0.5021,0.4087,0.5187,0.4637
3.6,0.0513,0.5114,0.7082,0.4212,0.5546,0.4879,0.4919,0.516,0.504,0.4109,0.5177,0.4643
3.7,0.02,0.5093,0.7174,0.4165,0.5502,0.4834,0.4937,0.5209,0.5073,0.4138,0.5158,0.4648
3.8,-0.0075,0.5056,0.7266,0.4118,0.5435,0.4777,0.4984,0.5262,0.5123,0.4175,0.5129,0.4652
3.9,-0.029,0.5008,0.7357,0.4081,0.5352,0.4716,0.5067,0.532,0.5193,0.4222,0.5093,0.4657
4,-0.0438,0.4952,0.7443,0.406,0.5257,0.4658,0.5188,0.5385,0.5286,0.4274,0.5049,0.4661
4.1,-0.0523,0.4888,0.7521,0.4052,0.5155,0.4604,0.5344,0.5456,0.54,0.4327,0.4995,0.4661
4.2,-0.0552,0.4814,0.7583,0.4053,0.505,0.4551,0.5526,0.5533,0.553,0.4378,0.4929,0.4653
4.3,-0.0533,0.4732,0.7623,0.4058,0.494,0.4499,0.5723,0.5614,0.5669,0.4423,0.4845,0.4634
4.4,-0.0479,0.4647,0.764,0.4064,0.4829,0.4446,0.5925,0.5695,0.581,0.4465,0.4747,0.4606
4.5,-0.0417,0.4567,0.7636,0.4065,0.4721,0.4393,0.6121,0.5771,0.5946,0.4503,0.4641,0.4572
4.6,-0.0367,0.4504,0.7612,0.406,0.4629,0.4345,0.6305,0.5839,0.6072,0.4543,0.4535,0.4539
4.7,-0.0337,0.4467,0.7572,0.4052,0.4565,0.4309,0.6476,0.5897,0.6186,0.4584,0.4433,0.4508
4.8,-0.0328,0.446,0.7516,0.4048,0.4537,0.4293,0.6632,0.5944,0.6288,0.4626,0.4336,0.4481
4.9,-0.0335,0.4479,0.7447,0.4053,0.4545,0.4299,0.677,0.598,0.6375,0.4665,0.4241,0.4453
5,-0.0352,0.4519,0.737,0.4072,0.4581,0.4327,0.6881,0.6005,0.6443,0.4698,0.415,0.4424
5.1,-0.0371,0.4577,0.729,0.4105,0.4639,0.4372,0.6955,0.6017,0.6486,0.472,0.4064,0.4392
5.2,-0.0385,0.4653,0.721,0.4154,0.4713,0.4433,0.6989,0.6012,0.65,0.4733,0.399,0.4362
5.3,-0.0383,0.4745,0.7126,0.4219,0.4797,0.4508,0.6983,0.5988,0.6485,0.4744,0.3929,0.4336
5.4,-0.0357,0.4849,0.7038,0.4304,0.4884,0.4594,0.6945,0.5945,0.6445,0.4755,0.3878,0.4316
5.5,-0.0311,0.4959,0.694,0.4403,0.4968,0.4686,0.6879,0.5882,0.638,0.4769,0.3832,0.4301
5.6,-0.0252,0.5069,0.6826,0.4508,0.5045,0.4776,0.6789,0.5794,0.6292,0.479,0.3791,0.4291
5.7,-0.0187,0.5171,0.6693,0.4607,0.5108,0.4858,0.6676,0.5677,0.6176,0.4819,0.3758,0.4289
5.8,-0.0121,0.5263,0.6542,0.4689,0.5156,0.4922,0.6544,0.5524,0.6034,0.4858,0.3733,0.4295
5.9,-0.0061,0.5339,0.6377,0.4745,0.5184,0.4964,0.6393,0.534,0.5867,0.4903,0.371,0.4307
6,-0.0014,0.5397,0.6205,0.4776,0.5192,0.4984,0.6226,0.5134,0.568,0.4954,0.3687,0.4321
6.1,0.0011,0.5436,0.603,0.4785,0.5186,0.4985,0.6047,0.4917,0.5482,0.5008,0.3664,0.4336
6.2,0.0003,0.5461,0.5861,0.4776,0.5176,0.4976,0.586,0.4698,0.5279,0.5065,0.3641,0.4353
6.3,-0.0044,0.5475,0.5701,0.4756,0.5167,0.4962,0.5678,0.4485,0.5082,0.5123,0.362,0.4372
6.4,-0.0126,0.5482,0.5553,0.4727,0.516,0.4943,0.551,0.4283,0.4897,0.5182,0.3603,0.4392
6.5,-0.0239,0.5478,0.5413,0.4685,0.5149,0.4917,0.5359,0.4101,0.473,0.5239,0.359,0.4415
6.6,-0.0382,0.5464,0.5288,0.4628,0.5133,0.4881,0.5225,0.3942,0.4584,0.5297,0.3587,0.4442
6.7,-0.0556,0.5441,0.5185,0.4557,0.5116,0.4836,0.5104,0.3811,0.4458,0.536,0.3597,0.4478
6.8,-0.0766,0.5419,0.511,0.4471,0.5103,0.4787,0.4992,0.3704,0.4348,0.5429,0.3625,0.4527
6.9,-0.1015,0.5401,0.5061,0.4373,0.5098,0.4735,0.4888,0.3617,0.4253,0.55,0.367,0.4585
7,-0.1292,0.539,0.503,0.4271,0.5103,0.4687,0.4792,0.3551,0.4171,0.557,0.3731,0.465
7.1,-0.1579,0.5385,0.5013,0.4171,0.5125,0.4648,0.4707,0.3506,0.4106,0.5636,0.3806,0.4721
7.2,-0.1867,0.539,0.5012,0.4077,0.5168,0.4622,0.4632,0.3486,0.4059,0.5696,0.3895,0.4796
7.3,-0.2158,0.5404,0.5034,0.3985,0.5239,0.4612,0.457,0.3491,0.403,0.5746,0.3995,0.487
7.4,-0.2459,0.5427,0.5085,0.3895,0.5339,0.4617,0.4521,0.3519,0.402,0.5778,0.4103,0.494
7.5,-0.2768,0.5457,0.5166,0.3806,0.5467,0.4637,0.4485,0.3572,0.4029,0.5791,0.4218,0.5004
7.6,-0.308,0.5491,0.5277,0.3722,0.5618,0.467,0.4461,0.3649,0.4055,0.5787,0.434,0.5064
7.7,-0.3382,0.5524,0.5415,0.364,0.5779,0.471,0.4445,0.375,0.4098,0.577,0.4473,0.5122
7.8,-0.3664,0.5556,0.5573,0.3567,0.5943,0.4755,0.4436,0.3868,0.4152,0.5744,0.4618,0.5181
7.9,-0.3912,0.5589,0.5742,0.3509,0.6102,0.4805,0.4435,0.4,0.4217,0.5709,0.4769,0.5239
8,-0.4099,0.562,0.5911,0.3479,0.6252,0.4866,0.4441,0.4143,0.4292,0.5659,0.4917,0.5288
8.1,-0.419,0.5641,0.6069,0.3485,0.6381,0.4933,0.4452,0.4293,0.4372,0.559,0.5053,0.5321
8.2,-0.4169,0.5647,0.6208,0.3521,0.6475,0.4998,0.4463,0.4445,0.4454,0.5501,0.5171,0.5336
8.3,-0.404,0.5631,0.632,0.3578,0.6522,0.505,0.4472,0.4597,0.4535,0.5395,0.5268,0.5332
8.4,-0.3817,0.5594,0.6398,0.3645,0.6515,0.508,0.4478,0.4745,0.4611,0.5276,0.5343,0.5309
8.5,-0.3513,0.5534,0.6436,0.3715,0.6449,0.5082,0.4477,0.4877,0.4677,0.5148,0.5389,0.5269
8.6,-0.313,0.5453,0.6431,0.3786,0.6327,0.5057,0.447,0.4988,0.4729,0.5016,0.5405,0.5211
8.7,-0.267,0.5354,0.6385,0.3859,0.615,0.5004,0.4464,0.5078,0.4771,0.4885,0.5391,0.5138
8.8,-0.215,0.524,0.6309,0.3935,0.5926,0.493,0.4466,0.5153,0.4809,0.4755,0.5349,0.5052
8.9,-0.1598,0.5118,0.621,0.4014,0.567,0.4842,0.4478,0.5214,0.4846,0.4622,0.528,0.4951
9,-0.1049,0.4996,0.6096,0.4095,0.5402,0.4748,0.4498,0.5264,0.4881,0.4483,0.5185,0.4834
9.1,-0.0534,0.4879,0.598,0.4172,0.5139,0.4656,0.4523,0.531,0.4917,0.4337,0.5068,0.4703
9.2,-0.0069,0.4769,0.5873,0.4247,0.4893,0.457,0.4552,0.5362,0.4957,0.4185,0.4928,0.4557
9.3,0.0346,0.4668,0.5791,0.4322,0.4669,0.4495,0.4589,0.5427,0.5008,0.4029,0.4769,0.4399
9.4,0.0715,0.458,0.5741,0.4397,0.4468,0.4433,0.4635,0.5503,0.5069,0.3872,0.4594,0.4233
9.5,0.1039,0.4507,0.5718,0.447,0.4293,0.4382,0.4689,0.5583,0.5136,0.3717,0.441,0.4064
9.6,0.1311,0.4453,0.5718,0.4531,0.4144,0.4338,0.4745,0.566,0.5203,0.3566,0.4228,0.3897
9.7,0.1533,0.4414,0.5739,0.4574,0.4018,0.4296,0.4801,0.5734,0.5267,0.3419,0.4056,0.3738
9.8,0.1714,0.438,0.5779,0.4594,0.3908,0.4251,0.4852,0.5803,0.5327,0.3278,0.3902,0.359
9.9,0.1864,0.4341,0.5836,0.4584,0.3807,0.4196,0.4889,0.5862,0.5376,0.3139,0.3767,0.3453
10,0.1989,0.4288,0.5909,0.4547,0.3713,0.413,0.4907,0.5906,0.5406,0.3001,0.3651,0.3326
10.1,0.2095,0.422,0.5994,0.4487,0.3628,0.4058,0.4903,0.5933,0.5418,0.2866,0.3559,0.3212
10.2,0.2185,0.4134,0.6089,0.4409,0.3557,0.3983,0.4884,0.5946,0.5415,0.2743,0.3498,0.312
10.3,0.2262,0.403,0.6192,0.4319,0.3496,0.3908,0.4859,0.5955,0.5407,0.2642,0.3473,0.3057
10.4,0.2325,0.3911,0.63,0.4223,0.344,0.3831,0.4831,0.5959,0.5395,0.2568,0.3485,0.3027
10.5,0.2376,0.3779,0.6409,0.4123,0.3383,0.3753,0.48,0.5954,0.5377,0.2524,0.3532,0.3028
10.6,0.2416,0.3638,0.6511,0.4023,0.3324,0.3673,0.4761,0.5936,0.5349,0.2508,0.3608,0.3058
10.7,0.244,0.3491,0.6604,0.3929,0.3268,0.3598,0.4712,0.5906,0.5309,0.2517,0.3704,0.3111
10.8,0.2451,0.3342,0.6685,0.3846,0.3216,0.3531,0.4651,0.5865,0.5258,0.2549,0.3815,0.3182
10.9,0.2458,0.3196,0.6749,0.378,0.3169,0.3474,0.4577,0.5816,0.5196,0.2601,0.3935,0.3268
11,0.2467,0.3058,0.6794,0.3735,0.3125,0.343,0.449,0.5759,0.5124,0.2672,0.4061,0.3366
11.1,0.2469,0.2938,0.6818,0.3712,0.3092,0.3402,0.4391,0.5693,0.5042,0.2757,0.419,0.3473
11.2,0.2452,0.2844,0.6823,0.3711,0.3077,0.3394,0.4286,0.562,0.4953,0.2851,0.4315,0.3583
11.3,0.2411,0.2779,0.6809,0.3732,0.3086,0.3409,0.4176,0.5542,0.4859,0.2948,0.4427,0.3687
11.4,0.2354,0.2744,0.6776,0.3773,0.3118,0.3445,0.4065,0.5465,0.4765,0.3043,0.4524,0.3784
11.5,0.2299,0.2734,0.6726,0.383,0.3164,0.3497,0.3958,0.539,0.4674,0.3139,0.4611,0.3875
11.6,0.2252,0.2742,0.6664,0.3898,0.3221,0.356,0.3863,0.532,0.4591,0.3243,0.4693,0.3968
11.7,0.2204,0.2765,0.6599,0.3977,0.3287,0.3632,0.3793,0.5259,0.4526,0.3359,0.4775,0.4067
11.8,0.2144,0.2803,0.654,0.4065,0.3366,0.3716,0.3758,0.5209,0.4483,0.3488,0.4854,0.4171
11.9,0.2066,0.2861,0.6489,0.4168,0.3463,0.3816,0.3763,0.517,0.4466,0.3623,0.4928,0.4276
12,0.1971,0.2938,0.6445,0.4287,0.3587,0.3937,0.3804,0.5142,0.4473,0.3761,0.4996,0.4378
12.1,0.1856,0.3032,0.6409,0.4422,0.374,0.4081,0.3879,0.5124,0.4502,0.3898,0.5055,0.4476
12.2,0.1716,0.3136,0.6379,0.4562,0.392,0.4241,0.3983,0.5114,0.4548,0.4029,0.5101,0.4565
12.3,0.1542,0.324,0.635,0.4693,0.4116,0.4405,0.4107,0.5107,0.4607,0.4147,0.5128,0.4637
12.4,0.1327,0.3337,0.632,0.4805,0.4319,0.4562,0.4241,0.51,0.4671,0.4249,0.5132,0.4691
12.5,0.1074,0.3423,0.6285,0.4897,0.4514,0.4705,0.438,0.5092,0.4736,0.433,0.5116,0.4723
12.6,0.0794,0.3495,0.6243,0.4973,0.4688,0.483,0.4521,0.5079,0.48,0.4388,0.508,0.4734
12.7,0.05,0.3555,0.619,0.5038,0.4833,0.4935,0.4658,0.5055,0.4856,0.4417,0.5029,0.4723
12.8,0.0203,0.3607,0.6116,0.5097,0.4948,0.5023,0.4782,0.5015,0.4898,0.4408,0.4963,0.4685
12.9,-0.0091,0.3653,0.6014,0.5154,0.5041,0.5097,0.4884,0.4956,0.492,0.4358,0.4884,0.4621
13,-0.0375,0.3694,0.5889,0.5208,0.5113,0.516,0.4957,0.4884,0.4921,0.4268,0.4793,0.453
13.1,-0.0642,0.3729,0.5749,0.5262,0.5165,0.5214,0.4998,0.4803,0.4901,0.4146,0.4688,0.4417
13.2,-0.0881,0.3755,0.5603,0.5318,0.5196,0.5257,0.5007,0.4712,0.4859,0.4001,0.457,0.4285
13.3,-0.1088,0.3775,0.5448,0.538,0.5203,0.5291,0.4979,0.461,0.4795,0.3842,0.4436,0.4139
13.4,-0.1254,0.379,0.529,0.5451,0.5187,0.5319,0.4917,0.45,0.4709,0.3676,0.4289,0.3982
13.5,-0.1369,0.3805,0.5136,0.5538,0.5155,0.5347,0.4828,0.4391,0.4609,0.3514,0.4133,0.3824
13.6,-0.1431,0.3823,0.5003,0.5647,0.5115,0.5381,0.4726,0.4289,0.4507,0.3364,0.3979,0.3671
13.7,-0.1442,0.3853,0.4903,0.5781,0.5072,0.5427,0.4617,0.4198,0.4408,0.323,0.3833,0.3531
13.8,-0.1405,0.3896,0.4833,0.5943,0.5031,0.5487,0.4504,0.4117,0.431,0.311,0.3701,0.3405
13.9,-0.1314,0.3954,0.4787,0.6133,0.4995,0.5564,0.4386,0.4044,0.4215,0.3005,0.3589,0.3297
14,-0.1161,0.402,0.4761,0.6347,0.4963,0.5655,0.426,0.3983,0.4121,0.2917,0.3505,0.3211
14.1,-0.0937,0.4086,0.476,0.6575,0.4924,0.5749,0.4128,0.3938,0.4033,0.2854,0.3462,0.3158
14.2,-0.0631,0.4145,0.4792,0.6801,0.4862,0.5831,0.3995,0.3914,0.3955,0.2826,0.3469,0.3148
14.3,-0.0237,0.419,0.4859,0.7012,0.4768,0.589,0.3868,0.3906,0.3887,0.2843,0.3536,0.319
14.4,0.0238,0.4216,0.4955,0.72,0.464,0.592,0.3748,0.3904,0.3826,0.291,0.3669,0.329
14.5,0.0779,0.4222,0.5068,0.7358,0.4481,0.592,0.3631,0.3901,0.3766,0.3028,0.387,0.3449
14.6,0.1373,0.4214,0.5186,0.7487,0.4293,0.589,0.3518,0.3899,0.3708,0.3196,0.414,0.3668
14.7,0.2011,0.4201,0.5302,0.7587,0.408,0.5834,0.3407,0.3899,0.3653,0.3412,0.4478,0.3945
14.8,0.2677,0.419,0.541,0.7661,0.3847,0.5754,0.3302,0.3901,0.3602,0.3673,0.488,0.4277
14.9,0.3347,0.4185,0.5507,0.7704,0.3602,0.5653,0.3207,0.39,0.3553,0.3977,0.5339,0.4658
