Time,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
15.9,0.4365,0.7071,0.5232,0.6519,0.4491,0.5505,0.4264,0.5662,0.4963,0.6535,0.4724,0.5629
16,0.4167,0.6939,0.5016,0.6543,0.4497,0.552,0.4299,0.5723,0.5011,0.6388,0.46,0.5494
16.1,0.3908,0.6784,0.4791,0.6531,0.4484,0.5508,0.4355,0.5772,0.5063,0.624,0.4488,0.5364
16.2,0.3613,0.6611,0.4563,0.6495,0.446,0.5478,0.4432,0.5805,0.5118,0.6097,0.4391,0.5244
16.3,0.3309,0.6424,0.4335,0.6436,0.4429,0.5433,0.4524,0.5822,0.5173,0.5964,0.4311,0.5137
16.4,0.301,0.6232,0.4115,0.635,0.4393,0.5371,0.4622,0.582,0.5221,0.5841,0.4248,0.5044
16.5,0.2721,0.6041,0.3913,0.6231,0.4351,0.5291,0.4711,0.5802,0.5257,0.5728,0.42,0.4964
16.6,0.2441,0.5858,0.3735,0.6075,0.4305,0.519,0.4787,0.5768,0.5278,0.5626,0.4169,0.4897
16.7,0.2171,0.5681,0.3582,0.5883,0.4255,0.5069,0.4851,0.5719,0.5285,0.5533,0.4154,0.4844
16.8,0.1913,0.5508,0.3454,0.5656,0.4203,0.493,0.4904,0.5653,0.5279,0.545,0.4155,0.4802
16.9,0.1677,0.5338,0.3349,0.5407,0.4154,0.478,0.4945,0.5565,0.5255,0.5378,0.4166,0.4772
17,0.1478,0.5181,0.3271,0.5146,0.4117,0.4631,0.4977,0.5454,0.5216,0.5316,0.4187,0.4751
17.1,0.1325,0.5044,0.3222,0.4888,0.4097,0.4492,0.5003,0.5326,0.5164,0.5269,0.4219,0.4744
17.2,0.1219,0.4936,0.3204,0.4641,0.4102,0.4372,0.5033,0.5183,0.5108,0.5239,0.4265,0.4752
17.3,0.1153,0.4858,0.322,0.4413,0.4139,0.4276,0.5069,0.5032,0.505,0.5229,0.4323,0.4776
17.4,0.1112,0.4811,0.3263,0.4208,0.421,0.4209,0.5108,0.4879,0.4994,0.5234,0.439,0.4812
17.5,0.1075,0.4785,0.3327,0.4024,0.4317,0.4171,0.5145,0.4726,0.4936,0.5245,0.4462,0.4853
17.6,0.1026,0.4779,0.3404,0.3865,0.4457,0.4161,0.5171,0.4575,0.4873,0.5259,0.4536,0.4898
17.7,0.0947,0.4794,0.349,0.3733,0.4626,0.418,0.5181,0.4429,0.4805,0.528,0.4616,0.4948
17.8,0.0828,0.4833,0.3588,0.3636,0.4816,0.4226,0.5174,0.4294,0.4734,0.5317,0.4706,0.5011
17.9,0.067,0.4895,0.3699,0.358,0.5019,0.43,0.515,0.4179,0.4665,0.537,0.4808,0.5089
18,0.0481,0.4972,0.3826,0.3565,0.5232,0.4399,0.5106,0.4086,0.4596,0.5439,0.4925,0.5182
18.1,0.0274,0.5057,0.3965,0.3589,0.5452,0.4521,0.5037,0.4011,0.4524,0.5516,0.5056,0.5286
18.2,0.0058,0.5142,0.4104,0.3643,0.5674,0.4658,0.4943,0.3955,0.4449,0.5599,0.5201,0.54
18.3,-0.0156,0.5219,0.4236,0.372,0.5888,0.4804,0.4827,0.3923,0.4375,0.5688,0.5354,0.5521
18.4,-0.0353,0.5287,0.4359,0.3822,0.6082,0.4952,0.4699,0.3924,0.4312,0.5783,0.5513,0.5648
18.5,-0.0514,0.5348,0.4474,0.3951,0.6238,0.5094,0.4569,0.3959,0.4264,0.5876,0.567,0.5773
18.6,-0.0623,0.5395,0.4581,0.4102,0.6341,0.5222,0.4442,0.4017,0.4229,0.5955,0.5812,0.5883
18.7,-0.0679,0.542,0.4677,0.4269,0.6382,0.5325,0.4312,0.4079,0.4196,0.601,0.5927,0.5969
18.8,-0.0689,0.5412,0.4758,0.4442,0.6357,0.54,0.4173,0.4135,0.4154,0.6036,0.6007,0.6022
18.9,-0.0669,0.5371,0.4824,0.4617,0.627,0.5444,0.4023,0.418,0.4102,0.6034,0.605,0.6042
